	count
((2, ('m3', 'P4', 'M6')), (4, ('m3', 'm6')))	498
((2, ('m3', 'M6')), (4, ('m3', 'm6')))	498
((0, ('M3', 'P5')), (2, ('m3', 'P5')))	488
((2, ('m3', 'P4', 'M6')), (0, ('m3', 'P5')))	487
((-2, ('M3', 'P5')), (-3, ('M3', 'P5')))	487
((-1, ('M3', 'P5')), (2, ('m3', 'P5')))	486
((-3, ('M3', 'M6')), (-1, ('m3', 'P5')))	476
((0, ('M3', 'P5')), (2, ('m3', 'M6')))	474
((5, ('m3', 'm6')), (1, ('M3', 'P5')))	474
((-1, ('M3', 'M6')), (1, ('M3', 'P5')))	465
((4, ('m3', 'm6')), (2, ('m3', 'M6')))	461
((0, ('m3', 'P5')), (-4, ('M3', 'P5')))	461
((-1, ('M3', 'P5')), (-1, ('M3', 'M6')))	451
((1, ('M3', 'P5')), (1, ('P4', 'm6')))	451
((4, ('m3', 'm6')), (1, ('M3', 'P5')))	447
((-3, ('M3', 'M6')), (2, ('m3', 'M6')))	430
((0, ('M3', 'P5')), (-1, ('M2', 'a4', 'M6')))	425
((1, ('M3', 'P5', 'm7')), (1, ('M3', 'P5')))	415
((5, ('m3', 'd5')), (0, ('m3', 'P5')))	412
((-1, ('M3', 'M6')), (1, ('M3', 'P5', 'm7')))	412
((0, ('M3', 'P5')), (0, ('M3', 'P5', 'm7')))	411
((0, ('M3', 'P5', 'm7')), (-1, ('M3', 'P5')))	409
((1, ('M3', 'P5', 'm7')), (0, ('P4', 'P5')))	408
((2, ('M3', 'P5')), (1, ('M3', 'P5')))	400
((1, ('M3', 'P5')), (5, ('m3', 'm6')))	396
((-4, ('M3', 'M6')), (1, ('M3', 'P5')))	392
((1, ('M3', 'P5', 'm7')), (4, ('m3', 'm6')))	391
((5, ('m3', 'd5', 'm6')), (1, ('M3', 'P5', 'm7')))	390
((-1, ('m3', 'P5')), (1, ('M3', 'P5')))	384
((4, ('m3', 'm6')), (-1, ('M3', 'P5', 'M6')))	376
((2, ('m3', 'P5')), (1, ('M3', 'P5', 'm7')))	363
((3, ('m3', 'P5')), (-1, ('M3', 'P5')))	357
((6, ('m3', 'd5', 'm6')), (1, ('M3', 'P5')))	353
((-1, ('M3', 'P5', 'M6')), (1, ('M3', 'P5')))	343
((2, ('m3', 'P5')), (1, ('M3', 'P5')))	343
((-1, ('m3', 'P5', 'M6')), (1, ('M3', 'P5')))	342
((4, ('m3', 'm6')), (-1, ('M2', 'a4', 'M6')))	336
((1, ('P4', 'M6')), (0, ('M3', 'P5')))	334
((-1, ('M2', 'a4', 'M6')), (0, ('M3', 'P5')))	334
((0, ('m3', 'P5')), (-2, ('M3', 'M6')))	330
((-1, ('M3', 'P5')), (1, ('M3', 'P5', 'm7')))	330
((3, ('m3', 'm6')), (1, ('P4', 'M6')))	330
((0, ('m3', 'P5')), (1, ('P4', 'm6')))	324
((1, ('M3', 'P5')), (1, ('P4', 'M6')))	321
((2, ('m3', 'M6')), (-3, ('M3', 'M6')))	314
((-1, ('m3', 'P5')), (-3, ('M3', 'M6')))	314
((6, ('m3', 'd5', 'd7')), (1, ('M3', 'P5')))	313
((-2, ('M2', 'a4', 'M6')), (3, ('m3', 'm6')))	309
((0, ('P4', 'P5')), (0, ('m3', 'P5')))	309
((-1, ('M3', 'P5')), (3, ('m3', 'm6')))	308
((4, ('m3', 'd5', 'm6')), (-1, ('M3', 'P5')))	299
((0, ('P4', 'M6')), (0, ('M3', 'P5')))	298
((4, ('m3', 'm6')), (1, ('M3', 'P5', 'm7')))	296
((1, ('M3', 'P5')), (3, ('m3', 'P5')))	295
((0, ('m3', 'P5')), (2, ('m3', 'P4', 'M6')))	295
((-1, ('M3', 'M6')), (4, ('m3', 'm6')))	294
((0, ('M3', 'P5')), (0, ('M3', 'M6')))	293
((0, ('M3', 'P5')), (-1, ('m3', 'P5')))	290
((0, ('M3', 'P5')), (0, ('P4', 'M6')))	285
((3, ('m3', 'M6')), (1, ('M3', 'P5')))	281
((0, ('M3', 'P5', 'm7')), (-1, ('m3', 'P5')))	278
((-1, ('M3', 'P5')), (-2, ('M3', 'P5')))	278
((3, ('m3', 'P5')), (-1, ('M3', 'M6')))	276
((0, ('m3', 'P5')), (5, ('m3', 'd5', 'm6')))	270
((-3, ('M3', 'M6')), (-1, ('m3', 'P5', 'M6')))	270
((1, ('M3', 'P5', 'm7')), (3, ('m3', 'P5')))	267
((-4, ('M3', 'M7')), (-4, ('M3', 'M6')))	266
((-1, ('m3', 'P5')), (1, ('P4', 'm6')))	264
((1, ('M3', 'P5')), (5, ('m3', 'd5', 'm6')))	263
((4, ('m3', 'm6')), (1, ('P4', 'M6')))	261
((0, ('m3', 'P5')), (0, ('m3', 'm6')))	259
((0, ('m3', 'P5')), (-4, ('M3', 'M6')))	259
((-3, ('M3', 'M6')), (2, ('m3', 'P4', 'M6')))	253
((6, ('m3', 'd5')), (1, ('M3', 'P5')))	252
((-1, ('m3', 'P5')), (0, ('m3', 'P5')))	251
((2, ('m3', 'P5', 'm7')), (1, ('M3', 'P5', 'm7')))	250
((1, ('M3', 'P5')), (-4, ('M3', 'P5')))	249
((-3, ('M3', 'M6')), (1, ('M3', 'P5')))	248
((0, ('m3', 'P5')), (2, ('m3', 'M6')))	247
((1, ('M3', 'P5')), (-1, ('M3', 'P5')))	245
((0, ('M3', 'P5')), (5, ('m3', 'd5')))	245
((2, ('m3', 'P5')), (0, ('M3', 'P5')))	243
((5, ('m3', 'd5', 'd7')), (0, ('m3', 'P5')))	242
((-1, ('m3', 'a4', 'M6')), (-3, ('M3', 'M6')))	242
((0, ('m3', 'P5')), (1, ('m3', 'P5')))	240
((-4, ('M3', 'M6')), (1, ('M3', 'P5', 'm7')))	239
((1, ('M3', 'P5', 'm7')), (-4, ('M3', 'P5')))	239
((-1, ('m3', 'M6')), (1, ('M3', 'P5')))	237
((2, ('m3', 'P4', 'M6')), (5, ('m3', 'd5', 'm6')))	236
((0, ('M3', 'P5')), (1, ('P4', 'P5')))	236
((0, ('m3', 'P5')), (-1, ('m3', 'M6')))	234
((-1, ('m3', 'M6')), (1, ('P4', 'm6')))	233
((0, ('m3', 'P5')), (1, ('P4', 'P5')))	230
((0, ('M3', 'P5')), (-2, ('M2', 'a4', 'M6')))	229
((3, ('m3', 'P5')), (1, ('M3', 'P5')))	229
((4, ('m3', 'd5', 'm6')), (-1, ('m3', 'P5')))	228
((-2, ('M3', 'P5', 'm7')), (-3, ('M3', 'P5')))	227
((-3, ('M3', 'P5')), (-2, ('M3', 'P5')))	226
((4, ('m3', 'm6')), (2, ('m3', 'P5')))	225
((3, ('m3', 'm6')), (-1, ('M3', 'P5')))	222
((5, ('m3', 'm6')), (1, ('M3', 'P5', 'm7')))	222
((-3, ('M3', 'M6')), (-1, ('m3', 'M6')))	221
((2, ('M3', 'P5')), (1, ('m3', 'P5')))	218
((2, ('m3', 'P4', 'M6')), (-3, ('M3', 'M6')))	217
((1, ('M3', 'P5', 'm7')), (-3, ('M3', 'M6')))	215
((3, ('M3', 'P5')), (2, ('m3', 'P5')))	215
((1, ('M3', 'P5', 'm7')), (5, ('m3', 'd5', 'm6')))	214
((-3, ('M3', 'P5')), (0, ('m3', 'P5')))	213
((1, ('P4', 'm6')), (1, ('P4', 'P5')))	212
((-4, ('M3', 'M6')), (-1, ('m3', 'P5')))	211
((2, ('m3', 'P4', 'M6')), (1, ('M3', 'P5', 'm7')))	211
((3, ('m3', 'P5')), (4, ('m3', 'm6')))	210
((0, ('m3', 'P5')), (-2, ('M3', 'P5')))	210
((3, ('M3', 'P5', 'm7')), (2, ('m3', 'P5')))	206
((5, ('m3', 'm6')), (3, ('m3', 'm6')))	202
((3, ('m3', 'm6')), (5, ('m3', 'd5')))	200
((-3, ('M3', 'P5')), (-4, ('M3', 'P5')))	200
((-4, ('M3', 'P5')), (-1, ('m3', 'P5')))	200
((4, ('m3', 'm6')), (3, ('m3', 'P5')))	199
((3, ('m3', 'm6')), (5, ('m3', 'd5', 'm6')))	198
((7, ('m3', 'd5', 'm6')), (2, ('m3', 'P5')))	196
((5, ('m3', 'm6')), (5, ('m3', 'd5', 'm6')))	193
((1, ('M3', 'P5', 'm7')), (-1, ('M2', 'a4', 'M6')))	192
((3, ('m3', 'm6')), (1, ('M3', 'M6')))	190
((2, ('m3', 'P5')), (5, ('m3', 'd5', 'm6')))	188
((-1, ('M3', 'P5')), (-1, ('M3', 'P5')))	187
((1, ('M3', 'M6')), (-1, ('M3', 'M6')))	186
((2, ('m3', 'm7')), (2, ('m3', 'M6')))	185
((4, ('m3', 'm6')), (-1, ('m3', 'P5')))	184
((-1, ('a4', 'M6')), (4, ('m3', 'm6')))	184
((2, ('P4', 'P5')), (2, ('M3', 'P5')))	183
((-1, ('m3', 'P5')), (-1, ('m3', 'P5')))	182
((4, ('m3', 'm6')), (5, ('m3', 'm6')))	182
((3, ('m3', 'P4', 'M6')), (1, ('M3', 'P5')))	182
((1, ('P4', 'M6')), (4, ('m3', 'm6')))	182
((4, ('m3', 'm6')), (5, ('m3', 'd5', 'm6')))	181
((-1, ('M3', 'M6')), (2, ('m3', 'P5')))	178
((1, ('M3', 'M6', 'm7')), (1, ('M3', 'P5', 'm7')))	176
((4, ('m3', 'm6')), (2, ('m3', 'P5', 'm7')))	176
((8, ('m3', 'd5', 'd7')), (3, ('m3', 'P5')))	176
((0, ('m3', 'P5')), (5, ('m3', 'd5')))	174
((-1, ('M3', 'M7')), (-1, ('M3', 'M6')))	174
((2, ('m3', 'P5')), (-1, ('M3', 'M6')))	174
((-2, ('M3', 'M6')), (-4, ('M3', 'M6')))	174
((-1, ('m3', 'P5')), (-4, ('M3', 'M6')))	174
((0, ('m3', 'P5')), (-1, ('m3', 'P5', 'm7')))	172
((0, ('M3', 'P5')), (-1, ('M3', 'P5', 'M6')))	171
((-1, ('m3', 'M6')), (-3, ('M3', 'M6')))	170
((2, ('M3', 'P5', 'm7')), (1, ('M3', 'P5', 'm7')))	170
((-4, ('M3', 'a6')), (1, ('M3', 'P5')))	168
((4, ('m3', 'm6')), (2, ('P4', 'M6')))	168
((-1, ('M3', 'P5')), (2, ('m3', 'M6')))	166
((2, ('P4', 'M6')), (0, ('M3', 'P5')))	166
((6, ('m3', 'm6')), (1, ('M3', 'P5')))	166
((3, ('m3', 'm6')), (0, ('M3', 'P5')))	164
((-4, ('M3', 'M6')), (1, ('P4', 'm6')))	163
((0, ('M3', 'P5')), (0, ('m3', 'P5')))	163
((2, ('m3', 'P5')), (5, ('m3', 'd5')))	162
((-1, ('m3', 'P5')), (0, ('M3', 'P5')))	162
((1, ('P4', 'm6')), (0, ('m3', 'P5')))	161
((2, ('m3', 'P4', 'M6')), (5, ('m3', 'm6')))	161
((2, ('m3', 'P5')), (4, ('m3', 'm6')))	156
((-2, ('M3', 'P5')), (0, ('m3', 'P5')))	156
((1, ('P4', 'P5')), (1, ('M3', 'P5', 'm7')))	154
((3, ('m3', 'P5')), (-1, ('M3', 'P5', 'M6')))	153
((1, ('M3', 'P5')), (-4, ('M3', 'M6')))	153
((2, ('m3', 'm6')), (-3, ('M3', 'P5')))	152
((-1, ('m3', 'P5')), (-1, ('m3', 'M6')))	152
((-2, ('P4', 'P5')), (-2, ('M3', 'P5')))	152
((1, ('m3', 'P5')), (-3, ('M3', 'P5')))	151
((1, ('M3', 'P5')), (2, ('m3', 'P5')))	151
((1, ('m3', 'P5')), (0, ('m3', 'P5')))	150
((3, ('m3', 'P5')), (3, ('m3', 'm6')))	148
((3, ('m3', 'm6')), (5, ('m3', 'm6')))	146
((1, ('M3', 'P5')), (2, ('m3', 'P4', 'M6')))	146
((5, ('m3', 'm6')), (2, ('m3', 'P4', 'M6')))	146
((1, ('M3', 'P5')), (3, ('m3', 'm6')))	146
((5, ('m3', 'd5', 'm7')), (0, ('M3', 'P5')))	145
((-1, ('m3', 'P5', 'M6')), (1, ('P4', 'm6')))	144
((-1, ('M3', 'P5', 'M6')), (1, ('P4', 'M6')))	143
((8, ('m3', 'd5', 'm6')), (3, ('m3', 'P5')))	143
((4, ('M3', 'P5', 'm7')), (3, ('m3', 'P5')))	142
((2, ('m3', 'P5', 'm7')), (1, ('M3', 'P5')))	141
((-1, ('m3', 'M6')), (1, ('M3', 'P5', 'm7')))	139
((-3, ('M3', 'M6')), (1, ('M3', 'P5', 'm7')))	139
((-1, ('m3', 'P5')), (1, ('M3', 'P5', 'm7')))	138
((0, ('m3', 'P5')), (2, ('m3', 'd5')))	137
((5, ('m3', 'd5')), (1, ('M3', 'P5', 'm7')))	136
((-2, ('M2', 'a4', 'M6')), (-4, ('M3', 'M6')))	136
((-4, ('M3', 'P5')), (1, ('P4', 'm6')))	136
((5, ('m3', 'd5', 'm6')), (0, ('P4', 'P5')))	136
((3, ('m3', 'P5')), (2, ('m3', 'P5')))	136
((3, ('m3', 'm6')), (1, ('M3', 'P5', 'm7')))	135
((2, ('m3', 'd5', 'm6')), (-3, ('M3', 'P5')))	135
((4, ('M3', 'P5')), (3, ('m3', 'P5')))	135
((1, ('M3', 'P5')), (2, ('M3', 'P5', 'm7')))	134
((-3, ('M3', 'M6')), (2, ('P4', 'M6')))	134
((0, ('m3', 'P5')), (-1, ('m3', 'P5', 'M6')))	133
((4, ('m3', 'm6')), (3, ('m3', 'm6')))	133
((1, ('P4', 'M6')), (1, ('P4', 'P5')))	133
((1, ('P4', 'M6')), (-1, ('M3', 'P5')))	132
((-4, ('M3', 'P5')), (1, ('M3', 'P5')))	132
((2, ('m3', 'd5', 'M6')), (-3, ('M3', 'M6')))	131
((-4, ('M3', 'M6')), (1, ('m3', 'm6')))	131
((-1, ('m3', 'P5', 'm7')), (1, ('M3', 'P5')))	130
((5, ('m3', 'm6')), (3, ('m3', 'P5')))	130
((-3, ('M3', 'P5')), (1, ('m3', 'm6')))	129
((6, ('m3', 'd5', 'd7')), (1, ('P4', 'm6')))	129
((2, ('m3', 'P5')), (3, ('M3', 'P5')))	129
((-3, ('M3', 'M6')), (5, ('m3', 'd5', 'm6')))	129
((2, ('m3', 'P4', 'M6')), (-1, ('M2', 'a4', 'M6')))	128
((0, ('m3', 'P5')), (0, ('M3', 'P5')))	128
((2, ('P4', 'M6')), (0, ('m3', 'P5')))	127
((1, ('P4', 'm6')), (-3, ('M3', 'M6')))	127
((5, ('m3', 'd5', 'm6')), (1, ('M3', 'P5')))	126
((7, ('m3', 'm6')), (2, ('m3', 'P5')))	126
((2, ('m3', 'P5')), (2, ('m3', 'M6')))	126
((1, ('P4', 'M6')), (3, ('m3', 'm6')))	125
((-3, ('M3', 'M6')), (5, ('m3', 'm6')))	125
((-3, ('M3', 'M6')), (1, ('P4', 'm6')))	125
((0, ('m3', 'P5')), (-1, ('M3', 'P5')))	125
((-2, ('M3', 'P5')), (1, ('m3', 'P5')))	125
((-3, ('M3', 'P5')), (-3, ('M3', 'M6')))	124
((-4, ('M3', 'P5')), (-1, ('m3', 'P5', 'M6')))	124
((5, ('m3', 'd5')), (1, ('M3', 'P5')))	124
((0, ('P4', 'm6')), (0, ('m3', 'P5')))	123
((1, ('M3', 'P5')), (1, ('P4', 'P5')))	122
((0, ('m3', 'm6')), (0, ('m3', 'P5')))	122
((0, ('M3', 'M6')), (5, ('m3', 'm6')))	121
((-4, ('a2', 'a4', 'M6')), (1, ('M3', 'P5', 'm7')))	120
((5, ('m3', 'd5', 'd7')), (0, ('M3', 'P5')))	120
((1, ('M3', 'P5')), (1, ('M3', 'M6')))	120
((3, ('m3', 'm6')), (1, ('M3', 'P5')))	119
((6, ('m3', 'd5', 'd7')), (1, ('P4', 'M6')))	119
((0, ('m3', 'P5')), (0, ('P4', 'm6')))	119
((4, ('M3', 'm6')), (-1, ('M3', 'P5')))	119
((1, ('M3', 'P5')), (1, ('m3', 'P5')))	118
((-4, ('M3', 'P5')), (-4, ('M3', 'M6')))	118
((5, ('m3', 'd5', 'm6')), (2, ('m3', 'P4', 'M6')))	118
((2, ('m3', 'P5')), (5, ('m3', 'm6')))	118
((-4, ('M3', 'P5')), (-1, ('m3', 'M6')))	117
((1, ('m3', 'm6')), (-4, ('M3', 'P5')))	116
((6, ('m3', 'd5', 'm6')), (1, ('P4', 'M6')))	115
((4, ('m3', 'm6')), (4, ('m3', 'm6')))	114
((1, ('m3', 'a4', 'M6')), (-1, ('M3', 'M6')))	114
((5, ('m3', 'm6')), (3, ('m3', 'P5', 'm7')))	114
((-1, ('M2', 'a4', 'M6')), (2, ('m3', 'P4', 'M6')))	114
((-4, ('M3', 'P5', 'a6')), (1, ('P4', 'm6')))	114
((-4, ('M3', 'P5', 'a6')), (1, ('M3', 'P5')))	113
((1, ('P4', 'M6')), (-1, ('M2', 'a4', 'M6')))	112
((4, ('m3', 'm7')), (4, ('m3', 'm6')))	112
((-4, ('M3', 'P5')), (-3, ('M3', 'P5')))	111
((0, ('M3', 'P5')), (2, ('P4', 'M6')))	111
((0, ('M3', 'M6')), (0, ('M3', 'P5')))	110
((3, ('m3', 'm6')), (4, ('m3', 'm6')))	110
((-3, ('M3', 'P5')), (-1, ('m3', 'P5')))	110
((3, ('m3', 'm7')), (3, ('m3', 'm6')))	110
((0, ('M2', 'a4', 'M6')), (5, ('m3', 'm6')))	109
((-2, ('M3', 'P5')), (-2, ('M3', 'M6')))	109
((1, ('M3', 'P5')), (-1, ('m3', 'P5')))	109
((1, ('M3', 'P5')), (5, ('m3', 'd5')))	108
((2, ('m3', 'P5')), (2, ('m3', 'P5')))	107
((0, ('m3', 'a4', 'M6')), (1, ('M3', 'P5')))	107
((2, ('P4', 'P5')), (2, ('m3', 'P5')))	107
((-1, ('a4', 'M6')), (-3, ('M3', 'M6')))	107
((0, ('M3', 'P5')), (-1, ('M3', 'P5', 'M7')))	105
((-1, ('m3', 'P5')), (4, ('m3', 'm6')))	105
((-1, ('M3', 'P5', 'M6')), (1, ('P4', 'P5')))	104
((0, ('M3', 'P5')), (2, ('m3', 'P5', 'm7')))	104
((2, ('P4', 'M6')), (1, ('M3', 'P5')))	104
((-4, ('M3', 'a4', 'M6')), (1, ('M3', 'P5')))	103
((0, ('m3', 'P5')), (-3, ('M3', 'P5')))	102
((3, ('m3', 'P5')), (3, ('m3', 'P5')))	102
((1, ('M3', 'P5', 'm7')), (1, ('P4', 'P5', 'm7')))	102
((-2, ('M3', 'P5')), (-1, ('M3', 'P5')))	102
((-1, ('M3', 'M6')), (-1, ('M2', 'a4', 'M6')))	102
((1, ('M3', 'P5')), (2, ('P4', 'M6')))	102
((4, ('m3', 'd5')), (-1, ('M3', 'P5')))	101
((1, ('M3', 'P5')), (3, ('m3', 'P5', 'm7')))	101
((-2, ('M3', 'M6')), (-4, ('M3', 'M7')))	100
((0, ('m3', 'P5')), (5, ('m3', 'd5', 'd7')))	100
((1, ('M3', 'P5', 'm7')), (2, ('m3', 'P4', 'M6')))	100
((4, ('m3', 'm6')), (4, ('m3', 'd5', 'm6')))	99
((2, ('P4', 'M6')), (-3, ('M3', 'M6')))	99
((8, ('m3', 'm6')), (3, ('m3', 'P5')))	99
((1, ('m3', 'm6')), (-1, ('m3', 'M6')))	99
((-1, ('P4', 'P5')), (-1, ('m3', 'P5')))	99
((0, ('m3', 'a4', 'M6')), (5, ('m3', 'm6')))	98
((0, ('M3', 'P5')), (3, ('m3', 'M6')))	98
((-1, ('M3', 'M6')), (0, ('M3', 'P5')))	97
((-1, ('m3', 'P5')), (-2, ('M3', 'P5')))	97
((-4, ('M3', 'P5')), (-3, ('M3', 'M6')))	96
((-4, ('M3', 'a4', 'M6')), (1, ('M3', 'P5', 'm7')))	96
((3, ('m3', 'm6')), (-2, ('M3', 'P5')))	95
((-1, ('M3', 'P5')), (1, ('P4', 'P5')))	95
((1, ('P4', 'm6')), (6, ('m3', 'd5', 'd7')))	95
((-3, ('M3', 'M6')), (-1, ('M3', 'P5')))	94
((4, ('m3', 'd5')), (-1, ('m3', 'P5')))	94
((-3, ('M3', 'M6')), (2, ('m3', 'd5', 'm7')))	94
((-3, ('M3', 'M6')), (2, ('m3', 'd5')))	94
((-1, ('m3', 'm7')), (-1, ('m3', 'M6')))	94
((3, ('m3', 'P5')), (0, ('M3', 'M6')))	94
((1, ('M3', 'P5')), (4, ('m3', 'P5')))	94
((-1, ('M3', 'P5')), (2, ('m3', 'P4', 'M6')))	93
((-2, ('M3', 'P5')), (-4, ('M3', 'P5')))	93
((1, ('M3', 'P5')), (3, ('m3', 'M6')))	93
((7, ('m3', 'd5')), (2, ('m3', 'P5')))	92
((3, ('m3', 'P5')), (1, ('P4', 'M6')))	92
((-1, ('M3', 'P5')), (6, ('m3', 'd5', 'm6')))	91
((2, ('m3', 'P5')), (3, ('m3', 'P5')))	91
((-3, ('M3', 'M6')), (-3, ('M3', 'M6')))	91
((-1, ('M3', 'M6')), (2, ('m3', 'M6')))	91
((1, ('m3', 'P5')), (2, ('M3', 'P5')))	91
((1, ('m3', 'M6')), (-1, ('m3', 'P5')))	91
((4, ('m3', 'P5')), (0, ('M3', 'P5')))	91
((3, ('m3', 'm6')), (-1, ('M3', 'M6')))	90
((0, ('m3', 'P5')), (0, ('M3', 'P5', 'm7')))	90
((1, ('M3', 'm6', 'm7')), (1, ('M3', 'P5', 'm7')))	90
((1, ('M3', 'M6')), (1, ('M3', 'P5', 'm7')))	90
((0, ('M3', 'P5')), (4, ('m3', 'd5', 'm6')))	90
((4, ('m3', 'd5', 'd7')), (-1, ('m3', 'P5')))	89
((3, ('m3', 'm6')), (-4, ('M3', 'M6')))	89
((-1, ('a4', 'M6')), (0, ('M3', 'P5')))	89
((-1, ('m3', 'P5')), (2, ('m3', 'd5')))	89
((1, ('M3', 'P5')), (-1, ('m3', 'a4', 'M6')))	89
((-3, ('M3', 'M7')), (-3, ('M3', 'M6')))	88
((-1, ('a4', 'P5')), (-1, ('M3', 'P5')))	88
((0, ('M3', 'P5')), (3, ('m3', 'P5', 'm7')))	88
((2, ('m3', 'P5')), (1, ('P4', 'M6')))	88
((-1, ('P4', 'P5')), (-1, ('M3', 'P5')))	88
((2, ('m3', 'd5')), (0, ('m3', 'P5')))	88
((4, ('m3', 'm6')), (1, ('P4', 'P5')))	88
((1, ('m3', 'P4', 'M6')), (-1, ('M3', 'P5')))	87
((-3, ('M3', 'P5', 'm7')), (-4, ('M3', 'P5')))	87
((1, ('P4', 'm6')), (-1, ('M2', 'a4', 'M6')))	87
((-1, ('M3', 'P5')), (-1, ('M2', 'a4', 'M6')))	87
((5, ('m3', 'm6')), (4, ('m3', 'm6')))	87
((0, ('m3', 'P5')), (-2, ('M2', 'P4', 'M6')))	86
((1, ('m3', 'P5')), (-1, ('M3', 'P5')))	86
((1, ('M2', 'a4', 'M6')), (-1, ('M3', 'M6')))	86
((-1, ('M3', 'a4', 'M6')), (4, ('m3', 'm6')))	86
((1, ('M3', 'P5')), (0, ('P4', 'P5')))	86
((2, ('m3', 'M6')), (0, ('M3', 'M6')))	85
((-1, ('m3', 'P5', 'm7')), (1, ('P4', 'P5')))	85
((-3, ('M3', 'M6')), (1, ('P4', 'P5')))	85
((-3, ('M3', 'M6')), (2, ('m3', 'm7')))	85
((0, ('M3', 'P5')), (0, ('P4', 'm6')))	85
((-3, ('M3', 'M6')), (-1, ('m3', 'P5', 'm7')))	85
((3, ('M3', 'P5')), (2, ('M3', 'P5')))	84
((-1, ('M3', 'P5', 'M6')), (1, ('M3', 'P5', 'm7')))	84
((0, ('m3', 'P5')), (0, ('M2', 'P4', 'm6')))	84
((-4, ('M3', 'P5')), (1, ('m3', 'm6')))	84
((0, ('m3', 'P5')), (2, ('P4', 'M6')))	84
((6, ('m3', 'd5', 'm7')), (1, ('P4', 'M6')))	83
((-1, ('M3', 'P5')), (2, ('m3', 'P5', 'm7')))	83
((-1, ('M3', 'M6')), (-1, ('M3', 'P5')))	83
