"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"
"V64/vi"	""	15	1.0	43.0	"3/4"	"18"	"1"	"3"
"V43/vi"	""	15	2.0	44.0	"3/4"	"18"	"1"	"3"
"V7/vi"	""	15	3.0	45.0	"3/4"	"18"	"1"	"3"
"vi(#74)"	""	16	1.0	46.0	"3/4"	"18"	"1"	"3"
"vi"	""	16	2.0	47.0	"3/4"	"18"	"1"	"3"
".bVI.I"	""	17	1.0	49.0	"3/4"	"18"	"1"	"3"
"V(64)"	""	18	1.0	52.0	"3/4"	"18"	"1"	"3"
"V"	""	18	2.0	53.0	"3/4"	"18"	"1"	"3"
"#viio6/ii"	""	18	3.0	54.0	"3/4"	"18"	"1"	"3"
"ii"	""	19	1.0	55.0	"3/4"	"18"	"1"	"3"
"V(64)/ii"	""	20	1.0	58.0	"3/4"	"18"	"1"	"3"
"V/ii"	""	20	2.0	59.0	"3/4"	"18"	"1"	"3"
"#viio6/iii"	""	20	3.0	60.0	"3/4"	"18"	"1"	"3"
"i.i"	""	21	1.0	61.0	"3/4"	"18"	"1"	"3"
"V(64)"	""	22	1.0	64.0	"3/4"	"18"	"1"	"3"
"V"	""	22	2.0	65.0	"3/4"	"18"	"1"	"3"
"i6"	""	22	3.0	66.0	"3/4"	"18"	"1"	"3"
"#viio"	""	23	1.0	67.0	"3/4"	"18"	"1"	"3"
"i(4+2)"	""	24	1.0	70.0	"3/4"	"18"	"1"	"3"
"VI"	""	24	2.0	71.0	"3/4"	"18"	"1"	"3"
"#viio7/V"	""	24	3.0	72.0	"3/4"	"18"	"1"	"3"
"V[V"	""	25	1.0	73.0	"3/4"	"18"	"1"	"3"
"i"	""	26	1.0	76.0	"3/4"	"18"	"1"	"3"
"V"	""	27	1.0	79.0	"3/4"	"18"	"1"	"3"
"i"	""	28	1.0	82.0	"3/4"	"18"	"1"	"3"
"V]"	""	29	1.0	85.0	"3/4"	"18"	"1"	"3"
"V6"	""	30	1.0	88.0	"3/4"	"18"	"1"	"3"
"ii"	""	30	3.0	90.0	"3/4"	"18"	"1"	"3"
"V"	""	31	1.0	91.0	"3/4"	"18"	"1"	"3"
"V43"	""	32	1.0	94.0	"3/4"	"18"	"1"	"3"
"ii"	""	32	3.0	96.0	"3/4"	"18"	"1"	"3"
"V"	""	33	1.0	97.0	"3/4"	"18"	"1"	"3"
"V43"	""	34	1.0	100.0	"3/4"	"18"	"1"	"3"
"vi"	""	34	3.0	102.0	"3/4"	"18"	"1"	"3"
"V7"	""	35	1.0	103.0	"3/4"	"18"	"1"	"3"
"V7"	""	36	1.0	106.0	"3/4"	"18"	"1"	"3"
"V2"	""	36	2.0	107.0	"3/4"	"18"	"1"	"3"
"V43"	""	36	3.0	108.0	"3/4"	"18"	"1"	"3"
"I.I"	""	37	1.0	109.0	"3/4"	"18"	"1"	"3"
"I6"	""	37	2.0	110.0	"3/4"	"18"	"1"	"3"
"#viio7/V"	""	37	3.0	111.0	"3/4"	"18"	"1"	"3"
"V(4+2)"	""	38	1.0	112.0	"3/4"	"18"	"1"	"3"
"V"	""	38	2.0	113.0	"3/4"	"18"	"1"	"3"
"V43/ii"	""	38	3.0	114.0	"3/4"	"18"	"1"	"3"
"V(4)/V"	""	39	1.0	115.0	"3/4"	"18"	"1"	"3"
"V6/V"	""	39	2.0	116.0	"3/4"	"18"	"1"	"3"
"#viio7/vi"	""	39	3.0	117.0	"3/4"	"18"	"1"	"3"
"V(4+2)/ii"	""	40	1.0	118.0	"3/4"	"18"	"1"	"3"
"V/ii"	""	40	2.0	119.0	"3/4"	"18"	"1"	"3"
"V43/iii"	""	40	3.0	120.0	"3/4"	"18"	"1"	"3"
"iii(4)"	""	41	1.0	121.0	"3/4"	"18"	"1"	"3"
"iii6"	""	41	2.0	122.0	"3/4"	"18"	"1"	"3"
"V/iii"	""	41	3.0	123.0	"3/4"	"18"	"1"	"3"
"iii"	""	42	1.0	124.0	"3/4"	"18"	"1"	"3"
"vi"	""	43	1.0	127.0	"3/4"	"18"	"1"	"3"
"vi6"	""	43	2.0	128.0	"3/4"	"18"	"1"	"3"
"V/vi"	""	43	3.0	129.0	"3/4"	"18"	"1"	"3"
"vi"	""	44	1.0	130.0	"3/4"	"18"	"1"	"3"
"I"	""	45	1.0	133.0	"3/4"	"18"	"1"	"3"
"I6"	""	45	2.0	134.0	"3/4"	"18"	"1"	"3"
"V"	""	45	3.0	135.0	"3/4"	"18"	"1"	"3"
"I"	""	46	1.0	136.0	"3/4"	"18"	"1"	"3"
"V7"	""	47	1.0	139.0	"3/4"	"18"	"1"	"3"
"I"	""	48	1.0	142.0	"3/4"	"18"	"1"	"3"
"V7"	""	49	1.0	145.0	"3/4"	"18"	"1"	"3"
"I"	""	50	1.0	148.0	"3/4"	"18"	"1"	"3"
"viio6"	""	51	2.0	152.0	"3/4"	"18"	"1"	"3"
"I"	""	52	1.0	154.0	"3/4"	"18"	"1"	"3"
"viio6"	""	53	2.0	158.0	"3/4"	"18"	"1"	"3"
"I"	""	54	1.0	160.0	"3/4"	"18"	"1"	"3"
"viio6"	""	55	1.0	163.0	"3/4"	"18"	"1"	"3"
"I"	""	56	1.0	166.0	"3/4"	"18"	"1"	"3"
"#viio65/ii"	""	57	1.0	169.0	"3/4"	"18"	"1"	"3"
"ii6"	""	58	1.0	172.0	"3/4"	"18"	"1"	"3"
"V7"	""	59	1.0	175.0	"3/4"	"18"	"1"	"3"
"I\\\\"	""	60	1.0	178.0	"3/4"	"18"	"1"	"3"
"#viio65/ii"	""	61	1.0	181.0	"3/4"	"18"	"1"	"3"
"ii6"	""	62	1.0	184.0	"3/4"	"18"	"1"	"3"
"V7"	""	63	1.0	187.0	"3/4"	"18"	"1"	"3"
"I\\\\"	""	64	1.0	190.0	"3/4"	"18"	"1"	"3"
"I6"	""	64	2.0	191.0	"3/4"	"18"	"1"	"3"
"#viio7/V"	""	64	3.0	192.0	"3/4"	"18"	"1"	"3"
"V(4)"	""	65	1.0	193.0	"3/4"	"18"	"1"	"3"
"V"	""	65	2.0	194.0	"3/4"	"18"	"1"	"3"
"V43/ii"	""	65	3.0	195.0	"3/4"	"18"	"1"	"3"
"ii"	""	66	1.0	196.0	"3/4"	"18"	"1"	"3"
"ii6"	""	66	2.0	197.0	"3/4"	"18"	"1"	"3"
"V43/vi"	""	66	3.0	198.0	"3/4"	"18"	"1"	"3"
"vi(4+2)"	""	67	1.0	199.0	"3/4"	"18"	"1"	"3"
"V/ii"	""	67	2.0	200.0	"3/4"	"18"	"1"	"3"
"V43/iii"	""	67	3.0	201.0	"3/4"	"18"	"1"	"3"
"iii"	""	68	1.0	202.0	"3/4"	"18"	"1"	"3"
"V2/vi"	""	68	2.0	203.0	"3/4"	"18"	"1"	"3"
"vi6"	""	68	3.0	204.0	"3/4"	"18"	"1"	"3"
"V43/vi"	""	69	1.0	205.0	"3/4"	"18"	"1"	"3"
"vi"	""	69	2.0	206.0	"3/4"	"18"	"1"	"3"
"V65/vi"	""	69	3.0	207.0	"3/4"	"18"	"1"	"3"
"vi"	""	70	1.0	208.0	"3/4"	"18"	"1"	"3"
"#viio43/ii"	""	70	2.0	209.0	"3/4"	"18"	"1"	"3"
"ii6"	""	70	3.0	210.0	"3/4"	"18"	"1"	"3"
"#viio65/ii"	""	71	1.0	211.0	"3/4"	"18"	"1"	"3"
"ii"	""	71	2.0	212.0	"3/4"	"18"	"1"	"3"
"#viio7/ii"	""	71	3.0	213.0	"3/4"	"18"	"1"	"3"
"ii"	""	72	1.0	214.0	"3/4"	"18"	"1"	"3"
"ii6"	""	72	2.0	215.0	"3/4"	"18"	"1"	"3"
"#vii%7/V"	""	72	3.0	216.0	"3/4"	"18"	"1"	"3"
"V"	""	73	1.0	217.0	"3/4"	"18"	"1"	"3"
"vii%7"	""	73	2.0	218.0	"3/4"	"18"	"1"	"3"
"I"	""	73	3.0	219.0	"3/4"	"18"	"1"	"3"
"ii"	""	74	1.0	220.0	"3/4"	"18"	"1"	"3"
"I6"	""	74	2.0	221.0	"3/4"	"18"	"1"	"3"
"viio64"	""	74	3.0	222.0	"3/4"	"18"	"1"	"3"
"V(+2)"	""	75	1.0	223.0	"3/4"	"18"	"1"	"3"
"@none"	""	75	2.0	224.0	"3/4"	"18"	"1"	"3"
"vii%7"	""	75	3.0	225.0	"3/4"	"18"	"1"	"3"
"I"	""	76	1.0	226.0	"3/4"	"18"	"1"	"3"
"V43"	""	76	2.0	227.0	"3/4"	"18"	"1"	"3"
"I6"	""	76	3.0	228.0	"3/4"	"18"	"1"	"3"
"ii6"	""	77	1.0	229.0	"3/4"	"18"	"1"	"3"
"ii"	""	77	2.0	230.0	"3/4"	"18"	"1"	"3"
"V7"	""	77	3.0	231.0	"3/4"	"18"	"1"	"3"
"I\\\\"	""	78	1.0	232.0	"3/4"	"18"	"1"	"3"
"#viio43/V"	""	78	3.0	234.0	"3/4"	"18"	"1"	"3"
"V6(b64)"	""	79	1.0	235.0	"3/4"	"18"	"1"	"3"
"V6"	""	79	2.0	236.0	"3/4"	"18"	"1"	"3"
"V"	""	79	3.0	237.0	"3/4"	"18"	"1"	"3"
"I"	""	80	1.0	238.0	"3/4"	"18"	"1"	"3"
"#viio43"	""	80	3.0	240.0	"3/4"	"18"	"1"	"3"
"V6(b64)"	""	81	1.0	241.0	"3/4"	"18"	"1"	"3"
"V6"	""	81	2.0	242.0	"3/4"	"18"	"1"	"3"
"V"	""	81	3.0	243.0	"3/4"	"18"	"1"	"3"
"I"	""	82	1.0	244.0	"3/4"	"18"	"1"	"3"
"V6"	""	82	2.0	245.0	"3/4"	"18"	"1"	"3"
"V"	""	82	3.0	246.0	"3/4"	"18"	"1"	"3"
"I"	""	83	1.0	247.0	"3/4"	"18"	"1"	"3"
"V6"	""	83	2.0	248.0	"3/4"	"18"	"1"	"3"
"V"	""	83	3.0	249.0	"3/4"	"18"	"1"	"3"
"I"	""	84	1.0	250.0	"3/4"	"18"	"1"	"3"
"I\\\\"	""	85	1.0	253.0	"3/4"	"18"	"1"	"3"
"i.V"	""	86	1.0	256.0	"3/4"	"18"	"1"	"3"
".bVI.I[I"	""	90	1.0	268.0	"3/4"	"18"	"1"	"3"
"I"	""	91	1.0	271.0	"3/4"	"18"	"1"	"3"
"V7"	""	93	3.0	279.0	"3/4"	"18"	"1"	"3"
"I"	""	94	1.0	280.0	"3/4"	"18"	"1"	"3"
"V7"	""	97	3.0	291.0	"3/4"	"18"	"1"	"3"
"I]"	""	98	1.0	292.0	"3/4"	"18"	"1"	"3"
"i.VI"	""	99	1.0	295.0	"3/4"	"18"	"1"	"3"
"i64"	""	99	2.0	296.0	"3/4"	"18"	"1"	"3"
"viio/V"	""	99	3.0	297.0	"3/4"	"18"	"1"	"3"
"V(b64)"	""	100	1.0	298.0	"3/4"	"18"	"1"	"3"
"V"	""	100	3.0	300.0	"3/4"	"18"	"1"	"3"
"i\\\\"	""	101	1.0	301.0	"3/4"	"18"	"1"	"3"
"V7/IV"	""	102	1.0	304.0	"3/4"	"18"	"1"	"3"
"V/bVII"	""	106	1.0	316.0	"3/4"	"18"	"1"	"3"
"viio65"	""	110	1.0	328.0	"3/4"	"18"	"1"	"3"
"V65"	""	111	1.0	331.0	"3/4"	"18"	"1"	"3"
"i(+2)"	""	112	1.0	334.0	"3/4"	"18"	"1"	"3"
"i"	""	113	1.0	337.0	"3/4"	"18"	"1"	"3"
"V\\\\"	""	114	1.0	340.0	"3/4"	"18"	"1"	"3"
"V/vi"	""	121	1.0	361.0	"3/4"	"18"	"1"	"3"
"V(64)/ii"	""	122	1.0	364.0	"3/4"	"18"	"1"	"3"
"V7/ii"	""	125	3.0	375.0	"3/4"	"18"	"1"	"3"
"V(64)/ii"	""	126	1.0	376.0	"3/4"	"18"	"1"	"3"
"V7/ii"	""	129	3.0	387.0	"3/4"	"18"	"1"	"3"
"V7/V"	""	130	1.0	388.0	"3/4"	"18"	"1"	"3"
"V/V"	""	133	1.0	397.0	"3/4"	"18"	"1"	"3"
"V(64)/V"	""	133	3.0	399.0	"3/4"	"18"	"1"	"3"
"V7/V"	""	134	1.0	400.0	"3/4"	"18"	"1"	"3"
"V/V"	""	137	1.0	409.0	"3/4"	"18"	"1"	"3"
"V"	""	137	3.0	411.0	"3/4"	"18"	"1"	"3"
"V7"	""	139	1.0	415.0	"3/4"	"18"	"1"	"3"
"V"	""	141	1.0	421.0	"3/4"	"18"	"1"	"3"
"V(64)"	""	141	3.0	423.0	"3/4"	"18"	"1"	"3"
"V"	""	142	1.0	424.0	"3/4"	"18"	"1"	"3"
"V7"	""	143	1.0	427.0	"3/4"	"18"	"1"	"3"
"V"	""	144	1.0	430.0	"3/4"	"18"	"1"	"3"
