"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"
"V7"	""	30	4.0	120.0	"2/2"	"59"	"8"	"4"
"i\\\\"	""	31	1.0	121.0	"2/2"	"59"	"8"	"4"
"i"	""	31	3.0	123.0	"2/2"	"59"	"8"	"4"
"V/V"	""	32	1.0	125.0	"2/2"	"59"	"8"	"4"
"VI.V7/V"	""	34	3.0	135.0	"2/2"	"59"	"8"	"4"
"V7"	""	35	1.0	137.0	"2/2"	"59"	"8"	"4"
"I\\\\"	""	36	1.0	141.0	"2/2"	"59"	"8"	"4"
"I"	""	36	3.0	143.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	37	3.0	147.0	"2/2"	"59"	"8"	"4"
"I"	""	38	1.0	149.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	39	3.0	155.0	"2/2"	"59"	"8"	"4"
"I"	""	40	1.0	157.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	40	3.0	159.0	"2/2"	"59"	"8"	"4"
"I[I"	""	41	1.0	161.0	"2/2"	"59"	"8"	"4"
"ii6"	""	41	2.5	162.5	"2/2"	"59"	"8"	"4"
"I6"	""	41	3.0	163.0	"2/2"	"59"	"8"	"4"
"viio6]"	""	41	4.5	164.5	"2/2"	"59"	"8"	"4"
"i.iv6"	""	42	1.0	165.0	"2/2"	"59"	"8"	"4"
"i64"	""	42	3.5	167.5	"2/2"	"59"	"8"	"4"
"iv"	""	43	3.0	171.0	"2/2"	"59"	"8"	"4"
"#viio2"	""	44	1.0	173.0	"2/2"	"59"	"8"	"4"
"V2"	""	44	2.5	174.5	"2/2"	"59"	"8"	"4"
"i6"	""	44	3.0	175.0	"2/2"	"59"	"8"	"4"
"#viio6"	""	45	1.0	177.0	"2/2"	"59"	"8"	"4"
"i"	""	45	3.0	179.0	"2/2"	"59"	"8"	"4"
"iv6"	""	46	1.0	181.0	"2/2"	"59"	"8"	"4"
"V64/iv"	""	46	3.0	183.0	"2/2"	"59"	"8"	"4"
"iv"	""	47	1.0	185.0	"2/2"	"59"	"8"	"4"
"ii%65"	""	47	2.5	186.5	"2/2"	"59"	"8"	"4"
"V"	""	47	3.0	187.0	"2/2"	"59"	"8"	"4"
"i6"	""	48	1.0	189.0	"2/2"	"59"	"8"	"4"
"V43"	""	49	1.0	193.0	"2/2"	"59"	"8"	"4"
"i"	""	49	3.0	195.0	"2/2"	"59"	"8"	"4"
"iv6"	""	50	1.0	197.0	"2/2"	"59"	"8"	"4"
"V43/iv"	""	50	3.0	199.0	"2/2"	"59"	"8"	"4"
"iv"	""	51	1.0	201.0	"2/2"	"59"	"8"	"4"
"iio6"	""	51	2.0	202.0	"2/2"	"59"	"8"	"4"
"V7"	""	51	3.0	203.0	"2/2"	"59"	"8"	"4"
"i\\\\"	""	52	1.0	205.0	"2/2"	"59"	"8"	"4"
"i"	""	52	2.0	206.0	"2/2"	"59"	"8"	"4"
"V64"	""	52	2.5	206.5	"2/2"	"59"	"8"	"4"
"i"	""	52	3.0	207.0	"2/2"	"59"	"8"	"4"
"V7"	""	53	1.0	209.0	"2/2"	"59"	"8"	"4"
"i"	""	54	1.0	213.0	"2/2"	"59"	"8"	"4"
"V64"	""	54	2.5	214.5	"2/2"	"59"	"8"	"4"
"i"	""	54	3.0	215.0	"2/2"	"59"	"8"	"4"
"V7"	""	55	1.0	217.0	"2/2"	"59"	"8"	"4"
"i"	""	56	1.0	221.0	"2/2"	"59"	"8"	"4"
"VI"	""	57	1.0	225.0	"2/2"	"59"	"8"	"4"
"VI6"	""	57	3.0	227.0	"2/2"	"59"	"8"	"4"
"v6"	""	58	1.0	229.0	"2/2"	"59"	"8"	"4"
"iv6"	""	60	1.0	237.0	"2/2"	"59"	"8"	"4"
"iv"	""	61	1.0	241.0	"2/2"	"59"	"8"	"4"
"iv6"	""	61	3.0	243.0	"2/2"	"59"	"8"	"4"
"III6"	""	62	1.0	245.0	"2/2"	"59"	"8"	"4"
"V2/III"	""	63	2.5	250.5	"2/2"	"59"	"8"	"4"
"III6"	""	63	3.0	251.0	"2/2"	"59"	"8"	"4"
"V6/V"	""	64	1.0	253.0	"2/2"	"59"	"8"	"4"
"V43/V"	""	64	3.0	255.0	"2/2"	"59"	"8"	"4"
"v(42)"	""	65	1.0	257.0	"2/2"	"59"	"8"	"4"
"v.i"	""	65	3.0	259.0	"2/2"	"59"	"8"	"4"
".Ger6"	""	65	4.0	260.0	"2/2"	"59"	"8"	"4"
"V[V6"	""	66	1.0	261.0	"2/2"	"59"	"8"	"4"
"V43"	""	66	3.0	263.0	"2/2"	"59"	"8"	"4"
"i"	""	67	3.0	267.0	"2/2"	"59"	"8"	"4"
"#viio6/V"	""	67	4.0	268.0	"2/2"	"59"	"8"	"4"
"V]\\\\"	""	68	1.0	269.0	"2/2"	"59"	"8"	"4"
"V7"	""	69	1.0	273.0	"2/2"	"59"	"8"	"4"
"V"	""	69	4.0	276.0	"2/2"	"59"	"8"	"4"
"i"	""	70	1.0	277.0	"2/2"	"59"	"8"	"4"
"i64"	""	70	4.0	280.0	"2/2"	"59"	"8"	"4"
"V7"	""	71	1.0	281.0	"2/2"	"59"	"8"	"4"
"V65"	""	71	4.0	284.0	"2/2"	"59"	"8"	"4"
"i"	""	72	1.0	285.0	"2/2"	"59"	"8"	"4"
"i64"	""	72	3.0	287.0	"2/2"	"59"	"8"	"4"
"i"	""	72	4.0	288.0	"2/2"	"59"	"8"	"4"
".bII"	""	73	1.0	289.0	"2/2"	"59"	"8"	"4"
".bII64"	""	73	3.0	291.0	"2/2"	"59"	"8"	"4"
".bII6"	""	73	4.0	292.0	"2/2"	"59"	"8"	"4"
".bII"	""	74	4.0	296.0	"2/2"	"59"	"8"	"4"
"i"	""	75	1.0	297.0	"2/2"	"59"	"8"	"4"
"V"	""	76	1.0	301.0	"2/2"	"59"	"8"	"4"
"V6"	""	76	4.0	304.0	"2/2"	"59"	"8"	"4"
"i"	""	77	1.0	305.0	"2/2"	"59"	"8"	"4"
"V65"	""	79	1.0	313.0	"2/2"	"59"	"8"	"4"
"i"	""	80	1.0	317.0	"2/2"	"59"	"8"	"4"
".bII"	""	81	1.0	321.0	"2/2"	"59"	"8"	"4"
".bII6"	""	82	1.0	325.0	"2/2"	"59"	"8"	"4"
"i"	""	83	1.0	329.0	"2/2"	"59"	"8"	"4"
"V7"	""	84	1.0	333.0	"2/2"	"59"	"8"	"4"
"i[i6"	""	85	1.0	337.0	"2/2"	"59"	"8"	"4"
"i64"	""	85	3.0	339.0	"2/2"	"59"	"8"	"4"
"#viio2"	""	86	1.0	341.0	"2/2"	"59"	"8"	"4"
"i6"	""	87	1.0	345.0	"2/2"	"59"	"8"	"4"
"#viio2"	""	88	1.0	349.0	"2/2"	"59"	"8"	"4"
"i6]"	""	89	1.0	353.0	"2/2"	"59"	"8"	"4"
"i"	""	89	2.0	354.0	"2/2"	"59"	"8"	"4"
"VI.V6"	""	93	4.0	372.0	"2/2"	"59"	"8"	"4"
"V"	""	106	3.0	423.0	"2/2"	"59"	"8"	"4"
"I"	""	107	1.0	425.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	108	3.0	431.0	"2/2"	"59"	"8"	"4"
"I"	""	109	1.0	433.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	110	3.0	439.0	"2/2"	"59"	"8"	"4"
"I"	""	111	1.0	441.0	"2/2"	"59"	"8"	"4"
"i.iv65"	""	113	1.0	449.0	"2/2"	"59"	"8"	"4"
"i64"	""	113	3.5	451.5	"2/2"	"59"	"8"	"4"
"V7"	""	114	1.0	453.0	"2/2"	"59"	"8"	"4"
"V7(4)"	""	114	3.0	455.0	"2/2"	"59"	"8"	"4"
"V7"	""	114	4.0	456.0	"2/2"	"59"	"8"	"4"
"i\\\\"	""	115	1.0	457.0	"2/2"	"59"	"8"	"4"
"VI.V43"	""	115	3.0	459.0	"2/2"	"59"	"8"	"4"
"I"	""	116	1.0	461.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	117	3.0	467.0	"2/2"	"59"	"8"	"4"
"I"	""	118	1.0	469.0	"2/2"	"59"	"8"	"4"
"I[I6"	""	119	1.0	473.0	"2/2"	"59"	"8"	"4"
"ii6"	""	119	3.0	475.0	"2/2"	"59"	"8"	"4"
"vii%43]"	""	119	4.5	476.5	"2/2"	"59"	"8"	"4"
"I"	""	120	1.0	477.0	"2/2"	"59"	"8"	"4"
"i.iv65"	""	122	1.0	485.0	"2/2"	"59"	"8"	"4"
"i64"	""	122	3.5	487.5	"2/2"	"59"	"8"	"4"
"V7"	""	123	1.0	489.0	"2/2"	"59"	"8"	"4"
"V7(4)"	""	123	3.0	491.0	"2/2"	"59"	"8"	"4"
"V7"	""	123	4.0	492.0	"2/2"	"59"	"8"	"4"
"i\\\\"	""	124	1.0	493.0	"2/2"	"59"	"8"	"4"
"i"	""	124	3.0	495.0	"2/2"	"59"	"8"	"4"
"V/V"	""	125	1.0	497.0	"2/2"	"59"	"8"	"4"
"VI.V7/V"	""	127	3.0	507.0	"2/2"	"59"	"8"	"4"
"V7"	""	128	1.0	509.0	"2/2"	"59"	"8"	"4"
"I\\\\"	""	129	1.0	513.0	"2/2"	"59"	"8"	"4"
"I"	""	129	3.0	515.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	130	3.0	519.0	"2/2"	"59"	"8"	"4"
"I"	""	131	1.0	521.0	"2/2"	"59"	"8"	"4"
"I[I6"	""	132	1.0	525.0	"2/2"	"59"	"8"	"4"
"ii6"	""	132	3.0	527.0	"2/2"	"59"	"8"	"4"
"vii%43]"	""	132	4.5	528.5	"2/2"	"59"	"8"	"4"
"I"	""	133	1.0	529.0	"2/2"	"59"	"8"	"4"
"i.iv65"	""	135	1.0	537.0	"2/2"	"59"	"8"	"4"
"i64"	""	135	3.5	539.5	"2/2"	"59"	"8"	"4"
"V7"	""	136	1.0	541.0	"2/2"	"59"	"8"	"4"
"V7(4)"	""	136	3.0	543.0	"2/2"	"59"	"8"	"4"
"V7"	""	136	4.0	544.0	"2/2"	"59"	"8"	"4"
"i\\\\"	""	137	1.0	545.0	"2/2"	"59"	"8"	"4"
"i"	""	137	3.0	547.0	"2/2"	"59"	"8"	"4"
"V/V"	""	138	1.0	549.0	"2/2"	"59"	"8"	"4"
"VI.V7/V"	""	140	3.0	559.0	"2/2"	"59"	"8"	"4"
"V7"	""	141	1.0	561.0	"2/2"	"59"	"8"	"4"
"I\\\\"	""	142	1.0	565.0	"2/2"	"59"	"8"	"4"
"I[I6"	""	142	3.0	567.0	"2/2"	"59"	"8"	"4"
"ii6"	""	142	4.5	568.5	"2/2"	"59"	"8"	"4"
"I6"	""	143	1.0	569.0	"2/2"	"59"	"8"	"4"
"I6(2)"	""	143	2.5	570.5	"2/2"	"59"	"8"	"4"
"ii6"	""	143	4.5	572.5	"2/2"	"59"	"8"	"4"
"I6"	""	144	1.0	573.0	"2/2"	"59"	"8"	"4"
"ii6"	""	144	4.5	576.5	"2/2"	"59"	"8"	"4"
"I6"	""	145	1.0	577.0	"2/2"	"59"	"8"	"4"
"ii6"	""	145	4.5	580.5	"2/2"	"59"	"8"	"4"
"I6]"	""	146	1.0	581.0	"2/2"	"59"	"8"	"4"
"IV"	""	147	1.0	585.0	"2/2"	"59"	"8"	"4"
"viio6"	""	148	1.0	589.0	"2/2"	"59"	"8"	"4"
"viio"	""	148	3.0	591.0	"2/2"	"59"	"8"	"4"
"V7"	""	149	1.0	593.0	"2/2"	"59"	"8"	"4"
"V43"	""	149	3.0	595.0	"2/2"	"59"	"8"	"4"
"I"	""	150	1.0	597.0	"2/2"	"59"	"8"	"4"
"vi"	""	150	3.0	599.0	"2/2"	"59"	"8"	"4"
"IV"	""	151	1.0	601.0	"2/2"	"59"	"8"	"4"
"ii"	""	152	1.0	605.0	"2/2"	"59"	"8"	"4"
"viio"	""	152	3.0	607.0	"2/2"	"59"	"8"	"4"
"#viio/vi"	""	153	1.0	609.0	"2/2"	"59"	"8"	"4"
"V7/vi"	""	153	3.0	611.0	"2/2"	"59"	"8"	"4"
"vi"	""	154	1.0	613.0	"2/2"	"59"	"8"	"4"
"ii"	""	155	1.0	617.0	"2/2"	"59"	"8"	"4"
"#viio6/vi"	""	156	1.0	621.0	"2/2"	"59"	"8"	"4"
"#viio/vi"	""	156	3.0	623.0	"2/2"	"59"	"8"	"4"
"V7/vi"	""	157	1.0	625.0	"2/2"	"59"	"8"	"4"
"#viio6/vi"	""	157	3.0	627.0	"2/2"	"59"	"8"	"4"
"vi"	""	158	1.0	629.0	"2/2"	"59"	"8"	"4"
".bII.vi6"	""	159	1.0	633.0	"2/2"	"59"	"8"	"4"
"vi"	""	159	3.0	635.0	"2/2"	"59"	"8"	"4"
"IV"	""	160	1.0	637.0	"2/2"	"59"	"8"	"4"
"ii"	""	160	3.0	639.0	"2/2"	"59"	"8"	"4"
"viio"	""	161	1.0	641.0	"2/2"	"59"	"8"	"4"
"V65"	""	161	3.0	643.0	"2/2"	"59"	"8"	"4"
"I"	""	162	1.0	645.0	"2/2"	"59"	"8"	"4"
"IV"	""	163	1.0	649.0	"2/2"	"59"	"8"	"4"
"V43/bVII"	""	163	3.0	651.0	"2/2"	"59"	"8"	"4"
".bVII"	""	164	1.0	653.0	"2/2"	"59"	"8"	"4"
"V7/vi"	""	165	1.0	657.0	"2/2"	"59"	"8"	"4"
"V43/vi"	""	165	3.0	659.0	"2/2"	"59"	"8"	"4"
"vi.i"	""	166	1.0	661.0	"2/2"	"59"	"8"	"4"
"iio"	""	166	3.0	663.0	"2/2"	"59"	"8"	"4"
"V6"	""	167	1.0	665.0	"2/2"	"59"	"8"	"4"
"V2"	""	167	3.0	667.0	"2/2"	"59"	"8"	"4"
"i6"	""	168	1.0	669.0	"2/2"	"59"	"8"	"4"
".bV.iio"	""	168	3.0	671.0	"2/2"	"59"	"8"	"4"
"V6"	""	169	1.0	673.0	"2/2"	"59"	"8"	"4"
"V7"	""	169	3.0	675.0	"2/2"	"59"	"8"	"4"
"I"	""	170	1.0	677.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	173	4.0	692.0	"2/2"	"59"	"8"	"4"
"I"	""	174	1.0	693.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	175	4.0	700.0	"2/2"	"59"	"8"	"4"
"I"	""	176	1.0	701.0	"2/2"	"59"	"8"	"4"
".bVI64"	""	176	2.5	702.5	"2/2"	"59"	"8"	"4"
".bIII"	""	176	3.0	703.0	"2/2"	"59"	"8"	"4"
".bVII(4)"	""	176	4.5	704.5	"2/2"	"59"	"8"	"4"
".bIII"	""	177	1.0	705.0	"2/2"	"59"	"8"	"4"
".bVII(4)"	""	177	2.0	706.0	"2/2"	"59"	"8"	"4"
"i6"	""	177	3.0	707.0	"2/2"	"59"	"8"	"4"
"ii.VI"	""	177	4.0	708.0	"2/2"	"59"	"8"	"4"
"iv6"	""	177	4.5	708.5	"2/2"	"59"	"8"	"4"
"V"	""	178	1.0	709.0	"2/2"	"59"	"8"	"4"
"i"	""	179	4.0	716.0	"2/2"	"59"	"8"	"4"
"i6"	""	180	1.0	717.0	"2/2"	"59"	"8"	"4"
"V43"	""	180	2.0	718.0	"2/2"	"59"	"8"	"4"
"i"	""	180	3.0	719.0	"2/2"	"59"	"8"	"4"
"V6"	""	180	4.0	720.0	"2/2"	"59"	"8"	"4"
"V43"	""	181	1.0	721.0	"2/2"	"59"	"8"	"4"
"i6"	""	181	2.0	722.0	"2/2"	"59"	"8"	"4"
"V2"	""	181	3.0	723.0	"2/2"	"59"	"8"	"4"
"i"	""	182	1.0	725.0	"2/2"	"59"	"8"	"4"
"iii.V"	""	183	1.0	729.0	"2/2"	"59"	"8"	"4"
"V7"	""	183	4.0	732.0	"2/2"	"59"	"8"	"4"
"i6"	""	184	1.0	733.0	"2/2"	"59"	"8"	"4"
"V43"	""	184	2.0	734.0	"2/2"	"59"	"8"	"4"
"i"	""	184	3.0	735.0	"2/2"	"59"	"8"	"4"
"V7"	""	184	4.0	736.0	"2/2"	"59"	"8"	"4"
"V(64)"	""	184	4.5	736.5	"2/2"	"59"	"8"	"4"
"V7"	""	185	1.0	737.0	"2/2"	"59"	"8"	"4"
"V(64)"	""	185	2.0	738.0	"2/2"	"59"	"8"	"4"
"V65"	""	185	3.0	739.0	"2/2"	"59"	"8"	"4"
"VI.I6"	""	185	4.0	740.0	"2/2"	"59"	"8"	"4"
"V7/V"	""	185	4.5	740.5	"2/2"	"59"	"8"	"4"
"V\\\\"	""	186	1.0	741.0	"2/2"	"59"	"8"	"4"
"V9"	""	187	1.0	745.0	"2/2"	"59"	"8"	"4"
"V(64)"	""	187	4.0	748.0	"2/2"	"59"	"8"	"4"
"V7"	""	189	1.0	753.0	"2/2"	"59"	"8"	"4"
"V(64)"	""	189	2.0	754.0	"2/2"	"59"	"8"	"4"
"V7"	""	189	3.0	755.0	"2/2"	"59"	"8"	"4"
"I"	""	190	1.0	757.0	"2/2"	"59"	"8"	"4"
"V6/ii"	""	191	1.0	761.0	"2/2"	"59"	"8"	"4"
"ii"	""	192	1.0	765.0	"2/2"	"59"	"8"	"4"
"V6/iii"	""	193	1.0	769.0	"2/2"	"59"	"8"	"4"
"iii"	""	194	1.0	773.0	"2/2"	"59"	"8"	"4"
"iii64"	""	195	1.0	777.0	"2/2"	"59"	"8"	"4"
"V43"	""	196	1.0	781.0	"2/2"	"59"	"8"	"4"
"I"	""	198	1.0	789.0	"2/2"	"59"	"8"	"4"
"vi7"	""	199	1.0	793.0	"2/2"	"59"	"8"	"4"
"I"	""	199	3.0	795.0	"2/2"	"59"	"8"	"4"
"V43/vi"	""	200	1.0	797.0	"2/2"	"59"	"8"	"4"
"ii"	""	202	1.0	805.0	"2/2"	"59"	"8"	"4"
"i.iv"	""	203	3.0	811.0	"2/2"	"59"	"8"	"4"
"i6"	""	204	1.0	813.0	"2/2"	"59"	"8"	"4"
"V43"	""	206	1.0	821.0	"2/2"	"59"	"8"	"4"
"i"	""	207	1.0	825.0	"2/2"	"59"	"8"	"4"
"V6"	""	208	1.0	829.0	"2/2"	"59"	"8"	"4"
"i"	""	209	1.0	833.0	"2/2"	"59"	"8"	"4"
"iv6"	""	209	3.0	835.0	"2/2"	"59"	"8"	"4"
"V"	""	210	1.0	837.0	"2/2"	"59"	"8"	"4"
"viio64"	""	210	4.0	840.0	"2/2"	"59"	"8"	"4"
"V43"	""	211	1.0	841.0	"2/2"	"59"	"8"	"4"
"i"	""	211	2.0	842.0	"2/2"	"59"	"8"	"4"
"viio65/V"	""	211	4.0	844.0	"2/2"	"59"	"8"	"4"
"V"	""	212	1.0	845.0	"2/2"	"59"	"8"	"4"
"V7"	""	212	3.0	847.0	"2/2"	"59"	"8"	"4"
"V9"	""	212	4.0	848.0	"2/2"	"59"	"8"	"4"
"V(64)"	""	213	2.0	850.0	"2/2"	"59"	"8"	"4"
"V[#viio6/V"	""	213	4.0	852.0	"2/2"	"59"	"8"	"4"
"V"	""	214	1.0	853.0	"2/2"	"59"	"8"	"4"
"i"	""	216	1.0	861.0	"2/2"	"59"	"8"	"4"
"V"	""	217	1.0	865.0	"2/2"	"59"	"8"	"4"
"V7"	""	217	3.0	867.0	"2/2"	"59"	"8"	"4"
"V65"	""	217	4.0	868.0	"2/2"	"59"	"8"	"4"
"i"	""	218	1.0	869.0	"2/2"	"59"	"8"	"4"
".bII6"	""	219	1.0	873.0	"2/2"	"59"	"8"	"4"
"i"	""	221	1.0	881.0	"2/2"	"59"	"8"	"4"
"V"	""	222	1.0	885.0	"2/2"	"59"	"8"	"4"
"V7"	""	222	3.0	887.0	"2/2"	"59"	"8"	"4"
"V65"	""	222	4.0	888.0	"2/2"	"59"	"8"	"4"
"i"	""	223	1.0	889.0	"2/2"	"59"	"8"	"4"
"V6"	""	225	1.0	897.0	"2/2"	"59"	"8"	"4"
"i6"	""	226	1.0	901.0	"2/2"	"59"	"8"	"4"
".bII6"	""	227	1.0	905.0	"2/2"	"59"	"8"	"4"
"i6"	""	229	1.0	913.0	"2/2"	"59"	"8"	"4"
"V65"	""	230	1.0	917.0	"2/2"	"59"	"8"	"4"
"i"	""	231	1.0	921.0	"2/2"	"59"	"8"	"4"
"V7/bII"	""	231	3.0	923.0	"2/2"	"59"	"8"	"4"
".bII6"	""	232	1.0	925.0	"2/2"	"59"	"8"	"4"
"V43/bII"	""	233	1.0	929.0	"2/2"	"59"	"8"	"4"
".bII"	""	234	1.0	933.0	"2/2"	"59"	"8"	"4"
"V/bII"	""	235	1.0	937.0	"2/2"	"59"	"8"	"4"
".bII6"	""	236	1.0	941.0	"2/2"	"59"	"8"	"4"
"i"	""	237	1.0	945.0	"2/2"	"59"	"8"	"4"
"V7"	""	238	1.0	949.0	"2/2"	"59"	"8"	"4"
"i\\\\"	""	239	1.0	953.0	"2/2"	"59"	"8"	"4"
"V7/bII"	""	239	3.0	955.0	"2/2"	"59"	"8"	"4"
".bII6"	""	240	1.0	957.0	"2/2"	"59"	"8"	"4"
"V43/bII"	""	241	1.0	961.0	"2/2"	"59"	"8"	"4"
".bII"	""	242	1.0	965.0	"2/2"	"59"	"8"	"4"
"V/bII"	""	243	1.0	969.0	"2/2"	"59"	"8"	"4"
".bII6"	""	244	1.0	973.0	"2/2"	"59"	"8"	"4"
"i"	""	245	1.0	977.0	"2/2"	"59"	"8"	"4"
"V7"	""	246	1.0	981.0	"2/2"	"59"	"8"	"4"
"i\\\\"	""	247	1.0	985.0	"2/2"	"59"	"8"	"4"
"i[i"	""	247	3.0	987.0	"2/2"	"59"	"8"	"4"
"#viio2"	""	248	1.0	989.0	"2/2"	"59"	"8"	"4"
"i6"	""	249	1.0	993.0	"2/2"	"59"	"8"	"4"
"#viio2"	""	250	1.0	997.0	"2/2"	"59"	"8"	"4"
"i]"	""	251	1.0	1001.0	"2/2"	"59"	"8"	"4"
"i"	""	251	2.0	1002.0	"2/2"	"59"	"8"	"4"
"VI6"	""	255	4.0	1020.0	"2/2"	"59"	"8"	"4"
"V7/VI"	""	259	1.0	1033.0	"2/2"	"59"	"8"	"4"
"VI.I6"	""	266	1.0	1061.0	"2/2"	"59"	"8"	"4"
"ii6"	""	267	1.0	1065.0	"2/2"	"59"	"8"	"4"
"V7"	""	274	3.0	1095.0	"2/2"	"59"	"8"	"4"
"I"	""	275	1.0	1097.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	276	3.0	1103.0	"2/2"	"59"	"8"	"4"
"I"	""	277	1.0	1105.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	278	3.0	1111.0	"2/2"	"59"	"8"	"4"
"I"	""	279	1.0	1113.0	"2/2"	"59"	"8"	"4"
"i.VI"	""	280	3.0	1119.0	"2/2"	"59"	"8"	"4"
"iv65"	""	281	1.0	1121.0	"2/2"	"59"	"8"	"4"
"i64"	""	281	3.5	1123.5	"2/2"	"59"	"8"	"4"
"V7"	""	282	1.0	1125.0	"2/2"	"59"	"8"	"4"
"i\\\\"	""	283	1.0	1129.0	"2/2"	"59"	"8"	"4"
"VI.iii"	""	283	2.0	1130.0	"2/2"	"59"	"8"	"4"
"V43"	""	283	3.0	1131.0	"2/2"	"59"	"8"	"4"
"I[I6"	""	284	1.0	1133.0	"2/2"	"59"	"8"	"4"
"ii6"	""	285	4.5	1140.5	"2/2"	"59"	"8"	"4"
"I6"	""	286	1.0	1141.0	"2/2"	"59"	"8"	"4"
"ii6"	""	286	4.5	1144.5	"2/2"	"59"	"8"	"4"
"I6"	""	287	1.0	1145.0	"2/2"	"59"	"8"	"4"
"ii6"	""	287	4.5	1148.5	"2/2"	"59"	"8"	"4"
"I6"	""	288	1.0	1149.0	"2/2"	"59"	"8"	"4"
"IV"	""	288	4.5	1152.5	"2/2"	"59"	"8"	"4"
"I64"	""	289	1.0	1153.0	"2/2"	"59"	"8"	"4"
"viio"	""	289	2.5	1154.5	"2/2"	"59"	"8"	"4"
"I]"	""	289	3.0	1155.0	"2/2"	"59"	"8"	"4"
"i.VIM7"	""	289	4.5	1156.5	"2/2"	"59"	"8"	"4"
"iv65"	""	290	1.0	1157.0	"2/2"	"59"	"8"	"4"
"V"	""	290	3.5	1159.5	"2/2"	"59"	"8"	"4"
"#viio43"	""	291	3.0	1163.0	"2/2"	"59"	"8"	"4"
"i6"	""	292	3.0	1167.0	"2/2"	"59"	"8"	"4"
"#viio6"	""	293	1.0	1169.0	"2/2"	"59"	"8"	"4"
"i"	""	293	3.0	1171.0	"2/2"	"59"	"8"	"4"
"iv6"	""	294	1.0	1173.0	"2/2"	"59"	"8"	"4"
"#viio6/iv"	""	294	3.0	1175.0	"2/2"	"59"	"8"	"4"
"iv"	""	295	1.0	1177.0	"2/2"	"59"	"8"	"4"
