"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"#viio43/ii"	""	163	2.5	488.5	"6/8"	1.5	"D"	"ii"	""	"#vii"	"o"	"43"	""	"ii"	false
"#viio2/ii"	""	164	1.0	490.0	"6/8"	1.5	"D"	"ii"	""	"#vii"	"o"	"2"	""	"ii"	false
"V7/ii"	""	164	2.5	491.5	"6/8"	1.5	"D"	"ii"	""	"V"	""	"7"	""	"ii"	false
"V7/V"	""	165	1.0	493.0	"6/8"	3.0	"D"	"ii"	""	"V"	""	"7"	""	"V"	false
"V9/V"	""	166	1.0	496.0	"6/8"	9.0	"D"	"ii"	""	"V"	""	"9"	""	"V"	false
"V7"	""	169	1.0	505.0	"6/8"	1.5	"D"	"ii"	""	"V"	""	"7"	""	""	false
"V9"	""	169	2.5	506.5	"6/8"	9.0	"D"	"ii"	""	"V"	""	"9"	""	""	false
"V7"	""	172	2.5	515.5	"6/8"	1.5	"D"	"ii"	""	"V"	""	"7"	""	""	false
"i"	""	173	1.0	517.0	"6/8"	1.5	"D"	"ii"	""	"i"	""	""	""	""	false
"vi.Ger6"	""	173	2.5	518.5	"6/8"	4.5	"D"	"vi"	""	"Ger"	""	"6"	""	""	false
"V(64)"	""	175	1.0	523.0	"6/8"	3.0	"D"	"vi"	""	"V"	""	""	"64"	""	false
"V7"	""	176	1.0	526.0	"6/8"	3.0	"D"	"vi"	""	"V"	""	"7"	""	""	false
"i\\\\"	""	177	1.0	529.0	"6/8"	1.5	"D"	"vi"	""	"i"	""	""	""	""	true
"VI"	""	177	2.5	530.5	"6/8"	1.0	"D"	"vi"	""	"VI"	""	""	""	""	false
".Ger6"	""	177	3.5	531.5	"6/8"	3.5	"D"	"vi"	""	"Ger"	""	"6"	""	""	false
"V(64)"	""	179	1.0	535.0	"6/8"	3.0	"D"	"vi"	""	"V"	""	""	"64"	""	false
"V7"	""	180	1.0	538.0	"6/8"	3.0	"D"	"vi"	""	"V"	""	"7"	""	""	false
"i\\\\"	""	181	1.0	541.0	"6/8"	3.0	"D"	"vi"	""	"i"	""	""	""	""	true
"V65"	""	182	1.0	544.0	"6/8"	-0.5	"D"	"vi"	""	"V"	""	"65"	""	""	false
"V7"	""	182	0.5	543.5	"6/8"	3.5	"D"	"vi"	""	"V"	""	"7"	""	""	false
"i"	""	183	1.0	547.0	"6/8"	3.0	"D"	"vi"	""	"i"	""	""	""	""	false
"V65"	""	184	1.0	550.0	"6/8"	1.5	"D"	"vi"	""	"V"	""	"65"	""	""	false
"V7"	""	184	2.5	551.5	"6/8"	1.5	"D"	"vi"	""	"V"	""	"7"	""	""	false
"i"	""	185	1.0	553.0	"6/8"	3.0	"D"	"vi"	""	"i"	""	""	""	""	false
"v.V7"	""	186	1.0	556.0	"6/8"	3.0	"D"	"v"	""	"V"	""	"7"	""	""	false
"i"	""	187	1.0	559.0	"6/8"	1.5	"D"	"v"	""	"i"	""	""	""	""	false
"i64"	""	187	2.5	560.5	"6/8"	1.5	"D"	"v"	""	"i"	""	"64"	""	""	false
"V65"	""	188	1.0	562.0	"6/8"	-0.5	"D"	"v"	""	"V"	""	"65"	""	""	false
"V7"	""	188	0.5	561.5	"6/8"	3.5	"D"	"v"	""	"V"	""	"7"	""	""	false
"i"	""	189	1.0	565.0	"6/8"	1.5	"D"	"v"	""	"i"	""	""	""	""	false
"i64"	""	189	2.5	566.5	"6/8"	1.5	"D"	"v"	""	"i"	""	"64"	""	""	false
"V65"	""	190	1.0	568.0	"6/8"	1.5	"D"	"v"	""	"V"	""	"65"	""	""	false
"V7"	""	190	2.5	569.5	"6/8"	1.5	"D"	"v"	""	"V"	""	"7"	""	""	false
"i"	""	191	1.0	571.0	"6/8"	4.5	"D"	"v"	""	"i"	""	""	""	""	false
"IV.V7"	""	192	2.5	575.5	"6/8"	1.5	"D"	"IV"	""	"V"	""	"7"	""	""	false
"I"	""	193	1.0	577.0	"6/8"	1.5	"D"	"IV"	""	"I"	""	""	""	""	false
"I64"	""	193	2.5	578.5	"6/8"	1.5	"D"	"IV"	""	"I"	""	"64"	""	""	false
"V65"	""	194	1.0	580.0	"6/8"	-0.5	"D"	"IV"	""	"V"	""	"65"	""	""	false
"V7"	""	194	0.5	579.5	"6/8"	3.5	"D"	"IV"	""	"V"	""	"7"	""	""	false
"I"	""	195	1.0	583.0	"6/8"	1.5	"D"	"IV"	""	"I"	""	""	""	""	false
"I64"	""	195	2.5	584.5	"6/8"	1.5	"D"	"IV"	""	"I"	""	"64"	""	""	false
"V65"	""	196	1.0	586.0	"6/8"	1.5	"D"	"IV"	""	"V"	""	"65"	""	""	false
"V7"	""	196	2.5	587.5	"6/8"	1.5	"D"	"IV"	""	"V"	""	"7"	""	""	false
"I"	""	197	1.0	589.0	"6/8"	3.0	"D"	"IV"	""	"I"	""	""	""	""	false
"IM2"	""	198	1.0	592.0	"6/8"	3.0	"D"	"IV"	""	"I"	"M"	"2"	""	""	false
"vi"	""	199	1.0	595.0	"6/8"	3.0	"D"	"IV"	""	"vi"	""	""	""	""	false
"I64"	""	200	1.0	598.0	"6/8"	3.0	"D"	"IV"	""	"I"	""	"64"	""	""	false
"I.viio7"	""	201	1.0	601.0	"6/8"	6.0	"D"	"I"	""	"vii"	"o"	"7"	""	""	false
".bVII7"	""	203	1.0	607.0	"6/8"	6.0	"D"	"I"	""	"bVII"	""	"7"	""	""	false
"ii64"	""	205	1.0	613.0	"6/8"	6.0	"D"	"I"	""	"ii"	""	"64"	""	""	false
"V2/bIII"	""	207	1.0	619.0	"6/8"	6.0	"D"	"I"	""	"V"	""	"2"	""	"bIII"	false
"V7"	""	209	1.0	625.0	"6/8"	6.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"i64"	""	211	1.0	631.0	"6/8"	6.0	"D"	"I"	""	"i"	""	"64"	""	""	false
"V(4)"	""	213	1.0	637.0	"6/8"	6.0	"D"	"I"	""	"V"	""	""	"4"	""	false
"V7"	""	215	1.0	643.0	"6/8"	12.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	219	1.0	655.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"IV"	""	219	2.5	656.5	"6/8"	2.0	"D"	"I"	""	"IV"	""	""	""	""	false
"ii"	""	220	1.5	658.5	"6/8"	2.5	"D"	"I"	""	"ii"	""	""	""	""	false
"V"	""	221	1.0	661.0	"6/8"	3.0	"D"	"I"	""	"V"	""	""	""	""	false
"V7"	""	222	1.0	664.0	"6/8"	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	222	3.0	666.0	"6/8"	2.5	"D"	"I"	""	"I"	""	""	""	""	false
"IV"	""	223	2.5	668.5	"6/8"	1.5	"D"	"I"	""	"IV"	""	""	""	""	false
"ii"	""	224	1.0	670.0	"6/8"	3.0	"D"	"I"	""	"ii"	""	""	""	""	false
"V"	""	225	1.0	673.0	"6/8"	3.0	"D"	"I"	""	"V"	""	""	""	""	false
"V7"	""	226	1.0	676.0	"6/8"	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"iiio"	""	226	3.0	678.0	"6/8"	2.5	"D"	"I"	""	"iii"	"o"	""	""	""	false
"#viio7/ii"	""	227	2.5	680.5	"6/8"	3.0	"D"	"I"	""	"#vii"	"o"	"7"	""	"ii"	false
"ii"	""	228	2.5	683.5	"6/8"	1.5	"D"	"I"	""	"ii"	""	""	""	""	false
"V/v"	""	228	4.0	685.0	"6/8"	0.0	"D"	"I"	""	"V"	""	""	""	"v"	false
"v"	""	229	1.0	685.0	"6/8"	1.5	"D"	"I"	""	"v"	""	""	""	""	false
".bVII6"	""	229	2.5	686.5	"6/8"	1.5	"D"	"I"	""	"bVII"	""	"6"	""	""	false
"vii%7/IV"	""	230	1.0	688.0	"6/8"	1.5	"D"	"I"	""	"vii"	"%"	"7"	""	"IV"	false
"IV"	""	230	2.5	689.5	"6/8"	0.5	"D"	"I"	""	"IV"	""	""	""	""	false
"ii6"	""	230	3.0	690.0	"6/8"	2.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"IV6"	""	231	2.5	692.5	"6/8"	1.5	"D"	"I"	""	"IV"	""	"6"	""	""	false
"viio7"	""	232	1.0	694.0	"6/8"	1.5	"D"	"I"	""	"vii"	"o"	"7"	""	""	false
"I"	""	232	2.5	695.5	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"IV(#7+2)"	""	233	1.0	697.0	"6/8"	1.0	"D"	"I"	""	"IV"	""	""	"#7+2"	""	false
"ii"	""	233	2.0	698.0	"6/8"	0.5	"D"	"I"	""	"ii"	""	""	""	""	false
"V7"	""	233	2.5	698.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I(+#74+2)"	""	234	1.0	700.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	"+#74+2"	""	false
"I\\\\"	""	234	2.5	701.5	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	true
"iiio"	""	235	1.0	703.0	"6/8"	3.0	"D"	"I"	""	"iii"	"o"	""	""	""	false
"#viio43/ii"	""	236	1.0	706.0	"6/8"	1.5	"D"	"I"	""	"#vii"	"o"	"43"	""	"ii"	false
"ii6"	""	236	2.5	707.5	"6/8"	1.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V6/v"	""	236	4.0	709.0	"6/8"	0.0	"D"	"I"	""	"V"	""	"6"	""	"v"	false
"v"	""	237	1.0	709.0	"6/8"	3.0	"D"	"I"	""	"v"	""	""	""	""	false
"vii%43/IV"	""	238	1.0	712.0	"6/8"	1.5	"D"	"I"	""	"vii"	"%"	"43"	""	"IV"	false
"IV6"	""	238	2.5	713.5	"6/8"	1.5	"D"	"I"	""	"IV"	""	"6"	""	""	false
"ii"	""	239	1.0	715.0	"6/8"	3.0	"D"	"I"	""	"ii"	""	""	""	""	false
"V9"	""	240	1.0	718.0	"6/8"	1.5	"D"	"I"	""	"V"	""	"9"	""	""	false
"V2"	""	240	2.5	719.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"2"	""	""	false
"V9"	""	241	1.0	721.0	"6/8"	0.5	"D"	"I"	""	"V"	""	"9"	""	""	false
"V2"	""	241	1.5	721.5	"6/8"	1.0	"D"	"I"	""	"V"	""	"2"	""	""	false
"V9"	""	241	2.5	722.5	"6/8"	0.5	"D"	"I"	""	"V"	""	"9"	""	""	false
"V2"	""	241	3.0	723.0	"6/8"	1.0	"D"	"I"	""	"V"	""	"2"	""	""	false
"V9"	""	242	1.0	724.0	"6/8"	0.5	"D"	"I"	""	"V"	""	"9"	""	""	false
"V2"	""	242	1.5	724.5	"6/8"	2.0	"D"	"I"	""	"V"	""	"2"	""	""	false
"viio6/ii"	""	242	3.5	726.5	"6/8"	0.5	"D"	"I"	""	"vii"	"o"	"6"	""	"ii"	false
"IVM7"	""	243	1.0	727.0	"6/8"	1.0	"D"	"I"	""	"IV"	"M"	"7"	""	""	false
"ii"	""	243	2.0	728.0	"6/8"	0.5	"D"	"I"	""	"ii"	""	""	""	""	false
"V7"	""	243	2.5	728.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	244	1.0	730.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	true
"I6"	""	244	2.5	731.5	"6/8"	1.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"V2"	""	245	1.0	733.0	"6/8"	1.5	"D"	"I"	""	"V"	""	"2"	""	""	false
"V65"	""	245	2.5	734.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	246	1.0	736.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"vi"	""	246	2.5	737.5	"6/8"	1.5	"D"	"I"	""	"vi"	""	""	""	""	false
"ii6"	""	247	1.0	739.0	"6/8"	1.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V7"	""	247	2.5	740.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	248	1.0	742.0	"6/8"	3.0	"D"	"I"	""	"I"	""	""	""	""	true
"IV"	""	249	1.0	745.0	"6/8"	-0.5	"D"	"I"	""	"IV"	""	""	""	""	false
"ii65"	""	249	0.5	744.5	"6/8"	3.5	"D"	"I"	""	"ii"	""	"65"	""	""	false
"I6"	""	250	1.0	748.0	"6/8"	-0.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"I"	""	250	0.5	747.5	"6/8"	3.5	"D"	"I"	""	"I"	""	""	""	""	false
"IV6"	""	251	1.0	751.0	"6/8"	1.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
"IV"	""	251	2.0	752.0	"6/8"	0.5	"D"	"I"	""	"IV"	""	""	""	""	false
"ii6"	""	251	2.5	752.5	"6/8"	1.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"I"	""	252	1.0	754.0	"6/8"	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"I6"	""	252	2.0	755.0	"6/8"	0.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"IV"	""	252	2.5	755.5	"6/8"	0.5	"D"	"I"	""	"IV"	""	""	""	""	false
"ii6"	""	252	3.0	756.0	"6/8"	0.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V7/V"	""	252	3.5	756.5	"6/8"	0.5	"D"	"I"	""	"V"	""	"7"	""	"V"	false
"V\\\\"	""	253	1.0	757.0	"6/8"	1.5	"D"	"I"	""	"V"	""	""	""	""	true
"vii%7"	""	253	2.5	758.5	"6/8"	1.5	"D"	"I"	""	"vii"	"%"	"7"	""	""	false
"I"	""	254	1.0	760.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"viio6"	""	254	2.5	761.5	"6/8"	1.5	"D"	"I"	""	"vii"	"o"	"6"	""	""	false
"I6"	""	255	1.0	763.0	"6/8"	1.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"viio64"	""	255	2.5	764.5	"6/8"	1.5	"D"	"I"	""	"vii"	"o"	"64"	""	""	false
"I6"	""	256	1.0	766.0	"6/8"	1.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"#ivo64"	""	256	2.5	767.5	"6/8"	1.5	"D"	"I"	""	"#iv"	"o"	"64"	""	""	false
"V6"	""	257	1.0	769.0	"6/8"	1.5	"D"	"I"	""	"V"	""	"6"	""	""	false
"viio43"	""	257	2.5	770.5	"6/8"	1.5	"D"	"I"	""	"vii"	"o"	"43"	""	""	false
"I6"	""	258	1.0	772.0	"6/8"	1.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"viio7"	""	258	2.5	773.5	"6/8"	1.5	"D"	"I"	""	"vii"	"o"	"7"	""	""	false
"i"	""	259	1.0	775.0	"6/8"	1.5	"D"	"I"	""	"i"	""	""	""	""	false
"viio64"	""	259	2.5	776.5	"6/8"	1.5	"D"	"I"	""	"vii"	"o"	"64"	""	""	false
"i6"	""	260	1.0	778.0	"6/8"	1.5	"D"	"I"	""	"i"	""	"6"	""	""	false
"#viio/V"	""	260	2.5	779.5	"6/8"	1.5	"D"	"I"	""	"#vii"	"o"	""	""	"V"	false
"V]"	""	261	1.0	781.0	"6/8"	1.5	"D"	"I"	""	"V"	""	""	""	""	false
"V6"	""	261	2.5	782.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"6"	""	""	false
"#vo43"	""	262	1.0	784.0	"6/8"	3.0	"D"	"I"	""	"#v"	"o"	"43"	""	""	false
"viio43"	""	263	1.0	787.0	"6/8"	3.0	"D"	"I"	""	"vii"	"o"	"43"	""	""	false
"#viio43/II"	""	264	1.0	790.0	"6/8"	0.5	"D"	"I"	""	"#vii"	"o"	"43"	""	"II"	false
"II6"	""	264	1.5	790.5	"6/8"	1.0	"D"	"I"	""	"II"	""	"6"	""	""	false
"#viio43/III"	""	264	2.5	791.5	"6/8"	0.5	"D"	"I"	""	"#vii"	"o"	"43"	""	"III"	false
"III6"	""	264	3.0	792.0	"6/8"	1.0	"D"	"I"	""	"III"	""	"6"	""	""	false
"#viio43/IV"	""	265	1.0	793.0	"6/8"	0.5	"D"	"I"	""	"#vii"	"o"	"43"	""	"IV"	false
"IV6"	""	265	1.5	793.5	"6/8"	1.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
"#viio43/V"	""	265	2.5	794.5	"6/8"	0.5	"D"	"I"	""	"#vii"	"o"	"43"	""	"V"	false
"V6"	""	265	3.0	795.0	"6/8"	1.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"V7"	""	266	1.0	796.0	"6/8"	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	267	1.0	799.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	true
"I"	""	267	2.5	800.5	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"viio6"	""	268	1.0	802.0	"6/8"	1.5	"D"	"I"	""	"vii"	"o"	"6"	""	""	false
"V43"	""	268	2.5	803.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	269	1.0	805.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"V6(#4)"	""	269	2.5	806.5	"6/8"	1.0	"D"	"I"	""	"V"	""	"6"	"#4"	""	false
"V6"	""	269	3.5	807.5	"6/8"	0.5	"D"	"I"	""	"V"	""	"6"	""	""	false
"i"	""	270	1.0	808.0	"6/8"	1.0	"D"	"I"	""	"i"	""	""	""	""	false
"V2/IV"	""	270	2.0	809.0	"6/8"	0.5	"D"	"I"	""	"V"	""	"2"	""	"IV"	false
"IV6"	""	270	2.5	809.5	"6/8"	1.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
".Ger6"	""	270	3.5	810.5	"6/8"	0.5	"D"	"I"	""	"Ger"	""	"6"	""	""	false
"V\\\\"	""	271	1.0	811.0	"6/8"	3.0	"D"	"I"	""	"V"	""	""	""	""	true
"#viio6/V"	""	272	1.0	814.0	"6/8"	1.5	"D"	"I"	""	"#vii"	"o"	"6"	""	"V"	false
"V6"	""	272	2.5	815.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"6"	""	""	false
"I"	""	273	1.0	817.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"IV"	""	273	2.5	818.5	"6/8"	1.0	"D"	"I"	""	"IV"	""	""	""	""	false
"ii6"	""	273	3.5	819.5	"6/8"	0.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V(64)"	""	274	1.0	820.0	"6/8"	1.5	"D"	"I"	""	"V"	""	""	"64"	""	false
"V7"	""	274	2.5	821.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	275	1.0	823.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	true
"I64"	""	275	2.5	824.5	"6/8"	1.5	"D"	"I"	""	"I"	""	"64"	""	""	false
"V65"	""	276	1.0	826.0	"6/8"	-0.5	"D"	"I"	""	"V"	""	"65"	""	""	false
"V7"	""	276	0.5	825.5	"6/8"	3.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	277	1.0	829.0	"6/8"	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"V43"	""	278	1.0	832.0	"6/8"	3.0	"D"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	279	1.0	835.0	"6/8"	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"viio"	""	280	1.0	838.0	"6/8"	-0.5	"D"	"I"	""	"vii"	"o"	""	""	""	false
"viio64/IV"	""	280	0.5	837.5	"6/8"	3.5	"D"	"I"	""	"vii"	"o"	"64"	""	"IV"	false
"IV6"	""	281	1.0	841.0	"6/8"	1.5	"D"	"I"	""	"IV"	""	"6"	""	""	false
"I"	""	281	2.5	842.5	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"viio6"	""	282	1.0	844.0	"6/8"	1.5	"D"	"I"	""	"vii"	"o"	"6"	""	""	false
"V65/IV"	""	282	2.5	845.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"65"	""	"IV"	false
"IV"	""	283	1.0	847.0	"6/8"	1.5	"D"	"I"	""	"IV"	""	""	""	""	false
"I"	""	283	2.5	848.5	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"viio6"	""	284	1.0	850.0	"6/8"	1.5	"D"	"I"	""	"vii"	"o"	"6"	""	""	false
"V65/IV"	""	284	2.5	851.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"65"	""	"IV"	false
"IV"	""	285	1.0	853.0	"6/8"	1.5	"D"	"I"	""	"IV"	""	""	""	""	false
"iv"	""	285	2.5	854.5	"6/8"	1.5	"D"	"I"	""	"iv"	""	""	""	""	false
"I64"	""	286	1.0	856.0	"6/8"	1.5	"D"	"I"	""	"I"	""	"64"	""	""	false
".Ger6"	""	286	2.5	857.5	"6/8"	1.5	"D"	"I"	""	"Ger"	""	"6"	""	""	false
"V7"	""	287	1.0	859.0	"6/8"	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"V(64)"	""	288	1.0	862.0	"6/8"	3.0	"D"	"I"	""	"V"	""	""	"64"	""	false
"V7"	""	289	1.0	865.0	"6/8"	6.0	"D"	"I"	""	"V"	""	"7"	""	""	false
".bVI.I"	""	291	1.0	871.0	"6/8"	3.0	"D"	"bVI"	""	"I"	""	""	""	""	false
"V65"	""	292	1.0	874.0	"6/8"	3.0	"D"	"bVI"	""	"V"	""	"65"	""	""	false
"I"	""	293	1.0	877.0	"6/8"	3.0	"D"	"bVI"	""	"I"	""	""	""	""	false
"V65"	""	294	1.0	880.0	"6/8"	3.0	"D"	"bVI"	""	"V"	""	"65"	""	""	false
"I"	""	295	1.0	883.0	"6/8"	3.0	"D"	"bVI"	""	"I"	""	""	""	""	false
"V65"	""	296	1.0	886.0	"6/8"	3.0	"D"	"bVI"	""	"V"	""	"65"	""	""	false
"I"	""	297	1.0	889.0	"6/8"	1.5	"D"	"bVI"	""	"I"	""	""	""	""	false
"V7/IV"	""	297	2.5	890.5	"6/8"	1.5	"D"	"bVI"	""	"V"	""	"7"	""	"IV"	false
"I.#viio/V"	""	298	1.0	892.0	"6/8"	3.0	"D"	"I"	""	"#vii"	"o"	""	""	"V"	false
"V(64)"	""	299	1.0	895.0	"6/8"	4.5	"D"	"I"	""	"V"	""	""	"64"	""	false
"V7"	""	300	2.5	899.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	301	1.0	901.0	"6/8"	2.5	"D"	"I"	""	"I"	""	""	""	""	true
".bVI.I6"	""	301	3.5	903.5	"6/8"	0.5	"D"	"bVI"	""	"I"	""	"6"	""	""	false
"V2/IV"	""	302	1.0	904.0	"6/8"	3.0	"D"	"bVI"	""	"V"	""	"2"	""	"IV"	false
"IV6"	""	303	1.0	907.0	"6/8"	3.0	"D"	"bVI"	""	"IV"	""	"6"	""	""	false
"I.#viio7/V"	""	304	1.0	910.0	"6/8"	3.0	"D"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"V(64)"	""	305	1.0	913.0	"6/8"	3.0	"D"	"I"	""	"V"	""	""	"64"	""	false
"V7"	""	306	1.0	916.0	"6/8"	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	307	1.0	919.0	"6/8"	2.0	"D"	"I"	""	"I"	""	""	""	""	true
"V7(2)"	""	307	3.0	921.0	"6/8"	0.5	"D"	"I"	""	"V"	""	"7"	"2"	""	false
"V7"	""	307	3.5	921.5	"6/8"	0.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	308	1.0	922.0	"6/8"	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7(2)"	""	308	3.0	924.0	"6/8"	0.5	"D"	"I"	""	"V"	""	"7"	"2"	""	false
"V7"	""	308	3.5	924.5	"6/8"	0.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	309	1.0	925.0	"6/8"	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7(2)"	""	309	3.0	927.0	"6/8"	0.5	"D"	"I"	""	"V"	""	"7"	"2"	""	false
"V7"	""	309	3.5	927.5	"6/8"	0.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I64"	""	310	1.0	928.0	"6/8"	2.0	"D"	"I"	""	"I"	""	"64"	""	""	false
"V7(2)"	""	310	3.0	930.0	"6/8"	0.5	"D"	"I"	""	"V"	""	"7"	"2"	""	false
"V7"	""	310	3.5	930.5	"6/8"	0.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	311	1.0	931.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"V7(2)"	""	311	2.5	932.5	"6/8"	1.0	"D"	"I"	""	"V"	""	"7"	"2"	""	false
"V7"	""	311	3.5	933.5	"6/8"	0.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	312	1.0	934.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"V7(2)"	""	312	2.5	935.5	"6/8"	1.0	"D"	"I"	""	"V"	""	"7"	"2"	""	false
"V7"	""	312	3.5	936.5	"6/8"	0.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I[I6"	""	313	1.0	937.0	"6/8"	1.5	"D"	"I"	"I"	"I"	""	"6"	""	""	false
"v6(2)"	""	313	2.5	938.5	"6/8"	1.0	"D"	"I"	"I"	"v"	""	"6"	"2"	""	false
"v6"	""	313	3.5	939.5	"6/8"	0.5	"D"	"I"	"I"	"v"	""	"6"	""	""	false
"IV6(2)"	""	314	1.0	940.0	"6/8"	1.0	"D"	"I"	"I"	"IV"	""	"6"	"2"	""	false
"IV6"	""	314	2.0	941.0	"6/8"	0.5	"D"	"I"	"I"	"IV"	""	"6"	""	""	false
"iiio6(2)"	""	314	2.5	941.5	"6/8"	1.0	"D"	"I"	"I"	"iii"	"o"	"6"	"2"	""	false
"iiio6"	""	314	3.5	942.5	"6/8"	0.5	"D"	"I"	"I"	"iii"	"o"	"6"	""	""	false
"ii6(2)"	""	315	1.0	943.0	"6/8"	1.0	"D"	"I"	"I"	"ii"	""	"6"	"2"	""	false
"ii6"	""	315	2.0	944.0	"6/8"	0.5	"D"	"I"	"I"	"ii"	""	"6"	""	""	false
"I6(2)"	""	315	2.5	944.5	"6/8"	1.0	"D"	"I"	"I"	"I"	""	"6"	"2"	""	false
"I6"	""	315	3.5	945.5	"6/8"	0.5	"D"	"I"	"I"	"I"	""	"6"	""	""	false
".bVII6(2)"	""	316	1.0	946.0	"6/8"	1.0	"D"	"I"	"I"	"bVII"	""	"6"	"2"	""	false
".bVII6"	""	316	2.0	947.0	"6/8"	0.5	"D"	"I"	"I"	"bVII"	""	"6"	""	""	false
"vi6(2)"	""	316	2.5	947.5	"6/8"	1.0	"D"	"I"	"I"	"vi"	""	"6"	"2"	""	false
"vi6"	""	316	3.5	948.5	"6/8"	0.5	"D"	"I"	"I"	"vi"	""	"6"	""	""	false
"v6(2)"	""	317	1.0	949.0	"6/8"	1.0	"D"	"I"	"I"	"v"	""	"6"	"2"	""	false
"v6"	""	317	2.0	950.0	"6/8"	0.5	"D"	"I"	"I"	"v"	""	"6"	""	""	false
"#ivo6(2)"	""	317	2.5	950.5	"6/8"	1.0	"D"	"I"	"I"	"#iv"	"o"	"6"	"2"	""	false
"#ivo6"	""	317	3.5	951.5	"6/8"	0.5	"D"	"I"	"I"	"#iv"	"o"	"6"	""	""	false
"#vo7(#7)"	""	318	1.0	952.0	"6/8"	1.0	"D"	"I"	"I"	"#v"	"o"	"7"	"#7"	""	false
"#vo7"	""	318	2.0	953.0	"6/8"	0.5	"D"	"I"	"I"	"#v"	"o"	"7"	""	""	false
