"chords"	"altchords"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"v.V2"	NA	73	1.0	"D"	"v"	""	"V"	""	"2"	""	""	false
"i6"	NA	74	1.0	"D"	"v"	""	"i"	""	"6"	""	""	false
"ii%43"	NA	74	3.0	"D"	"v"	""	"ii"	"%"	"43"	""	""	false
"V(64)"	NA	75	1.0	"D"	"v"	""	"V"	""	""	"(64)"	""	false
"V"	NA	75	3.0	"D"	"v"	""	"V"	""	""	""	""	false
"V.I"	NA	76	1.0	"D"	"V"	""	"I"	""	""	""	""	false
"viio6"	NA	77	3.0	"D"	"V"	""	"vii"	"o"	"6"	""	""	false
"#viio6/ii"	NA	78	1.0	"D"	"V"	""	"#vii"	"o"	"6"	""	"ii"	false
"#viio7/V"	NA	79	1.0	"D"	"V"	""	"#vii"	"o"	"7"	""	"V"	false
"V(4+2)"	NA	80	1.0	"D"	"V"	""	"V"	""	""	"(4+2)"	""	false
"V"	NA	80	3.0	"D"	"V"	""	"V"	""	""	""	""	false
"V"	NA	81	1.0	"D"	"V"	""	"V"	""	""	""	""	false
"V7(+2)"	NA	81	2.0	"D"	"V"	""	"V"	""	"7"	"(+2)"	""	false
"V(+6)"	NA	81	3.0	"D"	"V"	""	"V"	""	""	"(+6)"	""	false
"V7"	NA	81	4.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	82	1.0	"D"	"V"	""	"I"	""	""	""	""	true
"I6"	NA	83	1.0	"D"	"V"	""	"I"	""	"6"	""	""	false
"ii6"	NA	83	3.0	"D"	"V"	""	"ii"	""	"6"	""	""	false
"#viio43/ii"	NA	84	1.0	"D"	"V"	""	"#vii"	"o"	"43"	""	"ii"	false
"#viio65/ii"	NA	85	1.0	"D"	"V"	""	"#vii"	"o"	"65"	""	"ii"	false
"ii6"	NA	86	1.0	"D"	"V"	""	"ii"	""	"6"	""	""	false
"#viio7/V"	NA	87	1.0	"D"	"V"	""	"#vii"	"o"	"7"	""	"V"	false
"V(64)"	NA	88	1.0	"D"	"V"	""	"V"	""	""	"(64)"	""	false
"V7"	NA	89	1.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	90	1.0	"D"	"V"	""	"I"	""	""	""	""	true
"V2/IV"	NA	90	3.0	"D"	"V"	""	"V"	""	"2"	""	"IV"	false
"IV6"	NA	91	1.0	"D"	"V"	""	"IV"	""	"6"	""	""	false
"I64"	NA	91	1.0	"D"	"V"	""	"I"	""	"64"	""	""	false
"I6"	NA	91	1.0	"D"	"V"	""	"I"	""	"6"	""	""	false
"IV"	NA	91	3.0	"D"	"V"	""	"IV"	""	""	""	""	false
"#viio6(7)/V"	NA	92	1.0	"D"	"V"	""	"#vii"	"o"	"6"	"(7)"	"V"	false
"#viio6/V"	NA	92	3.0	"D"	"V"	""	"#vii"	"o"	"6"	""	"V"	false
"V(4)"	NA	93	1.0	"D"	"V"	""	"V"	""	""	"(4)"	""	false
"V7"	NA	93	3.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I"	NA	94	1.0	"D"	"V"	""	"I"	""	""	""	""	false
"IV6"	NA	95	1.0	"D"	"V"	""	"IV"	""	"6"	""	""	false
"I64"	NA	95	1.0	"D"	"V"	""	"I"	""	"64"	""	""	false
"IV"	NA	95	3.0	"D"	"V"	""	"IV"	""	""	""	""	false
"#viio6(7)/V"	NA	96	1.0	"D"	"V"	""	"#vii"	"o"	"6"	"(7)"	"V"	false
"#viio6/V"	NA	96	2.0	"D"	"V"	""	"#vii"	"o"	"6"	""	"V"	false
"V7(4)"	NA	97	1.0	"D"	"V"	""	"V"	""	"7"	"(4)"	""	false
"V7"	NA	97	2.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	98	1.0	"D"	"V"	""	"I"	""	""	""	""	true
"V"	NA	98	2.0	"D"	"V"	""	"V"	""	""	""	""	false
"I"	NA	98	3.0	"D"	"V"	""	"I"	""	""	""	""	false
"V7"	NA	98	3.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I"	NA	99	1.0	"D"	"V"	""	"I"	""	""	""	""	false
"V7"	NA	99	2.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	100	1.0	"D"	"V"	""	"I"	""	""	""	""	true
"V"	NA	100	2.0	"D"	"V"	""	"V"	""	""	""	""	false
"I"	NA	100	3.0	"D"	"V"	""	"I"	""	""	""	""	false
"V7"	NA	100	3.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	101	1.0	"D"	"V"	""	"I"	""	""	""	""	true
"V7"	NA	101	2.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I"	NA	102	1.0	"D"	"V"	""	"I"	""	""	""	""	false
"V7"	NA	102	1.9999999999999998	"D"	"V"	""	"V"	""	"7"	""	""	false
"V(64)"	NA	102	3.0	"D"	"V"	""	"V"	""	""	"(64)"	""	false
"V7"	NA	102	4.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I"	NA	103	1.0	"D"	"V"	""	"I"	""	""	""	""	false
"V7"	NA	103	1.9999999999999998	"D"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	104	1.0	"D"	"V"	""	"I"	""	""	""	""	true
"IV.i6"	NA	105	1.0	"D"	"IV"	""	"i"	""	"6"	""	""	false
"V/IV"	NA	106	1.0	"D"	"IV"	""	"V"	""	""	""	"IV"	false
"IV"	NA	107	1.0	"D"	"IV"	""	"IV"	""	""	""	""	false
"I.V7"	NA	108	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"i.V7"	NA	110	1.0	"D"	"i"	""	"V"	""	"7"	""	""	false
"i"	NA	112	1.0	"D"	"i"	""	"i"	""	""	""	""	false
"V43"	NA	113	1.0	"D"	"i"	""	"V"	""	"43"	""	""	false
"i6"	NA	114	1.0	"D"	"i"	""	"i"	""	"6"	""	""	false
"ii%65"	NA	115	1.0	"D"	"i"	""	"ii"	"%"	"65"	""	""	false
"V(64)"	NA	116	1.0	"D"	"i"	""	"V"	""	""	"(64)"	""	false
"V"	NA	117	1.0	"D"	"i"	""	"V"	""	""	""	""	false
".bVI.I(4)"	NA	118	1.0	"D"	"bVI"	""	"I"	""	""	"(4)"	""	false
"I"	NA	118	3.0	"D"	"bVI"	""	"I"	""	""	""	""	false
"V7"	NA	119	1.0	"D"	"bVI"	""	"V"	""	"7"	""	""	false
"V65/vi"	NA	120	1.0	"D"	"bVI"	""	"V"	""	"65"	""	"vi"	false
"vi"	NA	121	1.0	"D"	"bVI"	""	"vi"	""	""	""	""	false
"ii65"	NA	122	1.0	"D"	"bVI"	""	"ii"	""	"65"	""	""	false
"V65/V"	NA	122	3.0	"D"	"bVI"	""	"V"	""	"65"	""	"V"	false
"V"	NA	123	1.0	"D"	"bVI"	""	"V"	""	""	""	""	false
"V(+7+2)"	NA	123	2.0	"D"	"bVI"	""	"V"	""	""	"(+7+2)"	""	false
"V(64)"	NA	123	3.0	"D"	"bVI"	""	"V"	""	""	"(64)"	""	false
"V7"	NA	123	4.0	"D"	"bVI"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	124	1.0	"D"	"bVI"	""	"I"	""	""	""	""	true
"V65"	NA	125	1.0	"D"	"bVI"	""	"V"	""	"65"	""	""	false
"I"	NA	125	3.0	"D"	"bVI"	""	"I"	""	""	""	""	false
"V65"	NA	126	1.0	"D"	"bVI"	""	"V"	""	"65"	""	""	false
"I"	NA	126	3.0	"D"	"bVI"	""	"I"	""	""	""	""	false
"IV"	NA	127	1.0	"D"	"bVI"	""	"IV"	""	""	""	""	false
"ii65"	NA	127	2.0	"D"	"bVI"	""	"ii"	""	"65"	""	""	false
"V"	NA	127	3.0	"D"	"bVI"	""	"V"	""	""	""	""	false
"I(4)"	NA	128	1.0	"D"	"bVI"	""	"I"	""	""	"(4)"	""	false
"I\\\\"	NA	128	2.0	"D"	"bVI"	""	"I"	""	""	""	""	true
"V65"	NA	129	1.0	"D"	"bVI"	""	"V"	""	"65"	""	""	false
"I"	NA	129	3.0000000000000004	"D"	"bVI"	""	"I"	""	""	""	""	false
"V65"	NA	130	1.0	"D"	"bVI"	""	"V"	""	"65"	""	""	false
"I"	NA	130	3.0000000000000004	"D"	"bVI"	""	"I"	""	""	""	""	false
"iv.i"	NA	130	4.0	"D"	"iv"	""	"i"	""	""	""	""	false
"V65"	NA	131	1.0	"D"	"iv"	""	"V"	""	"65"	""	""	false
"i"	NA	131	3.0000000000000004	"D"	"iv"	""	"i"	""	""	""	""	false
"V65"	NA	132	1.0	"D"	"iv"	""	"V"	""	"65"	""	""	false
"i"	NA	132	3.0000000000000004	"D"	"iv"	""	"i"	""	""	""	""	false
"iv"	NA	133	1.0	"D"	"iv"	""	"iv"	""	""	""	""	false
"ii%65"	NA	133	2.0	"D"	"iv"	""	"ii"	"%"	"65"	""	""	false
"V"	NA	133	3.0	"D"	"iv"	""	"V"	""	""	""	""	false
"i(4)"	NA	134	1.0	"D"	"iv"	""	"i"	""	""	"(4)"	""	false
"i"	NA	134	2.0	"D"	"iv"	""	"i"	""	""	""	""	false
"III"	NA	134	3.0	"D"	"iv"	""	"III"	""	""	""	""	false
"iv"	NA	135	1.0	"D"	"iv"	""	"iv"	""	""	""	""	false
"ii%65"	NA	135	2.0	"D"	"iv"	""	"ii"	"%"	"65"	""	""	false
"V"	NA	135	3.0	"D"	"iv"	""	"V"	""	""	""	""	false
"i\\\\"	NA	136	1.0	"D"	"iv"	""	"i"	""	""	""	""	true
"i"	NA	136	2.0	"D"	"iv"	""	"i"	""	""	""	""	false
"v.iv6"	NA	137	1.0	"D"	"v"	""	"iv"	""	"6"	""	""	false
"V9"	NA	138	1.0	"D"	"v"	""	"V"	""	"9"	""	""	false
"i"	NA	140	1.0	"D"	"v"	""	"i"	""	""	""	""	false
"vi.iv6"	NA	141	1.0	"D"	"vi"	""	"iv"	""	"6"	""	""	false
"V9"	NA	142	1.0	"D"	"vi"	""	"V"	""	"9"	""	""	false
"i\\\\"	NA	144	1.0	"D"	"vi"	""	"i"	""	""	""	""	true
"i"	NA	145	1.0	"D"	"vi"	""	"i"	""	""	""	""	false
"VI64"	NA	146	1.0	"D"	"vi"	""	"VI"	""	"64"	""	""	false
"VI"	NA	147	1.0	"D"	"vi"	""	"VI"	""	""	""	""	false
"iii.#viio65"	NA	148	1.0	"D"	"iii"	""	"#vii"	"o"	"65"	""	""	false
"V43"	NA	148	3.0	"D"	"iii"	""	"V"	""	"43"	""	""	false
"i6"	NA	149	1.0	"D"	"iii"	""	"i"	""	"6"	""	""	false
"i"	NA	150	1.0	"D"	"iii"	""	"i"	""	""	""	""	false
".Ger6"	NA	151	1.0	"D"	"iii"	""	"Ger"	""	"6"	""	""	false
"V\\\\"	NA	152	1.0	"D"	"iii"	""	"V"	""	""	""	""	true
"V2"	NA	152	3.0	"D"	"iii"	""	"V"	""	"2"	""	""	false
"i6"	NA	153	1.0	"D"	"iii"	""	"i"	""	"6"	""	""	false
"@none"	NA	153	1.0	"D"	"iii"	""	""	""	""	""	""	false
"i"	NA	153	3.0	"D"	"iii"	""	"i"	""	""	""	""	false
".It6"	NA	153	4.0	"D"	"iii"	""	"It"	""	"6"	""	""	false
"V\\\\"	NA	154	1.0	"D"	"iii"	""	"V"	""	""	""	""	true
"V2"	NA	154	3.0	"D"	"iii"	""	"V"	""	"2"	""	""	false
"i6"	NA	155	1.0	"D"	"iii"	""	"i"	""	"6"	""	""	false
"@none"	NA	155	1.0	"D"	"iii"	""	""	""	""	""	""	false
"i"	NA	155	3.0	"D"	"iii"	""	"i"	""	""	""	""	false
".It6"	NA	155	4.0	"D"	"iii"	""	"It"	""	"6"	""	""	false
"V\\\\"	NA	156	1.0	"D"	"iii"	""	"V"	""	""	""	""	true
"V"	NA	156	1.3333333333333333	"D"	"iii"	""	"V"	""	""	""	""	false
"I.V65"	NA	160	1.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	NA	162	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V43"	NA	163	1.0	"D"	"I"	""	"V"	""	"43"	""	""	false
"I6"	NA	164	1.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"IV"	NA	165	1.0	"D"	"I"	""	"IV"	""	""	""	""	false
"V(64)"	NA	166	1.0	"D"	"I"	""	"V"	""	""	"(64)"	""	false
"V7"	NA	167	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"#viio7/vi"	NA	168	1.0	"D"	"I"	""	"#vii"	"o"	"7"	""	"vi"	false
"vi\\\\"	NA	169	1.0	"D"	"I"	""	"vi"	""	""	""	""	true
"V2/IV"	NA	170	1.0	"D"	"I"	""	"V"	""	"2"	""	"IV"	false
"V65/IV"	NA	171	1.0	"D"	"I"	""	"V"	""	"65"	""	"IV"	false
"IV"	NA	172	1.0	"D"	"I"	""	"IV"	""	""	""	""	false
"viio6/IV"	NA	173	1.0	"D"	"I"	""	"vii"	"o"	"6"	""	"IV"	false
"IV6"	NA	174	1.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
"#viio65/V"	NA	175	1.0	"D"	"I"	""	"#vii"	"o"	"65"	""	"V"	false
"v6"	NA	176	1.0	"D"	"I"	""	"v"	""	"6"	""	""	false
"V65"	NA	177	1.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"vi6"	NA	178	1.0	"D"	"I"	""	"vi"	""	"6"	""	""	false
"#viio7/ii"	NA	179	1.0	"D"	"I"	""	"#vii"	"o"	"7"	""	"ii"	false
"viio65"	NA	180	1.0	"D"	"I"	""	"vii"	"o"	"65"	""	""	false
"I6(42)"	NA	181	1.0	"D"	"I"	""	"I"	""	"6"	"(42)"	""	false
"I6"	NA	181	1.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"ii%65"	NA	182	1.0	"D"	"I"	""	"ii"	"%"	"65"	""	""	false
"#viio7/V"	NA	183	1.0	"D"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"V\\\\"	NA	184	1.0	"D"	"I"	""	"V"	""	""	""	""	true
"V"	NA	184	3.0	"D"	"I"	""	"V"	""	""	""	""	false
"V7"	NA	187	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"vi"	NA	188	3.0	"D"	"I"	""	"vi"	""	""	""	""	false
"ii6"	NA	189	1.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V7"	NA	189	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	190	1.0	"D"	"I"	""	"I"	""	""	""	""	true
"V7"	NA	190	1.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"V65"	NA	192	1.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"V43"	NA	193	1.0	"D"	"I"	""	"V"	""	"43"	""	""	false
"V2"	NA	194	1.0	"D"	"I"	""	"V"	""	"2"	""	""	false
"viio2/vi"	NA	195	1.0	"D"	"I"	""	"vii"	"o"	"2"	""	"vi"	false
"viio43/vi"	NA	196	1.0	"D"	"I"	""	"vii"	"o"	"43"	""	"vi"	false
".bIII.viio"	NA	197	1.0	"D"	"bIII"	""	"vii"	"o"	""	""	""	false
"V7"	NA	200	1.0	"D"	"bIII"	""	"V"	""	"7"	""	""	false
"I"	NA	201	1.0	"D"	"bIII"	""	"I"	""	""	""	""	false
"V2"	NA	202	1.0	"D"	"bIII"	""	"V"	""	"2"	""	""	false
"I6"	NA	203	1.0	"D"	"bIII"	""	"I"	""	"6"	""	""	false
"V6"	NA	203	3.0	"D"	"bIII"	""	"V"	""	"6"	""	""	false
"I"	NA	204	1.0	"D"	"bIII"	""	"I"	""	""	""	""	false
"V"	NA	204	3.0	"D"	"bIII"	""	"V"	""	""	""	""	false
"vi"	NA	205	1.0	"D"	"bIII"	""	"vi"	""	""	""	""	false
"V2/vi"	NA	206	1.0	"D"	"bIII"	""	"V"	""	"2"	""	"vi"	false
"vi6"	NA	207	1.0	"D"	"bIII"	""	"vi"	""	"6"	""	""	false
"i.ii%43"	NA	207	3.0	"D"	"i"	""	"ii"	"%"	"43"	""	""	false
"V(64)"	NA	208	1.0	"D"	"i"	""	"V"	""	""	"(64)"	""	false
"V"	NA	208	3.0	"D"	"i"	""	"V"	""	""	""	""	false
"I.I\\\\"	NA	209	1.0	"D"	"I"	""	"I"	""	""	""	""	true
"I"	NA	209	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"ii"	NA	210	3.0	"D"	"I"	""	"ii"	""	""	""	""	false
"#viio6/ii"	NA	211	1.0	"D"	"I"	""	"#vii"	"o"	"6"	""	"ii"	false
"#viio7/V"	NA	212	1.0	"D"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"V(42)"	NA	213	1.0	"D"	"I"	""	"V"	""	""	"(42)"	""	false
"V"	NA	213	2.0	"D"	"I"	""	"V"	""	""	""	""	false
"I"	NA	215	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"viio6"	NA	216	3.0	"D"	"I"	""	"vii"	"o"	"6"	""	""	false
"#viio65/ii"	NA	217	1.0	"D"	"I"	""	"#vii"	"o"	"65"	""	"ii"	false
"ii6"	NA	219	1.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"#viio7/V"	NA	220	1.0	"D"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"V(64)"	NA	221	1.0	"D"	"I"	""	"V"	""	""	"(64)"	""	false
"V7"	NA	222	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	223	1.0	"D"	"I"	""	"I"	""	""	""	""	true
"V7/IV"	NA	223	3.0	"D"	"I"	""	"V"	""	"7"	""	"IV"	false
"IV6"	NA	224	1.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
"I64"	NA	224	1.0	"D"	"I"	""	"I"	""	"64"	""	""	false
"I6"	NA	224	1.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"IV"	NA	224	3.0	"D"	"I"	""	"IV"	""	""	""	""	false
"viio6"	NA	225	1.0	"D"	"I"	""	"vii"	"o"	"6"	""	""	false
"V"	NA	226	1.0	"D"	"I"	""	"V"	""	""	""	""	false
"V7"	NA	226	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	NA	227	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7/IV"	NA	227	3.0	"D"	"I"	""	"V"	""	"7"	""	"IV"	false
"IV6"	NA	228	1.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
"V437IV"	NA	228	1.0	"D"	"I"	""	""	""	""	""	""	false
"I6"	NA	228	1.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"IV"	NA	228	3.0	"D"	"I"	""	"IV"	""	""	""	""	false
"viio6"	NA	229	1.0	"D"	"I"	""	"vii"	"o"	"6"	""	""	false
"V"	NA	230	1.0	"D"	"I"	""	"V"	""	""	""	""	false
"V7"	NA	230	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	231	1.0	"D"	"I"	""	"I"	""	""	""	""	true
"V7"	NA	231	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	NA	232	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	NA	232	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	NA	233	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	NA	233	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	NA	234	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	NA	234	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
