mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
38	34	0	0	2/4	4	1	V64	0	-4.37	/			Eb	I		V64		V		64						M	0	0	-1, -2, 2		-2	-1	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
38	34	1/4	1/4	2/4	4	1	V6	0	-4.37	/			Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.5	0.0
38	34	3/8	3/8	2/4	4	1	vi	0	-4.37	/			Eb	I		vi		vi								m	0	0	0, -3, 1		0	0	0	4	0.0	0.0	0.5	0.0
39	35	0	0	2/4	4	1	V7	0	-4.37	/			Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
39	35	1/4	1/4	2/4	4	1	V6	0	-4.37	/			Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.5	0.0
39	35	3/8	3/8	2/4	4	1	vi6	0	-4.37	/			Eb	I		vi6		vi		6						m	0	0	-3, 1, 0		0	-3	0	4	0.0	0.0	0.5	0.0
40	36	0	0	2/4	4	1	V43	0	-4.37	/			Eb	I		V43		V		43						Mm7	0	0	-1, -4, -2, 2		-2	-1	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
40	36	1/4	1/4	2/4	4	1	V	0	-4.37	/			Eb	I		V		V								M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.5	0.0
40	36	3/8	3/8	2/4	4	1	V2	0	-4.37	/			Eb	I		V2		V		2						Mm7	0	0	-4, -2, 2, -1		-2	-4	0	4	0.0	0.0	0.5	0.0
41	37	0	0	2/4	4	1	I6	0	-4.37	/			Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.5	0.0
41	37	1/8	1/8	2/4	4	1	I	0	-4.37	/			Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
41	37	3/8	3/8	2/4	4	1	V2/IV	-1.43427	-4.37	/			Eb	I		V2/IV		V		2		IV				Mm7	0	0	-5, -3, 1, -2		-3	-5	0	4	0.0	0.0	0.5	0.0
42	38	0	0	2/4	4	1	IV6	0	-4.36635	/			Eb	I		IV6		IV		6						M	0	0	0, -3, -4		-4	0	0	4	0.0	0.0	0.5	0.0
42	38	1/8	1/8	2/4	4	1	V2/ii	0	-4.37	/			Eb	I		V2/ii		V		2		ii				Mm7	0	0	-2, 0, 4, 1		0	-2	0	4	0.0	0.0	0.5	0.0
42	38	1/4	1/4	2/4	4	1	ii6	0	-4.37	/			Eb	I		ii6		ii		6						m	0	0	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.5	0.0
42	38	3/8	3/8	2/4	4	1	I6	0	-4.37	/			Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.5	0.0
43	39	0	0	2/4	4	1	V43	0	-4.37	/			Eb	I		V43		V		43						Mm7	0	0	-1, -4, -2, 2		-2	-1	0	4	0.0	0.0	0.5	0.0
43	39	1/8	1/8	2/4	4	1	I	0	-4.37	/			Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.5	0.0
43	39	1/4	1/4	2/4	4	1	V65	0	-4.37	/			Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	0	4	0.0	0.0	0.5	0.0
43	39	3/8	3/8	2/4	4	1	V	0	-4.37	/			Eb	I		V		V								M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.5	0.0
44	40	0	0	2/4	4	1	I\\	0	-4.37	/			Eb	I		I		I							\\	M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	0.625	0.0
45	40	0	1/4	2/4	4	1	V						Eb	I		V		V								M	0	0	-2, 2, -1		-2	-2	2	1	0.6666666666666666	0.16666666666666666	0.08333333333333333	0.6666666666666666
46	41	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	2	8	0.2	0.16666666666666666	2.3333333333333335	0.06666666666666667
47	42	0	0	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	4	5	0.4444444444444444	0.3333333333333333	1.6666666666666667	0.16666666666666666
48	43	0	0	2/4	4	1	ii						Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	4	5	0.4444444444444444	0.3333333333333333	1.6666666666666667	0.16666666666666666
49	44	0	0	2/4	4	1	V65						Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	6	14	0.3	0.5	4.5	0.1
51	46	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	3	6	0.3333333333333333	0.25	1.75	0.125
52	47	0	0	2/4	4	1	ii6					iv6/vi	Eb	I		ii6		ii		6						m	0	0	-4, 0, -1		-1	-4	4	5	0.4444444444444444	0.3333333333333333	1.6666666666666667	0.16666666666666666
53	48	0	0	2/4	4	1	V/vi\\						Eb	I		V/vi		V				vi			\\	M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
54	48	0	1/4	2/4	4	1	V.V/ii						Eb	V		V/ii		V				ii				M	0	0	1, 5, 2		1	1	2	5	0.2857142857142857	0.16666666666666666	0.5833333333333334	0.2222222222222222
55	49	0	0	2/4	4	1	iio64						Eb	V		iio64		ii	o	64						o	0	0	-6, 0, -3		0	-6	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
55	49	1/4	1/4	2/4	4	1	V7						Eb	V		V7		V		7						Mm7	0	0	-1, 3, 0, -3		-1	-1	2	8	0.2	0.16666666666666666	0.8333333333333334	0.16666666666666666
56	50	0	0	2/4	4	1	I						Eb	V		I		I								M	0	0	-2, 2, -1		-2	-2	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
56	50	1/4	1/4	2/4	4	1	IV						Eb	V		IV		IV								M	0	0	-3, 1, -2		-3	-3	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
57	51	0	0	2/4	4	1	Ger6/vi	0	-3.15871	/			Eb	V		Ger6/vi	Ger	vii	o	65	b3	V/vi				Ger	0	0	-3, 1, -2, 7		7	-3	1	6	0.14285714285714285	0.08333333333333333	0.9166666666666666	0.08333333333333333
57	51	1/4	1/4	2/4	4	1	V/vi						Eb	V		V/vi		V				vi				M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	1.0	0.0
58	52	0	0	2/4	4	1	V7/vi						Eb	V		V7/vi		V		7		vi				Mm7	0	0	2, 6, 3, 0		2	2	0	9	0.0	0.0	2.0	0.0
59	53	0	0	2/4	4	1	I.V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	14	28	0.3333333333333333	1.1666666666666667	9.833333333333334	0.10606060606060606
63	57	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	2	9	0.18181818181818182	0.16666666666666666	2.3333333333333335	0.06666666666666667
64	58	0	0	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	4	5	0.4444444444444444	0.3333333333333333	1.6666666666666667	0.16666666666666666
65	59	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	2	8	0.2	0.16666666666666666	2.3333333333333335	0.06666666666666667
66	60	0	0	2/4	4	1	I\\						Eb	I		I		I							\\	M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	0.625	0.0
67	60	0	1/4	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	4	6	0.4	0.25	0.5	0.3333333333333333
68	61	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	9	11	0.45	0.5625	0.9375	0.375
69	62	0	0	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	8	12	0.4	0.5	1.0	0.3333333333333333
70	63	0	0	2/4	4	1	ii						Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	8	12	0.4	0.5	1.0	0.3333333333333333
71	64	0	0	2/4	4	1	V65						Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	7	13	0.35	0.4375	1.0625	0.2916666666666667
72	65	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	6	4	0.6	0.375	0.375	0.5
72	65	1/4	1/4	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	4	6	0.4	0.25	0.5	0.3333333333333333
73	66	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	6	14	0.3	0.375	1.125	0.25
74	67	0	0	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	4	6	0.4	0.25	0.5	0.3333333333333333
74	67	1/4	1/4	2/4	4	1	V65	-0.819581	-3.31958	/			Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	2	2	0.5	0.125	0.125	0.5
74	67	3/8	3/8	2/4	4	1	ii6	-1.43427	-5.16364	/		iv6/vi	Eb	I		ii6		ii		6						m	0	0	-4, 0, -1		-1	-4	2	4	0.3333333333333333	0.125	0.375	0.25
75	68	0	0	2/4	4	1	V/vi\\	1.63916	-5.36854	/			Eb	I		V/vi		V				vi			\\	M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
76	68	0	1/4	2/4	4	1	V7/vi						Eb	I		V7/vi		V		7		vi				Mm7	0	0	1, 5, 2, -1		1	1	1	3	0.25	0.0625	0.1875	0.25
77	69	0	0	2/4	4	1	V2/ii						Eb	I		V2/ii		V		2		ii				Mm7	0	0	-2, 0, 4, 1		0	-2	3	7	0.3	0.1875	0.5625	0.25
77	69	1/4	1/4	2/4	4	1	V65/V						Eb	I		V65/V		V		65		V				Mm7	0	0	3, 0, -3, -1		-1	3	3	8	0.2727272727272727	0.1875	0.6875	0.21428571428571427
78	70	0	0	2/4	4	1	V2						Eb	I		V2		V		2						Mm7	0	0	-4, -2, 2, -1		-2	-4	3	8	0.2727272727272727	0.1875	0.6875	0.21428571428571427
78	70	1/4	1/4	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	4	6	0.4	0.25	0.5	0.3333333333333333
79	71	0	0	2/4	4	1	Ger6/iii	-0.237783	-2.85667	/			Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	-3, 1, -2, 7		7	-3	0	10	0.0	0.0	0.75	0.0
79	71	1/4	1/4	2/4	4	1	V/iii	0.237783	-2.73778	/			Eb	I		V/iii		V				iii				M	0	0	2, 6, 3		2	2	11	22	0.3333333333333333	0.6875	1.6875	0.2894736842105263
82	74	0	0	2/4	4	1	V						Eb	I		V		V								M	0	0	-2, 2, -1		-2	-2	26	24	0.52	1.625	1.625	0.5
85	77	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	8	12	0.4	0.5	1.0	0.3333333333333333
86	78	0	0	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	8	12	0.4	0.5	1.0	0.3333333333333333
87	79	0	0	2/4	4	1	V						Eb	I		V		V								M	0	0	-2, 2, -1		-2	-2	11	10	0.5238095238095238	0.8125	0.8125	0.5
88	80	0	0	2/4	4	1	I\\						Eb	I		I		I							\\	M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	0.625	0.0
89	80	0	1/4	2/4	4	1	V						Eb	I		V		V								M	0	0	-2, 2, -1		-2	-2	1	2	0.3333333333333333	0.125	0.375	0.25
90	81	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	1	5	0.16666666666666666	0.125	0.875	0.125
91	82	0	0	2/4	4	1	IV(4)						Eb	I		IV(4)		IV			4					M	0	0	-4, 2, -3		-4	-4	2	4	0.3333333333333333	0.25	1.0	0.2
91	82	1/4	1/4	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	0	5	0.0	0.0	0.75	0.0
92	83	0	0	2/4	4	1	ii(4)						Eb	I		ii(4)		ii			4					m	0	0	-1, -2, 0		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
92	83	1/4	1/4	2/4	4	1	ii						Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.5	0.0
93	84	0	0	2/4	4	1	V(6)						Eb	I		V(6)		V			6					M	0	0	-2, 2, 1		-2	-2	2	4	0.3333333333333333	0.25	1.0	0.2
93	84	1/4	1/4	2/4	4	1	V						Eb	I		V		V								M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.75	0.0
94	85	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	3	11	0.21428571428571427	0.375	1.625	0.1875
95	86	0	0	2/4	4	1	I(4)						Eb	I		I(4)		I			4					M	0	0	-3, -4, -2		-3	-3	6	6	0.5	0.875	0.875	0.5
96	87	0	0	2/4	4	1	vi.V7(4)/V	-1.22937	-2.90979	/			Eb	vi		V7(4)/V		V		7	4	V				Mm7	0	1	2, 1, 3, 0		2	2	1	4	0.2	0.125	1.375	0.08333333333333333
96	87	1/4	1/4	2/4	4	1	V7/V	0	-2.94991	/			Eb	vi		V7/V		V		7		V				Mm7	0	1	2, 6, 3, 0		2	2	0	3	0.0	0.0	0.5	0.0
97	88	0	0	2/4	4	1	V\\						Eb	vi		V		V							\\	M	0	1	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
98	88	0	1/4	2/4	4	1	I.V/ii	0	-3.17486	/			Eb	I		V/ii		V				ii				M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
99	89	0	0	2/4	4	1	vi[V7/ii	0	-3.17	/			Eb	I	vi	V7/ii		V		7		ii				Mm7	0	0	0, 4, 1, -2		0	0	0	5	0.0	0.0	1.0	0.0
99	89	1/4	1/4	2/4	4	1	ii6	0	-3.17	/			Eb	I		ii6		ii		6						m	0	0	-4, 0, -1		-1	-4	0	5	0.0	0.0	1.0	0.0
100	90	0	0	2/4	4	1	V7/vi	0	-3.17	/			Eb	I		V7/vi		V		7		vi				Mm7	0	0	1, 5, 2, -1		1	1	2	3	0.4	0.375	0.625	0.375
100	90	1/4	1/4	2/4	4	1	vi]	0	-3.17	/			Eb	I		vi		vi					]			m	0	0	0, -3, 1		0	0	0	5	0.0	0.0	1.0	0.0
101	91	0	0	2/4	4	1	#V[V/vii	-1.13559	-2.91838	/			Eb	I	#V	V/vii		V				vii				M	0	0	3, 7, 4		3	3	2	2	0.5	0.25	0.5	0.3333333333333333
101	91	1/4	1/4	2/4	4	1	vii	0	-2.85667	/			Eb	I		vii		vii								m	0	0	2, -1, 3		2	2	4	4	0.5	0.5	1.0	0.3333333333333333
