mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
14	14	0	0	2/4	4	1	ii						Bb	I		ii	ii								m	0	0	0, -3, 1		0	0	3	13	0.1875	0.3125	1.5625	0.16666666666666666
15	15	0	0	2/4	4	1	V6						Bb	I		V6	V		6						M	0	0	3, 0, -1		-1	3	1	7	0.125	0.5	0.75	0.4
15	15	1/4	1/4	2/4	4	1	V7						Bb	I		V7	V		7						Mm7	0	0	-1, 3, 0, -3		-1	-1	0	6	0.0	0.0	0.75	0.0
16	16	0	0	2/4	4	1	I						Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	4	8	0.3333333333333333	0.25	0.75	0.25
16	16	1/4	1/4	2/4	4	1	vi						Bb	I		vi	vi								m	0	0	1, -2, 2		1	1	1	7	0.125	0.125	0.875	0.125
17	17	0	0	2/4	4	1	ii65						Bb	I		ii65	ii		65						mm7	0	0	-3, 1, -2, 0		0	-3	0	9	0.0	0.0	1.0	0.0
17	17	1/4	1/4	2/4	4	1	V						Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	0	8	0.0	0.0	1.0	0.0
18	18	0	0	2/4	4	1	I\\	-0.229553	-3.41821	/			Bb	I		I	I							\\	M	0	0	-2, 2, -1		-2	-2	0	9	0.0	0.0	1.5	0.0
19	19	0	0	2/4	4	1	V						Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	4	8	0.3333333333333333	0.5	1.0	0.3333333333333333
20	20	0	0	2/4	4	1	V[V7						Bb	I	V	V7	V		7						Mm7	0	0	-1, 3, 0, -3		-1	-1	0	8	0.0	0.0	1.25	0.0
21	21	0	0	2/4	4	1	I]	0	-3.41821	/			Bb	I		I	I					]			M	0	0	-2, 2, -1		-2	-2	2	7	0.2222222222222222	0.25	0.875	0.2222222222222222
21	21	3/8	3/8	2/4	4	1	viio/V	-3.32119	-2.68391	/			Bb	I		viio/V	vii	o			V				o	0	0	4, 1, -2		4	4	0	3	0.0	0.0	0.375	0.0
22	22	0	0	2/4	4	1	V						Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
22	22	1/4	1/4	2/4	4	1	ii[V/V						Bb	I	ii	V/V	V				V				M	0	0	0, 4, 1		0	0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
23	23	0	0	2/4	4	1	V]						Bb	I		V	V					]			M	0	0	-1, 3, 0		-1	-1	0	5	0.0	0.0	1.0	0.0
23	23	1/4	1/4	2/4	4	1	V2	0	-3.87732	/			Bb	I		V2	V		2						Mm7	0	0	-3, -1, 3, 0		-1	-3	2	3	0.4	0.25	0.25	0.5
24	24	0	0	2/4	4	1	I6	0.229553	-4.56598	/			Bb	I		I6	I		6						M	0	0	2, -1, -2		-2	2	0	7	0.0	0.0	0.875	0.0
24	24	1/4	1/4	2/4	4	1	ii6	0	-4.33643	/			Bb	I		ii6	ii		6						m	0	0	-3, 1, 0		0	-3	1	5	0.16666666666666666	0.0	0.625	0.0
24	24	3/8	3/8	2/4	4	1	V7						Bb	I		V7	V		7						Mm7	0	0	-1, 3, 0, -3		-1	-1	0	3	0.0	0.0	0.375	0.0
25	25	0	0	2/4	4	1	I[V7/IV						Bb	I	I	V7/IV	V		7		IV				Mm7	0	0	-2, 2, -1, -4		-2	-2	0	12	0.0	0.0	2.5	0.0
26	26	0	0	2/4	4	1	IV	-0.104477	-3.0621	/			Bb	I		IV	IV								M	0	0	-3, 1, -2		-3	-3	5	15	0.25	0.5	1.5	0.25
27	27	0	0	2/4	4	1	IV						Bb	I		IV	IV								M	0	0	-3, 1, -2		-3	-3	3	20	0.13043478260869565	0.1875	2.3125	0.075
28	28	1/8	1/8	2/4	4	1	V7/IV						Bb	I		V7/IV	V		7		IV				Mm7	0	0	-2, 2, -1, -4		-2	-2	0	9	0.0	0.0	1.3125	0.0
29	29	0	0	2/4	4	1	V7/V						Bb	I		V7/V	V		7		V				Mm7	0	0	0, 4, 1, -2		0	0	7	5	0.5833333333333334	1.875	0.625	0.75
30	30	0	0	2/4	4	1	IV	0	-3.87732	/			Bb	I		IV	IV								M	0	0	-3, 1, -2		-3	-3	5	15	0.25	0.5	1.5	0.25
31	31	0	0	2/4	4	1	V43						Bb	I		V43	V		43						Mm7	0	0	0, -3, -1, 3		-1	0	7	17	0.2916666666666667	0.75	1.875	0.2857142857142857
32	32	1/8	1/8	2/4	4	1	I6]	0	-5.88999	/	1		Bb	I		I6	I		6			]			M	0	0	2, -1, -2		-2	2	0	11	0.0	0.0	1.1875	0.0
33	33	0	0	2/4	4	1	V	0	-5.51311	/	1		Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	4	8	0.3333333333333333	0.5	1.0	0.3333333333333333
34	32	0	0	2/4	4	1	I]	0	-5.60249	/	2		Bb	I		I	I					]			M	0	0	-2, 2, -1		-2	-2	3	10	0.23076923076923078	0.375	1.4375	0.20689655172413793
35	33	0	0	2/4	4	1	V				2		Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	1	4	0.2	0.0625	0.4375	0.125
36	34	0	0	2/4	4	1	I						Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	1	2	0.3333333333333333	0.125	0.3125	0.2857142857142857
37	35	0	0	2/4	4	1	V64						Bb	I		V64	V		64						M	0	0	0, -1, 3		-1	0	2	6	0.25	0.1875	0.75	0.2
38	36	0	0	2/4	4	1	I6						Bb	I		I6	I		6						M	0	0	2, -1, -2		-2	2	7	17	0.2916666666666667	0.625	2.1875	0.2222222222222222
40	38	0	0	2/4	4	1	V43/V						Bb	I		V43/V	V		43		V				Mm7	0	0	1, -2, 0, 4		0	1	4	14	0.2222222222222222	0.3125	1.625	0.16129032258064516
41	39	0	0	2/4	4	1	V[V64						Bb	I	V	V64	V		64						M	0	0	0, -1, 3		-1	0	1	7	0.125	0.125	2.0	0.058823529411764705
42	40	0	0	2/4	4	1	V43/V						Bb	I		V43/V	V		43		V				Mm7	0	0	1, -2, 0, 4		0	1	4	11	0.26666666666666666	0.6875	1.3125	0.34375
43	41	0	0	2/4	4	1	V6]	0	-4.56598	/			Bb	I		V6	V		6			]			M	0	0	3, 0, -1		-1	3	0	12	0.0	0.0	1.5	0.0
43	41	3/8	3/8	2/4	4	1	ii						Bb	I		ii	ii								m	0	0	0, -3, 1		0	0	0	12	0.0	0.0	1.5	0.0
44	42	1/4	1/4	2/4	4	1	V						Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	0	8	0.0	0.0	1.0	0.0
45	43	0	0	2/4	4	1	I\\						Bb	I		I	I							\\	M	0	0	-2, 2, -1		-2	-2	0	6	0.0	0.0	1.5	0.0
45	43	1/4	1/4	2/4	4	1	I6						Bb	I		I6	I		6						M	0	0	2, -1, -2		-2	2	2	2	0.5	0.25	0.25	0.5
46	44	0	0	2/4	4	1	V43	0	-3.15235	/			Bb	I		V43	V		43						Mm7	0	0	0, -3, -1, 3		-1	0	2	10	0.16666666666666666	0.125	1.5	0.07692307692307693
46	44	3/8	3/8	2/4	4	1	V65	0	-3.15235	/			Bb	I		V65	V		65						Mm7	0	0	3, 0, -3, -1		-1	3	1	3	0.25	0.0625	0.3125	0.16666666666666666
47	45	0	0	2/4	4	1	I						Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	0	12	0.0	0.0	1.5	0.0
47	45	3/8	3/8	2/4	4	1	V	0	-4.33643	/			Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	4	16	0.2	0.5	2.0	0.2
49	47	0	0	2/4	4	1	I	0.459107	-4.56598	/			Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	2	8	0.2	0.25	1.75	0.125
50	48	0	0	2/4	4	1	V43	-0.0632787	-6.20734	/			Bb	I		V43	V		43						Mm7	0	0	0, -3, -1, 3		-1	0	3	17	0.15	0.1875	1.8125	0.09375
51	49	0	0	2/4	4	1	I6	0.1	-6.31002	/			Bb	I		I6	I		6						M	0	0	2, -1, -2		-2	2	0	8	0.0	0.0	1.0	0.0
51	49	1/4	1/4	2/4	4	1	I	0	-4.79553	/			Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.5	0.0
51	49	3/8	3/8	2/4	4	1	V6	-0.104477	-4.54391	/			Bb	I		V6	V		6						M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.5	0.0
52	50	0	0	2/4	4	1	vi	0.459107	-4.52182	/			Bb	I		vi	vi								m	0	0	1, -2, 2		1	1	0	8	0.0	0.0	1.0	0.0
52	50	1/4	1/4	2/4	4	1	V7/V	-0.208954	-2.66332	/			Bb	I		V7/V	V		7		V				Mm7	0	0	0, 4, 1, -2		0	0	0	8	0.0	0.0	1.0	0.0
53	51	0	0	2/4	4	1	V						Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	3	8	0.2727272727272727	0.1875	1.0625	0.15
54	52	0	0	2/4	4	1	V7/V	-0.39731	-3.31225	/			Bb	I		V7/V	V		7		V				Mm7	0	0	0, 4, 1, -2		0	0	6	12	0.3333333333333333	0.375	1.125	0.25
55	53	0	0	2/4	4	1	iii						Bb	I		iii	iii								m	0	0	2, -1, 3		2	2	3	8	0.2727272727272727	0.1875	1.0625	0.15
56	54	0	0	2/4	4	1	V7						Bb	I		V7	V		7						Mm7	0	0	-1, 3, 0, -3		-1	-1	6	12	0.3333333333333333	0.375	1.125	0.25
57	55	0	0	2/4	4	1	I						Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	1	4	0.2	0.0625	0.4375	0.125
57	55	1/8	1/8	2/4	4	1	vi						Bb	I		vi	vi								m	0	0	1, -2, 2		1	1	3	11	0.21428571428571427	0.25	1.1875	0.17391304347826086
57	55	7/16	7/16	2/4	4	1	V43/V	-4.90746	-2.56032	/			Bb	I		V43/V	V		43		V				Mm7	0	0	1, -2, 0, 4		0	1	0	1	0.0	0.0	0.0625	0.0
58	56	0	0	2/4	4	1	V.I					V	Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	1	4	0.2	0.0625	0.4375	0.125
58	56	1/8	1/8	2/4	4	1	vi						Bb	V		vi	vi								m	0	0	2, -1, 3		2	2	1	4	0.2	0.0625	0.4375	0.125
58	56	1/4	1/4	2/4	4	1	I64						Bb	V		I64	I		64						M	0	0	0, -1, 3		-1	0	1	4	0.2	0.0625	0.4375	0.125
58	56	3/8	3/8	2/4	4	1	IV						Bb	V		IV	IV								M	0	0	-2, 2, -1		-2	-2	1	4	0.2	0.0625	0.4375	0.125
59	57	0	0	2/4	4	1	I6	0	-3.87732	/			Bb	V		I6	I		6						M	0	0	3, 0, -1		-1	3	1	7	0.125	0.125	0.875	0.125
59	57	1/4	1/4	2/4	4	1	V43	0	-5.02509	/			Bb	V		V43	V		43						Mm7	0	0	1, -2, 0, 4		0	1	0	4	0.0	0.0	0.5	0.0
59	57	3/8	3/8	2/4	4	1	I						Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
60	58	0	0	2/4	4	1	V[viio2/V	-1.3376	-6.4342	/			Bb	V	V	viio2/V	vii	o	2		V				o7	0	0	-4, 5, 2, -1		5	-4	1	3	0.25	0.125	0.375	0.25
60	58	1/8	1/8	2/4	4	1	V64]	0.563584	-5.25316	/			Bb	V		V64	V		64			]			M	0	0	1, 0, 4		0	1	0	4	0.0	0.0	0.5	0.0
60	58	1/4	1/4	2/4	4	1	V(64)	0	-5.67107	/			Bb	V		V(64)	V			64					M	0	0	0, -1, 3		0	0	0	4	0.0	0.0	0.5	0.0
60	58	3/8	3/8	2/4	4	1	V7	0.145676	-5.79614	/			Bb	V		V7	V		7						Mm7	0	0	0, 4, 1, -2		0	0	0	4	0.0	0.0	0.5	0.0
61	59	0	0	2/4	4	1	I\\	0	-5.21641	/			Bb	V		I	I							\\	M	0	0	-1, 3, 0		-1	-1	6	12	0.3333333333333333	0.375	1.125	0.25
62	60	0	0	2/4	4	1	V7	0	-3.41821	/			Bb	V		V7	V		7						Mm7	0	0	0, 4, 1, -2		0	0	3	8	0.2727272727272727	0.1875	1.0625	0.15
63	61	0	0	2/4	4	1	vi						Bb	V		vi	vi								m	0	0	2, -1, 3		2	2	6	12	0.3333333333333333	0.375	1.125	0.25
64	62	0	0	2/4	4	1	V7/IV						Bb	V		V7/IV	V		7		IV				Mm7	0	0	-1, 3, 0, -3		-1	-1	3	8	0.2727272727272727	0.1875	1.0625	0.15
65	63	0	0	2/4	4	1	IV	0	-4.10687	/			Bb	V		IV	IV								M	0	0	-2, 2, -1		-2	-2	2	5	0.2857142857142857	0.125	0.5	0.2
65	63	1/4	1/4	2/4	4	1	viio6						Bb	V		viio6	vii	o	6						o	0	0	1, -2, 4		4	1	3	4	0.42857142857142855	0.1875	0.4375	0.3
66	64	0	0	2/4	4	1	I6						Bb	V		I6	I		6						M	0	0	3, 0, -1		-1	3	3	4	0.42857142857142855	0.25	0.375	0.4
66	64	1/4	1/4	2/4	4	1	I						Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	4	7	0.36363636363636365	0.25	0.625	0.2857142857142857
67	65	0	0	2/4	4	1	V7	0	-4.56598	/			Bb	V		V7	V		7						Mm7	0	0	0, 4, 1, -2		0	0	15	35	0.3	1.0	3.0	0.25
69	67	0	0	2/4	4	1	@none						Bb	V		@none	@none								m	0	0					3	0	1.0	0.375	0.0	1.0
70	68	0	0	2/4	4	1	I						Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	2	4	0.3333333333333333	0.1875	0.6875	0.21428571428571427
71	69	0	0	2/4	4	1	viio6/V						Bb	V		viio6/V	vii	o	6		V				o	0	0	2, -1, 5		5	2	1	3	0.25	0.0625	0.4375	0.125
71	69	1/4	1/4	2/4	4	1	V7						Bb	V		V7	V		7						Mm7	0	0	0, 4, 1, -2		0	0	0	9	0.0	0.0	1.25	0.0
72	70	1/8	1/8	2/4	4	1	V2						Bb	V		V2	V		2						Mm7	0	0	-2, 0, 4, 1		0	-2	1	11	0.08333333333333333	0.125	1.375	0.08333333333333333
73	71	0	0	2/4	4	1	I6						Bb	V		I6	I		6						M	0	0	3, 0, -1		-1	3	3	12	0.2	0.3125	1.6875	0.15625
74	72	0	0	2/4	4	1	IV	0.229553	-5.02509	/			Bb	V		IV	IV								M	0	0	-2, 2, -1		-2	-2	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
74	72	1/8	1/8	2/4	4	1	V65/V	-0.229553	-4.79553	/			Bb	V		V65/V	V		65		V				Mm7	0	0	5, 2, -1, 1		1	5	0	4	0.0	0.0	0.5	0.0
74	72	1/4	1/4	2/4	4	1	V	1.60687	-4.79553	/			Bb	V		V	V								M	0	0	0, 4, 1		0	0	2	6	0.25	0.25	0.75	0.25
75	73	0	0	2/4	4	1	viio65/V	0	-5.71375	/			Bb	V		viio65/V	vii	o	65		V				o7	0	0	2, -1, -4, 5		5	2	0	4	0.0	0.0	1.5	0.0
75	73	3/8	3/8	2/4	4	1	i64	0.229553	-5.4842	/			Bb	V		i64	i		64						m	0	0	0, -1, -4		-1	0	0	4	0.0	0.0	0.5	0.0
76	74	0	0	2/4	4	1	viio65/V	-0.459107	-4.79553	/			Bb	V		viio65/V	vii	o	65		V				o7	0	0	2, -1, -4, 5		5	2	4	12	0.25	0.5	1.5	0.25
77	75	0	0	2/4	4	1	viio7/V	0	-5.71375	/			Bb	V		viio7/V	vii	o	7		V				o7	0	0	5, 2, -1, -4		5	5	0	8	0.0	0.0	2.0	0.0
78	76	0	0	2/4	4	1	viio7/V	0.68866	-5.9433	/			Bb	V		viio7/V	vii	o	7		V				o7	0	0	5, 2, -1, -4		5	5	0	5	0.0	0.0	1.25	0.0
79	77	0	0	2/4	4	1	viio43						Bb	V		viio43	vii	o	43						o7	0	0	-2, -5, 4, 1		4	-2	0	8	0.0	0.0	2.0	0.0
80	78	0	0	2/4	4	1	viio43						Bb	V		viio43	vii	o	43						o7	0	0	-2, -5, 4, 1		4	-2	0	4	0.0	0.0	1.0	0.0
80	78	1/4	1/4	2/4	4	1	viio2						Bb	V		viio2	vii	o	2						o7	0	0	-5, 4, 1, -2		4	-5	0	1	0.0	0.0	0.25	0.0
81	79	0	0	2/4	4	1	V[I						Bb	V	V	I	I								M	0	0	-1, 3, 0		-1	-1	4	12	0.25	0.25	0.75	0.25
82	80	0	0	2/4	4	1	I						Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	4	16	0.2	0.25	1.25	0.16666666666666666
83	81	0	0	2/4	4	1	V43						Bb	V		V43	V		43						Mm7	0	0	1, -2, 0, 4		0	1	8	20	0.2857142857142857	0.5	1.5	0.25
84	82	0	0	2/4	4	1	viio65]						Bb	V		viio65	vii	o	65			]			o7	0	0	1, -2, -5, 4		4	1	4	22	0.15384615384615385	0.25	1.75	0.125
85	83	0	0	2/4	4	1	I						Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	4	6	0.4	0.4375	0.5625	0.4375
85	83	1/4	1/4	2/4	4	1	vi	0	-4.33643	/			Bb	V		vi	vi								m	0	0	2, -1, 3		2	2	4	6	0.4	0.4375	0.5625	0.4375
86	84	0	0	2/4	4	1	IV						Bb	V		IV	IV								M	0	0	-2, 2, -1		-2	-2	4	6	0.4	0.4375	0.5625	0.4375
86	84	1/4	1/4	2/4	4	1	ii						Bb	V		ii	ii								m	0	0	1, -2, 2		1	1	4	6	0.4	0.4375	0.5625	0.4375
87	85	0	0	2/4	4	1	V6	0	-4.33643	/			Bb	V		V6	V		6						M	0	0	4, 1, 0		0	4	4	6	0.4	0.4375	0.5625	0.4375
87	85	1/4	1/4	2/4	4	1	V	0.229553	-4.33643	/			Bb	V		V	V								M	0	0	0, 4, 1		0	0	0	5	0.0	0.0	0.5	0.0
87	85	3/8	3/8	2/4	4	1	V6/V	0	-4.10687	/			Bb	V		V6/V	V		6		V				M	0	0	5, 2, 1		1	5	1	4	0.2	0.0625	0.4375	0.125
88	86	0	0	2/4	4	1	V65						Bb	V		V65	V		65						Mm7	0	0	4, 1, -2, 0		0	4	8	20	0.2857142857142857	0.5625	1.4375	0.28125
89	87	0	0	2/4	4	1	I						Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	10	18	0.35714285714285715	0.6875	1.3125	0.34375
90	88	0	0	2/4	4	1	V7						Bb	V		V7	V		7						Mm7	0	0	0, 4, 1, -2		0	0	11	17	0.39285714285714285	0.8125	1.1875	0.40625
91	89	0	0	2/4	4	1	I						Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	4	10	0.2857142857142857	0.375	1.625	0.1875
92	90	0	0	2/4	4	1	V65	0	-4.81221	/			Bb	V		V65	V		65						Mm7	0	0	4, 1, -2, 0		0	4	8	8	0.5	1.1875	0.8125	0.59375
93	91	0	0	2/4	4	1	I						Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	4	10	0.2857142857142857	0.375	1.625	0.1875
94	92	0	0	2/4	4	1	V65	0	-4.65275	/			Bb	V		V65	V		65						Mm7	0	0	4, 1, -2, 0		0	4	8	8	0.5	1.1875	0.8125	0.59375
95	93	0	0	2/4	4	1	I	0	-3.93516	/			Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	4	10	0.2857142857142857	0.375	1.625	0.1875
96	94	0	0	2/4	4	1	V65	0	-4.89194	/			Bb	V		V65	V		65						Mm7	0	0	4, 1, -2, 0		0	4	8	8	0.5	1.1875	0.8125	0.59375
97	95	0	0	2/4	4	1	I						Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	4	10	0.2857142857142857	0.375	1.625	0.1875
98	96	0	0	2/4	4	1	I	0.229553	-7.70447	/	1		Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	1	9	0.1	0.125	1.375	0.08333333333333333
98	96	3/8	3/8	2/4	4	1	V/ii	0.229553	-7.70447	/	1		Bb	V		V/ii	V				ii				M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	0.5	0.0
99	97	0	0	2/4	4	1	ii\\	-0.229553	-7.64397	/	1		Bb	V		ii	ii							\\	m	0	0	1, -2, 2		1	1	0	11	0.0	0.0	1.75	0.0
101	96	0	0	2/4	4	1	I\\	0.459107	-7.70447	/	2		Bb	V		I	I							\\	M	0	0	-1, 3, 0		-1	-1	1	10	0.09090909090909091	0.125	1.5	0.07692307692307693
102	97	0	0	2/4	4	1	I				2		Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	0	8	0.0	0.0	1.5	0.0
103	98	0	0	2/4	4	1	viio6	0	-4.56598	/	2		Bb	V		viio6	vii	o	6						o	0	0	1, -2, 4		4	1	2	13	0.13333333333333333	0.25	3.5	0.06666666666666667
106	101	0	0	2/4	4	1	vi6	0.229553	-3.87732	/			Bb	V		vi6	vi		6						m	0	0	-1, 3, 2		2	-1	0	8	0.0	0.0	1.5	0.0
107	102	0	0	2/4	4	1	#viio6/vi						Bb	V		#viio6/vi	#vii	o	6		vi				o	0	0	4, 1, 7		7	4	3	9	0.25	0.375	2.625	0.125
109	104	0	0	2/4	4	1	vi						Bb	V		vi	vi								m	0	0	2, -1, 3		2	2	0	3	0.0	0.0	1.25	0.0
110	105	0	0	2/4	4	1	V7/V						Bb	V		V7/V	V		7		V				Mm7	0	0	1, 5, 2, -1		1	1	1	10	0.09090909090909091	0.125	1.75	0.06666666666666667
111	106	0	0	2/4	4	1	bVII.I6						Bb	bVII		I6	I		6						M	0	0	0, -3, -4		-4	0	2	8	0.2	0.25	1.625	0.13333333333333333
112	107	0	0	2/4	4	1	V43						Bb	bVII		V43	V		43						Mm7	0	0	-2, -5, -3, 1		-3	-2	2	23	0.08	0.25	3.5	0.06666666666666667
114	109	0	0	2/4	4	1	I						Bb	bVII		I	I								M	0	0	-4, 0, -3		-4	-4	1	11	0.08333333333333333	0.125	3.375	0.03571428571428571
115	110	1/4	1/4	2/4	4	1	V2/IV	-0.208954	-3.0415	/			Bb	bVII		V2/IV	V		2		IV				Mm7	0	0	-6, -4, 0, -3		-4	-6	1	2	0.3333333333333333	0.125	0.375	0.25
116	111	0	0	2/4	4	1	IV6	-0.0838784	-2.89435	/			Bb	bVII		IV6	IV		6						M	0	0	-1, -4, -5		-5	-1	2	4	0.3333333333333333	0.25	0.75	0.25
116	111	1/4	1/4	2/4	4	1	V65	-0.522386	-3.0415	/			Bb	bVII		V65	V		65						Mm7	0	0	1, -2, -5, -3		-3	1	2	4	0.3333333333333333	0.25	0.75	0.25
117	112	0	0	2/4	4	1	I						Bb	bVII		I	I								M	0	0	-4, 0, -3		-4	-4	2	4	0.3333333333333333	0.25	0.75	0.25
117	112	1/4	1/4	2/4	4	1	#viio7/iii	-3.4433	-2.91643	/			Bb	bVII		#viio7/iii	#vii	o	7		iii				o7	0	0	5, 2, -1, -4		5	5	2	4	0.3333333333333333	0.25	0.75	0.25
118	113	0	0	2/4	4	1	I6						Bb	bVII		I6	I		6						M	0	0	0, -3, -4		-4	0	0	10	0.0	0.0	2.0	0.0
119	114	0	0	2/4	4	1	IV						Bb	bVII		IV	IV								M	0	0	-5, -1, -4		-5	-5	2	4	0.3333333333333333	0.25	0.75	0.25
119	114	1/4	1/4	2/4	4	1	I6						Bb	bVII		I6	I		6						M	0	0	0, -3, -4		-4	0	2	4	0.3333333333333333	0.25	0.75	0.25
120	115	0	0	2/4	4	1	IV						Bb	bVII		IV	IV								M	0	0	-5, -1, -4		-5	-5	0	5	0.0	0.0	0.75	0.0
120	115	1/4	1/4	2/4	4	1	V	0	-3.61624	/			Bb	bVII		V	V								M	0	0	-3, 1, -2		-3	-3	0	6	0.0	0.0	1.0	0.0
121	116	0	0	2/4	4	1	V2	0	-4.0149	/			Bb	bVII		V2	V		2						Mm7	0	0	-5, -3, 1, -2		-3	-5	2	3	0.4	0.25	0.5	0.3333333333333333
121	116	1/4	1/4	2/4	4	1	I6	0	-3.93516	/			Bb	bVII		I6	I		6						M	0	0	0, -3, -4		-4	0	2	4	0.3333333333333333	0.25	0.75	0.25
122	117	0	0	2/4	4	1	I						Bb	bVII		I	I								M	0	0	-4, 0, -3		-4	-4	2	14	0.125	0.25	2.625	0.08695652173913043
123	118	1/4	1/4	2/4	4	1	V2/IV	0	-7.18	/			Bb	bVII		V2/IV	V		2		IV				Mm7	0	0	-6, -4, 0, -3		-4	-6	2	4	0.3333333333333333	0.25	0.75	0.25
124	119	0	0	2/4	4	1	IV6	0	-7.18	/			Bb	bVII		IV6	IV		6						M	0	0	-1, -4, -5		-5	-1	2	4	0.3333333333333333	0.25	0.75	0.25
