mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
3	3	5	5	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	13									
3	3	4	4	0.0		0	0	StaffText	2/4	3	1	0							<i>sempre</i>						
3	3	4	4	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	14									
3	3	9/2	9/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	15									
3	3	5	5	0.0		1/4	1/4	StaffText	2/4	3	1	0							<i>stacc.</i>						
3	3	5	5	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	16									
3	3	11/2	11/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	17									
3	3	4	4	0.0		0	0	Dynamic	2/4	4	1	0					pp								
3	3	5	5	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	18									
4	4	6	6	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	19							1		
4	4	25/4	25/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	20							1		
4	4	13/2	13/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	21							1		
4	4	27/4	27/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	22									
4	4	7	7	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	23		articStaccatoAbove							
4	4	15/2	15/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	24		articStaccatoAbove							
4	4	7	7	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	25									
4	4	6	6	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	26									
4	4	13/2	13/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	27									
4	4	7	7	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	28									
4	4	15/2	15/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	29									
4	4	7	7	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	30									
5	5	8	8	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	31		articStaccatoAbove							
5	5	17/2	17/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	32		articStaccatoAbove							
5	5	9	9	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	33							2		
5	5	19/2	19/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	34							2		
5	5	39/4	39/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	35									
5	5	9	9	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	36									
5	5	8	8	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	37									
5	5	17/2	17/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	38									
5	5	9	9	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	39									
5	5	19/2	19/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	40									
5	5	9	9	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	41									
6	6	10	10	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	42									
6	6	21/2	21/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	43									
6	6	11	11	0.0		1/4	1/4	StaffText	2/4	1	1	0							"<font size=""6.7""/>ten."						
6	6	11	11	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	44									
6	6	11	11	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	45									
6	6	10	10	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	46									
6	6	21/2	21/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	47									
6	6	11	11	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	48									
6	6	23/2	23/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	49									
6	6	11	11	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	50									
7	7	12	12	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	51							3		
7	7	25/2	25/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	52							3		
7	7	51/4	51/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	53									
7	7	13	13	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	54		articStaccatoAbove							
7	7	27/2	27/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	55		articStaccatoAbove							
7	7	12	12	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	56									
7	7	13	13	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	57									
7	7	12	12	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	58									
7	7	25/2	25/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	59									
7	7	13	13	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	60									
7	7	27/2	27/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	61									
7	7	12	12	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	62									
7	7	13	13	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	63									
8	8	14	14	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	64							4		
8	8	57/4	57/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	65							4		
8	8	29/2	29/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	66							4		
8	8	59/4	59/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	67									
8	8	15	15	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	68		articStaccatoAbove							
8	8	31/2	31/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	69		articStaccatoAbove							
8	8	14	14	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	70									
8	8	15	15	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	71									
8	8	14	14	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	72									
8	8	29/2	29/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	73									
8	8	15	15	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	74									
8	8	31/2	31/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	75									
8	8	14	14	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	76									
8	8	15	15	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	77									
9	9	16	16	0.0		0	0	Spanner	2/4	1	1	0												0	
9	9	16	16	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	78		articStaccatoAbove						0	
9	9	33/2	33/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	79		articStaccatoAbove						0	
9	9	17	17	0.0		1/4	1/4	Spanner	2/4	1	1	0													
9	9	17	17	0.0		1/4	1/4	Spanner	2/4	1	1	0													0
9	9	17	17	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	80		articStaccatoAbove							0
9	9	35/2	35/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	81		articStaccatoAbove							0
9	9	16	16	0.0		0	0	Spanner	2/4	2	1	0												1	
9	9	33/2	33/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	82								1	
9	9	17	17	0.0		1/4	1/4	Spanner	2/4	2	1	0													
9	9	17	17	0.0		1/4	1/4	Spanner	2/4	2	1	0													1
9	9	35/2	35/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	83									1
9	9	16	16	0.0		0	0	Spanner	2/4	3	1	0												2	
9	9	16	16	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	84		articStaccatoBelow						2	
9	9	33/2	33/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	85		articStaccatoBelow						2	
9	9	17	17	0.0		1/4	1/4	Spanner	2/4	3	1	0													
9	9	17	17	0.0		1/4	1/4	Spanner	2/4	3	1	0													2
9	9	17	17	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	86		articStaccatoBelow							2
9	9	35/2	35/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	87		articStaccatoBelow							2
9	9	16	16	0.0		0	0	Spanner	2/4	4	1	0												3	
9	9	33/2	33/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	88								3	
9	9	17	17	0.0		1/4	1/4	Spanner	2/4	4	1	0													
9	9	17	17	0.0		1/4	1/4	Spanner	2/4	4	1	0													3
9	9	35/2	35/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	89									3
10	10	18	18	0.0		0	0	Spanner	2/4	1	1	0													
10	10	18	18	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	90		articStaccatoAbove							
10	10	37/2	37/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	91		articStaccatoAbove							
10	10	19	19	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	92		articStaccatoAbove							
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	93		articStaccatoAbove							
10	10	18	18	0.0		0	0	Spanner	2/4	2	1	0													
10	10	37/2	37/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	94									
10	10	18	18	0.0		0	0	Spanner	2/4	3	1	0													
10	10	18	18	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	95		articStaccatoAbove							
10	10	37/2	37/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	96		articStaccatoAbove							
10	10	19	19	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	97		articStaccatoAbove							
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	98		articStaccatoAbove							
10	10	18	18	0.0		0	0	Spanner	2/4	4	1	0													
10	10	37/2	37/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	99									
11	11	20	20	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	100		articStaccatoAbove							
11	11	41/2	41/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	101		articStaccatoAbove							
11	11	21	21	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	102		articStaccatoAbove							
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	103		articStaccatoAbove							
11	11	20	20	0.0		0	0	Dynamic	2/4	2	1	0					pp								
11	11	20	20	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	104							5		
11	11	41/2	41/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	105							5		
11	11	83/4	83/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	106									
11	11	21	21	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	107		articStaccatoBelow							
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	108		articStaccatoBelow							
11	11	20	20	0.0		0	0	Dynamic	2/4	3	1	0					pp								
11	11	20	20	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	109		articStaccatoAbove							
11	11	41/2	41/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	110		articStaccatoAbove							
11	11	21	21	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	111		articStaccatoAbove							
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	112		articStaccatoAbove							
11	11	20	20	0.0		0	0	Dynamic	2/4	4	1	0					pp								
11	11	20	20	0.0		0	0	Dynamic	2/4	4	1	0					pp								
11	11	41/2	41/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	113							6		
11	11	83/4	83/4	0.25		3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	114							6		
11	11	21	21	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	115		articStaccatoAbove							
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	116									
12	12	22	22	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	117									
12	12	45/2	45/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	118									
12	12	23	23	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	119									
12	12	47/2	47/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	120									
12	12	22	22	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	121							7		
12	12	89/4	89/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	122							7		
12	12	45/2	45/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	123							7		
12	12	91/4	91/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	124									
12	12	23	23	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	125		articStaccatoBelow							
12	12	47/2	47/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	126		articStaccatoBelow							
12	12	22	22	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	127									
12	12	45/2	45/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	128									
12	12	23	23	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	129									
12	12	47/2	47/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	130									
12	12	22	22	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	131									
12	12	45/2	45/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	132									
12	12	23	23	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	133		articStaccatoAbove							
12	12	47/2	47/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	134		articStaccatoAbove							
13	13	24	24	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	135									
13	13	49/2	49/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	136									
13	13	25	25	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	137									
13	13	51/2	51/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	138									
13	13	24	24	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	139		articStaccatoBelow							
13	13	49/2	49/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	140		articStaccatoBelow							
13	13	25	25	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	141							8		
13	13	51/2	51/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	142							8		
13	13	103/4	103/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	143									
13	13	24	24	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	144									
13	13	49/2	49/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	145									
13	13	25	25	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	146									
13	13	51/2	51/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	147									
13	13	24	24	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	148									
13	13	49/2	49/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	149									
13	13	25	25	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	150									
13	13	51/2	51/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	151									
14	14	26	26	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	152									
14	14	53/2	53/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	153									
14	14	27	27	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	154									
14	14	55/2	55/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	155									
14	14	26	26	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	156							9		
14	14	53/2	53/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	157									
14	14	27	27	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	158									
14	14	26	26	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	159									
14	14	53/2	53/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	160									
14	14	27	27	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	161									
14	14	55/2	55/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	162									
14	14	26	26	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	163							10		
14	14	53/2	53/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	164									
14	14	27	27	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	165							11		
14	14	55/2	55/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	166							11		
14	14	111/4	111/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	167									
15	15	28	28	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	168									
15	15	57/2	57/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	169									
15	15	29	29	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	170									
15	15	59/2	59/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	171									
15	15	28	28	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	172							12		
15	15	57/2	57/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	173							12		
15	15	115/4	115/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	174									
15	15	29	29	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	175		articStaccatoAbove							
15	15	59/2	59/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	176		articStaccatoAbove							
15	15	28	28	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	177									
15	15	57/2	57/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	178									
15	15	29	29	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	179									
15	15	59/2	59/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	180									
15	15	28	28	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	181									
16	16	30	30	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	182									
16	16	61/2	61/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	183									
16	16	31	31	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	184									
16	16	63/2	63/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	185									
16	16	30	30	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	186							13		
16	16	121/4	121/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	187							13		
16	16	61/2	61/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	188							13		
16	16	123/4	123/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	189									
16	16	31	31	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	190		articStaccatoBelow							
16	16	63/2	63/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	191		articStaccatoBelow							
16	16	30	30	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	192									
16	16	61/2	61/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	193									
16	16	31	31	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	194									
16	16	63/2	63/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	195									
16	16	30	30	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	196							14		
16	16	121/4	121/4	0.25		1/16	1/16	Chord	2/4	4	1	1/16		1/16	1	197							14		
16	16	61/2	61/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	198							14		
16	16	123/4	123/4	0.25		3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	199									
16	16	31	31	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	200		articStaccatoAbove							
16	16	63/2	63/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	201									
17	17	32	32	0.0		0	0	Spanner	2/4	1	1	0												4	
17	17	32	32	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	202								4	
17	17	65/2	65/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	203								4	
17	17	33	33	0.0		1/4	1/4	Spanner	2/4	1	1	0													
17	17	33	33	0.0		1/4	1/4	Spanner	2/4	1	1	0													4
17	17	33	33	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	204									4
17	17	67/2	67/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	205									4
17	17	32	32	0.0		0	0	Spanner	2/4	2	1	0												5	
17	17	32	32	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	206		articStaccatoBelow						5	
17	17	65/2	65/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	207		articStaccatoBelow						5	
17	17	33	33	0.0		1/4	1/4	Spanner	2/4	2	1	0													
17	17	33	33	0.0		1/4	1/4	Spanner	2/4	2	1	0													5
17	17	33	33	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	208		articStaccatoBelow							5
17	17	67/2	67/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	209		articStaccatoBelow							5
17	17	32	32	0.0		0	0	Spanner	2/4	3	1	0												6	
17	17	32	32	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	210								6	
17	17	65/2	65/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	211								6	
17	17	33	33	0.0		1/4	1/4	Spanner	2/4	3	1	0													
17	17	33	33	0.0		1/4	1/4	Spanner	2/4	3	1	0													6
17	17	33	33	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	212									6
17	17	67/2	67/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	213									6
17	17	32	32	0.0		0	0	Spanner	2/4	4	1	0												7	
17	17	32	32	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	214							15	7	
17	17	65/2	65/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	215							15	7	
17	17	131/4	131/4	0.25		3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	216								7	
17	17	33	33	0.0		1/4	1/4	Spanner	2/4	4	1	0													
17	17	33	33	0.0		1/4	1/4	Spanner	2/4	4	1	0													7
17	17	33	33	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	217		articStaccatoAbove							7
17	17	67/2	67/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	218		articStaccatoAbove							7
18	18	34	34	0.0		0	0	Spanner	2/4	1	1	0													
18	18	34	34	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	219									
18	18	71/2	71/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	220		articStaccatoAbove							
18	18	34	34	0.0		0	0	Spanner	2/4	2	1	0													
18	18	34	34	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	221									
18	18	71/2	71/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	222		articStaccatoBelow							
18	18	34	34	0.0		0	0	Spanner	2/4	3	1	0													
18	18	34	34	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	223									
18	18	69/2	69/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	224									
18	18	35	35	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	225									
18	18	71/2	71/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	226									
18	18	34	34	0.0		0	0	Spanner	2/4	4	1	0													
18	18	34	34	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	227									
19	19	36	36	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	228		articStaccatoAbove							
19	19	73/2	73/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	229		articStaccatoAbove							
19	19	37	37	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	230		articStaccatoAbove							
19	19	75/2	75/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	231		articStaccatoAbove							
19	19	36	36	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	232		articStaccatoBelow							
19	19	73/2	73/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	233		articStaccatoBelow							
19	19	37	37	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	234		articStaccatoBelow							
19	19	75/2	75/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	235		articStaccatoBelow							
19	19	36	36	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	236									
19	19	73/2	73/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	237									
19	19	37	37	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	238									
19	19	75/2	75/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	239									
20	20	38	38	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	240		articStaccatoAbove							
20	20	79/2	79/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	241		articStaccatoAbove							
20	20	38	38	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	242									
