mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
7	7	18	18	0.25		0	0	Chord	6/8	1	1	1/16			1/16	1	44							10			
7	7	73/4	73/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	45							10			
7	7	37/2	37/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	46							10			
7	7	75/4	75/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	47							10			
7	7	19	19	0.25		1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	48							10			
7	7	77/4	77/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	49							10			
7	7	39/2	39/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	50		articStaccatoBelow								
7	7	18	18	1.5		0	0	Chord	6/8	2	1	3/8			1/4	3/2	51							6			
7	7	39/2	39/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	52		articStaccatoBelow								
7	7	18	18	1.5		0	0	Chord	6/8	3	1	3/8			1/4	3/2	53							8			
7	7	39/2	39/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	54		articStaccatoBelow								
7	7	18	18	1.0		0	0	Chord	6/8	4	1	1/4			1/4	1	55										
7	7	19	19	0.5		1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	56							11			
7	7	39/2	39/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4			1/4	1	57		articStaccatoBelow								
9	9	51/2	51/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	58							12			
9	9	26	26	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	59							12			
9	9	53/2	53/2	0.0		5/8	5/8	Dynamic	6/8	1	1	0						sf									
9	9	53/2	53/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	60										
9	9	24	24	0.5		0	0	Chord	6/8	3	1	1/8			1/8	1	61							13			
9	9	49/2	49/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	62							13			
9	9	25	25	0.0		1/4	1/4	Dynamic	6/8	3	1	0						sf									
9	9	25	25	0.5		1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	63										
9	9	51/2	51/2	0.0		3/8	3/8	Spanner	6/8	3	1	0														0	
9	9	51/2	51/2	1.5		3/8	3/8	Chord	6/8	3	1	3/8			1/4	3/2	64									0	
10	10	27	27	0.0		0	0	Spanner	6/8	1	1	0														1	
10	10	27	27	3.0		0	0	Chord	6/8	1	1	3/4			1/2	3/2	65									1	
10	10	27	27	0.0		0	0	Dynamic	6/8	2	1	0						p									
10	10	27	27	1.5		0	0	Chord	6/8	2	1	3/8			1/4	3/2	66							14			
10	10	57/2	57/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	67										
10	10	27	27	0.0		0	0	Dynamic	6/8	3	1	0						p									
10	10	27	27	0.0		0	0	Spanner	6/8	3	1	0															
10	10	27	27	3.0		0	0	Chord	6/8	3	1	3/4			1/2	3/2	68										
10	10	27	27	0.0		0	0	Dynamic	6/8	4	1	0						p									
10	10	27	27	3.0		0	0	Chord	6/8	4	1	3/4			1/2	3/2	69										
11	11	30	30	0.0		0	0	Dynamic	6/8	1	1	0						p									
11	11	30	30	0.0		0	0	Spanner	6/8	1	1	0															
11	11	30	30	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	70							15			
11	11	61/2	61/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	71							15			
11	11	31	31	0.0		1/4	1/4	Dynamic	6/8	1	1	0						sf									
11	11	31	31	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	72										
11	11	63/2	63/2	0.0		3/8	3/8	Spanner	6/8	1	1	0														2	
11	11	63/2	63/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	73									2	
11	11	30	30	0.0		0	0	Dynamic	6/8	2	1	0						p									
11	11	30	30	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	74							16			
11	11	61/2	61/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	75							16			
11	11	31	31	0.0		1/4	1/4	Dynamic	6/8	2	1	0						sf									
11	11	31	31	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	76										
11	11	63/2	63/2	0.0		3/8	3/8	Spanner	6/8	2	1	0														3	
11	11	63/2	63/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	77									3	
11	11	63/2	63/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0						p									
11	11	63/2	63/2	0.0		3/8	3/8	Spanner	6/8	4	1	0															0
11	11	63/2	63/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	78										0
11	11	32	32	0.5		1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	79										0
11	11	65/2	65/2	0.0		5/8	5/8	Dynamic	6/8	4	1	0						sf									0
11	11	65/2	65/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	80										0
12	12	33	33	0.0		0	0	Dynamic	6/8	1	1	0						p									
12	12	33	33	0.0		0	0	Spanner	6/8	1	1	0															
12	12	33	33	3.0		0	0	Chord	6/8	1	1	3/4			1/2	3/2	81										
12	12	33	33	0.0		0	0	Dynamic	6/8	2	1	0						p									
12	12	33	33	0.0		0	0	Spanner	6/8	2	1	0															
12	12	33	33	3.0		0	0	Chord	6/8	2	1	3/4			1/2	3/2	82										
12	12	33	33	0.0		0	0	Dynamic	6/8	3	1	0						p									
12	12	33	33	3.0		0	0	Chord	6/8	3	1	3/4			1/2	3/2	83										
12	12	33	33	0.0		0	0	Spanner	6/8	4	1	0															
12	12	33	33	0.0		0	0	Spanner	6/8	4	1	0														4	
12	12	33	33	1.5		0	0	Chord	6/8	4	1	3/8			1/4	3/2	84							17		4	
12	12	69/2	69/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8			1/4	3/2	85									4	
13	13	36	36	0.0		0	0	Spanner	6/8	1	1	0															1
13	13	36	36	0.75		0	0	Chord	6/8	1	1	3/16			1/8	3/2	86							18			1
13	13	147/4	147/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	87							18			1
13	13	37	37	0.0		1/4	1/4	Spanner	6/8	1	1	0												18			
13	13	37	37	0.0		1/4	1/4	Spanner	6/8	1	1	0												18		5	
13	13	37	37	0.25		1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	88							18		5	
13	13	149/4	149/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	89							18		5	
13	13	75/2	75/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	90									5	
13	13	36	36	0.0		0	0	Spanner	6/8	2	1	0															2
13	13	36	36	1.5		0	0	Chord	6/8	2	1	3/8			1/4	3/2	91							19			2
13	13	75/2	75/2	0.0		3/8	3/8	Spanner	6/8	2	1	0												19			
13	13	75/2	75/2	0.0		3/8	3/8	Spanner	6/8	2	1	0												19		6	
13	13	75/2	75/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	92							19		6	
13	13	38	38	0.25		1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	93							19		6	
13	13	153/4	153/4	0.25		9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	94							19		6	
13	13	77/2	77/2	0.25		5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	95							19		6	
13	13	155/4	155/4	0.25		11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	96									6	
13	13	36	36	0.0		0	0	Spanner	6/8	3	1	0															3
13	13	36	36	1.0		0	0	Chord	6/8	3	1	1/4			1/4	1	97										3
13	13	37	37	0.0		1/4	1/4	Spanner	6/8	3	1	0															
13	13	37	37	0.0		1/4	1/4	Spanner	6/8	3	1	0														7	
13	13	37	37	0.5		1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	98							20		7	
13	13	75/2	75/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	99							20		7	
13	13	77/2	77/2	0.25		5/8	5/8	Chord	6/8	3	1	1/16			1/16	1	100							20		7	
13	13	155/4	155/4	0.25		11/16	11/16	Chord	6/8	3	1	1/16			1/16	1	101									7	
13	13	36	36	0.0		0	0	Spanner	6/8	4	1	0															
13	13	36	36	0.0		0	0	Spanner	6/8	4	1	0															4
13	13	36	36	0.0		0	0	Spanner	6/8	4	1	0														8	4
13	13	36	36	3.0		0	0	Chord	6/8	4	1	3/4			1/2	3/2	102									8	4
14	14	39	39	0.0		0	0	Spanner	6/8	1	1	0															
14	14	39	39	0.0		0	0	Spanner	6/8	1	1	0															5
14	14	39	39	0.25		0	0	Chord	6/8	1	1	1/16			1/16	1	103							21			5
14	14	157/4	157/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	104							21			5
14	14	79/2	79/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	105							21			5
14	14	159/4	159/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	106							21			5
14	14	40	40	0.25		1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	107							21			5
14	14	161/4	161/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	108										5
14	14	81/2	81/2	0.0		3/8	3/8	Spanner	6/8	1	1	0														9	
14	14	81/2	81/2	0.0		3/8	3/8	Spanner	6/8	1	1	0														9	
14	14	81/2	81/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	109							22		9	
14	14	41	41	1.0		1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	110									9	
14	14	39	39	0.0		0	0	Spanner	6/8	2	1	0															
14	14	39	39	0.0		0	0	Spanner	6/8	2	1	0															6
14	14	39	39	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	111										6
14	14	40	40	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	112							23			6
14	14	81/2	81/2	0.0		3/8	3/8	Spanner	6/8	2	1	0												23		10	
14	14	81/2	81/2	0.0		3/8	3/8	Spanner	6/8	2	1	0												23		10	
14	14	81/2	81/2	0.25		3/8	3/8	Chord	6/8	2	1	1/16			1/16	1	113							23		10	
14	14	163/4	163/4	0.25		7/16	7/16	Chord	6/8	2	1	1/16			1/16	1	114							23		10	
14	14	41	41	0.25		1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	115							23		10	
14	14	165/4	165/4	0.25		9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	116							23		10	
14	14	83/2	83/2	0.25		5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	117							23		10	
14	14	167/4	167/4	0.25		11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	118									10	
14	14	39	39	0.0		0	0	Spanner	6/8	3	1	0															
14	14	39	39	0.0		0	0	Spanner	6/8	3	1	0															7
14	14	39	39	1.0		0	0	Chord	6/8	3	1	1/4			1/4	1	119							24			7
14	14	40	40	0.5		1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	120							24			7
14	14	81/2	81/2	0.0		3/8	3/8	Spanner	6/8	3	1	0												24		11	
14	14	81/2	81/2	0.0		3/8	3/8	Spanner	6/8	3	1	0												24		11	
14	14	81/2	81/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	121							24		11	
14	14	83/2	83/2	0.25		5/8	5/8	Chord	6/8	3	1	1/16			1/16	1	122							24		11	
14	14	167/4	167/4	0.25		11/16	11/16	Chord	6/8	3	1	1/16			1/16	1	123									11	
14	14	39	39	0.0		0	0	Spanner	6/8	4	1	0															8
14	14	39	39	0.0		0	0	Spanner	6/8	4	1	0														12	8
14	14	39	39	0.0		0	0	Spanner	6/8	4	1	0														12	8
14	14	39	39	0.0		0	0	Spanner	6/8	4	1	0														12	8
14	14	39	39	3.0		0	0	Chord	6/8	4	1	3/4			1/2	3/2	124									12	8
15	15	42	42	0.0		0	0	Spanner	6/8	1	1	0															
15	15	42	42	0.25		0	0	Chord	6/8	1	1	1/16			1/16	1	125							25			
15	15	169/4	169/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	126							25			
15	15	85/2	85/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	127							25			
15	15	171/4	171/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	128							25			
15	15	43	43	0.25		1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	129							25			
15	15	173/4	173/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	130							25			
15	15	87/2	87/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	131							25			
15	15	175/4	175/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	132							25			
15	15	44	44	0.25		1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	133							25			
15	15	177/4	177/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	134							25			
15	15	89/2	89/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	135							25			
15	15	179/4	179/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	136										
15	15	42	42	0.0		0	0	Spanner	6/8	2	1	0															
15	15	42	42	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	137										
15	15	173/4	173/4	0.25		5/16	5/16	Chord	6/8	2	1	1/16			1/16	1	138							26			
15	15	87/2	87/2	0.25		3/8	3/8	Chord	6/8	2	1	1/16			1/16	1	139							26			
15	15	175/4	175/4	0.25		7/16	7/16	Chord	6/8	2	1	1/16			1/16	1	140							26			
15	15	44	44	0.25		1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	141							26			
15	15	177/4	177/4	0.25		9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	142							26			
15	15	89/2	89/2	0.25		5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	143							26			
15	15	179/4	179/4	0.25		11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	144							26			
15	15	42	42	0.0		0	0	Spanner	6/8	3	1	0															
15	15	42	42	0.5		0	0	Chord	6/8	3	1	1/8			1/8	1	145										
15	15	87/2	87/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	146										
15	15	42	42	0.0		0	0	Spanner	6/8	4	1	0															
15	15	42	42	0.0		0	0	Spanner	6/8	4	1	0															
15	15	42	42	0.5		0	0	Chord	6/8	4	1	1/8			1/8	1	147										
15	15	87/2	87/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	148										
16	16	45	45	0.25		0	0	Chord	6/8	1	1	1/16			1/16	1	149							27			
16	16	181/4	181/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	150							27			
16	16	91/2	91/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	151							27			
16	16	183/4	183/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	152							27			
16	16	46	46	0.25		1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	153							27			
16	16	185/4	185/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	154							27			
16	16	93/2	93/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	155							27			
16	16	187/4	187/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	156							27			
16	16	47	47	0.25		1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	157							27			
16	16	189/4	189/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	158							27			
16	16	95/2	95/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	159							27			
16	16	191/4	191/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	160							27			
16	16	45	45	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	161										
16	16	181/4	181/4	0.25		1/16	1/16	Chord	6/8	3	1	1/16			1/16	1	162							28			
16	16	91/2	91/2	0.25		1/8	1/8	Chord	6/8	3	1	1/16			1/16	1	163							28			
16	16	183/4	183/4	0.25		3/16	3/16	Chord	6/8	3	1	1/16			1/16	1	164							28			
16	16	46	46	0.25		1/4	1/4	Chord	6/8	3	1	1/16			1/16	1	165							28			
16	16	185/4	185/4	0.25		5/16	5/16	Chord	6/8	3	1	1/16			1/16	1	166							28			
16	16	93/2	93/2	0.25		3/8	3/8	Chord	6/8	3	1	1/16			1/16	1	167							28			
16	16	187/4	187/4	0.25		7/16	7/16	Chord	6/8	3	1	1/16			1/16	1	168							28			
16	16	47	47	0.25		1/2	1/2	Chord	6/8	3	1	1/16			1/16	1	169							28			
16	16	189/4	189/4	0.25		9/16	9/16	Chord	6/8	3	1	1/16			1/16	1	170							28			
16	16	95/2	95/2	0.25		5/8	5/8	Chord	6/8	3	1	1/16			1/16	1	171							28			
16	16	191/4	191/4	0.25		11/16	11/16	Chord	6/8	3	1	1/16			1/16	1	172							28			
17	17	48	48	0.25		0	0	Chord	6/8	1	1	1/16			1/16	1	173							27			
17	17	193/4	193/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	174							27			
17	17	97/2	97/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	175							27			
17	17	195/4	195/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	176							27			
17	17	49	49	0.25		1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	177							27			
17	17	197/4	197/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	178							27			
17	17	99/2	99/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	179							27			
17	17	199/4	199/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	180							27			
17	17	50	50	0.25		1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	181							27			
17	17	201/4	201/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	182							27			
17	17	101/2	101/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	183							27			
17	17	203/4	203/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	184										
17	17	48	48	0.25		0	0	Chord	6/8	3	1	1/16			1/16	1	185							28			
17	17	193/4	193/4	0.25		1/16	1/16	Chord	6/8	3	1	1/16			1/16	1	186							28			
17	17	97/2	97/2	0.25		1/8	1/8	Chord	6/8	3	1	1/16			1/16	1	187							28			
17	17	195/4	195/4	0.25		3/16	3/16	Chord	6/8	3	1	1/16			1/16	1	188							28			
17	17	49	49	0.25		1/4	1/4	Chord	6/8	3	1	1/16			1/16	1	189							28			
17	17	197/4	197/4	0.25		5/16	5/16	Chord	6/8	3	1	1/16			1/16	1	190							28			
17	17	99/2	99/2	0.25		3/8	3/8	Chord	6/8	3	1	1/16			1/16	1	191							28			
17	17	199/4	199/4	0.25		7/16	7/16	Chord	6/8	3	1	1/16			1/16	1	192							28			
17	17	50	50	0.25		1/2	1/2	Chord	6/8	3	1	1/16			1/16	1	193							28			
17	17	201/4	201/4	0.25		9/16	9/16	Chord	6/8	3	1	1/16			1/16	1	194							28			
17	17	101/2	101/2	0.25		5/8	5/8	Chord	6/8	3	1	1/16			1/16	1	195							28			
17	17	203/4	203/4	0.25		11/16	11/16	Chord	6/8	3	1	1/16			1/16	1	196										
18	18	51	51	0.0		0	0	StaffText	6/8	1	1	0								<i>cresc.</i>							
18	18	51	51	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	197							29			
18	18	103/2	103/2	1.0		1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	198										
18	18	105/2	105/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	199							30			
18	18	53	53	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	200							30			
18	18	107/2	107/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	201										
18	18	103/2	103/2	0.0		1/8	1/8	StaffText	6/8	2	1	0								<i>cresc.</i>							
18	18	103/2	103/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	202										
18	18	52	52	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	203										
18	18	105/2	105/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	204							31			
18	18	53	53	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	205							31			
18	18	107/2	107/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	206										
18	18	51	51	0.0		0	0	StaffText	6/8	3	1	0								<i>cresc.</i>							
18	18	51	51	0.5		0	0	Chord	6/8	3	1	1/8			1/8	1	207							32			
18	18	103/2	103/2	1.0		1/8	1/8	Chord	6/8	3	1	1/4			1/4	1	208										
18	18	105/2	105/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	209							33			
18	18	53	53	0.5		1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	210							33			
18	18	107/2	107/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	211										
18	18	103/2	103/2	0.0		1/8	1/8	StaffText	6/8	4	1	0								<i>cresc.</i>							
18	18	103/2	103/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	212										
18	18	52	52	0.5		1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	213										
18	18	105/2	105/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	214										
18	18	53	53	0.5		1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	215										
18	18	107/2	107/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	216										
19	19	54	54	0.0		0	0	Dynamic	6/8	1	1	0						f									
19	19	54	54	1.0		0	0	Chord	6/8	1	1	1/4			1/4	1	217		articStaccatoBelow								
19	19	111/2	111/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	218		articStaccatoAbove								
19	19	54	54	0.0		0	0	Dynamic	6/8	2	1	0						f									
