mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
15	13	30	42	0.0		0	0	Dynamic	3/4	1	1	0					p							
15	13	30	42	0.0		0	0	StaffText	3/4	1	1	0							<i>cresc.</i>					
15	13	30	42	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	137								
15	13	63/2	87/2	0.0		3/8	3/8	Dynamic	3/4	2	1	0					p							
15	13	63/2	87/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	138								
15	13	32	44	0.0		1/2	1/2	StaffText	3/4	2	1	0							<i>cresc.</i>					
15	13	32	44	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	139								
15	13	61/2	85/2	0.0		1/8	1/8	Dynamic	3/4	3	1	0					p							
15	13	61/2	85/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	140								
15	13	31	43	0.0		1/4	1/4	StaffText	3/4	3	1	0							<i>cresc.</i>					
15	13	31	43	1.5		1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	141							14	
15	13	65/2	89/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	142								
15	13	30	42	0.0		0	0	Dynamic	3/4	4	1	0					p							
15	13	30	42	0.0		0	0	StaffText	3/4	4	1	0							<i>cresc.</i>					
15	13	30	42	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	143								
15	13	63/2	87/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	144								
15	13	32	44	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	145								
16	14	33	45	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	146								
16	14	69/2	93/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	147								
16	14	35	47	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	148								
16	14	67/2	91/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	149								
16	14	34	46	1.5		1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	150							15	
16	14	71/2	95/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	151								
16	14	33	45	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	152								
16	14	69/2	93/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	153								
16	14	35	47	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	154								
17	15	36	48	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	155								
17	15	75/2	99/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	156								
17	15	38	50	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	157								
17	15	73/2	97/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	158								
17	15	37	49	1.5		1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	159							16	
17	15	77/2	101/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	160								
17	15	36	48	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	161								
17	15	75/2	99/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	162								
17	15	38	50	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	163								
18	16	39	51	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	164								
18	16	41	53	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf							
18	16	41	53	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	165							17	
18	16	79/2	103/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	166							18	
18	16	40	52	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	167							18	
18	16	81/2	105/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	168							18	
18	16	41	53	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf						18	
18	16	41	53	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	169							18	
18	16	83/2	107/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	170								
18	16	79/2	103/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	171							19	
18	16	40	52	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	172							19	
18	16	81/2	105/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	173							19	
18	16	41	53	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf						19	
18	16	41	53	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	174							19	
18	16	83/2	107/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	175								
18	16	39	51	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	176								
18	16	81/2	105/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	177								
18	16	41	53	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf							
18	16	41	53	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	178								
18	16	83/2	107/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	179								
19	17	42	54	0.0		0	0	Dynamic	3/4	1	1	0					f							
19	17	42	54	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	180		articStaccatoAbove						
19	17	85/2	109/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	181		articStaccatoAbove						
19	17	43	55	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	182							20	
19	17	89/2	113/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	183								
19	17	42	54	0.0		0	0	Dynamic	3/4	2	1	0					f							
19	17	42	54	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	184		articStaccatoBelow						
19	17	85/2	109/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	185		articStaccatoBelow						
19	17	43	55	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	186							21	
19	17	89/2	113/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	187								
19	17	42	54	0.0		0	0	Dynamic	3/4	3	1	0					f							
19	17	42	54	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	188								
19	17	42	54	0.0		0	0	Dynamic	3/4	4	1	0					f							
19	17	42	54	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	189								
19	17	87/2	111/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	190		articStaccatoBelow						
19	17	44	56	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	191		articStaccatoBelow						
20	18	91/2	115/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	192		articStaccatoAbove						
20	18	46	58	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	193							22	
20	18	95/2	119/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	194								
20	18	91/2	115/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	195		articStaccatoBelow						
20	18	46	58	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	196							23	
20	18	95/2	119/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	197								
20	18	45	57	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	198								
20	18	45	57	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	199								
20	18	93/2	117/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	200								
20	18	47	59	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	201								
21	19	97/2	121/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	202		articStaccatoAbove						
21	19	49	61	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	203							24	
21	19	101/2	125/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	204								
21	19	97/2	121/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	205		articStaccatoBelow						
21	19	49	61	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	206							25	
21	19	101/2	125/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	207								
21	19	48	60	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	208								
21	19	48	60	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	209								
21	19	99/2	123/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	210								
21	19	50	62	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	211								
22	20	103/2	127/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	212		articStaccatoBelow						
22	20	52	64	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	213							26	
22	20	107/2	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	214								
22	20	103/2	127/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	215		articStaccatoBelow						
22	20	52	64	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	216							27	
22	20	107/2	131/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	217								
22	20	51	63	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	218								
22	20	51	63	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	219								
22	20	105/2	129/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	220								
22	20	53	65	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	221								
23	21	54	66	0.0		0	0	Dynamic	3/4	1	1	0					ff							
