mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
47	45	126	138	0.0		0	0	StaffText	3/4	4	1	0							<i>cresc.</i>					
47	45	126	138	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	493							65	
47	45	128	140	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	494								
48	46	259/2	283/2	0.0		1/8	1/8	StaffText	3/4	1	1	0							<i>cresc.</i>					
48	46	259/2	283/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	495		articStaccatoAbove						
48	46	130	142	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	496							66	
48	46	263/2	287/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	497								
48	46	129	141	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	498								
48	46	261/2	285/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	499								
48	46	131	143	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	500								
48	46	129	141	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	501							67	
48	46	131	143	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	502								
49	47	265/2	289/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	503		articStaccatoAbove						
49	47	133	145	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	504								
49	47	269/2	293/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	505								
49	47	132	144	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	506								
49	47	267/2	291/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	507								
49	47	134	146	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	508								
49	47	132	144	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	509								
49	47	134	146	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	510								
50	48	135	147	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	511								
50	48	271/2	295/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	512								
50	48	136	148	0.0		1/4	1/4	Dynamic	3/4	1	1	0					f							
50	48	136	148	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	513								
50	48	136	148	0.0		1/4	1/4	Dynamic	3/4	2	1	0					f							
50	48	136	148	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	514								
50	48	136	148	0.0		1/4	1/4	Dynamic	3/4	3	1	0					f							
50	48	136	148	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	515								
50	48	135	147	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	516								
50	48	136	148	0.0		1/4	1/4	Dynamic	3/4	4	1	0					f							
50	48	136	148	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	517								
51	49	138	150	0.0		0	0	Spanner	3/4	1	1	0												9
51	49	138	150	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	518							68	9
51	49	140	152	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	519								9
51	49	138	150	0.0		0	0	Spanner	3/4	2	1	0												10
51	49	138	150	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	520							69	10
51	49	140	152	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	521								10
51	49	138	150	0.0		0	0	Spanner	3/4	3	1	0												11
51	49	138	150	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	522							70	11
51	49	140	152	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	523								11
51	49	138	150	0.0		0	0	Spanner	3/4	4	1	0												12
51	49	138	150	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	524							71	12
51	49	140	152	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	525								12
52	50		153	0.0	1	0	0	Dynamic	3/4	1	1	0					p							
52	50		153	0.0	1	0	0	Spanner	3/4	1	1	0												
52	50		153	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	526								
52	50		153	0.0	1	0	0	Dynamic	3/4	2	1	0					p							
52	50		153	0.0	1	0	0	Spanner	3/4	2	1	0												
52	50		153	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	527								
52	50		153	0.0	1	0	0	Dynamic	3/4	3	1	0					p							
52	50		153	0.0	1	0	0	Spanner	3/4	3	1	0												
52	50		153	1.0	1	0	0	Chord	3/4	3	1	1/4		1/4	1	528								
52	50		153	0.0	1	0	0	Dynamic	3/4	4	1	0					p							
52	50		153	0.0	1	0	0	Spanner	3/4	4	1	0												
52	50		153	1.0	1	0	0	Chord	3/4	4	1	1/4		1/4	1	529								
53	51		156	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	530								
53	51		156	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	531								
53	51		156	1.0	1	0	0	Chord	3/4	3	1	1/4		1/4	1	532								
53	51		156	1.0	1	0	0	Chord	3/4	4	1	1/4		1/4	1	533								
54	52		159	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	534								
54	52		161	0.0	1	1/2	1/2	Dynamic	3/4	1	1	0					pp							
54	52		161	1.0	1	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	535								
54	52		159	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	536								
54	52		161	0.0	1	1/2	1/2	Dynamic	3/4	2	1	0					pp							
54	52		161	1.0	1	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	537								
54	52		159	1.0	1	0	0	Chord	3/4	3	1	1/4		1/4	1	538								
54	52		160	1.0	1	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	539								
54	52		161	0.0	1	1/2	1/2	Dynamic	3/4	3	1	0					pp							
54	52		161	1.0	1	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	540								
54	52		159	1.0	1	0	0	Chord	3/4	4	1	1/4		1/4	1	541								
54	52		160	1.0	1	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	542								
54	52		161	0.0	1	1/2	1/2	Dynamic	3/4	4	1	0					pp							
54	52		161	1.0	1	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	543								
55	53		162	0.5	1	0	0	Chord	3/4	1	1	1/8		1/8	1	544								
55	53		325/2	0.5	1	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	545		articStaccatoAbove						
55	53		163	1.5	1	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	546							72	
55	53		329/2	0.5	1	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	547								
55	53		162	0.5	1	0	0	Chord	3/4	2	1	1/8		1/8	1	548								
55	53		325/2	0.5	1	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	549		articStaccatoBelow						
55	53		163	1.5	1	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	550							73	
55	53		329/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	551								
55	53		162	1.0	1	0	0	Chord	3/4	3	1	1/4		1/4	1	552								
55	53		327/2	0.5	1	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	553								
55	53		164	0.5	1	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	554								
55	53		162	1.0	1	0	0	Chord	3/4	4	1	1/4		1/4	1	555								
55	53		327/2	0.5	1	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	556								
55	53		164	0.5	1	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	557								
56	49		165	0.0	1	0	0	Dynamic	3/4	1	1	0					p							
56	49		165	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	558								
56	49		165	0.0	1	0	0	Dynamic	3/4	2	1	0					p							
56	49		165	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	559								
56	49		165	0.0	1	0	0	Dynamic	3/4	3	1	0					p							
56	49		165	1.0	1	0	0	Chord	3/4	3	1	1/4		1/4	1	560								
56	49		165	0.0	1	0	0	Dynamic	3/4	4	1	0					p							
56	49		165	1.0	1	0	0	Chord	3/4	4	1	1/4		1/4	1	561								
57	50		168	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	562								
57	50		168	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	563								
57	50		168	1.0	1	0	0	Chord	3/4	3	1	1/4		1/4	1	564								
57	50		168	1.0	1	0	0	Chord	3/4	4	1	1/4		1/4	1	565								
58	51		171	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	566								
58	51		171	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	567								
58	51		171	1.0	1	0	0	Chord	3/4	3	1	1/4		1/4	1	568								
58	51		171	1.0	1	0	0	Chord	3/4	4	1	1/4		1/4	1	569								
59	51	141	172	0.0		0	1/4	StaffText	3/4	1	1	0							"<font size=""10.3""/><b>Maggiore</b>"					
59	51	141	172	0.0		0	1/4	Dynamic	3/4	2	1	0					p							
59	51	141	172	0.3333333333333333		0	1/4	Chord	3/4	2	1	1/12		1/8	2/3	570							74	
59	51	424/3	517/3	0.3333333333333333		1/12	1/3	Chord	3/4	2	1	1/12		1/8	2/3	571							74	
59	51	425/3	518/3	0.3333333333333333		1/6	5/12	Chord	3/4	2	1	1/12		1/8	2/3	572							74	
59	51	142	173	0.3333333333333333		1/4	1/2	Chord	3/4	2	1	1/12		1/8	2/3	573							74	
59	51	427/3	520/3	0.3333333333333333		1/3	7/12	Chord	3/4	2	1	1/12		1/8	2/3	574							74	
59	51	428/3	521/3	0.3333333333333333		5/12	2/3	Chord	3/4	2	1	1/12		1/8	2/3	575								
59	51	141	172	0.0		0	1/4	Dynamic	3/4	3	1	0					p							
59	51	141	172	0.0		0	1/4	StaffText	3/4	3	1	0							(Thème russe)					
59	51	141	172	0.5		0	1/4	Chord	3/4	3	1	1/8		1/8	1	576		articStaccatoAbove						
59	51	142	173	0.5		1/4	1/2	Chord	3/4	3	1	1/8		1/8	1	577		articStaccatoBelow						
60	52	143	174	0.3333333333333333		0	0	Chord	3/4	2	1	1/12		1/8	2/3	578							75	
60	52	430/3	523/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	579							75	
60	52	431/3	524/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	580								
60	52	144	175	0.3333333333333333		1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	581								
60	52	433/3	526/3	0.3333333333333333		1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	582								
60	52	434/3	527/3	0.3333333333333333		5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	583								
60	52	145	176	0.3333333333333333		1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	584							76	
60	52	436/3	529/3	0.3333333333333333		7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	585							76	
60	52	437/3	530/3	0.3333333333333333		2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	586								
60	52	143	174	0.5		0	0	Chord	3/4	3	1	1/8		1/8	1	587							77	
60	52	287/2	349/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	588								
60	52	144	175	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	589		articStaccatoAbove						
60	52	145	176	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	590		articStaccatoAbove						
61	53	146	177	0.3333333333333333		0	0	Chord	3/4	2	1	1/12		1/8	2/3	591							78	
61	53	439/3	532/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	592							78	
61	53	440/3	533/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	593							78	
61	53	147	178	0.3333333333333333		1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	594							78	
61	53	442/3	535/3	0.3333333333333333		1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	595							78	
61	53	443/3	536/3	0.3333333333333333		5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	596							78	
61	53	148	179	0.3333333333333333		1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	597							78	
61	53	445/3	538/3	0.3333333333333333		7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	598							78	
61	53	446/3	539/3	0.3333333333333333		2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	599								
61	53	146	177	0.5		0	0	Chord	3/4	3	1	1/8		1/8	1	600							79	
61	53	293/2	355/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	601								
61	53	147	178	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	602		articStaccatoAbove						
61	53	148	179	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	603		articStaccatoAbove						
62	54	149	180	0.0		0	0	StaffText	3/4	2	1	0							<i>cresc.</i>					
62	54	149	180	0.3333333333333333		0	0	Chord	3/4	2	1	1/12		1/8	2/3	604							80	
62	54	448/3	541/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	605							80	
62	54	449/3	542/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	606							80	
62	54	150	181	0.3333333333333333		1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	607							80	
62	54	451/3	544/3	0.3333333333333333		1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	608							80	
62	54	452/3	545/3	0.3333333333333333		5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	609							80	
62	54	151	182	0.3333333333333333		1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	610							80	
62	54	454/3	547/3	0.3333333333333333		7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	611							80	
62	54	455/3	548/3	0.3333333333333333		2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	612								
62	54	149	180	0.0		0	0	StaffText	3/4	3	1	0							<i>cresc.</i>					
62	54	149	180	0.5		0	0	Chord	3/4	3	1	1/8		1/8	1	613		articStaccatoAbove						
62	54	150	181	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	614		articStaccatoAbove						
62	54	151	182	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	615		articStaccatoAbove						
63	55	152	183	0.3333333333333333		0	0	Chord	3/4	2	1	1/12		1/8	2/3	616							81	
63	55	457/3	550/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	617							81	
63	55	458/3	551/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	618							81	
63	55	153	184	0.3333333333333333		1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	619							81	
63	55	460/3	553/3	0.3333333333333333		1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	620							81	
63	55	461/3	554/3	0.3333333333333333		5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	621							81	
63	55	154	185	0.3333333333333333		1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	622							81	
63	55	463/3	556/3	0.3333333333333333		7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	623							81	
63	55	464/3	557/3	0.3333333333333333		2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	624								
63	55	152	183	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	625							82	
63	55	154	185	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	626								
64	56	155	186	0.0		0	0	Dynamic	3/4	2	1	0					sf							
64	56	155	186	0.0		0	0	Spanner	3/4	2	1	0												13
64	56	155	186	0.3333333333333333		0	0	Chord	3/4	2	1	1/12		1/8	2/3	627							83	13
64	56	466/3	559/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	628							83	13
64	56	467/3	560/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	629							83	13
64	56	156	187	0.3333333333333333		1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	630							83	13
64	56	469/3	562/3	0.3333333333333333		1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	631							83	13
64	56	470/3	563/3	0.3333333333333333		5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	632							83	13
64	56	157	188	0.3333333333333333		1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	633							83	13
64	56	472/3	565/3	0.3333333333333333		7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	634							83	13
64	56	473/3	566/3	0.3333333333333333		2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	635								13
64	56	155	186	0.0		0	0	Dynamic	3/4	3	1	0					sf							
64	56	155	186	0.0		0	0	Spanner	3/4	3	1	0												14
64	56	155	186	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	636							84	14
64	56	157	188	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	637							84	14
64	56	315/2	377/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	638								14
65	57	158	189	0.0		0	0	StaffText	3/4	2	1	0							"<font size=""10""/>(Thème russe)"					
65	57	158	189	0.0		0	0	Dynamic	3/4	2	1	0					p							
65	57	158	189	0.0		0	0	Spanner	3/4	2	1	0												
65	57	158	189	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	639								
65	57	159	190	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	640		articStaccatoBelow						
65	57	160	191	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	641		articStaccatoBelow						
65	57	158	189	0.0		0	0	Dynamic	3/4	3	1	0					p							
65	57	158	189	0.0		0	0	Spanner	3/4	3	1	0												
65	57	158	189	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	642								
65	57	160	191	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	643							85	
65	57	159	190	0.0		1/4	1/4	Dynamic	3/4	4	1	0					p							
65	57	159	190	0.3333333333333333		1/4	1/4	Chord	3/4	4	1	1/12		1/8	2/3	644							86	
65	57	478/3	571/3	0.3333333333333333		1/3	1/3	Chord	3/4	4	1	1/12		1/8	2/3	645							86	
65	57	479/3	572/3	0.3333333333333333		5/12	5/12	Chord	3/4	4	1	1/12		1/8	2/3	646							86	
65	57	160	191	0.3333333333333333		1/2	1/2	Chord	3/4	4	1	1/12		1/8	2/3	647							86	
65	57	481/3	574/3	0.3333333333333333		7/12	7/12	Chord	3/4	4	1	1/12		1/8	2/3	648							86	
65	57	482/3	575/3	0.3333333333333333		2/3	2/3	Chord	3/4	4	1	1/12		1/8	2/3	649								
66	58	161	192	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	650							87	
66	58	323/2	385/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	651								
66	58	162	193	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	652		articStaccatoAbove						
66	58	163	194	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	653		articStaccatoAbove						
66	58	161	192	0.5		0	0	Chord	3/4	3	1	1/8		1/8	1	654								
66	58	162	193	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	655								
66	58	163	194	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	656								
66	58	161	192	0.3333333333333333		0	0	Chord	3/4	4	1	1/12		1/8	2/3	657							88	
66	58	484/3	577/3	0.3333333333333333		1/12	1/12	Chord	3/4	4	1	1/12		1/8	2/3	658							88	
66	58	485/3	578/3	0.3333333333333333		1/6	1/6	Chord	3/4	4	1	1/12		1/8	2/3	659								
66	58	162	193	0.3333333333333333		1/4	1/4	Chord	3/4	4	1	1/12		1/8	2/3	660								
66	58	487/3	580/3	0.3333333333333333		1/3	1/3	Chord	3/4	4	1	1/12		1/8	2/3	661								
66	58	488/3	581/3	0.3333333333333333		5/12	5/12	Chord	3/4	4	1	1/12		1/8	2/3	662								
66	58	163	194	0.3333333333333333		1/2	1/2	Chord	3/4	4	1	1/12		1/8	2/3	663							89	
66	58	490/3	583/3	0.3333333333333333		7/12	7/12	Chord	3/4	4	1	1/12		1/8	2/3	664							89	
66	58	491/3	584/3	0.3333333333333333		2/3	2/3	Chord	3/4	4	1	1/12		1/8	2/3	665								
67	59	164	195	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	666							90	
67	59	329/2	391/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	667								
67	59	165	196	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	668		articStaccatoAbove						
67	59	166	197	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	669		articStaccatoAbove						
67	59	164	195	0.5		0	0	Chord	3/4	3	1	1/8		1/8	1	670								
67	59	165	196	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	671								
67	59	166	197	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	672								
67	59	164	195	0.3333333333333333		0	0	Chord	3/4	4	1	1/12		1/8	2/3	673							91	
67	59	493/3	586/3	0.3333333333333333		1/12	1/12	Chord	3/4	4	1	1/12		1/8	2/3	674							91	
67	59	494/3	587/3	0.3333333333333333		1/6	1/6	Chord	3/4	4	1	1/12		1/8	2/3	675							91	
67	59	165	196	0.3333333333333333		1/4	1/4	Chord	3/4	4	1	1/12		1/8	2/3	676							91	
67	59	496/3	589/3	0.3333333333333333		1/3	1/3	Chord	3/4	4	1	1/12		1/8	2/3	677							91	
67	59	497/3	590/3	0.3333333333333333		5/12	5/12	Chord	3/4	4	1	1/12		1/8	2/3	678							91	
67	59	166	197	0.3333333333333333		1/2	1/2	Chord	3/4	4	1	1/12		1/8	2/3	679							91	
67	59	499/3	592/3	0.3333333333333333		7/12	7/12	Chord	3/4	4	1	1/12		1/8	2/3	680							91	
67	59	500/3	593/3	0.3333333333333333		2/3	2/3	Chord	3/4	4	1	1/12		1/8	2/3	681								
68	60	167	198	0.0		0	0	StaffText	3/4	2	1	0							<i>cresc.</i>					
68	60	167	198	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	682		articStaccatoAbove						
68	60	168	199	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	683		articStaccatoAbove						
68	60	169	200	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	684		articStaccatoAbove						
68	60	167	198	0.0		0	0	StaffText	3/4	3	1	0							<i>cresc.</i>					
68	60	167	198	0.5		0	0	Chord	3/4	3	1	1/8		1/8	1	685								
68	60	168	199	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	686								
68	60	169	200	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	687								
68	60	167	198	0.0		0	0	StaffText	3/4	4	1	0							<i>cresc.</i>					
68	60	167	198	0.3333333333333333		0	0	Chord	3/4	4	1	1/12		1/8	2/3	688							92	
68	60	502/3	595/3	0.3333333333333333		1/12	1/12	Chord	3/4	4	1	1/12		1/8	2/3	689							92	
68	60	503/3	596/3	0.3333333333333333		1/6	1/6	Chord	3/4	4	1	1/12		1/8	2/3	690							92	
68	60	168	199	0.3333333333333333		1/4	1/4	Chord	3/4	4	1	1/12		1/8	2/3	691							92	
68	60	505/3	598/3	0.3333333333333333		1/3	1/3	Chord	3/4	4	1	1/12		1/8	2/3	692							92	
68	60	506/3	599/3	0.3333333333333333		5/12	5/12	Chord	3/4	4	1	1/12		1/8	2/3	693							92	
68	60	169	200	0.3333333333333333		1/2	1/2	Chord	3/4	4	1	1/12		1/8	2/3	694							92	
68	60	508/3	601/3	0.3333333333333333		7/12	7/12	Chord	3/4	4	1	1/12		1/8	2/3	695							92	
68	60	509/3	602/3	0.3333333333333333		2/3	2/3	Chord	3/4	4	1	1/12		1/8	2/3	696								
69	61	170	201	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	697							93	
69	61	172	203	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	698								
69	61	170	201	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	699							94	
69	61	171	202	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	700							94	
69	61	172	203	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	701								
69	61	170	201	0.3333333333333333		0	0	Chord	3/4	4	1	1/12		1/8	2/3	702							95	
69	61	511/3	604/3	0.3333333333333333		1/12	1/12	Chord	3/4	4	1	1/12		1/8	2/3	703							95	
69	61	512/3	605/3	0.3333333333333333		1/6	1/6	Chord	3/4	4	1	1/12		1/8	2/3	704							95	
69	61	171	202	0.3333333333333333		1/4	1/4	Chord	3/4	4	1	1/12		1/8	2/3	705							95	
69	61	514/3	607/3	0.3333333333333333		1/3	1/3	Chord	3/4	4	1	1/12		1/8	2/3	706							95	
69	61	515/3	608/3	0.3333333333333333		5/12	5/12	Chord	3/4	4	1	1/12		1/8	2/3	707							95	
69	61	172	203	0.3333333333333333		1/2	1/2	Chord	3/4	4	1	1/12		1/8	2/3	708							95	
69	61	517/3	610/3	0.3333333333333333		7/12	7/12	Chord	3/4	4	1	1/12		1/8	2/3	709							95	
69	61	518/3	611/3	0.3333333333333333		2/3	2/3	Chord	3/4	4	1	1/12		1/8	2/3	710								
70	62	173	204	0.0		0	0	Dynamic	3/4	2	1	0					sf							
70	62	173	204	0.0		0	0	Spanner	3/4	2	1	0												15
70	62	173	204	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	711							96	15
70	62	175	206	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	712							96	15
70	62	351/2	413/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	713								15
70	62	173	204	0.0		0	0	Dynamic	3/4	3	1	0					sf							
70	62	173	204	0.0		0	0	Spanner	3/4	3	1	0												16
70	62	173	204	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	714							97	16
70	62	174	205	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	715								16
70	62	175	206	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	716								16
70	62	173	204	0.0		0	0	Dynamic	3/4	4	1	0					sf							
70	62	173	204	0.0		0	0	Spanner	3/4	4	1	0												17
70	62	173	204	0.3333333333333333		0	0	Chord	3/4	4	1	1/12		1/8	2/3	717							98	17
70	62	520/3	613/3	0.3333333333333333		1/12	1/12	Chord	3/4	4	1	1/12		1/8	2/3	718							98	17
70	62	521/3	614/3	0.3333333333333333		1/6	1/6	Chord	3/4	4	1	1/12		1/8	2/3	719							98	17
70	62	174	205	0.3333333333333333		1/4	1/4	Chord	3/4	4	1	1/12		1/8	2/3	720							98	17
70	62	523/3	616/3	0.3333333333333333		1/3	1/3	Chord	3/4	4	1	1/12		1/8	2/3	721							98	17
70	62	524/3	617/3	0.3333333333333333		5/12	5/12	Chord	3/4	4	1	1/12		1/8	2/3	722							98	17
70	62	175	206	0.3333333333333333		1/2	1/2	Chord	3/4	4	1	1/12		1/8	2/3	723							98	17
70	62	526/3	619/3	0.3333333333333333		7/12	7/12	Chord	3/4	4	1	1/12		1/8	2/3	724							98	17
70	62	527/3	620/3	0.3333333333333333		2/3	2/3	Chord	3/4	4	1	1/12		1/8	2/3	725								17
71	63	177	208	0.0		1/4	1/4	Dynamic	3/4	1	1	0					p							
71	63	177	208	0.0		1/4	1/4	StaffText	3/4	1	1	0							(Thème russe)					
71	63	177	208	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	726							99	
71	63	532/3	625/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	727							99	
