mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin
8	7	27/2	27/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	65										20			
8	7	14	14	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	66													
8	7	25/2	25/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	67										17			
8	7	13	13	0.375		1/8	1/8	Chord	2/4	2	1	3/32		1/16	3/2	68										17			
8	7	107/8	107/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	69													
8	7	27/2	27/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	70										21			
8	7	14	14	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	71													
8	7	25/2	25/2	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	72										22			
8	7	25/2	25/2	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	73													
8	7	27/2	27/2	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	74													
9	8	29/2	29/2	0.0		0	0	Chord	2/4	1	1	0	grace16	1/16	1	75													
9	8	29/2	29/2	0.0		0	0	Chord	2/4	1	1	0	grace16	1/16	1	76													
9	8	29/2	29/2	0.0		0	0	Chord	2/4	1	1	0	grace16	1/16	1	77													
9	8	29/2	29/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	78										23			
9	8	31/2	31/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	79													
9	8	29/2	29/2	0.0		0	0	Chord	2/4	2	1	0	grace16	1/16	1	80													
9	8	29/2	29/2	0.0		0	0	Chord	2/4	2	1	0	grace16	1/16	1	81													
9	8	29/2	29/2	0.0		0	0	Chord	2/4	2	1	0	grace16	1/16	1	82													
9	8	29/2	29/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	83										24			
9	8	31/2	31/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	84													
9	8	29/2	29/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	85										22			
9	8	15	15	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	86										22			
9	8	31/2	31/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	87													
9	8	29/2	29/2	1.5		0	0	Chord	2/4	4	1	3/8		1/4	3/2	88													
10	8	16	16	0.5		0	3/8	Chord	2/4	3	1	1/8		1/8	1	89										25			
10	8	16	16	0.5		0	3/8	Chord	2/4	4	1	1/8		1/8	1	90										26			
11	9	33/2	33/2	2.0		0	0	Chord	2/4	1	1	1/2		1/2	1	91													
11	9	33/2	33/2	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	92													
11	9	33/2	33/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	93										25			
11	9	17	17	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	94										25			
11	9	35/2	35/2	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	95										25			
11	9	71/4	71/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	96										25			
11	9	18	18	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	97										25			
11	9	73/4	73/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	98													
11	9	33/2	33/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	99										26			
11	9	17	17	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	100										26			
11	9	35/2	35/2	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	101										26			
11	9	71/4	71/4	0.25		5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	102										26			
11	9	18	18	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	103										26			
11	9	73/4	73/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	104													
12	10	37/2	37/2	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	105													
12	10	20	20	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	106										27			
12	10	37/2	37/2	1.5		0	0	Chord	2/4	2	1	3/8		1/4	3/2	107													
12	10	20	20	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	108													
12	10	37/2	37/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	109													
12	10	19	19	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	110													
12	10	39/2	39/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	111													
12	10	37/2	37/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	112													
12	10	19	19	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	113													
12	10	39/2	39/2	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	114													
12	10	79/4	79/4	0.25		5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	115													
12	10	20	20	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	116													
12	10	81/4	81/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	117													
13	11	41/2	41/2	0.0		0	0	StaffText	2/4	1	1	0								cresc.						27			
13	11	41/2	41/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	118										27			
13	11	21	21	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	119										27			
13	11	43/2	43/2	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	120										27			
13	11	87/4	87/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	121										27			
13	11	22	22	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	122										27			
13	11	89/4	89/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	123													
13	11	41/2	41/2	0.0		0	0	StaffText	2/4	2	1	0								cresc.									
13	11	41/2	41/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	124										28			
13	11	21	21	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	125										28			
13	11	43/2	43/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	126										28			
13	11	87/4	87/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	127										28			
13	11	22	22	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	128										28			
13	11	89/4	89/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	129													
13	11	41/2	41/2	0.0		0	0	StaffText	2/4	3	1	0								cresc.									
13	11	41/2	41/2	1.5		0	0	Chord	2/4	3	1	3/8		1/4	3/2	130													
13	11	22	22	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	131													
13	11	41/2	41/2	0.0		0	0	StaffText	2/4	4	1	0								cresc.									
13	11	41/2	41/2	1.5		0	0	Chord	2/4	4	1	3/8		1/4	3/2	132										29			
13	11	22	22	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	133													
14	12	45/2	45/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	134										30			
14	12	23	23	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	135										30			
14	12	47/2	47/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	136													
14	12	24	24	0.0		3/8	3/8	StaffText	2/4	1	1	0								p 									
14	12	24	24	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	137													
14	12	45/2	45/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	138										31			
14	12	23	23	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	139										31			
14	12	47/2	47/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	140													
14	12	45/2	45/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	141										32			
14	12	23	23	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	142										32			
14	12	47/2	47/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	143													
14	12	45/2	45/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	144										33			
14	12	23	23	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	145										33			
14	12	47/2	47/2	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	146													
15	13	49/2	49/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	147													
15	13	51/2	51/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	148			articStaccatoAbove							34			
15	13	26	26	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	149			articStaccatoAbove										
15	13	49/2	49/2	0.0		0	0	Dynamic	2/4	2	1	0						p											
15	13	49/2	49/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	150													
15	13	51/2	51/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	151			articStaccatoAbove							35			
15	13	26	26	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	152			articStaccatoAbove										
15	13	49/2	49/2	0.0		0	0	Dynamic	2/4	3	1	0						p											
15	13	49/2	49/2	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	153													
15	13	51/2	51/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	154			articStaccatoAbove							36			
15	13	26	26	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	155			articStaccatoAbove										
15	13	49/2	49/2	0.0		0	0	Dynamic	2/4	4	1	0						p											
15	13	49/2	49/2	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	156													
16	14	53/2	53/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	157			articStaccatoAbove							37			
16	14	27	27	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	158			articStaccatoAbove										
16	14	55/2	55/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	159													
16	14	53/2	53/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	160			articStaccatoAbove							38			
16	14	27	27	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	161			articStaccatoAbove										
16	14	55/2	55/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	162										39			
16	14	28	28	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	163										39			
16	14	53/2	53/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	164			articStaccatoAbove							40			
16	14	27	27	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	165			articStaccatoAbove										
16	14	55/2	55/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	166										41			
16	14	28	28	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	167										41			
16	14	53/2	53/2	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	168													
17	15	57/2	57/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	169													
17	15	29	29	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	170													
17	15	59/2	59/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	171										42			
17	15	30	30	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	172										42			
17	15	121/4	121/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	173													
17	15	57/2	57/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	174										39			
17	15	29	29	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	175										39			
17	15	59/2	59/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	176										39			
17	15	30	30	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	177													
17	15	57/2	57/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	178										41			
17	15	29	29	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	179										41			
17	15	59/2	59/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	180										41			
17	15	30	30	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	181													
17	15	57/2	57/2	1.5		0	0	Chord	2/4	4	1	3/8		1/4	3/2	182													
17	15	30	30	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	183													
18	16	61/2	61/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	184										43			
18	16	63/2	63/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	185													
18	16	61/2	61/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	186										44			
18	16	63/2	63/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	187													
18	16	61/2	61/2	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	188										45			
18	16	63/2	63/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	189													
18	16	61/2	61/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	190													
18	16	31	31	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	191													
18	16	63/2	63/2	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	192													
19	16	32	32	0.0		0	3/8	StaffText	2/4	1	1	0								<b>Var. 1.</b>									
19	16	32	32	0.0		0	3/8	Dynamic	2/4	4	1	0						p											
19	16	32	32	0.375		0	3/8	Chord	2/4	4	1	3/32		1/16	3/2	193													
19	16	259/8	259/8	0.125		3/32	15/32	Chord	2/4	4	1	1/32		1/32	1	194													
20	17	65/2	65/2	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	195													
20	17	67/2	67/2	0.0		1/4	1/4	Chord	2/4	4	1	0	grace32	1/32	1	196													
20	17	67/2	67/2	0.0		1/4	1/4	Chord	2/4	4	1	0	grace32	1/32	1	197													
20	17	67/2	67/2	0.0		1/4	1/4	Chord	2/4	4	1	0	grace32	1/32	1	198													
20	17	67/2	67/2	0.0		1/4	1/4	Chord	2/4	4	1	0	grace32	1/32	1	199													
20	17	67/2	67/2	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	200			articStaccatoAbove										
20	17	135/4	135/4	0.25		5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	201			articStaccatoAbove										
20	17	34	34	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	202			articStaccatoAbove										
20	17	137/4	137/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	203			articStaccatoAbove										
21	18	36	36	0.0		3/8	3/8	Dynamic	2/4	3	1	0						p											
21	18	36	36	0.375		3/8	3/8	Chord	2/4	3	1	3/32		1/16	3/2	204													
21	18	291/8	291/8	0.125		15/32	15/32	Chord	2/4	3	1	1/32		1/32	1	205													
21	18	69/2	69/2	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	206			articStaccatoAbove										
21	18	139/4	139/4	0.25		1/16	1/16	Chord	2/4	4	1	1/16		1/16	1	207			articStaccatoAbove										
21	18	35	35	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	208			articStaccatoAbove										
21	18	141/4	141/4	0.25		3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	209			articStaccatoAbove										
21	18	71/2	71/2	0.0		1/4	1/4	StaffText	2/4	4	1	0								sempre stacc.									
21	18	71/2	71/2	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	210			articStaccatoBelow										
21	18	143/4	143/4	0.25		5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	211			articStaccatoBelow										
21	18	36	36	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	212			articStaccatoBelow										
21	18	145/4	145/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	213			articStaccatoBelow										
22	19	73/2	73/2	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	214													
22	19	75/2	75/2	0.0		1/4	1/4	Chord	2/4	3	1	0	grace32	1/32	1	215													
22	19	75/2	75/2	0.0		1/4	1/4	Chord	2/4	3	1	0	grace32	1/32	1	216													
22	19	75/2	75/2	0.0		1/4	1/4	Chord	2/4	3	1	0	grace32	1/32	1	217													
22	19	75/2	75/2	0.0		1/4	1/4	Chord	2/4	3	1	0	grace32	1/32	1	218													
22	19	75/2	75/2	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	219			articStaccatoAbove										
22	19	151/4	151/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	220			articStaccatoAbove										
22	19	38	38	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	221			articStaccatoAbove										
22	19	153/4	153/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	222			articStaccatoAbove										
22	19	73/2	73/2	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	223													
22	19	147/4	147/4	0.25		1/16	1/16	Chord	2/4	4	1	1/16		1/16	1	224													
22	19	37	37	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	225													
22	19	149/4	149/4	0.25		3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	226													
22	19	75/2	75/2	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	227													
22	19	151/4	151/4	0.25		5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	228													
22	19	38	38	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	229													
22	19	153/4	153/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	230													
23	20	40	40	0.0		3/8	3/8	Dynamic	2/4	2	1	0						p											
23	20	40	40	0.375		3/8	3/8	Chord	2/4	2	1	3/32		1/16	3/2	231	V6												
23	20	323/8	323/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	232													
23	20	77/2	77/2	0.0		0	0	StaffText	2/4	3	1	0								sempre stacc.									
23	20	77/2	77/2	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	233													
23	20	155/4	155/4	0.25		1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	234													
23	20	39	39	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	235													
23	20	157/4	157/4	0.25		3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	236													
23	20	79/2	79/2	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	237													
23	20	159/4	159/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	238													
23	20	40	40	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	239													
23	20	161/4	161/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	240													
23	20	77/2	77/2	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	241													
23	20	155/4	155/4	0.25		1/16	1/16	Chord	2/4	4	1	1/16		1/16	1	242													
23	20	39	39	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	243													
23	20	157/4	157/4	0.25		3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	244													
23	20	79/2	79/2	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	245													
23	20	159/4	159/4	0.25		5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	246													
23	20	40	40	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	247													
23	20	161/4	161/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	248													
24	21	42	42	0.0		3/8	3/8	Dynamic	2/4	1	1	0						p											
24	21	42	42	0.375		3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	249													
24	21	339/8	339/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	250													
24	21	81/2	81/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	251													
24	21	83/2	83/2	0.0		1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	252													
24	21	83/2	83/2	0.0		1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	253													
24	21	83/2	83/2	0.0		1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	254													
24	21	83/2	83/2	0.0		1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	255													
24	21	83/2	83/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	256			articStaccatoAbove										
