mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
2	2	3	3	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	21		articStaccatoBelow							6		6	
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	22		articStaccatoBelow									6	
2	2	2	2	0.0	0	0	Spanner	2/4	4	1	0																
2	2	2	2	0.0	0	0	Spanner	2/4	4	1	0														7		
2	2	2	2	0.75	0	0	Chord	2/4	4	1	3/16		1/8	3/2	23									7	7		
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	24									7	7		
2	2	3	3	0.0	1/4	1/4	Spanner	2/4	4	1	0													7			
2	2	3	3	0.0	1/4	1/4	Spanner	2/4	4	1	0													7		7	
2	2	3	3	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	25									7		7	
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	26											7	
3	3	4	4	0.0	0	0	Spanner	2/4	1	1	0														8		
3	3	4	4	0.0	0	0	Spanner	2/4	1	1	0														8		
3	3	4	4	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	27										8		
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	1	1	0																
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	1	1	0															8	
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	28		articStaccatoBelow							8		8	
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	29		articStaccatoBelow									8	
3	3	4	4	0.0	0	0	Spanner	2/4	2	1	0														9		
3	3	4	4	0.0	0	0	Spanner	2/4	2	1	0														9		
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	30									9	9		
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	31									9	9		
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	2	1	0													9			
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	2	1	0													9		9	
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	32									9		9	
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	33											9	
3	3	4	4	0.0	0	0	Spanner	2/4	3	1	0														10		
3	3	4	4	0.0	0	0	Spanner	2/4	3	1	0														10		
3	3	4	4	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	34									10	10		
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	3	1	0													10			
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	3	1	0													10		10	
3	3	5	5	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	35									10		10	
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	36											10	
3	3	4	4	0.0	0	0	Spanner	2/4	4	1	0														11		
3	3	4	4	0.0	0	0	Spanner	2/4	4	1	0														11		
3	3	4	4	0.75	0	0	Chord	2/4	4	1	3/16		1/8	3/2	37									11	11		
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	38									11	11		
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	4	1	0													11			
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	4	1	0													11		11	
3	3	5	5	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	39									11		11	
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	40											11	
4	4	6	6	0.0	0	0	Spanner	2/4	1	1	0																
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	41												
4	4	6	6	0.0	0	0	Spanner	2/4	2	1	0																
4	4	6	6	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	42									12			
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	43									12			
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	44									12			
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	45												
4	4	7	7	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	46									13			
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	47												
4	4	6	6	0.0	0	0	Spanner	2/4	3	1	0																
4	4	6	6	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	48									14			
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	49												
4	4	7	7	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	50									15			
4	4	29/4	29/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	51									15			
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	52									15			
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	53												
4	4	6	6	0.0	0	0	Spanner	2/4	4	1	0																
4	4	6	6	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	54									16			
4	4	7	7	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	55												
5	5	8	8	0.0	0	0	Spanner	2/4	1	1	0														12		
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	56									17	12		
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	57									17	12		
5	5	9	9	0.0	1/4	1/4	Spanner	2/4	1	1	0													17			
5	5	9	9	0.0	1/4	1/4	Spanner	2/4	1	1	0													17		12	
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	58									17		12	
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	59											12	
5	5	8	8	0.0	0	0	Spanner	2/4	2	1	0														13		
5	5	8	8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	60									18	13		
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	61									18	13		
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	62									18	13		
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	63										13		
5	5	9	9	0.0	1/4	1/4	Spanner	2/4	2	1	0																
5	5	9	9	0.0	1/4	1/4	Spanner	2/4	2	1	0															13	
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	64									19		13	
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	65											13	
5	5	8	8	0.0	0	0	Spanner	2/4	3	1	0														14		
5	5	8	8	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	66										14		
5	5	17/2	17/2	0.0	1/8	1/8	Spanner	2/4	3	1	0																
5	5	17/2	17/2	1.0	1/8	1/8	Chord	2/4	3	1	1/4		1/4	1	67												
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	68												
5	5	8	8	0.0	0	0	Spanner	2/4	4	1	0														15		
5	5	8	8	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	69									20	15		
5	5	9	9	0.0	1/4	1/4	Spanner	2/4	4	1	0													20			
5	5	9	9	0.0	1/4	1/4	Spanner	2/4	4	1	0													20		14	
5	5	9	9	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	70									20		14	
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	71											14	
6	6	10	10	0.0	0	0	Spanner	2/4	1	1	0																
6	6	10	10	0.0	0	0	Spanner	2/4	1	1	0														16		
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	72									21	16		
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	73									21	16		
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	1	1	0													21			
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	1	1	0													21		15	
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	74									21		15	
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	75											15	
6	6	10	10	0.0	0	0	Spanner	2/4	2	1	0																
6	6	10	10	0.0	0	0	Spanner	2/4	2	1	0														17		
6	6	10	10	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	76									22	17		
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	77									22	17		
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	78									22	17		
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	79										17		
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	2	1	0																
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	2	1	0															16	
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	80									23		16	
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	81											16	
6	6	10	10	0.0	0	0	Spanner	2/4	3	1	0														18		
6	6	10	10	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	82									24	18		
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	3	1	0													24			
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	3	1	0													24		17	
6	6	11	11	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	83									24		17	
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	84											17	
6	6	10	10	0.0	0	0	Spanner	2/4	4	1	0																
6	6	10	10	0.0	0	0	Spanner	2/4	4	1	0														19		
6	6	10	10	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	85										19		
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	86										19		
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	4	1	0																
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	4	1	0															18	
6	6	11	11	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	87											18	
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	88											18	
7	7	12	12	0.0	0	0	Spanner	2/4	1	1	0																
7	7	12	12	0.0	0	0	Spanner	2/4	1	1	0														20		
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	89									25	20		
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	90									25	20		
7	7	13	13	0.0	1/4	1/4	Spanner	2/4	1	1	0													25	21		
7	7	13	13	0.0	1/4	1/4	Spanner	2/4	1	1	0													25	21	19	
7	7	13	13	0.0	1/4	1/4	Spanner	2/4	1	1	0													25	21	19	
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	91									25	21	19	
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	92										21	19	
7	7	12	12	0.0	0	0	Spanner	2/4	2	1	0																
7	7	12	12	0.0	0	0	Spanner	2/4	2	1	0														22		
7	7	12	12	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	93									26	22		
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	94									26	22		
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	95									26	22		
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	96										22		
7	7	13	13	0.0	1/4	1/4	Spanner	2/4	2	1	0															20	
7	7	13	13	0.0	1/4	1/4	Spanner	2/4	2	1	0															20	
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	97									27		20	
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	98											20	
7	7	12	12	0.0	0	0	Spanner	2/4	3	1	0																
7	7	12	12	0.0	0	0	Spanner	2/4	3	1	0														23		
7	7	12	12	1.5	0	0	Chord	2/4	3	1	3/8		1/4	3/2	99										23		
7	7	27/2	27/2	0.0	3/8	3/8	Spanner	2/4	3	1	0															21	
7	7	27/2	27/2	0.0	3/8	3/8	Spanner	2/4	3	1	0															21	
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	100											21	
7	7	12	12	0.0	0	0	Spanner	2/4	4	1	0																
7	7	12	12	0.0	0	0	Spanner	2/4	4	1	0														24		
7	7	12	12	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	101										24		
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	102										24		
7	7	13	13	0.0	1/4	1/4	Spanner	2/4	4	1	0															22	
7	7	13	13	0.0	1/4	1/4	Spanner	2/4	4	1	0															22	
7	7	13	13	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	103											22	
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	104											22	
8	8	14	14	0.0	0	0	Spanner	2/4	1	1	0																
8	8	14	14	0.0	0	0	Spanner	2/4	1	1	0																
8	8	14	14	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	105									28			
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	106									28			
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	107									28			
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	108												
8	8	15	15	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	109									29			
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	110												
8	8	14	14	0.0	0	0	Spanner	2/4	2	1	0																
8	8	14	14	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	111												
8	8	15	15	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	112												
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	113												
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	114												
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	115												
8	8	14	14	0.0	0	0	Spanner	2/4	3	1	0																
8	8	14	14	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	116									30			
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	117									30			
8	8	15	15	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	118									30			
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	119												
8	8	14	14	0.0	0	0	Spanner	2/4	4	1	0																
8	8	14	14	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	120									31			
8	8	15	15	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	121												
9	9	16	16	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	122									32			
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	123									32			
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	124									32			
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	125												
9	9	17	17	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	126									33			
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	127												
9	9	16	16	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	128												
9	9	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	129												
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	130												
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	131												
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	132												
9	9	16	16	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	133									34			
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	134									34			
9	9	17	17	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	135									34			
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	136												
9	9	16	16	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	137												
9	9	17	17	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	138												
10	10	18	18	0.0	0	0	StaffText	2/4	1	1	0							cresc.									
10	10	18	18	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	139									35			
10	10	147/8	147/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	140									35			
10	10	37/2	37/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	141									35			
10	10	151/8	151/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	142												
10	10	19	19	0.375	1/4	1/4	Chord	2/4	1	1	3/32		1/16	3/2	143									36			
10	10	155/8	155/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	144									36			
10	10	39/2	39/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	145									36			
10	10	159/8	159/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	146												
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	147									37			
10	10	37/2	37/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	148												
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	149												
10	10	18	18	0.0	0	0	StaffText	2/4	3	1	0							cresc.									
10	10	18	18	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	150									38			
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	151												
10	10	19	19	0.375	1/4	1/4	Chord	2/4	3	1	3/32		1/16	3/2	152									39			
10	10	155/8	155/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32		1/32	1	153									39			
10	10	39/2	39/2	0.375	3/8	3/8	Chord	2/4	3	1	3/32		1/16	3/2	154									39			
10	10	159/8	159/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32		1/32	1	155												
10	10	18	18	0.0	0	0	StaffText	2/4	4	1	0							cresc.									
10	10	18	18	0.0	0	0	StaffText	2/4	4	1	0							cresc.									
10	10	18	18	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	156									40			
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	157									40			
10	10	19	19	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	158									40			
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	159												
11	11	20	20	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	160									41			
11	11	163/8	163/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	161												
11	11	41/2	41/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	162									42			
11	11	43/2	43/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	163									42			
11	11	175/8	175/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	164												
11	11	20	20	0.375	0	0	Chord	2/4	2	1	3/32		1/16	3/2	165									43			
11	11	163/8	163/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	166												
11	11	41/2	41/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	167									44			
11	11	43/2	43/2	0.375	3/8	3/8	Chord	2/4	2	1	3/32		1/16	3/2	168									44			
11	11	175/8	175/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	169												
11	11	20	20	0.375	0	0	Chord	2/4	3	1	3/32		1/16	3/2	170									45			
11	11	163/8	163/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32		1/32	1	171												
11	11	41/2	41/2	1.0	1/8	1/8	Chord	2/4	3	1	1/4		1/4	1	172									46			
11	11	43/2	43/2	0.375	3/8	3/8	Chord	2/4	3	1	3/32		1/16	3/2	173									46			
11	11	175/8	175/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32		1/32	1	174												
11	11	20	20	0.75	0	0	Chord	2/4	4	1	3/16		1/8	3/2	175									47			
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	176									47			
11	11	21	21	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	177												
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	178												
12	12	22	22	0.0	0	0	Dynamic	2/4	1	1	0					p											
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	179												
12	12	23	23	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	180									48			
12	12	185/8	185/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	181									48			
12	12	93/4	93/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	182									48			
12	12	187/8	187/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	183									48			
12	12	47/2	47/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	184									48			
12	12	189/8	189/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	185									48			
12	12	95/4	95/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	186									48			
12	12	191/8	191/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	187												
12	12	22	22	0.0	0	0	Dynamic	2/4	2	1	0					p											
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	188												
12	12	22	22	0.0	0	0	Dynamic	2/4	3	1	0					p											
12	12	22	22	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	189												
12	12	22	22	0.0	0	0	Dynamic	2/4	4	1	0					p											
12	12	22	22	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	190												
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	191												
13	13	24	24	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	192									49			
13	13	195/8	195/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	193												
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	194												
13	13	25	25	0.375	1/4	1/4	Chord	2/4	1	1	3/32		1/16	3/2	195									50			
13	13	203/8	203/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	196												
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	197												
