mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
5	4	35/4	35/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	55		articStaccatoBelow								
5	4	9	9	0.0	1/4	1/4	StaffText	2/4	2	1	0								<i>cresc.</i>							
5	4	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	56								12		
5	4	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	57										
5	4	8	8	0.25	0	0	Chord	2/4	3	1	1/16			1/16	1	58								13		
5	4	33/4	33/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16			1/16	1	59										
5	4	17/2	17/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16			1/16	1	60		articStaccatoAbove						14		
5	4	35/4	35/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16			1/16	1	61		articStaccatoAbove								
5	4	9	9	0.0	1/4	1/4	StaffText	2/4	3	1	0								<i>cresc.</i>							
5	4	9	9	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	62								15		
5	4	19/2	19/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	63										
5	4	8	8	0.25	0	0	Chord	2/4	4	1	1/16			1/16	1	64								16		
5	4	33/4	33/4	0.25	1/16	1/16	Chord	2/4	4	1	1/16			1/16	1	65										
5	4	17/2	17/2	0.25	1/8	1/8	Chord	2/4	4	1	1/16			1/16	1	66		articStaccatoAbove						17		
5	4	35/4	35/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16			1/16	1	67		articStaccatoAbove								
5	4	9	9	0.0	1/4	1/4	StaffText	2/4	4	1	0								<i>cresc.</i>							
5	4	9	9	1.0	1/4	1/4	Chord	2/4	4	1	1/4			1/4	1	68										
6	5	10	10	0.0	0	0	Spanner	2/4	1	1	0															0
6	5	10	10	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	69								18		0
6	5	21/2	21/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	70								18		0
6	5	87/8	87/8	0.0	7/32	7/32	Spanner	2/4	1	1	0															
6	5	87/8	87/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	71										
6	5	11	11	0.0	1/4	1/4	Spanner	2/4	1	1	0														0	
6	5	11	11	0.75	1/4	1/4	Chord	2/4	1	1	3/16			1/8	3/2	72								19	0	
6	5	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	73									0	
6	5	10	10	0.0	0	0	Dynamic	2/4	2	1	0						p									
6	5	10	10	0.0	0	0	Dynamic	2/4	2	1	0						p									
6	5	10	10	0.0	0	0	Spanner	2/4	2	1	0															1
6	5	10	10	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	74										1
6	5	11	11	0.0	1/4	1/4	Spanner	2/4	2	1	0														1	1
6	5	11	11	0.75	1/4	1/4	Chord	2/4	2	1	3/16			1/8	3/2	75								20	1	1
6	5	47/4	47/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	76									1	1
6	5	10	10	0.0	0	0	Dynamic	2/4	3	1	0						p									
6	5	10	10	0.0	0	0	Spanner	2/4	3	1	0															2
6	5	10	10	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	77										2
6	5	11	11	0.0	1/4	1/4	Spanner	2/4	3	1	0															
6	5	11	11	0.0	1/4	1/4	Spanner	2/4	3	1	0														2	
6	5	11	11	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	78								21	2	
6	5	23/2	23/2	0.375	3/8	3/8	Chord	2/4	3	1	3/32			1/16	3/2	79								21	2	
6	5	95/8	95/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	80									2	
6	5	10	10	0.0	0	0	Dynamic	2/4	4	1	0						p									
6	5	10	10	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	81								22		
6	5	21/2	21/2	0.0	1/8	1/8	Spanner	2/4	4	1	0													22		3
6	5	21/2	21/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	82								22		3
6	5	11	11	0.0	1/4	1/4	Spanner	2/4	4	1	0													22		
6	5	11	11	0.0	1/4	1/4	Spanner	2/4	4	1	0													22	3	
6	5	11	11	0.75	1/4	1/4	Chord	2/4	4	1	3/16			1/8	3/2	83								22	3	
6	5	47/4	47/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	84									3	
7	6	12	12	0.0	0	0	StaffText	2/4	1	1	0								<i>cresc.</i>							
7	6	12	12	0.0	0	0	Spanner	2/4	1	1	0															
7	6	12	12	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	85								23		
7	6	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	86								23		
7	6	25/2	25/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	87								23		
7	6	103/8	103/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	88										
7	6	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	89										
7	6	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	90										
7	6	12	12	0.0	0	0	StaffText	2/4	2	1	0								<i>cresc.</i>							
7	6	12	12	0.0	0	0	Spanner	2/4	2	1	0															
7	6	12	12	0.0	0	0	Spanner	2/4	2	1	0															
7	6	12	12	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	91								24		
7	6	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	92								24		
7	6	13	13	0.75	1/4	1/4	Chord	2/4	2	1	3/16			1/8	3/2	93								24		
7	6	55/4	55/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	94										
7	6	12	12	0.0	0	0	StaffText	2/4	3	1	0								<i>cresc.</i>							
7	6	12	12	0.0	0	0	Spanner	2/4	3	1	0															
7	6	12	12	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	95										
7	6	13	13	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	96								25		
7	6	27/2	27/2	0.375	3/8	3/8	Chord	2/4	3	1	3/32			1/16	3/2	97								25		
7	6	111/8	111/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	98										
7	6	12	12	0.0	0	0	StaffText	2/4	4	1	0								<i>cresc.</i>							
7	6	12	12	0.0	0	0	Spanner	2/4	4	1	0															
7	6	12	12	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	99								26		
7	6	25/2	25/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	100								26		
7	6	13	13	0.75	1/4	1/4	Chord	2/4	4	1	3/16			1/8	3/2	101								26		
7	6	55/4	55/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	102										
8	7	14	14	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	103										
8	7	15	15	0.0	1/4	1/4	Dynamic	2/4	1	1	0						f									
8	7	15	15	0.0	1/4	1/4	Spanner	2/4	1	1	0														4	
8	7	15	15	0.875	1/4	1/4	Chord	2/4	1	1	7/32			1/8	7/4	104									4	
8	7	127/8	127/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	105									4	
8	7	14	14	0.0	0	0	Dynamic	2/4	2	1	0						f									
8	7	14	14	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	106										
8	7	15	15	0.0	1/4	1/4	Dynamic	2/4	2	1	0						f									
8	7	15	15	0.0	1/4	1/4	Spanner	2/4	2	1	0														5	
8	7	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	107									5	
8	7	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	108									5	
8	7	14	14	0.0	0	0	Dynamic	2/4	3	1	0						f									
8	7	14	14	0.0	0	0	Dynamic	2/4	3	1	0						f									
8	7	14	14	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	109										
8	7	15	15	0.0	1/4	1/4	Dynamic	2/4	3	1	0						f									
8	7	15	15	0.0	1/4	1/4	Spanner	2/4	3	1	0														6	
8	7	15	15	0.875	1/4	1/4	Chord	2/4	3	1	7/32			1/8	7/4	110									6	
8	7	127/8	127/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	111									6	
8	7	14	14	0.0	0	0	Dynamic	2/4	4	1	0						f									
8	7	14	14	1.0	0	0	Chord	2/4	4	1	1/4			1/4	1	112										
8	7	15	15	0.0	1/4	1/4	Dynamic	2/4	4	1	0						f									
8	7	15	15	0.0	1/4	1/4	Spanner	2/4	4	1	0														7	
8	7	15	15	0.875	1/4	1/4	Chord	2/4	4	1	7/32			1/8	7/4	113									7	
8	7	127/8	127/8	0.125	15/32	15/32	Chord	2/4	4	1	1/32			1/32	1	114									7	
9	8	16	16	0.0	0	0	StaffText	2/4	1	1	0								<i>morendo.</i>							
9	8	16	16	0.0	0	0	Spanner	2/4	1	1	0															
9	8	16	16	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	115								27		
9	8	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	116										
9	8	17	17	0.0	1/4	1/4	StaffText	2/4	1	1	0								<i>cresc.</i>							
9	8	17	17	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	117										
9	8	16	16	0.0	0	0	StaffText	2/4	2	1	0								<i>morendo.</i>							
9	8	16	16	0.0	0	0	Spanner	2/4	2	1	0															
9	8	16	16	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	118								28		
9	8	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	119										
9	8	17	17	0.0	1/4	1/4	StaffText	2/4	2	1	0								<i>cresc.</i>							
9	8	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	120								29		
9	8	69/4	69/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	121								29		
9	8	35/2	35/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	122								29		
9	8	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	123										
9	8	16	16	0.0	0	0	StaffText	2/4	3	1	0								<i>morendo.</i>							
9	8	16	16	0.0	0	0	Spanner	2/4	3	1	0															
9	8	16	16	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	124								30		
9	8	33/2	33/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	125										
9	8	17	17	0.0	1/4	1/4	StaffText	2/4	3	1	0								<i>cresc.</i>							
9	8	17	17	0.25	1/4	1/4	Chord	2/4	3	1	1/16			1/16	1	126								31		
9	8	69/4	69/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16			1/16	1	127								31		
9	8	35/2	35/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	128								31		
9	8	71/4	71/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	129										
9	8	16	16	0.0	0	0	StaffText	2/4	4	1	0								<i>morendo.</i>							
9	8	16	16	0.0	0	0	Spanner	2/4	4	1	0															
9	8	16	16	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	130								32		
9	8	33/2	33/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	131										
9	8	17	17	0.0	1/4	1/4	StaffText	2/4	4	1	0								<i>cresc.</i>							
9	8	17	17	0.75	1/4	1/4	Chord	2/4	4	1	3/16			1/8	3/2	132								33		
9	8	71/4	71/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	133										
10	9	18	18	0.0	0	0	Dynamic	2/4	1	1	0						p									
10	9	18	18	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	134										
10	9	19	19	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	135								34		
10	9	77/4	77/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8			1/8	1	136								34		
10	9	79/4	79/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	137										
10	9	18	18	0.0	0	0	Dynamic	2/4	2	1	0						p									
10	9	18	18	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	138								35		
10	9	19	19	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	139								35		
10	9	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	140										
10	9	18	18	0.0	0	0	Dynamic	2/4	3	1	0						p									
10	9	18	18	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	141								36		
10	9	19	19	1.0	1/4	1/4	Chord	2/4	3	1	1/4			1/4	1	142										
10	9	18	18	0.0	0	0	Dynamic	2/4	4	1	0						p									
10	9	18	18	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	143								37		
10	9	37/2	37/2	0.375	1/8	1/8	Chord	2/4	4	1	3/32			1/16	3/2	144								37		
10	9	151/8	151/8	0.0	7/32	7/32	StaffText	2/4	4	1	0								<i>espressivo</i>					37		
10	9	151/8	151/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	145								37		
10	9	19	19	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	146								37		
10	9	39/2	39/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16			1/16	1	147										
11	10	20	20	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	148										
11	10	81/4	81/4	0.5	1/16	1/16	Chord	2/4	1	1	1/8			1/8	1	149										
11	10	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	150										
11	10	21	21	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	151										
11	10	85/4	85/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	152		ornamentTrill						38		
11	10	43/2	43/2	0.0	3/8	3/8	Chord	2/4	1	1	0	grace16		1/16	1	153								38		
11	10	43/2	43/2	0.0	3/8	3/8	Chord	2/4	1	1	0	grace16		1/16	1	154								38		
11	10	43/2	43/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	155								38		
11	10	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	156										
11	10	20	20	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	157								39		
11	10	41/2	41/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	158								39		
11	10	83/4	83/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	159										
11	10	21	21	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	160										
11	10	20	20	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	161										
11	10	41/2	41/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	162										
11	10	21	21	0.75	1/4	1/4	Chord	2/4	3	1	3/16			1/8	3/2	163										
11	10	20	20	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	164								40		
11	10	41/2	41/2	0.375	1/8	1/8	Chord	2/4	4	1	3/32			1/16	3/2	165								40		
11	10	167/8	167/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	166								40		
11	10	21	21	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	167								40		
11	10	43/2	43/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16			1/16	1	168										
12	11	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	169								41		
12	11	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	170										
12	11	23	23	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	171										
12	11	93/4	93/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8			1/8	1	172										
12	11	95/4	95/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	173										
12	11	45/2	45/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	174								42		
12	11	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	175								42		
12	11	47/2	47/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	176										
12	11	95/4	95/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	177								43		
12	11	22	22	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	178								44		
12	11	45/2	45/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	179								44		
12	11	23	23	0.75	1/4	1/4	Chord	2/4	3	1	3/16			1/8	3/2	180								44		
12	11	95/4	95/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	181										
12	11	22	22	0.875	0	0	Chord	2/4	4	1	7/32			1/8	7/4	182								45		
12	11	183/8	183/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	183										
12	11	23	23	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	184								46		
12	11	47/2	47/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16			1/16	1	185								46		
12	11	95/4	95/4	0.0	7/16	7/16	Chord	2/4	4	1	0	grace16after		1/16	1	186										
12	11	95/4	95/4	0.0	7/16	7/16	Chord	2/4	4	1	0	grace16after		1/16	1	187										
12	11	95/4	95/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	188		ornamentTrill								
13	12	24	24	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	189										
13	12	97/4	97/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	190										
13	12	49/2	49/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	191										
13	12	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	192										
13	12	25	25	0.0	1/4	1/4	StaffText	2/4	1	1	0								<i>cresc.</i>							
13	12	25	25	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	193								47		
13	12	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	194										
13	12	24	24	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	195										
13	12	97/4	97/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	196								48		
13	12	49/2	49/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	197										
13	12	99/4	99/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	198										
13	12	25	25	0.0	1/4	1/4	StaffText	2/4	2	1	0								<i>cresc.</i>							
13	12	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	199								49		
13	12	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	200										
13	12	24	24	0.25	0	0	Chord	2/4	3	1	1/16			1/16	1	201								50		
13	12	97/4	97/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16			1/16	1	202										
13	12	49/2	49/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16			1/16	1	203		articStaccatoBelow						51		
13	12	99/4	99/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16			1/16	1	204		articStaccatoBelow								
13	12	25	25	0.0	1/4	1/4	StaffText	2/4	3	1	0								<i>cresc.</i>							
13	12	25	25	1.0	1/4	1/4	Chord	2/4	3	1	1/4			1/4	1	205										
13	12	24	24	0.25	0	0	Chord	2/4	4	1	1/16			1/16	1	206								52		
13	12	97/4	97/4	0.25	1/16	1/16	Chord	2/4	4	1	1/16			1/16	1	207										
13	12	49/2	49/2	0.25	1/8	1/8	Chord	2/4	4	1	1/16			1/16	1	208		articStaccatoAbove						53		
13	12	99/4	99/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16			1/16	1	209		articStaccatoAbove								
13	12	25	25	0.0	1/4	1/4	StaffText	2/4	4	1	0								<i>cresc.</i>							
13	12	25	25	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	210								54		
13	12	51/2	51/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	211										
14	13	26	26	0.0	0	0	Dynamic	2/4	1	1	0						p									
14	13	26	26	0.0	0	0	Spanner	2/4	1	1	0															4
14	13	26	26	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	212										4
14	13	27	27	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32after		1/32	1	213										4
14	13	27	27	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32after		1/32	1	214										4
14	13	27	27	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32after		1/32	1	215										4
14	13	27	27	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32after		1/32	1	216										4
14	13	27	27	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	217								55		4
14	13	55/2	55/2	0.0	3/8	3/8	Spanner	2/4	1	1	0													55		
14	13	55/2	55/2	0.0	3/8	3/8	Spanner	2/4	1	1	0													55	8	
14	13	55/2	55/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	218								55	8	
14	13	223/8	223/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	219									8	
14	13	26	26	0.0	0	0	Dynamic	2/4	2	1	0						p									
14	13	26	26	0.0	0	0	Spanner	2/4	2	1	0															5
