mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
17	17	199/4	199/4	0.0		7/16	7/16	Dynamic	3/4	2	1	0					p										
17	17	199/4	199/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	103		articStaccatoBelow									
17	17	50	50	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	104		articStaccatoBelow									
17	17	203/4	203/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	105		articStaccatoBelow									
17	17	48	48	0.0		0	0	Dynamic	3/4	3	1	0					f										
17	17	48	48	0.0		0	0	Dynamic	3/4	3	1	0					f										
17	17	48	48	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	106											
17	17	49	49	0.0		1/4	1/4	Dynamic	3/4	3	1	0					p										
17	17	49	49	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	107									18		
17	17	50	50	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	108		ornamentTrill									
17	17	48	48	0.0		0	0	Dynamic	3/4	4	1	0					f										
17	17	48	48	0.5		0	0	Chord	3/4	4	1	1/8		1/8	1	109											
17	17	195/4	195/4	0.0		3/16	3/16	Dynamic	3/4	4	1	0					p										
17	17	195/4	195/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16		1/16	1	110											
17	17	49	49	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	111											
18	18	51	51	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	112											
18	18	211/4	211/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	113		articStaccatoAbove									
18	18	53	53	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	114		ornamentTrill									
18	18	215/4	215/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	115		articStaccatoAbove									
18	18	51	51	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	116									19		
18	18	53	53	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	117											
18	18	207/4	207/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16		1/16	1	118											
18	18	52	52	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	119											
19	19	54	54	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	120									20		
19	19	56	56	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	121		ornamentTrill									
19	19	54	54	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	122									21		
19	19	56	56	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	123		ornamentTrill									
19	19	54	54	0.5		0	0	Chord	3/4	4	1	1/8		1/8	1	124											
19	19	219/4	219/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16		1/16	1	125											
19	19	55	55	0.5		1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	126											
19	19	111/2	111/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	127											
19	19	56	56	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	128											
19	19	227/4	227/4	0.25		11/16	11/16	Chord	3/4	4	1	1/16		1/16	1	129											
20	20	235/4	235/4	0.0		7/16	7/16	Dynamic	3/4	1	1	0					p										
20	20	235/4	235/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	130		articStaccatoAbove									
20	20	59	59	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	131		articStaccatoAbove									
20	20	239/4	239/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	132		articStaccatoAbove									
20	20	57	57	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	133											
20	20	58	58	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	134									22		
20	20	59	59	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	135		ornamentTrill									
20	20	57	57	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	136											
20	20	58	58	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	137									23		
20	20	59	59	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	138		ornamentTrill									
20	20	57	57	0.5		0	0	Chord	3/4	4	1	1/8		1/8	1	139											
20	20	231/4	231/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16		1/16	1	140											
20	20	58	58	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	141											
21	21	60	60	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	142											
21	21	247/4	247/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	143		articStaccatoAbove									
21	21	62	62	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	144		articStaccatoAbove									
21	21	251/4	251/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	145		articStaccatoAbove									
21	21	60	60	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	146									24		
21	21	62	62	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	147		ornamentTrill									
21	21	60	60	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	148									25		
21	21	62	62	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	149		ornamentTrill									
21	21	60	60	0.5		0	0	Chord	3/4	4	1	1/8		1/8	1	150											
21	21	243/4	243/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16		1/16	1	151											
21	21	61	61	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	152											
21	21	62	62	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	153											
22	22	63	63	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	154											
22	22	259/4	259/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	155		articStaccatoAbove									
22	22	65	65	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	156		articStaccatoAbove									
22	22	263/4	263/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	157		articStaccatoAbove									
22	22	63	63	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	158											
22	22	63	63	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	159									26		
22	22	64	64	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	160									26		
22	22	65	65	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	161		ornamentTrill							26		
22	22	131/2	131/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	162											
22	22	63	63	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	163									27		
22	22	65	65	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	164											
23	23	66	66	0.0		0	0	Spanner	3/4	1	1	0															0
23	23	66	66	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	165									28		0
23	23	68	68	0.0		1/2	1/2	Spanner	3/4	1	1	0															
23	23	68	68	0.0		1/2	1/2	Spanner	3/4	1	1	0														0	
23	23	68	68	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	166		ornamentTrill								0	
23	23	66	66	0.0		0	0	Spanner	3/4	2	1	0														1	
23	23	66	66	0.0		0	0	Spanner	3/4	2	1	0														1	1
23	23	66	66	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	167										1	1
23	23	66	66	0.0		0	0	Spanner	3/4	3	1	0															2
23	23	66	66	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	168									29		2
23	23	67	67	0.0		1/4	1/4	Spanner	3/4	3	1	0													29		
23	23	67	67	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	169									29		
23	23	68	68	0.0		1/2	1/2	Spanner	3/4	3	1	0														2	
23	23	68	68	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	170										2	
23	23	66	66	0.0		0	0	Spanner	3/4	4	1	0															3
23	23	66	66	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	171											3
23	23	67	67	0.5		1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	172											3
23	23	135/2	135/2	0.0		3/8	3/8	Spanner	3/4	4	1	0															
23	23	271/4	271/4	0.25		7/16	7/16	Chord	3/4	4	1	1/16		1/16	1	173											
23	23	68	68	0.0		1/2	1/2	Spanner	3/4	4	1	0														3	
23	23	68	68	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	174										3	
23	23	275/4	275/4	0.25		11/16	11/16	Chord	3/4	4	1	1/16		1/16	1	175										3	
24	24	69	69	0.0		0	0	Spanner	3/4	1	1	0															
24	24	69	69	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	176											
24	24	283/4	283/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	177											
24	24	71	71	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	178											
24	24	287/4	287/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	179											
24	24	69	69	0.0		0	0	Spanner	3/4	2	1	0															
24	24	69	69	0.0		0	0	Spanner	3/4	2	1	0															
24	24	69	69	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	180											
24	24	70	70	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	181									30		
24	24	71	71	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	182											
24	24	69	69	0.0		0	0	Spanner	3/4	3	1	0															
24	24	69	69	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	183									31		
24	24	70	70	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	184											
24	24	69	69	0.0		0	0	Spanner	3/4	4	1	0															
24	24	69	69	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	185									32		
24	24	71	71	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	186		ornamentTrill									
25	25	72	72	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	187									33		
25	25	74	74	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	188		ornamentTrill									
25	25	72	72	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	189									34		
25	25	73	73	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	190											
25	25	72	72	0.0		0	0	Spanner	3/4	3	1	0															4
25	25	72	72	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	191									35		4
25	25	73	73	0.0		1/4	1/4	Spanner	3/4	3	1	0													35		
25	25	73	73	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	192									35		
25	25	74	74	0.0		1/2	1/2	Spanner	3/4	3	1	0														4	
25	25	74	74	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	193										4	
25	25	72	72	0.0		0	0	Spanner	3/4	4	1	0															5
25	25	72	72	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	194											5
25	25	295/4	295/4	0.0		7/16	7/16	Spanner	3/4	4	1	0															
25	25	295/4	295/4	0.25		7/16	7/16	Chord	3/4	4	1	1/16		1/16	1	195											
25	25	74	74	0.0		1/2	1/2	Spanner	3/4	4	1	0														5	
25	25	74	74	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	196										5	
25	25	299/4	299/4	0.25		11/16	11/16	Chord	3/4	4	1	1/16		1/16	1	197										5	
26	26	75	75	0.0		0	0	Dynamic	3/4	1	1	0					p										
26	26	75	75	0.0		0	0	StaffText	3/4	1	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/><i>cresc.</i>"								
26	26	75	75	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	198									36		
26	26	77	77	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	199		ornamentTrill									
26	26	75	75	0.0		0	0	Dynamic	3/4	2	1	0					p										
26	26	75	75	0.0		0	0	StaffText	3/4	2	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/><i>cresc.</i>"								
26	26	75	75	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	200									37		
26	26	77	77	0.0		1/2	1/2	Dynamic	3/4	2	1	0					f										
26	26	77	77	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	201											
26	26	75	75	0.0		0	0	Dynamic	3/4	3	1	0					p										
26	26	75	75	0.0		0	0	Spanner	3/4	3	1	0															
26	26	75	75	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	202									38		
26	26	76	76	0.0		1/4	1/4	StaffText	3/4	3	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/><i>cresc.</i>"						38		
26	26	76	76	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	203									38		
26	26	77	77	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	204											
26	26	75	75	0.0		0	0	Dynamic	3/4	4	1	0					p										
26	26	75	75	0.0		0	0	Spanner	3/4	4	1	0															
26	26	75	75	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	205											
26	26	76	76	0.0		1/4	1/4	StaffText	3/4	4	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/><i>cresc.</i>"								
26	26	307/4	307/4	0.25		7/16	7/16	Chord	3/4	4	1	1/16		1/16	1	206											
26	26	77	77	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	207											
26	26	311/4	311/4	0.25		11/16	11/16	Chord	3/4	4	1	1/16		1/16	1	208											
27	27	78	78	0.0		0	0	Dynamic	3/4	1	1	0					f										
27	27	78	78	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	209		articStaccatoAbove									
27	27	79	79	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	210		articStaccatoAbove									
27	27	80	80	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	211		articStaccatoAbove									
27	27	78	78	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	212		articStaccatoBelow									
27	27	79	79	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	213		articStaccatoAbove									
27	27	80	80	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	214		articStaccatoAbove									
27	27	78	78	0.0		0	0	Dynamic	3/4	3	1	0					f										
27	27	78	78	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	215		articStaccatoAbove									
27	27	79	79	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	216		articStaccatoAbove									
27	27	80	80	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	217		articStaccatoBelow									
27	27	78	78	0.0		0	0	Dynamic	3/4	4	1	0					f										
27	27	78	78	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	218		articStaccatoAbove									
27	27	79	79	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	219		articStaccatoAbove									
27	27	80	80	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	220		articStaccatoAbove									
28	28	82	82	0.0		1/4	1/4	Dynamic	3/4	1	1	0					p										
28	28	82	82	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	221											
28	28	82	82	0.0		1/4	1/4	Dynamic	3/4	2	1	0					p										
28	28	82	82	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	222											
28	28	82	82	0.0		1/4	1/4	Dynamic	3/4	3	1	0					p										
28	28	82	82	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	223											
28	28	82	82	0.0		1/4	1/4	Dynamic	3/4	4	1	0					p										
28	28	82	82	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	224											
29	29	85	85	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	225											
29	29	85	85	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	226											
29	29	85	85	0.0		1/4	1/4	Dynamic	3/4	3	1	0					f										
