mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
5	5	12	12	3.0		0	0	Chord	6/8	2	1	3/4		1/2	3/2	46				1		
5	5	12	12	0.0		0	0	Dynamic	6/8	3	1	0					p					
5	5	12	12	3.0		0	0	Chord	6/8	3	1	3/4		1/2	3/2	47				2		
5	5	12	12	0.0		0	0	Dynamic	6/8	4	1	0					p					
5	5	12	12	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	48				3		
5	5	25/2	25/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	49				3		
5	5	13	13	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	50						
5	5	27/2	27/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	51				4		
6	6	15	15	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	52						
6	6	16	16	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	53						
6	6	33/2	33/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	54						
6	6	35/2	35/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	55						
6	6	15	15	3.0		0	0	Chord	6/8	2	1	3/4		1/2	3/2	56						
6	6	15	15	3.0		0	0	Chord	6/8	3	1	3/4		1/2	3/2	57						
6	6	15	15	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	58				4		
6	6	31/2	31/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	59				4		
6	6	16	16	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	60						
6	6	33/2	33/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	61				5		
7	7	18	18	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	62				6		
7	7	39/2	39/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	63						
7	7	20	20	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	64		articStaccatoAbove				
7	7	41/2	41/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	65		articStaccatoAbove				
7	7	18	18	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	66				7		
7	7	39/2	39/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	67				7		
7	7	18	18	1.5		0	0	Chord	6/8	3	1	3/8		1/4	3/2	68				8		
7	7	39/2	39/2	1.5		3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	69						
7	7	18	18	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	70				5		
7	7	37/2	37/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	71				5		
7	7	19	19	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	72						
7	7	39/2	39/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	73						
7	7	20	20	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	74						
7	7	41/2	41/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	75						
8	8	21	21	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	76		articStaccatoAbove				
8	8	43/2	43/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	77		articStaccatoAbove				
8	8	22	22	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	78		articStaccatoAbove				
8	8	45/2	45/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	79		articStaccatoAbove				
8	8	23	23	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	80		articStaccatoAbove				
8	8	47/2	47/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	81		articStaccatoAbove				
8	8	21	21	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	82				9		
8	8	45/2	45/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	83						
8	8	21	21	1.5		0	0	Chord	6/8	3	1	3/8		1/4	3/2	84						
8	8	45/2	45/2	1.5		3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	85						
8	8	21	21	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	86				10		
8	8	43/2	43/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	87				10		
8	8	22	22	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	88						
8	8	45/2	45/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	89				11		
8	8	23	23	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	90				11		
8	8	47/2	47/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	91						
9	9	24	24	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	92				12		
9	9	51/2	51/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	93						
9	9	53/2	53/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	94		articStaccatoAbove				
9	9	24	24	3.0		0	0	Chord	6/8	2	1	3/4		1/2	3/2	95				13		
9	9	24	24	3.0		0	0	Chord	6/8	3	1	3/4		1/2	3/2	96				14		
9	9	24	24	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	97				15		
9	9	49/2	49/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	98				15		
9	9	25	25	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	99						
9	9	51/2	51/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	100				16		
10	10	27	27	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	101						
10	10	28	28	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	102						
10	10	57/2	57/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	103						
10	10	59/2	59/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	104						
10	10	27	27	3.0		0	0	Chord	6/8	2	1	3/4		1/2	3/2	105				13		
10	10	27	27	3.0		0	0	Chord	6/8	3	1	3/4		1/2	3/2	106				14		
10	10	27	27	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	107				16		
10	10	55/2	55/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	108				16		
10	10	28	28	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	109						
10	10	57/2	57/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	110				17		
10	10	29	29	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	111				17		
10	10	59/2	59/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	112						
11	11	30	30	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	113						
11	11	63/2	63/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					p					
11	11	63/2	63/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	114				18		
11	11	127/4	127/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	115				18		
11	11	32	32	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	116				18		
11	11	129/4	129/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	117				18		
11	11	65/2	65/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	118				18		
11	11	131/4	131/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	119						
11	11	30	30	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	120						
11	11	30	30	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	121						
11	11	30	30	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	122						
12	12	33	33	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	123		articStaccatoAbove				
12	12	69/2	69/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	124		articStaccatoAbove				
12	12	139/4	139/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	125		articStaccatoAbove				
12	12	35	35	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	126		articStaccatoAbove				
12	12	141/4	141/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	127		articStaccatoAbove				
12	12	71/2	71/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	128		articStaccatoAbove				
12	12	143/4	143/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	129		articStaccatoAbove				
12	12	67/2	67/2	0.0		1/8	1/8	Dynamic	6/8	2	1	0					p					
12	12	67/2	67/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	130		articStaccatoBelow				
12	12	34	34	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	131		articStaccatoBelow				
12	12	67/2	67/2	0.0		1/8	1/8	Dynamic	6/8	3	1	0					p					
12	12	67/2	67/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	132		articStaccatoBelow				
12	12	34	34	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	133		articStaccatoBelow				
12	12	67/2	67/2	0.0		1/8	1/8	Dynamic	6/8	4	1	0					p					
12	12	67/2	67/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	134		articStaccatoAbove				
12	12	34	34	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	135		articStaccatoAbove				
13	13	36	36	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	136		articStaccatoAbove				
13	13	75/2	75/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	137		articStaccatoAbove				
13	13	151/4	151/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	138		articStaccatoAbove				
13	13	38	38	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	139		articStaccatoAbove				
13	13	153/4	153/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	140		articStaccatoAbove				
13	13	77/2	77/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	141		articStaccatoAbove				
13	13	155/4	155/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	142		articStaccatoAbove				
13	13	73/2	73/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	143		articStaccatoBelow				
13	13	37	37	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	144		articStaccatoBelow				
13	13	73/2	73/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	145		articStaccatoBelow				
13	13	37	37	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	146		articStaccatoBelow				
13	13	73/2	73/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	147		articStaccatoBelow				
13	13	37	37	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	148		articStaccatoBelow				
14	14	39	39	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	149		articStaccatoBelow				
14	14	79/2	79/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	150		articStaccatoBelow				
14	14	40	40	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	151		articStaccatoBelow				
14	14	81/2	81/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	152		articStaccatoAbove				
14	14	41	41	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	153		articStaccatoAbove				
14	14	83/2	83/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	154		articStaccatoAbove				
14	14	79/2	79/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	155		articStaccatoBelow				
14	14	40	40	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	156		articStaccatoBelow				
14	14	41	41	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	157		articStaccatoBelow				
14	14	83/2	83/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	158		articStaccatoBelow				
14	14	79/2	79/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	159		articStaccatoBelow				
14	14	40	40	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	160		articStaccatoBelow				
14	14	41	41	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	161		articStaccatoBelow				
14	14	83/2	83/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	162		articStaccatoBelow				
14	14	79/2	79/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	163		articStaccatoAbove				
14	14	40	40	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	164		articStaccatoAbove				
14	14	41	41	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	165		articStaccatoAbove				
14	14	83/2	83/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	166		articStaccatoAbove				
15	15	42	42	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	167		articStaccatoBelow				
15	15	85/2	85/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	168		articStaccatoBelow				
15	15	43	43	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	169		articStaccatoBelow				
15	15	87/2	87/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	170				19		
15	15	175/4	175/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	171				19		
15	15	44	44	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	172				19		
15	15	177/4	177/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	173				19		
15	15	89/2	89/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	174				19		
15	15	179/4	179/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	175						
15	15	85/2	85/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	176		articStaccatoBelow				
15	15	43	43	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	177		articStaccatoBelow				
15	15	85/2	85/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	178		articStaccatoBelow				
15	15	43	43	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	179		articStaccatoBelow				
15	15	85/2	85/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	180		articStaccatoBelow				
15	15	43	43	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	181		articStaccatoBelow				
16	16	45	45	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	182		articStaccatoAbove				
16	16	93/2	93/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	183				20		
16	16	187/4	187/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	184				20		
16	16	47	47	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	185				20		
16	16	189/4	189/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	186				20		
16	16	95/2	95/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	187				20		
16	16	191/4	191/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	188						
16	16	91/2	91/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	189		articStaccatoBelow				
16	16	46	46	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	190		articStaccatoBelow				
16	16	91/2	91/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	191		articStaccatoBelow				
16	16	46	46	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	192		articStaccatoBelow				
16	16	91/2	91/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	193		articStaccatoAbove				
16	16	46	46	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	194		articStaccatoAbove				
17	17	48	48	0.0		0	0	StaffText	6/8	1	1	0							cresc.			
17	17	48	48	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	195						
17	17	97/2	97/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	196						
17	17	49	49	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	197						
17	17	99/2	99/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	198						
17	17	50	50	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	199						
17	17	101/2	101/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	200						
17	17	97/2	97/2	0.0		1/8	1/8	StaffText	6/8	2	1	0							cresc.			
17	17	97/2	97/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	201						
17	17	49	49	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	202						
17	17	50	50	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	203						
17	17	101/2	101/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	204						
17	17	97/2	97/2	0.0		1/8	1/8	StaffText	6/8	3	1	0							cresc.			
17	17	97/2	97/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	205						
17	17	49	49	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	206						
17	17	50	50	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	207						
17	17	101/2	101/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	208						
17	17	97/2	97/2	0.0		1/8	1/8	StaffText	6/8	4	1	0							cresc.			
17	17	97/2	97/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	209						
17	17	49	49	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	210						
17	17	50	50	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	211						
17	17	101/2	101/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	212						
18	18	51	51	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	213						
18	18	103/2	103/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	214						
18	18	52	52	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	215						
18	18	105/2	105/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	216						
18	18	53	53	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	217						
18	18	107/2	107/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	218						
18	18	103/2	103/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	219						
18	18	52	52	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	220						
18	18	53	53	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	221						
18	18	107/2	107/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	222						
18	18	103/2	103/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	223						
18	18	52	52	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	224						
18	18	53	53	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	225						
18	18	107/2	107/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	226						
18	18	103/2	103/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	227						
18	18	52	52	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	228						
18	18	53	53	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	229						
18	18	107/2	107/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	230						
19	19	54	54	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	231				21		
19	19	109/2	109/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	232				21		
19	19	219/4	219/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	233				21		
19	19	55	55	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	234				21		
19	19	221/4	221/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	235						
19	19	111/2	111/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	236				22		
19	19	113/2	113/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	237				22		
19	19	54	54	0.0		0	0	Dynamic	6/8	2	1	0					p					
19	19	54	54	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	238						
19	19	54	54	0.0		0	0	Dynamic	6/8	3	1	0					p					
19	19	54	54	3.0		0	0	Chord	6/8	3	1	3/4		1/2	3/2	239						
19	19	54	54	0.0		0	0	Dynamic	6/8	4	1	0					p					
19	19	54	54	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	240						
19	19	111/2	111/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	241				23		
19	19	56	56	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	242				23		
19	19	113/2	113/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	243				23		
20	20	57	57	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	244				22		
20	20	58	58	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	245				22		
