mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
2	2	10	10	1.0		1	1	Chord	3/2	1	1	1/4			1/4	1	15						
2	2	6	6	0.0		0	0	StaffText	3/2	2	1	0								"<font size=""12""/><b><i>p</i></b>"			
2	2	8	8	2.0		1/2	1/2	Chord	3/2	2	1	1/2			1/2	1	16						
2	2	10	10	0.5		1	1	Chord	3/2	2	1	1/8			1/8	1	17				1		
2	2	21/2	21/2	0.5		9/8	9/8	Chord	3/2	2	1	1/8			1/8	1	18				1		
2	2	11	11	0.5		5/4	5/4	Chord	3/2	2	1	1/8			1/8	1	19				1		
2	2	23/2	23/2	0.5		11/8	11/8	Chord	3/2	2	1	1/8			1/8	1	20						
2	2	6	6	2.0		0	0	Chord	3/2	3	1	1/2			1/2	1	21						
2	2	8	8	0.5		1/2	1/2	Chord	3/2	3	1	1/8			1/8	1	22				2		
2	2	17/2	17/2	0.5		5/8	5/8	Chord	3/2	3	1	1/8			1/8	1	23				2		
2	2	9	9	0.5		3/4	3/4	Chord	3/2	3	1	1/8			1/8	1	24				2		
2	2	19/2	19/2	0.5		7/8	7/8	Chord	3/2	3	1	1/8			1/8	1	25				2		
2	2	10	10	0.5		1	1	Chord	3/2	3	1	1/8			1/8	1	26				2		
2	2	21/2	21/2	0.5		9/8	9/8	Chord	3/2	3	1	1/8			1/8	1	27				2		
2	2	11	11	0.5		5/4	5/4	Chord	3/2	3	1	1/8			1/8	1	28				2		
2	2	23/2	23/2	0.5		11/8	11/8	Chord	3/2	3	1	1/8			1/8	1	29						
2	2	6	6	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""12""/><b><i>p</i></b>"			
3	3	12	12	0.0		0	0	StaffText	3/2	1	1	0								"<font size=""12""/><b><i>p</i></b>"			
3	3	16	16	2.0		1	1	Chord	3/2	1	1	1/2			1/2	1	30						
3	3	12	12	1.0		0	0	Chord	3/2	2	1	1/4			1/4	1	31						
3	3	12	12	1.5		0	0	Chord	3/2	3	1	3/8			1/4	3/2	32						
3	3	27/2	27/2	0.5		3/8	3/8	Chord	3/2	3	1	1/8			1/8	1	33						
3	3	14	14	0.0		1/2	1/2	Spanner	3/2	3	1	0											0
3	3	14	14	2.0		1/2	1/2	Chord	3/2	3	1	1/2			1/2	1	34						0
3	3	16	16	0.0		1	1	Spanner	3/2	3	1	0											
3	3	12	12	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""10""/><i>cresc.</i>"			
3	3	12	12	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""10""/><i>cresc.</i>"			
3	3	12	12	1.5		0	0	Chord	3/2	4	1	3/8			1/4	3/2	35						
3	3	27/2	27/2	0.5		3/8	3/8	Chord	3/2	4	1	1/8			1/8	1	36						
3	3	14	14	0.0		1/2	1/2	Spanner	3/2	4	1	0											1
3	3	14	14	2.0		1/2	1/2	Chord	3/2	4	1	1/2			1/2	1	37						1
3	3	16	16	0.0		1	1	Spanner	3/2	4	1	0											
4	4	18	18	0.5		0	0	Chord	3/2	1	1	1/8			1/8	1	38				3		
4	4	37/2	37/2	0.5		1/8	1/8	Chord	3/2	1	1	1/8			1/8	1	39				3		
4	4	19	19	0.5		1/4	1/4	Chord	3/2	1	1	1/8			1/8	1	40				3		
4	4	39/2	39/2	0.5		3/8	3/8	Chord	3/2	1	1	1/8			1/8	1	41				3		
4	4	20	20	0.5		1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	42				3		
4	4	41/2	41/2	0.5		5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	43				3		
4	4	21	21	0.5		3/4	3/4	Chord	3/2	1	1	1/8			1/8	1	44				3		
4	4	43/2	43/2	0.5		7/8	7/8	Chord	3/2	1	1	1/8			1/8	1	45				3		
4	4	22	22	1.0		1	1	Chord	3/2	1	1	1/4			1/4	1	46						
4	4	18	18	0.0		0	0	StaffText	3/2	2	1	0								"<font size=""12""/><b><i>p</i></b>"			
4	4	18	18	2.0		0	0	Chord	3/2	2	1	1/2			1/2	1	47						
4	4	20	20	0.5		1/2	1/2	Chord	3/2	2	1	1/8			1/8	1	48				4		
4	4	41/2	41/2	0.5		5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	49				4		
4	4	21	21	0.5		3/4	3/4	Chord	3/2	2	1	1/8			1/8	1	50				4		
4	4	43/2	43/2	0.5		7/8	7/8	Chord	3/2	2	1	1/8			1/8	1	51				4		
4	4	22	22	0.5		1	1	Chord	3/2	2	1	1/8			1/8	1	52				4		
4	4	45/2	45/2	0.5		9/8	9/8	Chord	3/2	2	1	1/8			1/8	1	53				4		
4	4	23	23	0.5		5/4	5/4	Chord	3/2	2	1	1/8			1/8	1	54				4		
4	4	47/2	47/2	0.5		11/8	11/8	Chord	3/2	2	1	1/8			1/8	1	55						
4	4	18	18	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""12""/><b><i>p</i></b>"			
4	4	20	20	2.0		1/2	1/2	Chord	3/2	3	1	1/2			1/2	1	56						
4	4	22	22	0.5		1	1	Chord	3/2	3	1	1/8			1/8	1	57						
4	4	45/2	45/2	0.5		9/8	9/8	Chord	3/2	3	1	1/8			1/8	1	58				5		
4	4	23	23	0.5		5/4	5/4	Chord	3/2	3	1	1/8			1/8	1	59				5		
4	4	47/2	47/2	0.5		11/8	11/8	Chord	3/2	3	1	1/8			1/8	1	60						
4	4	22	22	2.0		1	1	Chord	3/2	4	1	1/2			1/2	1	61						
5	5	24	24	0.0		0	0	StaffText	3/2	1	1	0								"<font size=""12""/><b><i>f</i></b>"			
5	5	24	24	0.5		0	0	Chord	3/2	1	1	1/8			1/8	1	62						
5	5	49/2	49/2	0.5		1/8	1/8	Chord	3/2	1	1	1/8			1/8	1	63						
5	5	25	25	1.0		1/4	1/4	Chord	3/2	1	1	1/4			1/4	1	64						
5	5	24	24	0.0		0	0	StaffText	3/2	2	1	0								"<font size=""12""/><b><i>f</i></b>"			
5	5	24	24	0.5		0	0	Chord	3/2	2	1	1/8			1/8	1	65						
5	5	49/2	49/2	0.5		1/8	1/8	Chord	3/2	2	1	1/8			1/8	1	66						
5	5	25	25	1.0		1/4	1/4	Chord	3/2	2	1	1/4			1/4	1	67						
5	5	24	24	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""10""/><i>cresc.</i>"			
5	5	24	24	0.5		0	0	Chord	3/2	3	1	1/8			1/8	1	68						
5	5	49/2	49/2	0.5		1/8	1/8	Chord	3/2	3	1	1/8			1/8	1	69						
5	5	25	25	1.0		1/4	1/4	Chord	3/2	3	1	1/4			1/4	1	70						
5	5	24	24	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""10""/><i>cresc.</i>"			
5	5	24	24	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""12""/><b><i>f</i></b>"			
5	5	24	24	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""12""/><b><i>f</i></b>"			
5	5	24	24	0.5		0	0	Chord	3/2	4	1	1/8			1/8	1	71						
5	5	49/2	49/2	0.5		1/8	1/8	Chord	3/2	4	1	1/8			1/8	1	72						
5	5	25	25	1.0		1/4	1/4	Chord	3/2	4	1	1/4			1/4	1	73						
6	6	30	30	0.0		0	0	StaffText	3/2	1	1	0								"<font size=""12""/><b><i>f</i></b>"			
6	6	30	30	0.5		0	0	Chord	3/2	1	1	1/8			1/8	1	74						
6	6	61/2	61/2	0.5		1/8	1/8	Chord	3/2	1	1	1/8			1/8	1	75						
6	6	31	31	1.0		1/4	1/4	Chord	3/2	1	1	1/4			1/4	1	76						
6	6	30	30	0.5		0	0	Chord	3/2	2	1	1/8			1/8	1	77						
6	6	61/2	61/2	0.5		1/8	1/8	Chord	3/2	2	1	1/8			1/8	1	78						
6	6	31	31	1.0		1/4	1/4	Chord	3/2	2	1	1/4			1/4	1	79						
6	6	30	30	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""12""/><b><i>f</i></b>"			
6	6	30	30	0.5		0	0	Chord	3/2	3	1	1/8			1/8	1	80						
6	6	61/2	61/2	0.5		1/8	1/8	Chord	3/2	3	1	1/8			1/8	1	81						
6	6	31	31	1.0		1/4	1/4	Chord	3/2	3	1	1/4			1/4	1	82						
6	6	30	30	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""12""/><b><i>f</i></b>"			
6	6	30	30	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""12""/><b><i>f</i></b>"			
6	6	30	30	0.5		0	0	Chord	3/2	4	1	1/8			1/8	1	83						
6	6	61/2	61/2	0.5		1/8	1/8	Chord	3/2	4	1	1/8			1/8	1	84						
6	6	31	31	1.0		1/4	1/4	Chord	3/2	4	1	1/4			1/4	1	85						
7	7	36	36	0.0		0	0	StaffText	3/2	1	1	0								"<font size=""12""/><b><i>f</i></b>"			
7	7	38	38	0.5		1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	86						
7	7	77/2	77/2	0.5		5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	87						
7	7	39	39	1.0		3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	88						
7	7	36	36	0.0		0	0	StaffText	3/2	2	1	0								"<font size=""12""/><b><i>f</i></b>"			
7	7	38	38	0.5		1/2	1/2	Chord	3/2	2	1	1/8			1/8	1	89						
7	7	77/2	77/2	0.5		5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	90						
7	7	39	39	1.0		3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	91						
7	7	36	36	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""12""/><b><i>p</i></b>"			
7	7	36	36	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""10""/><i>cresc.</i>"			
7	7	36	36	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""12""/><b><i>f</i></b>"			
7	7	36	36	1.5		0	0	Chord	3/2	3	1	3/8			1/4	3/2	92						
7	7	75/2	75/2	0.5		3/8	3/8	Chord	3/2	3	1	1/8			1/8	1	93						
7	7	38	38	4.0		1/2	1/2	Chord	3/2	3	1	1			1	1	94						
7	7	36	36	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""12""/><b><i>f</i></b>"			
7	7	36	36	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""10""/><i>cresc.</i>"			
7	7	36	36	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""12""/><b><i>p</i></b>"			
7	7	36	36	1.5		0	0	Chord	3/2	4	1	3/8			1/4	3/2	95						
7	7	75/2	75/2	0.5		3/8	3/8	Chord	3/2	4	1	1/8			1/8	1	96						
7	7	38	38	4.0		1/2	1/2	Chord	3/2	4	1	1			1	1	97						
8	8	44	44	0.5		1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	98						
8	8	89/2	89/2	0.5		5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	99						
8	8	45	45	1.0		3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	100						
8	8	44	44	0.5		1/2	1/2	Chord	3/2	2	1	1/8			1/8	1	101						
8	8	89/2	89/2	0.5		5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	102						
8	8	45	45	1.0		3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	103						
8	8	42	42	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""12""/><b><i>p</i></b>"			
8	8	42	42	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""10""/><i>cresc.</i>"			
8	8	42	42	1.5		0	0	Chord	3/2	3	1	3/8			1/4	3/2	104						
8	8	87/2	87/2	0.5		3/8	3/8	Chord	3/2	3	1	1/8			1/8	1	105						
8	8	44	44	4.0		1/2	1/2	Chord	3/2	3	1	1			1	1	106						
8	8	42	42	1.5		0	0	Chord	3/2	4	1	3/8			1/4	3/2	107						
8	8	87/2	87/2	0.5		3/8	3/8	Chord	3/2	4	1	1/8			1/8	1	108						
8	8	44	44	4.0		1/2	1/2	Chord	3/2	4	1	1			1	1	109						
9	9	48	48	0.0		0	0	StaffText	3/2	1	1	0								"<font size=""12""/><b><i>f</i></b>"			
9	9	48	48	0.0		0	0	StaffText	3/2	1	1	0								"<font size=""12""/><b><i>ff</i></b>"			
9	9	48	48	0.0		0	0	Spanner	3/2	1	1	0											2
9	9	50	50	0.5		1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	110						2
9	9	101/2	101/2	0.5		5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	111						2
9	9	51	51	1.0		3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	112						2
9	9	48	48	0.0		0	0	Spanner	3/2	2	1	0											3
9	9	50	50	0.5		1/2	1/2	Chord	3/2	2	1	1/8			1/8	1	113						3
9	9	101/2	101/2	0.5		5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	114						3
9	9	51	51	1.0		3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	115						3
9	9	48	48	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""12""/><b><i>f</i></b>"			
9	9	48	48	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""12""/><b><i>f</i></b>"			
9	9	48	48	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""12""/><b><i>f</i></b>"			
9	9	48	48	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""12""/><b><i>ff</i></b>"			
9	9	48	48	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""12""/><b><i>ff</i></b>"			
9	9	48	48	0.0		0	0	Spanner	3/2	3	1	0											4
9	9	48	48	1.5		0	0	Chord	3/2	3	1	3/8			1/4	3/2	116						4
9	9	99/2	99/2	0.5		3/8	3/8	Chord	3/2	3	1	1/8			1/8	1	117						4
9	9	50	50	4.0		1/2	1/2	Chord	3/2	3	1	1			1	1	118						4
9	9	48	48	0.0		0	0	Spanner	3/2	4	1	0											5
9	9	48	48	1.5		0	0	Chord	3/2	4	1	3/8			1/4	3/2	119						5
9	9	99/2	99/2	0.5		3/8	3/8	Chord	3/2	4	1	1/8			1/8	1	120						5
9	9	50	50	4.0		1/2	1/2	Chord	3/2	4	1	1			1	1	121						5
10	10	54	54	0.0		0	0	StaffText	3/2	1	1	0								"<font size=""10""/><i>dim.</i>"			
10	10	54	54	0.0		0	0	Spanner	3/2	1	1	0											
10	10	56	56	0.5		1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	122						
10	10	113/2	113/2	0.5		5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	123						
10	10	57	57	1.0		3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	124						
10	10	54	54	0.0		0	0	StaffText	3/2	2	1	0								"<font size=""10""/><i>dim.</i>"			
10	10	54	54	0.0		0	0	Spanner	3/2	2	1	0											
10	10	56	56	0.5		1/2	1/2	Chord	3/2	2	1	1/8			1/8	1	125						
10	10	113/2	113/2	0.5		5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	126						
10	10	57	57	1.0		3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	127						
10	10	54	54	0.0		0	0	Spanner	3/2	3	1	0											
10	10	54	54	0.5		0	0	Chord	3/2	3	1	1/8			1/8	1	128						
10	10	109/2	109/2	0.5		1/8	1/8	Chord	3/2	3	1	1/8			1/8	1	129						
10	10	55	55	1.0		1/4	1/4	Chord	3/2	3	1	1/4			1/4	1	130						
10	10	54	54	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""10""/><i>dim.</i>"			
10	10	54	54	0.0		0	0	Spanner	3/2	4	1	0											
10	10	54	54	0.5		0	0	Chord	3/2	4	1	1/8			1/8	1	131						
10	10	109/2	109/2	0.5		1/8	1/8	Chord	3/2	4	1	1/8			1/8	1	132						
10	10	55	55	1.0		1/4	1/4	Chord	3/2	4	1	1/4			1/4	1	133						
11	11	60	60	0.0		0	0	StaffText	3/2	1	1	0								"<font size=""12""/><b><i>p</i></b>"			
11	11	62	62	0.5		1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	134						
11	11	125/2	125/2	0.5		5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	135						
11	11	63	63	1.0		3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	136						
11	11	60	60	0.0		0	0	StaffText	3/2	2	1	0								"<font size=""12""/><b><i>p</i></b>"			
11	11	62	62	0.5		1/2	1/2	Chord	3/2	2	1	1/8			1/8	1	137						
11	11	125/2	125/2	0.5		5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	138						
11	11	63	63	1.0		3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	139						
11	11	60	60	0.5		0	0	Chord	3/2	3	1	1/8			1/8	1	140						
11	11	121/2	121/2	0.5		1/8	1/8	Chord	3/2	3	1	1/8			1/8	1	141						
11	11	61	61	1.0		1/4	1/4	Chord	3/2	3	1	1/4			1/4	1	142						
11	11	60	60	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""12""/><b><i>p</i></b>"			
11	11	60	60	0.5		0	0	Chord	3/2	4	1	1/8			1/8	1	143						
11	11	121/2	121/2	0.5		1/8	1/8	Chord	3/2	4	1	1/8			1/8	1	144						
11	11	61	61	1.0		1/4	1/4	Chord	3/2	4	1	1/4			1/4	1	145						
12	12	66	66	0.0		0	0	StaffText	3/2	1	1	0								<b>Adagio</b>			
12	12	68	68	0.5		1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	146						
12	12	137/2	137/2	0.5		5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	147						
12	12	69	69	1.0		3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	148						
12	12	70	70	1.0		1	1	Chord	3/2	1	1	1/4			1/4	1	149						
12	12	71	71	0.0		5/4	5/4	StaffText	3/2	1	1	0								<b>Allegro</b>			
12	12	71	71	1.0		5/4	5/4	Chord	3/2	1	1	1/4			1/4	1	150						
12	12	68	68	0.5		1/2	1/2	Chord	3/2	2	1	1/8			1/8	1	151						
12	12	137/2	137/2	0.5		5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	152						
12	12	69	69	1.0		3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	153						
12	12	70	70	1.0		1	1	Chord	3/2	2	1	1/4			1/4	1	154						
12	12	71	71	0.0		5/4	5/4	Dynamic	3/2	2	1	0						f					
12	12	71	71	1.0		5/4	5/4	Chord	3/2	2	1	1/4			1/4	1	155						
12	12	66	66	0.5		0	0	Chord	3/2	3	1	1/8			1/8	1	156						
12	12	133/2	133/2	0.5		1/8	1/8	Chord	3/2	3	1	1/8			1/8	1	157						
12	12	67	67	1.0		1/4	1/4	Chord	3/2	3	1	1/4			1/4	1	158						
12	12	66	66	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""12""/><b><i>pp</i></b>"			
12	12	66	66	0.5		0	0	Chord	3/2	4	1	1/8			1/8	1	159						
12	12	133/2	133/2	0.5		1/8	1/8	Chord	3/2	4	1	1/8			1/8	1	160						
12	12	67	67	1.0		1/4	1/4	Chord	3/2	4	1	1/4			1/4	1	161						
13	13	72	72	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	162		articStaccatoAbove				
13	13	74	74	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	163		articStaccatoAbove				
13	13	72	72	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	164		articStaccatoAbove				
13	13	74	74	2.0		1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	165		articStaccatoBelow				
13	13	73	73	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	166		articStaccatoBelow				
13	13	74	74	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	167		articStaccatoBelow				
13	13	75	75	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	168		articStaccatoBelow				
13	13	73	73	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	169		articStaccatoBelow				
13	13	74	74	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	170		articStaccatoBelow				
13	13	75	75	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	171		articStaccatoBelow				
14	14	79	79	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	172						
14	14	79	79	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	173						
14	14	76	76	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	174		articStaccatoAbove				
14	14	77	77	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	175		articStaccatoAbove				
14	14	78	78	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	176		articStaccatoAbove				
14	14	79	79	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	177		articStaccatoAbove				
14	14	76	76	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>f</i></b>"			
14	14	76	76	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	178		articStaccatoBelow				
14	14	77	77	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	179		articStaccatoAbove				
14	14	78	78	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	180		articStaccatoAbove				
14	14	79	79	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	181		articStaccatoAbove				
15	15	80	80	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	182		articStaccatoAbove				
15	15	82	82	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	183		articStaccatoAbove				
15	15	80	80	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	184		articStaccatoAbove				
15	15	82	82	2.0		1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	185		articStaccatoBelow				
15	15	80	80	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	186		articStaccatoAbove				
15	15	81	81	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	187		articStaccatoAbove				
15	15	82	82	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	188		articStaccatoAbove				
15	15	83	83	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	189		articStaccatoAbove				
15	15	80	80	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	190		articStaccatoAbove				
15	15	81	81	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	191		articStaccatoAbove				
15	15	82	82	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	192		articStaccatoAbove				
15	15	83	83	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	193		articStaccatoAbove				
16	16	84	84	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	194		articStaccatoAbove				
16	16	85	85	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	195		articStaccatoAbove				
16	16	86	86	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	196		articStaccatoAbove				
16	16	87	87	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	197		articStaccatoAbove				
16	16	84	84	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	198		articStaccatoAbove				
16	16	85	85	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	199		articStaccatoAbove				
16	16	86	86	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	200		articStaccatoAbove				
16	16	87	87	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	201		articStaccatoAbove				
17	17	88	88	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>p</i></b>"			
17	17	89	89	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	202				6		
17	17	90	90	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	203				6		
17	17	91	91	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	204				6		
17	17	88	88	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>p</i></b>"			
17	17	88	88	4.0		0	0	Chord	4/4	3	1	1			1	1	205						
17	17	88	88	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>p</i></b>"			
17	17	88	88	4.0		0	0	Chord	4/4	4	1	1			1	1	206						
18	18	92	92	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	207				6		
18	18	93	93	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	208				6		
18	18	94	94	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	209						
18	18	92	92	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	210				7		
18	18	93	93	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	211				7		
18	18	94	94	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	212				7		
18	18	95	95	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	213						
18	18	92	92	4.0		0	0	Chord	4/4	4	1	1			1	1	214						
19	19	97	97	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	215				8		
19	19	98	98	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	216				8		
19	19	99	99	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	217				8		
19	19	96	96	3.0		0	0	Chord	4/4	3	1	3/4			1/2	3/2	218						
19	19	99	99	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	219				9		
19	19	96	96	4.0		0	0	Chord	4/4	4	1	1			1	1	220						
20	20	100	100	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	221				8		
