mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Trill:trill
9	9	25/2	25/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	49		articStaccatoAbove			
9	9	51/4	51/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	50		articStaccatoAbove			
9	9	13	13	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	51		articStaccatoAbove			
9	9	53/4	53/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	52		articStaccatoAbove			
9	9	12	12	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	53		articStaccatoBelow			
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	54		articStaccatoBelow			
9	9	13	13	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	55					
10	10	27/2	27/2	0.0	0	0	Dynamic	3/8	1	1	0					pp				
10	10	27/2	27/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	56		articStaccatoAbove			
10	10	14	14	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	57		articStaccatoAbove			
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	58		articStaccatoAbove			
10	10	27/2	27/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	59		articStaccatoAbove			
10	10	55/4	55/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	60		articStaccatoAbove			
10	10	14	14	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	61		articStaccatoAbove			
10	10	57/4	57/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	62		articStaccatoAbove			
10	10	29/2	29/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	63		articStaccatoAbove			
10	10	59/4	59/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	64		articStaccatoAbove			
10	10	27/2	27/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	65					
10	10	14	14	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	66		articStaccatoAbove			
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	67					
11	11	15	15	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	68		articStaccatoAbove			
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	69		articStaccatoAbove			
11	11	16	16	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	70		articStaccatoAbove			
11	11	65/4	65/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	71		articStaccatoAbove			
11	11	15	15	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	72		articStaccatoBelow			
11	11	61/4	61/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	73		articStaccatoBelow			
11	11	31/2	31/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	74		articStaccatoBelow			
11	11	63/4	63/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	75		articStaccatoBelow			
11	11	16	16	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	76		articStaccatoBelow			
11	11	65/4	65/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	77		articStaccatoBelow			
11	11	15	15	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	78					
11	11	61/4	61/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	79		articStaccatoAbove			
11	11	31/2	31/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	80		articStaccatoAbove			
11	11	63/4	63/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	81		articStaccatoAbove			
11	11	16	16	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	82		articStaccatoAbove			
11	11	65/4	65/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	83		articStaccatoAbove			
12	12	33/2	33/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	84		articStaccatoAbove			
12	12	67/4	67/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	85		articStaccatoAbove			
12	12	17	17	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	86		articStaccatoAbove			
12	12	69/4	69/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	87		articStaccatoAbove			
12	12	35/2	35/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	88		articStaccatoAbove			
12	12	71/4	71/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	89		articStaccatoAbove			
12	12	33/2	33/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	90		articStaccatoBelow			
12	12	67/4	67/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	91		articStaccatoBelow			
12	12	17	17	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	92		articStaccatoBelow			
12	12	35/2	35/2	0.0	1/4	1/4	Dynamic	3/8	2	1	0					sf				
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	93					
12	12	33/2	33/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	94		articStaccatoAbove			
12	12	67/4	67/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	95		articStaccatoAbove			
12	12	17	17	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	96		articStaccatoAbove			
12	12	69/4	69/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	97		articStaccatoAbove			
12	12	35/2	35/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	98		articStaccatoAbove			
12	12	71/4	71/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	99		articStaccatoAbove			
13	13	18	18	0.0	0	0	StaffText	3/8	1	1	0							cresc.		
13	13	18	18	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	100		articStaccatoAbove			
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	101		articStaccatoAbove			
13	13	19	19	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	102		articStaccatoAbove			
13	13	18	18	0.0	0	0	StaffText	3/8	2	1	0							cresc.		
13	13	18	18	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	103					
13	13	73/4	73/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	104		articStaccatoBelow			
13	13	37/2	37/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	105		articStaccatoBelow			
13	13	75/4	75/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	106		articStaccatoBelow			
13	13	19	19	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	107		articStaccatoBelow			
13	13	77/4	77/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	108		articStaccatoBelow			
13	13	18	18	0.0	0	0	StaffText	3/8	3	1	0							cresc.		
13	13	18	18	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	109		articStaccatoBelow			
13	13	73/4	73/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	110		articStaccatoBelow			
13	13	37/2	37/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	111		articStaccatoBelow			
13	13	75/4	75/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	112		articStaccatoBelow			
13	13	19	19	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	113		articStaccatoBelow			
13	13	77/4	77/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	114		articStaccatoBelow			
13	13	18	18	0.0	0	0	StaffText	3/8	4	1	0							cresc.		
13	13	18	18	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	115		articStaccatoBelow			
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	116		articStaccatoBelow			
13	13	19	19	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	117		articStaccatoBelow			
14	14	39/2	39/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	118		articStaccatoAbove			
14	14	20	20	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	119		articStaccatoAbove			
14	14	39/2	39/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	120		articStaccatoBelow			
14	14	41/2	41/2	0.0	1/4	1/4	Dynamic	3/8	2	1	0					sf				
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	121					
14	14	39/2	39/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	122		articStaccatoBelow			
14	14	20	20	0.0	1/8	1/8	Dynamic	3/8	3	1	0					sf				
14	14	20	20	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	123					
14	14	39/2	39/2	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	124		articStaccatoBelow			
14	14	20	20	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	125		articStaccatoBelow			
14	14	41/2	41/2	0.25	1/4	1/4	Chord	3/8	4	1	1/16		1/16	1	126				0	
14	14	83/4	83/4	0.25	5/16	5/16	Chord	3/8	4	1	1/16		1/16	1	127					
15	15	21	21	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	128		articStaccatoAbove			
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	129		articStaccatoAbove			
15	15	22	22	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	130		articStaccatoAbove			
15	15	21	21	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	131					
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	132		articStaccatoBelow			
15	15	43/2	43/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	133		articStaccatoBelow			
15	15	87/4	87/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	134		articStaccatoBelow			
15	15	22	22	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	135		articStaccatoBelow			
15	15	89/4	89/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	136		articStaccatoBelow			
15	15	21	21	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	137					
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	138		articStaccatoBelow			
15	15	43/2	43/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	139		articStaccatoBelow			
15	15	87/4	87/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	140		articStaccatoBelow			
15	15	22	22	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	141		articStaccatoBelow			
15	15	89/4	89/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	142		articStaccatoBelow			
15	15	21	21	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	143		articStaccatoBelow			
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	144		articStaccatoBelow			
15	15	22	22	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	145		articStaccatoBelow			
16	16	45/2	45/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	146		articStaccatoAbove			
16	16	23	23	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	147		articStaccatoAbove			
16	16	45/2	45/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	148		articStaccatoBelow			
16	16	47/2	47/2	0.0	1/4	1/4	Dynamic	3/8	2	1	0					sf				
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	149					
16	16	45/2	45/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	150		articStaccatoBelow			
16	16	23	23	0.0	1/8	1/8	Dynamic	3/8	3	1	0					sf				
16	16	23	23	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	151					
16	16	45/2	45/2	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	152					
16	16	23	23	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	153					
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	154					
17	17	24	24	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	155		articStaccatoAbove			
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	156		articStaccatoAbove			
17	17	25	25	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	157		articStaccatoAbove			
17	17	24	24	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	158					
17	17	97/4	97/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	159					
17	17	49/2	49/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	160					
17	17	99/4	99/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	161					
17	17	25	25	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	162					
17	17	101/4	101/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	163					
17	17	24	24	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	164					
17	17	97/4	97/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	165					
17	17	49/2	49/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	166					
17	17	99/4	99/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	167					
17	17	25	25	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	168					
17	17	101/4	101/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	169					
17	17	24	24	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	170					
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	171					
17	17	25	25	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	172					
18	18	51/2	51/2	0.0	0	0	Dynamic	3/8	1	1	0					sf				
18	18	51/2	51/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	173					
18	18	53/2	53/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	174				1	
18	18	107/4	107/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	175					
18	18	51/2	51/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	176					
18	18	26	26	0.0	1/8	1/8	Dynamic	3/8	2	1	0					sf				
18	18	26	26	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	177					
18	18	53/2	53/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	178				2	
18	18	107/4	107/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	179					
18	18	51/2	51/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	180					
18	18	26	26	0.0	1/8	1/8	Dynamic	3/8	3	1	0					sf				
18	18	26	26	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	181					
18	18	53/2	53/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	182				3	
18	18	107/4	107/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	183					
18	18	51/2	51/2	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	184					
18	18	26	26	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	185					
18	18	53/2	53/2	0.0	1/4	1/4	Dynamic	3/8	4	1	0					sf				
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	186					
19	19	27	27	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	187				4	
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	188					
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	189				5	
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	190					
19	19	28	28	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	191				6	
19	19	113/4	113/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	192					
19	19	27	27	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	193				7	
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	194					
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	195				8	
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	196					
19	19	28	28	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	197				9	
19	19	113/4	113/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	198					
19	19	27	27	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	199				10	
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	200					
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	201				11	
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	202					
19	19	28	28	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	203				12	
19	19	113/4	113/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	204					
19	19	27	27	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	205					
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	206				13	
19	19	28	28	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	207					
20	20	57/2	57/2	0.0	0	0	Dynamic	3/8	1	1	0					p				
20	20	57/2	57/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	208		articStaccatoAbove			
20	20	29	29	0.0	1/8	1/8	Dynamic	3/8	1	1	0					sf				
20	20	29	29	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	209					
20	20	119/4	119/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	210		articStaccatoAbove			
20	20	57/2	57/2	0.0	0	0	Dynamic	3/8	2	1	0					p				
20	20	57/2	57/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	211					
20	20	115/4	115/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	212					
20	20	29	29	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	213					
20	20	117/4	117/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	214					
20	20	59/2	59/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	215					
20	20	119/4	119/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	216					
20	20	57/2	57/2	0.0	0	0	Dynamic	3/8	3	1	0					p				
20	20	57/2	57/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	217					
20	20	29	29	0.0	1/8	1/8	Dynamic	3/8	3	1	0					sf				
20	20	29	29	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	218				14	
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	219					
20	20	57/2	57/2	0.0	0	0	Dynamic	3/8	4	1	0					p				
20	20	57/2	57/2	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	220					
21	21	30	30	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	221		articStaccatoAbove			
21	21	61/2	61/2	0.0	1/8	1/8	Dynamic	3/8	1	1	0					sf				
21	21	61/2	61/2	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	222					
21	21	125/4	125/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	223		articStaccatoAbove			
21	21	30	30	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	224					
21	21	121/4	121/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	225					
21	21	61/2	61/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	226					
21	21	123/4	123/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	227					
21	21	31	31	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	228					
21	21	125/4	125/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	229					
21	21	30	30	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	230					
21	21	61/2	61/2	0.0	1/8	1/8	Dynamic	3/8	3	1	0					sf				
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	231				15	
21	21	31	31	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	232					
22	22	63/2	63/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	233					
22	22	32	32	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	234					
22	22	65/2	65/2	0.0	1/4	1/4	Chord	3/8	1	1	0	grace16after	1/16	1	235					
22	22	65/2	65/2	0.0	1/4	1/4	Chord	3/8	1	1	0	grace16after	1/16	1	236					
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	237		ornamentTrill			
22	22	63/2	63/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	238					
22	22	127/4	127/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	239					
