mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	7							2	2	2
1	1	1	1	0.0	1/4	1/4	Spanner	3/8	3	1	0											2	
1	1	1	1	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	8								2	
1	1	0	0	0.0	0	0	Dynamic	3/8	4	1	0				p								
1	1	0	0	0.0	0	0	Spanner	3/8	4	1	0												3
1	1	0	0	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	9									3
1	1	1	1	0.0	1/4	1/4	Spanner	3/8	4	1	0												
1	1	1	1	0.0	1/4	1/4	Spanner	3/8	4	1	0											3	
2	2	3/2	3/2	0.0	0	0	Dynamic	3/8	1	1	0				p								
2	2	3/2	3/2	0.0	0	0	Spanner	3/8	1	1	0												
2	2	3/2	3/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	10									
2	2	3/2	3/2	0.0	0	0	Dynamic	3/8	2	1	0				p								
2	2	3/2	3/2	0.0	0	0	Spanner	3/8	2	1	0												
2	2	3/2	3/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	11							3		
2	2	2	2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	12							3		
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	13									
2	2	3/2	3/2	0.0	0	0	Dynamic	3/8	3	1	0				p								
2	2	3/2	3/2	0.0	0	0	Spanner	3/8	3	1	0												
2	2	3/2	3/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	14							4		
2	2	2	2	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	15							4		
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	16									
2	2	3/2	3/2	0.0	0	0	Dynamic	3/8	4	1	0				p								
2	2	3/2	3/2	0.0	0	0	Spanner	3/8	4	1	0												
2	2	3/2	3/2	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	17									
3	3	3	3	0.0	0	0	Spanner	3/8	1	1	0												4
3	3	3	3	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	18							5		4
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	19							5		4
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	20							5		4
3	3	4	4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	21									4
3	3	3	3	0.0	0	0	Spanner	3/8	2	1	0												5
3	3	3	3	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	22							6		5
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	23							6		5
3	3	4	4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	24									5
3	3	3	3	0.0	0	0	Spanner	3/8	3	1	0												6
3	3	3	3	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	25							7		6
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	26							7		6
3	3	4	4	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	27									6
3	3	3	3	0.0	0	0	Spanner	3/8	4	1	0												7
3	3	3	3	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	28									7
4	4	9/2	9/2	0.0	0	0	Dynamic	3/8	1	1	0				p								
4	4	9/2	9/2	0.0	0	0	Spanner	3/8	1	1	0												
4	4	9/2	9/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	29							8		
4	4	5	5	1.0	1/8	1/8	Chord	3/8	1	1	1/4	1/4	1	30									
4	4	9/2	9/2	0.0	0	0	Dynamic	3/8	2	1	0				p								
4	4	9/2	9/2	0.0	0	0	Spanner	3/8	2	1	0												
4	4	9/2	9/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	31							9		
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	32							9		
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	33									
4	4	9/2	9/2	0.0	0	0	Dynamic	3/8	3	1	0				p								
4	4	9/2	9/2	0.0	0	0	Spanner	3/8	3	1	0												
4	4	9/2	9/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	34							10		
4	4	5	5	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	35							10		
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	36									
4	4	9/2	9/2	0.0	0	0	Dynamic	3/8	4	1	0				p								
4	4	9/2	9/2	0.0	0	0	Spanner	3/8	4	1	0												
4	4	9/2	9/2	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	37									
5	5	6	6	0.0	0	0	Spanner	3/8	1	1	0												8
5	5	6	6	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	38							11		8
5	5	13/2	13/2	0.0	1/8	1/8	Spanner	3/8	1	1	0										11	4	8
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	39							11	4	8
5	5	7	7	0.0	1/4	1/4	Spanner	3/8	1	1	0											4	
5	5	7	7	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	40								4	
5	5	6	6	0.0	0	0	Spanner	3/8	2	1	0												9
5	5	6	6	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	41							12		9
5	5	13/2	13/2	0.0	1/8	1/8	Spanner	3/8	2	1	0										12	5	9
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	42							12	5	9
5	5	7	7	0.0	1/4	1/4	Spanner	3/8	2	1	0											5	
5	5	7	7	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	43								5	
5	5	6	6	0.0	0	0	Spanner	3/8	3	1	0												10
5	5	6	6	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	44							13		10
5	5	13/2	13/2	0.0	1/8	1/8	Spanner	3/8	3	1	0										13	6	10
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	45							13	6	10
5	5	7	7	0.0	1/4	1/4	Spanner	3/8	3	1	0											6	
5	5	7	7	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	46								6	
5	5	6	6	0.0	0	0	Spanner	3/8	4	1	0												11
5	5	6	6	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	47							14		11
5	5	13/2	13/2	0.0	1/8	1/8	Spanner	3/8	4	1	0										14	7	11
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	48							14	7	11
5	5	7	7	0.0	1/4	1/4	Spanner	3/8	4	1	0											7	
5	5	7	7	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	49								7	
6	6	15/2	15/2	0.0	0	0	Dynamic	3/8	1	1	0				p								
6	6	15/2	15/2	0.0	0	0	Spanner	3/8	1	1	0												
6	6	15/2	15/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	50									
6	6	15/2	15/2	0.0	0	0	Dynamic	3/8	2	1	0				p								
6	6	15/2	15/2	0.0	0	0	Spanner	3/8	2	1	0												
6	6	15/2	15/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	51									
6	6	15/2	15/2	0.0	0	0	Dynamic	3/8	3	1	0				p								
6	6	15/2	15/2	0.0	0	0	Spanner	3/8	3	1	0												
6	6	15/2	15/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	52							15		
6	6	8	8	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	53							15		
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	54									
6	6	15/2	15/2	0.0	0	0	Dynamic	3/8	4	1	0				p								
6	6	15/2	15/2	0.0	0	0	Spanner	3/8	4	1	0												
6	6	15/2	15/2	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	55							16		
6	6	8	8	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	56							16		
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	57									
7	7	9	9	0.0	0	0	Spanner	3/8	1	1	0												12
7	7	9	9	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	58							17		12
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	59							17		12
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	60							17		12
7	7	10	10	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	61									12
7	7	9	9	0.0	0	0	Spanner	3/8	2	1	0												13
7	7	9	9	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	62							18		13
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	63							18		13
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	64							18		13
7	7	10	10	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	65									13
7	7	9	9	0.0	0	0	Spanner	3/8	3	1	0												14
7	7	9	9	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	66							19		14
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	67							19		14
7	7	10	10	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	68									14
7	7	9	9	0.0	0	0	Spanner	3/8	4	1	0												15
7	7	9	9	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	69							20		15
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	70							20		15
7	7	10	10	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	71									15
8	8	21/2	21/2	0.0	0	0	Dynamic	3/8	1	1	0				p								
8	8	21/2	21/2	0.0	0	0	Spanner	3/8	1	1	0												
8	8	21/2	21/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	72							21		
8	8	11	11	1.0	1/8	1/8	Chord	3/8	1	1	1/4	1/4	1	73									
8	8	21/2	21/2	0.0	0	0	Dynamic	3/8	2	1	0				p								
8	8	21/2	21/2	0.0	0	0	Spanner	3/8	2	1	0												
8	8	21/2	21/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	74							22		
8	8	11	11	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	75									
8	8	21/2	21/2	0.0	0	0	Spanner	3/8	3	1	0												
8	8	21/2	21/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	76							23		
8	8	11	11	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	77							23		
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	78									
8	8	21/2	21/2	0.0	0	0	Dynamic	3/8	4	1	0				p								
8	8	21/2	21/2	0.0	0	0	Dynamic	3/8	4	1	0				p								
8	8	21/2	21/2	0.0	0	0	Spanner	3/8	4	1	0												
8	8	21/2	21/2	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	79							24		
8	8	11	11	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	80							24		
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	81									
9	9	12	12	0.0	0	0	Spanner	3/8	1	1	0												16
9	9	12	12	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	82							25		16
9	9	25/2	25/2	0.0	1/8	1/8	Spanner	3/8	1	1	0										25	8	16
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	83							25	8	16
9	9	13	13	0.0	1/4	1/4	Spanner	3/8	1	1	0											8	
9	9	13	13	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	84								8	
9	9	53/4	53/4	0.0	5/16	5/16	Spanner	3/8	1	1	0												
9	9	12	12	0.0	0	0	Spanner	3/8	3	1	0												17
9	9	12	12	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	85							26		17
9	9	25/2	25/2	0.0	1/8	1/8	Spanner	3/8	3	1	0												
9	9	25/2	25/2	0.0	1/8	1/8	Spanner	3/8	3	1	0											9	
9	9	25/2	25/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4	1/4	1	86								9	
9	9	12	12	0.0	0	0	Spanner	3/8	4	1	0												18
9	9	12	12	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	87							27		18
9	9	25/2	25/2	0.0	1/8	1/8	Spanner	3/8	4	1	0										27	10	18
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	88							27	10	18
9	9	13	13	0.0	1/4	1/4	Spanner	3/8	4	1	0											10	
9	9	13	13	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	89								10	
10	10	27/2	27/2	0.0	0	0	Dynamic	3/8	1	1	0				p								
10	10	27/2	27/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	90									
10	10	27/2	27/2	0.0	0	0	Dynamic	3/8	2	1	0				p								
10	10	27/2	27/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	91							28		
10	10	14	14	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	92							28		
10	10	29/2	29/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	93									
10	10	27/2	27/2	0.0	0	0	Dynamic	3/8	3	1	0				p								
10	10	27/2	27/2	0.0	0	0	Spanner	3/8	3	1	0												
10	10	27/2	27/2	1.5	0	0	Chord	3/8	3	1	3/8	1/4	3/2	94									
10	10	27/2	27/2	0.0	0	0	Dynamic	3/8	4	1	0				p								
10	10	27/2	27/2	0.0	0	0	Spanner	3/8	4	1	0												
10	10	27/2	27/2	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	95							29		
10	10	14	14	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	96							29		
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	97									
11	11	15	15	0.0	0	0	Spanner	3/8	1	1	0												19
11	11	15	15	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	98							30		19
11	11	31/2	31/2	0.0	1/8	1/8	Spanner	3/8	1	1	0										30	11	19
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	99							30	11	19
11	11	16	16	0.0	1/4	1/4	Spanner	3/8	1	1	0											11	
11	11	16	16	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	100								11	
11	11	65/4	65/4	0.0	5/16	5/16	Spanner	3/8	1	1	0												
11	11	15	15	0.0	0	0	Spanner	3/8	3	1	0												20
11	11	15	15	0.0	0	0	Spanner	3/8	3	1	0											12	20
11	11	15	15	1.5	0	0	Chord	3/8	3	1	3/8	1/4	3/2	101								12	20
11	11	15	15	0.0	0	0	Spanner	3/8	4	1	0												21
11	11	15	15	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	102							31		21
11	11	31/2	31/2	0.0	1/8	1/8	Spanner	3/8	4	1	0										31	13	21
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	103							31	13	21
11	11	16	16	0.0	1/4	1/4	Spanner	3/8	4	1	0											13	
11	11	16	16	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	104								13	
12	12	33/2	33/2	0.0	0	0	StaffText	3/8	1	1	0						<i>cresc.</i>						
12	12	33/2	33/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	105							32		
12	12	33/2	33/2	0.0	0	0	StaffText	3/8	2	1	0						<i>cresc.</i>						
12	12	33/2	33/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	106									
12	12	17	17	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	107									
12	12	35/2	35/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	108									
12	12	33/2	33/2	0.0	0	0	StaffText	3/8	3	1	0						<i>cresc.</i>						
12	12	33/2	33/2	0.0	0	0	Spanner	3/8	3	1	0												
12	12	33/2	33/2	0.0	0	0	Spanner	3/8	3	1	0												
12	12	33/2	33/2	1.5	0	0	Chord	3/8	3	1	3/8	1/4	3/2	109									
12	12	33/2	33/2	0.0	0	0	StaffText	3/8	4	1	0						<i>cresc.</i>						
12	12	33/2	33/2	0.0	0	0	Spanner	3/8	4	1	0												
12	12	33/2	33/2	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	110							33		
12	12	17	17	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	111							33		
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	112							33		
13	13	18	18	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	113							32		
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	114							32		
13	13	19	19	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	115							32		
13	13	18	18	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	116							34		
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	117							34		
13	13	19	19	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	118							34		
13	13	18	18	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	119							35		
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	120							35		
13	13	19	19	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	121							35		
13	13	18	18	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	122							33		
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	123							33		
13	13	19	19	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	124							33		
14	14	39/2	39/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	125							32		
14	14	20	20	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	126							32		
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	127							32		
14	14	39/2	39/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	128							34		
14	14	20	20	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	129							34		
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	130							34		
14	14	39/2	39/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	131							35		
14	14	20	20	1.0	1/8	1/8	Chord	3/8	3	1	1/4	1/4	1	132							35		
14	14	39/2	39/2	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	133							33		
14	14	20	20	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	134							33		
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	135							33		
15	15	21	21	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	136							32		
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	137							32		
15	15	22	22	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	138							32		
15	15	21	21	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	139							34		
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	140							34		
15	15	22	22	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	141							34		
15	15	21	21	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	142							35		
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	143							35		
15	15	22	22	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	144							35		
15	15	21	21	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	145							33		
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	146							33		
15	15	22	22	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	147							33		
16	16	45/2	45/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	148							32		
16	16	23	23	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	149							32		
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	150							32		
16	16	45/2	45/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	151							34		
16	16	23	23	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	152							34		
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	153							34		
16	16	45/2	45/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	154							35		
16	16	23	23	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	155							35		
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	156							35		
16	16	45/2	45/2	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	157							33		
16	16	23	23	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	158							33		
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	159							33		
17	17	24	24	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	160							32		
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	161							32		
17	17	25	25	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	162									
17	17	24	24	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	163							34		
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	164							34		
17	17	25	25	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	165									
17	17	24	24	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	166							35		
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	167							35		
17	17	25	25	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	168									
17	17	24	24	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	169									
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	170									
17	17	25	25	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	171									
18	18	51/2	51/2	0.0	0	0	Dynamic	3/8	1	1	0				p								
18	18	51/2	51/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	172							36		
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	173							36		
18	18	51/2	51/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	174							37		
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	175							37		
18	18	51/2	51/2	0.0	0	0	Dynamic	3/8	3	1	0				p								
18	18	51/2	51/2	0.0	0	0	Dynamic	3/8	3	1	0				p								
18	18	51/2	51/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	176							38		
18	18	26	26	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	177							38		
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	178									
18	18	51/2	51/2	0.0	0	0	Dynamic	3/8	4	1	0				p								
18	18	51/2	51/2	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	179							39		
18	18	26	26	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	180							39		
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	181									
19	19	27	27	0.0	0	0	Spanner	3/8	1	1	0										36		22
19	19	27	27	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	182							36		22
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	183							36		22
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	184							36		22
19	19	28	28	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	185									22
19	19	27	27	0.0	0	0	Spanner	3/8	2	1	0										37		23
19	19	27	27	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	186							37		23
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	187							37		23
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	188							37		23
19	19	28	28	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	189									23
19	19	27	27	0.0	0	0	Spanner	3/8	3	1	0												24
19	19	27	27	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	190							40		24
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	191							40		24
19	19	28	28	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	192									24
19	19	27	27	0.0	0	0	Spanner	3/8	4	1	0												25
19	19	27	27	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	193							41		25
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	194							41		25
19	19	28	28	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	195									25
20	20	57/2	57/2	0.0	0	0	Dynamic	3/8	1	1	0				p								
20	20	57/2	57/2	0.0	0	0	Spanner	3/8	1	1	0												
20	20	57/2	57/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	196							42		
20	20	29	29	1.0	1/8	1/8	Chord	3/8	1	1	1/4	1/4	1	197									
20	20	57/2	57/2	0.0	0	0	Dynamic	3/8	2	1	0				p								
20	20	57/2	57/2	0.0	0	0	Spanner	3/8	2	1	0												
