mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	27							
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	28				9			
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	29				9			
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	30							
4	4	12	12	3.0	0	0	Chord	4/4	4	1	3/4		1/2	3/2	31							
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	32				10			
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	33				10			
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	34				11			
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	35							
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	36							
6	6	20	20	0.0	0	0	StaffText	4/4	1	1	0							<i>cresc.</i>	10			
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	37				10			
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	38							
6	6	20	20	0.0	0	0	StaffText	4/4	2	1	0							<i>cresc.</i>				
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	39							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	40							
6	6	20	20	0.0	0	0	StaffText	4/4	3	1	0							<i>cresc.</i>				
6	6	20	20	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	41				12			
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	42							
6	6	20	20	0.0	0	0	StaffText	4/4	4	1	0							<i>cresc.</i>				
6	6	20	20	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	43				13			
6	6	22	22	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	44							
7	7	24	24	0.0	0	0	Dynamic	4/4	1	1	0					f						
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	45							
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	1	1	0										0	
7	7	26	26	1.75	1/2	1/2	Chord	4/4	1	1	7/16		1/4	7/4	46						0	
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	47						0	
7	7	24	24	0.0	0	0	Dynamic	4/4	2	1	0					f						
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	48							
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	2	1	0										1	
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	49						1	
7	7	24	24	0.0	0	0	Dynamic	4/4	3	1	0					f						
7	7	24	24	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	50							
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	3	1	0										2	
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	51						2	
7	7	24	24	0.0	0	0	Dynamic	4/4	4	1	0					f						
7	7	24	24	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	52							
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	4	1	0										3	
7	7	26	26	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	53						3	
8	8	28	28	0.0	0	0	Dynamic	4/4	1	1	0					p						
8	8	28	28	0.0	0	0	Spanner	4/4	1	1	0											
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	54							
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	55							
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	56		articStaccatoBelow					
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	57		articStaccatoBelow					
8	8	28	28	0.0	0	0	Dynamic	4/4	2	1	0					p						
8	8	28	28	0.0	0	0	Spanner	4/4	2	1	0											
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	58							
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	59							
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	60							
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	61							
8	8	28	28	0.0	0	0	Spanner	4/4	3	1	0											
8	8	28	28	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	62							
8	8	29	29	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	63							
8	8	30	30	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	64							
8	8	31	31	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	65							
8	8	28	28	0.0	0	0	Dynamic	4/4	4	1	0					p						
8	8	28	28	0.0	0	0	Dynamic	4/4	4	1	0					p						
8	8	28	28	0.0	0	0	Spanner	4/4	4	1	0											
8	8	28	28	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	66							
8	8	30	30	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	67							
8	8	31	31	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	68							
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	69							
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	70							
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	71		articStaccatoBelow					
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	72		articStaccatoBelow					
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	73							
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	74		articStaccatoBelow					
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	75		articStaccatoBelow					
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	76							
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	77		articStaccatoBelow					
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	78		articStaccatoBelow					
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	79				14			
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	80				14			
9	9	32	32	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	81				15			
9	9	34	34	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	82				15			
9	9	32	32	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	83				16			
9	9	34	34	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	84				16			
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	85							
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	86							
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	87		articStaccatoAbove					
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	88		articStaccatoAbove					
10	10	38	38	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	89							
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	90		articStaccatoAbove					
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	91		articStaccatoAbove					
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	92							
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	93		articStaccatoAbove					
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	94		articStaccatoAbove					
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	95				14			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	96							
10	10	36	36	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	97				15			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	98							
10	10	36	36	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	99				16			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	100							
11	11	40	40	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	101							
11	11	81/2	81/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	102		articStaccatoAbove					
11	11	163/4	163/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	103		articStaccatoAbove					
11	11	41	41	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	104							
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	105		articStaccatoAbove					
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	106		articStaccatoAbove					
11	11	42	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	107							
11	11	85/2	85/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	108		articStaccatoBelow					
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	109		articStaccatoBelow					
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	110							
11	11	87/2	87/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	111		articStaccatoBelow					
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	112		articStaccatoBelow					
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	113				17			
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	114				17			
11	11	43	43	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	115				17			
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	116							
11	11	40	40	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	117				18			
11	11	42	42	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	118				18			
11	11	43	43	0.75	3/4	3/4	Chord	4/4	3	1	3/16		1/8	3/2	119				18			
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16		1/16	1	120							
11	11	40	40	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	121				19			
11	11	42	42	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	122							
12	12	44	44	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	123							
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	124		articStaccatoBelow					
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	125		articStaccatoBelow					
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	126							
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	127		articStaccatoBelow					
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	128		articStaccatoBelow					
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	129							
12	12	93/2	93/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	130		articStaccatoBelow					
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	131		articStaccatoBelow					
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	132							
12	12	95/2	95/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	133		articStaccatoAbove					
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	134		articStaccatoAbove					
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	135				20			
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	136							
12	12	44	44	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	137				21			
12	12	46	46	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	138							
12	12	44	44	3.0	0	0	Chord	4/4	4	1	3/4		1/2	3/2	139							
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	140							
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	141		articStaccatoAbove					
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	142		articStaccatoAbove					
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	143							
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	144		articStaccatoAbove					
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	145		articStaccatoAbove					
13	13	50	50	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	146							
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	147		articStaccatoAbove					
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	148		articStaccatoAbove					
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	149							
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	150		articStaccatoAbove					
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	151		articStaccatoAbove					
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	152				22			
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	153							
13	13	48	48	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	154				23			
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	155							
13	13	48	48	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	156				24			
13	13	50	50	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	157							
14	14	52	52	0.0	0	0	StaffText	4/4	1	1	0							<i>cresc.</i>				
14	14	52	52	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	158							
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	159		articStaccatoAbove					
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	160		articStaccatoAbove					
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	161							
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	162		articStaccatoAbove					
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	163		articStaccatoAbove					
14	14	54	54	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	164							
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	165		articStaccatoAbove					
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	166		articStaccatoAbove					
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	167							
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	168		articStaccatoAbove					
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	169		articStaccatoAbove					
14	14	52	52	0.0	0	0	StaffText	4/4	2	1	0							<i>cresc.</i>				
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	170				25			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	171							
14	14	52	52	0.0	0	0	StaffText	4/4	3	1	0							<i>cresc.</i>				
14	14	52	52	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	172				26			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	173							
14	14	52	52	0.0	0	0	StaffText	4/4	4	1	0							<i>cresc.</i>				
14	14	52	52	4.0	0	0	Chord	4/4	4	1	1		1	1	174							
15	15	56	56	0.0	0	0	Dynamic	4/4	1	1	0					f						
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	175							
15	15	113/2	113/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	176		articStaccatoAbove					
15	15	227/4	227/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	177		articStaccatoAbove					
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	178							
15	15	115/2	115/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	179		articStaccatoBelow					
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	180		articStaccatoBelow					
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	1	1	0										4	
15	15	58	58	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	181						4	
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	182		articStaccatoBelow				4	
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	183		articStaccatoBelow				4	
15	15	59	59	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	184						4	
15	15	119/2	119/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	185		articStaccatoBelow				4	
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	186		articStaccatoBelow				4	
15	15	56	56	0.0	0	0	Dynamic	4/4	2	1	0					f						
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	187							
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	2	1	0										5	
15	15	58	58	1.75	1/2	1/2	Chord	4/4	2	1	7/16		1/4	7/4	188						5	
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	189						5	
15	15	56	56	0.0	0	0	Dynamic	4/4	3	1	0					f						
15	15	56	56	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	190							
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	3	1	0										6	
15	15	58	58	1.75	1/2	1/2	Chord	4/4	3	1	7/16		1/4	7/4	191						6	
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16		1/16	1	192						6	
15	15	56	56	0.0	0	0	Dynamic	4/4	4	1	0					f						
15	15	56	56	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	193							
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	4	1	0										7	
15	15	58	58	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	194						7	
16	16	60	60	0.0	0	0	Dynamic	4/4	1	1	0					p						
16	16	60	60	0.0	0	0	Spanner	4/4	1	1	0											
16	16	60	60	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	195		articStaccatoBelow					
16	16	243/4	243/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	196		articStaccatoBelow					
16	16	61	61	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	197		articStaccatoBelow					
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	198		articStaccatoBelow					
16	16	62	62	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	199		articStaccatoBelow					
16	16	251/4	251/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	200		articStaccatoBelow					
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	201		articStaccatoBelow					
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	202		articStaccatoBelow					
16	16	60	60	0.0	0	0	Dynamic	4/4	2	1	0					p						
16	16	60	60	0.0	0	0	Spanner	4/4	2	1	0											
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	203							
16	16	60	60	0.0	0	0	Dynamic	4/4	3	1	0					p						
16	16	60	60	0.0	0	0	Spanner	4/4	3	1	0											
16	16	60	60	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	204							
16	16	60	60	0.0	0	0	Dynamic	4/4	4	1	0					p						
16	16	60	60	0.0	0	0	Spanner	4/4	4	1	0											
16	16	60	60	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	205							
17	17	64	64	0.0	0	0	StaffText	4/4	1	1	0							<i>sempre staccato</i>				
17	17	64	64	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	206							
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	207							
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	208							
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	209							
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	210							
17	17	267/4	267/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	211							
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	212							
17	17	271/4	271/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	213							
17	17	64	64	0.0	0	0	StaffText	4/4	2	1	0							<i>espress.</i>				
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	214				27			
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	215				27			
18	18	68	68	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	216							
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	217							
18	18	69	69	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	218							
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	219							
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	220							
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	221							
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	222							
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	223							
18	18	68	68	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	224				27			
18	18	71	71	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	225				27			
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	226							
18	18	68	68	0.0	0	0	StaffText	4/4	3	1	0							<i>espress.</i>				
18	18	68	68	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	227				28			
18	18	70	70	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	228							
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	229							
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	230							
19	19	73	73	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	231							
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	232							
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	233							
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	234							
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	235							
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	236							
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	237				29			
19	19	73	73	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	238				29			
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	239				29			
19	19	74	74	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	240				29			
19	19	75	75	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	241				29			
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	242							
19	19	72	72	4.0	0	0	Chord	4/4	3	1	1		1	1	243							
19	19	72	72	0.0	0	0	StaffText	4/4	4	1	0							<i>espress.</i>				
19	19	72	72	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	244				30			
