mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	43							5	1		
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	44							5	1		
8	8	15	15	0.0	1/4	1/4	Spanner	2/4	2	1	0											5			
8	8	15	15	0.0	1/4	1/4	Spanner	2/4	2	1	0											5		1	
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	45							5		1	
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	46									1	
8	8	14	14	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	47							6	2		
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	48							6	2		
8	8	15	15	0.0	1/4	1/4	Spanner	2/4	3	1	0											6			
8	8	15	15	0.0	1/4	1/4	Spanner	2/4	3	1	0											6		2	
8	8	15	15	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	49							6		2	
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	50									2	
8	8	14	14	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	51								3		
8	8	15	15	0.0	1/4	1/4	Spanner	2/4	4	1	0														
8	8	15	15	0.0	1/4	1/4	Spanner	2/4	4	1	0													3	
8	8	15	15	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	52									3	
9	9	16	16	0.0	0	0	Spanner	2/4	1	1	0														
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	53										
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	54							7			
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	55							7			
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	56							7			
9	9	16	16	0.0	0	0	Spanner	2/4	2	1	0														
9	9	16	16	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	57										
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	58							8			
9	9	17	17	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	59							8			
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	60										
9	9	16	16	0.0	0	0	Spanner	2/4	3	1	0														
9	9	16	16	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	61							9			
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	62							9			
9	9	17	17	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	63							9			
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	64										
9	9	16	16	0.0	0	0	Spanner	2/4	4	1	0														
9	9	16	16	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	65										
10	10	18	18	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	66							7			
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	67										
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	68										
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	69										
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	70							10			
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	71							10			
10	10	19	19	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	72							10			
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	73										
10	10	18	18	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	74							11			
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	75							11			
10	10	19	19	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	76							11			
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	77										
10	10	18	18	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	78										
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	79							12			
11	11	20	20	0.0	0	0	Spanner	2/4	1	1	0												4		
11	11	20	20	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	80								4		
11	11	21	21	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	81								4		
11	11	20	20	0.0	0	0	Spanner	2/4	2	1	0												5		
11	11	20	20	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	82								5		
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	83								5		
11	11	20	20	0.0	0	0	Spanner	2/4	3	1	0												6		
11	11	20	20	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	84								6		
11	11	21	21	1.0	1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	85								6		
11	11	20	20	0.0	0	0	Spanner	2/4	4	1	0											12	7		
11	11	20	20	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	86							12	7		
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	87							12	7		
11	11	21	21	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	88							12	7		
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	89								7		
12	12	22	22	0.0	0	0	Spanner	2/4	1	1	0														
12	12	22	22	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	90							13			
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	91										
12	12	22	22	0.0	0	0	Dynamic	2/4	2	1	0					p									
12	12	22	22	0.0	0	0	Dynamic	2/4	2	1	0					p									
12	12	22	22	0.0	0	0	Spanner	2/4	2	1	0														
12	12	22	22	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	92										
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	93										
12	12	22	22	0.0	0	0	Dynamic	2/4	3	1	0					p									
12	12	22	22	0.0	0	0	Spanner	2/4	3	1	0														
12	12	22	22	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	94										
12	12	23	23	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	95										
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	96							14			
12	12	22	22	0.0	0	0	Dynamic	2/4	4	1	0					p									
12	12	22	22	0.0	0	0	Spanner	2/4	4	1	0														
12	12	22	22	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	97										
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	98										
12	12	23	23	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	99										
13	13	24	24	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	100										
13	13	24	24	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	101										
13	13	24	24	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	102							14			
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	103							14			
13	13	25	25	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	104							14			
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	105										
13	13	24	24	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	106										
14	14	26	26	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	107							15			
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	108							15			
14	14	26	26	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	109										
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	110										
14	14	26	26	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	111							16			
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	112							16			
14	14	27	27	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	113							16			
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	114							16			
14	14	26	26	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	115										
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	116							17			
15	15	28	28	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	117							15			
15	15	29	29	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	118		ornamentTrill								
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	119										
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	120										
15	15	28	28	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	121							16			
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	122							16			
15	15	29	29	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	123							16			
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	124										
15	15	28	28	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	125							17			
15	15	29	29	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	126										
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	127							18			
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	128										
16	16	31	31	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	129							19			
16	16	125/4	125/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	130							19			
16	16	251/8	251/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	131										
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	132		articStaccatoAbove								
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	133		articStaccatoAbove								
16	16	30	30	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	134										
16	16	30	30	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	135										
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	136										
16	16	31	31	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	137										
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	138							20			
16	16	30	30	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	139										
17	17	32	32	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	140							21			
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	141							21			
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	142							21			
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	143							21			
17	17	32	32	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	144										
17	17	33	33	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	145										
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	146										
17	17	32	32	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	147							20			
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	148							20			
17	17	33	33	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	149							20			
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	150										
17	17	32	32	2.0	0	0	Chord	2/4	4	1	1/2		1/2	1	151										
18	18	34	34	0.0	0	0	StaffText	2/4	1	1	0							<i>cresc.</i>				21			
18	18	34	34	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	152							21			
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	153							21			
18	18	35	35	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	154							21			
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	155										
18	18	34	34	0.0	0	0	StaffText	2/4	2	1	0							<i>cresc.</i>							
18	18	34	34	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	156							22			
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	157							22			
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	158							22			
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	159										
18	18	34	34	0.0	0	0	StaffText	2/4	3	1	0							<i>cresc.</i>							
18	18	34	34	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	160							23			
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	161							23			
18	18	35	35	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	162							23			
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	163										
18	18	34	34	0.0	0	0	StaffText	2/4	4	1	0							<i>cresc.</i>							
18	18	34	34	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	164										
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	165							24			
18	18	35	35	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	166										
19	19	36	36	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	167							25			
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	168							25			
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	169							25			
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	170							25			
19	19	36	36	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	171							26			
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	172							26			
19	19	37	37	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	173							26			
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	174										
19	19	36	36	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	175							27			
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	176							27			
19	19	37	37	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	177							27			
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	178										
19	19	36	36	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	179										
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	180										
19	19	37	37	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	181										
20	20	38	38	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	182							25			
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	183							25			
20	20	39	39	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	184							25			
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	185							25			
20	20	38	38	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	186							28			
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	187							28			
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	188							28			
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	189										
20	20	38	38	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	190							29			
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	191							29			
20	20	39	39	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	192							29			
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	193										
20	20	38	38	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	194										
20	20	77/2	77/2	1.0	1/8	1/8	Chord	2/4	4	1	1/4		1/4	1	195										
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	196										
21	21	40	40	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	197							25			
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	198							25			
21	21	41	41	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	199							25			
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	200		articAccentBelow					25			
21	21	40	40	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	201							30			
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	202							30			
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	203							30			
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	204		articAccentBelow					30			
21	21	40	40	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	205							31			
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	206							31, 32			
21	21	41	41	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	207										
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	208		articAccentBelow								
21	21	40	40	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	209										
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	210							33			
21	21	41	41	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	211										
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	212		articAccentBelow								
22	22	42	42	0.0	0	0	Dynamic	2/4	1	1	0					p						25			
22	22	42	42	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	213							25			
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	214							25			
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	215										
22	22	43	43	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	216		articStaccatoBelow								
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	217		articStaccatoBelow								
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	218										
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	219							34			
22	22	43	43	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	220		articStaccatoBelow								
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	221		articStaccatoBelow								
22	22	42	42	0.0	0	0	Dynamic	2/4	3	1	0					p									
22	22	42	42	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	222										
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	223							35			
22	22	43	43	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	224		articStaccatoBelow								
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	225		articStaccatoBelow								
22	22	42	42	0.0	0	0	Dynamic	2/4	4	1	0					p									
22	22	42	42	0.0	0	0	Dynamic	2/4	4	1	0					p									
22	22	42	42	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	226										
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	227							36			
22	22	43	43	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	228										
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	229										
23	23	44	44	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	230										
23	23	44	44	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	231										
23	23	45	45	0.75	1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	232										
23	23	44	44	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	233										
24	24	46	46	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	234										
24	24	46	46	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	235										
24	24	47	47	0.75	1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	236										
24	24	46	46	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	237										
25	25	48	48	0.0	0	0	Spanner	2/4	1	1	0												8		
25	25	48	48	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	238							37	8		
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	239							37	8		
25	25	49	49	0.0	1/4	1/4	Spanner	2/4	1	1	0											37			
25	25	49	49	0.0	1/4	1/4	Spanner	2/4	1	1	0											37		4	
25	25	49	49	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	240							37		4	
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	241							37		4	
25	25	97/2	97/2	0.0	1/8	1/8	Spanner	2/4	2	1	0												9		
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	242							38	9		
25	25	49	49	0.0	1/4	1/4	Spanner	2/4	2	1	0											38	9	5	
25	25	49	49	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	243							38	9	5	
25	25	99/2	99/2	0.0	3/8	3/8	Spanner	2/4	2	1	0													5	
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	244									5	
25	25	97/2	97/2	0.0	1/8	1/8	Spanner	2/4	4	1	0												10		
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	245							39	10		
25	25	49	49	0.0	1/4	1/4	Spanner	2/4	4	1	0											39	10	6	
25	25	49	49	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	246							39	10	6	
25	25	99/2	99/2	0.0	3/8	3/8	Spanner	2/4	4	1	0											39		6	
