mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
3	3	9	9	0.25	1/4	1/4	Chord	4/4	4	1	1/16		1/16	1	50									
3	3	37/4	37/4	0.25	5/16	5/16	Chord	4/4	4	1	1/16		1/16	1	51									
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	4	1	1/16		1/16	1	52									
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16		1/16	1	53									
3	3	10	10	0.25	1/2	1/2	Chord	4/4	4	1	1/16		1/16	1	54									
3	3	41/4	41/4	0.25	9/16	9/16	Chord	4/4	4	1	1/16		1/16	1	55									
3	3	21/2	21/2	0.25	5/8	5/8	Chord	4/4	4	1	1/16		1/16	1	56									
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	4	1	1/16		1/16	1	57									
3	3	11	11	0.25	3/4	3/4	Chord	4/4	4	1	1/16		1/16	1	58									
3	3	45/4	45/4	0.25	13/16	13/16	Chord	4/4	4	1	1/16		1/16	1	59									
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	4	1	1/16		1/16	1	60									
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16		1/16	1	61									
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	62									
4	4	14	14	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	63		articStaccatoBelow							
4	4	57/4	57/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	64		articStaccatoBelow							
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	65		articStaccatoBelow							
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	66		articStaccatoBelow							
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	67		articStaccatoBelow							
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	68		articStaccatoBelow							
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	69									
4	4	14	14	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	70		articStaccatoBelow							
4	4	57/4	57/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	71		articStaccatoBelow							
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	72		articStaccatoBelow							
4	4	61/4	61/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	73		articStaccatoBelow							
4	4	31/2	31/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	74		articStaccatoBelow							
4	4	63/4	63/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	75		articStaccatoBelow							
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	76							8		
4	4	13	13	0.75	1/4	1/4	Chord	4/4	3	1	3/16		1/8	3/2	77							8		
4	4	55/4	55/4	0.125	7/16	7/16	Chord	4/4	3	1	1/32		1/32	1	78							8		
4	4	111/8	111/8	0.125	15/32	15/32	Chord	4/4	3	1	1/32		1/32	1	79									
4	4	14	14	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	80		articStaccatoAbove							
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	81		articStaccatoAbove							
4	4	15	15	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	82		articStaccatoAbove							
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	83		articStaccatoAbove							
4	4	12	12	0.25	0	0	Chord	4/4	4	1	1/16		1/16	1	84		articStaccatoBelow							
4	4	49/4	49/4	0.25	1/16	1/16	Chord	4/4	4	1	1/16		1/16	1	85		articStaccatoBelow							
4	4	25/2	25/2	0.25	1/8	1/8	Chord	4/4	4	1	1/16		1/16	1	86		articStaccatoBelow							
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16		1/16	1	87		articStaccatoBelow							
4	4	13	13	0.25	1/4	1/4	Chord	4/4	4	1	1/16		1/16	1	88		articStaccatoBelow							
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	4	1	1/16		1/16	1	89		articStaccatoBelow							
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	4	1	1/16		1/16	1	90		articStaccatoBelow							
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16		1/16	1	91		articStaccatoBelow							
4	4	14	14	0.25	1/2	1/2	Chord	4/4	4	1	1/16		1/16	1	92		articStaccatoBelow							
4	4	57/4	57/4	0.25	9/16	9/16	Chord	4/4	4	1	1/16		1/16	1	93		articStaccatoBelow							
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	4	1	1/16		1/16	1	94		articStaccatoBelow							
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	4	1	1/16		1/16	1	95		articStaccatoBelow							
4	4	15	15	0.25	3/4	3/4	Chord	4/4	4	1	1/16		1/16	1	96		articStaccatoBelow							
4	4	61/4	61/4	0.25	13/16	13/16	Chord	4/4	4	1	1/16		1/16	1	97		articStaccatoBelow							
4	4	31/2	31/2	0.25	7/8	7/8	Chord	4/4	4	1	1/16		1/16	1	98		articStaccatoBelow							
4	4	63/4	63/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16		1/16	1	99		articStaccatoBelow							
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	100							9		
5	5	17	17	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	101							9		
5	5	71/4	71/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	102							9		
5	5	143/8	143/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	103									
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	104		articStaccatoAbove							
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	105		articStaccatoAbove							
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	106		articStaccatoAbove							
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	107							10		
5	5	33/2	33/2	1.5	1/8	1/8	Chord	4/4	2	1	3/8		1/4	3/2	108									
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	109									
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	110									
5	5	19	19	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	111									
5	5	77/4	77/4	0.5	13/16	13/16	Chord	4/4	2	1	1/8		1/8	1	112									
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	113									
5	5	16	16	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	114							11		
5	5	16	16	0.25	0	0	Chord	4/4	3	1	1/16		1/16	1	115		articStaccatoBelow							
5	5	65/4	65/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	116		articStaccatoBelow							
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	117		articStaccatoBelow							
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	118		articStaccatoBelow							
5	5	17	17	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	119		articStaccatoBelow							
5	5	73/4	73/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16		1/16	1	120		articStaccatoBelow							
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	121		articStaccatoBelow							
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	122		articStaccatoBelow							
5	5	19	19	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	123		articStaccatoBelow							
5	5	16	16	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	124		articStaccatoBelow							
5	5	69/4	69/4	0.25	5/16	5/16	Chord	4/4	4	1	1/16		1/16	1	125		articStaccatoBelow							
5	5	35/2	35/2	0.25	3/8	3/8	Chord	4/4	4	1	1/16		1/16	1	126		articStaccatoBelow							
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16		1/16	1	127		articStaccatoBelow							
5	5	18	18	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	128		articStaccatoBelow							
5	5	77/4	77/4	0.25	13/16	13/16	Chord	4/4	4	1	1/16		1/16	1	129		articStaccatoBelow							
5	5	39/2	39/2	0.25	7/8	7/8	Chord	4/4	4	1	1/16		1/16	1	130		articStaccatoBelow							
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16		1/16	1	131		articStaccatoBelow							
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	132							12		
6	6	21	21	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	133							12		
6	6	87/4	87/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	134							12		
6	6	175/8	175/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	135									
6	6	22	22	0.0	1/2	1/2	StaffText	4/4	1	1	0							<i>cresc.</i>						
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	136		articStaccatoAbove							
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	137		articStaccatoAbove							
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	138		articStaccatoAbove							
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	139		articStaccatoAbove							
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	140							13		
6	6	41/2	41/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	141									
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	142									
6	6	22	22	0.0	1/2	1/2	StaffText	4/4	2	1	0							<i>cresc.</i>						
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	143		articStaccatoBelow							
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	144		articStaccatoBelow							
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	145		articStaccatoBelow							
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	146		articStaccatoBelow							
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	147		articStaccatoBelow							
6	6	20	20	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	148									
6	6	81/4	81/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	149		articStaccatoBelow							
6	6	41/2	41/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	150		articStaccatoBelow							
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	151		articStaccatoBelow							
6	6	21	21	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	152		articStaccatoBelow							
6	6	22	22	0.0	1/2	1/2	StaffText	4/4	3	1	0							<i>cresc.</i>						
6	6	89/4	89/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16		1/16	1	153		articStaccatoAbove							
6	6	45/2	45/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	154		articStaccatoAbove							
6	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	155		articStaccatoAbove							
6	6	23	23	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	156		articStaccatoBelow							
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	157		articStaccatoBelow							
6	6	20	20	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	158		articStaccatoBelow							
6	6	85/4	85/4	0.25	5/16	5/16	Chord	4/4	4	1	1/16		1/16	1	159		articStaccatoBelow							
6	6	43/2	43/2	0.25	3/8	3/8	Chord	4/4	4	1	1/16		1/16	1	160		articStaccatoBelow							
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16		1/16	1	161		articStaccatoBelow							
6	6	22	22	0.0	1/2	1/2	StaffText	4/4	4	1	0							<i>cresc.</i>						
6	6	22	22	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	162		articStaccatoBelow							
6	6	93/4	93/4	0.25	13/16	13/16	Chord	4/4	4	1	1/16		1/16	1	163		articStaccatoAbove							
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	4	1	1/16		1/16	1	164		articStaccatoAbove							
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16		1/16	1	165		articStaccatoAbove							
7	7	24	24	0.0	0	0	Dynamic	4/4	1	1	0					p								
7	7	24	24	0.0	0	0	Spanner	4/4	1	1	0												0	
7	7	24	24	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	166							14	0	
7	7	99/4	99/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	167							14	0	
7	7	199/8	199/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	168								0	
7	7	25	25	0.0	1/4	1/4	Spanner	4/4	1	1	0													
7	7	25	25	0.0	1/4	1/4	Spanner	4/4	1	1	0													7
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	169		articStaccatoAbove							7
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	170		articStaccatoAbove							7
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	1	1	0													
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	1	1	0												1	
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	171							15	1	
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	172							15	1	
7	7	27	27	0.0	3/4	3/4	Spanner	4/4	1	1	0											15		
7	7	27	27	0.0	3/4	3/4	Spanner	4/4	1	1	0											15		8
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	173							15		8
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	174									8
7	7	24	24	0.0	0	0	Dynamic	4/4	2	1	0					p								
7	7	24	24	0.0	0	0	Spanner	4/4	2	1	0												2	
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	175							16	2	
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	176							16	2	
7	7	25	25	0.0	1/4	1/4	Spanner	4/4	2	1	0											16		
7	7	25	25	0.0	1/4	1/4	Spanner	4/4	2	1	0											16		9
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	177							16		9
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	178									9
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	2	1	0													
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	2	1	0												3	
7	7	26	26	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	179							17	3	
7	7	107/4	107/4	0.125	11/16	11/16	Chord	4/4	2	1	1/32		1/32	1	180							17	3	
7	7	215/8	215/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	181								3	
7	7	27	27	0.0	3/4	3/4	Spanner	4/4	2	1	0													
7	7	27	27	0.0	3/4	3/4	Spanner	4/4	2	1	0													10
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	182		articStaccatoAbove							10
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	183									10
7	7	24	24	0.0	0	0	Spanner	4/4	3	1	0												4	
7	7	24	24	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	184							18	4	
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	185							18	4	
7	7	25	25	0.0	1/4	1/4	Spanner	4/4	3	1	0											18		
7	7	25	25	0.0	1/4	1/4	Spanner	4/4	3	1	0											18		11
7	7	25	25	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	186							18		11
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	187									11
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	3	1	0													
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	3	1	0												5	
7	7	26	26	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	188							19	5	
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	189							19	5	
7	7	27	27	0.0	3/4	3/4	Spanner	4/4	3	1	0											19		
7	7	27	27	0.0	3/4	3/4	Spanner	4/4	3	1	0											19		12
7	7	27	27	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	190							19		12
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	191									12
7	7	24	24	0.0	0	0	Dynamic	4/4	4	1	0					p								
7	7	24	24	0.0	0	0	Dynamic	4/4	4	1	0					p								
7	7	24	24	0.0	0	0	Spanner	4/4	4	1	0												6	
7	7	24	24	0.25	0	0	Chord	4/4	4	1	1/16		1/16	1	192		articStaccatoAbove						6	
7	7	97/4	97/4	0.25	1/16	1/16	Chord	4/4	4	1	1/16		1/16	1	193		articStaccatoAbove						6	
7	7	49/2	49/2	0.0	1/8	1/8	Spanner	4/4	4	1	0													
7	7	49/2	49/2	0.0	1/8	1/8	Spanner	4/4	4	1	0													13
7	7	49/2	49/2	0.25	1/8	1/8	Chord	4/4	4	1	1/16		1/16	1	194		articStaccatoAbove							13
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16		1/16	1	195		articStaccatoAbove							13
7	7	25	25	0.0	1/4	1/4	Spanner	4/4	4	1	0													
7	7	25	25	0.25	1/4	1/4	Chord	4/4	4	1	1/16		1/16	1	196		articStaccatoAbove							
7	7	101/4	101/4	0.25	5/16	5/16	Chord	4/4	4	1	1/16		1/16	1	197		articStaccatoAbove							
7	7	51/2	51/2	0.25	3/8	3/8	Chord	4/4	4	1	1/16		1/16	1	198		articStaccatoAbove							
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16		1/16	1	199		articStaccatoAbove							
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	4	1	0												7	
7	7	26	26	0.25	1/2	1/2	Chord	4/4	4	1	1/16		1/16	1	200								7	
7	7	105/4	105/4	0.25	9/16	9/16	Chord	4/4	4	1	1/16		1/16	1	201								7	
7	7	53/2	53/2	0.0	5/8	5/8	Spanner	4/4	4	1	0													
7	7	53/2	53/2	0.0	5/8	5/8	Spanner	4/4	4	1	0													14
7	7	53/2	53/2	0.25	5/8	5/8	Chord	4/4	4	1	1/16		1/16	1	202									14
7	7	107/4	107/4	0.25	11/16	11/16	Chord	4/4	4	1	1/16		1/16	1	203									14
7	7	27	27	0.0	3/4	3/4	Spanner	4/4	4	1	0													
7	7	27	27	0.25	3/4	3/4	Chord	4/4	4	1	1/16		1/16	1	204									
7	7	109/4	109/4	0.25	13/16	13/16	Chord	4/4	4	1	1/16		1/16	1	205									
7	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	4	1	1/16		1/16	1	206									
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16		1/16	1	207									
8	8	28	28	0.0	0	0	Dynamic	4/4	1	1	0					p								
8	8	28	28	0.0	0	0	Spanner	4/4	1	1	0													
8	8	28	28	0.0	0	0	Spanner	4/4	1	1	0												8	
8	8	28	28	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	208							20	8	
8	8	115/4	115/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	209							20	8	
8	8	231/8	231/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	210								8	
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	211		articStaccatoAbove						8	
8	8	59/2	59/2	0.0	3/8	3/8	Spanner	4/4	1	1	0													
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	212		articStaccatoAbove							
8	8	30	30	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	213		articStaccatoAbove							
