mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible
19	18	75	75	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	184						
19	18	151/2	151/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	185						
19	18	72	72	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	186		articStaccatoAbove				
19	18	73	73	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	187		articStaccatoBelow				
19	18	74	74	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	188		articStaccatoAbove				
19	18	75	75	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	189		articStaccatoBelow				
20	19	76	76	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	190						
20	19	153/2	153/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	191						
20	19	77	77	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	192						
20	19	155/2	155/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	193						
20	19	78	78	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	194						
20	19	157/2	157/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	195						
20	19	79	79	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	196						
20	19	159/2	159/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	197						
20	19	76	76	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	198		articStaccatoAbove				
20	19	77	77	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	199		articStaccatoBelow				
20	19	78	78	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	200		articStaccatoAbove				
20	19	79	79	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	201		articStaccatoBelow				
21	20	80	80	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	202						
21	20	161/2	161/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	203						
21	20	81	81	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	204						
21	20	163/2	163/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	205						
21	20	82	82	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	206						
21	20	165/2	165/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	207						
21	20	83	83	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	208						
21	20	167/2	167/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	209						
21	20	80	80	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	210						
21	20	161/2	161/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	211						
21	20	81	81	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	212						
21	20	163/2	163/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	213						
21	20	82	82	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	214						
21	20	165/2	165/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	215						
21	20	83	83	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	216						
21	20	167/2	167/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	217						
21	20	80	80	2.0	0	0	Chord	2/2	4	1	1/2		1/2	1	218						
21	20	82	82	0.0	1/2	1/2	StaffText	2/2	4	1	0							<i>crescendo poco a poco</i>			
21	20	82	82	0.5	1/2	1/2	Chord	2/2	4	1	1/8		1/8	1	219						
21	20	165/2	165/2	0.5	5/8	5/8	Chord	2/2	4	1	1/8		1/8	1	220						
21	20	83	83	0.5	3/4	3/4	Chord	2/2	4	1	1/8		1/8	1	221						
21	20	167/2	167/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	222						
22	21	84	84	0.0	0	0	StaffText	2/2	2	1	0							<i>sempre piu crescendo</i>			
22	21	84	84	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	223						
22	21	169/2	169/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	224						
22	21	85	85	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	225						
22	21	171/2	171/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	226						
22	21	86	86	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	227						
22	21	173/2	173/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	228						
22	21	87	87	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	229						
22	21	175/2	175/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	230						
22	21	84	84	0.0	0	0	StaffText	2/2	3	1	0							<i>sempre piu crescendo</i>			
22	21	84	84	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	231						
22	21	169/2	169/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	232						
22	21	85	85	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	233						
22	21	171/2	171/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	234						
22	21	86	86	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	235						
22	21	173/2	173/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	236						
22	21	87	87	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	237						
22	21	175/2	175/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	238						
22	21	84	84	0.5	0	0	Chord	2/2	4	1	1/8		1/8	1	239						
22	21	169/2	169/2	0.5	1/8	1/8	Chord	2/2	4	1	1/8		1/8	1	240						
22	21	85	85	1.0	1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	241						
22	21	173/2	173/2	0.5	5/8	5/8	Chord	2/2	4	1	1/8		1/8	1	242						
22	21	87	87	0.5	3/4	3/4	Chord	2/2	4	1	1/8		1/8	1	243						
22	21	175/2	175/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	244						
23	22	88	88	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	245						
23	22	177/2	177/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	246						
23	22	89	89	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	247						
23	22	179/2	179/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	248						
23	22	90	90	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	249						
23	22	181/2	181/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	250						
23	22	91	91	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	251						
23	22	183/2	183/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	252						
23	22	88	88	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	253						
23	22	177/2	177/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	254						
23	22	89	89	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	255						
23	22	179/2	179/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	256						
23	22	90	90	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	257						
23	22	181/2	181/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	258						
23	22	91	91	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	259						
23	22	183/2	183/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	260						
23	22	88	88	0.5	0	0	Chord	2/2	4	1	1/8		1/8	1	261						
23	22	177/2	177/2	0.5	1/8	1/8	Chord	2/2	4	1	1/8		1/8	1	262						
23	22	89	89	1.0	1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	263						
23	22	181/2	181/2	0.5	5/8	5/8	Chord	2/2	4	1	1/8		1/8	1	264						
23	22	91	91	0.5	3/4	3/4	Chord	2/2	4	1	1/8		1/8	1	265						
23	22	183/2	183/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	266						
24	23	92	92	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	267						
24	23	185/2	185/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	268						
24	23	93	93	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	269						
24	23	187/2	187/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	270						
24	23	94	94	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	271						
24	23	189/2	189/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	272						
24	23	95	95	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	273						
24	23	191/2	191/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	274						
24	23	92	92	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	275						
24	23	185/2	185/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	276						
24	23	93	93	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	277						
24	23	187/2	187/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	278						
24	23	94	94	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	279						
24	23	189/2	189/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	280						
24	23	95	95	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	281						
24	23	191/2	191/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	282						
24	23	92	92	0.5	0	0	Chord	2/2	4	1	1/8		1/8	1	283						
24	23	185/2	185/2	0.5	1/8	1/8	Chord	2/2	4	1	1/8		1/8	1	284						
