mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	80								
8	8	21	21	0.0	0	0	Spanner	6/8	4	1	0										3	
8	8	21	21	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	81							3	
8	8	45/2	45/2	0.0	3/8	3/8	StaffText	6/8	4	1	0					<b><i>p</i></b>						
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	6/8	4	1	0											
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	82								
9	9	24	24	0.0	0	0	Spanner	6/8	1	1	0										4	
9	9	24	24	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	83							4	
9	9	25	25	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	84							4	
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	85						16	4	
9	9	26	26	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	86						16	4	
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	87							4	
9	9	24	24	0.0	0	0	Spanner	6/8	2	1	0										5	
9	9	24	24	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	88						17	5	
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	89							5	
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	90							5	
9	9	24	24	0.0	0	0	Spanner	6/8	3	1	0										6	
9	9	24	24	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	91						18	6	
9	9	25	25	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	92						18	6	
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	93							6	
9	9	24	24	0.0	0	0	Spanner	6/8	4	1	0										7	
9	9	24	24	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	94							7	
9	9	51/2	51/2	1.0	3/8	3/8	Chord	6/8	4	1	1/4	1/4	1	95							7	
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	96							7	
10	10	27	27	0.0	0	0	StaffText	6/8	1	1	0					<b><i>p</i></b>						
10	10	27	27	0.0	0	0	Spanner	6/8	1	1	0											
10	10	27	27	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	97						19		
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	98						19		
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	99								
10	10	57/2	57/2	0.0	3/8	3/8	Spanner	6/8	1	1	0										8	
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	100							8	
10	10	27	27	0.0	0	0	StaffText	6/8	2	1	0					<b><i>p</i></b>						
10	10	27	27	0.0	0	0	Spanner	6/8	2	1	0											
10	10	27	27	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	101						20		
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	102								
10	10	57/2	57/2	0.0	3/8	3/8	Spanner	6/8	2	1	0										9	
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	103							9	
10	10	27	27	0.0	0	0	StaffText	6/8	3	1	0					<b><i>p</i></b>						
10	10	27	27	0.0	0	0	Spanner	6/8	3	1	0											
10	10	27	27	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	104						21		
10	10	28	28	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	105						21		
10	10	57/2	57/2	0.0	3/8	3/8	Spanner	6/8	3	1	0										10	
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	106							10	
10	10	27	27	0.0	0	0	StaffText	6/8	4	1	0					<b><i>p</i></b>						
10	10	27	27	0.0	0	0	Spanner	6/8	4	1	0											
10	10	27	27	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	107								
10	10	57/2	57/2	0.0	3/8	3/8	Spanner	6/8	4	1	0										11	
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	108						22	11	
10	10	29	29	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	109						22	11	
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	110						22	11	
11	11	30	30	0.0	0	0	Spanner	6/8	1	1	0											
11	11	30	30	0.0	0	0	Spanner	6/8	1	1	0											0
11	11	30	30	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	111						23		0
11	11	31	31	0.0	1/4	1/4	Spanner	6/8	1	1	0											
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	112								
11	11	63/2	63/2	0.0	3/8	3/8	Spanner	6/8	1	1	0										12	
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	113						24	12	
11	11	32	32	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	114						24	12	
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	115						24	12	
11	11	30	30	0.0	0	0	Spanner	6/8	2	1	0											1
11	11	30	30	0.0	0	0	Spanner	6/8	2	1	0											1
11	11	30	30	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	116								1
11	11	63/2	63/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											
11	11	63/2	63/2	0.0	3/8	3/8	Spanner	6/8	2	1	0										13	
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	117						25	13	
11	11	32	32	1.0	1/2	1/2	Chord	6/8	2	1	1/4	1/4	1	118							13	
11	11	30	30	0.0	0	0	Spanner	6/8	3	1	0											
11	11	30	30	0.0	0	0	Spanner	6/8	3	1	0											2
11	11	30	30	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	119						26		2
11	11	31	31	0.0	1/4	1/4	Spanner	6/8	3	1	0									26		
11	11	31	31	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	120						26		
11	11	63/2	63/2	0.0	3/8	3/8	Spanner	6/8	3	1	0									26	14	
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	121						26	14	
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	122							14	
11	11	30	30	0.0	0	0	Spanner	6/8	4	1	0									22		
11	11	30	30	0.0	0	0	Spanner	6/8	4	1	0									22		3
11	11	30	30	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	123						22		3
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	124						22		3
11	11	31	31	0.0	1/4	1/4	Spanner	6/8	4	1	0											
11	11	31	31	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	125								
11	11	63/2	63/2	0.0	3/8	3/8	Spanner	6/8	4	1	0										15	
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	4	1	1/4	1/4	1	126						27	15	
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	127							15	
12	12	33	33	0.0	0	0	Spanner	6/8	1	1	0									24		
12	12	33	33	0.0	0	0	Spanner	6/8	1	1	0									24		4
12	12	33	33	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	128						24		4
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	129						24		4
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	130								4
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	131						28		
12	12	35	35	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	132						28		
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	133								
12	12	33	33	0.0	0	0	Spanner	6/8	2	1	0											
12	12	33	33	0.0	0	0	Spanner	6/8	2	1	0											5
12	12	33	33	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	134						29		5
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	135						29		5
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	136								5
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	137						30		
12	12	35	35	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	138								
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	139								
12	12	33	33	0.0	0	0	Spanner	6/8	3	1	0											
12	12	33	33	0.0	0	0	Spanner	6/8	3	1	0											6
12	12	33	33	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	140						31		6
12	12	34	34	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	141								6
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	6/8	3	1	0											
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	142						32		
12	12	35	35	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	143						32		
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	144								
12	12	33	33	0.0	0	0	Spanner	6/8	4	1	0											
12	12	33	33	0.0	0	0	Spanner	6/8	4	1	0											7
12	12	33	33	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	145								7
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	6/8	4	1	0											
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	146								
12	12	35	35	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	147								
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	148								
13	13	36	36	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	149						33		
13	13	73/2	73/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	150						33		
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	151								
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	152						34		
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	153								
13	13	36	36	0.0	0	0	StaffText	6/8	2	1	0					"<font size=""12""/><i>dim.</i>"						
13	13	36	36	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	154						35		
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	155								
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	156								
13	13	36	36	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><i>dim.</i>"						
13	13	36	36	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	157								
13	13	73/2	73/2	1.0	1/8	1/8	Chord	6/8	3	1	1/4	1/4	1	158								
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	159								
13	13	36	36	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""12""/><i>dim.</i>"						
13	13	36	36	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""12""/><i>dim.</i>"						
13	13	36	36	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	160						36		
13	13	73/2	73/2	1.0	1/8	1/8	Chord	6/8	4	1	1/4	1/4	1	161								
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	162						37		
14	14	39	39	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	163						38		
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	164						38		
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	165								
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	166						39		
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	167								
14	14	39	39	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	168								
14	14	81/2	81/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	169								
14	14	39	39	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	170						40		
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	171						40		
14	14	41	41	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	172						40		
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	173								
14	14	39	39	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	174						37		
14	14	81/2	81/2	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	175								
15	15	42	42	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""12""/><i>cresc.</i>"						
15	15	42	42	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	176						41		
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	177								
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	178						42		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	179								
15	15	42	42	0.0	0	0	StaffText	6/8	2	1	0					"<font size=""12""/><i>cresc.</i>"						
15	15	42	42	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	180						43		
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	181								
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	182								
15	15	42	42	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><i>cresc.</i>"						
15	15	42	42	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	183						44		
15	15	43	43	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	184								
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	185						45		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	186								
15	15	42	42	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""12""/><i>cresc.</i>"						
15	15	42	42	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	187								
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	188						46		
15	15	43	43	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	189								
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	4	1	1/4	1/4	1	190						47		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	191								
16	16	45	45	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	192						48		
16	16	46	46	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	193								
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	194						49		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	195								
16	16	45	45	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	196								
16	16	93/2	93/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	197								
16	16	45	45	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	198						50		
16	16	46	46	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	199								
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	200						51		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	201								
16	16	45	45	1.0	0	0	Chord	6/8	4	1	1/4	1/4	1	202						52		
16	16	46	46	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	203								
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	4	1	1/4	1/4	1	204						53		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	205								
17	17	48	48	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
17	17	48	48	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	206						54		
17	17	49	49	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	207								
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	208						55		
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	209								
17	17	48	48	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	210						56		
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	211						56		
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	212								
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	213						57		
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	214								
17	17	48	48	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
17	17	48	48	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
17	17	48	48	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	215						58		
