mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
11	11	22	31	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	125							19		
11	11	45/2	63/2	0.0		3/8	3/8	Dynamic	6/8	3	1	0					fp						19		
11	11	45/2	63/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	126							19		
11	11	23	32	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	127							19		
11	11	47/2	65/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	128									
11	11	21	30	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	129									
11	11	45/2	63/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					f								
11	11	45/2	63/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	130									
12	12	24	33	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	131							20		
12	12	49/2	67/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	132							20		
12	12	25	34	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	133							20		
12	12	51/2	69/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	134							20		
12	12	26	35	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	135							20		
12	12	53/2	71/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	136									
12	12	24	33	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	137									
12	12	51/2	69/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	138							21		
12	12	26	35	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	139							21		
12	12	53/2	71/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	140									
12	12	24	33	0.5		0	0	Chord	6/8	3	1	1/8		1/8	1	141							22		
12	12	49/2	67/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	142							22		
12	12	25	34	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	143							22		
12	12	51/2	69/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	144							22		
12	12	26	35	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	145							22		
12	12	53/2	71/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	146									
12	12	24	33	0.0		0	0	Dynamic	6/8	4	1	0					p								
12	12	24	33	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	147									
12	12	51/2	69/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	148									
13	13	27	36	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	149							23		
13	13	55/2	73/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	150							23		
13	13	28	37	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	151									
13	13	57/2	75/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	152							24		
13	13	27	36	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	153									
13	13	57/2	75/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	154							25		
13	13	29	38	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	155							25		
13	13	59/2	77/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	156							25		
13	13	27	36	0.5		0	0	Chord	6/8	3	1	1/8		1/8	1	157							26		
13	13	55/2	73/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	158							26		
13	13	28	37	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	159									
13	13	57/2	75/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	160							27		
13	13	29	38	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	161							27		
13	13	59/2	77/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	162							27		
13	13	27	36	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	163									
13	13	28	37	0.0		1/4	1/4	StaffText	6/8	4	1	0							"<font size=""11""/>arco"						
13	13	57/2	75/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	164									
14	14	30	39	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	165									
14	14	31	40	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	166									
14	14	63/2	81/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					sfp								
14	14	63/2	81/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	167							28		
14	14	32	41	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	168							28		
14	14	65/2	83/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	169							28		
14	14	30	39	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	170							25		
14	14	61/2	79/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	171							25		
14	14	31	40	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	172									
14	14	63/2	81/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0					sfp								
14	14	63/2	81/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	173							29		
14	14	30	39	0.5		0	0	Chord	6/8	3	1	1/8		1/8	1	174							27		
14	14	61/2	79/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	175							27		
14	14	31	40	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	176									
14	14	63/2	81/2	0.0		3/8	3/8	Dynamic	6/8	3	1	0					sfp								
14	14	63/2	81/2	1.5		3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	177							30		
14	14	30	39	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	178									
14	14	31	40	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	179									
14	14	63/2	81/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					sfp								
14	14	63/2	81/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	180							31		
14	14	32	41	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	181							31		
14	14	65/2	83/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	182									
15	15	33	42	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	183							28		
15	15	67/2	85/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	184							28		
15	15	34	43	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	185									
15	15	69/2	87/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	186							32		
15	15	33	42	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	187									
15	15	69/2	87/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	188							33		
15	15	35	44	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	189							33		
15	15	71/2	89/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	190							33		
15	15	33	42	1.5		0	0	Chord	6/8	3	1	3/8		1/4	3/2	191									
15	15	69/2	87/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	192							34		
15	15	35	44	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	193							34		
15	15	71/2	89/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	194							34		
15	15	33	42	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	195									
15	15	69/2	87/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8		1/4	3/2	196									
16	16	36	45	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	197									
16	16	37	46	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	198									
16	16	75/2	93/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					sfp								
16	16	75/2	93/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	199							35		
16	16	38	47	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	200							35		
16	16	77/2	95/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	201							35		
16	16	36	45	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	202							33		
16	16	73/2	91/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	203							33		
16	16	37	46	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	204									
16	16	75/2	93/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0					sfp								
16	16	75/2	93/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	205							36		
16	16	36	45	0.5		0	0	Chord	6/8	3	1	1/8		1/8	1	206							34		
16	16	73/2	91/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	207							34		
16	16	37	46	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	208									
16	16	75/2	93/2	0.0		3/8	3/8	Dynamic	6/8	3	1	0					sfp								
16	16	75/2	93/2	1.5		3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	209							37		
16	16	36	45	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	210									
16	16	37	46	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	211									
16	16	75/2	93/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					sfp								
16	16	75/2	93/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	212							38		
16	16	38	47	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	213							38		
16	16	77/2	95/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	214									
17	17	39	48	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	215							35		
17	17	79/2	97/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	216							35		
17	17	40	49	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	217									
17	17	81/2	99/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					sfp								
17	17	81/2	99/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	218							39		
17	17	41	50	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	219							39		
17	17	83/2	101/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	220							39		
17	17	39	48	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	221									
17	17	81/2	99/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0					sfp								
17	17	81/2	99/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	222							40		
17	17	39	48	1.5		0	0	Chord	6/8	3	1	3/8		1/4	3/2	223									
17	17	81/2	99/2	0.0		3/8	3/8	Dynamic	6/8	3	1	0					sfp								
17	17	81/2	99/2	1.5		3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	224							41		
17	17	39	48	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	225									
17	17	81/2	99/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					sfp								
17	17	81/2	99/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	226							42		
17	17	41	50	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	227							42		
17	17	83/2	101/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	228									
18	18	42	51	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	229							39		
18	18	85/2	103/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	230							39		
18	18	43	52	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	231									
18	18	87/2	105/2	0.0		3/8	3/8	StaffText	6/8	1	1	0							<i>cresc.</i>						
18	18	87/2	105/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	232							43		
18	18	44	53	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	233							43		
18	18	89/2	107/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	234									
18	18	42	51	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	235									
18	18	87/2	105/2	0.0		3/8	3/8	StaffText	6/8	2	1	0							<i>cresc.</i>						
18	18	87/2	105/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	236									
18	18	89/2	107/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	237									
18	18	42	51	1.5		0	0	Chord	6/8	3	1	3/8		1/4	3/2	238									
18	18	87/2	105/2	0.0		3/8	3/8	StaffText	6/8	3	1	0							<i>cresc.</i>						
18	18	87/2	105/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	239									
18	18	89/2	107/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	240									
18	18	42	51	1.5		0	0	Chord	6/8	4	1	3/8		1/4	3/2	241									
18	18	87/2	105/2	0.0		3/8	3/8	StaffText	6/8	4	1	0							<i>cresc.</i>						
18	18	87/2	105/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	242							44		
18	18	44	53	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	243							44		
18	18	89/2	107/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	244									
19	19	45	54	0.0		0	0	Dynamic	6/8	1	1	0					p								
19	19	45	54	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	245							45		
19	19	46	55	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	246							45		
19	19	93/2	111/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	247							45		
19	19	95/2	113/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	248									
19	19	45	54	0.0		0	0	Dynamic	6/8	2	1	0					p								
19	19	45	54	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	249									
19	19	46	55	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	250									
19	19	93/2	111/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	251									
19	19	95/2	113/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	252									
19	19	45	54	0.0		0	0	Dynamic	6/8	3	1	0					p								
19	19	45	54	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	253							46		
19	19	46	55	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	254									
