mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	decrescendo_hairpin	crescendo_hairpin
1	1	1	1	0.5	1/4	1/4	Chord	9/8	4	1	1/8			1/8	1	20		articStaccatoAbove					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	4	1	1/8			1/8	1	21		articStaccatoAbove			7		
1	1	2	2	0.5	1/2	1/2	Chord	9/8	4	1	1/8			1/8	1	22		articStaccatoAbove			7		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	4	1	1/8			1/8	1	23		articStaccatoAbove					
1	1	3	3	0.5	3/4	3/4	Chord	9/8	4	1	1/8			1/8	1	24		articStaccatoAbove			8		
1	1	7/2	7/2	0.5	7/8	7/8	Chord	9/8	4	1	1/8			1/8	1	25		articStaccatoAbove			8		
1	1	4	4	0.5	1	1	Chord	9/8	4	1	1/8			1/8	1	26		articStaccatoAbove					
2	2	9/2	9/2	0.0	0	0	Dynamic	9/8	1	1	0						pp						
2	2	9/2	9/2	0.0	0	0	Spanner	9/8	1	1	0												0
2	2	9/2	9/2	3.0	0	0	Chord	9/8	1	1	3/4			1/2	3/2	27							0
2	2	15/2	15/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8			1/4	3/2	28							0
2	2	9/2	9/2	0.0	0	0	Spanner	9/8	2	1	0												1
2	2	9/2	9/2	0.5	0	0	Chord	9/8	2	1	1/8			1/8	1	29							1
2	2	5	5	0.5	1/8	1/8	Chord	9/8	2	1	1/8			1/8	1	30							1
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8			1/8	1	31							1
2	2	6	6	0.5	3/8	3/8	Chord	9/8	2	1	1/8			1/8	1	32							1
2	2	13/2	13/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8			1/8	1	33							1
2	2	7	7	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	34							1
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8			1/8	1	35							1
2	2	8	8	0.5	7/8	7/8	Chord	9/8	2	1	1/8			1/8	1	36							1
2	2	17/2	17/2	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	37							1
2	2	9/2	9/2	0.0	0	0	Spanner	9/8	3	1	0												2
2	2	9/2	9/2	0.5	0	0	Chord	9/8	3	1	1/8			1/8	1	38							2
2	2	5	5	0.5	1/8	1/8	Chord	9/8	3	1	1/8			1/8	1	39							2
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	3	1	1/8			1/8	1	40							2
2	2	6	6	0.5	3/8	3/8	Chord	9/8	3	1	1/8			1/8	1	41							2
2	2	13/2	13/2	0.5	1/2	1/2	Chord	9/8	3	1	1/8			1/8	1	42							2
2	2	7	7	0.5	5/8	5/8	Chord	9/8	3	1	1/8			1/8	1	43							2
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	3	1	1/8			1/8	1	44							2
2	2	8	8	0.5	7/8	7/8	Chord	9/8	3	1	1/8			1/8	1	45							2
2	2	17/2	17/2	0.5	1	1	Chord	9/8	3	1	1/8			1/8	1	46							2
2	2	9/2	9/2	0.0	0	0	Spanner	9/8	4	1	0												3
2	2	9/2	9/2	0.5	0	0	Chord	9/8	4	1	1/8			1/8	1	47							3
2	2	5	5	0.5	1/8	1/8	Chord	9/8	4	1	1/8			1/8	1	48							3
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	4	1	1/8			1/8	1	49							3
2	2	6	6	0.5	3/8	3/8	Chord	9/8	4	1	1/8			1/8	1	50							3
2	2	13/2	13/2	0.5	1/2	1/2	Chord	9/8	4	1	1/8			1/8	1	51							3
2	2	7	7	0.5	5/8	5/8	Chord	9/8	4	1	1/8			1/8	1	52							3
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	4	1	1/8			1/8	1	53							3
2	2	8	8	0.5	7/8	7/8	Chord	9/8	4	1	1/8			1/8	1	54							3
2	2	17/2	17/2	0.5	1	1	Chord	9/8	4	1	1/8			1/8	1	55							3
3	3	9	9	0.0	0	0	Spanner	9/8	1	1	0												
3	3	9	9	1.5	0	0	Chord	9/8	1	1	3/8			1/4	3/2	56					9		
3	3	21/2	21/2	0.0	3/8	3/8	Spanner	9/8	1	1	0										9	0	
3	3	21/2	21/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8			1/4	3/2	57					9	0	
3	3	12	12	1.5	3/4	3/4	Chord	9/8	1	1	3/8			1/4	3/2	58						0	
3	3	9	9	0.0	0	0	Spanner	9/8	2	1	0												
3	3	9	9	0.0	0	0	Spanner	9/8	2	1	0											1	
3	3	9	9	0.5	0	0	Chord	9/8	2	1	1/8			1/8	1	59						1	
3	3	19/2	19/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8			1/8	1	60						1	
3	3	10	10	0.5	1/4	1/4	Chord	9/8	2	1	1/8			1/8	1	61						1	
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8			1/8	1	62						1	
3	3	11	11	0.5	1/2	1/2	Chord	9/8	2	1	1/8			1/8	1	63						1	
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	64						1	
3	3	12	12	0.5	3/4	3/4	Chord	9/8	2	1	1/8			1/8	1	65						1	
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8			1/8	1	66						1	
3	3	13	13	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	67						1	
3	3	9	9	0.0	0	0	Spanner	9/8	3	1	0												
3	3	9	9	0.0	0	0	Spanner	9/8	3	1	0											2	
3	3	9	9	0.5	0	0	Chord	9/8	3	1	1/8			1/8	1	68						2	
3	3	19/2	19/2	0.5	1/8	1/8	Chord	9/8	3	1	1/8			1/8	1	69						2	
3	3	10	10	0.5	1/4	1/4	Chord	9/8	3	1	1/8			1/8	1	70						2	
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	3	1	1/8			1/8	1	71						2	
3	3	11	11	0.5	1/2	1/2	Chord	9/8	3	1	1/8			1/8	1	72						2	
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	3	1	1/8			1/8	1	73						2	
3	3	12	12	0.5	3/4	3/4	Chord	9/8	3	1	1/8			1/8	1	74						2	
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	3	1	1/8			1/8	1	75						2	
3	3	13	13	0.5	1	1	Chord	9/8	3	1	1/8			1/8	1	76						2	
3	3	9	9	0.0	0	0	Spanner	9/8	4	1	0												
3	3	9	9	0.0	0	0	Spanner	9/8	4	1	0											3	
3	3	9	9	0.5	0	0	Chord	9/8	4	1	1/8			1/8	1	77						3	
3	3	19/2	19/2	0.5	1/8	1/8	Chord	9/8	4	1	1/8			1/8	1	78						3	
3	3	10	10	0.5	1/4	1/4	Chord	9/8	4	1	1/8			1/8	1	79						3	
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	4	1	1/8			1/8	1	80						3	
3	3	11	11	0.5	1/2	1/2	Chord	9/8	4	1	1/8			1/8	1	81						3	
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	4	1	1/8			1/8	1	82						3	
3	3	12	12	0.5	3/4	3/4	Chord	9/8	4	1	1/8			1/8	1	83						3	
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	4	1	1/8			1/8	1	84						3	
3	3	13	13	0.5	1	1	Chord	9/8	4	1	1/8			1/8	1	85						3	
4	4	27/2	27/2	0.0	0	0	Spanner	9/8	1	1	0												
4	4	27/2	27/2	1.5	0	0	Chord	9/8	1	1	3/8			1/4	3/2	86					10		
4	4	15	15	1.0	3/8	3/8	Chord	9/8	1	1	1/4			1/4	1	87					10		
4	4	16	16	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	88					10		
4	4	65/4	65/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	89							
4	4	33/2	33/2	0.25	3/4	3/4	Chord	9/8	1	1	1/16			1/16	1	90					11		
4	4	67/4	67/4	0.125	13/16	13/16	Chord	9/8	1	1	1/32			1/32	1	91					11		
4	4	135/8	135/8	0.125	27/32	27/32	Chord	9/8	1	1	1/32			1/32	1	92					11		
4	4	17	17	0.25	7/8	7/8	Chord	9/8	1	1	1/16			1/16	1	93					11		
4	4	69/4	69/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16			1/16	1	94					11		
4	4	35/2	35/2	0.25	1	1	Chord	9/8	1	1	1/16			1/16	1	95					11		
4	4	71/4	71/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16			1/16	1	96							
4	4	27/2	27/2	0.0	0	0	Spanner	9/8	2	1	0												
4	4	27/2	27/2	0.5	0	0	Chord	9/8	2	1	1/8			1/8	1	97							
4	4	14	14	0.5	1/8	1/8	Chord	9/8	2	1	1/8			1/8	1	98							
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8			1/8	1	99							
4	4	15	15	0.5	3/8	3/8	Chord	9/8	2	1	1/8			1/8	1	100							
4	4	31/2	31/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8			1/8	1	101							
4	4	16	16	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	102							
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8			1/8	1	103							
4	4	17	17	0.5	7/8	7/8	Chord	9/8	2	1	1/8			1/8	1	104							
4	4	35/2	35/2	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	105							
4	4	27/2	27/2	0.0	0	0	Spanner	9/8	3	1	0												
4	4	27/2	27/2	0.5	0	0	Chord	9/8	3	1	1/8			1/8	1	106							
4	4	14	14	0.5	1/8	1/8	Chord	9/8	3	1	1/8			1/8	1	107							
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	3	1	1/8			1/8	1	108							
4	4	15	15	0.5	3/8	3/8	Chord	9/8	3	1	1/8			1/8	1	109							
4	4	31/2	31/2	0.5	1/2	1/2	Chord	9/8	3	1	1/8			1/8	1	110							
4	4	16	16	0.5	5/8	5/8	Chord	9/8	3	1	1/8			1/8	1	111							
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	3	1	1/8			1/8	1	112							
4	4	17	17	0.5	7/8	7/8	Chord	9/8	3	1	1/8			1/8	1	113							
4	4	35/2	35/2	0.5	1	1	Chord	9/8	3	1	1/8			1/8	1	114							
4	4	27/2	27/2	0.0	0	0	Spanner	9/8	4	1	0												
4	4	27/2	27/2	0.5	0	0	Chord	9/8	4	1	1/8			1/8	1	115							
4	4	14	14	0.5	1/8	1/8	Chord	9/8	4	1	1/8			1/8	1	116							
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	4	1	1/8			1/8	1	117							
4	4	15	15	0.5	3/8	3/8	Chord	9/8	4	1	1/8			1/8	1	118							
4	4	31/2	31/2	0.5	1/2	1/2	Chord	9/8	4	1	1/8			1/8	1	119							
4	4	16	16	0.5	5/8	5/8	Chord	9/8	4	1	1/8			1/8	1	120							
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	4	1	1/8			1/8	1	121							
4	4	17	17	0.5	7/8	7/8	Chord	9/8	4	1	1/8			1/8	1	122							
4	4	35/2	35/2	0.5	1	1	Chord	9/8	4	1	1/8			1/8	1	123							
5	5	18	18	1.5	0	0	Chord	9/8	1	1	3/8			1/4	3/2	124					12		
5	5	39/2	39/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8			1/4	3/2	125					12		
5	5	21	21	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	126							
5	5	43/2	43/2	0.25	7/8	7/8	Chord	9/8	1	1	1/16			1/16	1	127					13		
5	5	87/4	87/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16			1/16	1	128					13		
5	5	22	22	0.25	1	1	Chord	9/8	1	1	1/16			1/16	1	129					13		
5	5	89/4	89/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16			1/16	1	130							
5	5	18	18	0.5	0	0	Chord	9/8	2	1	1/8			1/8	1	131							
5	5	37/2	37/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8			1/8	1	132							
5	5	19	19	0.5	1/4	1/4	Chord	9/8	2	1	1/8			1/8	1	133							
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8			1/8	1	134							
5	5	20	20	0.5	1/2	1/2	Chord	9/8	2	1	1/8			1/8	1	135							
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	136							
5	5	21	21	0.5	3/4	3/4	Chord	9/8	2	1	1/8			1/8	1	137					14		
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8			1/8	1	138					14		
5	5	22	22	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	139							
5	5	18	18	0.5	0	0	Chord	9/8	3	1	1/8			1/8	1	140							
5	5	37/2	37/2	0.5	1/8	1/8	Chord	9/8	3	1	1/8			1/8	1	141							
5	5	19	19	0.5	1/4	1/4	Chord	9/8	3	1	1/8			1/8	1	142							
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	3	1	1/8			1/8	1	143							
5	5	20	20	0.5	1/2	1/2	Chord	9/8	3	1	1/8			1/8	1	144							
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	3	1	1/8			1/8	1	145							
5	5	21	21	0.5	3/4	3/4	Chord	9/8	3	1	1/8			1/8	1	146							
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	3	1	1/8			1/8	1	147							
5	5	22	22	0.5	1	1	Chord	9/8	3	1	1/8			1/8	1	148							
5	5	18	18	0.5	0	0	Chord	9/8	4	1	1/8			1/8	1	149							
5	5	37/2	37/2	0.5	1/8	1/8	Chord	9/8	4	1	1/8			1/8	1	150							
5	5	19	19	0.5	1/4	1/4	Chord	9/8	4	1	1/8			1/8	1	151							
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	4	1	1/8			1/8	1	152							
5	5	20	20	0.5	1/2	1/2	Chord	9/8	4	1	1/8			1/8	1	153							
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	4	1	1/8			1/8	1	154							
5	5	21	21	0.5	3/4	3/4	Chord	9/8	4	1	1/8			1/8	1	155							
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	4	1	1/8			1/8	1	156							
5	5	22	22	0.5	1	1	Chord	9/8	4	1	1/8			1/8	1	157							
6	6	45/2	45/2	1.5	0	0	Chord	9/8	1	1	3/8			1/4	3/2	158							
6	6	24	24	0.5	3/8	3/8	Chord	9/8	1	1	1/8			1/8	1	159							
6	6	49/2	49/2	0.0	1/2	1/2	Chord	9/8	1	1	0	acciaccatura		1/8	1	160							
6	6	49/2	49/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	161					15		
6	6	99/4	99/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	162					15		
6	6	25	25	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	163					15		
6	6	101/4	101/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	164							
6	6	51/2	51/2	1.0	3/4	3/4	Chord	9/8	1	1	1/4			1/4	1	165					16		
6	6	53/2	53/2	0.5	1	1	Chord	9/8	1	1	1/8			1/8	1	166							
6	6	45/2	45/2	0.5	0	0	Chord	9/8	2	1	1/8			1/8	1	167							
6	6	23	23	0.5	1/8	1/8	Chord	9/8	2	1	1/8			1/8	1	168							
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8			1/8	1	169							
6	6	24	24	0.5	3/8	3/8	Chord	9/8	2	1	1/8			1/8	1	170							
6	6	49/2	49/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8			1/8	1	171							
6	6	25	25	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	172							
6	6	51/2	51/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8			1/8	1	173							
6	6	26	26	0.5	7/8	7/8	Chord	9/8	2	1	1/8			1/8	1	174							
6	6	53/2	53/2	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	175							
6	6	45/2	45/2	0.5	0	0	Chord	9/8	3	1	1/8			1/8	1	176							
6	6	23	23	0.5	1/8	1/8	Chord	9/8	3	1	1/8			1/8	1	177							
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	3	1	1/8			1/8	1	178							
6	6	24	24	0.5	3/8	3/8	Chord	9/8	3	1	1/8			1/8	1	179							
6	6	49/2	49/2	0.5	1/2	1/2	Chord	9/8	3	1	1/8			1/8	1	180							
6	6	25	25	0.5	5/8	5/8	Chord	9/8	3	1	1/8			1/8	1	181							
6	6	51/2	51/2	0.5	3/4	3/4	Chord	9/8	3	1	1/8			1/8	1	182							
6	6	26	26	0.5	7/8	7/8	Chord	9/8	3	1	1/8			1/8	1	183							
6	6	53/2	53/2	0.5	1	1	Chord	9/8	3	1	1/8			1/8	1	184							
6	6	45/2	45/2	0.5	0	0	Chord	9/8	4	1	1/8			1/8	1	185							
6	6	23	23	0.5	1/8	1/8	Chord	9/8	4	1	1/8			1/8	1	186							
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	4	1	1/8			1/8	1	187							
6	6	24	24	0.5	3/8	3/8	Chord	9/8	4	1	1/8			1/8	1	188							
6	6	49/2	49/2	0.5	1/2	1/2	Chord	9/8	4	1	1/8			1/8	1	189							
6	6	25	25	0.5	5/8	5/8	Chord	9/8	4	1	1/8			1/8	1	190							
6	6	51/2	51/2	0.5	3/4	3/4	Chord	9/8	4	1	1/8			1/8	1	191							
6	6	26	26	0.5	7/8	7/8	Chord	9/8	4	1	1/8			1/8	1	192							
6	6	53/2	53/2	0.5	1	1	Chord	9/8	4	1	1/8			1/8	1	193							
7	7	27	27	1.5	0	0	Chord	9/8	1	1	3/8			1/4	3/2	194					17		
7	7	57/2	57/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8			1/4	3/2	195							
7	7	30	30	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	196					18		
7	7	61/2	61/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	197					18		
7	7	31	31	0.5	1	1	Chord	9/8	1	1	1/8			1/8	1	198							
7	7	27	27	0.5	0	0	Chord	9/8	2	1	1/8			1/8	1	199							
7	7	55/2	55/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8			1/8	1	200							
7	7	28	28	0.5	1/4	1/4	Chord	9/8	2	1	1/8			1/8	1	201							
7	7	57/2	57/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8			1/8	1	202							
7	7	29	29	0.5	1/2	1/2	Chord	9/8	2	1	1/8			1/8	1	203							
7	7	59/2	59/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	204							
7	7	30	30	0.5	3/4	3/4	Chord	9/8	2	1	1/8			1/8	1	205					19		
7	7	61/2	61/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8			1/8	1	206					19		
7	7	31	31	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	207							
7	7	27	27	0.5	0	0	Chord	9/8	3	1	1/8			1/8	1	208							
7	7	55/2	55/2	0.5	1/8	1/8	Chord	9/8	3	1	1/8			1/8	1	209							
7	7	28	28	0.5	1/4	1/4	Chord	9/8	3	1	1/8			1/8	1	210							
7	7	57/2	57/2	0.5	3/8	3/8	Chord	9/8	3	1	1/8			1/8	1	211							
7	7	29	29	0.5	1/2	1/2	Chord	9/8	3	1	1/8			1/8	1	212							
7	7	59/2	59/2	0.5	5/8	5/8	Chord	9/8	3	1	1/8			1/8	1	213							
7	7	30	30	0.5	3/4	3/4	Chord	9/8	3	1	1/8			1/8	1	214					20		
7	7	61/2	61/2	0.5	7/8	7/8	Chord	9/8	3	1	1/8			1/8	1	215					20		
7	7	31	31	0.5	1	1	Chord	9/8	3	1	1/8			1/8	1	216							
7	7	27	27	0.5	0	0	Chord	9/8	4	1	1/8			1/8	1	217							
7	7	55/2	55/2	0.5	1/8	1/8	Chord	9/8	4	1	1/8			1/8	1	218							
7	7	28	28	0.5	1/4	1/4	Chord	9/8	4	1	1/8			1/8	1	219							
7	7	57/2	57/2	0.5	3/8	3/8	Chord	9/8	4	1	1/8			1/8	1	220							
7	7	29	29	0.5	1/2	1/2	Chord	9/8	4	1	1/8			1/8	1	221							
7	7	59/2	59/2	0.5	5/8	5/8	Chord	9/8	4	1	1/8			1/8	1	222							
7	7	30	30	0.5	3/4	3/4	Chord	9/8	4	1	1/8			1/8	1	223					21		
7	7	61/2	61/2	0.5	7/8	7/8	Chord	9/8	4	1	1/8			1/8	1	224					21		
7	7	31	31	0.5	1	1	Chord	9/8	4	1	1/8			1/8	1	225							
8	8	63/2	63/2	0.0	0	0	StaffText	9/8	1	1	0								<b><i>Cresc.</i></b>				
8	8	63/2	63/2	1.5	0	0	Chord	9/8	1	1	3/8			1/4	3/2	226					22		
8	8	33	33	1.5	3/8	3/8	Chord	9/8	1	1	3/8			1/4	3/2	227							
8	8	69/2	69/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	228					23		
8	8	35	35	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	229					23		
8	8	71/2	71/2	0.5	1	1	Chord	9/8	1	1	1/8			1/8	1	230							
8	8	63/2	63/2	0.0	0	0	StaffText	9/8	2	1	0								<b><i>Cresc.</i></b>				
8	8	63/2	63/2	0.5	0	0	Chord	9/8	2	1	1/8			1/8	1	231							
8	8	32	32	0.5	1/8	1/8	Chord	9/8	2	1	1/8			1/8	1	232							
8	8	65/2	65/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8			1/8	1	233							
8	8	33	33	0.5	3/8	3/8	Chord	9/8	2	1	1/8			1/8	1	234							
8	8	67/2	67/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8			1/8	1	235							
8	8	34	34	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	236							
8	8	69/2	69/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8			1/8	1	237							
8	8	35	35	0.5	7/8	7/8	Chord	9/8	2	1	1/8			1/8	1	238							
8	8	71/2	71/2	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	239							
8	8	63/2	63/2	0.0	0	0	StaffText	9/8	3	1	0								<b><i>Cresc.</i></b>				
8	8	63/2	63/2	0.5	0	0	Chord	9/8	3	1	1/8			1/8	1	240							
8	8	32	32	0.5	1/8	1/8	Chord	9/8	3	1	1/8			1/8	1	241							
8	8	65/2	65/2	0.5	1/4	1/4	Chord	9/8	3	1	1/8			1/8	1	242							
8	8	33	33	0.5	3/8	3/8	Chord	9/8	3	1	1/8			1/8	1	243							
8	8	67/2	67/2	0.5	1/2	1/2	Chord	9/8	3	1	1/8			1/8	1	244							
8	8	34	34	0.5	5/8	5/8	Chord	9/8	3	1	1/8			1/8	1	245							
8	8	69/2	69/2	0.5	3/4	3/4	Chord	9/8	3	1	1/8			1/8	1	246							
8	8	35	35	0.5	7/8	7/8	Chord	9/8	3	1	1/8			1/8	1	247							
8	8	71/2	71/2	0.5	1	1	Chord	9/8	3	1	1/8			1/8	1	248							
8	8	63/2	63/2	0.0	0	0	StaffText	9/8	4	1	0								<b><i>Cresc.</i></b>				
8	8	63/2	63/2	0.5	0	0	Chord	9/8	4	1	1/8			1/8	1	249							
8	8	32	32	0.5	1/8	1/8	Chord	9/8	4	1	1/8			1/8	1	250							
8	8	65/2	65/2	0.5	1/4	1/4	Chord	9/8	4	1	1/8			1/8	1	251							
8	8	33	33	0.5	3/8	3/8	Chord	9/8	4	1	1/8			1/8	1	252							
8	8	67/2	67/2	0.5	1/2	1/2	Chord	9/8	4	1	1/8			1/8	1	253							
8	8	34	34	0.5	5/8	5/8	Chord	9/8	4	1	1/8			1/8	1	254							
8	8	69/2	69/2	0.5	3/4	3/4	Chord	9/8	4	1	1/8			1/8	1	255							
8	8	35	35	0.5	7/8	7/8	Chord	9/8	4	1	1/8			1/8	1	256							
8	8	71/2	71/2	0.5	1	1	Chord	9/8	4	1	1/8			1/8	1	257							
9	9	36	36	0.0	0	0	Dynamic	9/8	1	1	0						p						
9	9	36	36	1.0	0	0	Chord	9/8	1	1	1/4			1/4	1	258							
9	9	38	38	0.5	1/2	1/2	Chord	9/8	1	1	1/8			1/8	1	259					24		
9	9	77/2	77/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8			1/8	1	260					24		
9	9	39	39	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	261					24		
9	9	79/2	79/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	262					24		
9	9	40	40	0.5	1	1	Chord	9/8	1	1	1/8			1/8	1	263							
9	9	36	36	0.0	0	0	Dynamic	9/8	2	1	0						p						
9	9	36	36	1.0	0	0	Chord	9/8	2	1	1/4			1/4	1	264							
