mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
47	47	132	138	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	599							51		2
47	47	132	138	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	600							52		3
48	48	271/2	283/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	601		articStaccatoAbove							0
48	48	136	142	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	602							54		0
48	48	273/2	285/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	603							54		0
48	48	137	143	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	604							54		0
48	48	275/2	287/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	605									0
48	48	135	141	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	606							50		1
48	48	137	143	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	607							50		1
48	48	135	141	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	608							51		2
48	48	135	141	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	609									3
49	49	277/2	289/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	610		articStaccatoBelow							0
49	49	139	145	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	611									0
49	49	279/2	291/2	0.0		3/8	3/8	Spanner	3/4	1	1	0												
49	49	279/2	291/2	0.0		3/8	3/8	Spanner	3/4	1	1	0											4	
49	49	279/2	291/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	612								4	
49	49	140	146	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	613								4	
49	49	281/2	293/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	614								4	
49	49	138	144	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	615							50		1
49	49	139	145	0.0		1/4	1/4	Spanner	3/4	2	1	0												
49	49	139	145	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	616									
49	49	140	146	0.0		1/2	1/2	Spanner	3/4	2	1	0											5	
49	49	140	146	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	617		articStaccatoAbove						5	
49	49	138	144	2.0		0	0	Chord	3/4	3	1	1/2	1/2	1	618							51		2
49	49	140	146	0.0		1/2	1/2	Spanner	3/4	3	1	0												
49	49	140	146	0.0		1/2	1/2	Spanner	3/4	3	1	0											6	
49	49	140	146	1.0		1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	619								6	
49	49	138	144	0.0		0	0	Spanner	3/4	4	1	0											7	3
49	49	138	144	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	620								7	3
50	50	141	147	0.0		0	0	StaffText	3/4	1	1	0						<i>dol.</i>						
50	50	141	147	0.0		0	0	Spanner	3/4	1	1	0												
50	50	141	147	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	621		articStaccatoAbove							
50	50	283/2	295/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	622		articStaccatoAbove							
50	50	142	148	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	623							55		
50	50	285/2	297/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	624							55		
50	50	143	149	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	625							55		
50	50	287/2	299/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	626									
50	50	141	147	0.0		0	0	Spanner	3/4	2	1	0												
50	50	141	147	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	627									
50	50	141	147	0.0		0	0	Spanner	3/4	3	1	0												
50	50	141	147	1.0		0	0	Chord	3/4	3	1	1/4	1/4	1	628									
50	50	141	147	0.0		0	0	Spanner	3/4	4	1	0												
50	50	141	147	0.0		0	0	Spanner	3/4	4	1	0												
50	50	141	147	1.0		0	0	Chord	3/4	4	1	1/4	1/4	1	629									
51	51	144	150	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	630							56		
51	51	289/2	301/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	631							56		
51	51	145	151	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	632							56		
51	51	291/2	303/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	633							56		
51	51	146	152	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	634							56		
51	51	293/2	305/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	635									
52	52	147	153	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	636							57		
52	52	295/2	307/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	637							57		
52	52	148	154	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	638							57		
52	52	297/2	309/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	639							57		
52	52	149	155	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	640							57		
52	52	299/2	311/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	641									
53	53	150	156	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	642							58		
53	53	301/2	313/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	643							58		
53	53	151	157	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	644							58		
53	53	303/2	315/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	645							58		
53	53	152	158	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	646							58		
53	53	305/2	317/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	647									
54	54	153	159	0.0		0	0	Dynamic	3/4	1	1	0				p								
54	54	153	159	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	648		articStaccatoAbove							
54	54	307/2	319/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	649		articStaccatoAbove							
54	54	154	160	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	650							59		
54	54	309/2	321/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	651							59		
54	54	155	161	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	652							59		
54	54	311/2	323/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	653									
54	54	153	159	0.0		0	0	Dynamic	3/4	2	1	0				p								
54	54	153	159	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	654									
54	54	153	159	0.0		0	0	Dynamic	3/4	3	1	0				p								
54	54	153	159	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	655									
54	54	153	159	0.0		0	0	Dynamic	3/4	4	1	0				p								
54	54	153	159	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	656									
55	55	313/2	325/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	657		articStaccatoAbove							
55	55	157	163	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	658							60		
55	55	315/2	327/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	659							60		
55	55	158	164	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	660							60		
55	55	317/2	329/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	661									
55	55	156	162	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	662									
55	55	156	162	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	663									
55	55	156	162	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	664									
56	56	319/2	331/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	665		articStaccatoAbove							
56	56	160	166	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	666							61		
56	56	321/2	333/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	667							61		
56	56	161	167	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	668							61		
56	56	323/2	335/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	669									
56	56	159	165	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	670							62		
56	56	159	165	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	671							63		
56	56	159	165	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	672							64		
57	57	325/2	337/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	673		articStaccatoAbove							
57	57	163	169	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	674							65		
57	57	327/2	339/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	675							65		
57	57	164	170	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	676							65		
57	57	329/2	341/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	677									
57	57	162	168	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	678									
57	57	162	168	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	679									
57	57	162	168	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	680									
58	58	165	171	0.0		0	0	Spanner	3/4	1	1	0												4
58	58	331/2	343/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	681		articStaccatoAbove							4
58	58	166	172	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	682							66		4
58	58	333/2	345/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	683							66		4
58	58	167	173	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	684							66		4
58	58	335/2	347/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	685									4
58	58	165	171	0.0		0	0	Spanner	3/4	2	1	0												5
58	58	165	171	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	686							67		5
58	58	165	171	0.0		0	0	Spanner	3/4	3	1	0												6
58	58	165	171	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	687							68		6
58	58	165	171	0.0		0	0	Spanner	3/4	4	1	0												7
58	58	165	171	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	688							69		7
59	59	337/2	349/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	689		articStaccatoAbove							4
59	59	169	175	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	690									4
59	59	339/2	351/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	691									4
59	59	170	176	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	692									4
59	59	341/2	353/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	693									4
59	59	168	174	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	694							67		5
59	59	168	174	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	695							68		6
59	59	168	174	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	696							69		7
60	60	343/2	355/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	697		articStaccatoAbove							4
60	60	172	178	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	698							70		4
60	60	345/2	357/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	699							70		4
60	60	173	179	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	700							70		4
60	60	347/2	359/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	701									4
60	60	171	177	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	702							67		5
60	60	171	177	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	703							68		6
60	60	171	177	2.0		0	0	Chord	3/4	4	1	1/2	1/2	1	704							69		7
60	60	173	179	1.0		1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	705							69		7
61	61	349/2	361/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	706		articStaccatoAbove							4
61	61	175	181	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	707									4
61	61	351/2	363/2	0.0		3/8	3/8	Spanner	3/4	1	1	0												
61	61	351/2	363/2	0.0		3/8	3/8	Spanner	3/4	1	1	0											8	
61	61	351/2	363/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	708								8	
61	61	176	182	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	709								8	
61	61	353/2	365/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	710								8	
61	61	174	180	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	711							67		5
61	61	175	181	0.0		1/4	1/4	Spanner	3/4	2	1	0												
61	61	175	181	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	712									
61	61	176	182	0.0		1/2	1/2	Spanner	3/4	2	1	0											9	
61	61	176	182	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	713		articStaccatoAbove						9	
61	61	174	180	0.0		0	0	Spanner	3/4	3	1	0											10	6
61	61	174	180	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	714								10	6
61	61	174	180	1.0		0	0	Chord	3/4	4	1	1/4	1/4	1	715							69		7
61	61	175	181	0.0		1/4	1/4	Spanner	3/4	4	1	0												
61	61	175	181	1.0		1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	716									
61	61	176	182	0.0		1/2	1/2	Spanner	3/4	4	1	0											11	
61	61	176	182	1.0		1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	717		articStaccatoAbove						11	
62	62	177	183	0.0		0	0	Spanner	3/4	1	1	0												
62	62	177	183	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	718									
62	62	178	184	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	719							71		
62	62	357/2	369/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	720							71		
62	62	179	185	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	721							71		
62	62	359/2	371/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	722									
62	62	177	183	0.0		0	0	Spanner	3/4	2	1	0												
62	62	177	183	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	723									
62	62	177	183	0.0		0	0	Spanner	3/4	3	1	0												
62	62	177	183	0.0		0	0	Spanner	3/4	3	1	0												
62	62	177	183	1.0		0	0	Chord	3/4	3	1	1/4	1/4	1	724									
62	62	177	183	0.0		0	0	Spanner	3/4	4	1	0												
62	62	177	183	1.0		0	0	Chord	3/4	4	1	1/4	1/4	1	725									
63	63	180	186	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	726							72		
63	63	361/2	373/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	727							72		
63	63	181	187	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	728							72		
63	63	363/2	375/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	729							72		
63	63	182	188	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	730							72		
63	63	365/2	377/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	731									
64	64	183	189	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	732							73		
64	64	367/2	379/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	733							73		
64	64	184	190	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	734							73		
64	64	369/2	381/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	735							73		
64	64	185	191	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	736							73		
64	64	371/2	383/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	737									
65	65	186	192	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	738							74		
65	65	373/2	385/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	739							74		
65	65	187	193	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	740							74		
65	65	375/2	387/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	741							74		
65	65	188	194	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	742							74		
65	65	377/2	389/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	743									
66	66	189	195	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	744		articStaccatoBelow							
66	66	379/2	391/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	745		articStaccatoBelow							
66	66	190	196	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	746							75		
66	66	381/2	393/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	747							75		
66	66	191	197	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	748							75		
66	66	383/2	395/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	749									
66	66	189	195	0.0		0	0	Dynamic	3/4	2	1	0				p								
66	66	189	195	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	750									
66	66	189	195	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	751									
66	66	189	195	0.0		0	0	Dynamic	3/4	4	1	0				p								
66	66	189	195	0.0		0	0	Dynamic	3/4	4	1	0				p								
66	66	189	195	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	752									
67	67	385/2	397/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	753		articStaccatoBelow							
67	67	193	199	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	754							76		
67	67	387/2	399/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	755							76		
67	67	194	200	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	756							76		
67	67	389/2	401/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	757									
67	67	192	198	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	758									
67	67	192	198	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	759									
67	67	192	198	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	760							77		
68	68	391/2	403/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	761		articStaccatoBelow							
68	68	196	202	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	762							78		
68	68	393/2	405/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	763							78		
68	68	197	203	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	764							78		
68	68	395/2	407/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	765									
68	68	195	201	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	766							79		
68	68	195	201	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	767									
68	68	195	201	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	768							77		
69	69	397/2	409/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	769		articStaccatoAbove							
69	69	199	205	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	770							80		
69	69	399/2	411/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	771							80		
69	69	200	206	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	772							80		
69	69	401/2	413/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	773									
69	69	198	204	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	774									
69	69	198	204	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	775									
69	69	198	204	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	776									
70	70	201	207	0.0		0	0	Spanner	3/4	1	1	0												8
70	70	403/2	415/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	777		articStaccatoAbove							8
70	70	202	208	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	778							81		8
70	70	405/2	417/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	779							81		8
70	70	203	209	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	780							81		8
70	70	407/2	419/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	781									8
70	70	201	207	0.0		0	0	Spanner	3/4	2	1	0												9
70	70	201	207	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	782							82		9
70	70	201	207	0.0		0	0	Spanner	3/4	3	1	0												10
70	70	201	207	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	783							83		10
70	70	201	207	0.0		0	0	Spanner	3/4	4	1	0												11
70	70	201	207	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	784							84		11
71	71	409/2	421/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	785		articStaccatoAbove							8
71	71	205	211	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	786									8
71	71	411/2	423/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	787									8
71	71	206	212	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	788									8
71	71	413/2	425/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	789									8
71	71	204	210	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	790							82		9
71	71	204	210	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	791							83		10
71	71	204	210	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	792							84		11
72	72	415/2	427/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	793		articStaccatoBelow							8
72	72	208	214	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	794							85		8
72	72	417/2	429/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	795							85		8
72	72	209	215	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	796							85		8
72	72	419/2	431/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	797									8
72	72	207	213	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	798							82		9
72	72	209	215	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	799							82		9
72	72	207	213	3.0		0	0	Chord	3/4	3	1	3/4	1/2	3/2	800							83		10
72	72	207	213	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	801									11
73	73	421/2	433/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	802		articStaccatoBelow							8
73	73	211	217	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	803							86		8
73	73	423/2	435/2	0.0		3/8	3/8	Spanner	3/4	1	1	0										86		
73	73	423/2	435/2	0.0		3/8	3/8	Spanner	3/4	1	1	0										86	12	
73	73	423/2	435/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	804							86	12	
73	73	212	218	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	805							86	12	
73	73	425/2	437/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	806								12	
73	73	210	216	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	807							82		9
73	73	211	217	0.0		1/4	1/4	Spanner	3/4	2	1	0												
73	73	211	217	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	808									
73	73	212	218	0.0		1/2	1/2	Spanner	3/4	2	1	0											13	
73	73	212	218	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	809		articStaccatoAbove						13	
73	73	210	216	1.0		0	0	Chord	3/4	3	1	1/4	1/4	1	810							83		10
73	73	211	217	0.0		1/4	1/4	Spanner	3/4	3	1	0												
73	73	211	217	1.0		1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	811									
73	73	212	218	0.0		1/2	1/2	Spanner	3/4	3	1	0											14	
73	73	212	218	1.0		1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	812		articStaccatoBelow						14	
73	73	210	216	0.0		0	0	Spanner	3/4	4	1	0											15	11
73	73	210	216	3.0		0	0	Chord	3/4	4	1	3/4	1/2	3/2	813								15	11
74	74	213	219	0.0		0	0	Spanner	3/4	1	1	0												
74	74	213	219	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	814									
74	74	214	220	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	815							87		
74	74	429/2	441/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	816							87		
74	74	215	221	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	817							87		
74	74	431/2	443/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	818									
74	74	213	219	0.0		0	0	Spanner	3/4	2	1	0												
74	74	213	219	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	819									
74	74	213	219	0.0		0	0	Spanner	3/4	3	1	0												
74	74	213	219	1.0		0	0	Chord	3/4	3	1	1/4	1/4	1	820									
74	74	213	219	0.0		0	0	Spanner	3/4	4	1	0												
74	74	213	219	0.0		0	0	Spanner	3/4	4	1	0												
74	74	213	219	1.0		0	0	Chord	3/4	4	1	1/4	1/4	1	821									
75	75	216	222	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	822							88		
75	75	433/2	445/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	823							88		
75	75	217	223	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	824							88		
75	75	435/2	447/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	825							88		
75	75	218	224	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	826							88		
75	75	437/2	449/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	827									
76	76	219	225	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	828							89		
76	76	439/2	451/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	829							89		
76	76	220	226	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	830							89		
76	76	441/2	453/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	831							89		
76	76	221	227	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	832							89		
76	76	443/2	455/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	833									
77	77	222	228	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	834							90		
77	77	445/2	457/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	835							90		
77	77	223	229	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	836							90		
77	77	447/2	459/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	837							90		
77	77	224	230	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	838							90		
77	77	449/2	461/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	839									
78	78	225	231	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	840		articStaccatoBelow							
78	78	451/2	463/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	841		articStaccatoBelow							
78	78	226	232	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	842							91		
78	78	453/2	465/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	843							91		
78	78	227	233	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	844							91		
78	78	455/2	467/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	845									
78	78	225	231	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	846									
78	78	225	231	0.0		0	0	Dynamic	3/4	3	1	0				p								
