mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
3	2	6	6	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	16		articStaccatoBelow				
3	2	13/2	13/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	17		articStaccatoBelow				
3	2	7	7	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	18		articStaccatoBelow				
3	2	15/2	15/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	19				1		
3	2	17/2	17/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	20						
3	2	11/2	11/2	2.0		0	0	Chord	2/2	3	1	1/2	1/2	1	21						
3	2	15/2	15/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	22				2		
3	2	17/2	17/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	23						
3	2	11/2	11/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	24				0		
3	2	13/2	13/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	25				0		
3	2	15/2	15/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	26				0		
3	2	17/2	17/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	27						
4	3	19/2	19/2	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	28				3		
4	3	10	10	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	29						
4	3	21/2	21/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	30		articStaccatoAbove				
4	3	11	11	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	31		articStaccatoAbove				
4	3	23/2	23/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	32		articStaccatoAbove				
4	3	12	12	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	33		articStaccatoAbove				
4	3	25/2	25/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	34		articStaccatoAbove				
4	3	13	13	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	35		articStaccatoAbove				
4	3	19/2	19/2	1.5		0	0	Chord	2/2	2	1	3/8	1/4	3/2	36				4		
4	3	11	11	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	37						
4	3	23/2	23/2	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	38				5		
4	3	13	13	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	39						
4	3	19/2	19/2	1.5		0	0	Chord	2/2	3	1	3/8	1/4	3/2	40				6		
4	3	11	11	0.5		3/8	3/8	Chord	2/2	3	1	1/8	1/8	1	41						
4	3	23/2	23/2	1.5		1/2	1/2	Chord	2/2	3	1	3/8	1/4	3/2	42				7		
4	3	13	13	0.5		7/8	7/8	Chord	2/2	3	1	1/8	1/8	1	43						
4	3	19/2	19/2	2.0		0	0	Chord	2/2	4	1	1/2	1/2	1	44				8		
4	3	23/2	23/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	45						
5	4	27/2	27/2	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	46				9		
5	4	14	14	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	47						
5	4	29/2	29/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	48		articStaccatoAbove				
5	4	15	15	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	49		articStaccatoAbove				
5	4	31/2	31/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	50		articStaccatoAbove				
5	4	16	16	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	51		articStaccatoAbove				
5	4	33/2	33/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	52		articStaccatoAbove				
5	4	17	17	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	53		articStaccatoAbove				
5	4	27/2	27/2	1.5		0	0	Chord	2/2	2	1	3/8	1/4	3/2	54				10		
5	4	15	15	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	55						
5	4	31/2	31/2	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	56				11		
5	4	17	17	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	57						
5	4	27/2	27/2	1.5		0	0	Chord	2/2	3	1	3/8	1/4	3/2	58				12		
5	4	15	15	0.5		3/8	3/8	Chord	2/2	3	1	1/8	1/8	1	59						
5	4	31/2	31/2	1.5		1/2	1/2	Chord	2/2	3	1	3/8	1/4	3/2	60				13		
5	4	17	17	0.5		7/8	7/8	Chord	2/2	3	1	1/8	1/8	1	61						
5	4	27/2	27/2	2.0		0	0	Chord	2/2	4	1	1/2	1/2	1	62				14		
5	4	31/2	31/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	63						
6	5	35/2	35/2	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	64				15		
6	5	18	18	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	65						
6	5	37/2	37/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	66		articStaccatoAbove				
6	5	19	19	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	67		articStaccatoAbove				
6	5	39/2	39/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	68				16		
6	5	20	20	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	69						
6	5	41/2	41/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	70		articStaccatoAbove				
6	5	21	21	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	71		articStaccatoAbove				
6	5	35/2	35/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	72						
6	5	37/2	37/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	73						
6	5	39/2	39/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	74						
6	5	41/2	41/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	75						
6	5	35/2	35/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	76						
6	5	37/2	37/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	77						
6	5	39/2	39/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	78						
6	5	41/2	41/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	79						
6	5	35/2	35/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	80						
6	5	37/2	37/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	81						
6	5	39/2	39/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	82						
6	5	41/2	41/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	83						
7	6	43/2	43/2	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	84						
7	6	47/2	47/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	85						
7	6	24	24	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	86		articStaccatoAbove				
7	6	49/2	49/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	87		articStaccatoAbove				
7	6	25	25	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	88		articStaccatoAbove				
7	6	43/2	43/2	2.0		0	0	Chord	2/2	2	1	1/2	1/2	1	89						
7	6	47/2	47/2	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	90						
7	6	43/2	43/2	2.0		0	0	Chord	2/2	3	1	1/2	1/2	1	91						
7	6	47/2	47/2	0.5		1/2	1/2	Chord	2/2	3	1	1/8	1/8	1	92						
7	6	43/2	43/2	2.0		0	0	Chord	2/2	4	1	1/2	1/2	1	93						
7	6	47/2	47/2	0.5		1/2	1/2	Chord	2/2	4	1	1/8	1/8	1	94						
8	7	51/2	51/2	4.0		0	0	Chord	2/2	1	1	1	1	1	95						
8	7	26	26	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	96		articStaccatoBelow				
8	7	53/2	53/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	97		articStaccatoBelow				
8	7	27	27	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	98		articStaccatoBelow				
8	7	55/2	55/2	2.0		1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	99				17		
8	7	28	28	0.5		5/8	5/8	Chord	2/2	3	1	1/8	1/8	1	100		articStaccatoBelow				
8	7	57/2	57/2	0.5		3/4	3/4	Chord	2/2	3	1	1/8	1/8	1	101		articStaccatoBelow				
8	7	29	29	0.5		7/8	7/8	Chord	2/2	3	1	1/8	1/8	1	102		articStaccatoBelow				
9	8	59/2	59/2	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	103						
9	8	63/2	63/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	104						
9	8	32	32	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	105						
9	8	65/2	65/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	106						
9	8	33	33	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	107						
9	8	59/2	59/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	108				17		
9	8	61/2	61/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	109				17		
9	8	63/2	63/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	110				17		
9	8	65/2	65/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	111						
9	8	59/2	59/2	2.0		0	0	Chord	2/2	3	1	1/2	1/2	1	112				18		
9	8	63/2	63/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	113				18		
9	8	65/2	65/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	114						
9	8	30	30	0.5		1/8	1/8	Chord	2/2	4	1	1/8	1/8	1	115		articStaccatoBelow				
9	8	61/2	61/2	0.5		1/4	1/4	Chord	2/2	4	1	1/8	1/8	1	116		articStaccatoBelow				
9	8	31	31	0.5		3/8	3/8	Chord	2/2	4	1	1/8	1/8	1	117		articStaccatoBelow				
9	8	63/2	63/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	118						
10	9	67/2	67/2	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	119				19		
10	9	34	34	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	120						
10	9	69/2	69/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	121		articStaccatoAbove				
10	9	35	35	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	122		articStaccatoAbove				
10	9	71/2	71/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	123		articStaccatoBelow				
10	9	36	36	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	124		articStaccatoBelow				
10	9	73/2	73/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	125		articStaccatoBelow				
10	9	37	37	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	126		articStaccatoBelow				
10	9	67/2	67/2	1.5		0	0	Chord	2/2	2	1	3/8	1/4	3/2	127				20		
10	9	35	35	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	128						
10	9	71/2	71/2	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	129				21		
10	9	37	37	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	130						
10	9	67/2	67/2	1.5		0	0	Chord	2/2	3	1	3/8	1/4	3/2	131				22		
10	9	35	35	0.5		3/8	3/8	Chord	2/2	3	1	1/8	1/8	1	132						
10	9	71/2	71/2	1.5		1/2	1/2	Chord	2/2	3	1	3/8	1/4	3/2	133				23		
10	9	37	37	0.5		7/8	7/8	Chord	2/2	3	1	1/8	1/8	1	134						
10	9	67/2	67/2	2.0		0	0	Chord	2/2	4	1	1/2	1/2	1	135				24		
10	9	71/2	71/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	136				24		
11	10	75/2	75/2	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	137				25		
11	10	38	38	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	138						
11	10	77/2	77/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	139		articStaccatoAbove				
11	10	39	39	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	140		articStaccatoAbove				
11	10	79/2	79/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	141				26		
11	10	40	40	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	142						
11	10	81/2	81/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	143		articStaccatoAbove				
11	10	41	41	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	144		articStaccatoAbove				
11	10	75/2	75/2	1.5		0	0	Chord	2/2	2	1	3/8	1/4	3/2	145				27		
11	10	39	39	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	146						
11	10	79/2	79/2	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	147				28		
11	10	41	41	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	148						
11	10	75/2	75/2	1.5		0	0	Chord	2/2	3	1	3/8	1/4	3/2	149				29		
11	10	39	39	0.5		3/8	3/8	Chord	2/2	3	1	1/8	1/8	1	150						
11	10	79/2	79/2	1.5		1/2	1/2	Chord	2/2	3	1	3/8	1/4	3/2	151				30		
11	10	41	41	0.5		7/8	7/8	Chord	2/2	3	1	1/8	1/8	1	152						
11	10	75/2	75/2	2.0		0	0	Chord	2/2	4	1	1/2	1/2	1	153				24		
11	10	79/2	79/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	154						
12	11	83/2	83/2	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	155				31		
12	11	42	42	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	156						
12	11	85/2	85/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	157		articStaccatoAbove				
12	11	43	43	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	158		articStaccatoAbove				
12	11	87/2	87/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	159		articStaccatoBelow				
12	11	44	44	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	160		articStaccatoBelow				
12	11	89/2	89/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	161		articStaccatoBelow				
12	11	45	45	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	162		articStaccatoBelow				
12	11	83/2	83/2	1.5		0	0	Chord	2/2	2	1	3/8	1/4	3/2	163				32		
12	11	43	43	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	164						
12	11	87/2	87/2	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	165				33		
12	11	45	45	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	166						
12	11	83/2	83/2	1.5		0	0	Chord	2/2	3	1	3/8	1/4	3/2	167				34		
12	11	43	43	0.5		3/8	3/8	Chord	2/2	3	1	1/8	1/8	1	168						
12	11	87/2	87/2	1.5		1/2	1/2	Chord	2/2	3	1	3/8	1/4	3/2	169				35		
12	11	45	45	0.5		7/8	7/8	Chord	2/2	3	1	1/8	1/8	1	170						
12	11	83/2	83/2	2.0		0	0	Chord	2/2	4	1	1/2	1/2	1	171				36		
12	11	87/2	87/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	172						
13	12	91/2	91/2	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	173				37		
13	12	97/2	97/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	174				37		
13	12	91/2	91/2	3.0		0	0	Chord	2/2	2	1	3/4	1/2	3/2	175				38		
13	12	97/2	97/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	176				38		
13	12	91/2	91/2	0.5		0	0	Chord	2/2	3	1	1/8	1/8	1	177						
13	12	46	46	0.5		1/8	1/8	Chord	2/2	3	1	1/8	1/8	1	178		articStaccatoBelow				
13	12	93/2	93/2	0.5		1/4	1/4	Chord	2/2	3	1	1/8	1/8	1	179		articStaccatoBelow				
13	12	47	47	0.5		3/8	3/8	Chord	2/2	3	1	1/8	1/8	1	180		articStaccatoBelow				
13	12	95/2	95/2	2.0		1/2	1/2	Chord	2/2	3	1	1/2	1/2	1	181						
13	12	91/2	91/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	182						
14	13	99/2	99/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	183				37		
14	13	101/2	101/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	184				37		
14	13	103/2	103/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	185				37		
14	13	105/2	105/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	186						
14	13	99/2	99/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	187				38		
14	13	101/2	101/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	188				38		
14	13	103/2	103/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	189				38		
14	13	105/2	105/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	190						
15	14	107/2	107/2	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	191				39		
15	14	113/2	113/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	192				39		
15	14	107/2	107/2	3.0		0	0	Chord	2/2	2	1	3/4	1/2	3/2	193				40		
15	14	113/2	113/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	194				40		
15	14	54	54	0.5		1/8	1/8	Chord	2/2	4	1	1/8	1/8	1	195		articStaccatoAbove				
15	14	109/2	109/2	0.5		1/4	1/4	Chord	2/2	4	1	1/8	1/8	1	196		articStaccatoAbove				
15	14	55	55	0.5		3/8	3/8	Chord	2/2	4	1	1/8	1/8	1	197		articStaccatoAbove				
15	14	111/2	111/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	198						
16	15	115/2	115/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	199				39		
16	15	117/2	117/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	200				39		
16	15	119/2	119/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	201				39		
16	15	121/2	121/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	202						
16	15	115/2	115/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	203				40		
16	15	117/2	117/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	204				40		
16	15	119/2	119/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	205				40		
16	15	121/2	121/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	206						
17	16	123/2	123/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	207						
17	16	123/2	123/2	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	208						
17	16	62	62	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	209		articStaccatoBelow				
17	16	125/2	125/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	210		articStaccatoBelow				
17	16	63	63	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	211		articStaccatoBelow				
17	16	127/2	127/2	2.0		1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	212						
17	16	123/2	123/2	3.0		0	0	Chord	2/2	3	1	3/4	1/2	3/2	213				41		
17	16	129/2	129/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	214				41		
17	16	123/2	123/2	3.0		0	0	Chord	2/2	4	1	3/4	1/2	3/2	215				42		
17	16	129/2	129/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	216				42		
18	17	66	66	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	217		articStaccatoAbove				
18	17	133/2	133/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	218		articStaccatoAbove				
18	17	67	67	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	219		articStaccatoAbove				
18	17	135/2	135/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	220						
18	17	131/2	131/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	221				41		
18	17	133/2	133/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	222				41		
18	17	135/2	135/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	223				41		
18	17	137/2	137/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	224						
18	17	131/2	131/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	225				42		
18	17	133/2	133/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	226				42		
18	17	135/2	135/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	227				42		
18	17	137/2	137/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	228						
19	18	70	70	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	229		articStaccatoBelow				
19	18	141/2	141/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	230		articStaccatoBelow				
19	18	71	71	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	231		articStaccatoBelow				
19	18	143/2	143/2	2.0		1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	232						
19	18	139/2	139/2	3.0		0	0	Chord	2/2	3	1	3/4	1/2	3/2	233				43		
19	18	145/2	145/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	234				43		
19	18	139/2	139/2	3.0		0	0	Chord	2/2	4	1	3/4	1/2	3/2	235				44		
19	18	145/2	145/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	236				44		
20	19	74	74	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	237		articStaccatoAbove				
20	19	149/2	149/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	238		articStaccatoAbove				
20	19	75	75	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	239		articStaccatoAbove				
20	19	151/2	151/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	240						
20	19	153/2	153/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	241						
20	19	147/2	147/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	242				43		
20	19	149/2	149/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	243				43		
20	19	151/2	151/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	244				43		
20	19	153/2	153/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	245						
20	19	147/2	147/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	246				44		
20	19	149/2	149/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	247				44		
20	19	151/2	151/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	248				44		
20	19	153/2	153/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	249						
21	20	80	80	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	250		articStaccatoAbove				
21	20	161/2	161/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	251		articStaccatoAbove				
21	20	81	81	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	252		articStaccatoAbove				
21	20	78	78	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	253		articStaccatoAbove				
21	20	157/2	157/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	254		articStaccatoAbove				
21	20	79	79	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	255		articStaccatoAbove				
21	20	159/2	159/2	2.0		1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	256				45		
21	20	155/2	155/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	257						
21	20	80	80	0.5		5/8	5/8	Chord	2/2	3	1	1/8	1/8	1	258		articStaccatoAbove				
21	20	161/2	161/2	0.5		3/4	3/4	Chord	2/2	3	1	1/8	1/8	1	259		articStaccatoAbove				
21	20	81	81	0.5		7/8	7/8	Chord	2/2	3	1	1/8	1/8	1	260		articStaccatoAbove				
21	20	155/2	155/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	261						
22	21	163/2	163/2	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	262						
22	21	82	82	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	263						
22	21	165/2	165/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	264						
22	21	83	83	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	265						
