mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
3	3	4	4	0.0	0	0	Chord	2/4	3	1	0	grace32	1/32	1	12					
3	3	4	4	0.0	0	0	Chord	2/4	3	1	0	grace32	1/32	1	13					
3	3	4	4	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	14					
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	3	1	0									2
3	3	5	5	0.875	1/4	1/4	Chord	2/4	3	1	7/32		1/8	7/4	15			2		2
3	3	47/8	47/8	0.0	15/32	15/32	Spanner	2/4	3	1	0								2	2
3	3	47/8	47/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32		1/32	1	16				2	2
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	4	1	0									3
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	4	1	0								3	3
3	3	5	5	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	17			3	3	3
4	4	6	6	0.0	0	0	StaffText	2/4	1	1	0						"<font size=""12""/><b><i>sf</i></b>"			
4	4	13/2	13/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	18					
4	4	13/2	13/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	19					
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	20	articStaccatoAbove				
4	4	6	6	0.0	0	0	Spanner	2/4	2	1	0									
4	4	6	6	0.0	0	0	Spanner	2/4	2	1	0									
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	21					
4	4	13/2	13/2	0.0	1/8	1/8	Chord	2/4	2	1	0	grace32	1/32	1	22					
4	4	13/2	13/2	0.0	1/8	1/8	Chord	2/4	2	1	0	grace32	1/32	1	23					
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	24	articStaccatoBelow				
4	4	6	6	0.0	0	0	StaffText	2/4	3	1	0						"<font size=""12""/><b><i>sf</i></b>"			
4	4	6	6	0.0	0	0	StaffText	2/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"			
4	4	6	6	0.0	0	0	Spanner	2/4	3	1	0									
4	4	6	6	0.0	0	0	Spanner	2/4	3	1	0									
4	4	6	6	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	25					
4	4	59/8	59/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32		1/32	1	26			4		
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	27			4		
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	28			4		
4	4	6	6	0.0	0	0	Spanner	2/4	4	1	0									
4	4	6	6	0.0	0	0	Spanner	2/4	4	1	0									
4	4	6	6	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	29					
4	4	15/2	15/2	0.0	3/8	3/8	StaffText	2/4	4	1	0						pizz.			
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	30					
5	5	75/8	75/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	31			5		
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	32			5		
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	33					
5	5	67/8	67/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	34			6		
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	35			6		
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	36			6		
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	37	articStaccatoBelow				
5	5	8	8	0.0	0	0	StaffText	2/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"			
5	5	8	8	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	38	articStaccatoBelow				
5	5	8	8	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	39					
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	40					
5	5	9	9	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	41					
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	42					
6	6	10	10	0.0	0	0	StaffText	2/4	1	1	0						"<font size=""12""/><b><i>p</i></b>"			
6	6	10	10	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	43					
6	6	83/8	83/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	44					
6	6	21/2	21/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	45					
6	6	21/2	21/2	0.375	1/8	1/8	Chord	2/4	2	1	3/32		1/16	3/2	46			7		
6	6	87/8	87/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	47			7		
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	48	articStaccatoBelow				
6	6	21/2	21/2	0.375	1/8	1/8	Chord	2/4	3	1	3/32		1/16	3/2	49			8		
6	6	87/8	87/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32		1/32	1	50			8		
6	6	11	11	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	51					
6	6	45/4	45/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	52			9		
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	53			9		
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	54			9		
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	55					
7	7	12	12	0.0	0	0	StaffText	2/4	1	1	0						"<font size=""12""/><b><i>p</i></b>"			
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	56			10		
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	57			10		
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	58			10		
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	59					
7	7	12	12	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	60					
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	61			11		
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	62			11		
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	63					
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	64					
7	7	13	13	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	65					
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	66					
8	8	29/2	29/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	67			12		
8	8	119/8	119/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	68			12		
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	69					
8	8	123/8	123/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	70			13		
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	71			13		
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	72			13		
8	8	29/2	29/2	0.375	1/8	1/8	Chord	2/4	2	1	3/32		1/16	3/2	73			14		
8	8	119/8	119/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	74			14		
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	75	articStaccatoBelow				
8	8	14	14	0.375	0	0	Chord	2/4	3	1	3/32		1/16	3/2	76			15		
8	8	115/8	115/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32		1/32	1	77					
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	78					
8	8	15	15	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	79					
8	8	123/8	123/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32		1/32	1	80			16		
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	81			16		
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	82			16		
8	8	15	15	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	83					
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	84					
9	9	16	16	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	85					
9	9	131/8	131/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	86			17		
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	87			17		
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	88			17		
9	9	17	17	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	89	articStaccatoAbove				
9	9	139/8	139/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	90			18		
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	91			18		
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	92			18		
9	9	16	16	0.0	0	0	StaffText	2/4	2	1	0						"<font size=""12""/><b><i>poco cresc.</i></b>"			
9	9	131/8	131/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	93			19		
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	94			19		
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	95			19		
9	9	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	96	articStaccatoBelow				
9	9	139/8	139/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	97			20		
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	98			20		
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	99			20		
9	9	16	16	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	100	articStaccatoBelow				
9	9	131/8	131/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32		1/32	1	101			21		
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	102			21		
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	103			21		
9	9	17	17	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	104	articStaccatoBelow				
9	9	139/8	139/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32		1/32	1	105			22		
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	106			22		
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	107			22		
9	9	16	16	0.0	0	0	StaffText	2/4	4	1	0						"<font size=""12""/><b><i>poco cresc.</i></b>"			
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	108					
9	9	17	17	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	109					
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	110					
10	10	18	18	0.0	0	0	StaffText	2/4	1	1	0						"<font size=""12""/><b><i>p</i></b>"			
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	111					
10	10	19	19	0.0	1/4	1/4	Spanner	2/4	1	1	0								4	
10	10	19	19	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	112			23	4	
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	113					
10	10	19	19	0.0	1/4	1/4	Spanner	2/4	2	1	0								5	
10	10	18	18	0.0	0	0	StaffText	2/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"			
10	10	18	18	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	114					
10	10	19	19	0.0	1/4	1/4	Spanner	2/4	3	1	0								6	
10	10	19	19	1.0	1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	115			24	6	
10	10	18	18	0.0	0	0	StaffText	2/4	4	1	0						"<font size=""12""/><b><i>p</i></b>"			
10	10	18	18	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	116					
10	10	19	19	0.0	1/4	1/4	StaffText	2/4	4	1	0						arco			
10	10	19	19	0.0	1/4	1/4	Spanner	2/4	4	1	0								7	
10	10	19	19	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	117			25	7	
11	11	20	20	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	118				4	
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	1	1	0									
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	1	1	0								8	
11	11	21	21	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	119			26	8	
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	2	1	0									
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	2	1	0								9	
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	120			27	9	
11	11	20	20	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	121				6	
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	3	1	0									
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	3	1	0								10	
11	11	21	21	1.0	1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	122			28	10	
11	11	20	20	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	123				7	
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	4	1	0									
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	4	1	0								11	
11	11	21	21	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	124			29	11	
12	12	22	22	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	125				8	
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	1	1	0									
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	1	1	0								12	
12	12	23	23	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	126			30	12	
12	12	22	22	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	127				9	
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	2	1	0									
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	2	1	0								13	
12	12	22	22	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	128				10	
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	3	1	0									
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	3	1	0								14	
12	12	23	23	1.0	1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	129			31	14	
12	12	22	22	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	130				11	
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	4	1	0									
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	4	1	0								15	
12	12	23	23	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	131			32	15	
13	13	24	24	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	132				12	
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	1	1	0									
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	1	1	0								16	
13	13	25	25	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	133			33	16	
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	2	1	0									
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	2	1	0								17	
13	13	25	25	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	134			34	17	
13	13	24	24	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	135				14	
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	3	1	0									
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	3	1	0								18	
13	13	25	25	1.0	1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	136			35	18	
13	13	24	24	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	137				15	
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	4	1	0									
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	4	1	0								19	
13	13	25	25	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	138			36	19	
14	14	26	26	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	139				16	
14	14	27	27	0.0	1/4	1/4	Spanner	2/4	1	1	0									
14	14	27	27	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	140			37		
14	14	26	26	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	141				17	
14	14	27	27	0.0	1/4	1/4	Spanner	2/4	2	1	0									
14	14	27	27	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	142			38		
14	14	26	26	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	143				18	
14	14	27	27	0.0	1/4	1/4	Spanner	2/4	3	1	0									
14	14	27	27	1.0	1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	144					
14	14	26	26	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	145				19	
14	14	27	27	0.0	1/4	1/4	Spanner	2/4	4	1	0									
14	14	27	27	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	146					
15	15	28	28	0.0	0	0	StaffText	2/4	1	1	0						"<font size=""12""/><b><i>p</i></b>"			
15	15	28	28	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	147					
15	15	29	29	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	148			39		
15	15	175/6	175/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	149			39		
15	15	88/3	88/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	150			39		
15	15	59/2	59/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	151			39		
15	15	89/3	89/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	152			39		
15	15	179/6	179/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	153					
15	15	28	28	0.0	0	0	StaffText	2/4	2	1	0						"<font size=""12""/><b><i>cresc.</i></b>"			
15	15	28	28	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	154					
15	15	28	28	0.0	0	0	StaffText	2/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"			
15	15	28	28	0.0	0	0	StaffText	2/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"			
15	15	28	28	0.0	0	0	StaffText	2/4	3	1	0						"<font size=""12""/><b><i>cresc.</i></b>"			
15	15	28	28	2.0	0	0	Chord	2/4	3	1	1/2		1/2	1	155					
15	15	28	28	0.0	0	0	StaffText	2/4	4	1	0						"<font size=""12""/><b><i>cresc.</i></b>"			
15	15	28	28	2.0	0	0	Chord	2/4	4	1	1/2		1/2	1	156					
16	16	30	30	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	157			40		
16	16	181/6	181/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	158			40		
16	16	91/3	91/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	159			40		
16	16	61/2	61/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	160			40		
16	16	92/3	92/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	161			40		
16	16	185/6	185/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	162			40		
16	16	31	31	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	163			40		
16	16	187/6	187/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	164			40		
16	16	94/3	94/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	165			40		
16	16	63/2	63/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	166			40		
16	16	95/3	95/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	167			40		
16	16	191/6	191/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	168					
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	169					
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	170	articStaccatoBelow				
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	171	articStaccatoBelow				
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	172	articStaccatoBelow				
16	16	30	30	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	173					
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	174	articStaccatoBelow				
16	16	31	31	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	175	articStaccatoBelow				
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	176	articStaccatoBelow				
16	16	30	30	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	177					
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	178	articStaccatoBelow				
16	16	31	31	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	179	articStaccatoBelow				
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	180	articStaccatoBelow				
17	17	32	32	0.0	0	0	StaffText	2/4	1	1	0						"<font size=""12""/><b><i>f</i></b>"			
17	17	32	32	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	181					
17	17	65/2	65/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	182			41		
17	17	263/8	263/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	183					
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	184	articStaccatoAbove				
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	185	articStaccatoAbove				
17	17	32	32	0.0	0	0	StaffText	2/4	2	1	0						"<font size=""12""/><b><i>p</i></b>"			
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	186					
17	17	67/2	67/2	0.375	3/8	3/8	Chord	2/4	2	1	3/32		1/16	3/2	187			42		
17	17	271/8	271/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	188					
17	17	32	32	0.0	0	0	StaffText	2/4	3	1	0						"<font size=""12""/><b><i>f</i></b>"			
17	17	32	32	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	189					
17	17	67/2	67/2	0.375	3/8	3/8	Chord	2/4	3	1	3/32		1/16	3/2	190			43		
17	17	271/8	271/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32		1/32	1	191					
17	17	32	32	0.0	0	0	StaffText	2/4	4	1	0						"<font size=""12""/><b><i>f</i></b>"			
17	17	32	32	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	192					
18	18	34	34	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	193					
18	18	34	34	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	194	articStaccatoBelow				
18	18	69/2	69/2	0.375	1/8	1/8	Chord	2/4	2	1	3/32		1/16	3/2	195			44		
18	18	279/8	279/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	196					
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	197	articStaccatoBelow				
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	198					
18	18	34	34	0.0	0	0	StaffText	2/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"			
18	18	34	34	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	199	articStaccatoBelow				
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	200	articStaccatoBelow				
18	18	35	35	1.0	1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	201					
18	18	34	34	0.0	0	0	StaffText	2/4	4	1	0						"<font size=""12""/><b><i>p</i></b>"			
18	18	34	34	0.0	0	0	StaffText	2/4	4	1	0						"<font size=""12""/><b><i>p</i></b>"			
18	18	69/2	69/2	0.375	1/8	1/8	Chord	2/4	4	1	3/32		1/16	3/2	202			45		
18	18	279/8	279/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32		1/32	1	203					
18	18	35	35	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	204	articStaccatoBelow				
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	205	articStaccatoBelow				
19	19	36	36	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	206			46		
19	19	291/8	291/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	207					
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	208	articStaccatoAbove				
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	209	articStaccatoAbove				
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	210	articStaccatoAbove				
19	19	36	36	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	211			47		
