mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
6	5	9	9	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	48											
6	5	10	10	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	49											
7	6	11	11	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	50		articStaccatoBelow									
7	6	12	12	0.0		1/4	1/4	Dynamic	2/4	1	1	0					f										
7	6	12	12	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	51											
7	6	51/4	51/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	52											
7	6	11	11	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	53											
7	6	12	12	0.0		1/4	1/4	Dynamic	2/4	2	1	0					f										
7	6	12	12	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	54											
7	6	51/4	51/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	55											
7	6	11	11	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	56											
7	6	12	12	0.75		1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	57											
7	6	51/4	51/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	58											
7	6	11	11	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	59											
7	6	12	12	0.0		1/4	1/4	Dynamic	2/4	4	1	0					f										
7	6	12	12	0.0		1/4	1/4	Dynamic	2/4	4	1	0					f										
7	6	12	12	0.75		1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	60											
7	6	51/4	51/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	61											
8	7	13	13	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	62		articStaccatoAbove									
8	7	27/2	27/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	63		articStaccatoAbove									
8	7	14	14	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	64		articStaccatoAbove									
8	7	29/2	29/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	65		articStaccatoAbove									
8	7	13	13	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	66		articStaccatoBelow									
8	7	27/2	27/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	67		articStaccatoBelow									
8	7	14	14	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	68		articStaccatoBelow									
8	7	29/2	29/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	69		articStaccatoBelow									
8	7	13	13	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	70		articStaccatoAbove									
8	7	27/2	27/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	71		articStaccatoAbove									
8	7	14	14	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	72		articStaccatoAbove									
8	7	29/2	29/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	73		articStaccatoAbove									
8	7	13	13	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	74		articStaccatoBelow									
8	7	27/2	27/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	75		articStaccatoBelow									
8	7	14	14	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	76		articStaccatoBelow									
8	7	29/2	29/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	77		articStaccatoBelow									
9	8	15	15	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	78											
9	8	15	15	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	79											
9	8	15	15	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	80											
9	8	15	15	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	81											
10	8	16	16	0.0		0	1/4	Dynamic	2/4	1	1	0					pp										
10	8	16	16	0.75		0	1/4	Chord	2/4	1	1	3/16		1/8	3/2	82									4		
10	8	67/4	67/4	0.25		3/16	7/16	Chord	2/4	1	1	1/16		1/16	1	83									4		
10	8	16	16	0.0		0	1/4	Dynamic	2/4	2	1	0					pp										
10	8	16	16	1.0		0	1/4	Chord	2/4	2	1	1/4		1/4	1	84									5		
10	8	16	16	0.0		0	1/4	Dynamic	2/4	3	1	0					pp										
10	8	16	16	1.0		0	1/4	Chord	2/4	3	1	1/4		1/4	1	85									6		
10	8	16	16	0.0		0	1/4	Dynamic	2/4	4	1	0					pp										
10	8	16	16	1.0		0	1/4	Chord	2/4	4	1	1/4		1/4	1	86									7		
11	9	17	17	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	87									4		
11	9	18	18	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	88									4		
11	9	75/4	75/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	89									4		
11	9	17	17	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	90									5		
11	9	18	18	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	91									5		
11	9	17	17	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	92									6		
11	9	18	18	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	93									6		
11	9	17	17	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	94									7		
11	9	18	18	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	95									7		
12	10	19	19	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	96									4		
12	10	20	20	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	97									4		
12	10	83/4	83/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	98									4		
12	10	19	19	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	99									5		
12	10	20	20	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	100									5		
12	10	19	19	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	101									6		
12	10	20	20	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	102									6		
12	10	19	19	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	103									8		
12	10	20	20	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	104											
13	11	21	21	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	105									9		
13	11	22	22	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	106											
13	11	21	21	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	107									5		
13	11	22	22	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	108											
13	11	21	21	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	109									6		
13	11	22	22	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	110									6		
13	11	21	21	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	111									10		
13	11	22	22	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	112											
14	12	23	23	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	113											
14	12	24	24	0.0		1/4	1/4	StaffText	2/4	1	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>cresc.</i>"								
14	12	24	24	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	114									11		
14	12	99/4	99/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	115									11		
14	12	23	23	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	116											
14	12	24	24	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	117									12		
14	12	99/4	99/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	118									12		
14	12	23	23	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	119											
14	12	24	24	0.0		1/4	1/4	StaffText	2/4	3	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>cresc.</i>"								
14	12	24	24	0.0		1/4	1/4	StaffText	2/4	3	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>cresc.</i>"								
14	12	24	24	0.75		1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	120									13		
14	12	99/4	99/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	121									13		
14	12	23	23	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	122											
14	12	24	24	0.0		1/4	1/4	StaffText	2/4	4	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>cresc.</i>"								
14	12	24	24	0.75		1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	123									14		
14	12	99/4	99/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	124									14		
15	13	25	25	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	125		articStaccatoAbove									
15	13	26	26	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	126									15		
15	13	107/4	107/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	127									15		
15	13	25	25	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	128		articStaccatoBelow									
15	13	26	26	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	129									16		
15	13	107/4	107/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	130									16		
15	13	25	25	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	131		articStaccatoAbove									
15	13	26	26	0.75		1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	132									17		
15	13	107/4	107/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	133									17		
15	13	25	25	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	134		articStaccatoAbove									
15	13	26	26	0.75		1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	135									18		
15	13	107/4	107/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	136									18		
16	14	27	27	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	137		articStaccatoAbove									
16	14	28	28	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	138									19		
16	14	115/4	115/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	139									19		
16	14	27	27	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	140		articStaccatoBelow									
16	14	28	28	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	141									20		
16	14	115/4	115/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	142									20		
16	14	27	27	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	143		articStaccatoBelow									
16	14	28	28	0.75		1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	144									21		
16	14	115/4	115/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	145									21		
16	14	27	27	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	146		articStaccatoAbove									
16	14	28	28	0.75		1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	147									22		
16	14	115/4	115/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	148									22		
17	15	29	29	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	149		articStaccatoAbove									
17	15	30	30	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	150									23		
17	15	123/4	123/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	151									23		
17	15	29	29	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	152		articStaccatoAbove									
17	15	30	30	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	153									24		
17	15	123/4	123/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	154									24		
17	15	29	29	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	155		articStaccatoAbove									
17	15	30	30	0.75		1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	156									25		
17	15	123/4	123/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	157									25		
17	15	29	29	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	158		articStaccatoAbove									
17	15	30	30	0.75		1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	159									26		
17	15	123/4	123/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	160									26		
18	16	31	31	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	161		articStaccatoAbove									
18	16	32	32	0.0		1/4	1/4	Dynamic	2/4	1	1	0					f										
18	16	32	32	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	162									27		
18	16	131/4	131/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	163									27		
18	16	31	31	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	164		articStaccatoAbove									
18	16	32	32	0.0		1/4	1/4	Dynamic	2/4	2	1	0					f										
18	16	32	32	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	165									28		
18	16	131/4	131/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	166									28		
18	16	31	31	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	167		articStaccatoAbove									
18	16	32	32	0.75		1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	168									29		
18	16	131/4	131/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	169									29		
18	16	31	31	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	170		articStaccatoAbove									
18	16	32	32	0.0		1/4	1/4	Dynamic	2/4	4	1	0					f										
18	16	32	32	0.0		1/4	1/4	Dynamic	2/4	4	1	0					f										
18	16	32	32	0.75		1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	171									30		
18	16	131/4	131/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	172									30		
19	17	33	33	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	173		articStaccatoAbove									
19	17	34	34	0.0		1/4	1/4	Dynamic	2/4	1	1	0					sf										
19	17	34	34	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	174									31		
19	17	139/4	139/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	175									31		
19	17	33	33	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	176		articStaccatoBelow									
19	17	34	34	0.0		1/4	1/4	Dynamic	2/4	2	1	0					sf										
19	17	34	34	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	177									32		
19	17	139/4	139/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	178									32		
19	17	33	33	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	179		articStaccatoBelow									
19	17	34	34	0.0		1/4	1/4	Dynamic	2/4	3	1	0					sf										
19	17	34	34	0.75		1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	180									33		
19	17	139/4	139/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	181									33		
19	17	33	33	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	182		articStaccatoAbove									
19	17	34	34	0.0		1/4	1/4	Dynamic	2/4	4	1	0					sf										
19	17	34	34	0.75		1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	183									34		
19	17	139/4	139/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	184									34		
20	18	35	35	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	185		articStaccatoAbove									
20	18	36	36	0.0		1/4	1/4	Dynamic	2/4	1	1	0					sf										
20	18	36	36	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	186									35		
20	18	147/4	147/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	187											
20	18	35	35	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	188		articStaccatoAbove									
20	18	36	36	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	189									36		
20	18	147/4	147/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	190											
20	18	35	35	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	191		articStaccatoBelow									
20	18	36	36	0.0		1/4	1/4	Dynamic	2/4	3	1	0					sf										
20	18	36	36	0.75		1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	192									37		
20	18	147/4	147/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	193											
20	18	35	35	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	194		articStaccatoBelow									
20	18	36	36	0.0		1/4	1/4	Dynamic	2/4	4	1	0					sf										
20	18	36	36	0.0		1/4	1/4	Dynamic	2/4	4	1	0					sf										
20	18	36	36	0.75		1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	195									38		
20	18	147/4	147/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	196											
21	19	37	37	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	197		articStaccatoAbove									
21	19	75/2	75/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	198		articStaccatoAbove									
21	19	38	38	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	199		articStaccatoAbove									
21	19	77/2	77/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	200		articStaccatoAbove									
21	19	37	37	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	201		articStaccatoBelow									
21	19	75/2	75/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	202		articStaccatoBelow									
21	19	38	38	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	203		articStaccatoBelow									
21	19	77/2	77/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	204		articStaccatoBelow									
21	19	37	37	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	205		articStaccatoBelow									
21	19	75/2	75/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	206		articStaccatoBelow									
21	19	38	38	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	207		articStaccatoBelow									
21	19	77/2	77/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	208		articStaccatoBelow									
21	19	37	37	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	209		articStaccatoBelow									
21	19	75/2	75/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	210		articStaccatoBelow									
21	19	38	38	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	211		articStaccatoBelow									
21	19	77/2	77/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	212		articStaccatoBelow									
22	20	39	39	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	213											
22	20	39	39	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	214											
22	20	39	39	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	215											
22	20	39	39	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	216											
23	20	40	40	0.0		0	1/4	StaffText	2/4	4	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>sempre f e staccato</i>"								
23	20	40	40	0.5		0	1/4	Chord	2/4	4	1	1/8		1/8	1	217		articStaccatoAbove									
23	20	81/2	81/2	0.5		1/8	3/8	Chord	2/4	4	1	1/8		1/8	1	218		articStaccatoAbove									
24	21	42	42	0.0		1/4	1/4	StaffText	2/4	1	1	0							"<i><font size=""9.2082""/><font face=""Times New Roman""/>sempre f e staccato</i>"								
24	21	42	42	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	219		articStaccatoAbove									
24	21	85/2	85/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	220		articStaccatoAbove									
24	21	41	41	0.0		0	0	StaffText	2/4	3	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>sempre f e staccato</i>"								
24	21	41	41	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	221		articStaccatoAbove									
24	21	83/2	83/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	222		articStaccatoAbove									
24	21	42	42	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	223		articStaccatoAbove									
24	21	85/2	85/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	224		articStaccatoAbove									
24	21	41	41	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	225		articStaccatoBelow									
24	21	83/2	83/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	226		articStaccatoBelow									
24	21	42	42	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	227		articStaccatoBelow									
24	21	85/2	85/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	228		articStaccatoBelow									
25	22	43	43	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	229		articStaccatoAbove									
25	22	87/2	87/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	230		articStaccatoAbove									
25	22	44	44	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	231		articStaccatoAbove									
25	22	89/2	89/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	232		articStaccatoAbove									
25	22	43	43	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	233		articStaccatoBelow									
25	22	87/2	87/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	234		articStaccatoBelow									
25	22	44	44	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	235		articStaccatoBelow									
25	22	89/2	89/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	236		articStaccatoBelow									
25	22	43	43	0.0		0	0	StaffText	2/4	3	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>sempre f e staccato</i>"								
25	22	43	43	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	237											
25	22	43	43	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	238											
