mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	crescendo_line
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	95									29				
11	11	32	32	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	96													
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	97		articStaccatoAbove											
11	11	30	30	0.0	0	0	Dynamic	3/4	4	1	0					p												
11	11	30	30	0.0	0	0	Dynamic	3/4	4	1	0					p												
11	11	30	30	0.0	0	0	Spanner	3/4	4	1	0																	
11	11	30	30	0.0	0	0	Spanner	3/4	4	1	0																	
11	11	30	30	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	98									30				
11	11	32	32	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	99									30				
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	100													
12	12	33	33	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
12	12	33	33	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	101									31				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	102													
12	12	67/2	67/2	0.0	1/8	1/8	StaffText	3/4	2	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	103									32				
12	12	34	34	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	104													
12	12	33	33	0.0	0	0	StaffText	3/4	3	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
12	12	33	33	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	105									33				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	106													
12	12	33	33	0.0	0	0	StaffText	3/4	4	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
12	12	33	33	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	107									34				
12	12	35	35	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	108									34				
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	109													
13	13	36	36	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	110									35				
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	111									35				
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	112									35				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	113									35				
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	114									36				
13	13	37	37	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	115													
13	13	36	36	1.5	0	0	Chord	3/4	3	1	3/8		1/4	3/2	116									37				
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	117									37				
13	13	38	38	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	118									37				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	119									37				
13	13	36	36	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	120									38				
13	13	38	38	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	121									38				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	122													
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	123		articStaccatoAbove											
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	124		articStaccatoAbove							39				
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	125		articStaccatoAbove											
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	126									40				
14	14	40	40	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	127													
14	14	39	39	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	128		articStaccatoAbove											
14	14	40	40	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	129		articStaccatoAbove							41				
14	14	41	41	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	130		articStaccatoAbove											
14	14	39	39	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	131									42				
14	14	41	41	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	132									42				
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	133													
15	15	42	42	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	134													
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	135									43				
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	136									44				
15	15	43	43	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	137													
15	15	42	42	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	138													
15	15	43	43	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	139													
15	15	42	42	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	140									45				
15	15	44	44	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	141									45				
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	142													
16	16	45	45	0.0	0	0	Spanner	3/4	1	1	0													43		7		
16	16	45	45	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	143									43		7		
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	144											7		
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	145		articStaccatoAbove							46		7		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	146		articStaccatoAbove									7		
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0															8		
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	147									47		8		
16	16	46	46	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	148											8		
16	16	45	45	0.0	0	0	Spanner	3/4	3	1	0															9		
16	16	46	46	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	149											9		
16	16	45	45	0.0	0	0	Spanner	3/4	4	1	0															10		
16	16	45	45	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	150									48		10		
16	16	47	47	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	151									48		10		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	152											10		
17	17	48	48	0.0	0	0	Dynamic	3/4	1	1	0					p												
17	17	48	48	0.0	0	0	Spanner	3/4	1	1	0																	
17	17	48	48	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	153									49				
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	154									49				
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	155													
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																	
17	17	97/2	97/2	0.0	1/8	1/8	Dynamic	3/4	2	1	0					p												
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	156									50				
17	17	49	49	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	157													
17	17	48	48	0.0	0	0	Spanner	3/4	3	1	0																	
17	17	49	49	0.0	1/4	1/4	Dynamic	3/4	3	1	0					p												
17	17	49	49	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	158													
17	17	48	48	0.0	0	0	Dynamic	3/4	4	1	0					p												
17	17	48	48	0.0	0	0	Spanner	3/4	4	1	0																	
17	17	48	48	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	159									51				
17	17	50	50	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	160									51				
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	161													
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	162													
18	18	103/2	103/2	0.0	1/8	1/8	Spanner	3/4	2	1	0																10	
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	163									52			10	
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	164									52, 53			10	
18	18	53	53	0.0	1/2	1/2	Spanner	3/4	2	1	0													52				
18	18	53	53	0.0	1/2	1/2	Spanner	3/4	2	1	0													52		11		
18	18	53	53	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	165									52		11		
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	166											11		
18	18	52	52	0.0	1/4	1/4	Spanner	3/4	3	1	0															12		
18	18	52	52	0.0	1/4	1/4	Spanner	3/4	3	1	0															12	11	
18	18	52	52	1.5	1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	167									54		12	11	
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	168											12	11	
18	18	52	52	2.0	1/4	1/4	Chord	3/4	3	2	1/2		1/2	1	169											12	11	
18	18	51	51	0.0	0	0	Spanner	3/4	4	1	0																12	
18	18	51	51	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	170									55			12	
18	18	53	53	0.0	1/2	1/2	Spanner	3/4	4	1	0													55		13	12	
18	18	53	53	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	171									55		13	12	
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	172											13	12	
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	173									56				
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	174													
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																	
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	175									57				
19	19	55	55	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	176													
19	19	54	54	0.0	0	0	Spanner	3/4	3	1	0																	
19	19	54	54	0.0	0	0	Spanner	3/4	3	1	0																	
19	19	55	55	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	177													
19	19	54	54	0.0	0	0	Spanner	3/4	4	1	0																	
19	19	54	54	0.0	0	0	Spanner	3/4	4	1	0																	
19	19	54	54	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	178									58				
19	19	56	56	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	179									58				
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	180													
20	20	57	57	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
20	20	57	57	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	181													
20	20	115/2	115/2	0.0	1/8	1/8	StaffText	3/4	2	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	182									59				
20	20	58	58	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	183													
20	20	58	58	0.0	1/4	1/4	StaffText	3/4	3	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
20	20	58	58	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	184													
20	20	57	57	0.0	0	0	StaffText	3/4	4	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
20	20	57	57	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	185									60				
20	20	59	59	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	186									60				
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	187													
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	188									61				
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	189													
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	190									62				
21	21	61	61	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	191													
21	21	61	61	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	192													
21	21	60	60	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	193									63				
21	21	62	62	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	194									63				
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	195													
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	196													
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	197													
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	198													
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	199									64				
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	200									65				
22	22	65	65	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	201									65				
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	202													
22	22	64	64	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	203									66				
22	22	65	65	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	204									66				
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	205													
22	22	63	63	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	206									67				
22	22	65	65	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	207									67				
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	208													
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	209									68				
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	210													
