mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
6	6	15	15	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	21										
6	6	15	15	0.0		0	0	Dynamic	3/4	3	1	0					pp									
6	6	15	15	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	22							1			
6	6	17	17	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	23										
6	6	15	15	0.0		0	0	Dynamic	3/4	4	1	0					pp									
6	6	15	15	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	24							2			
6	6	17	17	0.75		1/2	1/2	Chord	3/4	4	1	3/16		1/8	3/2	25		ornamentTrill					2			
6	6	71/4	71/4	0.125		11/16	11/16	Chord	3/4	4	1	1/32		1/32	1	26							2			
6	6	143/8	143/8	0.125		23/32	23/32	Chord	3/4	4	1	1/32		1/32	1	27							2			
7	7	18	18	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	28										
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	29							3			
7	7	19	19	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30							3			
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31										
7	7	18	18	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	32										
7	7	19	19	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	33										
7	7	20	20	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	34										
7	7	18	18	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	35							2			
7	7	20	20	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	36										
8	8	21	21	0.0		0	0	Dynamic	3/4	1	1	0					f									
8	8	21	21	0.0		0	0	Spanner	3/4	1	1	0													4	
8	8	21	21	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	37									4	
8	8	21	21	0.0		0	0	Dynamic	3/4	2	1	0					f									
8	8	21	21	0.0		0	0	Spanner	3/4	2	1	0													5	
8	8	21	21	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	38									5	
8	8	21	21	0.0		0	0	Dynamic	3/4	3	1	0					f									
8	8	21	21	0.0		0	0	Spanner	3/4	3	1	0													6	
8	8	21	21	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	39									6	
8	8	21	21	0.0		0	0	Dynamic	3/4	4	1	0					f									
8	8	21	21	0.0		0	0	Spanner	3/4	4	1	0													7	
8	8	21	21	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	40									7	
9	9	24	24	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	41									4	
9	9	24	24	0.0		0	0	Dynamic	3/4	2	1	0					p								5	
9	9	24	24	0.0		0	0	Dynamic	3/4	2	1	0					p								5	
9	9	24	24	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	42									5	
9	9	24	24	0.0		0	0	Dynamic	3/4	3	1	0					p								6	
9	9	24	24	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	43									6	
9	9	24	24	0.0		0	0	Dynamic	3/4	4	1	0					p								7	
9	9	24	24	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	44									7	
10	10	27	27	0.0		0	0	StaffText	3/4	1	1	0							<i>sempre</i>							
10	10	27	27	0.0		0	0	Spanner	3/4	1	1	0														
10	10	27	27	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	45										
10	10	27	27	0.0		0	0	StaffText	3/4	2	1	0							<i>sempre</i>							
10	10	27	27	0.0		0	0	Dynamic	3/4	2	1	0					pp									
10	10	27	27	0.0		0	0	Dynamic	3/4	2	1	0					pp									
10	10	27	27	0.0		0	0	Spanner	3/4	2	1	0														
10	10	27	27	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	46										
10	10	27	27	0.0		0	0	StaffText	3/4	3	1	0							<i>sempre</i>							
10	10	27	27	0.0		0	0	Dynamic	3/4	3	1	0					pp									
10	10	27	27	0.0		0	0	Spanner	3/4	3	1	0														
10	10	27	27	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	47										
10	10	27	27	0.0		0	0	StaffText	3/4	4	1	0							<i>sempre</i>							
10	10	27	27	0.0		0	0	Dynamic	3/4	4	1	0					pp									
10	10	27	27	0.0		0	0	Spanner	3/4	4	1	0														
10	10	27	27	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	48										
11	11	30	30	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	49										
11	11	30	30	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	50										
11	11	32	32	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	51										
11	11	30	30	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	52										
11	11	30	30	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	53										
12	12	33	33	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	54							4			
12	12	33	33	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	55										
12	12	33	33	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	56										
12	12	33	33	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	57							5			
12	12	35	35	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	58										
13	13	36	36	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	59							4			
13	13	38	38	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	60							4			
13	13	38	38	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	61		ornamentTrill					4			
13	13	155/4	155/4	0.125		11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	62							4			
13	13	311/8	311/8	0.125		23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	63										
13	13	36	36	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	64							6			
13	13	38	38	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	65										
13	13	36	36	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	66							7			
13	13	38	38	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	67										
13	13	36	36	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	68							8			
13	13	38	38	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	69										
14	14	39	39	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	70										
14	14	39	39	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	71										
14	14	39	39	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	72										
14	14	39	39	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	73										
15	15	42	42	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	74										
15	15	42	42	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	75										
15	15	42	42	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	76										
15	15	42	42	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	77										
16	16	45	45	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	78										
16	16	45	45	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	79										
16	16	45	45	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	80										
16	16	45	45	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	81										
17	17	48	48	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	82										
17	17	48	48	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	83							9			
17	17	50	50	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	84							9			
17	17	48	48	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	85										
17	17	48	48	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	86										
18	18	51	51	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	87										
18	18	51	51	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	88							9			
18	18	53	53	0.75		1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	89		ornamentTrill					9			
18	18	215/4	215/4	0.125		11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	90							9			
18	18	431/8	431/8	0.125		23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	91										
18	18	51	51	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	92										
18	18	53	53	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	93										
18	18	51	51	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	94										
19	19	54	54	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	95										
19	19	54	54	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	96										
19	19	54	54	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	97										
19	19	54	54	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	98										
20	20	57	57	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	99							10			
20	20	57	57	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	100										
20	20	57	57	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	101										
20	20	57	57	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	102										
21	21	60	60	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	103										
21	21	60	60	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	104										
21	21	60	60	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	105										
21	21	60	60	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	106										
22	22	63	63	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	107										
22	22	63	63	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	108										
22	22	63	63	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	109										
22	22	63	63	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	110										
23	23	66	66	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	111										
23	23	66	66	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	112										
23	23	66	66	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	113										
23	23	66	66	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	114										
24	24	69	69	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	115										
24	24	69	69	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	116										
24	24	69	69	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	117										
24	24	69	69	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	118										
26	26	75	75	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	119										
26	26	75	75	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	120										
26	26	75	75	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	121										
26	26	75	75	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	122										
27	27	78	78	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	123										
27	27	78	78	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	124										
27	27	78	78	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	125										
27	27	78	78	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	126										
28	28	81	81	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	127										
28	28	81	81	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	128										
28	28	81	81	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	129										
28	28	81	81	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	130										
29	29	84	84	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	131										
29	29	84	84	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	132										
29	29	84	84	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	133										
29	29	84	84	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	134										
30	29	86	86	0.0		0	3/4	Tempo	4/4	1	1	0								Allegrovivace	120.0	1.0				
30	29	86	86	0.0		0	3/4	Dynamic	4/4	1	1	0					p									
30	29	86	86	0.5		0	3/4	Chord	4/4	1	1	1/8		1/8	1	135		articStaccatoBelow								
30	29	86	86	0.5		0	3/4	Chord	4/4	2	1	1/8		1/8	1	136		articStaccatoBelow								
30	29	86	86	0.0		0	3/4	Dynamic	4/4	3	1	0					p									
30	29	86	86	0.0		0	3/4	Dynamic	4/4	3	1	0					p									
30	29	86	86	0.5		0	3/4	Chord	4/4	3	1	1/8		1/8	1	137		articStaccatoBelow								
30	29	86	86	0.0		0	3/4	Dynamic	4/4	4	1	0					p									
30	29	86	86	0.5		0	3/4	Chord	4/4	4	1	1/8		1/8	1	138		articStaccatoBelow								
31	30	87	87	3.0		0	0	Chord	4/4	1	1	3/4		1/2	3/2	139										
31	30	90	90	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	140		articStaccatoAbove								
31	30	363/4	363/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	141		articStaccatoAbove								
31	30	87	87	3.0		0	0	Chord	4/4	2	1	3/4		1/2	3/2	142										
31	30	87	87	3.0		0	0	Chord	4/4	3	1	3/4		1/2	3/2	143										
31	30	87	87	3.0		0	0	Chord	4/4	4	1	3/4		1/2	3/2	144										
32	31	91	91	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	145							11			
32	31	183/2	183/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	146										
32	31	92	92	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	147		articStaccatoAbove								
32	31	371/4	371/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	148		articStaccatoAbove								
32	31	93	93	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	149							12			
32	31	187/2	187/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	150										
32	31	94	94	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	151		articStaccatoAbove								
32	31	379/4	379/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	152		articStaccatoAbove								
33	32	95	95	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	153							13			
33	32	191/2	191/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	154										
33	32	96	96	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	155		articStaccatoBelow								
33	32	387/4	387/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	156		articStaccatoBelow								
33	32	97	97	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	157		articStaccatoBelow					14			
33	32	195/2	195/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	158		articStaccatoBelow					14			
33	32	98	98	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	159		articStaccatoBelow					14			
33	32	197/2	197/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	160		articStaccatoBelow								
34	33	99	99	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	161		articStaccatoBelow					15			
34	33	199/2	199/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	162		articStaccatoBelow					15			
34	33	100	100	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	163		articStaccatoBelow					15			
34	33	201/2	201/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	164		articStaccatoBelow								
34	33	101	101	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	165		articStaccatoBelow					16			
34	33	203/2	203/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	166		articStaccatoBelow					16			
34	33	102	102	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	167		articStaccatoBelow					16			
34	33	205/2	205/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	168		articStaccatoBelow								
35	34	103	103	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	169							17			
35	34	105	105	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	170										
35	34	106	106	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	171		articStaccatoBelow								
35	34	106	106	0.0		3/4	3/4	Dynamic	4/4	2	1	0					f									
35	34	106	106	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	172		articStaccatoBelow								
35	34	104	104	1.0		1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	173							18			
35	34	105	105	0.5		1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	174										
35	34	106	106	0.0		3/4	3/4	Dynamic	4/4	3	1	0					f									
35	34	106	106	0.5		3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	175		articStaccatoBelow								
35	34	106	106	0.0		3/4	3/4	Dynamic	4/4	4	1	0					f									
35	34	106	106	0.0		3/4	3/4	Dynamic	4/4	4	1	0					f									
35	34	106	106	0.5		3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	176		articStaccatoAbove								
36	35	107	107	3.0		0	0	Chord	4/4	1	1	3/4		1/2	3/2	177										
36	35	110	110	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	178		articStaccatoAbove								
36	35	443/4	443/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	179		articStaccatoAbove								
36	35	107	107	3.0		0	0	Chord	4/4	2	1	3/4		1/2	3/2	180										
36	35	110	110	0.0		3/4	3/4	Dynamic	4/4	2	1	0					p									
36	35	107	107	3.0		0	0	Chord	4/4	3	1	3/4		1/2	3/2	181										
36	35	107	107	3.0		0	0	Chord	4/4	4	1	3/4		1/2	3/2	182										
37	36	111	111	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	183							19			
37	36	223/2	223/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	184										
37	36	112	112	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	185		articStaccatoAbove								
37	36	451/4	451/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	186		articStaccatoAbove								
37	36	113	113	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	187							20			
37	36	227/2	227/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	188										
37	36	114	114	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	189		articStaccatoAbove								
37	36	459/4	459/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	190		articStaccatoAbove								
38	37	115	115	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	191							21			
38	37	231/2	231/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	192										
38	37	116	116	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	193		articStaccatoAbove								
38	37	467/4	467/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	194		articStaccatoAbove								
38	37	117	117	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	195		articStaccatoAbove					22			
38	37	235/2	235/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	196		articStaccatoAbove					22			
38	37	118	118	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	197		articStaccatoAbove					22			
38	37	237/2	237/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	198		articStaccatoAbove								
39	38	119	119	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	199		articStaccatoBelow					23			
39	38	239/2	239/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	200		articStaccatoBelow					23			
39	38	120	120	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	201		articStaccatoBelow					23			
39	38	241/2	241/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	202		articStaccatoBelow								
39	38	121	121	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	203		articStaccatoBelow					24			
39	38	243/2	243/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	204		articStaccatoBelow					24			
39	38	122	122	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	205		articStaccatoBelow					24			
39	38	245/2	245/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	206		articStaccatoBelow								
40	39	123	123	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	207		articStaccatoBelow					25			
40	39	247/2	247/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	208		articStaccatoBelow					25			
40	39	124	124	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	209		articStaccatoBelow					25			
40	39	249/2	249/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	210		articStaccatoBelow								
40	39	125	125	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	211		articStaccatoBelow					26			
40	39	251/2	251/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	212		articStaccatoBelow					26			
40	39	126	126	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	213		articStaccatoBelow					26			
40	39	253/2	253/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	214		articStaccatoBelow								
41	40	127	127	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	215							27			
41	40	129	129	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	216										
41	40	130	130	0.0		3/4	3/4	Dynamic	4/4	1	1	0					pp									
41	40	130	130	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	217		articStaccatoBelow								
41	40	128	128	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	218							28			
41	40	129	129	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	219										
41	40	130	130	0.0		3/4	3/4	Dynamic	4/4	2	1	0					pp									
41	40	130	130	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	220		articStaccatoBelow								
41	40	130	130	0.0		3/4	3/4	Dynamic	4/4	3	1	0					pp									
41	40	130	130	0.5		3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	221		articStaccatoBelow								
41	40	130	130	0.0		3/4	3/4	Dynamic	4/4	4	1	0					pp									
41	40	130	130	0.5		3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	222		articStaccatoAbove								
42	41	131	131	0.0		0	0	StaffText	4/4	1	1	0							<i>cresc.</i>							
42	41	131	131	4.0		0	0	Chord	4/4	1	1	1		1	1	223										
42	41	131	131	0.0		0	0	StaffText	4/4	2	1	0							<i>cresc.</i>							
42	41	131	131	4.0		0	0	Chord	4/4	2	1	1		1	1	224										
42	41	131	131	0.0		0	0	StaffText	4/4	3	1	0							<i>cresc.</i>							
42	41	131	131	4.0		0	0	Chord	4/4	3	1	1		1	1	225										
42	41	131	131	0.0		0	0	StaffText	4/4	4	1	0							<i>cresc.</i>							
42	41	131	131	4.0		0	0	Chord	4/4	4	1	1		1	1	226										
43	42	135	135	4.0		0	0	Chord	4/4	1	1	1		1	1	227										
43	42	135	135	0.0		0	0	Dynamic	4/4	2	1	0					f									
43	42	135	135	4.0		0	0	Chord	4/4	2	1	1		1	1	228										
43	42	135	135	0.0		0	0	Dynamic	4/4	3	1	0					f									
43	42	135	135	4.0		0	0	Chord	4/4	3	1	1		1	1	229										
43	42	135	135	0.0		0	0	Dynamic	4/4	4	1	0					f									
43	42	135	135	0.0		0	0	Dynamic	4/4	4	1	0					f									
43	42	135	135	4.0		0	0	Chord	4/4	4	1	1		1	1	230										
44	43	139	139	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	231										
44	43	141	141	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	232										
