mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
73	71	208	214	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	651							
73	71	209	215	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	652							
73	71	210	216	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	653							
73	71	208	214	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	654							
73	71	209	215	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	655							
73	71	210	216	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	656							
73	71	208	214	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	657							
73	71	209	215	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	658							
73	71	210	216	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	659							
74	72	211	217	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	660	articStaccatoAbove						
74	72	212	218	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	661	articStaccatoAbove						
74	72	213	219	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	662	articStaccatoAbove						
74	72	211	217	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	663							
74	72	212	218	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	664							
74	72	213	219	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	665							
74	72	211	217	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	666							
74	72	212	218	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	667							
74	72	213	219	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	668							
74	72	211	217	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	669							
74	72	212	218	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	670							
74	72	213	219	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	671							
75	73	214	220	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	672	articStaccatoAbove						
75	73	215	221	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	673	articStaccatoBelow						
75	73	216	222	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	674	articStaccatoAbove						
75	73	214	220	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	675							
75	73	215	221	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	676							
75	73	216	222	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	677							
75	73	214	220	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	678							
75	73	215	221	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	679							
75	73	216	222	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	680							
75	73	214	220	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	681							
75	73	215	221	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	682							
75	73	216	222	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	683							
76	74	217	223	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	684	articStaccatoAbove						
76	74	218	224	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	685	articStaccatoAbove						
76	74	219	225	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	686	articStaccatoAbove						
76	74	217	223	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	687							
76	74	218	224	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	688							
76	74	219	225	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	689							
76	74	217	223	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	690							
76	74	218	224	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	691							
76	74	219	225	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	692							
76	74	217	223	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	693							
76	74	218	224	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	694							
76	74	219	225	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	695							
77	75	220	226	0.0		0	0	StaffText	3/4	1	1	0						"<font size=""12""/><b><i>fp</i></b>"					
77	75	220	226	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	696	articStaccatoAbove						
77	75	221	227	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	697						44	
77	75	443/2	455/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	698						44	
77	75	222	228	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	699						44	
77	75	445/2	457/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	700							
77	75	220	226	0.0		0	0	StaffText	3/4	2	1	0						"<font size=""12""/><b><i>fp</i></b>"					
77	75	220	226	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	701							
77	75	221	227	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	702							
77	75	222	228	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	703							
77	75	220	226	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""12""/><b><i>fp</i></b>"					
77	75	220	226	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	704							
77	75	221	227	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	705							
77	75	222	228	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	706							
77	75	220	226	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""12""/><b><i>fp</i></b>"					
77	75	220	226	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	707							
77	75	221	227	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	708							
77	75	222	228	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	709							
78	76	223	229	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	710	articStaccatoBelow						
78	76	224	230	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	711	articStaccatoAbove						
78	76	225	231	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	712	articStaccatoAbove						
78	76	223	229	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	713							
78	76	224	230	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	714							
78	76	225	231	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	715							
78	76	223	229	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	716							
78	76	224	230	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	717							
78	76	225	231	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	718							
78	76	223	229	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	719							
78	76	224	230	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	720							
78	76	225	231	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	721							
79	77	226	232	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	722	articStaccatoAbove						
79	77	227	233	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	723	articStaccatoAbove						
79	77	228	234	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	724	articStaccatoAbove						
79	77	226	232	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	725							
79	77	227	233	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	726							
79	77	228	234	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	727							
79	77	226	232	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	728							
79	77	227	233	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	729							
79	77	228	234	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	730							
79	77	226	232	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	731							
79	77	227	233	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	732							
79	77	228	234	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	733							
80	78	229	235	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	734	articStaccatoAbove						
80	78	230	236	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	735	articStaccatoAbove						
80	78	231	237	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	736	articStaccatoAbove						
80	78	229	235	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	737							
80	78	230	236	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	738							
80	78	231	237	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	739							
80	78	229	235	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	740							
80	78	230	236	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	741							
80	78	231	237	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	742							
80	78	229	235	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	743							
80	78	230	236	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	744							
80	78	231	237	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	745							
81	79	232	238	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	746							
81	79	233	239	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	747							
81	79	234	240	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	748							
81	79	232	238	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	749							
81	79	233	239	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	750							
81	79	234	240	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	751							
81	79	232	238	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	752							
81	79	233	239	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	753							
81	79	234	240	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	754							
81	79	232	238	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	755							
81	79	233	239	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	756							
81	79	234	240	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	757							
82	80	235	241	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	758							
82	80	236	242	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	759							
82	80	237	243	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	760							
82	80	235	241	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	761							
82	80	236	242	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	762							
82	80	237	243	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	763							
82	80	235	241	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	764							
82	80	236	242	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	765							
82	80	237	243	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	766							
82	80	235	241	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	767							
82	80	236	242	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	768							
82	80	237	243	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	769							
83	81	238	244	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	770							
83	81	239	245	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	771							
83	81	240	246	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	772							
83	81	238	244	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	773							
83	81	239	245	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	774							
83	81	240	246	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	775							
83	81	238	244	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	776							
83	81	239	245	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	777							
83	81	240	246	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	778							
83	81	238	244	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	779							
83	81	239	245	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	780							
83	81	240	246	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	781							
84	82	241	247	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	782							
84	82	242	248	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	783							
84	82	243	249	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	784							
84	82	241	247	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	785							
84	82	242	248	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	786							
84	82	243	249	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	787							
84	82	241	247	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	788							
84	82	242	248	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	789							
84	82	243	249	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	790							
84	82	241	247	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	791							
84	82	242	248	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	792							
84	82	243	249	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	793							
85	83	244	250	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	794							
85	83	244	250	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	795							
85	83	244	250	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	796							
85	83	245	251	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	797						45	
85	83	491/2	503/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	798						45	
85	83	246	252	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	799						45	
85	83	493/2	505/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	800							
85	83	244	250	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	801							
85	83	245	251	0.5		1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	802						46	
85	83	491/2	503/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	803						46	
85	83	246	252	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	804						46	
85	83	493/2	505/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	805							
86	84	247	253	0.0		0	0	StaffText	3/4	1	1	0						"<font size=""10""/><i>cresc.</i>"					
86	84	248	254	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	806						47	
86	84	497/2	509/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	807						47	
86	84	249	255	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	808						47	
86	84	499/2	511/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	809							
86	84	248	254	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	810						48	
86	84	497/2	509/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	811						48	
86	84	249	255	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	812						48	
86	84	499/2	511/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	813							
86	84	247	253	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""10""/><i>cresc.</i>"					
86	84	247	253	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	814							
86	84	247	253	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""10""/><i>cresc.</i>"					
86	84	247	253	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	815							
87	85	250	256	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	816							
87	85	250	256	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	817							
87	85	251	257	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	818						49	
87	85	503/2	515/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	819						49	
87	85	252	258	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	820						49	
87	85	505/2	517/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	821							
87	85	251	257	0.5		1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	822						50	
87	85	503/2	515/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	823						50	
87	85	252	258	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	824						50	
87	85	505/2	517/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	825							
88	86	254	260	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	826						51	
88	86	509/2	521/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	827						51	
88	86	255	261	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	828						51	
88	86	511/2	523/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	829							
88	86	254	260	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	830						52	
88	86	509/2	521/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	831						52	
88	86	255	261	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	832						52	
88	86	511/2	523/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	833							
88	86	253	259	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	834							
88	86	253	259	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	835							
89	87	256	262	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	836							
89	87	256	262	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	837							
89	87	257	263	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	838						53	
89	87	515/2	527/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	839						53	
89	87	258	264	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	840						53	
89	87	517/2	529/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	841							
89	87	257	263	0.5		1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	842						54	
89	87	515/2	527/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	843						54	
89	87	258	264	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	844						54	
89	87	517/2	529/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	845							
90	88	260	266	0.0		1/4	1/4	Spanner	3/4	1	1	0											0
90	88	260	266	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	846						55	0
90	88	521/2	533/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	847						55	0
90	88	261	267	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	848						55	0
90	88	523/2	535/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	849							0
90	88	260	266	0.0		1/4	1/4	Spanner	3/4	2	1	0											1
90	88	260	266	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	850						56	1
90	88	521/2	533/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	851						56	1
90	88	261	267	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	852						56	1
90	88	523/2	535/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	853							1
90	88	259	265	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	854							
90	88	259	265	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	855							
91	89	262	268	0.0		0	0	StaffText	3/4	1	1	0						"<font size=""12""/><b><i>p</i></b>"					
91	89	262	268	0.0		0	0	Spanner	3/4	1	1	0											
91	89	262	268	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	856							
91	89	264	270	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	857							
91	89	262	268	0.0		0	0	Spanner	3/4	2	1	0											
91	89	262	268	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	858							
91	89	264	270	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	859							
91	89	262	268	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"					
91	89	262	268	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"					
91	89	262	268	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	860							
91	89	264	270	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	861							
91	89	262	268	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""12""/><b><i>p</i></b>"					
91	89	262	268	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	862							
91	89	264	270	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	863							
92	90	265	271	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	864						57	
92	90	267	273	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	865							
92	90	265	271	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	866							
92	90	265	271	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	867						58	
92	90	267	273	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	868							
92	90	265	271	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	869							
93	91	268	274	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	870							
93	91	268	274	0.0		0	0	StaffText	3/4	2	1	0						"<font size=""10""/><i>cresc.</i>"					
93	91	268	274	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	871	articStaccatoBelow						
93	91	269	275	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	872						59	
93	91	539/2	551/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	873						59	
93	91	270	276	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	874						59	
93	91	541/2	553/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	875							
93	91	268	274	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""10""/><i>cresc.</i>"					
93	91	268	274	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	876	articStaccatoAbove						
93	91	269	275	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	877						60	
93	91	539/2	551/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	878						60	
93	91	270	276	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	879						60	
93	91	541/2	553/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	880							
93	91	268	274	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""10""/><i>cresc.</i>"					
93	91	268	274	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	881							
94	92	271	277	0.0		0	0	StaffText	3/4	1	1	0						"<font size=""10""/><i>cresc.</i>"					
94	92	272	278	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	882						61	
94	92	545/2	557/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	883						61	
94	92	273	279	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	884						61	
94	92	547/2	559/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	885							
94	92	271	277	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	886							
94	92	272	278	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	887						62	
94	92	545/2	557/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	888						62	
94	92	273	279	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	889						62	
94	92	547/2	559/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	890							
94	92	271	277	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	891							
94	92	271	277	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	892							
95	93	274	280	0.0		0	0	StaffText	3/4	1	1	0						"<font size=""12""/><b><i>p</i></b>"					
95	93	274	280	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	893							
95	93	276	282	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	894							
95	93	274	280	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	895							
95	93	276	282	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	896							
95	93	274	280	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"					
95	93	274	280	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"					
95	93	274	280	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	897							
95	93	276	282	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	898							
95	93	274	280	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""12""/><b><i>p</i></b>"					
95	93	274	280	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	899							
95	93	276	282	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	900							
96	94	277	283	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	901						63	
96	94	279	285	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	902							
96	94	277	283	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	903							
96	94	277	283	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	904						64	
96	94	279	285	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	905							
96	94	277	283	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	906							
97	95	280	286	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	907							
97	95	282	288	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	908							
97	95	280	286	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	909							
97	95	282	288	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	910							
97	95	280	286	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	911							
97	95	282	288	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	912							
97	95	280	286	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	913							
97	95	282	288	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	914							
98	96	283	289	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	915						65	
98	96	285	291	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	916							
98	96	283	289	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	917							
98	96	283	289	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	918						66	
98	96	285	291	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	919							
98	96	283	289	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	920							
99	97	286	292	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	921							
99	97	287	293	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	922						67	
99	97	575/2	587/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	923						67	
99	97	288	294	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	924						67	
99	97	577/2	589/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	925							
99	97	286	292	0.0		0	0	StaffText	3/4	2	1	0						"<font size=""12""/><b><i>fp</i></b>"					
99	97	286	292	0.0		0	0	StaffText	3/4	2	1	0						"<font size=""12""/><b><i>fp</i></b>"					
99	97	286	292	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	926							
99	97	287	293	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	927							
