mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va
4	3	8	8	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	25				6	
4	3	9	9	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf			6	
4	3	9	9	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	26				6	
4	3	7	7	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	27					
4	3	8	8	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	28				7	
4	3	9	9	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf			7	
4	3	9	9	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	29				7	
5	4	10	10	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	30				4	
5	4	11	11	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	31					
5	4	12	12	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	32				8	
5	4	51/4	51/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	33					
5	4	10	10	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	34				5	
5	4	11	11	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	35					
5	4	10	10	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	36				6	
5	4	11	11	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	37					
5	4	10	10	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	38				7	
5	4	11	11	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	39					
6	5	13	13	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	40					
6	5	15	15	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
6	5	15	15	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	41					
6	5	13	13	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	42					
6	5	15	15	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
6	5	15	15	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43					
6	5	13	13	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	44					
6	5	15	15	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
6	5	15	15	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	45					
6	5	13	13	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	46		articStaccatoBelow			
6	5	14	14	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	47		articStaccatoAbove			
6	5	15	15	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf				
6	5	15	15	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	48					
7	6	16	16	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	49					
7	6	18	18	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
7	6	18	18	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	50				9	
7	6	16	16	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	51					
7	6	18	18	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
7	6	18	18	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	52					
7	6	16	16	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	53		articStaccatoAbove			
7	6	17	17	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	54		articStaccatoBelow			
7	6	18	18	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
7	6	18	18	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	55					
7	6	16	16	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	56		articStaccatoAbove			
7	6	17	17	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	57		articStaccatoBelow			
7	6	18	18	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf				
7	6	18	18	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	58					
8	7	19	19	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	59				9	
8	7	20	20	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	60					
8	7	21	21	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	61					
8	7	19	19	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	62					
8	7	20	20	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	63					
8	7	21	21	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	64					
8	7	19	19	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	65					
8	7	20	20	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	66					
8	7	21	21	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	67					
8	7	19	19	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	68					
8	7	20	20	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	69					
8	7	21	21	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	70					
9	8	22	22	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	71					
9	8	22	22	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	72					
9	8	22	22	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	73					
9	8	22	22	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	74					
10	8	24	24	0.75		0	1/2	Chord	3/4	2	1	3/16		1/8	3/2	75				10	
10	8	99/4	99/4	0.25		3/16	11/16	Chord	3/4	2	1	1/16		1/16	1	76					
10	8	24	24	0.0		0	1/2	Dynamic	3/4	3	1	0					f				
11	9	25	25	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	77				11	
11	9	27	27	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	78				11	
11	9	25	25	0.0		0	0	Dynamic	3/4	3	1	0					f				
11	9	25	25	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	79				12	
11	9	27	27	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	80				12	
11	9	25	25	0.0		0	0	Dynamic	3/4	4	1	0					f				
11	9	25	25	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	81					
11	9	26	26	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	82					
11	9	27	27	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	83					
12	10	28	28	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	84				11	
12	10	29	29	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	85				11	
12	10	30	30	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	86				11	
12	10	28	28	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	87				12	
12	10	29	29	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	88				12	
12	10	30	30	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	89				12	
12	10	28	28	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	90					
12	10	29	29	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	91					
12	10	30	30	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	92					
13	11	31	31	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	93				11	
13	11	32	32	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	94				11	
13	11	33	33	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	95					
13	11	31	31	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	96				12	
13	11	32	32	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	97				12	
13	11	33	33	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	98					
13	11	31	31	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	99					
13	11	32	32	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	100					
13	11	33	33	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	101					
14	12	34	34	0.0		0	0	Dynamic	3/4	1	1	0					sf				
14	12	34	34	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	102					
14	12	34	34	0.0		0	0	Dynamic	3/4	2	1	0					sf				
14	12	34	34	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	103				13	
14	12	36	36	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	104				13	
14	12	73/2	73/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	105					
14	12	34	34	0.0		0	0	Dynamic	3/4	3	1	0					sf				
14	12	34	34	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	106				14	
14	12	36	36	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	107				14	
14	12	73/2	73/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	108					
14	12	34	34	0.0		0	0	Dynamic	3/4	4	1	0					sf				
14	12	34	34	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	109					
14	12	35	35	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	110					
14	12	36	36	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	111					
15	13	37	37	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	112				15	
15	13	39	39	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
15	13	39	39	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	113					
15	13	37	37	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	114				16	
15	13	39	39	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
15	13	39	39	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	115					
15	13	37	37	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	116				17	
15	13	39	39	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
15	13	39	39	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	117					
15	13	37	37	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	118					
15	13	38	38	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	119					
15	13	39	39	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf				
15	13	39	39	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	120					
16	14	40	40	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	121				18	
16	14	42	42	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
16	14	42	42	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	122					
16	14	40	40	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	123				19	
16	14	42	42	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
16	14	42	42	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	124					
16	14	40	40	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	125				20	
16	14	42	42	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
16	14	42	42	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	126					
16	14	40	40	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	127					
16	14	41	41	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	128					
16	14	42	42	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf				
16	14	42	42	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	129					
17	15	43	43	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	130				21	
17	15	45	45	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
17	15	45	45	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	131					
17	15	43	43	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	132				22	
17	15	45	45	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
17	15	45	45	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	133					
17	15	43	43	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	134				23	
17	15	45	45	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
17	15	45	45	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	135					
17	15	43	43	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	136					
17	15	44	44	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	137					
17	15	45	45	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf				
17	15	45	45	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	138					
18	16	46	46	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	139					
18	16	48	48	0.0		1/2	1/2	Dynamic	3/4	1	1	0					p				
18	16	48	48	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	140				24	
18	16	195/4	195/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	141					
18	16	46	46	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	142					
18	16	48	48	0.0		1/2	1/2	Dynamic	3/4	2	1	0					p				
18	16	48	48	0.75		1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	143				25	
18	16	195/4	195/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	144					
18	16	46	46	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	145					
18	16	46	46	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	146					
19	17	49	49	0.0		0	0	StaffText	3/4	1	1	0							cresc.		
19	17	49	49	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	147				26	
19	17	51	51	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	148				26	
19	17	49	49	0.0		0	0	StaffText	3/4	2	1	0							cresc.		
19	17	49	49	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	149				27	
19	17	51	51	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	150				27	
19	17	49	49	0.0		0	0	StaffText	3/4	3	1	0							cresc.		
19	17	49	49	0.0		0	0	Dynamic	3/4	3	1	0					p				
19	17	49	49	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	151				28	
19	17	51	51	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	152				28	
19	17	49	49	0.0		0	0	StaffText	3/4	4	1	0							cresc.		
19	17	49	49	0.0		0	0	Dynamic	3/4	4	1	0					p				
19	17	49	49	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	153					
19	17	50	50	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	154					
19	17	51	51	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	155					
20	18	52	52	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	156				26	
20	18	53	53	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	157				26	
20	18	54	54	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	158				26	
20	18	52	52	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	159				27	
20	18	53	53	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	160				27	
20	18	54	54	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	161				27	
20	18	52	52	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	162				28	
20	18	53	53	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	163				28	
20	18	54	54	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	164				28	
20	18	52	52	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	165					
20	18	53	53	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	166					
20	18	54	54	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	167					
21	19	55	55	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	168				26	
21	19	56	56	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	169				26	
21	19	57	57	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	170				26	
21	19	55	55	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	171				27	
21	19	56	56	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	172				27	
21	19	57	57	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	173				27	
21	19	55	55	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	174				28	
21	19	56	56	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	175				28	
21	19	57	57	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	176				28	
21	19	55	55	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	177					
21	19	56	56	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	178					
21	19	57	57	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	179					
22	20	58	58	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	180				26	
22	20	59	59	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	181				26	
22	20	119/2	119/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	182				26	
22	20	60	60	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	183				26	
22	20	121/2	121/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	184					
22	20	58	58	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	185				27	
22	20	59	59	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	186				27	
22	20	119/2	119/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	187				27	
22	20	60	60	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	188				27	
22	20	121/2	121/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	189					
22	20	58	58	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	190				28	
22	20	59	59	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	191				28	
22	20	119/2	119/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	192				28	
22	20	60	60	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	193				28	
22	20	121/2	121/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	194					
22	20	58	58	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	195					
22	20	59	59	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	196					
22	20	60	60	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	197					
23	21	61	61	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	198				29	
23	21	63	63	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
23	21	63	63	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	199					
23	21	61	61	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	200				30	
23	21	62	62	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	201				30	
23	21	63	63	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
23	21	63	63	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	202					
23	21	61	61	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	203				31	
23	21	62	62	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	204				31	
23	21	63	63	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
23	21	63	63	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	205					
23	21	61	61	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	206					
23	21	62	62	0.0		1/4	1/4	Dynamic	3/4	4	1	0					sf				
23	21	62	62	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	207					
24	22	64	64	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	208				32	
24	22	66	66	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
24	22	66	66	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	209					
24	22	64	64	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	210				33	
24	22	65	65	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	211				33	
24	22	66	66	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
24	22	66	66	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	212					
24	22	64	64	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	213				34	
24	22	65	65	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	214				34	
24	22	66	66	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
24	22	66	66	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	215					
24	22	64	64	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	216					
24	22	65	65	0.0		1/4	1/4	Dynamic	3/4	4	1	0					sf				
24	22	65	65	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	217					
25	23	67	67	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	218				35	
25	23	69	69	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
25	23	69	69	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	219					
25	23	67	67	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	220				36	
25	23	68	68	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	221				36	
25	23	69	69	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
25	23	69	69	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	222					
25	23	67	67	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	223				37	
25	23	68	68	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	224				37	
25	23	69	69	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
25	23	69	69	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	225					
25	23	67	67	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	226					
25	23	68	68	0.0		1/4	1/4	Dynamic	3/4	4	1	0					sf				
25	23	68	68	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	227				38	
26	24	70	70	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	228					
26	24	70	70	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	229					
26	24	71	71	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	230					
26	24	72	72	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	231				39	
26	24	70	70	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	232				40	
26	24	71	71	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	233				40	
26	24	72	72	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	234					
26	24	70	70	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	235				38	
26	24	71	71	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	236				38	
26	24	72	72	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	237					
27	25	73	73	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	238					
27	25	73	73	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	239				39	
27	25	74	74	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	240					
27	25	75	75	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	241					
27	25	73	73	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	242				41	
27	25	75	75	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	243				41	
27	25	73	73	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	244				42	
27	25	75	75	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	245				42	
28	26	76	76	0.0		0	0	Chord	3/4	1	1	0	grace16after	1/16	1	246					
28	26	76	76	0.0		0	0	Chord	3/4	1	1	0	grace16after	1/16	1	247					
28	26	76	76	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	248		ornamentTrill			
28	26	76	76	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	249					
28	26	77	77	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	250					
28	26	78	78	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	251					
28	26	76	76	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	252				41	
