quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
165	1.0	42	42	1/4	1/4	4/4	4	1		1	V65	dcml	a	iv		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
166	3.0	42	42	1/2	1/2	4/4	4	1		1	V43	dcml	a	iv		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
169	1.0	43	43	1/4	1/4	4/4	4	1		1	i	dcml	a	iv		i		i							m	1	1	0, -3, 1		0	0
170	2.0	43	43	1/2	1/2	4/4	4	1		1	VI.V7/V	dcml	a	VI		V7/V		V		7		V			Mm7	1	0	2, 6, 3, 0		2	2
172	2.0	44	44	0	0	4/4	4	1		1	V7	dcml	a	VI		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
174	2.0	44	44	1/2	1/2	4/4	4	1		1	V(64)	dcml	a	VI		V(64)		V			64				M	1	0	1, 0, 4		1	1
176	2.0	45	45	0	0	4/4	4	1		1	V	dcml	a	VI		V		V							M	1	0	1, 5, 2		1	1
178	1.0	45	45	1/2	1/2	4/4	4	1		1	V(64)	dcml	a	VI		V(64)		V			64				M	1	0	1, 0, 4		1	1
179	1.0	45	45	3/4	3/4	4/4	4	1		1	V2/IV	dcml	a	VI		V2/IV		V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
180	1.0	46	46	0	0	4/4	4	1		1	IV6	dcml	a	VI		IV6		IV		6					M	1	0	3, 0, -1		-1	3
181	1.0	46	46	1/4	1/4	4/4	4	1		1	I6	dcml	a	VI		I6		I		6					M	1	0	4, 1, 0		0	4
182	3.0	46	46	1/2	1/2	4/4	4	1		1	IV	dcml	a	VI		IV		IV							M	1	0	-1, 3, 0		-1	-1
185	1.0	47	47	1/4	1/4	4/4	4	1		1	V65/V	dcml	a	VI		V65/V		V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
