quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
90	3.5	21	21	0	0	9/8	4	1		iv6		d	III		iv6		iv		6					m	1	0	-4, 0, -1		-1	-4
187/2	1.0	21	21	7/8	7/8	9/8	4	1		Ger6		d	III		Ger6	Ger	vii	o	65	b3	V			Ger	1	0	-4, 0, -3, 6		6	-4
189/2	4.5	22	22	0	0	9/8	4	1		V		d	III		V		V							M	1	0	1, 5, 2		1	1
99	4.5	23	23	0	0	9/8	4	1		V2		d	III		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
207/2	4.5	24	24	0	0	9/8	4	1		I6		d	III		I6		I		6					M	1	0	4, 1, 0		0	4
108	3.0	25	25	0	0	9/8	4	1		V65		d	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
111	1.5	25	25	3/4	3/4	9/8	4	1		V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
225/2	1.5	26	26	0	0	9/8	4	1		I		d	III		I		I							M	1	0	0, 4, 1		0	0
114	1.5	26	26	3/8	3/8	9/8	4	1		V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
231/2	1.5	26	26	3/4	3/4	9/8	4	1		I		d	III		I		I							M	1	0	0, 4, 1		0	0
117	1.5	27	27	0	0	9/8	4	1		V2(9)		d	III		V2(9)		V		2	9				Mm7	1	0	-1, 1, 5, 2	3	1	-1
237/2	1.5	27	27	3/8	3/8	9/8	4	1		I6		d	III		I6		I		6					M	1	0	4, 1, 0		0	4
120	1.5	27	27	3/4	3/4	9/8	4	1		V65		d	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
243/2	1.5	28	28	0	0	9/8	4	1		I		d	III		I		I							M	1	0	0, 4, 1		0	0
123	1.5	28	28	3/8	3/8	9/8	4	1		V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
249/2	1.5	28	28	3/4	3/4	9/8	4	1		I		d	III		I		I							M	1	0	0, 4, 1		0	0
126	1.5	29	29	0	0	9/8	4	1		V2(9)		d	III		V2(9)		V		2	9				Mm7	1	0	-1, 1, 5, 2	3	1	-1
255/2	1.5	29	29	3/8	3/8	9/8	4	1		I6		d	III		I6		I		6					M	1	0	4, 1, 0		0	4
129	1.5	29	29	3/4	3/4	9/8	4	1		V65		d	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
261/2	1.5	30	30	0	0	9/8	4	1		I		d	III		I		I							M	1	0	0, 4, 1		0	0
132	1.5	30	30	3/8	3/8	9/8	4	1		IV		d	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
267/2	1.5	30	30	3/4	3/4	9/8	4	1		ii		d	III		ii		ii							m	1	0	2, -1, 3		2	2
135	1.5	31	31	0	0	9/8	4	1		V/vi		d	III		V/vi		V				vi			M	1	0	4, 8, 5		4	4
273/2	1.5	31	31	3/8	3/8	9/8	4	1		vi		d	III		vi		vi							m	1	0	3, 0, 4		3	3
138	1.5	31	31	3/4	3/4	9/8	4	1		ii		d	III		ii		ii							m	1	0	2, -1, 3		2	2
279/2	3.0	32	32	0	0	9/8	4	1		V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
285/2	1.5	32	32	3/4	3/4	9/8	4	1		bVI		d	III		bVI		bVI							M	1	0	-4, 0, -3		-4	-4
144	1.5	33	33	0	0	9/8	4	1		bII6		d	III		bII6		bII		6					M	1	0	-1, -4, -5		-5	-1
291/2	1.5	33	33	3/8	3/8	9/8	4	1		Ger6		d	III		Ger6	Ger	vii	o	65	b3	V			Ger	1	0	-4, 0, -3, 6		6	-4
147	0.5	33	33	3/4	3/4	9/8	4	1		V7(4)		d	III		V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
295/2	1.0	33	33	7/8	7/8	9/8	4	1		V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
297/2	3.5	34	34	0	0	9/8	4	1		I\\		d	III		I		I						\\	M	1	0	0, 4, 1		0	0
152	1.0	34	34	7/8	7/8	9/8	4	1		IV		d	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
153	1.5	35	35	0	0	9/8	4	1		bVII		d	III		bVII		bVII							M	1	0	-2, 2, -1		-2	-2
309/2	1.5	35	35	3/8	3/8	9/8	4	1		viio7/IV		d	III		viio7/IV		vii	o	7		IV			o7	1	0	4, 1, -2, -5		4	4
156	1.5	35	35	3/4	3/4	9/8	4	1		V65/IV		d	III		V65/IV		V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
315/2	1.5	36	36	0	0	9/8	4	1		iv		d	III		iv		iv							m	1	0	-1, -4, 0		-1	-1
159	1.5	36	36	3/8	3/8	9/8	4	1		V65		d	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
321/2	1.5	36	36	3/4	3/4	9/8	4	1		i		d	III		i		i							m	1	0	0, -3, 1		0	0
162	1.5	37	37	0	0	9/8	4	1		bII6		d	III		bII6		bII		6					M	1	0	-1, -4, -5		-5	-1
327/2	1.5	37	37	3/8	3/8	9/8	4	1		Ger6		d	III		Ger6	Ger	vii	o	65	b3	V			Ger	1	0	-4, 0, -3, 6		6	-4
165	0.5	37	37	3/4	3/4	9/8	4	1		V7(4)		d	III		V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
331/2	1.0	37	37	7/8	7/8	9/8	4	1		V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
333/2	3.0	38	38	0	0	9/8	4	1		I\\		d	III		I		I						\\	M	1	0	0, 4, 1		0	0
339/2	1.5	38	38	3/4	3/4	9/8	4	1		I[I		d	III	I	I		I							M	1	0	0, 4, 1		0	0
171	4.5	39	39	0	0	9/8	4	1		viio64]		d	III	I	viio64		vii	o	64					o	1	0	-1, 5, 2		5	-1
351/2	4.5	40	40	0	0	9/8	4	1		I		d	III		I		I							M	1	0	0, 4, 1		0	0
180	1.5	41	41	0	0	9/8	4	1		IV	ii	d	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
363/2	1.5	41	41	3/8	3/8	9/8	4	1		V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
183	1.5	41	41	3/4	3/4	9/8	4	1		I		d	III		I		I							M	1	0	0, 4, 1		0	0
369/2	1.0	42	42	0	0	9/8	4	1		V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
371/2	0.5	42	42	1/4	1/4	9/8	4	1		V(64)		d	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
186	2.5	42	42	3/8	3/8	9/8	4	1		V		d	III		V		V							M	1	0	1, 5, 2		1	1
377/2	0.5	42	42	1	1	9/8	4	1		viio64		d	III		viio64		vii	o	64					o	1	0	-1, 5, 2		5	-1
189	1.25	43	43	0	0	9/8	4	1		I6		d	III		I6		I		6					M	1	0	4, 1, 0		0	4
761/4	0.25	43	43	5/16	5/16	9/8	4	1		viio6		d	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
381/2	1.5	43	43	3/8	3/8	9/8	4	1		I		d	III		I		I							M	1	0	0, 4, 1		0	0
192	1.0	43	43	3/4	3/4	9/8	4	1		vi		d	III		vi		vi							m	1	0	3, 0, 4		3	3
193	0.5	43	43	1	1	9/8	4	1		V65/vi		d	III		V65/vi		V		65		vi			Mm7	1	0	8, 5, 2, 4		4	8
387/2	1.0	44	44	0	0	9/8	4	1		vi		d	III		vi		vi							m	1	0	3, 0, 4		3	3
389/2	0.5	44	44	1/4	1/4	9/8	4	1		ii6		d	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
195	1.5	44	44	3/8	3/8	9/8	4	1		V(64)		d	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
393/2	0.75	44	44	3/4	3/4	9/8	4	1		V7(6)		d	III		V7(6)		V		7	6				Mm7	1	0	1, 5, 4, -1		1	1
789/4	0.75	44	44	15/16	15/16	9/8	4	1		V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
198	1.5	45	45	0	0	9/8	4	1		I		d	III		I		I							M	1	0	0, 4, 1		0	0
399/2	3.0	45	45	3/8	3/8	9/8	4	1		I\\		d	III		I		I						\\	M	1	0	0, 4, 1		0	0
405/2	4.5	46	46	0	0	9/8	4	1		V2/IV		d	III		V2/IV		V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
207	4.5	47	47	0	0	9/8	4	1		V7/ii		d	III		V7/ii		V		7		ii			Mm7	1	0	3, 7, 4, 1		3	3
423/2	1.5	48	48	0	0	9/8	4	1		iv.i		d	iv		i		i							m	1	1	0, -3, 1		0	0
213	1.5	48	48	3/8	3/8	9/8	4	1		i6		d	iv		i6		i		6					m	1	1	-3, 1, 0		0	-3
429/2	1.5	48	48	3/4	3/4	9/8	4	1		V6		d	iv		V6		V		6					M	1	1	5, 2, 1		1	5
216	1.5	49	49	0	0	9/8	4	1		i		d	iv		i		i							m	1	1	0, -3, 1		0	0
435/2	1.5	49	49	3/8	3/8	9/8	4	1		i6		d	iv		i6		i		6					m	1	1	-3, 1, 0		0	-3
219	1.5	49	49	3/4	3/4	9/8	4	1		V		d	iv		V		V							M	1	1	1, 5, 2		1	1
441/2	1.5	50	50	0	0	9/8	4	1		V7/V		d	iv		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
222	1.5	50	50	3/8	3/8	9/8	4	1		V2		d	iv		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
447/2	1.5	50	50	3/4	3/4	9/8	4	1		V		d	iv		V		V							M	1	1	1, 5, 2		1	1
225	1.5	51	51	0	0	9/8	4	1		V65		d	iv		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
453/2	1.5	51	51	3/8	3/8	9/8	4	1		V43		d	iv		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
228	1.5	51	51	3/4	3/4	9/8	4	1		V		d	iv		V		V							M	1	1	1, 5, 2		1	1
459/2	1.5	52	52	0	0	9/8	4	1		vii.ii%65		d	vii		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
231	1.5	52	52	3/8	3/8	9/8	4	1		viio2		d	vii		viio2		vii	o	2					o7	1	1	-11, -2, -5, -8		-2	-11
465/2	1.5	52	52	3/4	3/4	9/8	4	1		viio6		d	vii		viio6		vii	o	6					o	1	1	-5, -8, -2		-2	-5
234	1.5	53	53	0	0	9/8	4	1		V65		d	vii		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
471/2	1.5	53	53	3/8	3/8	9/8	4	1		viio6		d	vii		viio6		vii	o	6					o	1	1	-5, -8, -2		-2	-5
237	1.5	53	53	3/4	3/4	9/8	4	1		V		d	vii		V		V							M	1	1	1, 5, 2		1	1
477/2	1.5	54	54	0	0	9/8	4	1		i\\		d	vii		i		i						\\	m	1	1	0, -3, 1		0	0
240	3.0	54	54	3/8	3/8	9/8	4	1		i		d	vii		i		i							m	1	1	0, -3, 1		0	0
243	4.5	55	55	0	0	9/8	4	1		VI		d	vii		VI		VI							M	1	1	-4, 0, -3		-4	-4
495/2	4.5	56	56	0	0	9/8	4	1		V65/V		d	vii		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
252	4.5	57	57	0	0	9/8	4	1		iv.i		d	iv		i		i							m	1	1	0, -3, 1		0	0
513/2	3.0	58	58	0	0	9/8	4	1		VI		d	iv		VI		VI							M	1	1	-4, 0, -3		-4	-4
519/2	1.5	58	58	3/4	3/4	9/8	4	1		III6		d	iv		III6		III		6					M	1	1	1, -2, -3		-3	1
261	4.5	59	59	0	0	9/8	4	1		viio7/V		d	iv		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
531/2	4.5	60	60	0	0	9/8	4	1		i.i		d	i		i		i							m	1	1	0, -3, 1		0	0
270	4.5	61	61	0	0	9/8	4	1		ii%65		d	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
549/2	4.5	62	62	0	0	9/8	4	1		V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
279	1.5	63	63	0	0	9/8	4	1		i\\		d	i		i		i						\\	m	1	1	0, -3, 1		0	0
561/2	1.5	63	63	3/8	3/8	9/8	4	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
282	1.5	63	63	3/4	3/4	9/8	4	1		V43		d	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
567/2	1.5	64	64	0	0	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
285	1.5	64	64	3/8	3/8	9/8	4	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
573/2	1.5	64	64	3/4	3/4	9/8	4	1		V43		d	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
288	1.5	65	65	0	0	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
579/2	1.5	65	65	3/8	3/8	9/8	4	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
291	1.5	65	65	3/4	3/4	9/8	4	1		V		d	i		V		V							M	1	1	1, 5, 2		1	1
585/2	3.0	66	66	0	0	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
591/2	1.5	66	66	3/4	3/4	9/8	4	1		VI6		d	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
297	1.5	67	67	0	0	9/8	4	1		#viio65(2)		d	i		#viio65(2)		#vii	o	65	2				o7	1	1	2, -1, -4, 0		5	2
597/2	7.5	67	67	3/8	3/8	9/8	4	1		#viio65		d	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
306	1.5	69	69	0	0	9/8	4	1		i6(2)		d	i		i6(2)		i		6	2				m	1	1	-3, 1, 2		0	-3
615/2	3.0	69	69	3/8	3/8	9/8	4	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
621/2	1.5	70	70	0	0	9/8	4	1		ii%65(2)		d	i		ii%65(2)		ii	%	65	2				%7	1	1	-1, -4, 0, -3		2	-1
312	1.5	70	70	3/8	3/8	9/8	4	1		ii%65		d	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
627/2	1.5	70	70	3/4	3/4	9/8	4	1		viio7/V		d	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
315	3.0	71	71	0	0	9/8	4	1		V\\		d	i		V		V						\\	M	1	1	1, 5, 2		1	1
318	0.5	71	71	3/4	3/4	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
637/2	0.5	71	71	7/8	7/8	9/8	4	1		iio6		d	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
319	0.5	71	71	1	1	9/8	4	1		viio7/V		d	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
639/2	3.0	72	72	0	0	9/8	4	1		V		d	i		V		V							M	1	1	1, 5, 2		1	1
645/2	0.5	72	72	3/4	3/4	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
323	0.5	72	72	7/8	7/8	9/8	4	1		iio6		d	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
647/2	0.5	72	72	1	1	9/8	4	1		viio7/V		d	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
324	3.0	73	73	0	0	9/8	4	1		V[V64		d	i	V	V64		V		64					M	1	1	2, 1, 5		1	2
327	1.5	73	73	3/4	3/4	9/8	4	1		IV6		d	i	V	IV6		IV		6					M	1	1	3, 0, -1		-1	3
657/2	3.0	74	74	0	0	9/8	4	1		V6]		d	i	V	V6		V		6					M	1	1	5, 2, 1		1	5
663/2	1.5	74	74	3/4	3/4	9/8	4	1		VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
333	4.0	75	75	0	0	9/8	4	1		I.V		d	I		V		V							M	1	0	1, 5, 2		1	1
337	0.5	75	75	1	1	9/8	4	1		V65		d	I		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
675/2	1.5	76	76	0	0	9/8	4	1		I		d	I		I		I							M	1	0	0, 4, 1		0	0
339	1.5	76	76	3/8	3/8	9/8	4	1		V2		d	I		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
681/2	1.5	76	76	3/4	3/4	9/8	4	1		I6		d	I		I6		I		6					M	1	0	4, 1, 0		0	4
342	1.5	77	77	0	0	9/8	4	1		V2(9)		d	I		V2(9)		V		2	9				Mm7	1	0	-1, 1, 5, 2	3	1	-1
687/2	1.5	77	77	3/8	3/8	9/8	4	1		I6		d	I		I6		I		6					M	1	0	4, 1, 0		0	4
345	1.5	77	77	3/4	3/4	9/8	4	1		V65		d	I		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
693/2	1.5	78	78	0	0	9/8	4	1		I		d	I		I		I							M	1	0	0, 4, 1		0	0
348	1.5	78	78	3/8	3/8	9/8	4	1		V2		d	I		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
699/2	1.5	78	78	3/4	3/4	9/8	4	1		I6		d	I		I6		I		6					M	1	0	4, 1, 0		0	4
351	0.5	79	79	0	0	9/8	4	1		V2(#2)		d	I		V2(#2)		V		2	#2				Mm7	1	0	-1, 1, 10, 2		1	-1
703/2	1.0	79	79	1/8	1/8	9/8	4	1		V2		d	I		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
705/2	1.5	79	79	3/8	3/8	9/8	4	1		I6		d	I		I6		I		6					M	1	0	4, 1, 0		0	4
354	1.5	79	79	3/4	3/4	9/8	4	1		V65		d	I		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
711/2	1.5	80	80	0	0	9/8	4	1		I		d	I		I		I							M	1	0	0, 4, 1		0	0
357	1.5	80	80	3/8	3/8	9/8	4	1		vi	IV	d	I		vi		vi							m	1	0	3, 0, 4		3	3
717/2	1.5	80	80	3/4	3/4	9/8	4	1		ii		d	I		ii		ii							m	1	0	2, -1, 3		2	2
360	1.5	81	81	0	0	9/8	4	1		V/vi		d	I		V/vi		V				vi			M	1	0	4, 8, 5		4	4
723/2	1.5	81	81	3/8	3/8	9/8	4	1		vi		d	I		vi		vi							m	1	0	3, 0, 4		3	3
363	1.5	81	81	3/4	3/4	9/8	4	1		ii		d	I		ii		ii							m	1	0	2, -1, 3		2	2
729/2	3.0	82	82	0	0	9/8	4	1		V7		d	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
735/2	1.5	82	82	3/4	3/4	9/8	4	1		VI		d	I		VI		VI							M	1	0	3, 7, 4		3	3
369	1.5	83	83	0	0	9/8	4	1		bII6		d	I		bII6		bII		6					M	1	0	-1, -4, -5		-5	-1
741/2	1.5	83	83	3/8	3/8	9/8	4	1		Ger6		d	I		Ger6	Ger	vii	o	65	b3	V			Ger	1	0	-4, 0, -3, 6		6	-4
372	0.5	83	83	3/4	3/4	9/8	4	1		V7(4)		d	I		V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
745/2	1.0	83	83	7/8	7/8	9/8	4	1		V7		d	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
747/2	3.0	84	84	0	0	9/8	4	1		I\\		d	I		I		I						\\	M	1	0	0, 4, 1		0	0
753/2	1.5	84	84	3/4	3/4	9/8	4	1		IV		d	I		IV		IV							M	1	0	-1, 3, 0		-1	-1
378	1.5	85	85	0	0	9/8	4	1		VII		d	I		VII		VII							M	1	0	5, 9, 6		5	5
759/2	3.0	85	85	3/8	3/8	9/8	4	1		#viio7/iv		d	I		#viio7/iv		#vii	o	7		iv			o7	1	0	4, 1, -2, -5		4	4
765/2	1.5	86	86	0	0	9/8	4	1		iv		d	I		iv		iv							m	1	0	-1, -4, 0		-1	-1
384	1.5	86	86	3/8	3/8	9/8	4	1		V65		d	I		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
771/2	1.5	86	86	3/4	3/4	9/8	4	1		i		d	I		i		i							m	1	0	0, -3, 1		0	0
387	1.5	87	87	0	0	9/8	4	1		bII6		d	I		bII6		bII		6					M	1	0	-1, -4, -5		-5	-1
777/2	2.0	87	87	3/8	3/8	9/8	4	1		Ger6		d	I		Ger6	Ger	vii	o	65	b3	V			Ger	1	0	-4, 0, -3, 6		6	-4
781/2	1.0	87	87	7/8	7/8	9/8	4	1		V7		d	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
783/2	0.5	88	88	0	0	9/8	4	1		I\\		d	I		I		I						\\	M	1	0	0, 4, 1		0	0
392	4.0	88	88	1/8	1/8	9/8	4	1		I[I64		d	I	I	I64		I		64					M	1	0	1, 0, 4		0	1
396	4.5	89	89	0	0	9/8	4	1		V7]		d	I	I	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
801/2	4.5	90	90	0	0	9/8	4	1		I		d	I		I		I							M	1	0	0, 4, 1		0	0
