quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
42	3.0	15	15	0	0	6/8	4	1		1	I\\	dcml	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
45	3.0	16	16	0	0	6/8	4	1		1	V7	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	1.5	17	17	0	0	6/8	4	1		1	I6	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
99/2	1.5	17	17	3/8	3/8	6/8	4	1		1	V2/IV	dcml	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
51	1.5	18	18	0	0	6/8	4	1		1	IV6	dcml	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
105/2	1.5	18	18	3/8	3/8	6/8	4	1		1	iv6	dcml	A	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
54	1.5	19	19	0	0	6/8	4	1		1	V	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
111/2	1.5	19	19	3/8	3/8	6/8	4	1		1	V2	dcml	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
57	1.5	20	20	0	0	6/8	4	1		1	I6	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
117/2	1.0	20	20	3/8	3/8	6/8	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
119/2	0.5	20	20	5/8	5/8	6/8	4	1		1	V7/V	dcml	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
60	1.5	21	21	0	0	6/8	4	1		1	V	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
123/2	1.5	21	21	3/8	3/8	6/8	4	1		1	V43	dcml	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
63	0.5	22	22	0	0	6/8	4	1		1	I6	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
127/2	0.5	22	22	1/8	1/8	6/8	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
64	0.5	22	22	1/4	1/4	6/8	4	1		1	V6	dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
129/2	0.5	22	22	3/8	3/8	6/8	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
65	0.5	22	22	1/2	1/2	6/8	4	1		1	vi	dcml	A	I		vi	vi							m	0	0	3, 0, 4		3	3
131/2	0.5	22	22	5/8	5/8	6/8	4	1		1	V7/V	dcml	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
66	3.0	23	23	0	0	6/8	4	1		1	V	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
69	3.0	24	24	0	0	6/8	4	1		1	V\\	dcml	A	I		V	V						\\	M	0	0	1, 5, 2		1	1
72	3.0	25	25	0	0	6/8	4	1		1	v.i	dcml	A	v		i	i							m	0	1	0, -3, 1		0	0
75	1.5	26	26	0	0	6/8	4	1		1	VI	dcml	A	v		VI	VI							M	0	1	-4, 0, -3		-4	-4
153/2	1.5	26	26	3/8	3/8	6/8	4	1		1	V	dcml	A	v		V	V							M	0	1	1, 5, 2		1	1
78	1.0	27	27	0	0	6/8	4	1		1	i6	dcml	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
79	0.5	27	27	1/4	1/4	6/8	4	1		1	#viio6	dcml	A	v		#viio6	#vii	o	6					o	0	1	2, -1, 5		5	2
159/2	1.0	27	27	3/8	3/8	6/8	4	1		1	i	dcml	A	v		i	i							m	0	1	0, -3, 1		0	0
161/2	0.5	27	27	5/8	5/8	6/8	4	1		1	#viio	dcml	A	v		#viio	#vii	o						o	0	1	5, 2, -1		5	5
81	1.0	28	28	0	0	6/8	4	1		1	i(94)	dcml	A	v		i(94)	i			94				m	0	1	0, -1, 1	2	0	0
82	0.5	28	28	1/4	1/4	6/8	4	1		1	viio7/V	dcml	A	v		viio7/V	vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
165/2	1.5	28	28	3/8	3/8	6/8	4	1		1	V\\	dcml	A	v		V	V						\\	M	0	1	1, 5, 2		1	1
84	1.0	29	29	0	0	6/8	4	1		1	i	dcml	A	v		i	i							m	0	1	0, -3, 1		0	0
85	0.5	29	29	1/4	1/4	6/8	4	1		1	V43	dcml	A	v		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
171/2	1.0	29	29	3/8	3/8	6/8	4	1		1	i6	dcml	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
173/2	0.5	29	29	5/8	5/8	6/8	4	1		1	V6/iv	dcml	A	v		V6/iv	V		6		iv			M	0	1	4, 1, 0		0	4
87	1.0	30	30	0	0	6/8	4	1		1	iv	dcml	A	v		iv	iv							m	0	1	-1, -4, 0		-1	-1
88	0.5	30	30	1/4	1/4	6/8	4	1		1	V43/iv	dcml	A	v		V43/iv	V		43		iv			Mm7	0	1	1, -2, 0, 4		0	1
177/2	1.0	30	30	3/8	3/8	6/8	4	1		1	iv6	dcml	A	v		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
179/2	0.5	30	30	5/8	5/8	6/8	4	1		1	ii%7	dcml	A	v		ii%7	ii	%	7					%7	0	1	2, -1, -4, 0		2	2
90	0.5	31	31	0	0	6/8	4	1		1	bVII.I(64)	dcml	A	bVII		I(64)	I			64				M	0	0	0, -1, 3		0	0
181/2	0.5	31	31	1/8	1/8	6/8	4	1		1	I	dcml	A	bVII		I	I							M	0	0	0, 4, 1		0	0
91	0.5	31	31	1/4	1/4	6/8	4	1		1	ii6	dcml	A	bVII		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
183/2	0.5	31	31	3/8	3/8	6/8	4	1		1	V7	dcml	A	bVII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
92	0.5	31	31	1/2	1/2	6/8	4	1		1	V(64)	dcml	A	bVII		V(64)	V			64				M	0	0	1, 0, 4		1	1
185/2	0.5	31	31	5/8	5/8	6/8	4	1		1	V7	dcml	A	bVII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
93	1.5	32	32	0	0	6/8	4	1		1	I(974)	dcml	A	bVII		I(974)	I			974				M	0	0	0, -1, 1	2, 5	0	0
189/2	1.0	32	32	3/8	3/8	6/8	4	1		1	I\\	dcml	A	bVII		I	I						\\	M	0	0	0, 4, 1		0	0
191/2	0.5	32	32	5/8	5/8	6/8	4	1		1	v.V	dcml	A	v		V	V							M	0	1	1, 5, 2		1	1
96	1.5	33	33	0	0	6/8	4	1		1	i6	dcml	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
195/2	1.5	33	33	3/8	3/8	6/8	4	1		1	i	dcml	A	v		i	i							m	0	1	0, -3, 1		0	0
99	1.5	34	34	0	0	6/8	4	1		1	VI	dcml	A	v		VI	VI							M	0	1	-4, 0, -3		-4	-4
201/2	1.5	34	34	3/8	3/8	6/8	4	1		1	V	dcml	A	v		V	V							M	0	1	1, 5, 2		1	1
102	1.0	35	35	0	0	6/8	4	1		1	i6	dcml	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
103	0.5	35	35	1/4	1/4	6/8	4	1		1	#viio6	dcml	A	v		#viio6	#vii	o	6					o	0	1	2, -1, 5		5	2
207/2	1.0	35	35	3/8	3/8	6/8	4	1		1	i	dcml	A	v		i	i							m	0	1	0, -3, 1		0	0
209/2	0.5	35	35	5/8	5/8	6/8	4	1		1	#viio	dcml	A	v		#viio	#vii	o						o	0	1	5, 2, -1		5	5
105	1.0	36	36	0	0	6/8	4	1		1	i(94)	dcml	A	v		i(94)	i			94				m	0	1	0, -1, 1	2	0	0
106	0.5	36	36	1/4	1/4	6/8	4	1		1	viio7/V	dcml	A	v		viio7/V	vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
213/2	1.5	36	36	3/8	3/8	6/8	4	1		1	V\\	dcml	A	v		V	V						\\	M	0	1	1, 5, 2		1	1
108	1.0	37	37	0	0	6/8	4	1		1	V.I	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
109	0.5	37	37	1/4	1/4	6/8	4	1		1	V43	dcml	A	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
219/2	1.5	37	37	3/8	3/8	6/8	4	1		1	I6	dcml	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
111	1.0	38	38	0	0	6/8	4	1		1	IV	dcml	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
112	0.5	38	38	1/4	1/4	6/8	4	1		1	V43/IV	dcml	A	V		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
225/2	4.5	38	38	3/8	3/8	6/8	4	1		1	IV6	dcml	A	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
117	3.0	40	40	0	0	6/8	4	1		1	IV	dcml	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
120	1.0	41	41	0	0	6/8	4	1		1	ii6	dcml	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
121	0.5	41	41	1/4	1/4	6/8	4	1		1	V6/ii	dcml	A	V		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
243/2	1.0	41	41	3/8	3/8	6/8	4	1		1	ii	dcml	A	V		ii	ii							m	0	0	2, -1, 3		2	2
245/2	0.5	41	41	5/8	5/8	6/8	4	1		1	ii%2	dcml	A	V		ii%2	ii	%	2					%7	0	0	0, 2, -1, -4		2	0
123	1.5	42	42	0	0	6/8	4	1		1	V65	dcml	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
249/2	0.5	42	42	3/8	3/8	6/8	4	1		1	I	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
125	0.5	42	42	1/2	1/2	6/8	4	1		1	ii6	dcml	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
251/2	0.5	42	42	5/8	5/8	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
126	3.0	43	43	0	0	6/8	4	1		1	I\\	dcml	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
129	1.5	44	44	0	0	6/8	4	1		1	V	dcml	A	V		V	V							M	0	0	1, 5, 2		1	1
261/2	1.5	44	44	3/8	3/8	6/8	4	1		1	V2/ii	dcml	A	V		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
132	1.5	45	45	0	0	6/8	4	1		1	ii6	dcml	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
267/2	1.5	45	45	3/8	3/8	6/8	4	1		1	ii	dcml	A	V		ii	ii							m	0	0	2, -1, 3		2	2
135	1.5	46	46	0	0	6/8	4	1		1	V/iii	dcml	A	V		V/iii	V				iii			M	0	0	5, 9, 6		5	5
273/2	1.5	46	46	3/8	3/8	6/8	4	1		1	#viio6/iii	dcml	A	V		#viio6/iii	#vii	o	6		iii			o	0	0	6, 3, 9		9	6
138	1.5	47	47	0	0	6/8	4	1		1	iii6	dcml	A	V		iii6	iii		6					m	0	0	1, 5, 4		4	1
279/2	1.5	47	47	3/8	3/8	6/8	4	1		1	iii	dcml	A	V		iii	iii							m	0	0	4, 1, 5		4	4
141	3.0	48	48	0	0	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
144	0.5	49	49	0	0	6/8	4	1		1	I6(7)	dcml	A	V		I6(7)	I		6	7				M	0	0	4, 1, 5		0	4
289/2	1.0	49	49	1/8	1/8	6/8	4	1		1	I	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
291/2	0.5	49	49	3/8	3/8	6/8	4	1		1	IV	dcml	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
146	1.0	49	49	1/2	1/2	6/8	4	1		1	IV6	dcml	A	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
147	2.0	50	50	0	0	6/8	4	1		1	V(64)	dcml	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
149	1.0	50	50	1/2	1/2	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
150	3.0	51	51	0	0	6/8	4	1		1	I\\	dcml	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
153	1.5	52	52	0	0	6/8	4	1		1	V	dcml	A	V		V	V							M	0	0	1, 5, 2		1	1
309/2	1.5	52	52	3/8	3/8	6/8	4	1		1	V6	dcml	A	V		V6	V		6					M	0	0	5, 2, 1		1	5
156	1.5	53	53	0	0	6/8	4	1		1	ii6	dcml	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
315/2	1.5	53	53	3/8	3/8	6/8	4	1		1	ii	dcml	A	V		ii	ii							m	0	0	2, -1, 3		2	2
159	1.5	54	54	0	0	6/8	4	1		1	vi	dcml	A	V		vi	vi							m	0	0	3, 0, 4		3	3
321/2	1.5	54	54	3/8	3/8	6/8	4	1		1	vi6	dcml	A	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
162	1.5	55	55	0	0	6/8	4	1		1	iii6	dcml	A	V		iii6	iii		6					m	0	0	1, 5, 4		4	1
327/2	1.5	55	55	3/8	3/8	6/8	4	1		1	iii	dcml	A	V		iii	iii							m	0	0	4, 1, 5		4	4
165	1.5	56	56	0	0	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
333/2	1.5	56	56	3/8	3/8	6/8	4	1		1	V65	dcml	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
168	1.5	57	57	0	0	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
339/2	1.5	57	57	3/8	3/8	6/8	4	1		1	V65	dcml	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
171	1.5	58	58	0	0	6/8	4	1		1	V43	dcml	A	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
345/2	1.0	58	58	3/8	3/8	6/8	4	1		1	V65	dcml	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
347/2	0.5	58	58	5/8	5/8	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
174	1.5	59	59	0	0	6/8	4	1		1	I	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
351/2	1.5	59	59	3/8	3/8	6/8	4	1		1	vi	dcml	A	V		vi	vi							m	0	0	3, 0, 4		3	3
177	1.5	60	60	0	0	6/8	4	1		1	I6	dcml	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
357/2	1.5	60	60	3/8	3/8	6/8	4	1		1	viio/V	dcml	A	V		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
180	1.5	61	61	0	0	6/8	4	1		1	V(64)	dcml	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
363/2	1.5	61	61	3/8	3/8	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
183	3.0	62	62	0	0	6/8	4	1		1	I\\	dcml	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
186	1.5	63	63	0	0	6/8	4	1		1	V(64)	dcml	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
375/2	1.5	63	63	3/8	3/8	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
189	3.0	64	64	0	0	6/8	4	1		1	I	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
192	1.5	65	65	0	0	6/8	4	1		1	V(64)	dcml	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
387/2	1.5	65	65	3/8	3/8	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
195	3.0	66	66	0	0	6/8	4	1		1	I\\	dcml	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
198	3.0	67	67	0	0	6/8	4	1		1	I	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
201	2.0	68	68	0	0	6/8	4	1		1	V2/IV	dcml	A	V		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
203	0.5	68	68	1/2	1/2	6/8	4	1		1	IV6	dcml	A	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
407/2	0.5	68	68	5/8	5/8	6/8	4	1		1	V65/IV	dcml	A	V		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
204	0.5	69	69	0	0	6/8	4	1		1	IV	dcml	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
409/2	0.5	69	69	1/8	1/8	6/8	4	1		1	V43/ii	dcml	A	V		V43/ii	V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
205	0.5	69	69	1/4	1/4	6/8	4	1		1	ii	dcml	A	V		ii	ii							m	0	0	2, -1, 3		2	2
411/2	0.5	69	69	3/8	3/8	6/8	4	1		1	V(64)	dcml	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
206	1.0	69	69	1/2	1/2	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
207	0.5	70	70	0	0	6/8	4	1		1	I(9)	dcml	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
415/2	2.5	70	70	1/8	1/8	6/8	4	1		1	I\\	dcml	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
210	3.0	71	71	0	0	6/8	4	1		1	I	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
213	2.0	72	72	0	0	6/8	4	1		1	V65(2)/ii	dcml	A	V		V65(2)/ii	V		65	2	ii			Mm7	0	0	7, 4, 1, -2		3	7
215	1.0	72	72	1/2	1/2	6/8	4	1		1	V65/ii	dcml	A	V		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
216	1.0	73	73	0	0	6/8	4	1		1	ii	dcml	A	V		ii	ii							m	0	0	2, -1, 3		2	2
217	0.5	73	73	1/4	1/4	6/8	4	1		1	ii6	dcml	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
435/2	0.5	73	73	3/8	3/8	6/8	4	1		1	V(64)	dcml	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
218	1.0	73	73	1/2	1/2	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
219	1.5	74	74	0	0	6/8	4	1		1	I\\	dcml	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
441/2	1.5	74	74	3/8	3/8	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
222	1.5	75	75	0	0	6/8	4	1		1	I	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
447/2	1.5	75	75	3/8	3/8	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
225	1.5	76	76	0	0	6/8	4	1		1	I	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
453/2	1.5	76	76	3/8	3/8	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
228	1.5	77	77	0	0	6/8	4	1		1	I	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
459/2	1.5	77	77	3/8	3/8	6/8	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
231	3.0	78	78	0	0	6/8	4	1		1	I	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
		79	79	0	0	6/8	4	1	1	1	I\\	dcml	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
234	3.0	80	79	0	0	6/8	4	1	2	1	I\\	dcml	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
237	6.0	81	80	0	0	6/8	4	1		1	vi	dcml	A	V		vi	vi							m	0	0	3, 0, 4		3	3
243	2.0	83	82	0	0	6/8	4	1		1	#viio7/ii	dcml	A	V		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
245	0.5	83	82	1/2	1/2	6/8	4	1		1	ii	dcml	A	V		ii	ii							m	0	0	2, -1, 3		2	2
491/2	0.5	83	82	5/8	5/8	6/8	4	1		1	#viio6/ii	dcml	A	V		#viio6/ii	#vii	o	6		ii			o	0	0	4, 1, 7		7	4
246	3.0	84	83	0	0	6/8	4	1		1	ii6	dcml	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
249	2.0	85	84	0	0	6/8	4	1		1	#viio43/ii	dcml	A	V		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
251	0.5	85	84	1/2	1/2	6/8	4	1		1	ii6	dcml	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
503/2	0.5	85	84	5/8	5/8	6/8	4	1		1	#viio6/ii	dcml	A	V		#viio6/ii	#vii	o	6		ii			o	0	0	4, 1, 7		7	4
252	3.0	86	85	0	0	6/8	4	1		1	ii	dcml	A	V		ii	ii							m	0	0	2, -1, 3		2	2
255	2.0	87	86	0	0	6/8	4	1		1	IV.viio43	dcml	A	IV		viio43	vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
257	0.5	87	86	1/2	1/2	6/8	4	1		1	I6	dcml	A	IV		I6	I		6					M	0	0	4, 1, 0		0	4
515/2	0.5	87	86	5/8	5/8	6/8	4	1		1	viio6	dcml	A	IV		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
258	3.0	88	87	0	0	6/8	4	1		1	I	dcml	A	IV		I	I							M	0	0	0, 4, 1		0	0
261	2.0	89	88	0	0	6/8	4	1		1	V2	dcml	A	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
263	0.5	89	88	1/2	1/2	6/8	4	1		1	I6	dcml	A	IV		I6	I		6					M	0	0	4, 1, 0		0	4
527/2	0.5	89	88	5/8	5/8	6/8	4	1		1	V43	dcml	A	IV		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
264	0.5	90	89	0	0	6/8	4	1		1	I	dcml	A	IV		I	I							M	0	0	0, 4, 1		0	0
529/2	1.0	90	89	1/8	1/8	6/8	4	1		1	I6	dcml	A	IV		I6	I		6					M	0	0	4, 1, 0		0	4
531/2	0.5	90	89	3/8	3/8	6/8	4	1		1	IV	dcml	A	IV		IV	IV							M	0	0	-1, 3, 0		-1	-1
266	1.0	90	89	1/2	1/2	6/8	4	1		1	IV6	dcml	A	IV		IV6	IV		6					M	0	0	3, 0, -1		-1	3
267	1.5	91	90	0	0	6/8	4	1		1	V(64)	dcml	A	IV		V(64)	V			64				M	0	0	1, 0, 4		1	1
537/2	1.5	91	90	3/8	3/8	6/8	4	1		1	V7	dcml	A	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
270	1.0	92	91	0	0	6/8	4	1		1	I\\	dcml	A	IV		I	I						\\	M	0	0	0, 4, 1		0	0
271	2.0	92	91	1/4	1/4	6/8	4	1		1	I[I	dcml	A	IV	I	I	I							M	0	0	0, 4, 1		0	0
273	3.0	93	92	0	0	6/8	4	1		1	V7/IV	dcml	A	IV	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
276	3.0	94	93	0	0	6/8	4	1		1	IV64	dcml	A	IV	I	IV64	IV		64					M	0	0	0, -1, 3		-1	0
279	4.5	95	94	0	0	6/8	4	1		1	V7	dcml	A	IV	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
567/2	1.5	96	95	3/8	3/8	6/8	4	1		1	I	dcml	A	IV	I	I	I							M	0	0	0, 4, 1		0	0
285	3.0	97	96	0	0	6/8	4	1		1	V7/IV	dcml	A	IV	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
288	3.0	98	97	0	0	6/8	4	1		1	IV64	dcml	A	IV	I	IV64	IV		64					M	0	0	0, -1, 3		-1	0
291	2.5	99	98	0	0	6/8	4	1		1	V7	dcml	A	IV	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
587/2	0.5	99	98	5/8	5/8	6/8	4	1		1	V2	dcml	A	IV	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
294	3.0	100	99	0	0	6/8	4	1		1	I6]	dcml	A	IV	I	I6	I		6					M	0	0	4, 1, 0		0	4
297	1.5	101	100	0	0	6/8	4	1		1	V2	dcml	A	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
597/2	1.5	101	100	3/8	3/8	6/8	4	1		1	V7	dcml	A	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
300	3.0	102	101	0	0	6/8	4	1		1	I	dcml	A	IV		I	I							M	0	0	0, 4, 1		0	0
303	1.5	103	102	0	0	6/8	4	1		1	IV	dcml	A	IV		IV	IV							M	0	0	-1, 3, 0		-1	-1
609/2	1.5	103	102	3/8	3/8	6/8	4	1		1	V	dcml	A	IV		V	V							M	0	0	1, 5, 2		1	1
306	3.0	104	103	0	0	6/8	4	1		1	I\\	dcml	A	IV		I	I						\\	M	0	0	0, 4, 1		0	0
309	1.5	105	104	0	0	6/8	4	1		1	V2	dcml	A	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
621/2	1.5	105	104	3/8	3/8	6/8	4	1		1	V7	dcml	A	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
312	3.0	106	105	0	0	6/8	4	1		1	I	dcml	A	IV		I	I							M	0	0	0, 4, 1		0	0
