quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	alt_label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
20	1.0	12	10	1/4	1/4	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
21	1.0	13	11	0	0	2/4	4	1		1	Ger6/iii		dcml	Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	0, 4, 1, 10		10	0
22	2.0	13	11	1/4	1/4	2/4	4	1		1	V/iii		dcml	Eb	I		V/iii		V				iii				M	0	0	5, 9, 6		5	5
24	0.75	14	12	1/4	1/4	2/4	4	1		1	V43		dcml	Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
99/4	0.25	14	12	7/16	7/16	2/4	4	1		1	vi64		dcml	Eb	I		vi64		vi		64						m	0	0	4, 3, 0		3	4
25	1.0	15	13	0	0	2/4	4	1		1	V2		dcml	Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
26	0.75	15	13	1/4	1/4	2/4	4	1		1	V64		dcml	Eb	I		V64		V		64						M	0	0	2, 1, 5		1	2
107/4	0.25	15	13	7/16	7/16	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
27	1.0	16	14	0	0	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
28	0.75	16	14	1/4	1/4	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
115/4	0.25	16	14	7/16	7/16	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
29	1.0	17	15	0	0	2/4	4	1		1	V43		dcml	Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
30	0.75	17	15	1/4	1/4	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
123/4	0.25	17	15	7/16	7/16	2/4	4	1		1	vi		dcml	Eb	I		vi		vi								m	0	0	3, 0, 4		3	3
31	1.0	18	16	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
32	0.75	18	16	1/4	1/4	2/4	4	1		1	vi7		dcml	Eb	I		vi7		vi		7						mm7	0	0	3, 0, 4, 1		3	3
131/4	0.25	18	16	7/16	7/16	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
33	1.0	19	17	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
34	0.75	19	17	1/4	1/4	2/4	4	1		1	ii7		dcml	Eb	I		ii7		ii		7						mm7	0	0	2, -1, 3, 0		2	2
139/4	0.25	19	17	7/16	7/16	2/4	4	1		1	iii		dcml	Eb	I		iii		iii								m	0	0	4, 1, 5		4	4
35	1.0	20	18	0	0	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
36	0.75	20	18	1/4	1/4	2/4	4	1		1	vii%7		dcml	Eb	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
147/4	0.25	20	18	7/16	7/16	2/4	4	1		1	#viio/ii		dcml	Eb	I		#viio/ii		#vii	o			ii				o	0	0	7, 4, 1		7	7
37	0.5	21	19	0	0	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
75/2	0.5	21	19	1/8	1/8	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
38	0.5	21	19	1/4	1/4	2/4	4	1		1	ii6		dcml	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
77/2	0.5	21	19	3/8	3/8	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
39	1.0	22	20	0	0	2/4	4	1		1	I\\		dcml	Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
40	3.0	23	20	0	1/4	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
43	2.0	25	22	0	0	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
45	2.0	26	23	0	0	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
47	3.5	27	24	0	0	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
101/2	0.5	28	25	3/8	3/8	2/4	4	1		1	#viio6/iii		dcml	Eb	I		#viio6/iii		#vii	o	6		iii				o	0	0	6, 3, 9		9	6
51	1.5	29	26	0	0	2/4	4	1		1	iii		dcml	Eb	I		iii		iii								m	0	0	4, 1, 5		4	4
105/2	0.5	29	26	3/8	3/8	2/4	4	1		1	V43/vi		dcml	Eb	I		V43/vi		V		43		vi				Mm7	0	0	5, 2, 4, 8		4	5
53	1.0	30	27	0	0	2/4	4	1		1	vi.i		dcml	Eb	vi		i		i								m	0	1	0, -3, 1		0	0
54	0.5	30	27	1/4	1/4	2/4	4	1		1	IV6		dcml	Eb	vi		IV6		IV		6						M	0	1	3, 0, -1		-1	3
109/2	0.5	30	27	3/8	3/8	2/4	4	1		1	Ger6		dcml	Eb	vi		Ger6	Ger	vii	o	65	b3	V				Ger	0	1	-4, 0, -3, 6		6	-4
55	1.0	31	28	0	0	2/4	4	1		1	V\\		dcml	Eb	vi		V		V							\\	M	0	1	1, 5, 2		1	1
56	1.0	32	28	0	1/4	2/4	4	1		1	I.V2/vi		dcml	Eb	I		V2/vi		V		2		vi				Mm7	0	0	2, 4, 8, 5		4	2
57	1.0	33	29	0	0	2/4	4	1		1	V65/ii		dcml	Eb	I		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
58	1.0	33	29	1/4	1/4	2/4	4	1		1	V2/V		dcml	Eb	I		V2/V		V		2		V				Mm7	0	0	0, 2, 6, 3		2	0
59	1.0	34	30	0	0	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
60	1.0	34	30	1/4	1/4	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
61	1.0	35	31	0	0	2/4	4	1		1	Ger6/iii		dcml	Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	0, 4, 1, 10		10	0
62	3.0	35	31	1/4	1/4	2/4	4	1		1	V/iii		dcml	Eb	I		V/iii		V				iii				M	0	0	5, 9, 6		5	5
65	1.0	37	33	0	0	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
66	0.5	37	33	1/4	1/4	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
133/2	0.5	37	33	3/8	3/8	2/4	4	1		1	vi6		dcml	Eb	I		vi6		vi		6						m	0	0	0, 4, 3		3	0
67	1.0	38	34	0	0	2/4	4	1		1	V64		dcml	Eb	I		V64		V		64						M	0	0	2, 1, 5		1	2
68	0.5	38	34	1/4	1/4	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
137/2	0.5	38	34	3/8	3/8	2/4	4	1		1	vi		dcml	Eb	I		vi		vi								m	0	0	3, 0, 4		3	3
69	1.0	39	35	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
70	0.5	39	35	1/4	1/4	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
141/2	0.5	39	35	3/8	3/8	2/4	4	1		1	vi6		dcml	Eb	I		vi6		vi		6						m	0	0	0, 4, 3		3	0
71	1.0	40	36	0	0	2/4	4	1		1	V43		dcml	Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
72	0.5	40	36	1/4	1/4	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
145/2	0.5	40	36	3/8	3/8	2/4	4	1		1	V2		dcml	Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
73	0.5	41	37	0	0	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
147/2	1.0	41	37	1/8	1/8	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
149/2	0.5	41	37	3/8	3/8	2/4	4	1		1	V2/IV		dcml	Eb	I		V2/IV		V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
75	0.5	42	38	0	0	2/4	4	1		1	IV6		dcml	Eb	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
151/2	0.5	42	38	1/8	1/8	2/4	4	1		1	V2/ii		dcml	Eb	I		V2/ii		V		2		ii				Mm7	0	0	1, 3, 7, 4		3	1
76	0.5	42	38	1/4	1/4	2/4	4	1		1	ii6		dcml	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
153/2	0.5	42	38	3/8	3/8	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
77	0.5	43	39	0	0	2/4	4	1		1	V43		dcml	Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
155/2	0.5	43	39	1/8	1/8	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
78	0.5	43	39	1/4	1/4	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
157/2	0.5	43	39	3/8	3/8	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
79	1.0	44	40	0	0	2/4	4	1		1	I\\		dcml	Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
80	1.0	45	40	0	1/4	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
81	2.0	46	41	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
83	2.0	47	42	0	0	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
85	2.0	48	43	0	0	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
87	4.0	49	44	0	0	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
91	2.0	51	46	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
93	2.0	52	47	0	0	2/4	4	1		1	ii6	iv6/vi	dcml	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
95	1.0	53	48	0	0	2/4	4	1		1	V/vi\\		dcml	Eb	I		V/vi		V				vi			\\	M	0	0	4, 8, 5		4	4
96	1.0	54	48	0	1/4	2/4	4	1		1	V.V/ii		dcml	Eb	V		V/ii		V				ii				M	0	0	3, 7, 4		3	3
97	1.0	55	49	0	0	2/4	4	1		1	iio64		dcml	Eb	V		iio64		ii	o	64						o	0	0	-4, 2, -1		2	-4
98	1.0	55	49	1/4	1/4	2/4	4	1		1	V7		dcml	Eb	V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
99	1.0	56	50	0	0	2/4	4	1		1	I		dcml	Eb	V		I		I								M	0	0	0, 4, 1		0	0
100	1.0	56	50	1/4	1/4	2/4	4	1		1	IV		dcml	Eb	V		IV		IV								M	0	0	-1, 3, 0		-1	-1
101	1.0	57	51	0	0	2/4	4	1		1	Ger6/vi		dcml	Eb	V		Ger6/vi	Ger	vii	o	65	b3	V/vi				Ger	0	0	-1, 3, 0, 9		9	-1
102	1.0	57	51	1/4	1/4	2/4	4	1		1	V/vi		dcml	Eb	V		V/vi		V				vi				M	0	0	4, 8, 5		4	4
103	2.0	58	52	0	0	2/4	4	1		1	V7/vi		dcml	Eb	V		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
105	8.0	59	53	0	0	2/4	4	1		1	I.V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
113	2.0	63	57	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
115	2.0	64	58	0	0	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
117	2.0	65	59	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
119	1.0	66	60	0	0	2/4	4	1		1	I\\		dcml	Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
120	1.0	67	60	0	1/4	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
121	2.0	68	61	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
123	2.0	69	62	0	0	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
125	2.0	70	63	0	0	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
127	2.0	71	64	0	0	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
129	1.0	72	65	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
130	1.0	72	65	1/4	1/4	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
131	2.0	73	66	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
133	1.0	74	67	0	0	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
134	0.5	74	67	1/4	1/4	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
269/2	0.5	74	67	3/8	3/8	2/4	4	1		1	ii6	iv6/vi	dcml	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
135	1.0	75	68	0	0	2/4	4	1		1	V/vi\\		dcml	Eb	I		V/vi		V				vi			\\	M	0	0	4, 8, 5		4	4
136	1.0	76	68	0	1/4	2/4	4	1		1	V7/vi		dcml	Eb	I		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
137	1.0	77	69	0	0	2/4	4	1		1	V2/ii		dcml	Eb	I		V2/ii		V		2		ii				Mm7	0	0	1, 3, 7, 4		3	1
138	1.0	77	69	1/4	1/4	2/4	4	1		1	V65/V		dcml	Eb	I		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
139	1.0	78	70	0	0	2/4	4	1		1	V2		dcml	Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
140	1.0	78	70	1/4	1/4	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
141	1.0	79	71	0	0	2/4	4	1		1	Ger6/iii		dcml	Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	0, 4, 1, 10		10	0
142	5.0	79	71	1/4	1/4	2/4	4	1		1	V/iii		dcml	Eb	I		V/iii		V				iii				M	0	0	5, 9, 6		5	5
147	6.0	82	74	0	0	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
153	2.0	85	77	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
155	2.0	86	78	0	0	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
157	2.0	87	79	0	0	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
159	1.0	88	80	0	0	2/4	4	1		1	I\\		dcml	Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
160	1.0	89	80	0	1/4	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
161	2.0	90	81	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
163	1.0	91	82	0	0	2/4	4	1		1	IV(4)		dcml	Eb	I		IV(4)		IV			4					M	0	0	-1, 5, 0		-1	-1
164	1.0	91	82	1/4	1/4	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
165	1.0	92	83	0	0	2/4	4	1		1	ii(4)		dcml	Eb	I		ii(4)		ii			4					m	0	0	2, 1, 3		2	2
166	1.0	92	83	1/4	1/4	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
167	1.0	93	84	0	0	2/4	4	1		1	V(6)		dcml	Eb	I		V(6)		V			6					M	0	0	1, 5, 4		1	1
168	1.0	93	84	1/4	1/4	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
169	2.0	94	85	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
171	2.0	95	86	0	0	2/4	4	1		1	I(4)		dcml	Eb	I		I(4)		I			4					M	0	0	0, -1, 1		0	0
173	1.0	96	87	0	0	2/4	4	1		1	vi.V7(4)/V		dcml	Eb	vi		V7(4)/V		V		7	4	V				Mm7	0	1	2, 1, 3, 0		2	2
174	1.0	96	87	1/4	1/4	2/4	4	1		1	V7/V		dcml	Eb	vi		V7/V		V		7		V				Mm7	0	1	2, 6, 3, 0		2	2
175	1.0	97	88	0	0	2/4	4	1		1	V\\		dcml	Eb	vi		V		V							\\	M	0	1	1, 5, 2		1	1
176	1.0	98	88	0	1/4	2/4	4	1		1	I.V/ii		dcml	Eb	I		V/ii		V				ii				M	0	0	3, 7, 4		3	3
177	1.0	99	89	0	0	2/4	4	1		1	vi[V7/ii		dcml	Eb	I	vi	V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
178	1.0	99	89	1/4	1/4	2/4	4	1		1	ii6		dcml	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
179	1.0	100	90	0	0	2/4	4	1		1	V7/vi		dcml	Eb	I		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
180	1.0	100	90	1/4	1/4	2/4	4	1		1	vi]		dcml	Eb	I		vi		vi					]			m	0	0	3, 0, 4		3	3
181	1.0	101	91	0	0	2/4	4	1		1	#V[V/vii		dcml	Eb	I	#V	V/vii		V				vii				M	0	0	6, 10, 7		6	6
182	2.0	101	91	1/4	1/4	2/4	4	1		1	vii		dcml	Eb	I		vii		vii								m	0	0	5, 2, 6		5	5
184	1.0	102	92	1/4	1/4	2/4	4	1		1	viio7]		dcml	Eb	I		viio7		vii	o	7			]			o7	0	0	5, 2, -1, -4		5	5
185	1.0	103	93	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
186	1.0	103	93	1/4	1/4	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
187	3.0	104	94	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
190	1.0	105	95	1/4	1/4	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
191	2.0	106	96	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
193	2.0	107	97	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
195	1.0	108	98	0	0	2/4	4	1		1	IV(4)		dcml	Eb	I		IV(4)		IV			4					M	0	0	-1, 5, 0		-1	-1
196	1.0	108	98	1/4	1/4	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
197	1.0	109	99	0	0	2/4	4	1		1	V43(2)		dcml	Eb	I		V43(2)		V		43	2					Mm7	0	0	2, -1, 3, 5		1	2
198	1.0	109	99	1/4	1/4	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
199	1.0	110	100	0	0	2/4	4	1		1	I\\		dcml	Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
200	1.0	111	100	0	1/4	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
201	1.0	112	101	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
202	1.0	112	101	1/4	1/4	2/4	4	1		1	vi		dcml	Eb	I		vi		vi								m	0	0	3, 0, 4		3	3
203	2.0	113	102	0	0	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
205	2.0	114	103	0	0	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
207	2.0	115	104	0	0	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
209	1.0	116	105	0	0	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
210	1.0	116	105	1/4	1/4	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
211	2.0	117	106	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
213	1.5	118	107	0	0	2/4	4	1		1	IV(7)		dcml	Eb	I		IV(7)		IV			7					M	0	0	-1, 3, 0	4	-1	-1
429/2	0.5	118	107	3/8	3/8	2/4	4	1		1	ii6	iv6/vi	dcml	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
215	1.0	119	108	0	0	2/4	4	1		1	V/vi\\		dcml	Eb	I		V/vi		V				vi			\\	M	0	0	4, 8, 5		4	4
216	1.0	120	108	0	1/4	2/4	4	1		1	viio6/IV		dcml	Eb	I		viio6/IV		vii	o	6		IV				o	0	0	1, -2, 4		4	1
217	1.0	121	109	0	0	2/4	4	1		1	V7/ii		dcml	Eb	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
218	1.0	121	109	1/4	1/4	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
219	1.0	122	110	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
220	1.0	122	110	1/4	1/4	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
221	1.0	123	111	0	0	2/4	4	1		1	Ger6/iii		dcml	Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	0, 4, 1, 10		10	0
222	1.0	123	111	1/4	1/4	2/4	4	1		1	V/iii		dcml	Eb	I		V/iii		V				iii				M	0	0	5, 9, 6		5	5
223	1.0	124	112	0	0	2/4	4	1		1	V/iii		dcml	Eb	I		V/iii		V				iii				M	0	0	5, 9, 6		5	5
224	7.0	124	112	1/4	1/4	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
231	2.0	128	116	0	0	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
233	2.0	129	117	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
235	1.0	130	118	0	0	2/4	4	1		1	ii6		dcml	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
236	1.0	130	118	1/4	1/4	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
237	2.0	131	119	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
239	1.0	132	120	0	0	2/4	4	1		1	I\\		dcml	Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
240	4.5	133	120	0	1/4	2/4	4	1		1	I[I		dcml	Eb	I	I	I		I								M	0	0	0, 4, 1		0	0
489/2	0.5	135	122	3/8	3/8	2/4	4	1		1	vii%7		dcml	Eb	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
245	0.5	136	123	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
491/2	0.5	136	123	1/8	1/8	2/4	4	1		1	vii%7		dcml	Eb	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
246	1.5	136	123	1/4	1/4	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
