quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	alt_label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
50	2.0	13	13	1/2	1/2	2/2	4	1		1	V43		dcml	Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
52	2.0	14	14	0	0	2/2	4	1		1	I		dcml	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
54	2.0	14	14	1/2	1/2	2/2	4	1		1	V43		dcml	Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
56	2.0	15	15	0	0	2/2	4	1		1	I		dcml	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
58	2.0	15	15	1/2	1/2	2/2	4	1		1	V43(+#4)		dcml	Eb	I	I	V43(+#4)		V		43	+#4				Mm7	0	0	2, -1, 1, 5	7	1	2
60	2.0	16	16	0	0	2/2	4	1		1	V64		dcml	Eb	I	I	V64		V		64					M	0	0	2, 1, 5		1	2
62	1.0	16	16	1/2	1/2	2/2	4	1		1	V43		dcml	Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
63	1.0	16	16	3/4	3/4	2/2	4	1		1	V43]		dcml	Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
64	2.0	17	17	0	0	2/2	4	1		1	I6		dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
66	2.0	17	17	1/2	1/2	2/2	4	1		1	V2		dcml	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
68	2.0	18	18	0	0	2/2	4	1		1	vi43		dcml	Eb	I		vi43		vi		43					mm7	0	0	4, 1, 3, 0		3	4
70	2.0	18	18	1/2	1/2	2/2	4	1		1	viio6		dcml	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
72	1.0	19	19	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
73	1.0	19	19	1/4	1/4	2/2	4	1		1	V2/IV		dcml	Eb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
74	1.0	19	19	1/2	1/2	2/2	4	1		1	IV6		dcml	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
75	1.0	19	19	3/4	3/4	2/2	4	1		1	V6		dcml	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
76	1.0	20	20	0	0	2/2	4	1		1	I(9+74)		dcml	Eb	I		I(9+74)		I			9+74				M	0	0	0, -1, 1	2, 5	0	0
77	1.0	20	20	1/4	1/4	2/2	4	1		1	I64		dcml	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
78	2.0	20	20	1/2	1/2	2/2	4	1		1	I\\		dcml	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
80	4.0	21	21	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
84	1.0	22	22	0	0	2/2	4	1		1	vi7		dcml	Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
85	1.0	22	22	1/4	1/4	2/2	4	1		1	viio		dcml	Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
86	1.0	22	22	1/2	1/2	2/2	4	1		1	I\\		dcml	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
87	1.0	22	22	3/4	3/4	2/2	4	1		1	vi6		dcml	Eb	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
88	2.0	23	23	0	0	2/2	4	1		1	V7/V		dcml	Eb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
90	1.0	23	23	1/2	1/2	2/2	4	1		1	V(64)/V		dcml	Eb	I		V(64)/V		V			64	V			M	0	0	2, 1, 5		2	2
91	2.0	23	23	3/4	3/4	2/2	4	1		1	V7/V		dcml	Eb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
93	1.0	24	24	1/4	1/4	2/2	4	1		1	V		dcml	Eb	I		V		V							M	0	0	1, 5, 2		1	1
94	2.0	24	24	1/2	1/2	2/2	4	1		1	V\\		dcml	Eb	I		V		V						\\	M	0	0	1, 5, 2		1	1
96	3.0	25	25	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
99	1.0	25	25	3/4	3/4	2/2	4	1		1	I64		dcml	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
100	1.0	26	26	0	0	2/2	4	1		1	IV6(9)		dcml	Eb	I		IV6(9)		IV		6	9				M	0	0	3, 0, -1	1	-1	3
101	1.0	26	26	1/4	1/4	2/2	4	1		1	V65		dcml	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
102	1.0	26	26	1/2	1/2	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
103	4.0	26	26	3/4	3/4	2/2	4	1		1	IV6		dcml	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
107	1.0	27	27	3/4	3/4	2/2	4	1		1	viio		dcml	Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
108	1.0	28	28	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
109	1.0	28	28	1/4	1/4	2/2	4	1		1	V7		dcml	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
110	1.0	28	28	1/2	1/2	2/2	4	1		1	I\\		dcml	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
111	1.0	28	28	3/4	3/4	2/2	4	1		1	I64		dcml	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
112	3.0	29	29	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
115	1.0	29	29	3/4	3/4	2/2	4	1		1	I6		dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
116	1.0	30	30	0	0	2/2	4	1		1	I64		dcml	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
117	1.0	30	30	1/4	1/4	2/2	4	1		1	viio64		dcml	Eb	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
118	1.0	30	30	1/2	1/2	2/2	4	1		1	I6		dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
119	2.0	30	30	3/4	3/4	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
121	1.0	31	31	1/4	1/4	2/2	4	1		1	IV6		dcml	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
122	1.0	31	31	1/2	1/2	2/2	4	1		1	vi2		dcml	Eb	I		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
123	1.0	31	31	3/4	3/4	2/2	4	1		1	viio64		dcml	Eb	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
124	1.0	32	32	0	0	2/2	4	1		1	vi		dcml	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
125	1.0	32	32	1/4	1/4	2/2	4	1		1	V7		dcml	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
126	1.0	32	32	1/2	1/2	2/2	4	1		1	V		dcml	Eb	I		V		V							M	0	0	1, 5, 2		1	1
127	1.0	32	32	3/4	3/4	2/2	4	1		1	V2		dcml	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
128	3.0	33	33	0	0	2/2	4	1		1	I6		dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
131	1.0	33	33	3/4	3/4	2/2	4	1		1	I64		dcml	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
132	1.0	34	34	0	0	2/2	4	1		1	vi7		dcml	Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
133	1.0	34	34	1/4	1/4	2/2	4	1		1	viio		dcml	Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
134	3.0	34	34	1/2	1/2	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
137	1.0	35	35	1/4	1/4	2/2	4	1		1	vi		dcml	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
138	1.0	35	35	1/2	1/2	2/2	4	1		1	I64		dcml	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
139	1.0	35	35	3/4	3/4	2/2	4	1		1	ii6		dcml	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
140	1.0	36	36	0	0	2/2	4	1		1	I6		dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
141	0.5	36	36	1/4	1/4	2/2	4	1		1	IV		dcml	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
283/2	0.5	36	36	3/8	3/8	2/2	4	1		1	viio6		dcml	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
142	1.0	36	36	1/2	1/2	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
143	1.0	36	36	3/4	3/4	2/2	4	1		1	IV		dcml	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
144	2.0	37	37	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
146	2.0	37	37	1/2	1/2	2/2	4	1		1	V2		dcml	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
148	2.0	38	38	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
150	2.0	38	38	1/2	1/2	2/2	4	1		1	V2		dcml	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
152	2.0	39	39	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
154	2.0	39	39	1/2	1/2	2/2	4	1		1	viio7/V		dcml	Eb	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
156	1.0	40	40	0	0	2/2	4	1		1	V		dcml	Eb	I		V		V							M	0	0	1, 5, 2		1	1
157	1.0	40	40	1/4	1/4	2/2	4	1		1	viio2		dcml	Eb	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
158	1.0	40	40	1/2	1/2	2/2	4	1		1	IV(9)		dcml	Eb	I		IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
159	1.0	40	40	3/4	3/4	2/2	4	1		1	V43		dcml	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
160	2.0	41	41	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
162	2.0	41	41	1/2	1/2	2/2	4	1		1	V65		dcml	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
164	2.0	42	42	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
166	2.0	42	42	1/2	1/2	2/2	4	1		1	V65		dcml	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
168	2.0	43	43	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
170	2.0	43	43	1/2	1/2	2/2	4	1		1	vii7		dcml	Eb	I		vii7		vii		7					mm7	0	0	5, 2, 6, 3		5	5
172	1.0	44	44	0	0	2/2	4	1		1	V.I6		dcml	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
173	1.0	44	44	1/4	1/4	2/2	4	1		1	V43		dcml	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
174	2.0	44	44	1/2	1/2	2/2	4	1		1	V7		dcml	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
176	2.0	45	45	0	0	2/2	4	1		1	V[I64		dcml	Eb	V	V	I64		I		64					M	0	0	1, 0, 4		0	1
178	1.0	45	45	1/2	1/2	2/2	4	1		1	V2(2)		dcml	Eb	V	V	V2(2)		V		2	2				Mm7	0	0	-1, 3, 5, 2		1	-1
179	1.0	45	45	3/4	3/4	2/2	4	1		1	V2		dcml	Eb	V	V	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
180	2.0	46	46	0	0	2/2	4	1		1	I64		dcml	Eb	V	V	I64		I		64					M	0	0	1, 0, 4		0	1
182	1.0	46	46	1/2	1/2	2/2	4	1		1	V2(2)		dcml	Eb	V	V	V2(2)		V		2	2				Mm7	0	0	-1, 3, 5, 2		1	-1
183	1.0	46	46	3/4	3/4	2/2	4	1		1	V2		dcml	Eb	V	V	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
184	2.0	47	47	0	0	2/2	4	1		1	I64		dcml	Eb	V	V	I64		I		64					M	0	0	1, 0, 4		0	1
186	2.0	47	47	1/2	1/2	2/2	4	1		1	#ivo43		dcml	Eb	V	V	#ivo43		#iv	o	43					o7	0	0	0, -3, 6, 3		6	0
188	2.0	48	48	0	0	2/2	4	1		1	V		dcml	Eb	V	V	V		V							M	0	0	1, 5, 2		1	1
190	1.0	48	48	1/2	1/2	2/2	4	1		1	V2		dcml	Eb	V	V	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
191	1.0	48	48	3/4	3/4	2/2	4	1		1	V43]		dcml	Eb	V	V	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
192	2.0	49	49	0	0	2/2	4	1		1	I6		dcml	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
194	2.0	49	49	1/2	1/2	2/2	4	1		1	V65		dcml	Eb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
196	2.0	50	50	0	0	2/2	4	1		1	I6		dcml	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
198	2.0	50	50	1/2	1/2	2/2	4	1		1	V65		dcml	Eb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
200	2.0	51	51	0	0	2/2	4	1		1	I6		dcml	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
202	2.0	51	51	1/2	1/2	2/2	4	1		1	#ivo43		dcml	Eb	V		#ivo43		#iv	o	43					o7	0	0	0, -3, 6, 3		6	0
204	2.0	52	52	0	0	2/2	4	1		1	V6		dcml	Eb	V		V6		V		6					M	0	0	5, 2, 1		1	5
206	3.0	52	52	1/2	1/2	2/2	4	1		1	vi.It6		dcml	Eb	vi		It6	It	vii	o	6	b3	V			It	0	1	-4, 0, 6		6	-4
209	1.0	53	53	1/4	1/4	2/2	4	1		1	V		dcml	Eb	vi		V		V							M	0	1	1, 5, 2		1	1
210	1.0	53	53	1/2	1/2	2/2	4	1		1	i		dcml	Eb	vi		i		i							m	0	1	0, -3, 1		0	0
211	1.0	53	53	3/4	3/4	2/2	4	1		1	V.ii6		dcml	Eb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
212	1.0	54	54	0	0	2/2	4	1		1	V(64)		dcml	Eb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
213	1.0	54	54	1/4	1/4	2/2	4	1		1	V7		dcml	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
214	1.0	54	54	1/2	1/2	2/2	4	1		1	V7(b9)		dcml	Eb	V		V7(b9)		V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
215	1.0	54	54	3/4	3/4	2/2	4	1		1	V7		dcml	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
216	1.0	55	55	0	0	2/2	4	1		1	I\\		dcml	Eb	V		I		I						\\	M	0	0	0, 4, 1		0	0
217	1.0	55	55	1/4	1/4	2/2	4	1		1	IV		dcml	Eb	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
218	1.0	55	55	1/2	1/2	2/2	4	1		1	I6		dcml	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
219	1.0	55	55	3/4	3/4	2/2	4	1		1	ii7		dcml	Eb	V		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
220	1.0	56	56	0	0	2/2	4	1		1	I		dcml	Eb	V		I		I							M	0	0	0, 4, 1		0	0
221	1.0	56	56	1/4	1/4	2/2	4	1		1	V6		dcml	Eb	V		V6		V		6					M	0	0	5, 2, 1		1	5
222	1.0	56	56	1/2	1/2	2/2	4	1		1	IV6		dcml	Eb	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
223	1.0	56	56	3/4	3/4	2/2	4	1		1	I64		dcml	Eb	V		I64		I		64					M	0	0	1, 0, 4		0	1
224	1.0	57	57	0	0	2/2	4	1		1	IV		dcml	Eb	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
225	1.0	57	57	1/4	1/4	2/2	4	1		1	#viio6/ii		dcml	Eb	V		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
226	1.0	57	57	1/2	1/2	2/2	4	1		1	ii		dcml	Eb	V		ii		ii							m	0	0	2, -1, 3		2	2
227	1.0	57	57	3/4	3/4	2/2	4	1		1	I		dcml	Eb	V		I		I							M	0	0	0, 4, 1		0	0
228	1.0	58	58	0	0	2/2	4	1		1	V6		dcml	Eb	V		V6		V		6					M	0	0	5, 2, 1		1	5
229	1.0	58	58	1/4	1/4	2/2	4	1		1	@none		dcml	Eb	V		@none		@none							m	0	0				
230	1.0	58	58	1/2	1/2	2/2	4	1		1	V		dcml	Eb	V		V		V							M	0	0	1, 5, 2		1	1
231	1.0	58	58	3/4	3/4	2/2	4	1		1	V2		dcml	Eb	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
232	1.0	59	59	0	0	2/2	4	1		1	I6		dcml	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
233	1.0	59	59	1/4	1/4	2/2	4	1		1	IV		dcml	Eb	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
234	1.0	59	59	1/2	1/2	2/2	4	1		1	I6		dcml	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
235	1.0	59	59	3/4	3/4	2/2	4	1		1	ii7		dcml	Eb	V		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
236	1.0	60	60	0	0	2/2	4	1		1	I		dcml	Eb	V		I		I							M	0	0	0, 4, 1		0	0
237	1.0	60	60	1/4	1/4	2/2	4	1		1	V6		dcml	Eb	V		V6		V		6					M	0	0	5, 2, 1		1	5
238	1.0	60	60	1/2	1/2	2/2	4	1		1	IV6		dcml	Eb	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
239	1.0	60	60	3/4	3/4	2/2	4	1		1	I64		dcml	Eb	V		I64		I		64					M	0	0	1, 0, 4		0	1
240	1.0	61	61	0	0	2/2	4	1		1	IV		dcml	Eb	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
241	1.0	61	61	1/4	1/4	2/2	4	1		1	#viio6/ii		dcml	Eb	V		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
242	1.0	61	61	1/2	1/2	2/2	4	1		1	ii		dcml	Eb	V		ii		ii							m	0	0	2, -1, 3		2	2
243	1.0	61	61	3/4	3/4	2/2	4	1		1	I		dcml	Eb	V		I		I							M	0	0	0, 4, 1		0	0
244	4.0	62	62	0	0	2/2	4	1		1	V		dcml	Eb	V		V		V							M	0	0	1, 5, 2		1	1
248	1.0	63	63	0	0	2/2	4	1		1	I6		dcml	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
249	1.0	63	63	1/4	1/4	2/2	4	1		1	ii		dcml	Eb	V		ii		ii							m	0	0	2, -1, 3		2	2
250	1.0	63	63	1/2	1/2	2/2	4	1		1	I		dcml	Eb	V		I		I							M	0	0	0, 4, 1		0	0
251	1.0	63	63	3/4	3/4	2/2	4	1		1	V		dcml	Eb	V		V		V							M	0	0	1, 5, 2		1	1
252	3.0	64	64	0	0	2/2	4	1		1	I6		dcml	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
255	1.0	64	64	3/4	3/4	2/2	4	1		1	I		dcml	Eb	V		I		I							M	0	0	0, 4, 1		0	0
256	1.0	65	65	0	0	2/2	4	1		1	IV64		dcml	Eb	V		IV64		IV		64					M	0	0	0, -1, 3		-1	0
257	1.0	65	65	1/4	1/4	2/2	4	1		1	V65/ii		dcml	Eb	V		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
258	1.0	65	65	1/2	1/2	2/2	4	1		1	ii		dcml	Eb	V		ii		ii							m	0	0	2, -1, 3		2	2
259	1.0	65	65	3/4	3/4	2/2	4	1		1	I6		dcml	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
260	1.0	66	66	0	0	2/2	4	1		1	V[V64		dcml	Eb	V	V	V64		V		64					M	0	0	2, 1, 5		1	2
261	1.0	66	66	1/4	1/4	2/2	4	1		1	viio2/V		dcml	Eb	V	V	viio2/V		vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
262	1.0	66	66	1/2	1/2	2/2	4	1		1	iii2		dcml	Eb	V	V	iii2		iii		2					mm7	0	0	2, 4, 1, 5		4	2
263	1.0	66	66	3/4	3/4	2/2	4	1		1	vii%43/V]		dcml	Eb	V	V	vii%43/V		vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
264	9.0	67	67	0	0	2/2	4	1		1	@none		dcml	Eb	V		@none		@none							m	0	0				
273	3.0	69	69	1/4	1/4	2/2	4	1		1	V		dcml	Eb	V		V		V							M	0	0	1, 5, 2		1	1
276	1.0	70	70	0	0	2/2	4	1		1	I		dcml	Eb	V		I		I							M	0	0	0, 4, 1		0	0
277	4.0	70	70	1/4	1/4	2/2	4	1		1	V/ii		dcml	Eb	V		V/ii		V				ii			M	0	0	3, 7, 4		3	3
281	3.0	71	71	1/4	1/4	2/2	4	1		1	ii		dcml	Eb	V		ii		ii							m	0	0	2, -1, 3		2	2
284	1.0	72	72	0	0	2/2	4	1		1	V/iii		dcml	Eb	V		V/iii		V				iii			M	0	0	5, 9, 6		5	5
285	3.0	72	72	1/4	1/4	2/2	4	1		1	iii		dcml	Eb	V		iii		iii							m	0	0	4, 1, 5		4	4
288	1.0	73	73	0	0	2/2	4	1		1	V7(#7#2)/V		dcml	Eb	V		V7(#7#2)/V		V		7	#7#2	V			Mm7	0	0	2, 11, 3, 7		2	2
289	3.0	73	73	1/4	1/4	2/2	4	1		1	V7/V		dcml	Eb	V		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
292	1.0	74	74	0	0	2/2	4	1		1	V7(#7#2)/V		dcml	Eb	V		V7(#7#2)/V		V		7	#7#2	V			Mm7	0	0	2, 11, 3, 7		2	2
293	3.0	74	74	1/4	1/4	2/2	4	1		1	V7/V		dcml	Eb	V		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
296	1.0	75	75	0	0	2/2	4	1		1	V7(#7#2)/V		dcml	Eb	V		V7(#7#2)/V		V		7	#7#2	V			Mm7	0	0	2, 11, 3, 7		2	2
297	3.0	75	75	1/4	1/4	2/2	4	1		1	V7/V		dcml	Eb	V		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
300	1.0	76	76	0	0	2/2	4	1		1	I6		dcml	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
301	1.0	76	76	1/4	1/4	2/2	4	1		1	IV		dcml	Eb	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
302	1.0	76	76	1/2	1/2	2/2	4	1		1	V(64)		dcml	Eb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
303	0.5	76	76	3/4	3/4	2/2	4	1		1	viio		dcml	Eb	V		viio		vii	o						o	0	0	5, 2, -1		5	5
607/2	0.5	76	76	7/8	7/8	2/2	4	1		1	I		dcml	Eb	V		I		I							M	0	0	0, 4, 1		0	0
