quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
206	2.5	58	57	0	0	4/4	4	1		I6]		Bb	bVI	I	I6		I		6					M	0	0	4, 1, 0		0	4
417/2	1.5	58	57	5/8	5/8	4/4	4	1		V		Bb	bVI		V		V							M	0	0	1, 5, 2		1	1
210	4.0	59	58	0	0	4/4	4	1		iii		Bb	bVI		iii		iii							m	0	0	4, 1, 5		4	4
214	2.0	60	59	0	0	4/4	4	1		I[I		Bb	bVI	I	I		I							M	0	0	0, 4, 1		0	0
216	2.0	60	59	1/2	1/2	4/4	4	1		viio7/V		Bb	bVI	I	viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
218	1.0	61	60	0	0	4/4	4	1		viio7(4)/V		Bb	bVI	I	viio7(4)/V		vii	o	7	4	V			o7	0	0	6, 5, 0, -3		6	6
219	1.0	61	60	1/4	1/4	4/4	4	1		viio7/V		Bb	bVI	I	viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
220	1.0	61	60	1/2	1/2	4/4	4	1		I6]		Bb	bVI	I	I6		I		6					M	0	0	4, 1, 0		0	4
221	1.0	61	60	3/4	3/4	4/4	4	1		V7/V		Bb	bVI		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
222	2.0	62	61	0	0	4/4	4	1		viio65		Bb	bVI		viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
224	2.0	62	61	1/2	1/2	4/4	4	1		I6		Bb	bVI		I6		I		6					M	0	0	4, 1, 0		0	4
226	2.0	63	62	0	0	4/4	4	1		ii65		Bb	bVI		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
228	2.0	63	62	1/2	1/2	4/4	4	1		V65/V		Bb	bVI		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
230	4.0	64	63	0	0	4/4	4	1		V7		Bb	bVI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
234	3.0	65	64	0	0	4/4	4	1		I64		Bb	bVI		I64		I		64					M	0	0	1, 0, 4		0	1
237	1.0	65	64	3/4	3/4	4/4	4	1		I		Bb	bVI		I		I							M	0	0	0, 4, 1		0	0
238	3.5	66	65	0	0	4/4	4	1		V7		Bb	bVI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
483/2	0.25	66	65	7/8	7/8	4/4	4	1		vi7		Bb	bVI		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
967/4	0.25	66	65	15/16	15/16	4/4	4	1		V6		Bb	bVI		V6		V		6					M	0	0	5, 2, 1		1	5
242	4.0	67	66	0	0	4/4	4	1		I		Bb	bVI		I		I							M	0	0	0, 4, 1		0	0
246	2.0	68	67	0	0	4/4	4	1		V		Bb	bVI		V		V							M	0	0	1, 5, 2		1	1
248	2.0	68	67	1/2	1/2	4/4	4	1		V7/vi		Bb	bVI		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
250	2.0	69	68	0	0	4/4	4	1		vi		Bb	bVI		vi		vi							m	0	0	3, 0, 4		3	3
252	2.0	69	68	1/2	1/2	4/4	4	1		V7/V		Bb	bVI		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
254	2.0	70	69	0	0	4/4	4	1		V7		Bb	bVI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
256	2.0	70	69	1/2	1/2	4/4	4	1		vi		Bb	bVI		vi		vi							m	0	0	3, 0, 4		3	3
258	1.25	71	70	0	0	4/4	4	1		ii6		Bb	bVI		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
1037/4	0.75	71	70	5/16	5/16	4/4	4	1		V7/V		Bb	bVI		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
260	2.0	71	70	1/2	1/2	4/4	4	1		V7		Bb	bVI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
262	1.0	72	71	0	0	4/4	4	1		I		Bb	bVI		I		I							M	0	0	0, 4, 1		0	0
263	1.0	72	71	1/4	1/4	4/4	4	1		I(+6)		Bb	bVI		I(+6)		I			+6				M	0	0	0, 4, 1	3	0	0
264	1.0	72	71	1/2	1/2	4/4	4	1		V64(+2)		Bb	bVI		V64(+2)		V		64	+2				M	0	0	2, 1, 5	3	1	2
265	1.0	72	71	3/4	3/4	4/4	4	1		V64		Bb	bVI		V64		V		64					M	0	0	2, 1, 5		1	2
266	1.0	73	72	0	0	4/4	4	1		iii		Bb	bVI		iii		iii							m	0	0	4, 1, 5		4	4
267	1.0	73	72	1/4	1/4	4/4	4	1		I6		Bb	bVI		I6		I		6					M	0	0	4, 1, 0		0	4
268	1.0	73	72	1/2	1/2	4/4	4	1		V2		Bb	bVI		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
269	1.0	73	72	3/4	3/4	4/4	4	1		V		Bb	bVI		V		V							M	0	0	1, 5, 2		1	1
270	2.0	74	73	0	0	4/4	4	1		I		Bb	bVI		I		I							M	0	0	0, 4, 1		0	0
