quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
95/2	1.5	17	16	3/8	3/8	6/8	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
49	3.0	18	17	0	0	6/8	4	1		iiio	D	I		iiio		iii	o						o	0	0	4, 1, -2		4	4
52	1.5	19	18	0	0	6/8	4	1		#viio43/ii	D	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
107/2	1.5	19	18	3/8	3/8	6/8	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
55	3.0	20	19	0	0	6/8	4	1		#viio43/ii	D	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
58	1.5	21	20	0	0	6/8	4	1		vii%43/IV	D	I		vii%43/IV		vii	%	43		IV			%7	0	0	-2, 2, 4, 1		4	-2
119/2	1.5	21	20	3/8	3/8	6/8	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
61	3.0	22	21	0	0	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
64	1.5	23	22	0	0	6/8	4	1		V7(+9)	D	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
131/2	1.5	23	22	3/8	3/8	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
67	0.5	24	23	0	0	6/8	4	1		V7(+9)	D	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
135/2	1.0	24	23	1/8	1/8	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
137/2	0.5	24	23	3/8	3/8	6/8	4	1		V7(+9)	D	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
69	1.0	24	23	1/2	1/2	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
70	0.5	25	24	0	0	6/8	4	1		V7(+9)	D	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
141/2	2.0	25	24	1/8	1/8	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
145/2	0.5	25	24	5/8	5/8	6/8	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
73	1.0	26	25	0	0	6/8	4	1		IV(#7)	D	I		IV(#7)		IV			#7				M	0	0	-1, 3, 0	11	-1	-1
74	0.5	26	25	1/4	1/4	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
149/2	1.5	26	25	3/8	3/8	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
76	1.5	27	26	0	0	6/8	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
155/2	1.5	27	26	3/8	3/8	6/8	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
79	1.5	28	27	0	0	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
161/2	1.5	28	27	3/8	3/8	6/8	4	1		V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
82	1.5	29	28	0	0	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
167/2	1.5	29	28	3/8	3/8	6/8	4	1		vi	D	I		vi		vi							m	0	0	3, 0, 4		3	3
85	0.5	30	29	0	0	6/8	4	1		IV(4)	D	I		IV(4)		IV			4				M	0	0	-1, 5, 0		-1	-1
171/2	1.0	30	29	1/8	1/8	6/8	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
173/2	1.5	30	29	3/8	3/8	6/8	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
88	1.5	31	30	0	0	6/8	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
179/2	1.5	31	30	3/8	3/8	6/8	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
91	1.5	32	31	0	0	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
185/2	1.5	32	31	3/8	3/8	6/8	4	1		V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
94	1.5	33	32	0	0	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
191/2	1.5	33	32	3/8	3/8	6/8	4	1		vi	D	I		vi		vi							m	0	0	3, 0, 4		3	3
97	0.5	34	33	0	0	6/8	4	1		IV(4)	D	I		IV(4)		IV			4				M	0	0	-1, 5, 0		-1	-1
195/2	1.0	34	33	1/8	1/8	6/8	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
197/2	1.5	34	33	3/8	3/8	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
100	2.5	35	34	0	0	6/8	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
205/2	0.5	35	34	5/8	5/8	6/8	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
103	1.0	36	35	0	0	6/8	4	1		V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
104	0.5	36	35	1/4	1/4	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
209/2	1.0	36	35	3/8	3/8	6/8	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
211/2	0.5	36	35	5/8	5/8	6/8	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
106	2.5	37	36	0	0	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
217/2	0.5	37	36	5/8	5/8	6/8	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
109	1.0	38	37	0	0	6/8	4	1		V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
110	0.5	38	37	1/4	1/4	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
221/2	1.0	38	37	3/8	3/8	6/8	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
223/2	0.5	38	37	5/8	5/8	6/8	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
112	9.0	39	38	0	0	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
121	2.5	42	41	0	0	6/8	4	1		bIII	D	I		bIII		bIII							M	0	0	-3, 1, -2		-3	-3
247/2	0.5	42	41	5/8	5/8	6/8	4	1		V.Ger6	D	V		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
124	1.5	43	42	0	0	6/8	4	1		V\\	D	V		V		V						\\	M	0	0	1, 5, 2		1	1
251/2	1.5	43	42	3/8	3/8	6/8	4	1		V[viio7	D	V	V	viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
127	1.5	44	43	0	0	6/8	4	1		i	D	V	V	i		i							m	0	0	0, -3, 1		0	0
257/2	1.5	44	43	3/8	3/8	6/8	4	1		viio2	D	V	V	viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
130	1.5	45	44	0	0	6/8	4	1		i64	D	V	V	i64		i		64					m	0	0	1, 0, -3		0	1
263/2	1.5	45	44	3/8	3/8	6/8	4	1		viio	D	V	V	viio		vii	o						o	0	0	5, 2, -1		5	5
133	1.5	46	45	0	0	6/8	4	1		i	D	V	V	i		i							m	0	0	0, -3, 1		0	0
269/2	1.5	46	45	3/8	3/8	6/8	4	1		viio64/V	D	V	V	viio64/V		vii	o	64		V			o	0	0	0, 6, 3		6	0
136	1.5	47	46	0	0	6/8	4	1		V6	D	V	V	V6		V		6					M	0	0	5, 2, 1		1	5
275/2	1.5	47	46	3/8	3/8	6/8	4	1		viio43	D	V	V	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
139	1.5	48	47	0	0	6/8	4	1		i6	D	V	V	i6		i		6					m	0	0	-3, 1, 0		0	-3
281/2	1.5	48	47	3/8	3/8	6/8	4	1		viio7	D	V	V	viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
142	1.5	49	48	0	0	6/8	4	1		i	D	V	V	i		i							m	0	0	0, -3, 1		0	0
287/2	1.5	49	48	3/8	3/8	6/8	4	1		viio64	D	V	V	viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
145	1.5	50	49	0	0	6/8	4	1		i6	D	V	V	i6		i		6					m	0	0	-3, 1, 0		0	-3
293/2	1.5	50	49	3/8	3/8	6/8	4	1		viio64/V	D	V	V	viio64/V		vii	o	64		V			o	0	0	0, 6, 3		6	0
148	0.5	51	50	0	0	6/8	4	1		V6]\\	D	V	V	V6		V		6				\\	M	0	0	5, 2, 1		1	5
297/2	14.5	51	50	1/8	1/8	6/8	4	1		@none	D	V		@none		@none							m	0	0				
163	3.0	56	55	0	0	6/8	4	1		V7(+9)	D	V		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
166	3.0	57	56	0	0	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
169	3.0	58	57	0	0	6/8	4	1		V43	D	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
172	1.5	59	58	0	0	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
347/2	1.0	59	58	3/8	3/8	6/8	4	1		V6(#4)	D	V		V6(#4)		V		6	#4				M	0	0	5, 7, 1		1	5
349/2	0.5	59	58	5/8	5/8	6/8	4	1		V6	D	V		V6		V		6					M	0	0	5, 2, 1		1	5
175	1.0	60	59	0	0	6/8	4	1		i	D	V		i		i							m	0	0	0, -3, 1		0	0
176	0.5	60	59	1/4	1/4	6/8	4	1		V2	D	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
353/2	1.0	60	59	3/8	3/8	6/8	4	1		IV6	D	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
355/2	0.5	60	59	5/8	5/8	6/8	4	1		Ger6	D	V		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
178	3.0	61	60	0	0	6/8	4	1		V\\	D	V		V		V						\\	M	0	0	1, 5, 2		1	1
181	1.5	62	61	0	0	6/8	4	1		viio6/V	D	V		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
365/2	1.5	62	61	3/8	3/8	6/8	4	1		V65	D	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
184	1.5	63	62	0	0	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
371/2	1.0	63	62	3/8	3/8	6/8	4	1		IV	D	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
373/2	0.5	63	62	5/8	5/8	6/8	4	1		ii6	D	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
187	1.5	64	63	0	0	6/8	4	1		V(64)	D	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
377/2	0.5	64	63	3/8	3/8	6/8	4	1		V(6)	D	V		V(6)		V			6				M	0	0	1, 5, 4		1	1
189	1.0	64	63	1/2	1/2	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
190	1.5	65	64	0	0	6/8	4	1		I\\	D	V		I		I						\\	M	0	0	0, 4, 1		0	0
383/2	1.5	65	64	3/8	3/8	6/8	4	1		I64	D	V		I64		I		64					M	0	0	1, 0, 4		0	1
193	1.5	66	65	0	0	6/8	4	1		V65	D	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
389/2	1.5	66	65	3/8	3/8	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
196	3.0	67	66	0	0	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
199	3.0	68	67	0	0	6/8	4	1		V43	D	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
202	3.0	69	68	0	0	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
205	1.5	70	69	0	0	6/8	4	1		V65	D	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
413/2	1.5	70	69	3/8	3/8	6/8	4	1		V2/IV	D	V		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
208	1.5	71	70	0	0	6/8	4	1		IV6	D	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
419/2	1.5	71	70	3/8	3/8	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
211	1.5	72	71	0	0	6/8	4	1		viio6	D	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
425/2	1.5	72	71	3/8	3/8	6/8	4	1		V65/IV	D	V		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
214	1.5	73	72	0	0	6/8	4	1		IV	D	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
431/2	1.5	73	72	3/8	3/8	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
217	1.5	74	73	0	0	6/8	4	1		viio6	D	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
437/2	1.5	74	73	3/8	3/8	6/8	4	1		V65/IV	D	V		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
220	1.5	75	74	0	0	6/8	4	1		IV	D	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
443/2	1.5	75	74	3/8	3/8	6/8	4	1		iv	D	V		iv		iv							m	0	0	-1, -4, 0		-1	-1
223	1.5	76	75	0	0	6/8	4	1		V(64)	D	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
449/2	1.5	76	75	3/8	3/8	6/8	4	1		viio65/V	D	V		viio65/V		vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
226	3.0	77	76	0	0	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
229	3.0	78	77	0	0	6/8	4	1		V(64)	D	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
232	6.0	79	78	0	0	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
238	3.0	81	80	0	0	6/8	4	1		bIII.I	D	bIII		I		I							M	0	0	0, 4, 1		0	0
241	3.0	82	81	0	0	6/8	4	1		V65	D	bIII		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
244	3.0	83	82	0	0	6/8	4	1		I	D	bIII		I		I							M	0	0	0, 4, 1		0	0
247	3.0	84	83	0	0	6/8	4	1		V65	D	bIII		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
250	3.0	85	84	0	0	6/8	4	1		I	D	bIII		I		I							M	0	0	0, 4, 1		0	0
253	3.0	86	85	0	0	6/8	4	1		V65	D	bIII		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
256	3.0	87	86	0	0	6/8	4	1		I	D	bIII		I		I							M	0	0	0, 4, 1		0	0
259	3.0	88	87	0	0	6/8	4	1		V.viio/V	D	V		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
262	4.5	89	88	0	0	6/8	4	1		V(64)	D	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
533/2	1.5	90	89	3/8	3/8	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
268	1.0	91	90	0	0	6/8	4	1		I\\	D	V		I		I						\\	M	0	0	0, 4, 1		0	0
269	0.5	91	90	1/4	1/4	6/8	4	1		V/bIII	D	V		V/bIII		V				bIII			M	0	0	-2, 2, -1		-2	-2
539/2	1.5	91	90	3/8	3/8	6/8	4	1		bIII	D	V		bIII		bIII							M	0	0	-3, 1, -2		-3	-3
271	3.0	92	91	0	0	6/8	4	1		V2/bII	D	V		V2/bII		V		2		bII			Mm7	0	0	-6, -4, 0, -3		-4	-6
274	3.0	93	92	0	0	6/8	4	1		bII	D	V		bII		bII							M	0	0	-5, -1, -4		-5	-5
277	3.0	94	93	0	0	6/8	4	1		viio7/V	D	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
280	3.0	95	94	0	0	6/8	4	1		V(64)	D	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
283	3.0	96	95	0	0	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
286	2.0	97	96	0	0	6/8	4	1		I\\	D	V		I		I						\\	M	0	0	0, 4, 1		0	0
288	0.5	97	96	1/2	1/2	6/8	4	1		V7(2)	D	V		V7(2)		V		7	2				Mm7	0	0	3, 5, 2, -1		1	3
577/2	0.5	97	96	5/8	5/8	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
289	2.0	98	97	0	0	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
291	0.5	98	97	1/2	1/2	6/8	4	1		V7(2)	D	V		V7(2)		V		7	2				Mm7	0	0	3, 5, 2, -1		1	3
583/2	0.5	98	97	5/8	5/8	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
292	2.0	99	98	0	0	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
294	0.5	99	98	1/2	1/2	6/8	4	1		V7(2)	D	V		V7(2)		V		7	2				Mm7	0	0	3, 5, 2, -1		1	3
589/2	0.5	99	98	5/8	5/8	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
295	2.0	100	99	0	0	6/8	4	1		V(64)	D	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
297	0.5	100	99	1/2	1/2	6/8	4	1		V7(2)	D	V		V7(2)		V		7	2				Mm7	0	0	3, 5, 2, -1		1	3
595/2	0.5	100	99	5/8	5/8	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
298	1.5	101	100	0	0	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
599/2	1.0	101	100	3/8	3/8	6/8	4	1		V7(2)	D	V		V7(2)		V		7	2				Mm7	0	0	3, 5, 2, -1		1	3
601/2	0.5	101	100	5/8	5/8	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
301	1.5	102	101	0	0	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
605/2	1.0	102	101	3/8	3/8	6/8	4	1		V7(2)	D	V		V7(2)		V		7	2				Mm7	0	0	3, 5, 2, -1		1	3
607/2	0.5	102	101	5/8	5/8	6/8	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
304	0.5	103	102	0	0	6/8	4	1		I	D	V		I		I							M	0	0	0, 4, 1		0	0
609/2	1.0	103	102	1/8	1/8	6/8	4	1		I.V[I	D	I	V	I		I							M	0	0	0, 4, 1		0	0
611/2	1.0	103	102	3/8	3/8	6/8	4	1		ii6(2)	D	I	V	ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1
613/2	0.5	103	102	5/8	5/8	6/8	4	1		ii6	D	I	V	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
307	1.0	104	103	0	0	6/8	4	1		I6(2)	D	I	V	I6(2)		I		6	2				M	0	0	4, 1, 2		0	4
308	0.5	104	103	1/4	1/4	6/8	4	1		I6	D	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
617/2	1.0	104	103	3/8	3/8	6/8	4	1		viio6(2)	D	I	V	viio6(2)		vii	o	6	2				o	0	0	2, -1, 0		5	2
619/2	0.5	104	103	5/8	5/8	6/8	4	1		viio6	D	I	V	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
310	1.0	105	104	0	0	6/8	4	1		vi6(2)	D	I	V	vi6(2)		vi		6	2				m	0	0	0, 4, 5		3	0
311	0.5	105	104	1/4	1/4	6/8	4	1		vi6	D	I	V	vi6		vi		6					m	0	0	0, 4, 3		3	0
623/2	1.0	105	104	3/8	3/8	6/8	4	1		V6(2)	D	I	V	V6(2)		V		6	2				M	0	0	5, 2, 3		1	5
625/2	0.5	105	104	5/8	5/8	6/8	4	1		V6	D	I	V	V6		V		6					M	0	0	5, 2, 1		1	5
313	1.0	106	105	0	0	6/8	4	1		IV6(2)	D	I	V	IV6(2)		IV		6	2				M	0	0	3, 0, 1		-1	3
314	0.5	106	105	1/4	1/4	6/8	4	1		IV6	D	I	V	IV6		IV		6					M	0	0	3, 0, -1		-1	3
629/2	1.0	106	105	3/8	3/8	6/8	4	1		iii6(2)	D	I	V	iii6(2)		iii		6	2				m	0	0	1, 5, -1		4	1
631/2	0.5	106	105	5/8	5/8	6/8	4	1		iii6	D	I	V	iii6		iii		6					m	0	0	1, 5, 4		4	1
316	1.0	107	106	0	0	6/8	4	1		ii6(2)	D	I	V	ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1
317	0.5	107	106	1/4	1/4	6/8	4	1		ii6	D	I	V	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
635/2	1.0	107	106	3/8	3/8	6/8	4	1		#viio6(2)/ii	D	I	V	#viio6(2)/ii		#vii	o	6	2	ii			o	0	0	4, 1, 2		7	4
637/2	0.5	107	106	5/8	5/8	6/8	4	1		#viio6/ii	D	I	V	#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
319	1.5	108	107	0	0	6/8	4	1		viio2/V	D	I	V	viio2/V		vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
641/2	1.0	108	107	3/8	3/8	6/8	4	1		viio6(2)	D	I	V	viio6(2)		vii	o	6	2				o	0	0	2, -1, 0		5	2
643/2	0.5	108	107	5/8	5/8	6/8	4	1		viio6	D	I	V	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
322	3.0	109	108	0	0	6/8	4	1		viio6	D	I	V	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
325	3.0	110	109	0	0	6/8	4	1		viio6]	D	I	V	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
328	6.0	111	110	0	0	6/8	4	1		#viio7/vi	D	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
334	3.0	113	112	0	0	6/8	4	1		ii64	D	I		ii64		ii		64					m	0	0	3, 2, -1		2	3
337	3.0	114	113	0	0	6/8	4	1		bVII7	D	I		bVII7		bVII		7					Mm7	0	0	-2, 2, -1, -4		-2	-2
		115	114	0	0	6/8	4	1	1	V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
		117	116	1/2	1/2	6/8	4	1	1	ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
		118	117	0	0	6/8	4	1	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
		119	118	0	0	6/8	4	1	1	viio6	D	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
		121	120	0	0	6/8	4	1	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
		121	120	1/8	1/8	6/8	4	1	1	IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
340	8.0	122	114	0	0	6/8	4	1	2	V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
348	1.0	124	116	1/2	1/2	6/8	4	1	2	ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
349	3.0	125	117	0	0	6/8	4	1	2	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
352	6.0	126	118	0	0	6/8	4	1	2	viio6	D	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
358	2.0	128	120	0	0	6/8	4	1	2	iiio6	D	I		iiio6		iii	o	6					o	0	0	1, -2, 4		4	1
360	4.0	128	120	1/2	1/2	6/8	4	1	2	ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
364	3.0	130	122	0	0	6/8	4	1		#io6	D	I		#io6		#i	o	6					o	0	0	4, 1, 7		7	4
367	3.0	131	123	0	0	6/8	4	1		v6	D	I		v6		v		6					m	0	0	-2, 2, 1		1	-2
370	3.0	132	124	0	0	6/8	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
373	3.0	133	125	0	0	6/8	4	1		iiio6	D	I		iiio6		iii	o	6					o	0	0	1, -2, 4		4	1
376	3.0	134	126	0	0	6/8	4	1		v6	D	I		v6		v		6					m	0	0	-2, 2, 1		1	-2
379	3.0	135	127	0	0	6/8	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
382	3.0	136	128	0	0	6/8	4	1		iiio6	D	I		iiio6		iii	o	6					o	0	0	1, -2, 4		4	1
