quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
28	0.5	15	14	0	0	2/4	4	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
57/2	0.5	15	14	1/8	1/8	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
29	0.5	15	14	1/4	1/4	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
59/2	0.5	15	14	3/8	3/8	2/4	4	1		V43/V	A	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
30	2.0	16	15	0	0	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	2.0	17	16	0	0	2/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
34	1.0	18	17	0	0	2/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
35	0.5	18	17	1/4	1/4	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
71/2	0.5	18	17	3/8	3/8	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
36	2.0	19	18	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
38	1.0	20	19	0	0	2/4	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
39	0.5	20	19	1/4	1/4	2/4	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
79/2	0.5	20	19	3/8	3/8	2/4	4	1		V65/IV	A	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
40	1.0	21	20	0	0	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
41	1.0	21	20	1/4	1/4	2/4	4	1		V64	A	I		V64	V		64					M	0	0	2, 1, 5		1	2
42	0.5	22	21	0	0	2/4	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
85/2	1.0	22	21	1/8	1/8	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
87/2	0.5	22	21	3/8	3/8	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
44	0.5	23	22	0	0	2/4	4	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
89/2	0.5	23	22	1/8	1/8	2/4	4	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
45	0.5	23	22	1/4	1/4	2/4	4	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
91/2	0.5	23	22	3/8	3/8	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	1.0	24	23	0	0	2/4	4	1		I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
47	1.0	24	23	1/4	1/4	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
48	2.0	25	24	0	0	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
50	1.0	26	25	0	0	2/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
51	0.5	26	25	1/4	1/4	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
103/2	0.5	26	25	3/8	3/8	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
52	2.0	27	26	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
54	1.0	28	27	0	0	2/4	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
55	0.5	28	27	1/4	1/4	2/4	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
111/2	0.5	28	27	3/8	3/8	2/4	4	1		V65/IV	A	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
56	1.0	29	28	0	0	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
57	1.0	29	28	1/4	1/4	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
58	0.5	30	29	0	0	2/4	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
117/2	1.0	30	29	1/8	1/8	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
119/2	0.5	30	29	3/8	3/8	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
60	0.5	31	30	0	0	2/4	4	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
121/2	0.5	31	30	1/8	1/8	2/4	4	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
61	0.5	31	30	1/4	1/4	2/4	4	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
123/2	0.5	31	30	3/8	3/8	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
62	1.0	32	31	0	0	2/4	4	1		I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
63	2.0	32	31	1/4	1/4	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
65	1.0	33	32	1/4	1/4	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
66	1.5	34	33	0	0	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
135/2	0.5	34	33	3/8	3/8	2/4	4	1		iio6	A	I		iio6	ii	o	6					o	0	0	-1, -4, 2		2	-1
68	1.0	35	34	0	0	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
69	1.0	35	34	1/4	1/4	2/4	4	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
70	2.0	36	35	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
72	1.0	37	36	0	0	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
73	1.0	37	36	1/4	1/4	2/4	4	1		V43/IV	A	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
74	1.0	38	37	0	0	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
75	1.0	38	37	1/4	1/4	2/4	4	1		V65/II	A	I		V65/II	V		65		II			Mm7	0	0	7, 4, 1, 3		3	7
76	0.5	39	38	0	0	2/4	4	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
153/2	0.5	39	38	1/8	1/8	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
77	0.75	39	38	1/4	1/4	2/4	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
311/4	0.25	39	38	7/16	7/16	2/4	4	1		V43/V	A	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
78	1.0	40	39	0	0	2/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
79	0.5	40	39	1/4	1/4	2/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
159/2	0.5	40	39	3/8	3/8	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
80	1.0	41	40	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
81	1.0	41	40	1/4	1/4	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
82	2.0	42	41	0	0	2/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
84	2.0	43	42	0	0	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
86	2.0	44	43	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
88	0.5	45	44	0	0	2/4	4	1		V/IV	A	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
177/2	1.5	45	44	1/8	1/8	2/4	4	1		V/IV	A	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
90	1.0	46	45	0	0	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
91	1.0	46	45	1/4	1/4	2/4	4	1		V65/II	A	I		V65/II	V		65		II			Mm7	0	0	7, 4, 1, 3		3	7
92	0.5	47	46	0	0	2/4	4	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
185/2	0.5	47	46	1/8	1/8	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
93	0.5	47	46	1/4	1/4	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
187/2	0.5	47	46	3/8	3/8	2/4	4	1		V43/V	A	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
94	0.5	48	47	0	0	2/4	4	1		V[V	A	I	V	V	V							M	0	0	1, 5, 2		1	1
189/2	0.5	48	47	1/8	1/8	2/4	4	1		I	A	I	V	I	I							M	0	0	0, 4, 1		0	0
95	0.5	48	47	1/4	1/4	2/4	4	1		V43/V	A	I	V	V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
191/2	0.5	48	47	3/8	3/8	2/4	4	1		V2/V]	A	I	V	V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
96	2.0	49	48	0	0	2/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
98	1.5	50	49	0	0	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
199/2	0.5	50	49	3/8	3/8	2/4	4	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
100	1.0	51	50	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
101	0.5	51	50	1/4	1/4	2/4	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
203/2	0.5	51	50	3/8	3/8	2/4	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
102	2.0	52	51	0	0	2/4	4	1		V65/IV	A	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
104	1.0	53	52	0	0	2/4	4	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
105	0.5	53	52	1/4	1/4	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
211/2	0.5	53	52	3/8	3/8	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
106	1.0	54	53	0	0	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
107	0.5	54	53	1/4	1/4	2/4	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
215/2	0.5	54	53	3/8	3/8	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
108	0.5	55	54	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
217/2	0.25	55	54	1/8	1/8	2/4	4	1		V65/vi	A	I		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
435/4	0.25	55	54	3/16	3/16	2/4	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
109	0.25	55	54	1/4	1/4	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
437/4	0.25	55	54	5/16	5/16	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
219/2	0.75	55	54	3/8	3/8	2/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
441/4	0.75	56	55	1/16	1/16	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
111	0.5	56	55	1/4	1/4	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
223/2	0.5	56	55	3/8	3/8	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
112	2.0	57	56	0	0	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
114	2.0	58	57	0	0	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
116	0.5	59	58	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
233/2	1.0	59	58	1/8	1/8	2/4	4	1		V7/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
235/2	0.5	59	58	3/8	3/8	2/4	4	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
118	2.0	60	59	0	0	2/4	4	1		V65/IV	A	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
120	1.0	61	60	0	0	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
121	1.5	61	60	1/4	1/4	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
245/2	1.0	62	61	1/8	1/8	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
247/2	0.5	62	61	3/8	3/8	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
124	0.5	63	62	0	0	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
249/2	0.375	63	62	1/8	1/8	2/4	4	1		V43/vi	A	I		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
999/8	0.125	63	62	7/32	7/32	2/4	4	1		vi6	A	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
125	0.375	63	62	1/4	1/4	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
1003/8	0.125	63	62	11/32	11/32	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
251/2	0.25	63	62	3/8	3/8	2/4	4	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
503/4	0.125	63	62	7/16	7/16	2/4	4	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
1007/8	0.125	63	62	15/32	15/32	2/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
126	2.0	64	63	0	0	2/4	4	1		I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
128	4.0	65	64	0	0	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
132	4.0	66	65	0	0	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
136	4.0	67	66	0	0	4/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
140	2.0	68	67	0	0	4/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
142	2.0	68	67	1/2	1/2	4/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
144	6.0	69	68	0	0	4/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
150	2.0	70	69	1/2	1/2	4/4	4	1		V65/IV	A	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
152	1.0	71	70	0	0	4/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
153	2.0	71	70	1/4	1/4	4/4	4	1		V65/II	A	I		V65/II	V		65		II			Mm7	0	0	7, 4, 1, 3		3	7
155	1.0	71	70	3/4	3/4	4/4	4	1		V7/II	A	I		V7/II	V		7		II			Mm7	0	0	3, 7, 4, 1		3	3
156	1.0	72	71	0	0	4/4	4	1		V65/V	A	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
157	1.0	72	71	1/4	1/4	4/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
158	1.0	72	71	1/2	1/2	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
159	1.0	72	71	3/4	3/4	4/4	4	1		V43(+9)/V	A	I		V43(+9)/V	V		43	+9	V			Mm7	0	0	3, 0, 2, 6	4	2	3
160	1.0	73	72	0	0	4/4	4	1		V[V	A	I	V	V	V							M	0	0	1, 5, 2		1	1
161	1.0	73	72	1/4	1/4	4/4	4	1		V7(4)/V	A	I	V	V7(4)/V	V		7	4	V			Mm7	0	0	2, 1, 3, 0		2	2
162	1.0	73	72	1/2	1/2	4/4	4	1		V	A	I	V	V	V							M	0	0	1, 5, 2		1	1
163	1.0	73	72	3/4	3/4	4/4	4	1		V7	A	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
164	1.0	74	73	0	0	4/4	4	1		I	A	I	V	I	I							M	0	0	0, 4, 1		0	0
165	6.0	74	73	1/4	1/4	4/4	4	1		I6	A	I	V	I6	I		6					M	0	0	4, 1, 0		0	4
171	1.0	75	74	3/4	3/4	4/4	4	1		I	A	I	V	I	I							M	0	0	0, 4, 1		0	0
172	1.0	76	75	0	0	4/4	4	1		V2	A	I	V	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
173	6.0	76	75	1/4	1/4	4/4	4	1		V65	A	I	V	V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
179	1.0	77	76	3/4	3/4	4/4	4	1		V43	A	I	V	V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
180	2.0	78	77	0	0	4/4	4	1		I64]	A	I	V	I64	I		64					M	0	0	1, 0, 4		0	1
182	1.0	78	77	1/2	1/2	4/4	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
183	1.0	78	77	3/4	3/4	4/4	4	1		V43/IV	A	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
184	1.0	79	78	0	0	4/4	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
185	1.0	79	78	1/4	1/4	4/4	4	1		VI	A	I		VI	VI							M	0	0	3, 7, 4		3	3
186	2.0	79	78	1/2	1/2	4/4	4	1		V2/II	A	I		V2/II	V		2		II			Mm7	0	0	1, 3, 7, 4		3	1
188	1.0	80	79	0	0	4/4	4	1		V6/V	A	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
189	1.0	80	79	1/4	1/4	4/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
190	1.0	80	79	1/2	1/2	4/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
191	2.0	80	79	3/4	3/4	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
193	1.0	81	80	1/4	1/4	4/4	4	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
194	1.0	81	80	1/2	1/2	4/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
195	1.0	81	80	3/4	3/4	4/4	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
196	1.0	82	81	0	0	4/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
197	1.0	82	81	1/4	1/4	4/4	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
198	1.0	82	81	1/2	1/2	4/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
199	1.0	82	81	3/4	3/4	4/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
200	1.0	83	82	0	0	4/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
201	1.0	83	82	1/4	1/4	4/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
202	1.0	83	82	1/2	1/2	4/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
203	1.0	83	82	3/4	3/4	4/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
204	2.0	84	83	0	0	4/4	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
206	2.0	84	83	1/2	1/2	4/4	4	1		V7/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
208	4.0	85	84	0	0	4/4	4	1		V7/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
212	11.0	86	85	0	0	4/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
223	1.0	88	87	3/4	3/4	4/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
224	4.0	89	88	0	0	4/4	4	1		I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
228	2.0	90	89	0	0	4/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
230	4.0	90	89	1/2	1/2	4/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
234	2.0	91	90	1/2	1/2	4/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
236	2.0	92	91	0	0	4/4	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
238	6.0	92	91	1/2	1/2	4/4	4	1		V7/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
244	2.0	94	93	0	0	4/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
246	9.0	94	93	1/2	1/2	4/4	4	1		@none	A	I		@none	@none							m	0	0				
255	1.0	96	95	3/4	3/4	4/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
256	4.0	97	96	0	0	4/4	4	1		I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
260	5.0	98	97	0	0	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
265	4.0	99	98	1/4	1/4	4/4	4	1		ii64	A	I		ii64	ii		64					m	0	0	3, 2, -1		2	3
269	3.0	100	99	1/4	1/4	4/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
272	1.0	101	100	0	0	4/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
273	3.0	101	100	1/4	1/4	4/4	4	1		IV43/IV	A	I		IV43/IV	IV		43		IV			Mm7	0	0	-1, -4, -2, 2		-2	-1
276	1.0	102	101	0	0	4/4	4	1		IV\\	A	I		IV	IV						\\	M	0	0	-1, 3, 0		-1	-1
277	8.0	102	101	1/4	1/4	4/4	4	1		@none	A	I		@none	@none							m	0	0				
285	2.0	104	103	1/4	1/4	4/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
287	1.0	104	103	3/4	3/4	4/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
288	1.0	105	104	0	0	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
289	1.0	105	104	1/4	1/4	4/4	4	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
290	1.0	105	104	1/2	1/2	4/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
291	1.0	105	104	3/4	3/4	4/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
292	4.0	106	105	0	0	4/4	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
296	1.0	107	106	0	0	4/4	4	1		ii6(4)	A	I		ii6(4)	ii		6	4				m	0	0	1, 3, 2		2	1
297	3.0	107	106	1/4	1/4	4/4	4	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
300	1.0	108	107	0	0	4/4	4	1		V(4)	A	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
301	3.0	108	107	1/4	1/4	4/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
304	2.0	109	108	0	0	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
306	2.0	109	108	1/2	1/2	4/4	4	1		V7/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
308	2.0	110	109	0	0	4/4	4	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
310	2.0	110	109	1/2	1/2	4/4	4	1		V65/IV	A	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
312	2.0	111	110	0	0	4/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
