quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
330	3.0	171	166	0	0	2/4	4	1		V7/vi		Bb	bVII		V7/vi	V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
333	1.0	172	167	1/4	1/4	2/4	4	1		vi		Bb	bVII		vi	vi								m	0	0	3, 0, 4		3	3
334	3.5	173	168	0	0	2/4	4	1		V.viio		Bb	V		viio	vii	o							o	0	0	5, 2, -1		5	5
675/2	0.5	174	169	3/8	3/8	2/4	4	1		I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
338	2.0	175	170	0	0	2/4	4	1		V65		Bb	V		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
340	2.0	176	171	0	0	2/4	4	1		I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
342	2.0	177	172	0	0	2/4	4	1		V43		Bb	V		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
344	2.0	178	173	0	0	2/4	4	1		I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
346	2.0	179	174	0	0	2/4	4	1		V65		Bb	V		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
348	2.0	180	175	0	0	2/4	4	1		I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
350	2.0	181	176	0	0	2/4	4	1		V43		Bb	V		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
352	2.0	182	177	0	0	2/4	4	1		I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
354	2.0	183	178	0	0	2/4	4	1		V65/IV		Bb	V		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
356	2.0	184	179	0	0	2/4	4	1		IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
358	2.0	185	180	0	0	2/4	4	1		V43/IV		Bb	V		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
360	1.0	186	181	0	0	2/4	4	1		V65/IV		Bb	V		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
361	0.5	186	181	1/4	1/4	2/4	4	1		IV6		Bb	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
723/2	0.5	186	181	3/8	3/8	2/4	4	1		viio6/V		Bb	V		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
362	2.0	187	182	0	0	2/4	4	1		V7/V		Bb	V		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
364	2.0	188	183	0	0	2/4	4	1		ii.i		Bb	ii		i	i								m	0	1	0, -3, 1		0	0
366	1.0	189	184	0	0	2/4	4	1		#viio2		Bb	ii		#viio2	#vii	o	2						o7	0	1	-4, 5, 2, -1		5	-4
367	1.0	189	184	1/4	1/4	2/4	4	1		V7		Bb	ii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
368	2.0	190	185	0	0	2/4	4	1		i		Bb	ii		i	i								m	0	1	0, -3, 1		0	0
370	2.0	191	186	0	0	2/4	4	1		viio7/V		Bb	ii		viio7/V	vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
372	2.0	192	187	0	0	2/4	4	1		v		Bb	ii		v	v								m	0	1	1, -2, 2		1	1
374	2.0	193	188	0	0	2/4	4	1		viio65/V		Bb	ii		viio65/V	vii	o	65		V				o7	0	1	3, 0, -3, 6		6	3
376	2.0	194	189	0	0	2/4	4	1		vi.i		Bb	vi		i	i								m	0	1	0, -3, 1		0	0
378	1.0	195	190	0	0	2/4	4	1		V43		Bb	vi		V43	V		43						Mm7	0	1	2, -1, 1, 5		1	2
379	1.0	195	190	1/4	1/4	2/4	4	1		#viio/iv		Bb	vi		#viio/iv	#vii	o			iv				o	0	1	4, 1, -2		4	4
380	2.0	196	191	0	0	2/4	4	1		iv		Bb	vi		iv	iv								m	0	1	-1, -4, 0		-1	-1
382	1.0	197	192	0	0	2/4	4	1		V7/iv		Bb	vi		V7/iv	V		7		iv				Mm7	0	1	0, 4, 1, -2		0	0
383	1.0	197	192	1/4	1/4	2/4	4	1		V7/VII		Bb	vi		V7/VII	V		7		VII				Mm7	0	1	-1, 3, 0, -3		-1	-1
384	2.0	198	193	0	0	2/4	4	1		V.I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
386	1.0	199	194	0	0	2/4	4	1		viio6		Bb	V		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
387	1.0	199	194	1/4	1/4	2/4	4	1		V65/IV		Bb	V		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
388	2.0	200	195	0	0	2/4	4	1		IV	I.I	Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
390	1.0	201	196	0	0	2/4	4	1		viio6		Bb	V		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
391	1.0	201	196	1/4	1/4	2/4	4	1		viio/IV		Bb	V		viio/IV	vii	o			IV				o	0	0	4, 1, -2		4	4
392	1.0	202	197	0	0	2/4	4	1		IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
393	1.0	202	197	1/4	1/4	2/4	4	1		ii		Bb	V		ii	ii								m	0	0	2, -1, 3		2	2
394	1.0	203	198	0	0	2/4	4	1		iio/ii		Bb	V		iio/ii	ii	o			ii				o	0	0	4, 1, -2		4	4
395	1.0	203	198	1/4	1/4	2/4	4	1		#viio/ii		Bb	V		#viio/ii	#vii	o			ii				o	0	0	7, 4, 1		7	7
396	1.0	204	199	0	0	2/4	4	1		ii		Bb	V		ii	ii								m	0	0	2, -1, 3		2	2
397	1.0	204	199	1/4	1/4	2/4	4	1		V7		Bb	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
398	1.0	205	200	0	0	2/4	4	1		I\\		Bb	V		I	I							\\	M	0	0	0, 4, 1		0	0
399	1.0	205	200	1/4	1/4	2/4	4	1		vi		Bb	V		vi	vi								m	0	0	3, 0, 4		3	3
400	1.0	206	201	0	0	2/4	4	1		#viio6/vi		Bb	V		#viio6/vi	#vii	o	6		vi				o	0	0	5, 2, 8		8	5
401	0.5	206	201	1/4	1/4	2/4	4	1		V65/vi		Bb	V		V65/vi	V		65		vi				Mm7	0	0	8, 5, 2, 4		4	8
803/2	0.25	206	201	3/8	3/8	2/4	4	1		vi		Bb	V		vi	vi								m	0	0	3, 0, 4		3	3
1607/4	0.25	206	201	7/16	7/16	2/4	4	1		#viio6/vi		Bb	V		#viio6/vi	#vii	o	6		vi				o	0	0	5, 2, 8		8	5
402	1.0	207	202	0	0	2/4	4	1		iio/v		Bb	V		iio/v	ii	o			v				o	0	0	3, 0, -3		3	3
403	1.0	207	202	1/4	1/4	2/4	4	1		V65/v		Bb	V		V65/v	V		65		v				Mm7	0	0	6, 3, 0, 2		2	6
404	1.0	208	203	0	0	2/4	4	1		v6	ii6/IV	Bb	V		v6	v		6						m	0	0	-2, 2, 1		1	-2
405	1.0	208	203	1/4	1/4	2/4	4	1		IV.V7		Bb	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
406	1.0	209	204	0	0	2/4	4	1		I6		Bb	IV		I6	I		6						M	0	0	4, 1, 0		0	4
407	1.0	209	204	1/4	1/4	2/4	4	1		ii6		Bb	IV		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
408	1.0	210	205	0	0	2/4	4	1		iio6/vi		Bb	IV		iio6/vi	ii	o	6		vi				o	0	0	2, -1, 5		5	2
409	1.0	210	205	1/4	1/4	2/4	4	1		V7/vi		Bb	IV		V7/vi	V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
410	1.0	211	206	0	0	2/4	4	1		vi6		Bb	IV		vi6	vi		6						m	0	0	0, 4, 3		3	0
411	1.0	211	206	1/4	1/4	2/4	4	1		vi		Bb	IV		vi	vi								m	0	0	3, 0, 4		3	3
412	4.0	212	207	0	0	2/4	4	1		#viio7/iii		Bb	IV		#viio7/iii	#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
416	2.0	214	209	0	0	2/4	4	1		V7/iii		Bb	IV		V7/iii	V		7		iii				Mm7	0	0	5, 9, 6, 3		5	5
418	2.0	215	210	0	0	2/4	4	1		@none		Bb	IV		@none	@none								m	0	0				
420	2.0	216	211	0	0	2/4	4	1		V7/iii		Bb	IV		V7/iii	V		7		iii				Mm7	0	0	5, 9, 6, 3		5	5
422	22.0	217	212	0	0	2/4	4	1		@none		Bb	IV		@none	@none								m	0	0				
444	2.0	228	223	0	0	2/4	4	1		V/iii		Bb	IV		V/iii	V				iii				M	0	0	5, 9, 6		5	5
446	2.0	229	224	0	0	2/4	4	1		V/iii		Bb	IV		V/iii	V				iii				M	0	0	5, 9, 6		5	5
448	2.0	230	225	0	0	2/4	4	1		V65/iii		Bb	IV		V65/iii	V		65		iii				Mm7	0	0	9, 6, 3, 5		5	9
450	2.0	231	226	0	0	2/4	4	1		iii		Bb	IV		iii	iii								m	0	0	4, 1, 5		4	4
452	2.0	232	227	0	0	2/4	4	1		V43/iii		Bb	IV		V43/iii	V		43		iii				Mm7	0	0	6, 3, 5, 9		5	6
454	2.0	233	228	0	0	2/4	4	1		iii		Bb	IV		iii	iii								m	0	0	4, 1, 5		4	4
456	2.0	234	229	0	0	2/4	4	1		V43		Bb	IV		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
458	2.0	235	230	0	0	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
460	1.0	236	231	0	0	2/4	4	1		ii65		Bb	IV		ii65	ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
461	1.0	236	231	1/4	1/4	2/4	4	1		V		Bb	IV		V	V								M	0	0	1, 5, 2		1	1
462	2.0	237	232	0	0	2/4	4	1		I\\		Bb	IV		I	I							\\	M	0	0	0, 4, 1		0	0
464	2.0	238	233	0	0	2/4	4	1		ii.V7		Bb	ii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
466	2.0	239	234	0	0	2/4	4	1		V(64)		Bb	ii		V(64)	V			64					M	0	1	1, 0, -3		1	1
468	2.0	240	235	0	0	2/4	4	1		V7		Bb	ii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
470	2.0	241	236	0	0	2/4	4	1		V(64)		Bb	ii		V(64)	V			64					M	0	1	1, 0, -3		1	1
472	2.0	242	237	0	0	2/4	4	1		I.V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
474	1.0	243	238	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
475	1.0	243	238	1/4	1/4	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
476	1.0	244	239	0	0	2/4	4	1		ii6		Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
477	1.0	244	239	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
478	1.0	245	240	0	0	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
479	3.0	245	240	1/4	1/4	2/4	4	1		V[V		Bb	I	V	V	V								M	0	0	1, 5, 2		1	1
482	2.0	247	242	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
484	1.0	248	243	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
485	0.5	248	243	1/4	1/4	2/4	4	1		I]		Bb	I		I	I					]			M	0	0	0, 4, 1		0	0
971/2	0.5	248	243	3/8	3/8	2/4	4	1		viio/V		Bb	I		viio/V	vii	o			V				o	0	0	6, 3, 0		6	6
486	1.0	249	244	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
487	0.5	249	244	1/4	1/4	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
975/2	0.5	249	244	3/8	3/8	2/4	4	1		V64		Bb	I		V64	V		64						M	0	0	2, 1, 5		1	2
488	1.0	250	245	0	0	2/4	4	1		V(64)/V		Bb	I		V(64)/V	V			64	V				M	0	0	2, 1, 5		2	2
489	1.0	250	245	1/4	1/4	2/4	4	1		V2		Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
490	1.0	251	246	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
491	0.5	251	246	1/4	1/4	2/4	4	1		ii6		Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
983/2	0.5	251	246	3/8	3/8	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
492	2.0	252	247	0	0	2/4	4	1		I[V43/IV		Bb	I	I	V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
494	1.0	253	248	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
495	0.5	253	248	1/4	1/4	2/4	4	1		viio6/IV		Bb	I		viio6/IV	vii	o	6		IV				o	0	0	1, -2, 4		4	1
991/2	2.25	253	248	3/8	3/8	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
1991/4	0.75	254	249	7/16	7/16	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
997/2	1.5	255	250	1/8	1/8	2/4	4	1		viio64/IV		Bb	I		viio64/IV	vii	o	64		IV				o	0	0	-2, 4, 1		4	-2
500	2.0	256	251	0	0	2/4	4	1		V43/IV		Bb	I		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
502	1.0	257	252	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
503	0.5	257	252	1/4	1/4	2/4	4	1		viio6/IV		Bb	I		viio6/IV	vii	o	6		IV				o	0	0	1, -2, 4		4	1
1007/2	0.5	257	252	3/8	3/8	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
504	2.0	258	253	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
506	2.0	259	254	0	0	2/4	4	1		I]		Bb	I		I	I					]			M	0	0	0, 4, 1		0	0
508	2.0	260	255	0	0	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
510	2.0	261	256	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
512	2.0	262	257	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
514	1.5	263	258	0	0	2/4	4	1		V65/V		Bb	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
1031/2	0.5	263	258	3/8	3/8	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
516	1.0	264	259	0	0	2/4	4	1		V(64)/V		Bb	I		V(64)/V	V			64	V				M	0	0	2, 1, 5		2	2
517	1.0	264	259	1/4	1/4	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
518	2.0	265	260	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
520	2.0	266	261	0	0	2/4	4	1		V43/IV		Bb	I		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
522	4.0	267	262	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
526	2.0	269	264	0	0	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
528	2.0	270	265	0	0	2/4	4	1		V65/IV		Bb	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
530	1.5	271	266	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
1063/2	0.5	271	266	3/8	3/8	2/4	4	1		iv6		Bb	I		iv6	iv		6						m	0	0	-4, 0, -1		-1	-4
532	2.0	272	267	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
534	1.0	273	268	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
535	1.0	273	268	1/4	1/4	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
536	2.0	274	269	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
538	2.0	275	270	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
540	1.0	276	271	0	0	2/4	4	1		V/V		Bb	I		V/V	V				V				M	0	0	2, 6, 3		2	2
541	1.0	276	271	1/4	1/4	2/4	4	1		V64		Bb	I		V64	V		64						M	0	0	2, 1, 5		1	2
542	0.5	277	272	0	0	2/4	4	1		V+6/iii		Bb	I		V+6/iii	V	+	6		iii				+	0	0	9, 13, 5		5	9
1085/2	0.5	277	272	1/8	1/8	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
543	1.5	277	272	1/4	1/4	2/4	4	1		V65/IV		Bb	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
1089/2	3.5	278	273	1/8	1/8	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
548	2.0	280	275	0	0	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
550	2.0	281	276	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
552	2.0	282	277	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
554	4.0	283	278	0	0	2/4	4	1		I64		Bb	I		I64	I		64						M	0	0	1, 0, 4		0	1
558	2.0	285	280	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
560	1.0	286	281	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
561	1.0	286	281	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
562	2.0	287	282	0	0	2/4	4	1		V65/IV		Bb	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
564	2.0	288	283	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
566	2.0	289	284	0	0	2/4	4	1		V43/IV		Bb	I		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
568	2.0	290	285	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
570	2.0	291	286	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
572	2.0	292	287	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
574	2.0	293	288	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
576	1.0	294	289	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
577	1.0	294	289	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
578	2.0	295	290	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
580	2.0	296	291	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
582	2.0	297	292	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
584	2.0	298	293	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
586	2.0	299	294	0	0	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
588	1.0	300	295	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
589	1.0	300	295	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
590	2.0	301	296	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
592	1.0	302	297	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
593	0.5	302	297	1/4	1/4	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
1187/2	0.5	302	297	3/8	3/8	2/4	4	1		vii%7/V		Bb	I		vii%7/V	vii	%	7		V				%7	0	0	6, 3, 0, 4		6	6
594	2.0	303	298	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
596	2.0	304	299	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
598	2.0	305	300	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
600	2.0	306	301	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
602	2.0	307	302	0	0	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
604	1.0	308	303	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
605	1.0	308	303	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
606	1.0	309	304	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
607	1.0	309	304	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
608	4.0	310	305	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
612	2.0	312	307	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
614	2.0	313	308	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
616	2.0	314	309	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
618	2.0	315	310	0	0	2/4	4	1		V2		Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
620	2.0	316	311	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
622	0.5	317	312	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
1245/2	0.5	317	312	1/8	1/8	2/4	4	1		V65/V		Bb	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
623	0.5	317	312	1/4	1/4	2/4	4	1		V(64)		Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
1247/2	0.5	317	312	3/8	3/8	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
624	1.5	318	313	0	0	2/4	4	1		viio65/V		Bb	I		viio65/V	vii	o	65		V				o7	0	0	3, 0, -3, 6		6	3
1251/2	0.5	318	313	3/8	3/8	2/4	4	1		i64		Bb	I		i64	i		64						m	0	0	1, 0, -3		0	1
626	2.0	319	314	0	0	2/4	4	1		viio65/V		Bb	I		viio65/V	vii	o	65		V				o7	0	0	3, 0, -3, 6		6	3
628	4.0	320	315	0	0	2/4	4	1		viio7/V		Bb	I		viio7/V	vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
632	4.0	322	317	0	0	2/4	4	1		viio43		Bb	I		viio43	vii	o	43						o7	0	0	-1, -4, 5, 2		5	-1
636	2.0	324	319	0	0	2/4	4	1		V[I		Bb	I	V	I	I								M	0	0	0, 4, 1		0	0
638	2.0	325	320	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
640	2.0	326	321	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
642	2.0	327	322	0	0	2/4	4	1		viio7]		Bb	I		viio7	vii	o	7			]			o7	0	0	5, 2, -1, -4		5	5
644	1.0	328	323	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
645	1.0	328	323	1/4	1/4	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
646	1.0	329	324	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
647	1.0	329	324	1/4	1/4	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
648	1.5	330	325	0	0	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
1299/2	0.5	330	325	3/8	3/8	2/4	4	1		V/V		Bb	I		V/V	V				V				M	0	0	2, 6, 3		2	2
650	1.0	331	326	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
651	0.5	331	326	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
1303/2	0.5	331	326	3/8	3/8	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
652	2.0	332	327	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
654	2.0	333	328	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
656	14.0	334	329	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
670	2.0	341	336	0	0	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
672	2.0	342	337	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
674	6.0	343	338	0	0	2/4	4	1		viio6		Bb	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
680	2.0	346	341	0	0	2/4	4	1		vi6		Bb	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
682	1.0	347	342	0	0	2/4	4	1		#viio6(9)/vi		Bb	I		#viio6(9)/vi	#vii	o	6	9	vi				o	0	0	5, 2, 8	3	8	5
683	1.0	347	342	1/4	1/4	2/4	4	1		#viio/vi		Bb	I		#viio/vi	#vii	o			vi				o	0	0	8, 5, 2		8	8
684	2.0	348	343	0	0	2/4	4	1		V43/vi		Bb	I		V43/vi	V		43		vi				Mm7	0	0	5, 2, 4, 8		4	5
686	2.0	349	344	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
688	2.0	350	345	0	0	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
690	6.0	351	346	0	0	2/4	4	1		v		Bb	I		v	v								m	0	0	1, -2, 2		1	1
696	2.0	354	349	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
698	6.0	355	350	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
704	3.0	358	353	0	0	2/4	4	1		IV.I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
707	1.0	359	354	1/4	1/4	2/4	4	1		V2/IV		Bb	IV		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
708	1.0	360	355	0	0	2/4	4	1		IV6		Bb	IV		IV6	IV		6						M	0	0	3, 0, -1		-1	3
709	1.0	360	355	1/4	1/4	2/4	4	1		V65		Bb	IV		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
710	1.0	361	356	0	0	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
711	1.0	361	356	1/4	1/4	2/4	4	1		#viio7/iii		Bb	IV		#viio7/iii	#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
