quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
442	1.0	111	111	1/2	1/2	4/4	4	1		V(64)	f	I		V(64)		V			64				M	1	0	1, 0, 4		1	1
443	1.0	111	111	3/4	3/4	4/4	4	1		V7	f	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
444	4.0	112	112	0	0	4/4	4	1		I[I	f	I	I	I		I							M	1	0	0, 4, 1		0	0
448	4.0	113	113	0	0	4/4	4	1		V43	f	I	I	V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
452	4.0	114	114	0	0	4/4	4	1		I	f	I	I	I		I							M	1	0	0, 4, 1		0	0
456	4.0	115	115	0	0	4/4	4	1		V43	f	I	I	V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
460	6.0	116	116	0	0	4/4	4	1		I	f	I	I	I		I							M	1	0	0, 4, 1		0	0
466	1.0	117	117	1/2	1/2	4/4	4	1		I]	f	I	I	I		I							M	1	0	0, 4, 1		0	0
467	1.0	117	117	3/4	3/4	4/4	4	1		bII	f	I		bII		bII							M	1	0	-5, -1, -4		-5	-5
468	8.0	118	118	0	0	4/4	4	1		II	f	I		II		II							M	1	0	2, 6, 3		2	2
476	1.0	120	120	0	0	4/4	4	1		V6/ii	f	I		V6/ii		V		6		ii			M	1	0	7, 4, 3		3	7
477	4.0	120	120	1/4	1/4	4/4	4	1		ii6	f	I		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
481	1.0	121	121	1/4	1/4	4/4	4	1		V(64b9)	f	I		V(64b9)		V			64b9				M	1	0	1, 0, 4	-4	1	1
482	1.0	121	121	1/2	1/2	4/4	4	1		V(64)	f	I		V(64)		V			64				M	1	0	1, 0, 4		1	1
483	2.0	121	121	3/4	3/4	4/4	4	1		V7	f	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
485	1.0	122	122	1/4	1/4	4/4	4	1		V(64b9)	f	I		V(64b9)		V			64b9				M	1	0	1, 0, 4	-4	1	1
486	1.0	122	122	1/2	1/2	4/4	4	1		V(64)	f	I		V(64)		V			64				M	1	0	1, 0, 4		1	1
487	1.0	122	122	3/4	3/4	4/4	4	1		V7	f	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
488	4.0	123	123	0	0	4/4	4	1		I[I	f	I	I	I		I							M	1	0	0, 4, 1		0	0
492	4.0	124	124	0	0	4/4	4	1		V43	f	I	I	V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
496	4.0	125	125	0	0	4/4	4	1		I	f	I	I	I		I							M	1	0	0, 4, 1		0	0
