quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
24	0.5	7	7	0	0	4/4	4	1		V.ii		Db	V		ii	ii							m	0	0	2, -1, 3		2	2
49/2	0.25	7	7	1/8	1/8	4/4	4	1		vii%7		Db	V		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
99/4	0.25	7	7	3/16	3/16	4/4	4	1		V6		Db	V		V6	V		6					M	0	0	5, 2, 1		1	5
25	0.5	7	7	1/4	1/4	4/4	4	1		iii7		Db	V		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
51/2	0.5	7	7	3/8	3/8	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
26	0.5	7	7	1/2	1/2	4/4	4	1		ii7		Db	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
53/2	0.5	7	7	5/8	5/8	4/4	4	1		V64		Db	V		V64	V		64					M	0	0	2, 1, 5		1	2
27	0.5	7	7	3/4	3/4	4/4	4	1		iii7		Db	V		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
55/2	0.5	7	7	7/8	7/8	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
28	0.75	8	8	0	0	4/4	4	1		ii7		Db	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
115/4	0.25	8	8	3/16	3/16	4/4	4	1		V64		Db	V		V64	V		64					M	0	0	2, 1, 5		1	2
29	0.5	8	8	1/4	1/4	4/4	4	1		iii		Db	V		iii	iii							m	0	0	4, 1, 5		4	4
59/2	0.5	8	8	3/8	3/8	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
30	0.5	8	8	1/2	1/2	4/4	4	1		ii65		Db	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
61/2	0.5	8	8	5/8	5/8	4/4	4	1		V		Db	V		V	V							M	0	0	1, 5, 2		1	1
31	0.5	8	8	3/4	3/4	4/4	4	1		i		Db	V		i	i							m	0	0	0, -3, 1		0	0
63/2	0.5	8	8	7/8	7/8	4/4	4	1		V6/V		Db	V		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
32	0.5	9	9	0	0	4/4	4	1		I.ii		Db	I		ii	ii							m	0	0	2, -1, 3		2	2
65/2	0.5	9	9	1/8	1/8	4/4	4	1		V6		Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
33	0.5	9	9	1/4	1/4	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
67/2	0.5	9	9	3/8	3/8	4/4	4	1		I6		Db	I		I6	I		6					M	0	0	4, 1, 0		0	4
34	0.5	9	9	1/2	1/2	4/4	4	1		ii6		Db	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
69/2	0.5	9	9	5/8	5/8	4/4	4	1		V		Db	I		V	V							M	0	0	1, 5, 2		1	1
35	1.0	9	9	3/4	3/4	4/4	4	1		I\\		Db	I		I	I						\\	M	0	0	0, 4, 1		0	0
36	0.5	10	10	0	0	4/4	4	1		ii		Db	I		ii	ii							m	0	0	2, -1, 3		2	2
73/2	0.5	10	10	1/8	1/8	4/4	4	1		V		Db	I		V	V							M	0	0	1, 5, 2		1	1
37	1.0	10	10	1/4	1/4	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
38	1.0	10	10	1/2	1/2	4/4	4	1		V/V		Db	I		V/V	V				V			M	0	0	2, 6, 3		2	2
39	1.0	10	10	3/4	3/4	4/4	4	1		V		Db	I		V	V							M	0	0	1, 5, 2		1	1
40	2.0	11	11	0	0	4/4	4	1		V.I		Db	V		I	I							M	0	0	0, 4, 1		0	0
42	1.0	11	11	1/2	1/2	4/4	4	1		V7		Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
43	1.0	11	11	3/4	3/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
44	1.0	12	12	0	0	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
45	1.0	12	12	1/4	1/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
46	1.0	12	12	1/2	1/2	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
47	1.0	12	12	3/4	3/4	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
48	1.0	13	13	0	0	4/4	4	1		V7/vi		Db	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
49	1.0	13	13	1/4	1/4	4/4	4	1		vi		Db	V		vi	vi							m	0	0	3, 0, 4		3	3
50	2.0	13	13	1/2	1/2	4/4	4	1		V7/IV		Db	V		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
52	2.0	14	14	0	0	4/4	4	1		@none		Db	V		@none	@none							m	0	0				
54	0.5	14	14	1/2	1/2	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
109/2	0.5	14	14	5/8	5/8	4/4	4	1		V6		Db	V		V6	V		6					M	0	0	5, 2, 1		1	5
55	0.5	14	14	3/4	3/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
111/2	0.5	14	14	7/8	7/8	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
56	1.0	15	15	0	0	4/4	4	1		ii6		Db	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
57	1.0	15	15	1/4	1/4	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
58	0.5	15	15	1/2	1/2	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
117/2	0.5	15	15	5/8	5/8	4/4	4	1		V		Db	V		V	V							M	0	0	1, 5, 2		1	1
59	1.0	15	15	3/4	3/4	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
60	0.5	16	16	0	0	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
121/2	0.5	16	16	1/8	1/8	4/4	4	1		V65		Db	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
61	0.5	16	16	1/4	1/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
123/2	0.5	16	16	3/8	3/8	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
62	0.5	16	16	1/2	1/2	4/4	4	1		V43		Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
125/2	0.5	16	16	5/8	5/8	4/4	4	1		V65		Db	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
63	0.5	16	16	3/4	3/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
127/2	0.5	16	16	7/8	7/8	4/4	4	1		I64		Db	V		I64	I		64					M	0	0	1, 0, 4		0	1
64	1.0	17	17	0	0	4/4	4	1		V43		Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
65	0.5	17	17	1/4	1/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
131/2	2.25	17	17	3/8	3/8	4/4	4	1		V6/vi		Db	V		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
271/4	0.25	17	17	15/16	15/16	4/4	4	1		V7/vi		Db	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
68	0.75	18	18	0	0	4/4	4	1		III.V7		Db	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
275/4	0.25	18	18	3/16	3/16	4/4	4	1		V65		Db	III		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
69	1.0	18	18	1/4	1/4	4/4	4	1		I		Db	III		I	I							M	0	0	0, 4, 1		0	0
70	0.5	18	18	1/2	1/2	4/4	4	1		V43		Db	III		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
141/2	0.5	18	18	5/8	5/8	4/4	4	1		V7		Db	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
71	0.5	18	18	3/4	3/4	4/4	4	1		I		Db	III		I	I							M	0	0	0, 4, 1		0	0
143/2	0.25	18	18	7/8	7/8	4/4	4	1		V7		Db	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
287/4	0.25	18	18	15/16	15/16	4/4	4	1		V65		Db	III		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
72	0.25	19	19	0	0	4/4	4	1		I		Db	III		I	I							M	0	0	0, 4, 1		0	0
289/4	0.25	19	19	1/16	1/16	4/4	4	1		viio6		Db	III		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
145/2	0.25	19	19	1/8	1/8	4/4	4	1		I6		Db	III		I6	I		6					M	0	0	4, 1, 0		0	4
291/4	0.25	19	19	3/16	3/16	4/4	4	1		viio65		Db	III		viio65	vii	o	65					o7	0	0	2, -1, -4, 5		5	2
73	0.25	19	19	1/4	1/4	4/4	4	1		v%2		Db	III		v%2	v	%	2					%7	0	0	-1, 1, -2, -5		1	-1
293/4	0.25	19	19	5/16	5/16	4/4	4	1		V65/V		Db	III		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
147/2	0.5	19	19	3/8	3/8	4/4	4	1		V		Db	III		V	V							M	0	0	1, 5, 2		1	1
74	2.0	19	19	1/2	1/2	4/4	4	1		V(+b2)		Db	III		V(+b2)	V			+b2				M	0	0	1, 5, 2	-4	1	1
76	2.0	20	20	0	0	4/4	4	1		V		Db	III		V	V							M	0	0	1, 5, 2		1	1
78	2.0	20	20	1/2	1/2	4/4	4	1		V7/V		Db	III		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
80	2.0	21	21	0	0	4/4	4	1		V		Db	III		V	V							M	0	0	1, 5, 2		1	1
82	1.0	21	21	1/2	1/2	4/4	4	1		V(64)		Db	III		V(64)	V			64				M	0	0	1, 0, 4		1	1
83	1.0	21	21	3/4	3/4	4/4	4	1		V7		Db	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
84	1.0	22	22	0	0	4/4	4	1		I		Db	III		I	I							M	0	0	0, 4, 1		0	0
85	1.0	22	22	1/4	1/4	4/4	4	1		I6		Db	III		I6	I		6					M	0	0	4, 1, 0		0	4
86	0.5	22	22	1/2	1/2	4/4	4	1		V64		Db	III		V64	V		64					M	0	0	2, 1, 5		1	2
173/2	0.5	22	22	5/8	5/8	4/4	4	1		I6		Db	III		I6	I		6					M	0	0	4, 1, 0		0	4
87	0.5	22	22	3/4	3/4	4/4	4	1		V2		Db	III		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
175/2	0.5	22	22	7/8	7/8	4/4	4	1		I64		Db	III		I64	I		64					M	0	0	1, 0, 4		0	1
88	1.0	23	23	0	0	4/4	4	1		iii.iv		Db	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
89	1.0	23	23	1/4	1/4	4/4	4	1		iv6		Db	iii		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
90	1.0	23	23	1/2	1/2	4/4	4	1		VI		Db	iii		VI	VI							M	0	1	-4, 0, -3		-4	-4
91	0.375	23	23	3/4	3/4	4/4	4	1		VI6		Db	iii		VI6	VI		6					M	0	1	0, -3, -4		-4	0
731/8	0.625	23	23	27/32	27/32	4/4	4	1		V.ii43		Db	V		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
92	1.0	24	24	0	0	4/4	4	1		V(64)		Db	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
93	1.0	24	24	1/4	1/4	4/4	4	1		V7		Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
94	0.5	24	24	1/2	1/2	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
189/2	0.5	24	24	5/8	5/8	4/4	4	1		V(64)		Db	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
95	1.0	24	24	3/4	3/4	4/4	4	1		V7		Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
96	1.0	25	25	0	0	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
97	1.0	25	25	1/4	1/4	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
98	0.5	25	25	1/2	1/2	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
197/2	0.5	25	25	5/8	5/8	4/4	4	1		V7		Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
99	0.5	25	25	3/4	3/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
199/2	0.5	25	25	7/8	7/8	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
100	1.0	26	26	0	0	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
101	1.0	26	26	1/4	1/4	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
102	1.0	26	26	1/2	1/2	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
103	1.0	26	26	3/4	3/4	4/4	4	1		V43		Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
104	1.0	27	27	0	0	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
105	1.0	27	27	1/4	1/4	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
106	1.0	27	27	1/2	1/2	4/4	4	1		V(64)		Db	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
107	1.0	27	27	3/4	3/4	4/4	4	1		V7		Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
108	1.0	28	28	0	0	4/4	4	1		I64		Db	V		I64	I		64					M	0	0	1, 0, 4		0	1
109	1.0	28	28	1/4	1/4	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
110	0.5	28	28	1/2	1/2	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
221/2	0.5	28	28	5/8	5/8	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
111	0.5	28	28	3/4	3/4	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
223/2	0.5	28	28	7/8	7/8	4/4	4	1		V43		Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
112	1.0	29	29	0	0	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
113	1.0	29	29	1/4	1/4	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
114	2.0	29	29	1/2	1/2	4/4	4	1		V43/IV		Db	V		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
116	1.0	30	30	0	0	4/4	4	1		IV6	I.I6	Db	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
117	1.0	30	30	1/4	1/4	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
118	1.0	30	30	1/2	1/2	4/4	4	1		V(64)		Db	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
119	1.0	30	30	3/4	3/4	4/4	4	1		V		Db	V		V	V							M	0	0	1, 5, 2		1	1
120	0.75	31	31	0	0	4/4	4	1		V2/ii		Db	V		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
483/4	0.25	31	31	3/16	3/16	4/4	4	1		V65/ii		Db	V		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
121	1.0	31	31	1/4	1/4	4/4	4	1		ii		Db	V		ii	ii							m	0	0	2, -1, 3		2	2
122	0.5	31	31	1/2	1/2	4/4	4	1		V/ii		Db	V		V/ii	V				ii			M	0	0	3, 7, 4		3	3
245/2	0.5	31	31	5/8	5/8	4/4	4	1		V65		Db	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
123	0.25	31	31	3/4	3/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
493/4	0.25	31	31	13/16	13/16	4/4	4	1		vi65		Db	V		vi65	vi		65					mm7	0	0	0, 4, 1, 3		3	0
247/2	0.5	31	31	7/8	7/8	4/4	4	1		V43		Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
124	2.0	32	32	0	0	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
126	1.0	32	32	1/2	1/2	4/4	4	1		V6		Db	V		V6	V		6					M	0	0	5, 2, 1		1	5
127	1.0	32	32	3/4	3/4	4/4	4	1		V7		Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
128	0.25	33	33	0	0	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
513/4	1.0	33	33	1/16	1/16	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
517/4	0.75	33	33	5/16	5/16	4/4	4	1		vi64		Db	V		vi64	vi		64					m	0	0	4, 3, 0		3	4
130	0.25	33	33	1/2	1/2	4/4	4	1		V/vi		Db	V		V/vi	V				vi			M	0	0	4, 8, 5		4	4
521/4	0.75	33	33	9/16	9/16	4/4	4	1		V2/VII		Db	V		V2/VII	V		2		VII			Mm7	0	0	4, 6, 10, 7		6	4
131	0.75	33	33	3/4	3/4	4/4	4	1		V2/vi		Db	V		V2/vi	V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2
527/4	0.25	33	33	15/16	15/16	4/4	4	1		V65/vi		Db	V		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
132	2.0	34	34	0	0	4/4	4	1		V7/ii		Db	V		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
134	1.5	34	34	1/2	1/2	4/4	4	1		V/V		Db	V		V/V	V				V			M	0	0	2, 6, 3		2	2
271/2	0.5	34	34	7/8	7/8	4/4	4	1		V2/V		Db	V		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
136	0.25	35	35	0	0	4/4	4	1		V6(6)		Db	V		V6(6)	V		6	6				M	0	0	5, 4, 1		1	5
545/4	1.75	35	35	1/16	1/16	4/4	4	1		V		Db	V		V	V							M	0	0	1, 5, 2		1	1
138	2.0	35	35	1/2	1/2	4/4	4	1		V7/V		Db	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
140	2.0	36	36	0	0	4/4	4	1		V7(b2)/V		Db	V		V7(b2)/V	V		7	b2	V			Mm7	0	0	-3, 6, 3, 0		2	-3
142	2.0	36	36	1/2	1/2	4/4	4	1		V7/V		Db	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
144	2.0	37	37	0	0	4/4	4	1		V7(b2)/V		Db	V		V7(b2)/V	V		7	b2	V			Mm7	0	0	-3, 6, 3, 0		2	-3
146	1.0	37	37	1/2	1/2	4/4	4	1		V7/V		Db	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
147	1.0	37	37	3/4	3/4	4/4	4	1		V43		Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
148	2.0	38	38	0	0	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
150	1.0	38	38	1/2	1/2	4/4	4	1		V65		Db	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
151	1.0	38	38	3/4	3/4	4/4	4	1		V43		Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
152	1.0	39	39	0	0	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
153	1.0	39	39	1/4	1/4	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
154	0.5	39	39	1/2	1/2	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
309/2	0.5	39	39	5/8	5/8	4/4	4	1		viio64		Db	V		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
155	0.5	39	39	3/4	3/4	4/4	4	1		vi		Db	V		vi	vi							m	0	0	3, 0, 4		3	3
311/2	0.5	39	39	7/8	7/8	4/4	4	1		V65		Db	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
156	1.0	40	40	0	0	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
157	1.0	40	40	1/4	1/4	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
158	0.5	40	40	1/2	1/2	4/4	4	1		ii		Db	V		ii	ii							m	0	0	2, -1, 3		2	2
317/2	0.5	40	40	5/8	5/8	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
159	1.0	40	40	3/4	3/4	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
160	1.0	41	41	0	0	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
161	1.0	41	41	1/4	1/4	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
162	0.5	41	41	1/2	1/2	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
325/2	0.5	41	41	5/8	5/8	4/4	4	1		viio64		Db	V		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
163	0.5	41	41	3/4	3/4	4/4	4	1		IV6		Db	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
327/2	0.5	41	41	7/8	7/8	4/4	4	1		V65		Db	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
164	0.5	42	42	0	0	4/4	4	1		V7/ii		Db	V		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
329/2	0.25	42	42	1/8	1/8	4/4	4	1		vii%7/V		Db	V		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
659/4	0.25	42	42	3/16	3/16	4/4	4	1		V6		Db	V		V6	V		6					M	0	0	5, 2, 1		1	5
165	0.5	42	42	1/4	1/4	4/4	4	1		iii		Db	V		iii	iii							m	0	0	4, 1, 5		4	4
331/2	0.5	42	42	3/8	3/8	4/4	4	1		I64		Db	V		I64	I		64					M	0	0	1, 0, 4		0	1
166	0.5	42	42	1/2	1/2	4/4	4	1		vi		Db	V		vi	vi							m	0	0	3, 0, 4		3	3
333/2	1.0	42	42	5/8	5/8	4/4	4	1		V65/V		Db	V		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
335/2	0.5	42	42	7/8	7/8	4/4	4	1		V		Db	V		V	V							M	0	0	1, 5, 2		1	1
168	0.5	43	43	0	0	4/4	4	1		V.ii7		Db	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
337/2	0.25	43	43	1/8	1/8	4/4	4	1		vii%7		Db	V		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
675/4	0.75	43	43	3/16	3/16	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
339/2	0.5	43	43	3/8	3/8	4/4	4	1		I64		Db	V		I64	I		64					M	0	0	1, 0, 4		0	1
170	0.5	43	43	1/2	1/2	4/4	4	1		ii65		Db	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
341/2	0.5	43	43	5/8	5/8	4/4	4	1		V		Db	V		V	V							M	0	0	1, 5, 2		1	1
171	0.5	43	43	3/4	3/4	4/4	4	1		i		Db	V		i	i							m	0	0	0, -3, 1		0	0
343/2	0.5	43	43	7/8	7/8	4/4	4	1		V6/V		Db	V		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
172	0.5	44	44	0	0	4/4	4	1		I.ii		Db	I		ii	ii							m	0	0	2, -1, 3		2	2
345/2	0.5	44	44	1/8	1/8	4/4	4	1		V6		Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
173	1.0	44	44	1/4	1/4	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
174	0.5	44	44	1/2	1/2	4/4	4	1		ii6		Db	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
