mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
13	12	1/8	1/8	3/4	1	1	V65/V		-1.54656	-4.86502	dcml	Bb	I		V65/V		V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
13	12	1/4	1/4	3/4	1	1	v		-0.208954	-4.87	dcml	Bb	I		v		v						m	0	0	1, -2, 2		1	1
13	12	3/8	3/8	3/4	1	1	V43/V		-0.835817	-4.87	dcml	Bb	I		V43/V		V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
13	12	1/2	1/2	3/4	1	1	v6		-0.292833	-4.87	dcml	Bb	I		v6		v		6				m	0	0	-2, 2, 1		1	-2
13	12	5/8	5/8	3/4	1	1	#viio7		-1.88059	-4.87	dcml	Bb	I		#viio7		#vii	o	7				o7	0	0	12, 9, 6, 3		12	12
14	13	1/8	1/8	3/4	1	1	I[I64				dcml	Bb	I	I	I64		I		64				M	0	0	1, 0, 4		0	1
14	13	1/4	1/4	3/4	1	1	#viio43				dcml	Bb	I	I	#viio43		#vii	o	43				o7	0	0	6, 3, 12, 9		12	6
14	13	3/8	3/8	3/4	1	1	I6]				dcml	Bb	I	I	I6		I		6				M	0	0	4, 1, 0		0	4
14	13	1/2	1/2	3/4	1	1	V43				dcml	Bb	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
14	13	5/8	5/8	3/4	1	1	V65/IV		-0.626863	-2.60448	dcml	Bb	I		V65/IV		V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
15	14	0	0	3/4	1	1	IV				dcml	Bb	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
15	14	1/8	1/8	3/4	1	1	IV6				dcml	Bb	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
15	14	1/4	1/4	3/4	1	1	viio2		-0.313431	-3.25812	dcml	Bb	I		viio2		vii	o	2				o7	0	0	-4, 5, 2, -1		5	-4
15	14	3/8	3/8	3/4	1	1	V\\		0.313431	-2.81343	dcml	Bb	I		V		V					\\	M	0	0	1, 5, 2		1	1
16	15	0	0	4/4	1	1	I				dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
17	16	0	0	4/4	1	1	V7		0.125076	-1.47435	dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
19	18	0	0	4/4	1	1	I6				dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
19	18	3/4	3/4	4/4	1	1	I				dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
20	19	0	0	4/4	1	1	I6				dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
20	19	1/4	1/4	4/4	1	1	I				dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
20	19	3/4	3/4	4/4	1	1	viio		0	-5.02509	dcml	Bb	I		viio		vii	o					o	0	0	5, 2, -1		5	5
20	19	7/8	7/8	4/4	1	1	I		0.918214	-5.15464	dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
21	20	0	0	3/4	1	1	V	V.I	0.229553	-5.02509	dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
22	21	0	0	3/4	1	1	V65				dcml	Bb	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
22	21	1/4	1/4	3/4	1	1	viio		-0.522386	-2.5	dcml	Bb	I		viio		vii	o					o	0	0	5, 2, -1		5	5
22	21	3/8	3/8	3/4	1	1	iv/IV				dcml	Bb	I		iv/IV		iv				IV		m	0	0	-2, -5, -1		-2	-2
22	21	1/2	1/2	3/4	1	1	IV6				dcml	Bb	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
22	21	5/8	5/8	3/4	1	1	iio6				dcml	Bb	I		iio6		ii	o	6				o	0	0	-1, -4, 2		2	-1
23	22	0	0	3/4	1	1	I6				dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
23	22	1/4	1/4	3/4	1	1	V43		-0.0892872	-2.41071	dcml	Bb	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
23	22	1/2	1/2	3/4	1	1	I[I		-0.178574	-2.67857	dcml	Bb	I	I	I		I						M	0	0	0, 4, 1		0	0
24	23	0	0	3/4	1	1	V65				dcml	Bb	I	I	V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
24	23	1/4	1/4	3/4	1	1	V2/IV		0	-4.82943	dcml	Bb	I	I	V2/IV		V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
24	23	1/2	1/2	3/4	1	1	IV6		-0.208954	-4.2976	dcml	Bb	I	I	IV6		IV		6				M	0	0	3, 0, -1		-1	3
24	23	5/8	5/8	3/4	1	1	viio		0.803585	-4.62865	dcml	Bb	I	I	viio		vii	o					o	0	0	5, 2, -1		5	5
25	24	1/8	1/8	3/4	1	1	I(64)		0	-3.11393	dcml	Bb	I	I	I(64)		I			64			M	0	0	0, -1, 3		0	0
25	24	1/4	1/4	3/4	1	1	I]		0	-2.93852	dcml	Bb	I	I	I		I						M	0	0	0, 4, 1		0	0
26	25	0	0	4/4	1	1	I				dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
26	25	1/4	1/4	4/4	1	1	vi				dcml	Bb	I		vi		vi						m	0	0	3, 0, 4		3	3
26	25	1/2	1/2	4/4	1	1	IV				dcml	Bb	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
26	25	3/4	3/4	4/4	1	1	ii7				dcml	Bb	I		ii7		ii		7				mm7	0	0	2, -1, 3, 0		2	2
27	26	0	0	4/4	1	1	V7				dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
29	28	0	0	4/4	1	1	I6		0.229553	-4.10687	dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
29	28	3/4	3/4	4/4	1	1	I		-0.197957	-2.36876	dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
29	28	13/16	13/16	4/4	1	1	I(64)		-1.61431	-2.41866	dcml	Bb	I		I(64)		I			64			M	0	0	0, -1, 3		0	0
29	28	7/8	7/8	4/4	1	1	I				dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
29	28	15/16	15/16	4/4	1	1	viio		0	-3.25816	dcml	Bb	I		viio		vii	o					o	0	0	5, 2, -1		5	5
30	29	0	0	4/4	1	1	I64		0.0892872	-2.85715	dcml	Bb	I		I64		I		64				M	0	0	1, 0, 4		0	1
30	29	1/16	1/16	4/4	1	1	V7				dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
30	29	1/8	1/8	4/4	1	1	vi				dcml	Bb	I		vi		vi						m	0	0	3, 0, 4		3	3
30	29	3/16	3/16	4/4	1	1	viio				dcml	Bb	I		viio		vii	o					o	0	0	5, 2, -1		5	5
30	29	1/4	1/4	4/4	1	1	I		0.892872	-2.58929	dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
30	29	5/16	5/16	4/4	1	1	viio				dcml	Bb	I		viio		vii	o					o	0	0	5, 2, -1		5	5
30	29	1/2	1/2	4/4	1	1	V2		-1.16073	-2.58929	dcml	Bb	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
30	29	9/16	9/16	4/4	1	1	I6				dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
30	29	5/8	5/8	4/4	1	1	viio6		-1.3582	-2.5	dcml	Bb	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
30	29	11/16	11/16	4/4	1	1	I				dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
30	29	3/4	3/4	4/4	1	1	viio				dcml	Bb	I		viio		vii	o					o	0	0	5, 2, -1		5	5
30	29	7/8	7/8	4/4	1	1	I				dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
31	30	1/4	1/4	4/4	1	1	V7/IV		-0.0892872	-3.06153	dcml	Bb	I		V7/IV		V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
32	31	0	0	4/4	1	1	IV[IV6		-0.519592	-4.26355	dcml	Bb	I	IV	IV6		IV		6				M	0	0	3, 0, -1		-1	3
32	31	1/4	1/4	4/4	1	1	vi43				dcml	Bb	I	IV	vi43		vi		43				mm7	0	0	4, 1, 3, 0		3	4
32	31	1/2	1/2	4/4	1	1	V65/IV				dcml	Bb	I	IV	V65/IV		V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
32	31	3/4	3/4	4/4	1	1	V64/IV]				dcml	Bb	I	IV	V64/IV		V		64		IV		M	0	0	1, 0, 4		0	1
33	32	0	0	4/4	1	1	V2/IV				dcml	Bb	I		V2/IV		V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
34	33	0	0	4/4	1	1	V43/IV		0	-4.14528	dcml	Bb	I		V43/IV		V		43		IV		Mm7	0	0	1, -2, 0, 4		0	1
35	34	0	0	4/4	1	1	V(64)				dcml	Bb	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
35	34	3/4	3/4	4/4	1	1	#viio43/ii				dcml	Bb	I		#viio43/ii		#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
36	35	1/2	1/2	4/4	1	1	ii6		0	-4.10687	dcml	Bb	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
36	35	7/8	7/8	4/4	1	1	ii		0	-5.13942	dcml	Bb	I		ii		ii						m	0	0	2, -1, 3		2	2
37	36	0	0	4/4	1	1	I6		0.229553	-5.9433	dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
37	36	1/4	1/4	4/4	1	1	V43		-0.109976	-6.45913	dcml	Bb	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
37	36	3/8	3/8	4/4	1	1	I		-0.229553	-6.67037	dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
37	36	1/2	1/2	4/4	1	1	V(b64)				dcml	Bb	I		V(b64)		V			b64			M	0	0	1, 0, -3		1	1
37	36	5/8	5/8	4/4	1	1	V(64)				dcml	Bb	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
37	36	3/4	3/4	4/4	1	1	V7				dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
38	37	0	0	4/4	1	1	I\\		0.349131	-4.60439	dcml	Bb	I		I		I					\\	M	0	0	0, 4, 1		0	0
38	37	1/8	1/8	4/4	1	1	V+6		0	-5.16035	dcml	Bb	I		V+6		V	+	6				+	0	0	5, 9, 1		1	5
38	37	1/4	1/4	4/4	1	1	I		0.109976	-4.65239	dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
38	37	3/8	3/8	4/4	1	1	viio6		0.109976	-4.58519	dcml	Bb	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
38	37	1/2	1/2	4/4	1	1	I6		0	-4.56598	dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
38	37	5/8	5/8	4/4	1	1	V64/IV		0	-3.87732	dcml	Bb	I		V64/IV		V		64		IV		M	0	0	1, 0, 4		0	1
38	37	3/4	3/4	4/4	1	1	IV		0.68866	-3.84777	dcml	Bb	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
38	37	7/8	7/8	4/4	1	1	V64/IV		0.109976	-3.15986	dcml	Bb	I		V64/IV		V		64		IV		M	0	0	1, 0, 4		0	1
39	38	0	0	4/4	1	1	IV6		-0.109976	-3.15986	dcml	Bb	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
39	38	1/8	1/8	4/4	1	1	#viio(+4)/ii		-1.31971	-2.39002	dcml	Bb	I		#viio(+4)/ii		#vii	o		+4	ii		o	0	0	7, 4, 1	-1	7	7
39	38	1/4	1/4	4/4	1	1	ii6				dcml	Bb	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
39	38	3/8	3/8	4/4	1	1	#viio/V				dcml	Bb	I		#viio/V		#vii	o			V		o	0	0	13, 10, 7		13	13
39	38	1/2	1/2	4/4	1	1	V				dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
39	38	5/8	5/8	4/4	1	1	#viio6/V		-0.229553	-3.41821	dcml	Bb	I		#viio6/V		#vii	o	6		V		o	0	0	10, 7, 13		13	10
39	38	3/4	3/4	4/4	1	1	V6		0.368334	-3.31784	dcml	Bb	I		V6		V		6				M	0	0	5, 2, 1		1	5
39	38	7/8	7/8	4/4	1	1	V7				dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
40	39	0	0	4/4	1	1	I\\				dcml	Bb	I		I		I					\\	M	0	0	0, 4, 1		0	0
40	39	1/8	1/8	4/4	1	1	V+6		-0.109976	-5.08608	dcml	Bb	I		V+6		V	+	6				+	0	0	5, 9, 1		1	5
40	39	1/4	1/4	4/4	1	1	I		0.109976	-4.71437	dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
40	39	3/8	3/8	4/4	1	1	viio6				dcml	Bb	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
40	39	1/2	1/2	4/4	1	1	I6				dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
40	39	5/8	5/8	4/4	1	1	V65/IV		-0.879807	-3.12669	dcml	Bb	I		V65/IV		V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
40	39	3/4	3/4	4/4	1	1	IV		0.067207	-3.26548	dcml	Bb	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
40	39	7/8	7/8	4/4	1	1	V64/IV		0	-3.23134	dcml	Bb	I		V64/IV		V		64		IV		M	0	0	1, 0, 4		0	1
41	40	0	0	4/4	1	1	IV6		0	-3.33582	dcml	Bb	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
41	40	1/8	1/8	4/4	1	1	#viio6/ii				dcml	Bb	I		#viio6/ii		#vii	o	6		ii		o	0	0	4, 1, 7		7	4
41	40	1/4	1/4	4/4	1	1	ii6				dcml	Bb	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
41	40	3/8	3/8	4/4	1	1	#viio/V				dcml	Bb	I		#viio/V		#vii	o			V		o	0	0	13, 10, 7		13	13
41	40	1/2	1/2	4/4	1	1	V				dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
41	40	5/8	5/8	4/4	1	1	#viio6/V		-1.31971	-2.96732	dcml	Bb	I		#viio6/V		#vii	o	6		V		o	0	0	10, 7, 13		13	10
41	40	3/4	3/4	4/4	1	1	V65				dcml	Bb	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
42	41	0	0	4/4	1	1	I\\		0	-3.64777	dcml	Bb	I		I		I					\\	M	0	0	0, 4, 1		0	0
42	41	1/4	1/4	4/4	1	1	I				dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
42	41	1/2	1/2	4/4	1	1	V6		-0.00960114	-4.49165	dcml	Bb	I		V6		V		6				M	0	0	5, 2, 1		1	5
43	42	0	0	4/4	1	1	I		0	-4.10687	dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
43	42	1/2	1/2	4/4	1	1	V6		0	-4.7116	dcml	Bb	I		V6		V		6				M	0	0	5, 2, 1		1	5
44	43	0	0	4/4	1	1	I		0.229553	-4.79553	dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
44	43	5/8	5/8	4/4	1	1	vi6		0.229553	-3.87732	dcml	Bb	I		vi6		vi		6				m	0	0	0, 4, 3		3	0
45	44	0	0	4/4	1	1	vi		0	-3.64777	dcml	Bb	I		vi		vi						m	0	0	3, 0, 4		3	3
45	44	1/8	1/8	4/4	1	1	viio6/V		0	-3.55699	dcml	Bb	I		viio6/V		vii	o	6		V		o	0	0	3, 0, 6		6	3
45	44	1/2	1/2	4/4	1	1	V7/V		0.109976	-3.67657	dcml	Bb	I		V7/V		V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
46	45	0	0	4/4	1	1	V		0.229553	-5.02509	dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
46	45	1/2	1/2	4/4	1	1	V7		0	-4.10687	dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
47	46	1/8	1/8	4/4	1	1	I6		0	-1.73017	dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
47	46	7/8	7/8	4/4	1	1	V/V				dcml	Bb	I		V/V		V				V		M	0	0	2, 6, 3		2	2
48	47	0	0	4/4	1	1	V		0.229553	-4.79553	dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
48	47	1/2	1/2	4/4	1	1	V7		-0.109976	-5.30265	dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
49	48	1/8	1/8	4/4	1	1	I6				dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
50	49	0	0	4/4	1	1	V		0.229553	-4.79553	dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
51	50	0	0	4/4	1	1	V65/V		0	-4.33643	dcml	Bb	I		V65/V		V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
52	51	0	0	4/4	1	1	V				dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
52	51	1/4	1/4	4/4	1	1	@none				dcml	Bb	I		@none		@none						m	0	0				
54	53	0	0	4/4	1	1	.bVI.V		0	-1.6586	dcml	Bb	bVI		V		V						M	0	0	1, 5, 2		1	1
55	54	0	0	4/4	1	1	iii		0	-1.95012	dcml	Bb	bVI		iii		iii						m	0	0	4, 1, 5		4	4
56	55	0	0	4/4	1	1	I[I		-0.219952	-1.58703	dcml	Bb	bVI	I	I		I						M	0	0	0, 4, 1		0	0
56	55	1/2	1/2	4/4	1	1	#viio7/V		-1.64964	-1.62543	dcml	Bb	bVI	I	#viio7/V		#vii	o	7		V		o7	0	0	13, 10, 7, 4		13	13
57	56	0	0	4/4	1	1	V		0.0384065	-1.57742	dcml	Bb	bVI	I	V		V						M	0	0	1, 5, 2		1	1
57	56	1/2	1/2	4/4	1	1	V64		0.109976	-1.62019	dcml	Bb	bVI	I	V64		V		64				M	0	0	2, 1, 5		1	2
58	57	0	0	4/4	1	1	I6]		-0.109976	-1.51022	dcml	Bb	bVI	I	I6		I		6				M	0	0	4, 1, 0		0	4
58	57	5/8	5/8	4/4	1	1	V		0	-1.73017	dcml	Bb	bVI		V		V						M	0	0	1, 5, 2		1	1
59	58	0	0	4/4	1	1	iii		0	-1.73017	dcml	Bb	bVI		iii		iii						m	0	0	4, 1, 5		4	4
60	59	0	0	4/4	1	1	I[I				dcml	Bb	bVI	I	I		I						M	0	0	0, 4, 1		0	0
60	59	1/2	1/2	4/4	1	1	#viio7/V		-2.30949	-2.5	dcml	Bb	bVI	I	#viio7/V		#vii	o	7		V		o7	0	0	13, 10, 7, 4		13	13
61	60	0	0	4/4	1	1	#viio7(4)/V		-0.109976	-3.59739	dcml	Bb	bVI	I	#viio7(4)/V		#vii	o	7	4	V		o7	0	0	13, 5, 7, 4		13	13
61	60	1/4	1/4	4/4	1	1	#viio7/V		-0.210351	-3.41238	dcml	Bb	bVI	I	#viio7/V		#vii	o	7		V		o7	0	0	13, 10, 7, 4		13	13
61	60	1/2	1/2	4/4	1	1	I6]		0.219952	-3.90674	dcml	Bb	bVI	I	I6		I		6				M	0	0	4, 1, 0		0	4
61	60	3/4	3/4	4/4	1	1	V7/V				dcml	Bb	bVI		V7/V		V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
62	61	0	0	4/4	1	1	#viio65		-1.53966	-2.5	dcml	Bb	bVI		#viio65		#vii	o	65				o7	0	0	9, 6, 3, 12		12	9
62	61	1/2	1/2	4/4	1	1	I6				dcml	Bb	bVI		I6		I		6				M	0	0	4, 1, 0		0	4
63	62	0	0	4/4	1	1	ii65				dcml	Bb	bVI		ii65		ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
63	62	1/2	1/2	4/4	1	1	V65/V				dcml	Bb	bVI		V65/V		V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
64	63	0	0	4/4	1	1	V7				dcml	Bb	bVI		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
65	64	0	0	4/4	1	1	I64				dcml	Bb	bVI		I64		I		64				M	0	0	1, 0, 4		0	1
65	64	3/4	3/4	4/4	1	1	I				dcml	Bb	bVI		I		I						M	0	0	0, 4, 1		0	0
66	65	0	0	4/4	1	1	V7				dcml	Bb	bVI		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
66	65	7/8	7/8	4/4	1	1	vi7				dcml	Bb	bVI		vi7		vi		7				mm7	0	0	3, 0, 4, 1		3	3
66	65	15/16	15/16	4/4	1	1	V6				dcml	Bb	bVI		V6		V		6				M	0	0	5, 2, 1		1	5
67	66	0	0	4/4	1	1	I				dcml	Bb	bVI		I		I						M	0	0	0, 4, 1		0	0
68	67	0	0	4/4	1	1	V				dcml	Bb	bVI		V		V						M	0	0	1, 5, 2		1	1
68	67	1/2	1/2	4/4	1	1	V7/vi				dcml	Bb	bVI		V7/vi		V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
69	68	0	0	4/4	1	1	vi				dcml	Bb	bVI		vi		vi						m	0	0	3, 0, 4		3	3
69	68	1/2	1/2	4/4	1	1	V7/V				dcml	Bb	bVI		V7/V		V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
70	69	0	0	4/4	1	1	V7				dcml	Bb	bVI		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
70	69	1/2	1/2	4/4	1	1	vi				dcml	Bb	bVI		vi		vi						m	0	0	3, 0, 4		3	3
71	70	0	0	4/4	1	1	ii6				dcml	Bb	bVI		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
71	70	5/16	5/16	4/4	1	1	V7/V				dcml	Bb	bVI		V7/V		V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
71	70	1/2	1/2	4/4	1	1	V7				dcml	Bb	bVI		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
