mc	mn	onset	label	volta
104	104	1/4	I	
106	106	0	V43	
106	106	1/4	V65	
107	107	7/32	V7	
108	108	0	I(42)	1
108	108	1/4	I\\	1
109	109	0	.bVI.I	2
111	111	1/16	I	
111	111	7/16	I6	
112	112	0	V7	
113	113	0	I	
113	113	3/8	I6	
114	114	0	V	
114	114	1/4	v	
115	115	0	V7/ii	
115	115	1/4	ii	
116	116	0	V7	
116	116	1/4	I	
117	117	0	I	
117	117	1/4	I.Ger6	
118	118	0	V\\	
119	119	0	I6	
119	119	3/8	I	
120	120	0	V65	
120	120	1/4	V7	
121	121	0	I6	
121	121	3/8	I	
122	122	0	V6	
122	122	1/4	V	
123	123	0	I64	
123	123	1/4	I	
123	123	3/8	I6	
124	124	0	V7	
125	125	0	I64	
125	125	1/4	I	
125	125	3/8	I6	
126	126	0	V	
126	126	1/4	v	
127	127	0	V65/ii	
127	127	1/4	ii	
128	128	0	V65	
128	128	1/4	I	
129	129	0	IV	
130	130	0	V7/IV	
131	131	0	IV	
132	132	0	I	
132	132	1/4	i6	
133	133	0	V7/V	
133	133	1/4	v	
134	134	0	V7/IV	
134	134	1/4	IV	
135	135	0	V7/ii	
135	135	1/4	ii64	
136	136	0	V7	
136	136	1/4	I64	
137	137	0	V9	
137	137	1/4	ii	
138	138	0	V7	
138	138	1/4	I64	
139	139	0	V7	
141	141	1/4	.bVI	
142	142	0	V65/V	
142	142	1/4	V7	
143	143	0	I\\	
145	145	0	V	
145	145	1/4	V6/V	
145	145	3/8	V2	
146	146	0	I6	
146	146	1/8	V64	
146	146	1/4	I	
147	147	0	I6	
147	147	1/4	I	
148	148	0	V65	
148	148	1/4	V7	
149	149	0	V7(6)	
149	149	1/4	V	
150	150	0	V7	
151	151	0	I\\	
