quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
94	2.0	36	34	1/4	1/4	3/4	4	1		1	i	dcml	e	i		i	i							m	1	1	0, -3, 1		0	0
96	1.0	37	35	0	0	3/4	4	1		1	V(4)	dcml	e	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
97	2.0	37	35	1/4	1/4	3/4	4	1		1	V7	dcml	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
99	3.0	38	36	0	0	3/4	4	1		1	i	dcml	e	i		i	i							m	1	1	0, -3, 1		0	0
102	6.0	39	37	0	0	3/4	4	1		1	V6	dcml	e	i		V6	V		6					M	1	1	5, 2, 1		1	5
108	1.0	41	39	0	0	3/4	4	1		1	i(+4)	dcml	e	i		i(+4)	i			+4				m	1	1	0, -3, 1	-1	0	0
109	1.5	41	39	1/4	1/4	3/4	4	1		1	i(+2)	dcml	e	i		i(+2)	i			+2				m	1	1	0, -3, 1	2	0	0
221/2	0.5	41	39	5/8	5/8	3/4	4	1		1	i	dcml	e	i		i	i							m	1	1	0, -3, 1		0	0
111	1.0	42	40	0	0	3/4	4	1		1	iv7	dcml	e	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
112	2.0	42	40	1/4	1/4	3/4	4	1		1	iv	dcml	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
114	2.5	43	41	0	0	3/4	4	1		1	V(#76)	dcml	e	i		V(#76)	V			#76				M	1	1	1, 5, -3	6	1	1
233/2	0.5	43	41	5/8	5/8	3/4	4	1		1	V(64)	dcml	e	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
117	1.0	44	42	0	0	3/4	4	1		1	V7(4)	dcml	e	i		V7(4)	V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
118	1.5	44	42	1/4	1/4	3/4	4	1		1	V7(+#2)	dcml	e	i		V7(+#2)	V		7	+#2				Mm7	1	1	1, 5, 2, -1	3	1	1
239/2	0.5	44	42	5/8	5/8	3/4	4	1		1	V7	dcml	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
120	1.0	45	43	0	0	3/4	4	1		1	i\\	dcml	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
121	1.0	45	43	1/4	1/4	3/4	4	1		1	i[i6	dcml	e	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
122	3.0	45	43	1/2	1/2	3/4	4	1		1	viio64	dcml	e	i	i	viio64	vii	o	64					o	1	1	-8, -2, -5		-2	-8
125	3.0	46	44	1/2	1/2	3/4	4	1		1	i6	dcml	e	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
128	3.0	47	45	1/2	1/2	3/4	4	1		1	viio64	dcml	e	i	i	viio64	vii	o	64					o	1	1	-8, -2, -5		-2	-8
131	1.0	48	46	1/2	1/2	3/4	4	1		1	i6	dcml	e	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
132	2.0	49	47	0	0	3/4	4	1		1	viio64	dcml	e	i	i	viio64	vii	o	64					o	1	1	-8, -2, -5		-2	-8
134	2.0	49	47	1/2	1/2	3/4	4	1		1	i6]	dcml	e	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
136	4.0	50	48	1/4	1/4	3/4	4	1		1	V7	dcml	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
140	1.0	51	49	1/2	1/2	3/4	4	1		1	i	dcml	e	i		i	i							m	1	1	0, -3, 1		0	0
		52	50	0	0	3/4	4	1	1	1	i\\	dcml	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
		53	51	0	0	3/4	4	1	1	1	V	dcml	e	i		V	V							M	1	1	1, 5, 2		1	1
		54	52	0	0	3/4	4	1	1	1	i\\	dcml	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
		55	53	0	0	3/4	4	1	1	1	vii%7/III	dcml	e	i		vii%7/III	vii	%	7		III			%7	1	1	2, -1, -4, 0		2	2
		55	53	1/4	1/4	3/4	4	1	1	1	viio7/III	dcml	e	i		viio7/III	vii	o	7		III			o7	1	1	2, -1, -4, -7		2	2
		56	49	0	0	3/4	4	1	1	1	i\\	dcml	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
		57	50	0	0	3/4	4	1	1	1	V	dcml	e	i		V	V							M	1	1	1, 5, 2		1	1
		58	51	0	0	3/4	4	1	1	1	i\\	dcml	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
141	1.0	59	51	0	1/4	3/4	4	1		1	I.I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
142	1.0	59	51	1/4	1/2	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
143	1.0	60	52	0	0	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
144	3.0	60	52	1/4	1/4	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
147	1.0	61	53	1/4	1/4	3/4	4	1		1	V2	dcml	e	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
148	1.0	61	53	1/2	1/2	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
149	1.0	62	54	0	0	3/4	4	1		1	V43	dcml	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
150	1.0	62	54	1/4	1/4	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
151	1.0	62	54	1/2	1/2	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
152	3.0	63	55	0	0	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
155	3.0	64	56	0	0	3/4	4	1		1	V43	dcml	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
158	1.0	65	57	0	0	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
159	1.0	65	57	1/4	1/4	3/4	4	1		1	V6	dcml	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
160	1.0	65	57	1/2	1/2	3/4	4	1		1	V65/V	dcml	e	I		V65/V	V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
161	1.0	66	58	0	0	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
162	2.0	66	58	1/4	1/4	3/4	4	1		1	V43	dcml	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
164	1.0	67	59	0	0	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
165	1.0	67	59	1/4	1/4	3/4	4	1		1	V43/V	dcml	e	I		V43/V	V		43		V			Mm7	1	0	3, 0, 2, 6		2	3
166	1.0	67	59	1/2	1/2	3/4	4	1		1	V6	dcml	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
167	1.0	68	60	0	0	3/4	4	1		1	V2/V	dcml	e	I		V2/V	V		2		V			Mm7	1	0	0, 2, 6, 3		2	0
168	1.0	68	60	1/4	1/4	3/4	4	1		1	V6	dcml	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
169	1.0	68	60	1/2	1/2	3/4	4	1		1	V6/V	dcml	e	I		V6/V	V		6		V			M	1	0	6, 3, 2		2	6
170	1.0	69	61	0	0	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
171	2.0	69	61	1/4	1/4	3/4	4	1		1	V64	dcml	e	I		V64	V		64					M	1	0	2, 1, 5		1	2
173	1.0	70	62	0	0	3/4	4	1		1	V65/ii	dcml	e	I		V65/ii	V		65		ii			Mm7	1	0	7, 4, 1, 3		3	7
174	1.0	70	62	1/4	1/4	3/4	4	1		1	ii	dcml	e	I		ii	ii							m	1	0	2, -1, 3		2	2
175	1.0	70	62	1/2	1/2	3/4	4	1		1	IV64	dcml	e	I		IV64	IV		64					M	1	0	0, -1, 3		-1	0
176	1.0	71	63	0	0	3/4	4	1		1	V65	dcml	e	I		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
177	1.0	71	63	1/4	1/4	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
178	1.0	71	63	1/2	1/2	3/4	4	1		1	V7	dcml	e	I		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
179	1.0	72	64	0	0	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
180	3.0	72	64	1/4	1/4	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
183	1.0	73	65	1/4	1/4	3/4	4	1		1	V2	dcml	e	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
184	1.0	73	65	1/2	1/2	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
185	1.0	74	66	0	0	3/4	4	1		1	V43	dcml	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
186	1.0	74	66	1/4	1/4	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
187	1.0	74	66	1/2	1/2	3/4	4	1		1	V64	dcml	e	I		V64	V		64					M	1	0	2, 1, 5		1	2
188	2.0	75	67	0	0	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
190	1.0	75	67	1/2	1/2	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
191	2.0	76	68	0	0	3/4	4	1		1	V43	dcml	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
193	0.3333333333333428	76	68	1/2	1/2	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
580/3	0.6666666666666572	76	68	7/12	7/12	3/4	4	1		1	V43	dcml	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
194	1.0	77	69	0	0	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
195	1.0	77	69	1/4	1/4	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
196	1.0	77	69	1/2	1/2	3/4	4	1		1	V2/V	dcml	e	I		V2/V	V		2		V			Mm7	1	0	0, 2, 6, 3		2	0
197	1.0	78	70	0	0	3/4	4	1		1	V6	dcml	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
198	1.0	78	70	1/4	1/4	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
199	2.0	78	70	1/2	1/2	3/4	4	1		1	V64	dcml	e	I		V64	V		64					M	1	0	2, 1, 5		1	2
201	1.0	79	71	1/4	1/4	3/4	4	1		1	V7/V	dcml	e	I		V7/V	V		7		V			Mm7	1	0	2, 6, 3, 0		2	2
202	1.0	79	71	1/2	1/2	3/4	4	1		1	V64	dcml	e	I		V64	V		64					M	1	0	2, 1, 5		1	2
203	1.0	80	72	0	0	3/4	4	1		1	V7/V	dcml	e	I		V7/V	V		7		V			Mm7	1	0	2, 6, 3, 0		2	2
204	1.0	80	72	1/4	1/4	3/4	4	1		1	V64	dcml	e	I		V64	V		64					M	1	0	2, 1, 5		1	2
205	1.0	80	72	1/2	1/2	3/4	4	1		1	V2/V	dcml	e	I		V2/V	V		2		V			Mm7	1	0	0, 2, 6, 3		2	0
206	1.0	81	73	0	0	3/4	4	1		1	V6	dcml	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
207	2.0	81	73	1/4	1/4	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
209	1.0	82	74	0	0	3/4	4	1		1	V7(+2)	dcml	e	I		V7(+2)	V		7	+2				Mm7	1	0	1, 5, 2, -1	3	1	1
210	1.0	82	74	1/4	1/4	3/4	4	1		1	ii6	dcml	e	I		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
211	0.5	82	74	1/2	1/2	3/4	4	1		1	IV(4)	dcml	e	I		IV(4)	IV			4				M	1	0	-1, 5, 0		-1	-1
423/2	0.5	82	74	5/8	5/8	3/4	4	1		1	IV	dcml	e	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
212	1.0	83	75	0	0	3/4	4	1		1	V2	dcml	e	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
213	1.0	83	75	1/4	1/4	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
214	0.5	83	75	1/2	1/2	3/4	4	1		1	I(6)	dcml	e	I		I(6)	I			6				M	1	0	0, 4, 3		0	0
429/2	0.5	83	75	5/8	5/8	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
215	1.0	84	76	0	0	3/4	4	1		1	IV6(+#7)	dcml	e	I		IV6(+#7)	IV		6	+#7				M	1	0	3, 0, -1	11	-1	3
216	1.0	84	76	1/4	1/4	3/4	4	1		1	viio	dcml	e	I		viio	vii	o						o	1	0	5, 2, -1		5	5
217	0.5	84	76	1/2	1/2	3/4	4	1		1	viio(6)	dcml	e	I		viio(6)	vii	o		6				o	1	0	5, 2, 1		5	5
435/2	0.5	84	76	5/8	5/8	3/4	4	1		1	viio2	dcml	e	I		viio2	vii	o	2					o7	1	0	-4, 5, 2, -1		5	-4
218	1.0	85	77	0	0	3/4	4	1		1	V65/vi	dcml	e	I		V65/vi	V		65		vi			Mm7	1	0	8, 5, 2, 4		4	8
219	1.0	85	77	1/4	1/4	3/4	4	1		1	vi	dcml	e	I		vi	vi							m	1	0	3, 0, 4		3	3
220	0.5	85	77	1/2	1/2	3/4	4	1		1	vi2(6)	dcml	e	I		vi2(6)	vi		2	6				mm7	1	0	1, 3, 0, -1		3	1
441/2	0.5	85	77	5/8	5/8	3/4	4	1		1	vi2	dcml	e	I		vi2	vi		2					mm7	1	0	1, 3, 0, 4		3	1
221	1.0	86	78	0	0	3/4	4	1		1	ii65	dcml	e	I		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
222	1.0	86	78	1/4	1/4	3/4	4	1		1	ii7	dcml	e	I		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
223	1.0	86	78	1/2	1/2	3/4	4	1		1	V7	dcml	e	I		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
224	2.0	87	79	0	0	3/4	4	1		1	I\\	dcml	e	I		I	I						\\	M	1	0	0, 4, 1		0	0
226	1.0	87	79	1/2	1/2	3/4	4	1		1	V7	dcml	e	I		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
227	1.0	88	80	0	0	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
228	2.0	88	80	1/4	1/4	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
230	1.0	89	81	0	0	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
231	1.0	89	81	1/4	1/4	3/4	4	1		1	V7	dcml	e	I		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
232	1.0	89	81	1/2	1/2	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
233	1.0	90	82	0	0	3/4	4	1		1	V2	dcml	e	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
234	1.0	90	82	1/4	1/4	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
235	1.0	90	82	1/2	1/2	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
236	3.0	91	83	0	0	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
239	3.0	92	84	0	0	3/4	4	1		1	V43	dcml	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
242	2.0	93	85	0	0	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
244	1.0	93	85	1/2	1/2	3/4	4	1		1	V6	dcml	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
245	4.0	94	86	0	0	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
249	1.0	95	87	1/4	1/4	3/4	4	1		1	V65/V	dcml	e	I		V65/V	V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
250	1.0	95	87	1/2	1/2	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
251	1.0	96	88	0	0	3/4	4	1		1	V43/V	dcml	e	I		V43/V	V		43		V			Mm7	1	0	3, 0, 2, 6		2	3
252	1.0	96	88	1/4	1/4	3/4	4	1		1	V6	dcml	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
253	1.0	96	88	1/2	1/2	3/4	4	1		1	V43/V	dcml	e	I		V43/V	V		43		V			Mm7	1	0	3, 0, 2, 6		2	3
254	2.0	97	89	0	0	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
256	1.0	97	89	1/2	1/2	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
257	1.0	98	90	0	0	3/4	4	1		1	V65/ii	dcml	e	I		V65/ii	V		65		ii			Mm7	1	0	7, 4, 1, 3		3	7
258	1.0	98	90	1/4	1/4	3/4	4	1		1	ii	dcml	e	I		ii	ii							m	1	0	2, -1, 3		2	2
259	1.0	98	90	1/2	1/2	3/4	4	1		1	IV64	dcml	e	I		IV64	IV		64					M	1	0	0, -1, 3		-1	0
260	0.5	99	91	0	0	3/4	4	1		1	V6	dcml	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
521/2	0.5	99	91	1/8	1/8	3/4	4	1		1	V2	dcml	e	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
261	1.0	99	91	1/4	1/4	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
262	0.5	99	91	1/2	1/2	3/4	4	1		1	V(64)	dcml	e	I		V(64)	V			64				M	1	0	1, 0, 4		1	1
525/2	0.5	99	91	5/8	5/8	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
263	1.0	100	92	0	0	3/4	4	1		1	I\\	dcml	e	I		I	I						\\	M	1	0	0, 4, 1		0	0
264	2.5	100	92	1/4	1/4	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
533/2	0.5	101	93	1/8	1/8	3/4	4	1		1	#viio43/ii	dcml	e	I		#viio43/ii	#vii	o	43		ii			o7	1	0	1, -2, 7, 4		7	1
267	1.0	101	93	1/4	1/4	3/4	4	1		1	ii6	dcml	e	I		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
268	1.0	101	93	1/2	1/2	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
269	1.0	102	94	0	0	3/4	4	1		1	ii	dcml	e	I		ii	ii							m	1	0	2, -1, 3		2	2
270	1.0	102	94	1/4	1/4	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
271	1.0	102	94	1/2	1/2	3/4	4	1		1	ii	dcml	e	I		ii	ii							m	1	0	2, -1, 3		2	2
272	3.0	103	95	0	0	3/4	4	1		1	I6	dcml	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
275	3.0	104	96	0	0	3/4	4	1		1	V43	dcml	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
278	1.0	105	97	0	0	3/4	4	1		1	I	dcml	e	I		I	I							M	1	0	0, 4, 1		0	0
279	1.0	105	97	1/4	1/4	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
280	1.0	105	97	1/2	1/2	3/4	4	1		1	viio43/V	dcml	e	I		viio43/V	vii	o	43		V			o7	1	0	0, -3, 6, 3		6	0
281	1.0	106	98	0	0	3/4	4	1		1	V6	dcml	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
282	1.0	106	98	1/4	1/4	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
283	1.0	106	98	1/2	1/2	3/4	4	1		1	V6	dcml	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
284	1.0	107	99	0	0	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
285	1.0	107	99	1/4	1/4	3/4	4	1		1	V7/V	dcml	e	I		V7/V	V		7		V			Mm7	1	0	2, 6, 3, 0		2	2
286	1.0	107	99	1/2	1/2	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
287	1.0	108	100	0	0	3/4	4	1		1	V43/V	dcml	e	I		V43/V	V		43		V			Mm7	1	0	3, 0, 2, 6		2	3
288	1.0	108	100	1/4	1/4	3/4	4	1		1	V6(4)	dcml	e	I		V6(4)	V		6	4				M	1	0	0, 2, 1		1	0
289	1.0	108	100	1/2	1/2	3/4	4	1		1	vii%7	dcml	e	I		vii%7	vii	%	7					%7	1	0	5, 2, -1, 3		5	5
290	2.0	109	101	0	0	3/4	4	1		1	V	dcml	e	I		V	V							M	1	0	1, 5, 2		1	1
292	1.0	109	101	1/2	1/2	3/4	4	1		1	V6	dcml	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
293	1.0	110	102	0	0	3/4	4	1		1	V65/ii	dcml	e	I		V65/ii	V		65		ii			Mm7	1	0	7, 4, 1, 3		3	7
294	1.0	110	102	1/4	1/4	3/4	4	1		1	ii	dcml	e	I		ii	ii							m	1	0	2, -1, 3		2	2
295	0.5	110	102	1/2	1/2	3/4	4	1		1	viio6	dcml	e	I		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
591/2	0.5	110	102	5/8	5/8	3/4	4	1		1	IV64(+#7)	dcml	e	I		IV64(+#7)	IV		64	+#7				M	1	0	0, -1, 3	11	-1	0
