mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
20	20	65	4.0	0	0	2/2	4	1		VI.I	c	VI		I		I								M	1	0	0, 4, 1		0	0
21	21	69	4.0	0	0	2/2	4	1		V43	c	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
22	22	73	2.0	0	0	2/2	4	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
22	22	75	2.0	1/2	1/2	2/2	4	1		#viio6/V	c	VI		#viio6/V		#vii	o	6		V				o	1	0	3, 0, 6		6	3
23	23	77	2.0	0	0	2/2	4	1		V(4)	c	VI		V(4)		V			4					M	1	0	1, 0, 2		1	1
23	23	79	2.0	1/2	1/2	2/2	4	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
24	24	81	2.0	0	0	2/2	4	1		#viio43/ii	c	VI		#viio43/ii		#vii	o	43		ii				o7	1	0	1, -2, 7, 4		7	1
24	24	83	2.0	1/2	1/2	2/2	4	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
25	25	85	2.0	0	0	2/2	4	1		viio43	c	VI		viio43		vii	o	43						o7	1	0	-1, -4, 5, 2		5	-1
25	25	87	2.0	1/2	1/2	2/2	4	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
26	26	89	1.0	0	0	2/2	4	1		ii6(94)	c	VI		ii6(94)		ii		6	94					m	1	0	1, 3, 2	4	2	1
26	26	90	1.0	1/4	1/4	2/2	4	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
26	26	91	1.0	1/2	1/2	2/2	4	1		V(64)	c	VI		V(64)		V			64					M	1	0	1, 0, 4		1	1
26	26	92	1.0	3/4	3/4	2/2	4	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
27	27	93	2.0	0	0	2/2	4	1		I(974)	c	VI		I(974)		I			974					M	1	0	0, -1, 1	2, 5	0	0
27	27	95	2.0	1/2	1/2	2/2	4	1		I\\	c	VI		I		I							\\	M	1	0	0, 4, 1		0	0
29	29	97	4.0	0	0	2/2	4	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
30	30	101	4.0	0	0	2/2	4	1		V7/V	c	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
31	31	105	2.0	0	0	2/2	4	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
31	31	107	2.0	1/2	1/2	2/2	4	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
32	32	109	4.0	0	0	2/2	4	1		I	c	VI		I		I								M	1	0	0, 4, 1		0	0
33	33	113	4.0	0	0	2/2	4	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
34	34	117	4.0	0	0	2/2	4	1		V7/V	c	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
35	35	121	2.0	0	0	2/2	4	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
35	35	123	2.0	1/2	1/2	2/2	4	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
36	36	125	2.0	0	0	2/2	4	1		vi7	c	VI		vi7		vi		7						mm7	1	0	3, 0, 4, 1		3	3
36	36	127	1.0	1/2	1/2	2/2	4	1		V6	c	VI		V6		V		6						M	1	0	5, 2, 1		1	5
36	36	128	1.0	3/4	3/4	2/2	4	1		V65	c	VI		V65		V		65						Mm7	1	0	5, 2, -1, 1		1	5
37	37	129	4.0	0	0	2/2	4	1		I	c	VI		I		I								M	1	0	0, 4, 1		0	0
38	38	133	4.0	0	0	2/2	4	1		V43	c	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
39	39	137	2.0	0	0	2/2	4	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
39	39	139	2.0	1/2	1/2	2/2	4	1		#viio6/V	c	VI		#viio6/V		#vii	o	6		V				o	1	0	3, 0, 6		6	3
40	40	141	2.0	0	0	2/2	4	1		V(4)	c	VI		V(4)		V			4					M	1	0	1, 0, 2		1	1
40	40	143	2.0	1/2	1/2	2/2	4	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
41	41	145	2.0	0	0	2/2	4	1		V2/ii	c	VI		V2/ii		V		2		ii				Mm7	1	0	1, 3, 7, 4		3	1
41	41	147	2.0	1/2	1/2	2/2	4	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
42	42	149	1.0	0	0	2/2	4	1		viio64	c	VI		viio64		vii	o	64						o	1	0	-1, 5, 2		5	-1
42	42	150	1.0	1/4	1/4	2/2	4	1		V2	c	VI		V2		V		2						Mm7	1	0	-1, 1, 5, 2		1	-1
42	42	151	1.0	1/2	1/2	2/2	4	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
42	42	152	1.0	3/4	3/4	2/2	4	1		I+6	c	VI		I+6		I	+	6						+	1	0	4, 8, 0		0	4
43	43	153	1.0	0	0	2/2	4	1		IV	c	VI		IV		IV								M	1	0	-1, 3, 0		-1	-1
43	43	154	1.0	1/4	1/4	2/2	4	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
43	43	155	6.0	1/2	1/2	2/2	4	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
44	44			0	0	2/2	4	1	1	I(94)	c	VI		I(94)		I			94					M	1	0	0, -1, 1	2	0	0
44	44			1/2	1/2	2/2	4	1	1	I\\	c	VI		I		I							\\	M	1	0	0, 4, 1		0	0
46	46	161	8.0	0	0	2/2	4	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
48	48	169	1.0	0	0	2/2	4	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
48	48	170	1.0	1/4	1/4	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
48	48	171	1.0	1/2	1/2	2/2	4	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
48	48	172	1.0	3/4	3/4	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
49	49	173	4.0	0	0	2/2	4	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
50	50	177	4.0	0	0	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
51	51	181	3.0	0	0	2/2	4	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
51	51	184	1.0	3/4	3/4	2/2	4	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
52	52	185	1.0	0	0	2/2	4	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
52	52	186	1.0	1/4	1/4	2/2	4	1		It6	c	v		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
52	52	187	1.0	1/2	1/2	2/2	4	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
52	52	188	1.0	3/4	3/4	2/2	4	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
53	53	189	4.0	0	0	2/2	4	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
54	54	193	8.0	0	0	2/2	4	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
56	56	201	1.0	0	0	2/2	4	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
56	56	202	1.0	1/4	1/4	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
56	56	203	1.0	1/2	1/2	2/2	4	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
56	56	204	1.0	3/4	3/4	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
57	57	205	4.0	0	0	2/2	4	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
58	58	209	4.0	0	0	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
59	59	213	2.0	0	0	2/2	4	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
59	59	215	2.0	1/2	1/2	2/2	4	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
60	60	217	1.0	0	0	2/2	4	1		i64	c	v		i64		i		64						m	1	1	1, 0, -3		0	1
60	60	218	1.0	1/4	1/4	2/2	4	1		VI	c	v		VI		VI								M	1	1	-4, 0, -3		-4	-4
60	60	219	1.0	1/2	1/2	2/2	4	1		V65/V	c	v		V65/V		V		65		V				Mm7	1	1	6, 3, 0, 2		2	6
60	60	220	1.0	3/4	3/4	2/2	4	1		V7	c	v		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
61	61	221	4.0	0	0	2/2	4	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
62	62	225	1.0	0	0	2/2	4	1		i.V6/iv	c	i		V6/iv		V		6		iv				M	1	1	4, 1, 0		0	4
62	62	226	1.0	1/4	1/4	2/2	4	1		V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
62	62	227	2.0	1/2	1/2	2/2	4	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
63	63	229	2.0	0	0	2/2	4	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
63	63	231	2.0	1/2	1/2	2/2	4	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
64	64	233	2.0	0	0	2/2	4	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
64	64	235	1.0	1/2	1/2	2/2	4	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
64	64	236	1.0	3/4	3/4	2/2	4	1		It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
65	65	237	4.0	0	0	2/2	4	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
66	66	241	4.0	0	0	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
67	67	245	1.0	0	0	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
67	67	246	1.0	1/4	1/4	2/2	4	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
67	67	247	1.0	1/2	1/2	2/2	4	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
67	67	248	1.0	3/4	3/4	2/2	4	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
68	68	249	1.0	0	0	2/2	4	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
68	68	250	1.0	1/4	1/4	2/2	4	1		It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
68	68	251	1.0	1/2	1/2	2/2	4	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
68	68	252	1.0	3/4	3/4	2/2	4	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
69	69	253	4.0	0	0	2/2	4	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
70	70	257	2.0	0	0	2/2	4	1		V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
70	70	259	2.0	1/2	1/2	2/2	4	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
71	71	261	2.0	0	0	2/2	4	1		V7/III	c	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
71	71	263	2.0	1/2	1/2	2/2	4	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
72	72	265	2.0	0	0	2/2	4	1		VI	c	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
72	72	267	2.0	1/2	1/2	2/2	4	1		Ger6	c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
73	73	269	1.0	0	0	2/2	4	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
73	73	270	1.0	1/4	1/4	2/2	4	1		V2	c	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
73	73	271	1.0	1/2	1/2	2/2	4	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
73	73	272	1.0	3/4	3/4	2/2	4	1		#viio6	c	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5	2
74	74	273	5.0	0	0	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
75	75	278	1.0	1/4	1/4	2/2	4	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
75	75	279	1.0	1/2	1/2	2/2	4	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
75	75	280	1.0	3/4	3/4	2/2	4	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
76	76	281	1.0	0	0	2/2	4	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
76	76	282	1.0	1/4	1/4	2/2	4	1		ii%65	c	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
76	76	283	1.0	1/2	1/2	2/2	4	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
76	76	284	1.0	3/4	3/4	2/2	4	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
77	77	285	6.0	0	0	2/2	4	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
79	79	291	2.0	1/2	1/2	2/2	4	1		I.I	c	I		I		I								M	1	0	0, 4, 1		0	0
80	80	293	4.0	0	0	2/2	4	1		I[I	c	I	I	I		I								M	1	0	0, 4, 1		0	0
81	81	297	1.0	0	0	2/2	4	1		IV	c	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
81	81	298	1.0	1/4	1/4	2/2	4	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
81	81	299	1.0	1/2	1/2	2/2	4	1		IV64	c	I		IV64		IV		64						M	1	0	0, -1, 3		-1	0
81	81	300	1.0	3/4	3/4	2/2	4	1		III6	c	I		III6		III		6						M	1	0	8, 5, 4		4	8
82	82	301	1.0	0	0	2/2	4	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
82	82	302	1.0	1/4	1/4	2/2	4	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
82	82	303	1.0	1/2	1/2	2/2	4	1		viio6	c	I		viio6		vii	o	6						o	1	0	2, -1, 5		5	2
82	82	304	1.0	3/4	3/4	2/2	4	1		V.ii6	c	V		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
83	83	305	2.0	0	0	2/2	4	1		V(64)	c	V		V(64)		V			64					M	1	0	1, 0, 4		1	1
83	83	307	2.0	1/2	1/2	2/2	4	1		V7	c	V		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
84	84	309	3.5	0	0	2/2	4	1		I\\	c	V		I		I							\\	M	1	0	0, 4, 1		0	0
85	85	625/2	0.5	0	7/8	2/2	4	1		V	c	V		V		V								M	1	0	1, 5, 2		1	1
86	86	313	5.0	0	0	2/2	4	1		I	c	V		I		I								M	1	0	0, 4, 1		0	0
87	87	318	1.0	1/4	1/4	2/2	4	1		IV64	c	V		IV64		IV		64						M	1	0	0, -1, 3		-1	0
87	87	319	6.0	1/2	1/2	2/2	4	1		I	c	V		I		I								M	1	0	0, 4, 1		0	0
89	89	325	1.0	0	0	2/2	4	1		I.V[V	c	I	V	V		V								M	1	0	1, 5, 2		1	1
89	89	326	1.0	1/4	1/4	2/2	4	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
89	89	327	1.0	1/2	1/2	2/2	4	1		V43	c	I		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
89	89	328	1.0	3/4	3/4	2/2	4	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
90	90	329	1.0	0	0	2/2	4	1		IV	c	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
90	90	330	1.0	1/4	1/4	2/2	4	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
90	90	331	1.0	1/2	1/2	2/2	4	1		IV6	c	I		IV6		IV		6						M	1	0	3, 0, -1		-1	3
90	90	332	1.0	3/4	3/4	2/2	4	1		iii6	c	I		iii6		iii		6						m	1	0	1, 5, 4		4	1
91	91	333	1.0	0	0	2/2	4	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
91	91	334	1.0	1/4	1/4	2/2	4	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
91	91	335	1.0	1/2	1/2	2/2	4	1		viio6]	c	I		viio6		vii	o	6			]			o	1	0	2, -1, 5		5	2
91	91	336	1.0	3/4	3/4	2/2	4	1		#viio7/V	c	I		#viio7/V		#vii	o	7		V				o7	1	0	6, 3, 0, -3		6	6
92	92	337	2.0	0	0	2/2	4	1		V(64)	c	I		V(64)		V			64					M	1	0	1, 0, 4		1	1
92	92	339	2.0	1/2	1/2	2/2	4	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
93	93			0	0	2/2	4	1	1	I\\	c	I		I		I							\\	M	1	0	0, 4, 1		0	0
94	94	341	4.0	0	0	2/2	4	1	2	I	c	I		I		I								M	1	0	0, 4, 1		0	0
95	95	345	2.0	0	0	2/2	4	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
95	95	347	6.0	1/2	1/2	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
97	97	353	1.0	0	0	2/2	4	1		V6	c	i		V6		V		6						M	1	1	5, 2, 1		1	5
97	97	354	1.0	1/4	1/4	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
97	97	355	1.0	1/2	1/2	2/2	4	1		v6	c	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
97	97	356	1.0	3/4	3/4	2/2	4	1		VIM7	c	i		VIM7		VI	M	7						MM7	1	1	-4, 0, -3, 1		-4	-4
98	98	357	4.0	0	0	2/2	4	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
99	99	361	4.0	0	0	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
100	100	365	3.0	0	0	2/2	4	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
100	100	368	1.0	3/4	3/4	2/2	4	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
101	101	369	1.0	0	0	2/2	4	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
101	101	370	1.0	1/4	1/4	2/2	4	1		Ger6	c	v		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
101	101	371	1.0	1/2	1/2	2/2	4	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
101	101	372	1.0	3/4	3/4	2/2	4	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
102	102			0	0	2/2	4	1	1	i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
103	103	373	4.0	0	0	2/2	4	1	2	i	c	v		i		i								m	1	1	0, -3, 1		0	0
104	104	377	2.0	0	0	2/2	4	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
104	104	379	2.0	1/2	1/2	2/2	4	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
105	105	381	2.0	0	0	2/2	4	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
105	105	383	2.0	1/2	1/2	2/2	4	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
106	106	385	2.0	0	0	2/2	4	1		iv6(2)	c	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4
106	106	387	1.0	1/2	1/2	2/2	4	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
106	106	388	1.0	3/4	3/4	2/2	4	1		It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
107	107	389	4.0	0	0	2/2	4	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
108	108	393	6.0	0	0	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
109	109	399	1.0	1/2	1/2	2/2	4	1		VI	c	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
109	109	400	1.0	3/4	3/4	2/2	4	1		#viio6/iv	c	i		#viio6/iv		#vii	o	6		iv				o	1	1	1, -2, 4		4	1
110	110	401	1.0	0	0	2/2	4	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
110	110	402	1.0	1/4	1/4	2/2	4	1		Ger6	c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
110	110	403	1.0	1/2	1/2	2/2	4	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
110	110	404	1.0	3/4	3/4	2/2	4	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
111	111	405	4.0	0	0	2/2	4	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
112	112	409	2.0	0	0	2/2	4	1		V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
112	112	411	2.0	1/2	1/2	2/2	4	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
113	113	413	2.0	0	0	2/2	4	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
113	113	415	2.0	1/2	1/2	2/2	4	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
114	114	417	1.0	0	0	2/2	4	1		iv6(2)	c	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4
114	114	418	1.0	1/4	1/4	2/2	4	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
114	114	419	1.0	1/2	1/2	2/2	4	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
114	114	420	1.0	3/4	3/4	2/2	4	1		Fr6	c	i		Fr6	Fr	V		43	b5	V				Fr	1	1	-4, 0, 2, 6		2	-4
115	115	421	4.0	0	0	2/2	4	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
116	116	425	5.0	0	0	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
117	117	430	1.0	1/4	1/4	2/2	4	1		i2	c	i		i2		i		2						mm7	1	1	-2, 0, -3, 1		0	-2
117	117	431	1.0	1/2	1/2	2/2	4	1		VI	c	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
117	117	432	1.0	3/4	3/4	2/2	4	1		i64	c	i		i64		i		64						m	1	1	1, 0, -3		0	1
118	118	433	1.0	0	0	2/2	4	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
118	118	434	1.0	1/4	1/4	2/2	4	1		It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
118	118	435	1.0	1/2	1/2	2/2	4	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
118	118	436	1.0	3/4	3/4	2/2	4	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
