mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
62	62	0	0	3/4	1	1	V	-0.61942	-2.5	dcml	A	i		V	V							M	0	1	1, 5, 2		1	1
62	62	1/4	1/4	3/4	1	1	VI	-0.991072	-2.54777	dcml	A	i		VI	VI							M	0	1	-4, 0, -3		-4	-4
62	62	1/2	1/2	3/4	1	1	V/iv	0	-3.30344	dcml	A	i		V/iv	V				iv			M	0	1	0, 4, 1		0	0
63	63	0	0	3/4	1	1	V65/iv	-0.742027	-2.37516	dcml	A	i		V65/iv	V		65		iv			Mm7	0	1	4, 1, -2, 0		0	4
63	63	1/4	1/4	3/4	1	1	iv6	0	-2.37452	dcml	A	i		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
63	63	1/2	1/2	3/4	1	1	i	0.121966	-3.04139	dcml	A	i		i	i							m	0	1	0, -3, 1		0	0
64	64	0	0	3/4	1	1	#viio6/iv	-2.35188	-5.10153	dcml	A	i		#viio6/iv	#vii	o	6		iv			o	0	1	1, -2, 4		4	1
64	64	1/4	1/4	3/4	1	1	iv6	0.123565	-3.9831	dcml	A	i		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
64	64	1/2	1/2	3/4	1	1	VI			dcml	A	i		VI	VI							M	0	1	-4, 0, -3		-4	-4
65	65	0	0	3/4	1	1	#viio/iv	-2.22991	-2.37612	dcml	A	i		#viio/iv	#vii	o			iv			o	0	1	4, 1, -2		4	4
65	65	1/4	1/4	3/4	1	1	iv	0	-2.4	dcml	A	i		iv	iv							m	0	1	-1, -4, 0		-1	-1
66	66	0	0	3/4	1	1	i	-0.247449	-3.73724	dcml	A	i		i	i							m	0	1	0, -3, 1		0	0
66	66	1/4	1/4	3/4	1	1	#viio	0	-3.48979	dcml	A	i		#viio	#vii	o						o	0	1	5, 2, -1		5	5
67	67	1/4	1/4	3/4	1	1	i	-0.123884	-3.61496	dcml	A	i		i	i							m	0	1	0, -3, 1		0	0
68	68	0	0	3/4	1	1	#viio	-0.250271	-3.7316	dcml	A	i		#viio	#vii	o						o	0	1	5, 2, -1		5	5
68	68	1/4	1/4	3/4	1	1	i	0	-3.73724	dcml	A	i		i	i							m	0	1	0, -3, 1		0	0
68	68	1/2	1/2	3/4	1	1	I.I6			dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
69	69	0	0	3/4	1	1	viio			dcml	A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
69	69	1/4	1/4	3/4	1	1	I			dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
70	70	0	0	3/4	1	1	viio6	0	-3.67494	dcml	A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
70	70	1/4	1/4	3/4	1	1	I	0	-2.75027	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
70	70	1/2	1/2	3/4	1	1	#viio64/V	-1.87703	-2.5	dcml	A	I		#viio64/V	#vii	o	64		V			o	0	0	7, 13, 10		13	7
71	71	0	0	3/4	1	1	V6(6#4)			dcml	A	I		V6(6#4)	V		6	6#4				M	0	0	5, 7, 1		1	5
71	71	1/4	1/4	3/4	1	1	V65			dcml	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
71	71	1/2	1/2	3/4	1	1	I			dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
72	72	1/2	1/2	3/4	1	1	I6(9)	-3.71652	-2.5	dcml	A	I		I6(9)	I		6	9				M	0	0	4, 1, 0	2	0	4
72	72	5/8	5/8	3/4	1	1	I6			dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
73	73	0	0	3/4	1	1	III(+6)			dcml	A	I		III(+6)	III			+6				M	0	0	4, 8, 5	0	4	4
73	73	1/8	1/8	3/4	1	1	III			dcml	A	I		III	III							M	0	0	4, 8, 5		4	4
73	73	1/4	1/4	3/4	1	1	IV			dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
73	73	1/2	1/2	3/4	1	1	IV6			dcml	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
74	74	0	0	3/4	1	1	#viio(4)/ii	-3.6039	-2.38738	dcml	A	I		#viio(4)/ii	#vii	o		4	ii			o	0	0	7, -1, 1		7	7
74	74	1/4	1/4	3/4	1	1	ii			dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
74	74	1/2	1/2	3/4	1	1	ii6(2)			dcml	A	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
74	74	5/8	5/8	3/4	1	1	ii6			dcml	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
75	75	0	0	3/4	1	1	V65/V	-2.70292	-2.5	dcml	A	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
75	75	1/4	1/4	3/4	1	1	V			dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
75	75	1/2	1/2	3/4	1	1	V6			dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
76	76	0	0	3/4	1	1	I6			dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
76	76	1/4	1/4	3/4	1	1	I			dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
