mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
201	201	1/2	1/2	3/4	1	1	ii6			dcml	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
202	202	1/2	1/2	3/4	1	1	V6	0	-2.54281	dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
203	203	1/2	1/2	3/4	1	1	I	0.247449	-2.31597	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
204	204	0	0	3/4	1	1	I6			dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
204	204	1/2	1/2	3/4	1	1	IV6			dcml	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
205	205	1/2	1/2	3/4	1	1	IV	0	-2.99309	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
206	206	0	0	3/4	1	1	I6	0	-3.11211	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
206	206	1/2	1/2	3/4	1	1	IV	0	-3.71341	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
207	207	0	0	3/4	1	1	V(64)	0.112622	-3.41175	dcml	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
207	207	1/2	1/2	3/4	1	1	V7	-0.112622	-1.70846	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
208	208	0	0	3/4	1	1	I\\	0	-3.21694	dcml	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
208	208	1/8	1/8	3/4	1	1	I	0.112622	-3.28835	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
208	208	1/2	1/2	3/4	1	1	IV6	0.134827	-6.3403	dcml	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
209	209	1/4	1/4	3/4	1	1	IV	0	-7.5073	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
210	210	0	0	3/4	1	1	I6	0.360071	-3.39736	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
210	210	1/2	1/2	3/4	1	1	IV			dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
211	211	0	0	3/4	1	1	V(64)			dcml	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
211	211	1/2	1/2	3/4	1	1	V7			dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
212	212	0	0	3/4	1	1	I\\			dcml	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
212	212	1/4	1/4	3/4	1	1	I6	0	-3.29054	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
214	214	0	0	3/4	1	1	@none	-1.12622	-2.04951	dcml	A	I		@none	@none							m	0	0				
216	216	0	0	3/4	1	1	iii.V			dcml	A	iii		V	V							M	0	1	1, 5, 2		1	1
218	218	0	0	3/4	1	1	i			dcml	A	iii		i	i							m	0	1	0, -3, 1		0	0
219	219	0	0	3/4	1	1	iv			dcml	A	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
219	219	1/2	1/2	3/4	1	1	i64			dcml	A	iii		i64	i		64					m	0	1	1, 0, -3		0	1
220	220	0	0	3/4	1	1	i			dcml	A	iii		i	i							m	0	1	0, -3, 1		0	0
222	222	0	0	3/4	1	1	@none	-1.80195	-2.5	dcml	A	iii		@none	@none							m	0	1				
223	223	0	0	3/4	1	1	iv			dcml	A	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
224	224	0	0	3/4	1	1	V			dcml	A	iii		V	V							M	0	1	1, 5, 2		1	1
226	226	0	0	2/2	1	1	i			dcml	A	iii		i	i							m	0	1	0, -3, 1		0	0
227	227	0	0	2/2	1	1	iv			dcml	A	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
227	227	1/2	1/2	2/2	1	1	V			dcml	A	iii		V	V							M	0	1	1, 5, 2		1	1
228	228	0	0	2/2	1	1	i			dcml	A	iii		i	i							m	0	1	0, -3, 1		0	0
228	228	1/2	1/2	2/2	1	1	I.I[I	0	-5.93859	dcml	A	I	I	I	I							M	0	0	0, 4, 1		0	0
232	232	0	0	3/4	1	1	IV	0.112622	-6.41633	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
232	232	1/4	1/4	3/4	1	1	I6	0	-6.77198	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
232	232	1/2	1/2	3/4	1	1	ii	0	-6.42634	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
233	233	0	0	3/4	1	1	I	0.247449	-5.22194	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
233	233	1/4	1/4	3/4	1	1	V	-0.247449	-4.97449	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
233	233	1/2	1/2	3/4	1	1	I	0.247449	-4.97449	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
234	234	0	0	3/4	1	1	ii	0	-5.54937	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
234	234	1/4	1/4	3/4	1	1	I	0.494897	-6.48454	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
234	234	1/2	1/2	3/4	1	1	ii	0.247449	-6.52453	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
235	235	1/4	1/4	3/4	1	1	I6	0	-4.47959	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
236	236	0	0	3/4	1	1	IV	0	-6.48454	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
236	236	1/4	1/4	3/4	1	1	I6	0	-6.71378	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
236	236	1/2	1/2	3/4	1	1	ii	0.225244	-6.64716	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
237	237	0	0	3/4	1	1	I6	0.0222053	-5.34814	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
238	238	0	0	3/4	1	1	ii	0	-6.03165	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
238	238	1/4	1/4	3/4	1	1	I	0	-5.98964	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
238	238	1/2	1/2	3/4	1	1	IV	0	-5.51295	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
239	239	0	0	3/4	1	1	I64	0.247449	-3.98469	dcml	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
240	240	0	0	3/4	1	1	ii	0.269653	-6.03826	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
240	240	1/4	1/4	3/4	1	1	I	0	-6.79019	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
240	240	1/2	1/2	3/4	1	1	IV	0	-6.30992	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
241	241	0	0	3/4	1	1	I6	-0.0904165	-5.67083	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
241	241	1/2	1/2	3/4	1	1	I	-0.112622	-4.52719	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
242	242	0	0	3/4	1	1	ii	0	-5.80881	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
242	242	1/4	1/4	3/4	1	1	I	0.247449	-5.74219	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
242	242	1/2	1/2	3/4	1	1	IV	-0.112622	-5.64198	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
243	243	0	0	3/4	1	1	I64	0	-5.17391	dcml	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
243	243	1/2	1/2	3/4	1	1	I6	0	-5.0903	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
245	245	0	0	3/4	1	1	I\\	0	-5.58584	dcml	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
