mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
21	21	3/8	3/8	2/2	1	1	iv	1.02448	-2.60979	dcml	Eb	I		iv	iv						m	0	0	-1, -4, 0		-1	-1
21	21	1/2	1/2	2/2	1	1	viio7			dcml	Eb	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
21	21	7/8	7/8	2/2	1	1	viio43/V	-2.14005	-2.38111	dcml	Eb	I		viio43/V	vii	o	43		V		o7	0	0	0, -3, 6, 3		6	0
22	22	3/8	3/8	2/2	1	1	V7/IV			dcml	Eb	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
22	22	1/2	1/2	2/2	1	1	viio7/IV			dcml	Eb	I		viio7/IV	vii	o	7		IV		o7	0	0	4, 1, -2, -5		4	4
22	22	7/8	7/8	2/2	1	1	iv			dcml	Eb	I		iv	iv						m	0	0	-1, -4, 0		-1	-1
23	23	0	0	2/2	1	1	III64/vi	-0.792609	-3.15635	dcml	Eb	I		III64/vi	III		64		vi		M	0	0	1, 0, 4		0	1
23	23	1/2	1/2	2/2	1	1	viio43/ii	-1.0643	-2.614	dcml	Eb	I		viio43/ii	vii	o	43		ii		o7	0	0	-6, -9, 0, -3		0	-6
24	24	3/8	3/8	2/2	1	1	V7			dcml	Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
24	24	7/8	7/8	2/2	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
25	25	0	0	4/4	1	1	I\\			dcml	Eb	I		I	I					\\	M	0	0	0, 4, 1		0	0
25	25	1/2	1/2	4/4	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
26	26	0	0	4/4	1	1	V6			dcml	Eb	I		V6	V		6				M	0	0	5, 2, 1		1	5
27	27	0	0	4/4	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
27	27	1/2	1/2	4/4	1	1	V43	0	-3.75435	dcml	Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
28	28	0	0	4/4	1	1	I[I	0	-3.59785	dcml	Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
28	28	1/2	1/2	4/4	1	1	I6	0	-3.70764	dcml	Eb	I	I	I6	I		6				M	0	0	4, 1, 0		0	4
28	28	3/4	3/4	4/4	1	1	V65/IV			dcml	Eb	I	I	V65/IV	V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
29	29	0	0	4/4	1	1	IV			dcml	Eb	I	I	IV	IV						M	0	0	-1, 3, 0		-1	-1
29	29	1/2	1/2	4/4	1	1	IV6			dcml	Eb	I	I	IV6	IV		6				M	0	0	3, 0, -1		-1	3
30	30	0	0	4/4	1	1	viio			dcml	Eb	I	I	viio	vii	o					o	0	0	5, 2, -1		5	5
30	30	1/2	1/2	4/4	1	1	V7			dcml	Eb	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
31	31	0	0	4/4	1	1	I(#9)	0	-3.2685	dcml	Eb	I	I	I(#9)	I			#9			M	0	0	0, 4, 1	9	0	0
31	31	1/4	1/4	4/4	1	1	I]			dcml	Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
31	31	1/2	1/2	4/4	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
32	32	1/2	1/2	4/4	1	1	I6	-0.074283	-4.04971	dcml	Eb	I		I6	I		6				M	0	0	4, 1, 0		0	4
32	32	3/4	3/4	4/4	1	1	V65/IV	-0.297133	-4.18032	dcml	Eb	I		V65/IV	V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
33	33	0	0	4/4	1	1	IV	0.130612	-4.18278	dcml	Eb	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
33	33	1/2	1/2	4/4	1	1	ii7	-0.038374	-4.61093	dcml	Eb	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
34	34	0	0	4/4	1	1	V(94)	-0.204895	-3.72937	dcml	Eb	I		V(94)	V			94			M	0	0	1, 0, 2	3	1	1
34	34	1/2	1/2	4/4	1	1	V7	0	-3.67551	dcml	Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
35	35	0	0	4/4	1	1	I\\	0	-4.28117	dcml	Eb	I		I	I					\\	M	0	0	0, 4, 1		0	0
36	36	0	0	4/4	1	1	V			dcml	Eb	I		V	V						M	0	0	1, 5, 2		1	1
36	36	1/2	1/2	4/4	1	1	ii			dcml	Eb	I		ii	ii						m	0	0	2, -1, 3		2	2
36	36	3/4	3/4	4/4	1	1	ii6			dcml	Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
37	37	0	0	4/4	1	1	vi			dcml	Eb	I		vi	vi						m	0	0	3, 0, 4		3	3
37	37	1/2	1/2	4/4	1	1	ii65			dcml	Eb	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
37	37	3/4	3/4	4/4	1	1	ii43			dcml	Eb	I		ii43	ii		43				mm7	0	0	3, 0, 2, -1		2	3
38	38	0	0	4/4	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
38	38	1/2	1/2	4/4	1	1	V7			dcml	Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
39	39	0	0	4/4	1	1	I\\			dcml	Eb	I		I	I					\\	M	0	0	0, 4, 1		0	0
39	39	1/4	1/4	4/4	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
40	40	0	0	4/4	1	1	iv6/ii			dcml	Eb	I		iv6/ii	iv		6		ii		m	0	0	-2, 2, 1		1	-2
40	40	1/2	1/2	4/4	1	1	ii64			dcml	Eb	I		ii64	ii		64				m	0	0	3, 2, -1		2	3
41	41	0	0	4/4	1	1	vi	0	-3.67551	dcml	Eb	I		vi	vi						m	0	0	3, 0, 4		3	3
41	41	1/2	1/2	4/4	1	1	ii6	0.130612	-3.5449	dcml	Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
42	42	0	0	4/4	1	1	I6	0	-4.04693	dcml	Eb	I		I6	I		6				M	0	0	4, 1, 0		0	4
42	42	1/2	1/2	4/4	1	1	V.iv6	0	-3.80612	dcml	Eb	V		iv6	iv		6				m	0	0	-4, 0, -1		-1	-4
43	43	0	0	4/4	1	1	V\\	-0.159347	-5.35235	dcml	Eb	V		V	V					\\	M	0	0	1, 5, 2		1	1
44	44	0	0	4/4	1	1	viio43			dcml	Eb	V		viio43	vii	o	43				o7	0	0	-1, -4, 5, 2		5	-1
44	44	1/2	1/2	4/4	1	1	viio7/V			dcml	Eb	V		viio7/V	vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
45	45	0	0	4/4	1	1	V	0	-4.95874	dcml	Eb	V		V	V						M	0	0	1, 5, 2		1	1
46	46	0	0	4/4	1	1	viio43			dcml	Eb	V		viio43	vii	o	43				o7	0	0	-1, -4, 5, 2		5	-1
47	47	0	0	4/4	1	1	viio/V			dcml	Eb	V		viio/V	vii	o			V		o	0	0	6, 3, 0		6	6
48	48	0	0	4/4	1	1	V2(9)	0	-3.22585	dcml	Eb	V		V2(9)	V		2	9			Mm7	0	0	-1, 1, 5, 2	3	1	-1
48	48	7/8	7/8	4/4	1	1	I6			dcml	Eb	V		I6	I		6				M	0	0	4, 1, 0		0	4
49	49	0	0	4/4	1	1	ii	-0.261224	-3.71939	dcml	Eb	V		ii	ii						m	0	0	2, -1, 3		2	2
49	49	1/4	1/4	4/4	1	1	V7	0	-2.6	dcml	Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
49	49	1/2	1/2	4/4	1	1	I			dcml	Eb	V		I	I						M	0	0	0, 4, 1		0	0
49	49	3/4	3/4	4/4	1	1	V			dcml	Eb	V		V	V						M	0	0	1, 5, 2		1	1
50	50	0	0	4/4	1	1	I\\			dcml	Eb	V		I	I					\\	M	0	0	0, 4, 1		0	0
50	50	1/4	1/4	4/4	1	1	I			dcml	Eb	V		I	I						M	0	0	0, 4, 1		0	0
50	50	1/2	1/2	4/4	1	1	V			dcml	Eb	V		V	V						M	0	0	1, 5, 2		1	1
50	50	7/8	7/8	4/4	1	1	V64/ii	-3.80452	-2.5	dcml	Eb	V		V64/ii	V		64		ii		M	0	0	4, 3, 7		3	4
51	51	0	0	4/4	1	1	ii6			dcml	Eb	V		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
51	51	1/4	1/4	4/4	1	1	V2	0	-3.45113	dcml	Eb	V		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
51	51	1/2	1/2	4/4	1	1	I6	0	-3.89907	dcml	Eb	V		I6	I		6				M	0	0	4, 1, 0		0	4
51	51	3/4	3/4	4/4	1	1	V65	-0.865128	-4.59564	dcml	Eb	V		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
52	52	0	0	4/4	1	1	I	0.204895	-3.56835	dcml	Eb	V		I	I						M	0	0	0, 4, 1		0	0
53	53	0	0	4/4	1	1	I6			dcml	Eb	V		I6	I		6				M	0	0	4, 1, 0		0	4
54	54	0	0	4/4	1	1	I64			dcml	Eb	V		I64	I		64				M	0	0	1, 0, 4		0	1
55	55	0	0	4/4	1	1	I	0	-3.32483	dcml	Eb	V		I	I						M	0	0	0, 4, 1		0	0
56	56	0	0	4/4	1	1	I6	-0.83224	-6.0121	dcml	Eb	V		I6	I		6				M	0	0	4, 1, 0		0	4
57	57	0	0	4/4	1	1	V65/V	0.409791	-7.0077	dcml	Eb	V		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
57	57	3/4	3/4	4/4	1	1	viio43			dcml	Eb	V		viio43	vii	o	43				o7	0	0	-1, -4, 5, 2		5	-1
58	58	0	0	4/4	1	1	I6			dcml	Eb	V		I6	I		6				M	0	0	4, 1, 0		0	4
58	58	3/4	3/4	4/4	1	1	viio43/ii	-0.680461	-3.66557	dcml	Eb	V		viio43/ii	vii	o	43		ii		o7	0	0	-6, -9, 0, -3		0	-6
59	59	0	0	4/4	1	1	V65/ii	0	-2.82993	dcml	Eb	V		V65/ii	V		65		ii		Mm7	0	0	7, 4, 1, 3		3	7
60	60	1/4	1/4	4/4	1	1	ii	0	-4.23215	dcml	Eb	V		ii	ii						m	0	0	2, -1, 3		2	2
61	61	0	0	4/4	1	1	V6	0	-4.23215	dcml	Eb	V		V6	V		6				M	0	0	5, 2, 1		1	5
61	61	1/2	1/2	4/4	1	1	V65			dcml	Eb	V		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
62	62	0	0	4/4	1	1	I(4)			dcml	Eb	V		I(4)	I			4			M	0	0	0, -1, 1		0	0
62	62	1/4	1/4	4/4	1	1	I			dcml	Eb	V		I	I						M	0	0	0, 4, 1		0	0
62	62	3/4	3/4	4/4	1	1	V7/IV	-3.27833	-4.34406	dcml	Eb	V		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
63	63	0	0	4/4	1	1	V64/vi	-0.153661	-4.58753	dcml	Eb	V		V64/vi	V		64		vi		M	0	0	5, 4, 8		4	5
63	63	1/2	1/2	4/4	1	1	V7/ii	0.13912	-4.70831	dcml	Eb	V		V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
64	64	0	0	4/4	1	1	ii	0.204895	-5.16364	dcml	Eb	V		ii	ii						m	0	0	2, -1, 3		2	2
64	64	1/4	1/4	4/4	1	1	ii6	-0.151779	-5.27602	dcml	Eb	V		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
64	64	3/4	3/4	4/4	1	1	#viio(+4)	-2.14005	-3.93636	dcml	Eb	V		#viio(+4)	#vii	o		+4			o	0	0	12, 9, 6	4	12	12
65	65	0	0	4/4	1	1	V(64)	-0.819581	-3.72937	dcml	Eb	V		V(64)	V			64			M	0	0	1, 0, 4		1	1
65	65	1/2	1/2	4/4	1	1	V7	0	-3.40732	dcml	Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
66	66	0	0	4/4	1	1	I\\			dcml	Eb	V		I	I					\\	M	0	0	0, 4, 1		0	0
66	66	1/8	1/8	4/4	1	1	I			dcml	Eb	V		I	I						M	0	0	0, 4, 1		0	0
66	66	3/4	3/4	4/4	1	1	V7/IV	0.283325	-2.85159	dcml	Eb	V		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
67	67	0	0	4/4	1	1	V64/vi	-0.483139	-2.59357	dcml	Eb	V		V64/vi	V		64		vi		M	0	0	5, 4, 8		4	5
67	67	1/2	1/2	4/4	1	1	V7/ii			dcml	Eb	V		V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
68	68	0	0	4/4	1	1	ii			dcml	Eb	V		ii	ii						m	0	0	2, -1, 3		2	2
69	69	1/4	1/4	4/4	1	1	V(64)	0	-3.93427	dcml	Eb	V		V(64)	V			64			M	0	0	1, 0, 4		1	1
69	69	3/4	3/4	4/4	1	1	V	0	-5.16364	dcml	Eb	V		V	V						M	0	0	1, 5, 2		1	1
70	70	0	0	4/4	1	1	I\\			dcml	Eb	V		I	I					\\	M	0	0	0, 4, 1		0	0
70	70	5/8	5/8	4/4	1	1	V6	-1.07002	-2.38111	dcml	Eb	V		V6	V		6				M	0	0	5, 2, 1		1	5
70	70	3/4	3/4	4/4	1	1	I			dcml	Eb	V		I	I						M	0	0	0, 4, 1		0	0
71	71	1/8	1/8	4/4	1	1	V6			dcml	Eb	V		V6	V		6				M	0	0	5, 2, 1		1	5
71	71	1/4	1/4	4/4	1	1	I			dcml	Eb	V		I	I						M	0	0	0, 4, 1		0	0
71	71	5/8	5/8	4/4	1	1	V7			dcml	Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
72	72	1/8	1/8	4/4	1	1	I			dcml	Eb	V		I	I						M	0	0	0, 4, 1		0	0
72	72	5/8	5/8	4/4	1	1	V7			dcml	Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
73	73	1/8	1/8	4/4	1	1	I			dcml	Eb	V		I	I						M	0	0	0, 4, 1		0	0
73	73	5/8	5/8	4/4	1	1	V7			dcml	Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
73	73	7/8	7/8	4/4	1	1	I			dcml	Eb	V		I	I						M	0	0	0, 4, 1		0	0
78	78	0	0	4/4	1	1	vi.V			dcml	Eb	vi		V	V						M	0	1	1, 5, 2		1	1
79	79	0	0	4/4	1	1	V6/V			dcml	Eb	vi		V6/V	V		6		V		M	0	1	6, 3, 2		2	6
80	80	0	0	4/4	1	1	V			dcml	Eb	vi		V	V						M	0	1	1, 5, 2		1	1
81	81	1/2	1/2	4/4	1	1	V65			dcml	Eb	vi		V65	V		65				Mm7	0	1	5, 2, -1, 1		1	5
82	82	0	0	4/4	1	1	i			dcml	Eb	vi		i	i						m	0	1	0, -3, 1		0	0
83	83	1/2	1/2	4/4	1	1	VII6			dcml	Eb	vi		VII6	VII		6				M	0	1	2, -1, -2		-2	2
84	84	0	0	4/4	1	1	viio/iv			dcml	Eb	vi		viio/iv	vii	o			iv		o	0	1	-3, -6, -9		-3	-3
89	89	0	0	4/4	1	1	II.V7	-0.409791	-3.52448	dcml	Eb	II		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
90	90	0	0	4/4	1	1	I64	0	-3.8284	dcml	Eb	II		I64	I		64				M	0	0	1, 0, 4		0	1
91	91	0	0	4/4	1	1	V43/V	-0.237783	-3.80781	dcml	Eb	II		V43/V	V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
91	91	1/2	1/2	4/4	1	1	V	0	-5.67627	dcml	Eb	II		V	V						M	0	0	1, 5, 2		1	1
92	92	0	0	4/4	1	1	V(#9)	-0.204895	-6.39301	dcml	Eb	II		V(#9)	V			#9			M	0	0	1, 5, 2	10	1	1
92	92	1/4	1/4	4/4	1	1	V			dcml	Eb	II		V	V						M	0	0	1, 5, 2		1	1
92	92	1/2	1/2	4/4	1	1	V7			dcml	Eb	II		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
93	93	1/4	1/4	4/4	1	1	iv6	0	-3.13512	dcml	Eb	II		iv6	iv		6				m	0	0	-4, 0, -1		-1	-4
93	93	1/2	1/2	4/4	1	1	V			dcml	Eb	II		V	V						M	0	0	1, 5, 2		1	1
93	93	3/4	3/4	4/4	1	1	V65			dcml	Eb	II		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
94	94	0	0	4/4	1	1	I(9)			dcml	Eb	II		I(9)	I			9			M	0	0	0, 4, 1	2	0	0
94	94	1/4	1/4	4/4	1	1	vi			dcml	Eb	II		vi	vi						m	0	0	3, 0, 4		3	3
94	94	1/2	1/2	4/4	1	1	V/V			dcml	Eb	II		V/V	V				V		M	0	0	2, 6, 3		2	2
94	94	7/8	7/8	4/4	1	1	vi/V			dcml	Eb	II		vi/V	vi				V		m	0	0	4, 1, 5		4	4
95	95	0	0	4/4	1	1	V(4)/V			dcml	Eb	II		V(4)/V	V			4	V		M	0	0	2, 1, 3		2	2
95	95	1/4	1/4	4/4	1	1	V2/V			dcml	Eb	II		V2/V	V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
95	95	1/2	1/2	4/4	1	1	V7/V			dcml	Eb	II		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
96	96	0	0	4/4	1	1	VI.I	-0.204895	-3.52448	dcml	Eb	VI		I	I						M	0	0	0, 4, 1		0	0
96	96	1/2	1/2	4/4	1	1	V43	0.118891	-4.16448	dcml	Eb	VI		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
97	97	0	0	4/4	1	1	I6	0.237783	-4.16448	dcml	Eb	VI		I6	I		6				M	0	0	4, 1, 0		0	4
97	97	1/2	1/2	4/4	1	1	IV			dcml	Eb	VI		IV	IV						M	0	0	-1, 3, 0		-1	-1
98	98	0	0	4/4	1	1	V7			dcml	Eb	VI		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
100	100	0	0	4/4	1	1	I[I			dcml	Eb	VI	I	I	I						M	0	0	0, 4, 1		0	0
100	100	1/2	1/2	4/4	1	1	viio6			dcml	Eb	VI	I	viio6	vii	o	6				o	0	0	2, -1, 5		5	2
101	101	0	0	4/4	1	1	I6]			dcml	Eb	VI	I	I6	I		6				M	0	0	4, 1, 0		0	4
101	101	1/2	1/2	4/4	1	1	IV6			dcml	Eb	VI		IV6	IV		6				M	0	0	3, 0, -1		-1	3
102	102	0	0	4/4	1	1	V65			dcml	Eb	VI		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
102	102	1/2	1/2	4/4	1	1	V2			dcml	Eb	VI		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
