mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
41	40	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
42	41	0	0	3/8	1	1		V2				V2		V		2						Mm7	-1, 1, 5, 2		1	-1
42	41	1/4	1/4	3/8	1	1		V43				V43		V		43						Mm7	2, -1, 1, 5		1	2
43	42	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
44	43	0	0	3/8	1	1		V2				V2		V		2						Mm7	-1, 1, 5, 2		1	-1
44	43	1/4	1/4	3/8	1	1		V43				V43		V		43						Mm7	2, -1, 1, 5		1	2
45	44	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
46	45	0	0	3/8	1	1		V2				V2		V		2						Mm7	-1, 1, 5, 2		1	-1
46	45	1/4	1/4	3/8	1	1		V43				V43		V		43						Mm7	2, -1, 1, 5		1	2
47	46	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
48	47	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
48	47	1/8	1/8	3/8	1	1		V				V		V								M	1, 5, 2		1	1
48	47	1/4	1/4	3/8	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
49	48	0	0	3/8	1	1		IV6				IV6		IV		6						M	3, 0, -1		-1	3
50	49	0	0	3/8	1	1		iv6				iv6		iv		6						m	-4, 0, -1		-1	-4
51	50	0	0	3/8	1	1		V(64)				V(64)		V			64					M	1, 0, -3		1	1
52	51	0	0	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
53	52	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
54	53	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
54	53	1/4	1/4	3/8	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
55	54	0	0	3/8	1	1		IV6				IV6		IV		6						M	3, 0, -1		-1	3
56	55	0	0	3/8	1	1		#viio43/V				#viio43/V		#vii	o	43		V				o7	0, -3, 6, 3		6	0
57	56	0	0	3/8	1	1		V(64)				V(64)		V			64					M	1, 0, -3		1	1
58	57	0	0	3/8	1	1		#viio7/V				#viio7/V		#vii	o	7		V				o7	6, 3, 0, -3		6	6
59	58	0	0	3/8	1	1		V(64)				V(64)		V			64					M	1, 0, -3		1	1
60	59	0	0	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
61	60	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
62	61	0	0	3/8	1	1		I[I			I	I		I								M	0, 4, 1		0	0
62	61	1/8	1/8	3/8	1	1		I6				I6		I		6						M	4, 1, 0		0	4
63	62	1/8	1/8	3/8	1	1		viio64				viio64		vii	o	64						o	-8, -2, -5		-2	-8
63	62	3/16	3/16	3/8	1	1		V2				V2		V		2						Mm7	-1, 1, 5, 2		1	-1
64	63	1/8	1/8	3/8	1	1		viio64]				viio64		vii	o	64			]			o	-8, -2, -5		-2	-8
65	64	0	0	3/8	1	1		I.V7		I		V7		V		7						Mm7	1, 5, 2, -1		1	1
67	66	0	0	3/8	1	1		V(64)				V(64)		V			64					M	1, 0, -3		1	1
69	68	0	0	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
73	72	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
73	72	1/8	1/8	3/8	1	1		I64				I64		I		64						M	1, 0, 4		0	1
74	73	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
74	73	1/8	1/8	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
75	74	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
75	74	1/8	1/8	3/8	1	1		V43/V				V43/V		V		43		V				Mm7	3, 0, 2, 6		2	3
75	74	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
76	75	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
76	75	1/4	1/4	3/8	1	1		V65/IV				V65/IV		V		65		IV				Mm7	4, 1, -2, 0		0	4
77	76	0	0	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
77	76	1/8	1/8	3/8	1	1		#viio6/vi				#viio6/vi		#vii	o	6		vi				o	-2, -5, 1		1	-2
77	76	1/4	1/4	3/8	1	1		#viio/ii				#viio/ii		#vii	o			ii				o	7, 4, 1		7	7
78	77	0	0	3/8	1	1		ii				ii		ii								m	2, -1, 3		2	2
78	77	1/8	1/8	3/8	1	1		V6/vi				V6/vi		V		6		vi				M	1, -2, -3		-3	1
78	77	1/4	1/4	3/8	1	1		vi				vi		vi								m	-4, -7, -3		-4	-4
79	78	0	0	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
79	78	1/8	1/8	3/8	1	1		ii				ii		ii								m	2, -1, 3		2	2
79	78	1/4	1/4	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
80	79	0	0	3/8	1	1		V\\				V		V							\\	M	1, 5, 2		1	1
81	80	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
81	80	1/8	1/8	3/8	1	1		I64				I64		I		64						M	1, 0, 4		0	1
82	81	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
82	81	1/8	1/8	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
83	82	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
83	82	1/8	1/8	3/8	1	1		V43/V				V43/V		V		43		V				Mm7	3, 0, 2, 6		2	3
83	82	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
84	83	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
84	83	1/4	1/4	3/8	1	1		V65/IV				V65/IV		V		65		IV				Mm7	4, 1, -2, 0		0	4
85	84	0	0	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
85	84	1/8	1/8	3/8	1	1		vii%7				vii%7		vii	%	7						%7	-2, -5, -8, -4		-2	-2
85	84	1/4	1/4	3/8	1	1		#viio/ii				#viio/ii		#vii	o			ii				o	7, 4, 1		7	7
86	85	0	0	3/8	1	1		ii(94)				ii(94)		ii			94					m	2, 1, 3	-3	2	2
86	85	1/8	1/8	3/8	1	1		#viio7/vi				#viio7/vi		#vii	o	7		vi				o7	1, -2, -5, -8		1	1
86	85	1/4	1/4	3/8	1	1		vi				vi		vi								m	-4, -7, -3		-4	-4
87	86	0	0	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
87	86	1/8	1/8	3/8	1	1		ii				ii		ii								m	2, -1, 3		2	2
87	86	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
88	87	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
88	87	1/4	1/4	3/8	1	1		v.i		v		i		i								m	0, -3, 1		0	0
90	89	0	0	3/8	1	1		V6(4)				V6(4)		V		6	4					M	0, 2, 1		1	0
90	89	1/8	1/8	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
91	90	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
91	90	1/8	1/8	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
91	90	1/4	1/4	3/8	1	1		V				V		V								M	1, 5, 2		1	1
92	91	0	0	3/8	1	1		I(4)				I(4)		I			4					M	0, -1, 1		0	0
92	91	1/8	1/8	3/8	1	1		I				I		I								M	0, 4, 1		0	0
93	92	1/8	1/8	3/8	1	1		i				i		i								m	0, -3, 1		0	0
93	92	1/4	1/4	3/8	1	1		i6				i6		i		6						m	-3, 1, 0		0	-3
94	93	0	0	3/8	1	1		IV(4)				IV(4)		IV			4					M	-1, -2, 0		-1	-1
94	93	1/8	1/8	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
95	94	0	0	3/8	1	1		IV.V		IV		V		V								M	1, 5, 2		1	1
95	94	1/8	1/8	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
95	94	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
96	95	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
96	95	1/4	1/4	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
97	96	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
97	96	1/4	1/4	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
98	97	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
99	98	1/4	1/4	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
100	99	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
100	99	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
101	100	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
101	100	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
102	101	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
102	101	1/4	1/4	3/8	1	1		V7/vi				V7/vi		V		7		vi				Mm7	-3, 1, -2, -5		-3	-3
103	102	0	0	3/8	1	1		vi				vi		vi								m	-4, -7, -3		-4	-4
104	103	0	0	3/8	1	1		I.V		I		V		V								M	1, 5, 2		1	1
105	104	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
106	105	0	0	3/8	1	1		V43				V43		V		43						Mm7	2, -1, 1, 5		1	2
107	106	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
108	107	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
109	108	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
110	109	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
111	110	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
112	111	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
112	111	1/4	1/4	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
113	112	0	0	3/8	1	1		V(64)				V(64)		V			64					M	1, 0, -3		1	1
113	112	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
114	113	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
115	114	0	0	3/8	1	1		V2				V2		V		2						Mm7	-1, 1, 5, 2		1	-1
115	114	1/4	1/4	3/8	1	1		viio6				viio6		vii	o	6						o	-5, -8, -2		-2	-5
116	115	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
117	116	0	0	3/8	1	1		V2				V2		V		2						Mm7	-1, 1, 5, 2		1	-1
117	116	1/4	1/4	3/8	1	1		viio6				viio6		vii	o	6						o	-5, -8, -2		-2	-5
118	117	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
119	118	0	0	3/8	1	1		V2				V2		V		2						Mm7	-1, 1, 5, 2		1	-1
119	118	1/4	1/4	3/8	1	1		viio6				viio6		vii	o	6						o	-5, -8, -2		-2	-5
120	119	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
121	120	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
121	120	1/4	1/4	3/8	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
122	121	0	0	3/8	1	1		IV6				IV6		IV		6						M	3, 0, -1		-1	3
123	122	0	0	3/8	1	1		iv6				iv6		iv		6						m	-4, 0, -1		-1	-4
124	123	0	0	3/8	1	1		V(b64)				V(b64)		V			b64					M	1, 0, -10		1	1
125	124	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
125	124	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
126	125	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
127	126	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
127	126	1/4	1/4	3/8	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
128	127	0	0	3/8	1	1		IV6				IV6		IV		6						M	3, 0, -1		-1	3
129	128	0	0	3/8	1	1		V2/bIII				V2/bIII		V		2		bIII				Mm7	-11, -9, -5, -8		-9	-11
130	129	0	0	3/8	1	1		.bIII6				bIII6		bIII		6						M	-6, -9, -10		-10	-6
131	130	0	0	3/8	1	1		.bVI2				bVI2		bVI		2						Mm7	-13, -11, -7, -10		-11	-13
132	131	0	0	3/8	1	1		.bII6				bII6		bII		6						M	-1, -4, -5		-5	-1
133	132	0	0	3/8	1	1		V2				V2		V		2						Mm7	-1, 1, 5, 2		1	-1
134	133	0	0	3/8	1	1		i6				i6		i		6						m	-3, 1, 0		0	-3
134	133	1/4	1/4	3/8	1	1		i				i		i								m	0, -3, 1		0	0
135	134	0	0	3/8	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
135	134	1/8	1/8	3/8	1	1		vio				vio		vi	o							o	-4, -7, -10		-4	-4
135	134	1/4	1/4	3/8	1	1		iv6				iv6		iv		6						m	-4, 0, -1		-1	-4
135	134	5/16	5/16	3/8	1	1		.It6				It6	It	vii	o	6	b3	V				It	-4, 0, 6		6	-4
136	135	0	0	3/8	1	1		V(64)				V(64)		V			64					M	1, 0, -3		1	1
137	136	0	0	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
138	137	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
139	138	1/8	1/8	3/8	1	1		I				I		I								M	0, 4, 1		0	0
140	139	1/8	1/8	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
142	141	0	0	3/8	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
144	143	0	0	3/8	1	1		IV6				IV6		IV		6						M	3, 0, -1		-1	3
146	145	0	0	3/8	1	1		V65/IV				V65/IV		V		65		IV				Mm7	4, 1, -2, 0		0	4
148	147	0	0	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
149	148	0	0	3/8	1	1		#viio2/vi				#viio2/vi		#vii	o	2		vi				o7	-8, 1, -2, -5		1	-8
150	149	0	0	3/8	1	1		#viio7/V				#viio7/V		#vii	o	7		V				o7	6, 3, 0, -3		6	6
152	151	0	0	2/4	1	1		V(64)				V(64)		V			64					M	1, 0, -3		1	1
153	152	0	0	2/4	1	1		I64				I64		I		64						M	1, 0, 4		0	1
153	152	1/4	1/4	2/4	1	1		I6				I6		I		6						M	4, 1, 0		0	4
153	152	15/32	15/32	2/4	1	1		V64				V64		V		64						M	2, 1, 5		1	2
154	153	0	0	2/4	1	1		I				I		I								M	0, 4, 1		0	0
156	155	0	0	2/4	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
157	156	0	0	2/4	1	1		V7/ii				V7/ii		V		7		ii				Mm7	3, 7, 4, 1		3	3
158	157	0	0	2/4	1	1		V/ii				V/ii		V				ii				M	3, 7, 4		3	3
158	157	1/4	1/4	2/4	1	1		V7/ii				V7/ii		V		7		ii				Mm7	3, 7, 4, 1		3	3
159	158	0	0	2/4	1	1		#i64				#i64		#i		64						m	8, 7, 4		7	8
160	159	0	0	2/4	1	1		vii.#viio2		vii		#viio2		#vii	o	2						o7	-4, 5, 2, -1		5	-4
161	160	0	0	2/4	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
162	161	0	0	3/8	1	1		i				i		i								m	0, -3, 1		0	0
162	161	1/8	1/8	3/8	1	1		i64				i64		i		64						m	1, 0, -3		0	1
163	162	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
163	162	1/8	1/8	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
164	163	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
164	163	1/8	1/8	3/8	1	1		ii43(4)				ii43(4)		ii		43	4					mm7	3, 0, 2, 1		2	3
164	163	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
165	164	0	0	3/8	1	1		i				i		i								m	0, -3, 1		0	0
167	166	0	0	2/4	1	1		i				i		i								m	0, -3, 1		0	0
168	167	0	0	2/4	1	1		VI.V65		VI		V65		V		65						Mm7	5, 2, -1, 1		1	5
168	167	5/16	5/16	2/4	1	1		I				I		I								M	0, 4, 1		0	0
169	168	1/8	1/8	3/8	1	1		I64				I64		I		64						M	1, 0, 4		0	1
170	169	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
170	169	1/8	1/8	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
171	170	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
171	170	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
172	171	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
173	172	0	0	3/8	1	1		V7/IV				V7/IV		V		7		IV				Mm7	0, 4, 1, -2		0	0
174	173	0	0	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
174	173	1/8	1/8	3/8	1	1		I.ii		I		ii		ii								m	2, -1, 3		2	2
175	174	0	0	3/8	1	1		ii2				ii2		ii		2						mm7	0, 2, -1, 3		2	0
176	175	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
178	177	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
178	177	1/8	1/8	3/8	1	1		I64				I64		I		64						M	1, 0, 4		0	1
179	178	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
179	178	1/8	1/8	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
180	179	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
180	179	1/8	1/8	3/8	1	1		V43				V43		V		43						Mm7	2, -1, 1, 5		1	2
180	179	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
181	180	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
181	180	1/4	1/4	3/8	1	1		V65/IV				V65/IV		V		65		IV				Mm7	4, 1, -2, 0		0	4
182	181	0	0	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
182	181	1/8	1/8	3/8	1	1		#viio6/vi				#viio6/vi		#vii	o	6		vi				o	-2, -5, 1		1	-2
182	181	1/4	1/4	3/8	1	1		#viio/ii				#viio/ii		#vii	o			ii				o	7, 4, 1		7	7
183	182	0	0	3/8	1	1		ii				ii		ii								m	2, -1, 3		2	2
183	182	1/8	1/8	3/8	1	1		V6/vi				V6/vi		V		6		vi				M	1, -2, -3		-3	1
183	182	1/4	1/4	3/8	1	1		vi				vi		vi								m	-4, -7, -3		-4	-4
184	183	0	0	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
184	183	1/8	1/8	3/8	1	1		ii				ii		ii								m	2, -1, 3		2	2
184	183	1/4	1/4	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
185	184	0	0	3/8	1	1		V\\				V		V							\\	M	1, 5, 2		1	1
187	186	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
189	188	0	0	3/8	1	1		V43/IV				V43/IV		V		43		IV				Mm7	1, -2, 0, 4		0	1
189	188	1/8	1/8	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
189	188	1/4	1/4	3/8	1	1		V7/IV				V7/IV		V		7		IV				Mm7	0, 4, 1, -2		0	0
190	189	0	0	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
190	189	1/8	1/8	3/8	1	1		#viio6/vi				#viio6/vi		#vii	o	6		vi				o	-2, -5, 1		1	-2
190	189	1/4	1/4	3/8	1	1		#viio/ii				#viio/ii		#vii	o			ii				o	7, 4, 1		7	7
191	190	0	0	3/8	1	1		ii				ii		ii								m	2, -1, 3		2	2
191	190	1/8	1/8	3/8	1	1		V6/vi				V6/vi		V		6		vi				M	1, -2, -3		-3	1
191	190	1/4	1/4	3/8	1	1		vi				vi		vi								m	-4, -7, -3		-4	-4
