mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
19	19	5/8	5/8	6/8	1	1	I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
20	20	0	0	6/8	1	1	I64	0.0575355	-2.81394	dcml	Db	I		I64		I		64				M	0	0	1, 0, 4		0	1
20	20	3/8	3/8	6/8	1	1	V2	-1.07183	-2.87955	dcml	Db	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
20	20	1/2	1/2	6/8	1	1	I6			dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
21	21	0	0	6/8	1	1	I64	-0.146338	-3.08537	dcml	Db	I		I64		I		64				M	0	0	1, 0, 4		0	1
21	21	1/4	1/4	6/8	1	1	V2	-0.146342	-3.08537	dcml	Db	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
21	21	1/2	1/2	6/8	1	1	I64	-0.0975611	-3.08537	dcml	Db	I		I64		I		64				M	0	0	1, 0, 4		0	1
21	21	5/8	5/8	6/8	1	1	I	0.532839	-3.03284	dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
22	22	0	0	6/8	1	1	I6	-0.146342	-3.08537	dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
22	22	3/8	3/8	6/8	1	1	I(2)	-0.146342	-3.08537	dcml	Db	I		I(2)		I			2			M	0	0	2, 4, 1		0	2
22	22	5/8	5/8	6/8	1	1	i	0	-3.08537	dcml	Db	I		i		i						m	0	0	0, -3, 1		0	0
23	23	0	0	6/8	1	1	#vii.i	0.0240932	-2.96154	dcml	Db	#vii		i		i						m	0	1	0, -3, 1		0	0
23	23	3/8	3/8	6/8	1	1	V43			dcml	Db	#vii		V43		V		43				Mm7	0	1	2, -1, 1, 5		1	2
24	24	0	0	6/8	1	1	i			dcml	Db	#vii		i		i						m	0	1	0, -3, 1		0	0
24	24	5/16	5/16	6/8	1	1	V(64)			dcml	Db	#vii		V(64)		V			64			M	0	1	1, 0, -3		1	1
24	24	3/8	3/8	6/8	1	1	V			dcml	Db	#vii		V		V						M	0	1	1, 5, 2		1	1
24	24	9/16	9/16	6/8	1	1	V(9)			dcml	Db	#vii		V(9)		V			9			M	0	1	1, 5, 2	-4	1	1
24	24	5/8	5/8	6/8	1	1	V			dcml	Db	#vii		V		V						M	0	1	1, 5, 2		1	1
24	24	11/16	11/16	6/8	1	1	v			dcml	Db	#vii		v		v						m	0	1	1, -2, 2		1	1
25	25	0	0	6/8	1	1	#II.I			dcml	Db	#II		I		I						M	0	0	0, 4, 1		0	0
25	25	3/8	3/8	6/8	1	1	V43	-0.690718	-2.59867	dcml	Db	#II		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
26	26	0	0	6/8	1	1	I			dcml	Db	#II		I		I						M	0	0	0, 4, 1		0	0
26	26	3/8	3/8	6/8	1	1	V			dcml	Db	#II		V		V						M	0	0	1, 5, 2		1	1
26	26	9/16	9/16	6/8	1	1	V2	-1.06568	-2.58881	dcml	Db	#II		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
26	26	5/8	5/8	6/8	1	1	I6			dcml	Db	#II		I6		I		6				M	0	0	4, 1, 0		0	4
26	26	11/16	11/16	6/8	1	1	V43			dcml	Db	#II		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
27	27	0	0	6/8	1	1	#viio7/ii	-0.592044	-2.5	dcml	Db	#II		#viio7/ii		#vii	o	7		ii		o7	0	0	7, 4, 1, -2		7	7
27	27	3/8	3/8	6/8	1	1	V65/ii	-0.146342	-2.5	dcml	Db	#II		V65/ii		V		65		ii		Mm7	0	0	7, 4, 1, 3		3	7
28	28	0	0	6/8	1	1	#viio7/V			dcml	Db	#II		#viio7/V		#vii	o	7		V		o7	0	0	13, 10, 7, 4		13	13
28	28	11/16	11/16	6/8	1	1	V65/V	-3.46346	-2.41119	dcml	Db	#II		V65/V		V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
29	29	0	0	6/8	1	1	#vii.#viio7	-1.3617	-3.45517	dcml	Db	#vii		#viio7		#vii	o	7				o7	0	1	5, 2, -1, -4		5	5
29	29	5/16	5/16	6/8	1	1	#viio2	0	-4.10807	dcml	Db	#vii		#viio2		#vii	o	2				o7	0	1	-4, 5, 2, -1		5	-4
29	29	11/16	11/16	6/8	1	1	#viio7/V	-2.76425	-4.20519	dcml	Db	#vii		#viio7/V		#vii	o	7		V		o7	0	1	13, 10, 7, 4		13	13
30	30	0	0	6/8	1	1	V(64)	0.700439	-4.20519	dcml	Db	#vii		V(64)		V			64			M	0	1	1, 0, -3		1	1
30	30	5/16	5/16	6/8	1	1	V43	-1.4209	-4.09328	dcml	Db	#vii		V43		V		43				Mm7	0	1	2, -1, 1, 5		1	2
30	30	3/8	3/8	6/8	1	1	i	0.146342	-4.16229	dcml	Db	#vii		i		i						m	0	1	0, -3, 1		0	0
30	30	9/16	9/16	6/8	1	1	iv[iv6	-2.93062	-5.0982	dcml	Db	#vii	iv	iv6		iv		6				m	0	1	-4, 0, -1		-1	-4
30	30	5/8	5/8	6/8	1	1	#viio64/iv	-0.355226	-5.70696	dcml	Db	#vii	iv	#viio64/iv		#vii	o	64		iv		o	0	1	-2, 4, 1		4	-2
30	30	11/16	11/16	6/8	1	1	iv6]	0.26642	-3.94174	dcml	Db	#vii	iv	iv6		iv		6				m	0	1	-4, 0, -1		-1	-4
31	31	0	0	6/8	1	1	V(64)			dcml	Db	#vii		V(64)		V			64			M	0	1	1, 0, -3		1	1
31	31	5/16	5/16	6/8	1	1	V43			dcml	Db	#vii		V43		V		43				Mm7	0	1	2, -1, 1, 5		1	2
31	31	3/8	3/8	6/8	1	1	i			dcml	Db	#vii		i		i						m	0	1	0, -3, 1		0	0
31	31	9/16	9/16	6/8	1	1	I			dcml	Db	#vii		I		I						M	0	1	0, 4, 1		0	0
31	31	5/8	5/8	6/8	1	1	V2/iv	0	-2.64634	dcml	Db	#vii		V2/iv		V		2		iv		Mm7	0	1	-2, 0, 4, 1		0	-2
31	31	11/16	11/16	6/8	1	1	iv			dcml	Db	#vii		iv		iv						m	0	1	-1, -4, 0		-1	-1
32	32	0	0	6/8	1	1	i.V64			dcml	Db	i		V64		V		64				M	0	1	2, 1, 5		1	2
32	32	5/16	5/16	6/8	1	1	V			dcml	Db	i		V		V						M	0	1	1, 5, 2		1	1
32	32	1/2	1/2	6/8	1	1	I.I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
33	33	1/8	1/8	6/8	1	1	V6(+6)	-2.57539	-2.5	dcml	Db	I		V6(+6)		V		6	+6			M	0	0	5, 2, 1	4	1	5
33	33	3/8	3/8	6/8	1	1	V7			dcml	Db	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
33	33	1/2	1/2	6/8	1	1	vi7			dcml	Db	I		vi7		vi		7				mm7	0	0	3, 0, 4, 1		3	3
33	33	5/8	5/8	6/8	1	1	V65			dcml	Db	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
34	34	0	0	6/8	1	1	I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
34	34	1/8	1/8	6/8	1	1	V43	-1.15449	-2.41119	dcml	Db	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
34	34	1/4	1/4	6/8	1	1	vi43	-0.532839	-2.5	dcml	Db	I		vi43		vi		43				mm7	0	0	4, 1, 3, 0		3	4
34	34	3/8	3/8	6/8	1	1	I6			dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
34	34	1/2	1/2	6/8	1	1	V43	-0.532839	-2.5	dcml	Db	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
35	35	0	0	6/8	1	1	I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
35	35	1/8	1/8	6/8	1	1	V6	-1.4209	-2.41119	dcml	Db	I		V6		V		6				M	0	0	5, 2, 1		1	5
35	35	1/4	1/4	6/8	1	1	vi6	-0.621646	-2.5	dcml	Db	I		vi6		vi		6				m	0	0	0, 4, 3		3	0
35	35	3/8	3/8	6/8	1	1	V7(6)	-0.621646	-2.41119	dcml	Db	I		V7(6)		V		7	6			Mm7	0	0	1, 5, 4, -1		1	1
35	35	1/2	1/2	6/8	1	1	V65	-0.26642	-2.32239	dcml	Db	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
36	36	0	0	6/8	1	1	I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
36	36	1/8	1/8	6/8	1	1	V43			dcml	Db	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
36	36	1/4	1/4	6/8	1	1	vi43			dcml	Db	I		vi43		vi		43				mm7	0	0	4, 1, 3, 0		3	4
36	36	3/8	3/8	6/8	1	1	I6			dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
36	36	1/2	1/2	6/8	1	1	V43			dcml	Db	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
36	36	5/8	5/8	6/8	1	1	V6/iii			dcml	Db	I		V6/iii		V		6		iii		M	0	0	9, 6, 5		5	9
37	37	0	0	6/8	1	1	iii			dcml	Db	I		iii		iii						m	0	0	4, 1, 5		4	4
37	37	5/16	5/16	6/8	1	1	V/vi			dcml	Db	I		V/vi		V				vi		M	0	0	4, 8, 5		4	4
37	37	1/2	1/2	6/8	1	1	vi6			dcml	Db	I		vi6		vi		6				m	0	0	0, 4, 3		3	0
37	37	5/8	5/8	6/8	1	1	vi			dcml	Db	I		vi		vi						m	0	0	3, 0, 4		3	3
38	38	1/8	1/8	6/8	1	1	V/ii	-0.146342	-2.79268	dcml	Db	I		V/ii		V				ii		M	0	0	3, 7, 4		3	3
38	38	3/8	3/8	6/8	1	1	ii64	0	-2.93903	dcml	Db	I		ii64		ii		64				m	0	0	3, 2, -1		2	3
38	38	1/2	1/2	6/8	1	1	ii6	0	-2.94403	dcml	Db	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
38	38	5/8	5/8	6/8	1	1	ii	0	-2.93903	dcml	Db	I		ii		ii						m	0	0	2, -1, 3		2	2
39	39	0	0	6/8	1	1	ii6(+4)	0	-3.76382	dcml	Db	I		ii6(+4)		ii		6	+4			m	0	0	-1, 3, 2	1	2	-1
39	39	3/8	3/8	6/8	1	1	I64	0.0986739	-2.62965	dcml	Db	I		I64		I		64				M	0	0	1, 0, 4		0	1
39	39	1/2	1/2	6/8	1	1	I6			dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
39	39	5/8	5/8	6/8	1	1	I	0.0986739	-2.38798	dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
40	40	0	0	6/8	1	1	V(64)	-0.710452	-4.65402	dcml	Db	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
40	40	1/4	1/4	6/8	1	1	V7	-0.559104	-4.88192	dcml	Db	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
40	40	3/8	3/8	6/8	1	1	I\\	-0.177613	-4.74811	dcml	Db	I		I		I					\\	M	0	0	0, 4, 1		0	0
40	40	1/2	1/2	6/8	1	1	I6	0.0888065	-3.9209	dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
40	40	5/8	5/8	6/8	1	1	V2	-0.0312711	-3.71326	dcml	Db	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
41	41	0	0	6/8	1	1	V(64)	-0.0572425	-5.20347	dcml	Db	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
41	41	1/4	1/4	6/8	1	1	V7	0	-4.55813	dcml	Db	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
41	41	3/8	3/8	6/8	1	1	I64	0.0312711	-4.60978	dcml	Db	I		I64		I		64				M	0	0	1, 0, 4		0	1
41	41	1/2	1/2	6/8	1	1	I6	0.0888065	-4.45374	dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
41	41	5/8	5/8	6/8	1	1	V2	0	-4.42371	dcml	Db	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
42	42	0	0	6/8	1	1	V	0	-4.28898	dcml	Db	I		V		V						M	0	0	1, 5, 2		1	1
42	42	1/8	1/8	6/8	1	1	I6	0	-4.48451	dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
42	42	1/4	1/4	6/8	1	1	V43	-0.91433	-4.61672	dcml	Db	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
42	42	3/8	3/8	6/8	1	1	I[I64	0.146342	-4.69678	dcml	Db	I	I	I64		I		64				M	0	0	1, 0, 4		0	1
42	42	1/2	1/2	6/8	1	1	IV6	-0.177613	-4.38839	dcml	Db	I	I	IV6		IV		6				M	0	0	3, 0, -1		-1	3
42	42	5/8	5/8	6/8	1	1	ii64	-0.888065	-4.2511	dcml	Db	I	I	ii64		ii		64				m	0	0	3, 2, -1		2	3
43	43	0	0	6/8	1	1	I]			dcml	Db	I	I	I		I						M	0	0	0, 4, 1		0	0
43	43	3/8	3/8	6/8	1	1	V43	0.0575355	-2.22858	dcml	Db	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
44	44	0	0	6/8	1	1	I	0	-3.81708	dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
44	44	3/8	3/8	6/8	1	1	V65	0	-3.52439	dcml	Db	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
45	45	0	0	6/8	1	1	I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
45	45	3/8	3/8	6/8	1	1	V43			dcml	Db	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
46	46	0	0	6/8	1	1	I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
46	46	3/8	3/8	6/8	1	1	V65			dcml	Db	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
46	46	11/16	11/16	6/8	1	1	vi7			dcml	Db	I		vi7		vi		7				mm7	0	0	3, 0, 4, 1		3	3
47	47	0	0	6/8	1	1	V65/vi	0.26642	-4.77517	dcml	Db	I		V65/vi		V		65		vi		Mm7	0	0	8, 5, 2, 4		4	8
47	47	3/8	3/8	6/8	1	1	V2/ii	0.146342	-3.13289	dcml	Db	I		V2/ii		V		2		ii		Mm7	0	0	1, 3, 7, 4		3	1
48	48	0	0	6/8	1	1	V65/V	0.444033	-4.93661	dcml	Db	I		V65/V		V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
48	48	3/8	3/8	6/8	1	1	V2	0.177613	-3.13289	dcml	Db	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
49	49	3/8	3/8	6/8	1	1	I6			dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
50	50	0	0	6/8	1	1	V(64)	0	-3.7808	dcml	Db	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
50	50	1/4	1/4	6/8	1	1	V7	0	-3.72569	dcml	Db	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
50	50	3/8	3/8	6/8	1	1	I6	-0.0575355	-3.60819	dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
51	51	0	0	6/8	1	1	#viio7/ii	-0.146342	-5.70805	dcml	Db	I		#viio7/ii		#vii	o	7		ii		o7	0	0	7, 4, 1, -2		7	7
51	51	3/8	3/8	6/8	1	1	ii6	-0.229556	-5.82856	dcml	Db	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
51	51	11/16	11/16	6/8	1	1	#viio/V	-2.2018	-8.80149	dcml	Db	I		#viio/V		#vii	o			V		o	0	0	13, 10, 7		13	13
52	52	0	0	6/8	1	1	V(64)	0.229556	-8.77853	dcml	Db	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
52	52	1/4	1/4	6/8	1	1	V7			dcml	Db	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
52	52	3/8	3/8	6/8	1	1	I\\			dcml	Db	I		I		I					\\	M	0	0	0, 4, 1		0	0
52	52	5/8	5/8	6/8	1	1	ii7			dcml	Db	I		ii7		ii		7				mm7	0	0	2, -1, 3, 0		2	2
53	53	0	0	6/8	1	1	I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
53	53	1/4	1/4	6/8	1	1	ii7			dcml	Db	I		ii7		ii		7				mm7	0	0	2, -1, 3, 0		2	2
53	53	7/16	7/16	6/8	1	1	I	0	-4.40245	dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
53	53	11/16	11/16	6/8	1	1	ii7	-0.722926	-4.84387	dcml	Db	I		ii7		ii		7				mm7	0	0	2, -1, 3, 0		2	2
54	54	0	0	6/8	1	1	I	0	-4.68078	dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
54	54	1/2	1/2	6/8	1	1	I\\	-0.114778	-4.32497	dcml	Db	I		I		I					\\	M	0	0	0, 4, 1		0	0
