quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	alt_label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
21	1.5	8	8	0	0	3/4	4	1		1	VI(9)		dcml	a	i		VI(9)		VI			9				M	1	1	-4, 0, -3	-2	-4	-4
45/2	1.5	8	8	3/8	3/8	3/4	4	1		1	VI		dcml	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
24	1.0	9	9	0	0	3/4	4	1		1	V(74)/III		dcml	a	i		V(74)/III		V			74	III			M	1	1	-2, -3, -1	-4	-2	-2
25	2.0	9	9	1/4	1/4	3/4	4	1		1	V(64)/III		dcml	a	i		V(64)/III		V			64	III			M	1	1	-2, -3, 1		-2	-2
27	1.0	10	10	0	0	3/4	4	1		1	V(9)/III		dcml	a	i		V(9)/III		V			9	III			M	1	1	-2, 2, -1	0	-2	-2
28	1.5	10	10	1/4	1/4	3/4	4	1		1	V7/III		dcml	a	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
59/2	3.5	10	10	5/8	5/8	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
33	1.0	12	12	0	0	3/4	4	1		1	V43(42)		dcml	a	i		V43(42)		V		43	42				Mm7	1	1	2, -1, -4, 0		1	2
34	1.0	12	12	1/4	1/4	3/4	4	1		1	V43(4)		dcml	a	i		V43(4)		V		43	4				Mm7	1	1	2, -1, 1, 0		1	2
35	1.0	12	12	1/2	1/2	3/4	4	1		1	V43		dcml	a	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
36	1.0	13	13	0	0	3/4	4	1		1	i(6)		dcml	a	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
37	2.0	13	13	1/4	1/4	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
39	1.0	14	14	0	0	3/4	4	1		1	V6(6)		dcml	a	i		V6(6)		V		6	6				M	1	1	5, -3, 1		1	5
40	2.0	14	14	1/4	1/4	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
42	3.0	15	15	0	0	3/4	4	1		1	V43/VI		dcml	a	i		V43/VI		V		43		VI			Mm7	1	1	-2, -5, -3, 1		-3	-2
45	1.0	16	16	0	0	3/4	4	1		1	VI(b4+2)		dcml	a	i		VI(b4+2)		VI			b4+2				M	1	1	-4, -5, -3	-2	-4	-4
46	2.0	16	16	1/4	1/4	3/4	4	1		1	VI		dcml	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
48	1.0	17	17	0	0	3/4	4	1		1	V(74)/III		dcml	a	i		V(74)/III		V			74	III			M	1	1	-2, -3, -1	-4	-2	-2
49	2.0	17	17	1/4	1/4	3/4	4	1		1	V(64)/III		dcml	a	i		V(64)/III		V			64	III			M	1	1	-2, -3, 1		-2	-2
51	1.0	18	18	0	0	3/4	4	1		1	V(9)/III		dcml	a	i		V(9)/III		V			9	III			M	1	1	-2, 2, -1	0	-2	-2
52	1.5	18	18	1/4	1/4	3/4	4	1		1	V7/III		dcml	a	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
107/2	3.5	18	18	5/8	5/8	3/4	4	1		1	iv		dcml	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
57	1.0	20	20	0	0	3/4	4	1		1	V6(6)/iv		dcml	a	i		V6(6)/iv		V		6	6	iv			M	1	1	4, -4, 0		0	4
58	1.5	20	20	1/4	1/4	3/4	4	1		1	V6/iv		dcml	a	i		V6/iv		V		6		iv			M	1	1	4, 1, 0		0	4
119/2	0.5	20	20	5/8	5/8	3/4	4	1		1	i6		dcml	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
60	1.0	21	21	0	0	3/4	4	1		1	v(4)		dcml	a	i		v(4)		v			4				m	1	1	1, 0, 2		1	1
61	2.0	21	21	1/4	1/4	3/4	4	1		1	v		dcml	a	i		v		v							m	1	1	1, -2, 2		1	1
63	1.0	22	22	0	0	3/4	4	1		1	V6(+2)/V		dcml	a	i		V6(+2)/V		V		6	+2	V			M	1	1	6, 3, 2	4	2	6
64	1.0	22	22	1/4	1/4	3/4	4	1		1	V6/V		dcml	a	i		V6/V		V		6		V			M	1	1	6, 3, 2		2	6
65	1.0	22	22	1/2	1/2	3/4	4	1		1	#viio43		dcml	a	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
66	3.0	23	23	0	0	3/4	4	1		1	i6		dcml	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
69	2.5	24	24	0	0	3/4	4	1		1	V65		dcml	a	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
143/2	0.5	24	24	5/8	5/8	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
72	2.0	25	25	0	0	3/4	4	1		1	V		dcml	a	i		V		V							M	1	1	1, 5, 2		1	1
74	1.0	25	25	1/2	1/2	3/4	4	1		1	V7		dcml	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
75	1.5	26	26	0	0	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
153/2	1.0	26	26	3/8	3/8	3/4	4	1		1	V7/iv		dcml	a	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
155/2	3.5	26	26	5/8	5/8	3/4	4	1		1	iv		dcml	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
81	1.0	28	28	0	0	3/4	4	1		1	V6(6)/iv		dcml	a	i		V6(6)/iv		V		6	6	iv			M	1	1	4, -4, 0		0	4
82	1.5	28	28	1/4	1/4	3/4	4	1		1	V6/iv		dcml	a	i		V6/iv		V		6		iv			M	1	1	4, 1, 0		0	4
167/2	0.5	28	28	5/8	5/8	3/4	4	1		1	i6		dcml	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
84	1.0	29	29	0	0	3/4	4	1		1	v(4)		dcml	a	i		v(4)		v			4				m	1	1	1, 0, 2		1	1
85	2.0	29	29	1/4	1/4	3/4	4	1		1	v		dcml	a	i		v		v							m	1	1	1, -2, 2		1	1
87	1.0	30	30	0	0	3/4	4	1		1	V6(6)/V		dcml	a	i		V6(6)/V		V		6	6	V			M	1	1	6, 5, 2		2	6
88	1.5	30	30	1/4	1/4	3/4	4	1		1	V6/V		dcml	a	i		V6/V		V		6		V			M	1	1	6, 3, 2		2	6
179/2	0.5	30	30	5/8	5/8	3/4	4	1		1	#viio43		dcml	a	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
90	3.0	31	31	0	0	3/4	4	1		1	i6		dcml	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
93	2.0	32	32	0	0	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
95	1.0	32	32	1/2	1/2	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
96	2.0	33	33	0	0	3/4	4	1		1	V		dcml	a	i		V		V							M	1	1	1, 5, 2		1	1
98	1.0	33	33	1/2	1/2	3/4	4	1		1	V7		dcml	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
99	3.0	34	34	0	0	3/4	4	1		1	i\\		dcml	a	i		i		i						\\	m	1	1	0, -3, 1		0	0
102	2.0	35	35	0	0	3/4	4	1		1	i(+6)		dcml	a	i		i(+6)		i			+6				m	1	1	0, -3, 1	-4	0	0
104	1.0	35	35	1/2	1/2	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
105	3.0	36	36	0	0	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
108	2.0	37	37	0	0	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
110	1.0	37	37	1/2	1/2	3/4	4	1		1	V65		dcml	a	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
111	3.0	38	38	0	0	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
114	2.0	39	39	0	0	3/4	4	1		1	i(+6)		dcml	a	i		i(+6)		i			+6				m	1	1	0, -3, 1	-4	0	0
116	1.0	39	39	1/2	1/2	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
117	2.0	40	40	0	0	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
119	1.0	40	40	1/2	1/2	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
120	1.0	41	41	0	0	3/4	4	1		1	iv		dcml	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
121	1.0	41	41	1/4	1/4	3/4	4	1		1	V(64)		dcml	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
122	1.0	41	41	1/2	1/2	3/4	4	1		1	V		dcml	a	i		V		V							M	1	1	1, 5, 2		1	1
123	0.5	42	42	0	0	3/4	4	1		1	i\\		dcml	a	i		i		i						\\	m	1	1	0, -3, 1		0	0
247/2	0.5	42	42	1/8	1/8	3/4	4	1		1	It6		dcml	a	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
124	0.5	42	42	1/4	1/4	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
249/2	0.5	42	42	3/8	3/8	3/4	4	1		1	It6		dcml	a	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
125	0.5	42	42	1/2	1/2	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
251/2	0.5	42	42	5/8	5/8	3/4	4	1		1	i6		dcml	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
126	3.0	43	43	0	0	3/4	4	1		1	VIM7		dcml	a	i		VIM7		VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
129	0.5	44	44	0	0	3/4	4	1		1	V64		dcml	a	i		V64		V		64					M	1	1	2, 1, 5		1	2
259/2	0.5	44	44	1/8	1/8	3/4	4	1		1	It6		dcml	a	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
130	0.5	44	44	1/4	1/4	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
261/2	0.5	44	44	3/8	3/8	3/4	4	1		1	It6		dcml	a	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
131	1.0	44	44	1/2	1/2	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
132	3.0	45	45	0	0	3/4	4	1		1	V		dcml	a	i		V		V							M	1	1	1, 5, 2		1	1
135	0.5	46	46	0	0	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
271/2	0.5	46	46	1/8	1/8	3/4	4	1		1	Ger6		dcml	a	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
136	0.5	46	46	1/4	1/4	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
273/2	0.5	46	46	3/8	3/8	3/4	4	1		1	Ger6		dcml	a	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
137	0.5	46	46	1/2	1/2	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
275/2	0.5	46	46	5/8	5/8	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
138	2.0	47	47	0	0	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
140	0.5	47	47	1/2	1/2	3/4	4	1		1	V65		dcml	a	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
281/2	0.5	47	47	5/8	5/8	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
141	1.0	48	48	0	0	3/4	4	1		1	VII.ii		dcml	a	VII		ii		ii							m	1	0	2, -1, 3		2	2
142	1.0	48	48	1/4	1/4	3/4	4	1		1	V7		dcml	a	VII		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
143	1.0	48	48	1/2	1/2	3/4	4	1		1	I		dcml	a	VII		I		I							M	1	0	0, 4, 1		0	0
144	1.0	49	49	0	0	3/4	4	1		1	IV		dcml	a	VII		IV		IV							M	1	0	-1, 3, 0		-1	-1
145	1.0	49	49	1/4	1/4	3/4	4	1		1	V(64)		dcml	a	VII		V(64)		V			64				M	1	0	1, 0, 4		1	1
146	1.0	49	49	1/2	1/2	3/4	4	1		1	V		dcml	a	VII		V		V							M	1	0	1, 5, 2		1	1
147	1.0	50	50	0	0	3/4	4	1		1	I\\		dcml	a	VII		I		I						\\	M	1	0	0, 4, 1		0	0
148	3.0	50	50	1/4	1/4	3/4	4	1		1	I		dcml	a	VII		I		I							M	1	0	0, 4, 1		0	0
151	2.0	51	51	1/4	1/4	3/4	4	1		1	@none		dcml	a	VII		@none		@none							m	1	0				
153	2.0	52	52	0	0	3/4	4	1		1	I		dcml	a	VII		I		I							M	1	0	0, 4, 1		0	0
155	1.0	52	52	1/2	1/2	3/4	4	1		1	I6		dcml	a	VII		I6		I		6					M	1	0	4, 1, 0		0	4
156	3.0	53	53	0	0	3/4	4	1		1	viio6		dcml	a	VII		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
159	3.0	54	54	0	0	3/4	4	1		1	vi6		dcml	a	VII		vi6		vi		6					m	1	0	0, 4, 3		3	0
162	2.5	55	55	0	0	3/4	4	1		1	V6		dcml	a	VII		V6		V		6					M	1	0	5, 2, 1		1	5
329/2	0.5	55	55	5/8	5/8	3/4	4	1		1	viio64/IV		dcml	a	VII		viio64/IV		vii	o	64		IV			o	1	0	-2, 4, 1		4	-2
165	1.0	56	56	0	0	3/4	4	1		1	IV6		dcml	a	VII		IV6		IV		6					M	1	0	3, 0, -1		-1	3
166	1.0	56	56	1/4	1/4	3/4	4	1		1	vii%2		dcml	a	VII		vii%2		vii	%	2					%7	1	0	3, 5, 2, -1		5	3
167	1.0	56	56	1/2	1/2	3/4	4	1		1	V43		dcml	a	VII		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
168	0.5	57	57	0	0	3/4	4	1		1	ii6		dcml	a	VII		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
337/2	0.5	57	57	1/8	1/8	3/4	4	1		1	viio64		dcml	a	VII		viio64		vii	o	64					o	1	0	-1, 5, 2		5	-1
169	0.5	57	57	1/4	1/4	3/4	4	1		1	I6		dcml	a	VII		I6		I		6					M	1	0	4, 1, 0		0	4
339/2	0.5	57	57	3/8	3/8	3/4	4	1		1	IV		dcml	a	VII		IV		IV							M	1	0	-1, 3, 0		-1	-1
170	1.0	57	57	1/2	1/2	3/4	4	1		1	I		dcml	a	VII		I		I							M	1	0	0, 4, 1		0	0
171	2.0	58	58	0	0	3/4	4	1		1	ii65		dcml	a	VII		ii65		ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
173	1.0	58	58	1/2	1/2	3/4	4	1		1	v.iv65		dcml	a	v		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
174	2.0	59	59	0	0	3/4	4	1		1	V		dcml	a	v		V		V							M	1	1	1, 5, 2		1	1
176	1.0	59	59	1/2	1/2	3/4	4	1		1	i		dcml	a	v		i		i							m	1	1	0, -3, 1		0	0
177	2.0	60	60	0	0	3/4	4	1		1	iv65		dcml	a	v		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
179	1.0	60	60	1/2	1/2	3/4	4	1		1	VI		dcml	a	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
180	2.0	61	61	0	0	3/4	4	1		1	V(6)		dcml	a	v		V(6)		V			6				M	1	1	1, 5, -3		1	1
182	1.0	61	61	1/2	1/2	3/4	4	1		1	VI		dcml	a	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
183	2.0	62	62	0	0	3/4	4	1		1	IV(6)		dcml	a	v		IV(6)		IV			6				M	1	1	-1, 3, 2		-1	-1
185	1.0	62	62	1/2	1/2	3/4	4	1		1	VI		dcml	a	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
186	2.0	63	63	0	0	3/4	4	1		1	VI(4#2)		dcml	a	v		VI(4#2)		VI			4#2				M	1	1	-4, 5, 2, -3		-4	-4
188	3.0	63	63	1/2	1/2	3/4	4	1		1	VI		dcml	a	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
191	3.0	64	64	1/2	1/2	3/4	4	1		1	i64		dcml	a	v		i64		i		64					m	1	1	1, 0, -3		0	1
194	3.0	65	65	1/2	1/2	3/4	4	1		1	iv		dcml	a	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
197	4.0	66	66	1/2	1/2	3/4	4	1		1	i6		dcml	a	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
201	3.0	68	68	0	0	3/4	4	1		1	i6		dcml	a	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
204	2.0	69	69	0	0	3/4	4	1		1	iv		dcml	a	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
206	1.0	69	69	1/2	1/2	3/4	4	1		1	viio7		dcml	a	v		viio7		vii	o	7					o7	1	1	-2, -5, -8, -11		-2	-2
207	3.0	70	70	0	0	3/4	4	1		1	V(64)		dcml	a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
210	1.0	71	71	0	0	3/4	4	1		1	#viio65		dcml	a	v		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
211	1.0	71	71	1/4	1/4	3/4	4	1		1	i6		dcml	a	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
212	3.0	71	71	1/2	1/2	3/4	4	1		1	VI		dcml	a	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
215	3.0	72	72	1/2	1/2	3/4	4	1		1	i64		dcml	a	v		i64		i		64					m	1	1	1, 0, -3		0	1
218	3.0	73	73	1/2	1/2	3/4	4	1		1	iv		dcml	a	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
221	3.0	74	74	1/2	1/2	3/4	4	1		1	i6		dcml	a	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
224	4.0	75	75	1/2	1/2	3/4	4	1		1	III.I		dcml	a	III		I		I							M	1	0	0, 4, 1		0	0
228	3.0	77	77	0	0	3/4	4	1		1	IV		dcml	a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
231	3.0	78	78	0	0	3/4	4	1		1	ii6		dcml	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
234	1.0	79	79	0	0	3/4	4	1		1	viio6		dcml	a	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
235	1.5	79	79	1/4	1/4	3/4	4	1		1	viio		dcml	a	III		viio		vii	o						o	1	0	5, 2, -1		5	5
473/2	0.5	79	79	5/8	5/8	3/4	4	1		1	viio6/V		dcml	a	III		viio6/V		vii	o	6		V			o	1	0	3, 0, 6		6	3
237	3.0	80	80	0	0	3/4	4	1		1	V		dcml	a	III		V		V							M	1	0	1, 5, 2		1	1
240	2.0	81	81	0	0	3/4	4	1		1	I		dcml	a	III		I		I							M	1	0	0, 4, 1		0	0
242	1.0	81	81	1/2	1/2	3/4	4	1		1	iii		dcml	a	III		iii		iii							m	1	0	4, 1, 5		4	4
243	3.0	82	82	0	0	3/4	4	1		1	IV		dcml	a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
246	1.0	83	83	0	0	3/4	4	1		1	i.It6		dcml	a	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
247	1.0	83	83	1/4	1/4	3/4	4	1		1	V		dcml	a	i		V		V							M	1	1	1, 5, 2		1	1
248	1.0	83	83	1/2	1/2	3/4	4	1		1	V7		dcml	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
249	4.0	84	84	0	0	3/4	4	1		1	V(64)		dcml	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
253	1.0	85	85	1/4	1/4	3/4	4	1		1	V		dcml	a	i		V		V							M	1	1	1, 5, 2		1	1
254	1.0	85	85	1/2	1/2	3/4	4	1		1	V2		dcml	a	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
255	1.0	86	86	0	0	3/4	4	1		1	#viio7/ii		dcml	a	i		#viio7/ii		#vii	o	7		ii			o7	1	1	7, 4, 1, -2		7	7
256	1.0	86	86	1/4	1/4	3/4	4	1		1	IV		dcml	a	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
257	1.0	86	86	1/2	1/2	3/4	4	1		1	ii%2/III		dcml	a	i		ii%2/III		ii	%	2		III			%7	1	1	-3, -1, -4, -7		-1	-3
258	1.0	87	87	0	0	3/4	4	1		1	viio7/III		dcml	a	i		viio7/III		vii	o	7		III			o7	1	1	2, -1, -4, -7		2	2
259	1.0	87	87	1/4	1/4	3/4	4	1		1	III		dcml	a	i		III		III							M	1	1	-3, 1, -2		-3	-3
260	1.0	87	87	1/2	1/2	3/4	4	1		1	IIIM2		dcml	a	i		IIIM2		III	M	2					MM7	1	1	2, -3, 1, -2		-3	2
261	1.0	88	88	0	0	3/4	4	1		1	i7		dcml	a	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
262	1.0	88	88	1/4	1/4	3/4	4	1		1	iio		dcml	a	i		iio		ii	o						o	1	1	2, -1, -4		2	2
263	1.0	88	88	1/2	1/2	3/4	4	1		1	ii%2		dcml	a	i		ii%2		ii	%	2					%7	1	1	0, 2, -1, -4		2	0
264	1.0	89	89	0	0	3/4	4	1		1	V65		dcml	a	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
265	1.0	89	89	1/4	1/4	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
266	1.0	89	89	1/2	1/2	3/4	4	1		1	V7		dcml	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
267	1.0	90	90	0	0	3/4	4	1		1	i(6)		dcml	a	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
268	2.0	90	90	1/4	1/4	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
270	1.0	91	91	0	0	3/4	4	1		1	V43(6)		dcml	a	i		V43(6)		V		43	6				Mm7	1	1	-3, -1, 1, 5		1	-3
271	2.0	91	91	1/4	1/4	3/4	4	1		1	V43		dcml	a	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
273	1.0	92	92	0	0	3/4	4	1		1	i(6)		dcml	a	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
274	2.0	92	92	1/4	1/4	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
276	2.0	93	93	0	0	3/4	4	1		1	V43(4)		dcml	a	i		V43(4)		V		43	4				Mm7	1	1	2, -1, 1, 0		1	2
278	1.0	93	93	1/2	1/2	3/4	4	1		1	V43		dcml	a	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
279	1.0	94	94	0	0	3/4	4	1		1	i(6)		dcml	a	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
280	2.0	94	94	1/4	1/4	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
282	1.0	95	95	0	0	3/4	4	1		1	V6(+2)		dcml	a	i		V6(+2)		V		6	+2				M	1	1	5, 2, 1	-4	1	5
283	2.0	95	95	1/4	1/4	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
285	1.0	96	96	0	0	3/4	4	1		1	V64(+4)/VI		dcml	a	i		V64(+4)/VI		V		64	+4	VI			M	1	1	-2, -3, 1	-4	-3	-2
286	2.0	96	96	1/4	1/4	3/4	4	1		1	V43/VI		dcml	a	i		V43/VI		V		43		VI			Mm7	1	1	-2, -5, -3, 1		-3	-2
288	1.5	97	97	0	0	3/4	4	1		1	VI(9)		dcml	a	i		VI(9)		VI			9				M	1	1	-4, 0, -3	-2	-4	-4
579/2	1.5	97	97	3/8	3/8	3/4	4	1		1	VI		dcml	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
291	1.0	98	98	0	0	3/4	4	1		1	V(74)/III		dcml	a	i		V(74)/III		V			74	III			M	1	1	-2, -3, -1	-4	-2	-2
292	2.0	98	98	1/4	1/4	3/4	4	1		1	V(64)/III		dcml	a	i		V(64)/III		V			64	III			M	1	1	-2, -3, 1		-2	-2
294	1.0	99	99	0	0	3/4	4	1		1	V(9)/III		dcml	a	i		V(9)/III		V			9	III			M	1	1	-2, 2, -1	0	-2	-2
295	1.5	99	99	1/4	1/4	3/4	4	1		1	V7/III		dcml	a	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
593/2	3.5	99	99	5/8	5/8	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
300	2.0	101	101	0	0	3/4	4	1		1	V43(4)		dcml	a	i		V43(4)		V		43	4				Mm7	1	1	2, -1, 1, 0		1	2
302	1.0	101	101	1/2	1/2	3/4	4	1		1	V43		dcml	a	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
303	3.0	102	102	0	0	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
