mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
119	119	3/4	3/4	4/4	1	1	vi				dcml	F	IV		vi		vi						m	0	0	3, 0, 4		3	3
122	122	0	0	4/4	1	1	V43/V				dcml	F	IV		V43/V		V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
123	123	0	0	4/4	1	1	V2/V		0	-3	dcml	F	IV		V2/V		V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
124	124	0	0	4/4	1	1	viio/V		0	-5	dcml	F	IV		viio/V		vii	o			V		o	0	0	6, 3, 0		6	6
125	125	0	0	4/4	1	1	vi.V6		-2.04879	-5	dcml	F	vi		V6		V		6				M	0	1	5, 2, 1		1	5
125	125	1/8	1/8	4/4	1	1	VI6		0	-5	dcml	F	vi		VI6		VI		6				M	0	1	0, -3, -4		-4	0
125	125	1/4	1/4	4/4	1	1	iv6		0	-5	dcml	F	vi		iv6		iv		6				m	0	1	-4, 0, -1		-1	-4
125	125	3/8	3/8	4/4	1	1	III6		0	-5	dcml	F	vi		III6		III		6				M	0	1	1, -2, -3		-3	1
125	125	1/2	1/2	4/4	1	1	#viio6/III		0.146342	-5	dcml	F	vi		#viio6/III		#vii	o	6		III		o	0	1	6, 3, 9		9	6
126	126	0	0	4/4	1	1	#viio43		-0.292684	-5	dcml	F	vi		#viio43		#vii	o	43				o7	0	1	-1, -4, 5, 2		5	-1
127	127	0	0	4/4	1	1	#viio7		-8.388e-8	-5	dcml	F	vi		#viio7		#vii	o	7				o7	0	1	5, 2, -1, -4		5	5
128	128	0	0	4/4	1	1	#viio7				dcml	F	vi		#viio7		#vii	o	7				o7	0	1	5, 2, -1, -4		5	5
128	128	1/2	1/2	4/4	1	1	#viio43				dcml	F	vi		#viio43		#vii	o	43				o7	0	1	-1, -4, 5, 2		5	-1
129	129	0	0	4/4	1	1	#viio7				dcml	F	vi		#viio7		#vii	o	7				o7	0	1	5, 2, -1, -4		5	5
129	129	1/2	1/2	4/4	1	1	#viio43		-0.690718	-3.48674	dcml	F	vi		#viio43		#vii	o	43				o7	0	1	-1, -4, 5, 2		5	-1
129	129	3/4	3/4	4/4	1	1	V65		-0.748399	-3.32371	dcml	F	vi		V65		V		65				Mm7	0	1	5, 2, -1, 1		1	5
130	130	0	0	4/4	1	1	i6		-1.5	-3.67074	dcml	F	vi		i6		i		6				m	0	1	-3, 1, 0		0	-3
131	131	0	0	4/4	1	1	i				dcml	F	vi		i		i						m	0	1	0, -3, 1		0	0
133	133	0	0	4/4	1	1	ii.#viio43		-1.17074	-3.67074	dcml	F	ii		#viio43		#vii	o	43				o7	0	1	-1, -4, 5, 2		5	-1
133	133	1/2	1/2	4/4	1	1	#viio7		-0.0986739	-3.78276	dcml	F	ii		#viio7		#vii	o	7				o7	0	1	5, 2, -1, -4		5	5
134	134	0	0	4/4	1	1	#viio43		0	-4.86817	dcml	F	ii		#viio43		#vii	o	43				o7	0	1	-1, -4, 5, 2		5	-1
135	135	0	0	4/4	1	1	#viio7/vi		-0.585368	-2.64634	dcml	F	ii		#viio7/vi		#vii	o	7		vi		o7	0	1	1, -2, -5, -8		1	1
136	136	0	0	4/4	1	1	#viio43/vi				dcml	F	ii		#viio43/vi		#vii	o	43		vi		o7	0	1	-5, -8, 1, -2		1	-5
137	137	3/4	3/4	4/4	1	1	V2/vi		0.146342	-4.84147	dcml	F	ii		V2/vi		V		2		vi		Mm7	0	1	-5, -3, 1, -2		-3	-5
138	138	0	0	4/4	1	1	i6		0.0625422	-4.82812	dcml	F	ii		i6		i		6				m	0	1	-3, 1, 0		0	-3
139	139	0	0	4/4	1	1	i				dcml	F	ii		i		i						m	0	1	0, -3, 1		0	0
140	140	0	0	4/4	1	1	VI		0	-5.71952	dcml	F	ii		VI		VI						M	0	1	-4, 0, -3		-4	-4
143	143	0	0	4/4	1	1	VI64		0.146342	-4.69513	dcml	F	ii		VI64		VI		64				M	0	1	-3, -4, 0		-4	-3
144	144	0	0	4/4	1	1	I.#viio/vi		0	-4.69513	dcml	F	I		#viio/vi		#vii	o			vi		o	0	0	8, 5, 2		8	8
145	145	0	0	4/4	1	1	#viio7/iii		-0.292684	-4.64594	dcml	F	I		#viio7/iii		#vii	o	7		iii		o7	0	0	9, 6, 3, 0		9	9
146	146	0	0	4/4	1	1	#viio/vi		-0.146342	-4.54879	dcml	F	I		#viio/vi		#vii	o			vi		o	0	0	8, 5, 2		8	8
147	147	0	0	4/4	1	1	#viio2/iii		0	-4.07878	dcml	F	I		#viio2/iii		#vii	o	2		iii		o7	0	0	0, 9, 6, 3		9	0
148	148	0	0	4/4	1	1	#iv		-0.292684	-4.10976	dcml	F	I		#iv		#iv						m	0	0	6, 3, 7		6	6
149	149	0	0	4/4	1	1	vo64		-0.439026	-3.67074	dcml	F	I		vo64		v	o	64				o	0	0	-5, 1, -2		1	-5
150	150	0	0	4/4	1	1	I		-0.5	-3.71173	dcml	F	I		I		I						M	0	0	0, 4, 1		0	0
151	151	0	0	4/4	1	1	iv		0.0442999	-2.60875	dcml	F	I		iv		iv						m	0	0	-1, -4, 0		-1	-1
151	151	1/2	1/2	4/4	1	1	iv64				dcml	F	I		iv64		iv		64				m	0	0	0, -1, -4		-1	0
152	152	0	0	4/4	1	1	V6				dcml	F	I		V6		V		6				M	0	0	5, 2, 1		1	5
158	158	0	0	4/4	1	1	i.i		0	-3.5	dcml	F	i		i		i						m	0	1	0, -3, 1		0	0
160	160	0	0	4/4	1	1	VI6		0	-3.5	dcml	F	i		VI6		VI		6				M	0	1	0, -3, -4		-4	0
162	162	0	0	4/4	1	1	.bII		0.0201171	-3.85732	dcml	F	i		bII		bII						M	0	1	-5, -1, -4		-5	-5
163	163	1/2	1/2	4/4	1	1	.bvii6		-0.146342	-4.39021	dcml	F	i		bvii6		bvii		6				m	0	1	-12, -8, -9		-9	-12
164	164	0	0	4/4	1	1	III		0	-3.67074	dcml	F	i		III		III						M	0	1	-3, 1, -2		-3	-3
165	165	1/2	1/2	4/4	1	1	i6		0	-3.67074	dcml	F	i		i6		i		6				m	0	1	-3, 1, 0		0	-3
166	166	0	0	4/4	1	1	iv		0.153048	-4.03048	dcml	F	i		iv		iv						m	0	1	-1, -4, 0		-1	-1
166	166	1/2	1/2	4/4	1	1	.bII6		-0.146342	-3.81708	dcml	F	i		bII6		bII		6				M	0	1	-1, -4, -5		-5	-1
167	167	0	0	4/4	1	1	v		0	-4.94876	dcml	F	i		v		v						m	0	1	1, -2, 2		1	1
167	167	1/2	1/2	4/4	1	1	III6		0.146342	-3.37805	dcml	F	i		III6		III		6				M	0	1	1, -2, -3		-3	1
168	168	0	0	4/4	1	1	.bVI.V6		-0.639012	-2.78598	dcml	F	bVI		V6		V		6				M	0	0	5, 2, 1		1	5
169	169	0	0	4/4	1	1	V65				dcml	F	bVI		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
170	170	0	0	4/4	1	1	I				dcml	F	bVI		I		I						M	0	0	0, 4, 1		0	0
171	171	0	0	4/4	1	1	V65				dcml	F	bVI		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
172	172	0	0	4/4	1	1	I				dcml	F	bVI		I		I						M	0	0	0, 4, 1		0	0
173	173	0	0	4/4	1	1	ii6		-0.153048	-4.03048	dcml	F	bVI		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
174	174	1/8	1/8	4/4	1	1	V(64)		-1.31708	-6.45123	dcml	F	bVI		V(64)		V			64			M	0	0	1, 0, 4		1	1
175	175	0	0	4/4	1	1	V43		4.194e-8	-6.30489	dcml	F	bVI		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
175	175	3/4	3/4	4/4	1	1	V2		0.153048	-4.66278	dcml	F	bVI		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
176	176	0	0	4/4	1	1	I6		0.146342	-4.40245	dcml	F	bVI		I6		I		6				M	0	0	4, 1, 0		0	4
177	177	0	0	4/4	1	1	IV(9)				dcml	F	bVI		IV(9)		IV			9			M	0	0	-1, 3, 0	1	-1	-1
