mc	mn	quarterbeats	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
22	22	120	0	1	12/8	4	1	V6	Ab	I		V6		V		6					M	0	0	5, 2, 1		1	5
22	22	241/2	1/8	9/8	12/8	4	1	V	Ab	I		V		V							M	0	0	1, 5, 2		1	1
22	22	487/4	7/16	23/16	12/8	4	1	V65	Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
23	23	123	1/4	1/4	12/8	4	1	vi6	Ab	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
23	23	247/2	3/8	3/8	12/8	4	1	vi6(+7)	Ab	I		vi6(+7)		vi		6	+7				m	0	0	0, 4, 3	1	3	0
23	23	249/2	5/8	5/8	12/8	4	1	vi6	Ab	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
23	23	125	3/4	3/4	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	23	253/2	9/8	9/8	12/8	4	1	V7(+2)/ii	Ab	I		V7(+2)/ii		V		7	+2	ii			Mm7	0	0	3, 7, 4, 1	-2	3	3
24	24	128	0	0	12/8	4	1	V6/ii	Ab	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7
24	24	257/2	1/8	1/8	12/8	4	1	V7/ii	Ab	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
24	24	129	1/4	1/4	12/8	4	1	ii	Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
24	24	130	1/2	1/2	12/8	4	1	V/V	Ab	I		V/V		V				V			M	0	0	2, 6, 3		2	2
24	24	261/2	5/8	5/8	12/8	4	1	V65/V	Ab	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
24	24	132	1	1	12/8	4	1	V	Ab	I		V		V							M	0	0	1, 5, 2		1	1
24	24	267/2	11/8	11/8	12/8	4	1	viio	Ab	I		viio		vii	o						o	0	0	5, 2, -1		5	5
25	25	134	0	0	12/8	4	1	V6/vi	Ab	I		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
25	25	269/2	1/8	1/8	12/8	4	1	vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
25	25	273/2	5/8	5/8	12/8	4	1	vii%7	Ab	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
25	25	138	1	1	12/8	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
25	25	277/2	9/8	9/8	12/8	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
25	25	279/2	11/8	11/8	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
26	26	140	0	0	12/8	4	1	I64	Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
26	26	143	3/4	3/4	12/8	4	1	V6(4)	Ab	I		V6(4)		V		6	4				M	0	0	0, 2, 1		1	0
26	26	287/2	7/8	7/8	12/8	4	1	V6	Ab	I		V6		V		6					M	0	0	5, 2, 1		1	5
26	26	144	1	1	12/8	4	1	V	Ab	I		V		V							M	0	0	1, 5, 2		1	1
26	26	289/2	9/8	9/8	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
27	27	295/2	3/8	3/8	12/8	4	1	V2	Ab	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
27	27	297/2	5/8	5/8	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
27	27	149	3/4	3/4	12/8	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
27	27	301/2	9/8	9/8	12/8	4	1	viio6	Ab	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
27	27	303/2	11/8	11/8	12/8	4	1	vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
28	28	307/2	3/8	3/8	12/8	4	1	#viio7/ii	Ab	I		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
28	28	154	1/2	1/2	12/8	4	1	ii	Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
28	28	155	3/4	3/4	12/8	4	1	ii64	Ab	I		ii64		ii		64					m	0	0	3, 2, -1		2	3
28	28	156	1	1	12/8	4	1	ii	Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
28	28	313/2	9/8	9/8	12/8	4	1	V7(94)/vi	Ab	I		V7(94)/vi		V		7	94	vi			Mm7	0	0	4, 3, 5, 2	-1	4	4
28	28	629/4	21/16	21/16	12/8	4	1	V7(9)/vi	Ab	I		V7(9)/vi		V		7	9	vi			Mm7	0	0	4, 8, 5, 2	-1	4	4
29	29	158	0	0	12/8	4	1	V65(9)/vi	Ab	I		V65(9)/vi		V		65	9	vi			Mm7	0	0	8, 5, 2, 4	-1	4	8
29	29	637/4	5/16	5/16	12/8	4	1	vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
29	29	321/2	5/8	5/8	12/8	4	1	vi6	Ab	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
29	29	162	1	1	12/8	4	1	#viio7/ii	Ab	I		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
29	29	327/2	11/8	11/8	12/8	4	1	V7/V	Ab	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
29	29	655/4	23/16	23/16	12/8	4	1	V[#viio2/V	Ab	I	V	#viio2/V		#vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
30	30	167	3/4	3/4	12/8	4	1	V7]	Ab	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	30	337/2	9/8	9/8	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	30	339/2	11/8	11/8	12/8	4	1	V6(2)	Ab	I		V6(2)		V		6	2				M	0	0	5, 2, 3		1	5
31	31	170	0	0	12/8	4	1	#viio/ii	Ab	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
31	31	171	1/4	1/4	12/8	4	1	ii(11)	Ab	I		ii(11)		ii			11				m	0	0	2, -1, 3	1	2	2
31	31	343/2	3/8	3/8	12/8	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
31	31	345/2	5/8	5/8	12/8	4	1	vi6	Ab	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
31	31	173	3/4	3/4	12/8	4	1	vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
31	31	347/2	7/8	7/8	12/8	4	1	ii43	Ab	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
31	31	174	1	1	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	351/2	11/8	11/8	12/8	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
32	32	176	0	0	12/8	4	1	V+6	Ab	I		V+6		V	+	6					+	0	0	5, 9, 1		1	5
32	32	177	1/4	1/4	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
32	32	178	1/2	1/2	12/8	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
32	32	357/2	5/8	5/8	12/8	4	1	ii	Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
32	32	179	3/4	3/4	12/8	4	1	iio6	Ab	I		iio6		ii	o	6					o	0	0	-1, -4, 2		2	-1
32	32	359/2	7/8	7/8	12/8	4	1	bII6	Ab	I		bII6		bII		6					M	0	0	-1, -4, -5		-5	-1
32	32	180	1	1	12/8	4	1	V7/IV	Ab	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
33	33	182	0	0	12/8	4	1	iiio7	Ab	I		iiio7		iii	o	7					o7	0	0	4, 1, -2, -5		4	4
33	33	365/2	1/8	1/8	12/8	4	1	IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
33	33	733/4	5/16	5/16	12/8	4	1	V43/IV	Ab	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
33	33	184	1/2	1/2	12/8	4	1	#ivo2	Ab	I		#ivo2		#iv	o	2					o7	0	0	-3, 6, 3, 0		6	-3
33	33	185	3/4	3/4	12/8	4	1	viio2	Ab	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
33	33	371/2	7/8	7/8	12/8	4	1	I64	Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
33	33	373/2	9/8	9/8	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
33	33	187	5/4	5/4	12/8	4	1	V6/V	Ab	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
33	33	751/4	23/16	23/16	12/8	4	1	viio65/iii	Ab	I		viio65/iii		vii	o	65		iii			o7	0	0	-1, -4, -7, 2		2	-1
34	34	188	0	0	12/8	4	1	vi64	Ab	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
34	34	189	1/4	1/4	12/8	4	1	vii%7/V	Ab	I		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
34	34	379/2	3/8	3/8	12/8	4	1	V(64)	Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
34	34	190	1/2	1/2	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	34	383/2	7/8	7/8	12/8	4	1	I\\	Ab	I		I		I						\\	M	0	0	0, 4, 1		0	0
34	34	192	1	1	12/8	4	1	vi6	Ab	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
34	34	769/4	17/16	17/16	12/8	4	1	#viio/ii	Ab	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
34	34	193	5/4	5/4	12/8	4	1	ii	Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
34	34	773/4	21/16	21/16	12/8	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
34	34	387/2	11/8	11/8	12/8	4	1	V65	Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
35	35	194	0	0	12/8	4	1	V(#42)	Ab	I		V(#42)		V			#42				M	0	0	3, 5, 7		1	3
35	35	195	1/4	1/4	12/8	4	1	V	Ab	I		V		V							M	0	0	1, 5, 2		1	1
35	35	391/2	3/8	3/8	12/8	4	1	viio43	Ab	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
35	35	393/2	5/8	5/8	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
35	35	197	3/4	3/4	12/8	4	1	I(6)	Ab	I		I(6)		I			6				M	0	0	0, 4, 3		0	0
35	35	395/2	7/8	7/8	12/8	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
35	35	198	1	1	12/8	4	1	V65	Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
35	35	799/4	23/16	23/16	12/8	4	1	viio2	Ab	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
36	36	200	0	0	12/8	4	1	I6(4)	Ab	I		I6(4)		I		6	4				M	0	0	-1, 1, 0		0	-1
36	36	201	1/4	1/4	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
36	36	403/2	3/8	3/8	12/8	4	1	I64	Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
36	36	203	3/4	3/4	12/8	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
36	36	204	1	1	12/8	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
36	36	409/2	9/8	9/8	12/8	4	1	V2/IV	Ab	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
36	36	411/2	11/8	11/8	12/8	4	1	ii64	Ab	I		ii64		ii		64					m	0	0	3, 2, -1		2	3
36	36	823/4	23/16	23/16	12/8	4	1	iiio64	Ab	I		iiio64		iii	o	64					o	0	0	-2, 4, 1		4	-2
37	37	206	0	0	12/8	4	1	V43/IV	Ab	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
37	37	413/2	1/8	1/8	12/8	4	1	IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
37	37	829/4	5/16	5/16	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
37	37	208	1/2	1/2	12/8	4	1	V7/V	Ab	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
37	37	835/4	11/16	11/16	12/8	4	1	viio2	Ab	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
37	37	419/2	7/8	7/8	12/8	4	1	I64	Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
37	37	211	5/4	5/4	12/8	4	1	ii65	Ab	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
37	37	847/4	23/16	23/16	12/8	4	1	vi.Ger6	Ab	vi		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	-4, 0, -3, 6		6	-4
38	38	425/2	1/8	1/8	12/8	4	1	V(64)	Ab	vi		V(64)		V			64				M	0	1	1, 0, -3		1	1
38	38	213	1/4	1/4	12/8	4	1	VI	Ab	vi		VI		VI							M	0	1	-4, 0, -3		-4	-4
38	38	214	1/2	1/2	12/8	4	1	I.V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
38	38	215	3/4	3/4	12/8	4	1	V(64)	Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
38	38	433/2	9/8	9/8	12/8	4	1	#io64	Ab	I		#io64		#i	o	64					o	0	0	1, 7, 4		7	1
38	38	217	5/4	5/4	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	39	218	0	0	12/8	4	1	iiio	Ab	I		iiio		iii	o						o	0	0	4, 1, -2		4	4
39	39	439/2	3/8	3/8	12/8	4	1	IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
39	39	441/2	5/8	5/8	12/8	4	1	iv	Ab	I		iv		iv							m	0	0	-1, -4, 0		-1	-1
39	39	221	3/4	3/4	12/8	4	1	V(64)	Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
39	39	445/2	9/8	9/8	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	39	895/4	23/16	23/16	12/8	4	1	#viio7/vi	Ab	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
40	40	224	0	0	12/8	4	1	V43/V	Ab	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
40	40	451/2	3/8	3/8	12/8	4	1	V65	Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
40	40	227	3/4	3/4	12/8	4	1	I\\	Ab	I		I		I						\\	M	0	0	0, 4, 1		0	0
41	41	455/2	0	5/8	4/4	4	1	V	Ab	I		V		V							M	0	0	1, 5, 2		1	1
41	41	228	1/8	3/4	4/4	4	1	V2	Ab	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
42	42	229	0	0	4/4	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
42	42	230	1/4	1/4	4/4	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
43	43	233	0	0	4/4	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
44	44	237	0	0	4/4	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
44	44	238	1/4	1/4	4/4	4	1	IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
44	44	239	1/2	1/2	4/4	4	1	IV6	Ab	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
44	44	479/2	5/8	5/8	4/4	4	1	V65	Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
44	44	240	3/4	3/4	4/4	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
44	44	963/4	15/16	15/16	4/4	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
45	45	241	0	0	4/4	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
45	45	242	1/4	1/4	4/4	4	1	I64	Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
45	45	243	1/2	1/2	4/4	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	46	245	0	0	4/4	4	1	I64	Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
46	46	246	1/4	1/4	4/4	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
46	46	497/2	7/8	7/8	4/4	4	1	i6	Ab	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
47	47	249	0	0	4/4	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
47	47	250	1/4	1/4	4/4	4	1	V2	Ab	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
47	47	501/2	3/8	3/8	4/4	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
47	47	503/2	5/8	5/8	4/4	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
47	47	252	3/4	3/4	4/4	4	1	V2	Ab	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
47	47	505/2	7/8	7/8	4/4	4	1	V65	Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
48	48	253	0	0	4/4	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
48	48	507/2	1/8	1/8	4/4	4	1	V65/vi	Ab	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
48	48	254	1/4	1/4	4/4	4	1	vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
48	48	509/2	3/8	3/8	4/4	4	1	V.V6/V	Ab	V		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
48	48	255	1/2	1/2	4/4	4	1	V(64)	Ab	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
