mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
24	24	69/2	0.5	0	0	3/8	4	1	ii6	Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
24	24	35	0.5	1/8	1/8	3/8	4	1	V(64)	Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
24	24	71/2	0.5	1/4	1/4	3/8	4	1	V2	Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
25	25	36	0.5	0	0	3/8	4	1	I6	Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
25	25	73/2	0.5	1/8	1/8	3/8	4	1	viio6	Bb	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
25	25	37	0.5	1/4	1/4	3/8	4	1	I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
26	26	75/2	0.5	0	0	3/8	4	1	ii6	Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
26	26	38	0.5	1/8	1/8	3/8	4	1	V(64)	Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
26	26	77/2	0.5	1/4	1/4	3/8	4	1	viio64	Bb	I		viio64	vii	o	64						o	0	0	-1, 5, 2		5	-1
27	27	39	0.5	0	0	3/8	4	1	I6	Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
27	27	79/2	1.5	1/8	1/8	3/8	4	1	ii6	Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
28	28	41	1.0	1/8	1/8	3/8	4	1	V7	Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
29	29	42	0.5	0	0	3/8	4	1	I\\	Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
29	29	85/2	5.5	1/8	1/8	3/8	4	1	I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
33	33	48	3.0	0	0	3/8	4	1	V43/vi	Bb	I		V43/vi	V		43		vi				Mm7	0	0	5, 2, 4, 8		4	5
35	35	51	1.5	0	0	3/8	4	1	vi	Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
36	36	105/2	3.0	0	0	3/8	4	1	viio43/iii	Bb	I		viio43/iii	vii	o	43		iii				o7	0	0	-4, -7, 2, -1		2	-4
38	38	111/2	1.5	0	0	3/8	4	1	V/iii	Bb	I		V/iii	V				iii				M	0	0	5, 9, 6		5	5
39	39	57	1.5	0	0	3/8	4	1	iii.i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
40	40	117/2	1.5	0	0	3/8	4	1	V43	Bb	iii		V43	V		43						Mm7	0	1	2, -1, 1, 5		1	2
41	41	60	1.5	0	0	3/8	4	1	i6	Bb	iii		i6	i		6						m	0	1	-3, 1, 0		0	-3
42	42	123/2	1.0	0	0	3/8	4	1	iio6	Bb	iii		iio6	ii	o	6						o	0	1	-1, -4, 2		2	-1
42	42	125/2	0.5	1/4	1/4	3/8	4	1	V6/V	Bb	iii		V6/V	V		6		V				M	0	1	6, 3, 2		2	6
43	43	63	0.25	0	0	3/8	4	1	V(4)	Bb	iii		V(4)	V			4					M	0	1	1, 0, 2		1	1
43	43	253/4	1.0	1/16	1/16	3/8	4	1	V	Bb	iii		V	V								M	0	1	1, 5, 2		1	1
43	43	257/4	0.25	5/16	5/16	3/8	4	1	VI6	Bb	iii		VI6	VI		6						M	0	1	0, -3, -4		-4	0
44	44	129/2	1.25	0	0	3/8	4	1	V6	Bb	iii		V6	V		6						M	0	1	5, 2, 1		1	5
44	44	263/4	0.25	5/16	5/16	3/8	4	1	iv6	Bb	iii		iv6	iv		6						m	0	1	-4, 0, -1		-1	-4
45	45	66	1.5	0	0	3/8	4	1	V	Bb	iii		V	V								M	0	1	1, 5, 2		1	1
46	46	135/2	1.0	0	0	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
46	46	137/2	0.5	1/4	1/4	3/8	4	1	#viio6/VII	Bb	iii		#viio6/VII	#vii	o	6		VII				o	0	1	0, -3, 3		3	0
47	47	69	1.5	0	0	3/8	4	1	V7/III	Bb	iii		V7/III	V		7		III				Mm7	0	1	-2, 2, -1, -4		-2	-2
48	48	141/2	1.0	0	0	3/8	4	1	III	Bb	iii		III	III								M	0	1	-3, 1, -2		-3	-3
48	48	143/2	0.25	1/4	1/4	3/8	4	1	i6	Bb	iii		i6	i		6						m	0	1	-3, 1, 0		0	-3
48	48	287/4	0.25	5/16	5/16	3/8	4	1	iv	Bb	iii		iv	iv								m	0	1	-1, -4, 0		-1	-1
49	49	72	1.5	0	0	3/8	4	1	V\\	Bb	iii		V	V							\\	M	0	1	1, 5, 2		1	1
50	50	147/2	1.0	0	0	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
50	50	149/2	0.5	1/4	1/4	3/8	4	1	#viio6/VII	Bb	iii		#viio6/VII	#vii	o	6		VII				o	0	1	0, -3, 3		3	0
51	51	75	0.75	0	0	3/8	4	1	V7/III	Bb	iii		V7/III	V		7		III				Mm7	0	1	-2, 2, -1, -4		-2	-2
51	51	303/4	0.25	3/16	3/16	3/8	4	1	V2/III	Bb	iii		V2/III	V		2		III				Mm7	0	1	-4, -2, 2, -1		-2	-4
51	51	76	0.25	1/4	1/4	3/8	4	1	III6	Bb	iii		III6	III		6						M	0	1	1, -2, -3		-3	1
51	51	305/4	0.25	5/16	5/16	3/8	4	1	V43/III	Bb	iii		V43/III	V		43		III				Mm7	0	1	-1, -4, -2, 2		-2	-1
52	52	153/2	0.75	0	0	3/8	4	1	III	Bb	iii		III	III								M	0	1	-3, 1, -2		-3	-3
52	52	309/4	0.25	3/16	3/16	3/8	4	1	V(6)	Bb	iii		V(6)	V			6					M	0	1	1, 5, -3		1	1
52	52	155/2	0.25	1/4	1/4	3/8	4	1	i6	Bb	iii		i6	i		6						m	0	1	-3, 1, 0		0	-3
52	52	311/4	0.25	5/16	5/16	3/8	4	1	iv	Bb	iii		iv	iv								m	0	1	-1, -4, 0		-1	-1
53	53	78	1.5	0	0	3/8	4	1	V	Bb	iii		V	V								M	0	1	1, 5, 2		1	1
54	54	159/2	0.25	0	0	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
54	54	319/4	0.25	1/16	1/16	3/8	4	1	V	Bb	iii		V	V								M	0	1	1, 5, 2		1	1
54	54	80	1.5	1/8	1/8	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
55	55	163/2	0.25	1/8	1/8	3/8	4	1	V	Bb	iii		V	V								M	0	1	1, 5, 2		1	1
55	55	327/4	0.25	3/16	3/16	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
55	55	82	1.0	1/4	1/4	3/8	4	1	V	Bb	iii		V	V								M	0	1	1, 5, 2		1	1
56	56	83	0.25	1/8	1/8	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
56	56	333/4	0.25	3/16	3/16	3/8	4	1	V7	Bb	iii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
56	56	167/2	1.0	1/4	1/4	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
57	57	169/2	0.25	1/8	1/8	3/8	4	1	V7	Bb	iii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
57	57	339/4	0.25	3/16	3/16	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
57	57	85	0.5	1/4	1/4	3/8	4	1	V	Bb	iii		V	V								M	0	1	1, 5, 2		1	1
58	58	171/2	0.5	0	0	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
58	58	86	1.5	1/8	1/8	3/8	4	1	bII	Bb	iii		bII	bII								M	0	1	-5, -1, -4		-5	-5
59	59	175/2	0.5	1/8	1/8	3/8	4	1	V7	Bb	iii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
59	59	88	0.875	1/4	1/4	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
60	60	711/8	1.625	3/32	3/32	3/8	4	1	bII	Bb	iii		bII	bII								M	0	1	-5, -1, -4		-5	-5
61	61	181/2	0.5	1/8	1/8	3/8	4	1	V7	Bb	iii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
61	61	91	5.0	1/4	1/4	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
65	65	96	1.5	0	0	3/8	4	1	i\\	Bb	iii		i	i							\\	m	0	1	0, -3, 1		0	0
66	66	195/2	1.5	0	0	3/8	4	1	vii	Bb	iii		vii	vii								m	0	1	-2, -5, -1		-2	-2
67	67	99	1.0	0	0	3/8	4	1	biv	Bb	iii		biv	biv								m	0	1	-8, -11, -7		-8	-8
67	67	100	0.5	1/4	1/4	3/8	4	1	V/VI	Bb	iii		V/VI	V				VI				M	0	1	-3, 1, -2		-3	-3
68	68	201/2	7.0	0	0	3/8	4	1	I.I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
72	72	215/2	0.5	1/4	1/4	3/8	4	1	V	Bb	I		V	V								M	0	0	1, 5, 2		1	1
73	73	108	1.5	0	0	3/8	4	1	I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
74	74	219/2	1.0	0	0	3/8	4	1	IV	Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
74	74	221/2	0.5	1/4	1/4	3/8	4	1	V	Bb	I		V	V								M	0	0	1, 5, 2		1	1
75	75	111	4.75	0	0	3/8	4	1	I\\	Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
78	78	463/4	1.25	1/16	1/16	3/8	4	1	vi7	Bb	I		vi7	vi		7						mm7	0	0	3, 0, 4, 1		3	3
79	79	117	6.0	0	0	3/8	4	1	V/iii	Bb	I		V/iii	V				iii				M	0	0	5, 9, 6		5	5
83	83	123	1.0	0	0	3/8	4	1	VII.I	Bb	VII		I	I								M	0	0	0, 4, 1		0	0
83	83	124	0.5	1/4	1/4	3/8	4	1	V	Bb	VII		V	V								M	0	0	1, 5, 2		1	1
84	84	249/2	1.5	0	0	3/8	4	1	I	Bb	VII		I	I								M	0	0	0, 4, 1		0	0
85	85	126	1.0	0	0	3/8	4	1	IV	Bb	VII		IV	IV								M	0	0	-1, 3, 0		-1	-1
85	85	127	0.5	1/4	1/4	3/8	4	1	V	Bb	VII		V	V								M	0	0	1, 5, 2		1	1
86	86	255/2	1.5	0	0	3/8	4	1	I	Bb	VII		I	I								M	0	0	0, 4, 1		0	0
87	87	129	1.0	0	0	3/8	4	1	iii.i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
87	87	130	1.5	1/4	1/4	3/8	4	1	V7/V	Bb	iii		V7/V	V		7		V				Mm7	0	1	2, 6, 3, 0		2	2
88	88	263/2	3.5	1/4	1/4	3/8	4	1	V7	Bb	iii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
91	91	135	1.5	0	0	3/8	4	1	i[i	Bb	iii	i	i	i								m	0	1	0, -3, 1		0	0
92	92	273/2	1.5	0	0	3/8	4	1	#viio43/iv	Bb	iii		#viio43/iv	#vii	o	43		iv				o7	0	1	-2, -5, 4, 1		4	-2
93	93	138	1.5	0	0	3/8	4	1	iv6	Bb	iii		iv6	iv		6						m	0	1	-4, 0, -1		-1	-4
94	94	279/2	1.5	0	0	3/8	4	1	#viio2	Bb	iii		#viio2	#vii	o	2						o7	0	1	-4, 5, 2, -1		5	-4
95	95	141	1.5	0	0	3/8	4	1	V7/iv]	Bb	iii		V7/iv	V		7		iv	]			Mm7	0	1	0, 4, 1, -2		0	0
96	96	285/2	1.5	0	0	3/8	4	1	V2/iv	Bb	iii		V2/iv	V		2		iv				Mm7	0	1	-2, 0, 4, 1		0	-2
97	97	144	1.0	0	0	3/8	4	1	iv6	Bb	iii		iv6	iv		6						m	0	1	-4, 0, -1		-1	-4
97	97	145	0.5	1/4	1/4	3/8	4	1	iv	Bb	iii		iv	iv								m	0	1	-1, -4, 0		-1	-1
98	98	291/2	1.5	0	0	3/8	4	1	#viio43(+2)	Bb	iii		#viio43(+2)	#vii	o	43	+2					o7	0	1	-1, -4, 5, 2	0	5	-1
99	99	147	1.5	0	0	3/8	4	1	i	Bb	iii		i	i								m	0	1	0, -3, 1		0	0
100	100	297/2	1.0	0	0	3/8	4	1	@none	Bb	iii		@none	@none								m	0	1				
100	100	299/2	0.5	1/4	1/4	3/8	4	1	I.V7	Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
101	101	150	1.0	0	0	3/8	4	1	I[I	Bb	I	I	I	I								M	0	0	0, 4, 1		0	0
101	101	151	0.5	1/4	1/4	3/8	4	1	V2	Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
102	102	303/2	1.5	0	0	3/8	4	1	I6	Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
103	103	153	1.5	0	0	3/8	4	1	V2	Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
104	104	309/2	1.5	0	0	3/8	4	1	I]	Bb	I		I	I					]			M	0	0	0, 4, 1		0	0
105	105	156	1.0	0	0	3/8	4	1	I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
105	105	157	0.5	1/4	1/4	3/8	4	1	V2	Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
106	106	315/2	1.0	0	0	3/8	4	1	I6	Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
106	106	317/2	0.5	1/4	1/4	3/8	4	1	V43	Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
107	107	159	1.5	0	0	3/8	4	1	I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
108	108	321/2	1.5	0	0	3/8	4	1	V6/iii	Bb	I		V6/iii	V		6		iii				M	0	0	9, 6, 5		5	9
109	109	162	1.5	0	0	3/8	4	1	iii	Bb	I		iii	iii								m	0	0	4, 1, 5		4	4
110	110	327/2	1.5	0	0	3/8	4	1	V6/V	Bb	I		V6/V	V		6		V				M	0	0	6, 3, 2		2	6
111	111	165	1.0	0	0	3/8	4	1	V.I	Bb	V		I	I								M	0	0	0, 4, 1		0	0
111	111	166	0.5	1/4	1/4	3/8	4	1	V65/V	Bb	V		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
112	112	333/2	4.5	0	0	3/8	4	1	V\\	Bb	V		V	V							\\	M	0	0	1, 5, 2		1	1
115	115	171	1.5	0	0	3/8	4	1	v.i	Bb	v		i	i								m	0	1	0, -3, 1		0	0
116	116	345/2	1.5	0	0	3/8	4	1	i[i	Bb	v	i	i	i								m	0	1	0, -3, 1		0	0
117	117	174	1.0	0	0	3/8	4	1	iv	Bb	v		iv	iv								m	0	1	-1, -4, 0		-1	-1
117	117	175	0.5	1/4	1/4	3/8	4	1	V	Bb	v		V	V								M	0	1	1, 5, 2		1	1
118	118	351/2	1.5	0	0	3/8	4	1	i]	Bb	v		i	i					]			m	0	1	0, -3, 1		0	0
119	119	177	0.5	0	0	3/8	4	1	i6	Bb	v		i6	i		6						m	0	1	-3, 1, 0		0	-3
119	119	355/2	1.0	1/8	1/8	3/8	4	1	i	Bb	v		i	i								m	0	1	0, -3, 1		0	0
120	120	357/2	0.5	0	0	3/8	4	1	i6	Bb	v		i6	i		6						m	0	1	-3, 1, 0		0	-3
120	120	179	0.5	1/8	1/8	3/8	4	1	i	Bb	v		i	i								m	0	1	0, -3, 1		0	0
120	120	359/2	0.5	1/4	1/4	3/8	4	1	VI	Bb	v		VI	VI								M	0	1	-4, 0, -3		-4	-4
121	121	180	0.5	0	0	3/8	4	1	ii%65	Bb	v		ii%65	ii	%	65						%7	0	1	-1, -4, 0, 2		2	-1
121	121	361/2	1.0	1/8	1/8	3/8	4	1	V7	Bb	v		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
122	122	363/2	1.5	0	0	3/8	4	1	i\\	Bb	v		i	i							\\	m	0	1	0, -3, 1		0	0
123	123	183	1.5	0	0	3/8	4	1	V7	Bb	v		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
124	124	369/2	1.0	0	0	3/8	4	1	i	Bb	v		i	i								m	0	1	0, -3, 1		0	0
124	124	371/2	0.5	1/4	1/4	3/8	4	1	bVII.vii%7/V	Bb	bVII		vii%7/V	vii	%	7		V				%7	0	0	6, 3, 0, 4		6	6
125	125	186	1.5	0	0	3/8	4	1	V7	Bb	bVII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
126	126	375/2	1.0	0	0	3/8	4	1	I	Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
126	126	377/2	0.5	1/4	1/4	3/8	4	1	ii.#viio7/V	Bb	ii		#viio7/V	#vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
127	127	189	1.5	0	0	3/8	4	1	V7	Bb	ii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
128	128	381/2	1.5	0	0	3/8	4	1	i	Bb	ii		i	i								m	0	1	0, -3, 1		0	0
129	129	192	1.0	0	0	3/8	4	1	i6	Bb	ii		i6	i		6						m	0	1	-3, 1, 0		0	-3
129	129	193	0.5	1/4	1/4	3/8	4	1	iv	Bb	ii		iv	iv								m	0	1	-1, -4, 0		-1	-1
130	130	387/2	0.25	0	0	3/8	4	1	V43/iv	Bb	ii		V43/iv	V		43		iv				Mm7	0	1	1, -2, 0, 4		0	1
130	130	775/4	0.25	1/16	1/16	3/8	4	1	iv	Bb	ii		iv	iv								m	0	1	-1, -4, 0		-1	-1
130	130	194	0.25	1/8	1/8	3/8	4	1	i6	Bb	ii		i6	i		6						m	0	1	-3, 1, 0		0	-3
130	130	777/4	0.25	3/16	3/16	3/8	4	1	iv6	Bb	ii		iv6	iv		6						m	0	1	-4, 0, -1		-1	-4
130	130	389/2	0.25	1/4	1/4	3/8	4	1	V(64)	Bb	ii		V(64)	V			64					M	0	1	1, 0, -3		1	1
130	130	779/4	0.25	5/16	5/16	3/8	4	1	V7	Bb	ii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
131	131	195	0.25	0	0	3/8	4	1	I\\	Bb	ii		I	I							\\	M	0	1	0, 4, 1		0	0
131	131	781/4	1.25	1/16	1/16	3/8	4	1	v.V7	Bb	v		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
132	132	393/2	1.5	0	0	3/8	4	1	i	Bb	v		i	i								m	0	1	0, -3, 1		0	0
133	133	198	1.0	0	0	3/8	4	1	i6	Bb	v		i6	i		6						m	0	1	-3, 1, 0		0	-3
133	133	199	0.5	1/4	1/4	3/8	4	1	VI	Bb	v		VI	VI								M	0	1	-4, 0, -3		-4	-4
134	134	399/2	0.5	0	0	3/8	4	1	ii%65	Bb	v		ii%65	ii	%	65						%7	0	1	-1, -4, 0, 2		2	-1
134	134	200	1.0	1/8	1/8	3/8	4	1	V7	Bb	v		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
135	135	201	1.0	0	0	3/8	4	1	i\\	Bb	v		i	i							\\	m	0	1	0, -3, 1		0	0
135	135	202	0.5	1/4	1/4	3/8	4	1	i6	Bb	v		i6	i		6						m	0	1	-3, 1, 0		0	-3
136	136	405/2	1.5	0	0	3/8	4	1	V65	Bb	v		V65	V		65						Mm7	0	1	5, 2, -1, 1		1	5
137	137	204	1.5	0	0	3/8	4	1	i	Bb	v		i	i								m	0	1	0, -3, 1		0	0
138	138	411/2	1.5	0	0	3/8	4	1	V65/III	Bb	v		V65/III	V		65		III				Mm7	0	1	2, -1, -4, -2		-2	2
139	139	207	1.5	0	0	3/8	4	1	III	Bb	v		III	III								M	0	1	-3, 1, -2		-3	-3
140	140	417/2	1.5	0	0	3/8	4	1	V65/V	Bb	v		V65/V	V		65		V				Mm7	0	1	6, 3, 0, 2		2	6
141	141	210	1.5	0	0	3/8	4	1	v6	Bb	v		v6	v		6						m	0	1	-2, 2, 1		1	-2
142	142	423/2	1.0	0	0	3/8	4	1	V2	Bb	v		V2	V		2						Mm7	0	1	-1, 1, 5, 2		1	-1
142	142	425/2	0.5	1/4	1/4	3/8	4	1	i64	Bb	v		i64	i		64						m	0	1	1, 0, -3		0	1
143	143	213	1.0	0	0	3/8	4	1	i6	Bb	v		i6	i		6						m	0	1	-3, 1, 0		0	-3
143	143	214	0.25	1/4	1/4	3/8	4	1	v65	Bb	v		v65	v		65						mm7	0	1	-2, 2, -1, 1		1	-2
143	143	857/4	0.25	5/16	5/16	3/8	4	1	V2/V	Bb	v		V2/V	V		2		V				Mm7	0	1	0, 2, 6, 3		2	0
144	144	429/2	1.25	0	0	3/8	4	1	v6	Bb	v		v6	v		6						m	0	1	-2, 2, 1		1	-2
144	144	863/4	0.25	5/16	5/16	3/8	4	1	#viio6	Bb	v		#viio6	#vii	o	6						o	0	1	2, -1, 5		5	2
145	145	216	0.5	0	0	3/8	4	1	i6	Bb	v		i6	i		6						m	0	1	-3, 1, 0		0	-3
145	145	433/2	0.5	1/8	1/8	3/8	4	1	i	Bb	v		i	i								m	0	1	0, -3, 1		0	0
145	145	217	0.5	1/4	1/4	3/8	4	1	iv	Bb	v		iv	iv								m	0	1	-1, -4, 0		-1	-1
146	146	435/2	0.5	0	0	3/8	4	1	i6	Bb	v		i6	i		6						m	0	1	-3, 1, 0		0	-3
146	146	218	0.5	1/8	1/8	3/8	4	1	i	Bb	v		i	i								m	0	1	0, -3, 1		0	0
146	146	437/2	0.5	1/4	1/4	3/8	4	1	VI	Bb	v		VI	VI								M	0	1	-4, 0, -3		-4	-4
147	147	219	0.5	0	0	3/8	4	1	iio7	Bb	v		iio7	ii	o	7						o7	0	1	2, -1, -4, -7		2	2
147	147	439/2	1.0	1/8	1/8	3/8	4	1	V7	Bb	v		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
148	148	441/2	1.5	0	0	3/8	4	1	i\\	Bb	v		i	i							\\	m	0	1	0, -3, 1		0	0
149	149	222	1.0	0	0	3/8	4	1	i	Bb	v		i	i								m	0	1	0, -3, 1		0	0
149	149	223	0.5	1/4	1/4	3/8	4	1	V7	Bb	v		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
150	150	447/2	1.5	0	0	3/8	4	1	i	Bb	v		i	i								m	0	1	0, -3, 1		0	0
151	151	225	0.5	0	0	3/8	4	1	i6	Bb	v		i6	i		6						m	0	1	-3, 1, 0		0	-3
151	151	451/2	0.5	1/8	1/8	3/8	4	1	i	Bb	v		i	i								m	0	1	0, -3, 1		0	0
151	151	226	0.5	1/4	1/4	3/8	4	1	VI	Bb	v		VI	VI								M	0	1	-4, 0, -3		-4	-4
152	152	453/2	1.0	0	0	3/8	4	1	ii%65	Bb	v		ii%65	ii	%	65						%7	0	1	-1, -4, 0, 2		2	-1
152	152	455/2	0.5	1/4	1/4	3/8	4	1	V7	Bb	v		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
153	153	228	0.5	0	0	3/8	4	1	i\\	Bb	v		i	i							\\	m	0	1	0, -3, 1		0	0
153	153	457/2	0.5	1/8	1/8	3/8	4	1	VI	Bb	v		VI	VI								M	0	1	-4, 0, -3		-4	-4
153	153	229	0.5	1/4	1/4	3/8	4	1	iv	Bb	v		iv	iv								m	0	1	-1, -4, 0		-1	-1
154	154	459/2	0.5	0	0	3/8	4	1	bIII.IV	Bb	bIII		IV	IV								M	0	0	-1, 3, 0		-1	-1
154	154	230	0.5	1/8	1/8	3/8	4	1	ii65	Bb	bIII		ii65	ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
154	154	461/2	0.5	1/4	1/4	3/8	4	1	V7	Bb	bIII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
155	155	231	1.5	0	0	3/8	4	1	I\\	Bb	bIII		I	I							\\	M	0	0	0, 4, 1		0	0
156	156	465/2	1.5	0	0	3/8	4	1	V43	Bb	bIII		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
157	157	234	1.5	0	0	3/8	4	1	I	Bb	bIII		I	I								M	0	0	0, 4, 1		0	0
158	158	471/2	1.5	0	0	3/8	4	1	V43	Bb	bIII		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
159	159	237	3.0	0	0	3/8	4	1	I	Bb	bIII		I	I								M	0	0	0, 4, 1		0	0
161	161	240	3.0	0	0	3/8	4	1	iii64	Bb	bIII		iii64	iii		64						m	0	0	5, 4, 1		4	5
163	163	243	1.5	0	0	3/8	4	1	#viio7/vii	Bb	bIII		#viio7/vii	#vii	o	7		vii				o7	0	0	10, 7, 4, 1		10	10
164	164	489/2	1.5	0	0	3/8	4	1	#viio7/vii	Bb	bIII		#viio7/vii	#vii	o	7		vii				o7	0	0	10, 7, 4, 1		10	10
165	165	246	1.5	0	0	3/8	4	1	#viio2/vii	Bb	bIII		#viio2/vii	#vii	o	2		vii				o7	0	0	1, 10, 7, 4		10	1
166	166	495/2	1.5	0	0	3/8	4	1	#viio7/ii	Bb	bIII		#viio7/ii	#vii	o	7		ii				o7	0	0	7, 4, 1, -2		7	7
167	167	249	1.5	0	0	3/8	4	1	V7/vii	Bb	bIII		V7/vii	V		7		vii				Mm7	0	0	6, 10, 7, 4		6	6
168	168	501/2	1.5	0	0	3/8	4	1	V7/vii	Bb	bIII		V7/vii	V		7		vii				Mm7	0	0	6, 10, 7, 4		6	6
169	169	252	3.0	0	0	3/8	4	1	#I.V	Bb	#I		V	V								M	0	0	1, 5, 2		1	1
171	171	255	1.5	0	0	3/8	4	1	I	Bb	#I		I	I								M	0	0	0, 4, 1		0	0
172	172	513/2	0.5	0	0	3/8	4	1	IV	Bb	#I		IV	IV								M	0	0	-1, 3, 0		-1	-1
