mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
12	12	22	4.0	0	0	2/4	4	1	@none					@none	@none								m				
14	14	26	2.0	0	0	2/4	4	1	viio					viio	vii	o							o	-2, -5, -8		-2	-2
15	15	28	2.0	0	0	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
16	16	30	4.0	0	0	2/4	4	1	V7/V					V7/V	V		7		V				Mm7	2, 6, 3, 0		2	2
18	18	34	2.0	0	0	2/4	4	1	V					V	V								M	1, 5, 2		1	1
19	19	36	1.0	0	0	2/4	4	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
19	19	37	2.0	1/4	1/4	2/4	4	1	#viio7/ii					#viio7/ii	#vii	o	7		ii				o7	7, 4, 1, -2		7	7
20	20	39	2.0	1/4	1/4	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
21	21	41	1.0	1/4	1/4	2/4	4	1	viio6					viio6	vii	o	6						o	-5, -8, -2		-2	-5
22	22	42	0.5	0	0	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
22	22	85/2	0.5	1/8	1/8	2/4	4	1	I(9)					I(9)	I			9					M	0, 4, 1	2	0	0
22	22	43	1.5	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
23	23	89/2	0.5	1/8	1/8	2/4	4	1	#viio/vi					#viio/vi	#vii	o			vi				o	1, -2, -5		1	1
23	23	45	1.0	1/4	1/4	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
24	24	46	1.0	0	0	2/4	4	1	V/vi					V/vi	V				vi				M	-3, 1, -2		-3	-3
24	24	47	1.0	1/4	1/4	2/4	4	1	#viio2/V					#viio2/V	#vii	o	2		V				o7	-3, 6, 3, 0		6	-3
25	25	48	1.0	0	0	2/4	4	1	#viio7/V					#viio7/V	#vii	o	7		V				o7	6, 3, 0, -3		6	6
25	25	49	1.0	1/4	1/4	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
26	26	50	1.0	0	0	2/4	4	1	I\\					I	I							\\	M	0, 4, 1		0	0
26	26	51	3.0	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
28	28	54	4.0	0	0	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
30	30	58	4.0	0	0	2/4	4	1	V.V			V		V	V								M	1, 5, 2		1	1
32	32	62	2.0	0	0	2/4	4	1	V6					V6	V		6						M	5, 2, 1		1	5
33	33	64	1.0	0	0	2/4	4	1	V(4)/V					V(4)/V	V			4	V				M	2, 1, 3		2	2
33	33	65	1.0	1/4	1/4	2/4	4	1	V7/V					V7/V	V		7		V				Mm7	2, 6, 3, 0		2	2
34	34	66	1.0	0	0	2/4	4	1	V(4)					V(4)	V			4					M	1, 0, 2		1	1
34	34	67	0.5	1/4	1/4	2/4	4	1	V					V	V								M	1, 5, 2		1	1
34	34	135/2	0.5	3/8	3/8	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
35	35	68	1.0	0	0	2/4	4	1	I(4)					I(4)	I			4					M	0, -1, 1		0	0
35	35	69	2.0	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
36	36	71	1.0	1/4	1/4	2/4	4	1	#VII+/vi					#VII+/vi	#VII	+			vi				+	1, 5, 9		1	1
37	37	72	1.0	0	0	2/4	4	1	#viio43/ii					#viio43/ii	#vii	o	43		ii				o7	1, -2, 7, 4		7	1
37	37	73	0.5	1/4	1/4	2/4	4	1	II6					II6	II		6						M	6, 3, 2		2	6
37	37	147/2	0.25	3/8	3/8	2/4	4	1	ii6(6)					ii6(6)	ii		6	6					m	-1, -2, 2		2	-1
37	37	295/4	0.25	7/16	7/16	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
38	38	74	0.5	0	0	2/4	4	1	I6(4)					I6(4)	I		6	4					M	-1, 1, 0		0	-1
38	38	149/2	0.5	1/8	1/8	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
38	38	75	0.5	1/4	1/4	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
38	38	151/2	0.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
39	39	76	2.0	0	0	2/4	4	1	I\\					I	I							\\	M	0, 4, 1		0	0
40	40	78	4.0	0	0	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
42	42	82	2.5	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
43	43	169/2	0.5	1/8	1/8	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
43	43	85	0.5	1/4	1/4	2/4	4	1	I64					I64	I		64						M	1, 0, 4		0	1
43	43	171/2	0.5	3/8	3/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
44	44	86	1.0	0	0	2/4	4	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
44	44	87	0.5	1/4	1/4	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
44	44	175/2	0.5	3/8	3/8	2/4	4	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
45	45	88	0.5	0	0	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
45	45	177/2	0.5	1/8	1/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
45	45	89	0.5	1/4	1/4	2/4	4	1	IVM7					IVM7	IV	M	7						MM7	-1, 3, 0, 4		-1	-1
45	45	179/2	0.5	3/8	3/8	2/4	4	1	IV/IV					IV/IV	IV				IV				M	-2, 2, -1		-2	-2
46	46	90	0.5	0	0	2/4	4	1	V43/vi					V43/vi	V		43		vi				Mm7	-2, -5, -3, 1		-3	-2
46	46	181/2	0.5	1/8	1/8	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
46	46	91	0.5	1/4	1/4	2/4	4	1	V7/V					V7/V	V		7		V				Mm7	2, 6, 3, 0		2	2
46	46	183/2	0.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
47	47	92	1.5	0	0	2/4	4	1	i6					i6	i		6						m	-3, 1, 0		0	-3
47	47	187/2	0.5	3/8	3/8	2/4	4	1	#viio7/iii					#viio7/iii	#vii	o	7		iii				o7	2, -1, -4, -7		2	2
48	48	94	1.5	0	0	2/4	4	1	iii					iii	iii								m	-3, -6, -2		-3	-3
48	48	191/2	0.5	3/8	3/8	2/4	4	1	viio6					viio6	vii	o	6						o	-5, -8, -2		-2	-5
49	49	96	0.5	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
49	49	193/2	0.5	1/8	1/8	2/4	4	1	V6					V6	V		6						M	5, 2, 1		1	5
49	49	97	0.5	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
49	49	195/2	0.5	3/8	3/8	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
50	50	98	0.5	0	0	2/4	4	1	V6/vi					V6/vi	V		6		vi				M	1, -2, -3		-3	1
50	50	197/2	0.5	1/8	1/8	2/4	4	1	V7/vi					V7/vi	V		7		vi				Mm7	-3, 1, -2, -5		-3	-3
50	50	99	1.0	1/4	1/4	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
51	51	100	1.0	0	0	2/4	4	1	V7/vi					V7/vi	V		7		vi				Mm7	-3, 1, -2, -5		-3	-3
51	51	101	1.0	1/4	1/4	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
52	52	102	1.0	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
52	52	103	0.25	1/4	1/4	2/4	4	1	vi(+6)					vi(+6)	vi			+6					m	-4, -7, -3	-1	-4	-4
52	52	413/4	0.75	5/16	5/16	2/4	4	1	#viio6/V					#viio6/V	#vii	o	6		V				o	3, 0, 6		6	3
53	53	104	1.0	0	0	2/4	4	1	V7/vi					V7/vi	V		7		vi				Mm7	-3, 1, -2, -5		-3	-3
53	53	105	0.6666666666666714	1/4	1/4	2/4	4	1	#viio2/vi					#viio2/vi	#vii	o	2		vi				o7	-8, 1, -2, -5		1	-8
53	53	317/3	0.3333333333333286	5/12	5/12	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
54	54	106	0.5	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
54	54	213/2	0.5	1/8	1/8	2/4	4	1	V6					V6	V		6						M	5, 2, 1		1	5
54	54	107	0.5	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
54	54	215/2	0.5	3/8	3/8	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
55	55	108	1.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
55	55	109	1.0	1/4	1/4	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
56	56	110	0.5	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
56	56	221/2	0.5	1/8	1/8	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
56	56	111	0.5	1/4	1/4	2/4	4	1	V					V	V								M	1, 5, 2		1	1
56	56	223/2	0.5	3/8	3/8	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
57	57	112	1.0	0	0	2/4	4	1	I\\					I	I							\\	M	0, 4, 1		0	0
57	57	113	1.0	1/4	1/4	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
58	58	114	0.5	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
58	58	229/2	0.5	1/8	1/8	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
58	58	115	0.5	1/4	1/4	2/4	4	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
58	58	231/2	0.5	3/8	3/8	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
59	59	116	1.5	0	0	2/4	4	1	V43/ii					V43/ii	V		43		ii				Mm7	4, 1, 3, 7		3	4
59	59	235/2	0.5	3/8	3/8	2/4	4	1	V2/ii					V2/ii	V		2		ii				Mm7	1, 3, 7, 4		3	1
60	60	118	1.5	0	0	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
60	60	239/2	0.5	3/8	3/8	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
61	61	120	1.5	0	0	2/4	4	1	I\\					I	I							\\	M	0, 4, 1		0	0
61	61	243/2	0.5	3/8	3/8	2/4	4	1	V2/ii					V2/ii	V		2		ii				Mm7	1, 3, 7, 4		3	1
62	62	122	1.5	0	0	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
62	62	247/2	1.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
63	63	125	5.0	1/4	1/4	2/4	4	1	@none					@none	@none								m				
66	66	130	1.0	0	0	2/4	4	1	V6/V					V6/V	V		6		V				M	6, 3, 2		2	6
66	66	131	1.0	1/4	1/4	2/4	4	1	V2/V					V2/V	V		2		V				Mm7	0, 2, 6, 3		2	0
67	67	132	2.0	0	0	2/4	4	1	V6					V6	V		6						M	5, 2, 1		1	5
68	68	134	1.0	0	0	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
68	68	135	1.0	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
69	69	136	1.0	0	0	2/4	4	1	V					V	V								M	1, 5, 2		1	1
69	69	137	1.0	1/4	1/4	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
70	70	138	1.0	0	0	2/4	4	1	V					V	V								M	1, 5, 2		1	1
70	70	139	1.0	1/4	1/4	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
71	71	140	1.0	0	0	2/4	4	1	v.i			v		i	i								m	0, -3, 1		0	0
71	71	141	1.0	1/4	1/4	2/4	4	1	i6					i6	i		6						m	-3, 1, 0		0	-3
72	72	142	1.0	0	0	2/4	4	1	bII6					bII6	bII		6						M	-1, -4, -5		-5	-1
72	72	143	1.0	1/4	1/4	2/4	4	1	IV64					IV64	IV		64						M	0, -1, 3		-1	0
73	73	144	1.0	0	0	2/4	4	1	bIII.viio6			bIII		viio6	vii	o	6						o	2, -1, 5		5	2
73	73	145	1.0	1/4	1/4	2/4	4	1	V7(9)					V7(9)	V		7	9					Mm7	1, 5, 2, -1	-4	1	1
74	74	146	1.0	0	0	2/4	4	1	V					V	V								M	1, 5, 2		1	1
74	74	147	1.0	1/4	1/4	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
75	75	148	1.0	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
75	75	149	1.0	1/4	1/4	2/4	4	1	V64					V64	V		64						M	2, 1, 5		1	2
76	76	150	1.0	0	0	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
76	76	151	1.0	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
77	77	152	1.0	0	0	2/4	4	1	viio7					viio7	vii	o	7						o7	-2, -5, -8, -11		-2	-2
77	77	153	0.875	1/4	1/4	2/4	4	1	V6/ii					V6/ii	V		6		ii				M	7, 4, 3		3	7
77	77	1231/8	0.125	15/32	15/32	2/4	4	1	ii					ii	ii								m	2, -1, 3		2	2
78	78	154	1.0	0	0	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
78	78	155	0.875	1/4	1/4	2/4	4	1	V65(+4+2)					V65(+4+2)	V		65	+4+2					Mm7	5, 2, -1, 1	0, -4	1	5
78	78	1247/8	0.125	15/32	15/32	2/4	4	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
79	79	156	1.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
79	79	157	1.0	1/4	1/4	2/4	4	1	iv6/ii					iv6/ii	iv		6		ii				m	-2, 2, 1		1	-2
80	80	158	1.0	0	0	2/4	4	1	V7/ii					V7/ii	V		7		ii				Mm7	3, 7, 4, 1		3	3
80	80	159	0.875	1/4	1/4	2/4	4	1	I.I[viio64			I	I	viio64	vii	o	64						o	-1, 5, 2		5	-1
80	80	1279/8	0.125	15/32	15/32	2/4	4	1	I]					I	I					]			M	0, 4, 1		0	0
81	81	160	4.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
83	83	164	1.0	0	0	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
83	83	165	0.375	1/4	1/4	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
83	83	1323/8	0.625	11/32	11/32	2/4	4	1	V7/IV					V7/IV	V		7		IV				Mm7	0, 4, 1, -2		0	0
84	84	166	1.375	0	0	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
84	84	1339/8	2.125	11/32	11/32	2/4	4	1	V					V	V								M	1, 5, 2		1	1
85	85	339/2	0.5	3/8	3/8	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
86	86	170	0.5	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
86	86	341/2	0.5	1/8	1/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
86	86	171	0.375	1/4	1/4	2/4	4	1	V6					V6	V		6						M	5, 2, 1		1	5
86	86	1371/8	0.625	11/32	11/32	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
87	87	172	5.5	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
89	89	355/2	1.0	3/8	3/8	2/4	4	1	iii64					iii64	iii		64						m	-2, -3, -6		-3	-2
90	90	357/2	0.5	1/8	1/8	2/4	4	1	iii					iii	iii								m	-3, -6, -2		-3	-3
90	90	179	1.0	1/4	1/4	2/4	4	1	V7/iii					V7/iii	V		7		iii				Mm7	-2, 2, -1, -4		-2	-2
91	91	180	0.5	0	0	2/4	4	1	iii					iii	iii								m	-3, -6, -2		-3	-3
91	91	361/2	0.5	1/8	1/8	2/4	4	1	V/iii					V/iii	V				iii				M	-2, 2, -1		-2	-2
91	91	181	1.0	1/4	1/4	2/4	4	1	V7/vi					V7/vi	V		7		vi				Mm7	-3, 1, -2, -5		-3	-3
92	92	182	0.5	0	0	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
92	92	365/2	0.5	1/8	1/8	2/4	4	1	vi6					vi6	vi		6						m	-7, -3, -4		-4	-7
92	92	183	1.0	1/4	1/4	2/4	4	1	V43/vi					V43/vi	V		43		vi				Mm7	-2, -5, -3, 1		-3	-2
93	93	184	0.5	0	0	2/4	4	1	vi6					vi6	vi		6						m	-7, -3, -4		-4	-7
93	93	369/2	0.5	1/8	1/8	2/4	4	1	V43/vi					V43/vi	V		43		vi				Mm7	-2, -5, -3, 1		-3	-2
93	93	185	1.0	1/4	1/4	2/4	4	1	V6/ii					V6/ii	V		6		ii				M	7, 4, 3		3	7
94	94	186	0.5	0	0	2/4	4	1	II.I64			II		I64	I		64						M	1, 0, 4		0	1
94	94	373/2	0.5	1/8	1/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
94	94	187	0.5	1/4	1/4	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
94	94	375/2	0.5	3/8	3/8	2/4	4	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
95	95	188	0.5	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
95	95	377/2	0.5	1/8	1/8	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
95	95	189	1.5	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
96	96	381/2	0.5	1/8	1/8	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
96	96	191	1.0	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
97	97	192	0.5	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
97	97	385/2	0.5	1/8	1/8	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
97	97	193	1.0	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
98	98	194	0.5	0	0	2/4	4	1	V.I			V		I	I								M	0, 4, 1		0	0
98	98	389/2	0.5	1/8	1/8	2/4	4	1	V7(b9)					V7(b9)	V		7	b9					Mm7	1, 5, 2, -1	-11	1	1
98	98	195	1.0	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
99	99	196	0.5	0	0	2/4	4	1	I[I				I	I	I								M	0, 4, 1		0	0
99	99	393/2	0.5	1/8	1/8	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
99	99	197	0.5	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
99	99	395/2	0.5	3/8	3/8	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
100	100	198	0.5	0	0	2/4	4	1	I]					I	I					]			M	0, 4, 1		0	0
100	100	397/2	0.5	1/8	1/8	2/4	4	1	V7(b9)					V7(b9)	V		7	b9					Mm7	1, 5, 2, -1	-11	1	1
100	100	199	1.5	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
101	101	401/2	0.5	1/8	1/8	2/4	4	1	V7(b9)					V7(b9)	V		7	b9					Mm7	1, 5, 2, -1	-11	1	1
101	101	201	0.5	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
101	101	403/2	3.5	3/8	3/8	2/4	4	1	i.iv6			i		iv6	iv		6						m	-4, 0, -1		-1	-4
103	103	205	2.375	1/4	1/4	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
104	104	1659/8	0.625	11/32	11/32	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
105	105	208	0.5	0	0	2/4	4	1	I.I6			I		I6	I		6						M	4, 1, 0		0	4
105	105	417/2	0.5	1/8	1/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
105	105	209	0.5	1/4	1/4	2/4	4	1	viio					viio	vii	o							o	-2, -5, -8		-2	-2
105	105	419/2	0.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
106	106	210	1.5	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
106	106	423/2	0.5	3/8	3/8	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
107	107	212	0.25	0	0	2/4	4	1	I	V				I	I								M	0, 4, 1		0	0
107	107	849/4	0.75	1/16	1/16	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
107	107	213	0.5	1/4	1/4	2/4	4	1	V(4)					V(4)	V			4					M	1, 0, 2		1	1
107	107	427/2	0.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
108	108	214	0.5	0	0	2/4	4	1	I\\					I	I							\\	M	0, 4, 1		0	0
108	108	429/2	1.0	1/8	1/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
108	108	431/2	0.5	3/8	3/8	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
109	109	216	0.375	0	0	2/4	4	1	I	V				I	I								M	0, 4, 1		0	0
109	109	1731/8	0.625	3/32	3/32	2/4	4	1	ii					ii	ii								m	2, -1, 3		2	2
109	109	217	0.375	1/4	1/4	2/4	4	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
109	109	1739/8	0.625	11/32	11/32	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
110	110	218	1.0	0	0	2/4	4	1	I\\					I	I							\\	M	0, 4, 1		0	0
110	110	219	0.5	1/4	1/4	2/4	4	1	V/V					V/V	V				V				M	2, 6, 3		2	2
110	110	439/2	0.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
111	111	220	8.0	0	0	2/4	4	1	@none					@none	@none								m				
115	115	228	1.0	0	0	2/4	4	1	ii.#viio7			ii		#viio7	#vii	o	7						o7	5, 2, -1, -4		5	5
115	115	229	0.5	1/4	1/4	2/4	4	1	i64					i64	i		64						m	1, 0, -3		0	1
115	115	459/2	0.5	3/8	3/8	2/4	4	1	VI					VI	VI								M	-4, 0, -3		-4	-4
116	116	230	0.5	0	0	2/4	4	1	V					V	V								M	1, 5, 2		1	1
116	116	461/2	1.0	1/8	1/8	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
116	116	463/2	0.5	3/8	3/8	2/4	4	1	i					i	i								m	0, -3, 1		0	0
117	117	232	1.0	0	0	2/4	4	1	VII					VII	VII								M	-2, 2, -1		-2	-2
117	117	233	1.0	1/4	1/4	2/4	4	1	V43/III					V43/III	V		43		III				Mm7	-1, -4, -2, 2		-2	-1
118	118	234	0.5	0	0	2/4	4	1	III(b4)					III(b4)	III			b4					M	-3, -11, -2		-3	-3
118	118	469/2	0.5	1/8	1/8	2/4	4	1	III					III	III								M	-3, 1, -2		-3	-3
118	118	235	3.0	1/4	1/4	2/4	4	1	@none					@none	@none								m				
120	120	238	0.5	0	0	2/4	4	1	V					V	V								M	1, 5, 2		1	1
120	120	477/2	1.0	1/8	1/8	2/4	4	1	VI					VI	VI								M	-4, 0, -3		-4	-4
120	120	479/2	2.5	3/8	3/8	2/4	4	1	V7/III					V7/III	V		7		III				Mm7	-2, 2, -1, -4		-2	-2
122	122	242	1.0	0	0	2/4	4	1	I.viio6			I		viio6	vii	o	6						o	2, -1, 5		5	2
122	122	243	4.0	1/4	1/4	2/4	4	1	V[viio				V	viio	vii	o							o	-2, -5, -8		-2	-2
124	124	247	0.5	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
124	124	495/2	0.5	3/8	3/8	2/4	4	1	i					i	i								m	0, -3, 1		0	0
125	125	248	1.0	0	0	2/4	4	1	V2/V					V2/V	V		2		V				Mm7	0, 2, 6, 3		2	0
125	125	249	1.0	1/4	1/4	2/4	4	1	viio]					viio	vii	o				]			o	-2, -5, -8		-2	-2
126	126	250	4.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
128	128	254	3.25	0	0	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
129	129	1029/4	0.75	5/16	5/16	2/4	4	1	V43/V					V43/V	V		43		V				Mm7	3, 0, 2, 6		2	3
130	130	258	2.0	0	0	2/4	4	1	V					V	V								M	1, 5, 2		1	1
131	131	260	1.0	0	0	2/4	4	1	V(4)/V					V(4)/V	V			4	V				M	2, 1, 3		2	2
131	131	261	1.0	1/4	1/4	2/4	4	1	V7/V					V7/V	V		7		V				Mm7	2, 6, 3, 0		2	2
132	132	262	1.0	0	0	2/4	4	1	V(4)					V(4)	V			4					M	1, 0, 2		1	1
132	132	263	1.0	1/4	1/4	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
133	133	264	1.0	0	0	2/4	4	1	I(4)					I(4)	I			4					M	0, -1, 1		0	0
133	133	265	2.0	1/4	1/4	2/4	4	1	I					I	I								M	0, 4, 1		0	0
134	134	267	1.0	1/4	1/4	2/4	4	1	V+/vi					V+/vi	V	+			vi				+	-3, 1, 5		-3	-3
135	135	268	1.0	0	0	2/4	4	1	#viio43/ii					#viio43/ii	#vii	o	43		ii				o7	1, -2, 7, 4		7	1
