mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
48	48	188	4.0	0	0	2/2	4	1	i6	e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
49	49	192	2.0	0	0	2/2	4	1	V43	e	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
49	49	194	2.0	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
50	50	196	2.0	0	0	2/2	4	1	iv6	e	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
50	50	198	2.0	1/2	1/2	2/2	4	1	V43/iv	e	i		V43/iv		V		43		iv				Mm7	1	1	1, -2, 0, 4		0	1
51	51	200	1.0	0	0	2/2	4	1	iv	e	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
51	51	201	1.0	1/4	1/4	2/2	4	1	iio6	e	i		iio6		ii	o	6						o	1	1	-1, -4, 2		2	-1
51	51	202	2.0	1/2	1/2	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
52	52	204	1.0	0	0	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
52	52	205	0.5	1/4	1/4	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
52	52	411/2	0.5	3/8	3/8	2/2	4	1	V64	e	i		V64		V		64						M	1	1	2, 1, 5		1	2
52	52	206	2.0	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
53	53	208	4.0	0	0	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
54	54	212	1.5	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
54	54	427/2	0.5	3/8	3/8	2/2	4	1	V64	e	i		V64		V		64						M	1	1	2, 1, 5		1	2
54	54	214	2.0	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
55	55	216	4.0	0	0	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
56	56	220	4.0	0	0	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
57	57	224	2.0	0	0	2/2	4	1	VI	e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
57	57	226	2.0	1/2	1/2	2/2	4	1	VI6	e	i		VI6		VI		6						M	1	1	0, -3, -4		-4	0
58	58	228	8.0	0	0	2/2	4	1	v6	e	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
60	60	236	4.0	0	0	2/2	4	1	iv6	e	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
61	61	240	2.0	0	0	2/2	4	1	iv	e	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
61	61	242	2.0	1/2	1/2	2/2	4	1	iv6	e	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
62	62	244	5.5	0	0	2/2	4	1	III6	e	i		III6		III		6						M	1	1	1, -2, -3		-3	1
63	63	499/2	0.5	3/8	3/8	2/2	4	1	V2/III	e	i		V2/III		V		2		III				Mm7	1	1	-4, -2, 2, -1		-2	-4
63	63	250	2.0	1/2	1/2	2/2	4	1	III6	e	i		III6		III		6						M	1	1	1, -2, -3		-3	1
64	64	252	2.0	0	0	2/2	4	1	V6/V	e	i		V6/V		V		6		V				M	1	1	6, 3, 2		2	6
64	64	254	2.0	1/2	1/2	2/2	4	1	V43/V	e	i		V43/V		V		43		V				Mm7	1	1	3, 0, 2, 6		2	3
65	65	256	2.0	0	0	2/2	4	1	v(42)	e	i		v(42)		v			42					m	1	1	-4, 0, 2		1	-4
65	65	258	1.0	1/2	1/2	2/2	4	1	v.i	e	v		i		i								m	1	1	0, -3, 1		0	0
65	65	259	1.0	3/4	3/4	2/2	4	1	Ger6	e	v		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
66	66	260	2.0	0	0	2/2	4	1	V[V6	e	v	V	V6		V		6						M	1	1	5, 2, 1		1	5
66	66	262	4.0	1/2	1/2	2/2	4	1	V43	e	v		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
67	67	266	1.0	1/2	1/2	2/2	4	1	i	e	v		i		i								m	1	1	0, -3, 1		0	0
67	67	267	1.0	3/4	3/4	2/2	4	1	#viio6/V	e	v		#viio6/V		#vii	o	6		V				o	1	1	3, 0, 6		6	3
68	68	268	4.0	0	0	2/2	4	1	V]\\	e	v		V		V					]		\\	M	1	1	1, 5, 2		1	1
69	69	272	3.0	0	0	2/2	4	1	V7	e	v		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
69	69	275	1.0	3/4	3/4	2/2	4	1	V	e	v		V		V								M	1	1	1, 5, 2		1	1
70	70	276	3.0	0	0	2/2	4	1	i	e	v		i		i								m	1	1	0, -3, 1		0	0
70	70	279	1.0	3/4	3/4	2/2	4	1	i64	e	v		i64		i		64						m	1	1	1, 0, -3		0	1
71	71	280	3.0	0	0	2/2	4	1	V7	e	v		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
71	71	283	1.0	3/4	3/4	2/2	4	1	V65	e	v		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
72	72	284	2.0	0	0	2/2	4	1	i	e	v		i		i								m	1	1	0, -3, 1		0	0
72	72	286	1.0	1/2	1/2	2/2	4	1	i64	e	v		i64		i		64						m	1	1	1, 0, -3		0	1
72	72	287	1.0	3/4	3/4	2/2	4	1	i	e	v		i		i								m	1	1	0, -3, 1		0	0
73	73	288	2.0	0	0	2/2	4	1	bII	e	v		bII		bII								M	1	1	-5, -1, -4		-5	-5
73	73	290	1.0	1/2	1/2	2/2	4	1	bII64	e	v		bII64		bII		64						M	1	1	-4, -5, -1		-5	-4
73	73	291	4.0	3/4	3/4	2/2	4	1	bII6	e	v		bII6		bII		6						M	1	1	-1, -4, -5		-5	-1
74	74	295	1.0	3/4	3/4	2/2	4	1	bII	e	v		bII		bII								M	1	1	-5, -1, -4		-5	-5
75	75	296	4.0	0	0	2/2	4	1	i	e	v		i		i								m	1	1	0, -3, 1		0	0
76	76	300	3.0	0	0	2/2	4	1	V	e	v		V		V								M	1	1	1, 5, 2		1	1
76	76	303	1.0	3/4	3/4	2/2	4	1	V6	e	v		V6		V		6						M	1	1	5, 2, 1		1	5
77	77	304	8.0	0	0	2/2	4	1	i	e	v		i		i								m	1	1	0, -3, 1		0	0
79	79	312	4.0	0	0	2/2	4	1	V65	e	v		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
80	80	316	4.0	0	0	2/2	4	1	i	e	v		i		i								m	1	1	0, -3, 1		0	0
81	81	320	4.0	0	0	2/2	4	1	bII	e	v		bII		bII								M	1	1	-5, -1, -4		-5	-5
82	82	324	4.0	0	0	2/2	4	1	bII6	e	v		bII6		bII		6						M	1	1	-1, -4, -5		-5	-1
83	83	328	4.0	0	0	2/2	4	1	i	e	v		i		i								m	1	1	0, -3, 1		0	0
84	84	332	4.0	0	0	2/2	4	1	V7	e	v		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
85	85	336	2.0	0	0	2/2	4	1	i[i6	e	v	i	i6		i		6						m	1	1	-3, 1, 0		0	-3
85	85	338	2.0	1/2	1/2	2/2	4	1	i64	e	v		i64		i		64						m	1	1	1, 0, -3		0	1
86	86	340	4.0	0	0	2/2	4	1	#viio2	e	v		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
87	87	344	4.0	0	0	2/2	4	1	i6	e	v		i6		i		6						m	1	1	-3, 1, 0		0	-3
88	88	348	4.0	0	0	2/2	4	1	#viio2	e	v		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
89	89	352	1.0	0	0	2/2	4	1	i6]	e	v		i6		i		6			]			m	1	1	-3, 1, 0		0	-3
89	89	353	18.0	1/4	1/4	2/2	4	1	i	e	v		i		i								m	1	1	0, -3, 1		0	0
93	93	371	51.0	3/4	3/4	2/2	4	1	VI.V6	e	VI		V6		V		6						M	1	0	5, 2, 1		1	5
106	106	422	2.0	1/2	1/2	2/2	4	1	V	e	VI		V		V								M	1	0	1, 5, 2		1	1
107	107	424	6.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
108	108	430	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
109	109	432	6.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
110	110	438	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
111	111	440	8.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
113	113	448	2.0	0	0	2/2	4	1	i.iv65	e	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
113	113	450	2.0	1/2	1/2	2/2	4	1	i64	e	i		i64		i		64						m	1	1	1, 0, -3		0	1
114	114	452	2.0	0	0	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
114	114	454	1.0	1/2	1/2	2/2	4	1	V7(4)	e	i		V7(4)		V		7	4					Mm7	1	1	1, 0, 2, -1		1	1
114	114	455	1.0	3/4	3/4	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
115	115	456	2.0	0	0	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
115	115	458	2.0	1/2	1/2	2/2	4	1	VI.V43	e	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
116	116	460	6.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
117	117	466	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
118	118	468	4.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
119	119	472	2.0	0	0	2/2	4	1	I[I6	e	VI	I	I6		I		6						M	1	0	4, 1, 0		0	4
119	119	474	1.5	1/2	1/2	2/2	4	1	ii6	e	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
119	119	951/2	0.5	7/8	7/8	2/2	4	1	vii%43]	e	VI		vii%43		vii	%	43			]			%7	1	0	-1, 3, 5, 2		5	-1
120	120	476	8.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
122	122	484	2.0	0	0	2/2	4	1	i.iv65	e	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
122	122	486	2.0	1/2	1/2	2/2	4	1	i64	e	i		i64		i		64						m	1	1	1, 0, -3		0	1
123	123	488	2.0	0	0	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
123	123	490	1.0	1/2	1/2	2/2	4	1	V7(4)	e	i		V7(4)		V		7	4					Mm7	1	1	1, 0, 2, -1		1	1
123	123	491	1.0	3/4	3/4	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
124	124	492	2.0	0	0	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
124	124	494	2.0	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
125	125	496	10.0	0	0	2/2	4	1	V/V	e	i		V/V		V				V				M	1	1	2, 6, 3		2	2
127	127	506	2.0	1/2	1/2	2/2	4	1	VI.V7/V	e	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
128	128	508	4.0	0	0	2/2	4	1	V7	e	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
129	129	512	2.0	0	0	2/2	4	1	I\\	e	VI		I		I							\\	M	1	0	0, 4, 1		0	0
129	129	514	4.0	1/2	1/2	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
130	130	518	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
131	131	520	4.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
132	132	524	2.0	0	0	2/2	4	1	I[I6	e	VI	I	I6		I		6						M	1	0	4, 1, 0		0	4
132	132	526	1.5	1/2	1/2	2/2	4	1	ii6	e	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
132	132	1055/2	0.5	7/8	7/8	2/2	4	1	vii%43]	e	VI		vii%43		vii	%	43			]			%7	1	0	-1, 3, 5, 2		5	-1
133	133	528	8.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
135	135	536	2.0	0	0	2/2	4	1	i.iv65	e	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
135	135	538	2.0	1/2	1/2	2/2	4	1	i64	e	i		i64		i		64						m	1	1	1, 0, -3		0	1
136	136	540	2.0	0	0	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
136	136	542	1.0	1/2	1/2	2/2	4	1	V7(4)	e	i		V7(4)		V		7	4					Mm7	1	1	1, 0, 2, -1		1	1
136	136	543	1.0	3/4	3/4	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
137	137	544	2.0	0	0	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
137	137	546	2.0	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
138	138	548	10.0	0	0	2/2	4	1	V/V	e	i		V/V		V				V				M	1	1	2, 6, 3		2	2
140	140	558	2.0	1/2	1/2	2/2	4	1	VI.V7/V	e	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
141	141	560	4.0	0	0	2/2	4	1	V7	e	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
142	142	564	2.0	0	0	2/2	4	1	I\\	e	VI		I		I							\\	M	1	0	0, 4, 1		0	0
142	142	566	1.5	1/2	1/2	2/2	4	1	I[I6	e	VI	I	I6		I		6						M	1	0	4, 1, 0		0	4
142	142	1135/2	0.5	7/8	7/8	2/2	4	1	ii6	e	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
143	143	568	1.5	0	0	2/2	4	1	I6	e	VI		I6		I		6						M	1	0	4, 1, 0		0	4
143	143	1139/2	0.5	3/8	3/8	2/2	4	1	I6(2)	e	VI		I6(2)		I		6	2					M	1	0	4, 1, 2		0	4
143	143	570	1.5	1/2	1/2	2/2	4	1	I6	e	VI		I6		I		6						M	1	0	4, 1, 0		0	4
143	143	1143/2	0.5	7/8	7/8	2/2	4	1	ii6	e	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
144	144	572	3.5	0	0	2/2	4	1	I6	e	VI		I6		I		6						M	1	0	4, 1, 0		0	4
144	144	1151/2	0.5	7/8	7/8	2/2	4	1	ii6	e	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
145	145	576	3.5	0	0	2/2	4	1	I6	e	VI		I6		I		6						M	1	0	4, 1, 0		0	4
145	145	1159/2	0.5	7/8	7/8	2/2	4	1	ii6	e	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
146	146	580	4.0	0	0	2/2	4	1	I6]	e	VI		I6		I		6			]			M	1	0	4, 1, 0		0	4
147	147	584	4.0	0	0	2/2	4	1	IV	e	VI		IV		IV								M	1	0	-1, 3, 0		-1	-1
148	148	588	2.0	0	0	2/2	4	1	viio6	e	VI		viio6		vii	o	6						o	1	0	2, -1, 5		5	2
148	148	590	2.0	1/2	1/2	2/2	4	1	viio	e	VI		viio		vii	o							o	1	0	5, 2, -1		5	5
149	149	592	2.0	0	0	2/2	4	1	V7	e	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
149	149	594	2.0	1/2	1/2	2/2	4	1	V43	e	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
150	150	596	2.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
150	150	598	2.0	1/2	1/2	2/2	4	1	vi	e	VI		vi		vi								m	1	0	3, 0, 4		3	3
151	151	600	4.0	0	0	2/2	4	1	IV	e	VI		IV		IV								M	1	0	-1, 3, 0		-1	-1
152	152	604	2.0	0	0	2/2	4	1	ii	e	VI		ii		ii								m	1	0	2, -1, 3		2	2
152	152	606	2.0	1/2	1/2	2/2	4	1	viio	e	VI		viio		vii	o							o	1	0	5, 2, -1		5	5
153	153	608	2.0	0	0	2/2	4	1	#viio/vi	e	VI		#viio/vi		#vii	o			vi				o	1	0	8, 5, 2		8	8
153	153	610	2.0	1/2	1/2	2/2	4	1	V7/vi	e	VI		V7/vi		V		7		vi				Mm7	1	0	4, 8, 5, 2		4	4
154	154	612	4.0	0	0	2/2	4	1	vi	e	VI		vi		vi								m	1	0	3, 0, 4		3	3
155	155	616	4.0	0	0	2/2	4	1	ii	e	VI		ii		ii								m	1	0	2, -1, 3		2	2
156	156	620	2.0	0	0	2/2	4	1	#viio6/vi	e	VI		#viio6/vi		#vii	o	6		vi				o	1	0	5, 2, 8		8	5
156	156	622	2.0	1/2	1/2	2/2	4	1	#viio/vi	e	VI		#viio/vi		#vii	o			vi				o	1	0	8, 5, 2		8	8
157	157	624	2.0	0	0	2/2	4	1	V7/vi	e	VI		V7/vi		V		7		vi				Mm7	1	0	4, 8, 5, 2		4	4
157	157	626	2.0	1/2	1/2	2/2	4	1	#viio6/vi	e	VI		#viio6/vi		#vii	o	6		vi				o	1	0	5, 2, 8		8	5
158	158	628	4.0	0	0	2/2	4	1	vi	e	VI		vi		vi								m	1	0	3, 0, 4		3	3
159	159	632	2.0	0	0	2/2	4	1	bII.vi6	e	bII		vi6		vi		6						m	1	0	0, 4, 3		3	0
159	159	634	2.0	1/2	1/2	2/2	4	1	vi	e	bII		vi		vi								m	1	0	3, 0, 4		3	3
160	160	636	2.0	0	0	2/2	4	1	IV	e	bII		IV		IV								M	1	0	-1, 3, 0		-1	-1
160	160	638	2.0	1/2	1/2	2/2	4	1	ii	e	bII		ii		ii								m	1	0	2, -1, 3		2	2
161	161	640	2.0	0	0	2/2	4	1	viio	e	bII		viio		vii	o							o	1	0	5, 2, -1		5	5
161	161	642	2.0	1/2	1/2	2/2	4	1	V65	e	bII		V65		V		65						Mm7	1	0	5, 2, -1, 1		1	5
162	162	644	4.0	0	0	2/2	4	1	I	e	bII		I		I								M	1	0	0, 4, 1		0	0
163	163	648	2.0	0	0	2/2	4	1	IV	e	bII		IV		IV								M	1	0	-1, 3, 0		-1	-1
163	163	650	2.0	1/2	1/2	2/2	4	1	V43/bVII	e	bII		V43/bVII		V		43		bVII				Mm7	1	0	0, -3, -1, 3		-1	0
164	164	652	4.0	0	0	2/2	4	1	bVII	e	bII		bVII		bVII								M	1	0	-2, 2, -1		-2	-2
165	165	656	2.0	0	0	2/2	4	1	V7/vi	e	bII		V7/vi		V		7		vi				Mm7	1	0	4, 8, 5, 2		4	4
165	165	658	2.0	1/2	1/2	2/2	4	1	V43/vi	e	bII		V43/vi		V		43		vi				Mm7	1	0	5, 2, 4, 8		4	5
166	166	660	2.0	0	0	2/2	4	1	vi.i	e	vi		i		i								m	1	1	0, -3, 1		0	0
