mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
23	23	1/4	1/4	4/4	1	1	V(4)			dcml	f	VI		V(4)		V			4			M	1	0	1, 0, 2		1	1
23	23	1/2	1/2	4/4	1	1	.Fr6			dcml	f	VI		Fr6	Fr	V		7	b5	V		M	1	0	2, 6, -4, 0		2	2
23	23	3/4	3/4	4/4	1	1	V			dcml	f	VI		V		V						M	1	0	1, 5, 2		1	1
24	24	0	0	4/4	1	1	I64			dcml	f	VI		I64		I		64				M	1	0	1, 0, 4		0	1
25	25	0	0	4/4	1	1	V43			dcml	f	VI		V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
25	25	3/4	3/4	4/4	1	1	V65			dcml	f	VI		V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
26	26	0	0	4/4	1	1	I	0.0888065	-2.74639	dcml	f	VI		I		I						M	1	0	0, 4, 1		0	0
27	27	0	0	4/4	1	1	V43	-0.0888065	-5.80732	dcml	f	VI		V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
28	28	0	0	4/4	1	1	I6	0	-5.03659	dcml	f	VI		I6		I		6				M	1	0	4, 1, 0		0	4
29	29	0	0	4/4	1	1	V2			dcml	f	VI		V2		V		2				Mm7	1	0	-1, 1, 5, 2		1	-1
29	29	3/4	3/4	4/4	1	1	V65			dcml	f	VI		V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
30	30	0	0	4/4	1	1	I			dcml	f	VI		I		I						M	1	0	0, 4, 1		0	0
30	30	1/2	1/2	4/4	1	1	I6	-0.78049	-4.2561	dcml	f	VI		I6		I		6				M	1	0	4, 1, 0		0	4
31	31	0	0	4/4	1	1	IV(9)	0.439026	-6.01221	dcml	f	VI		IV(9)		IV			9			M	1	0	-1, 3, 0	1	-1	-1
31	31	1/3	1/3	4/4	1	1	IV	-0.273575	-6.66767	dcml	f	VI		IV		IV						M	1	0	-1, 3, 0		-1	-1
31	31	1/2	1/2	4/4	1	1	ii6(2)	-1.77824	-5.91969	dcml	f	VI		ii6(2)		ii		6	2			m	1	0	-1, 3, 4		2	-1
31	31	7/12	7/12	4/4	1	1	ii6	0	-5.7829	dcml	f	VI		ii6		ii		6				m	1	0	-1, 3, 2		2	-1
31	31	3/4	3/4	4/4	1	1	IV	-0.273575	-6.05647	dcml	f	VI		IV		IV						M	1	0	-1, 3, 0		-1	-1
32	32	0	0	4/4	1	1	V	-0.106316	-3.30654	dcml	f	VI		V		V						M	1	0	1, 5, 2		1	1
32	32	5/12	5/12	4/4	1	1	V7	-1.4209	-3.47687	dcml	f	VI		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
32	32	1/2	1/2	4/4	1	1	viio7/vi	-0.355226	-3.31551	dcml	f	VI		viio7/vi		vii	o	7		vi		o7	1	0	1, -2, -5, -8		1	1
33	33	0	0	4/4	1	1	vi(9)			dcml	f	VI		vi(9)		vi			9			m	1	0	3, 0, 4	5	3	3
33	33	1/12	1/12	4/4	1	1	vi			dcml	f	VI		vi		vi						m	1	0	3, 0, 4		3	3
33	33	5/12	5/12	4/4	1	1	viio7/iii			dcml	f	VI		viio7/iii		vii	o	7		iii		o7	1	0	2, -1, -4, -7		2	2
33	33	1/2	1/2	4/4	1	1	iv			dcml	f	VI		iv		iv						m	1	0	-1, -4, 0		-1	-1
33	33	5/6	5/6	4/4	1	1	V6	-1.50971	-2.58881	dcml	f	VI		V6		V		6				M	1	0	5, 2, 1		1	5
33	33	11/12	11/12	4/4	1	1	viio7/iii	-2.13136	-2.5	dcml	f	VI		viio7/iii		vii	o	7		iii		o7	1	0	2, -1, -4, -7		2	2
34	34	0	0	4/4	1	1	V6(9)			dcml	f	VI		V6(9)		V		6	9			M	1	0	5, 2, 1	3	1	5
34	34	1/12	1/12	4/4	1	1	V6			dcml	f	VI		V6		V		6				M	1	0	5, 2, 1		1	5
34	34	1/6	1/6	4/4	1	1	V65	-0.177613	-2.32239	dcml	f	VI		V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
37	37	3/4	3/4	4/4	1	1	V			dcml	f	VI		V		V						M	1	0	1, 5, 2		1	1
38	38	0	0	4/4	1	1	V/#i			dcml	f	VI		V/#i		V				#i		M	1	0	8, 12, 9		8	8
39	39	1/4	1/4	4/4	1	1	#i	-0.585368	-4.10976	dcml	f	VI		#i		#i						m	1	0	7, 4, 8		7	7
40	40	1/4	1/4	4/4	1	1	ii6	0.146342	-5.03073	dcml	f	VI		ii6		ii		6				m	1	0	-1, 3, 2		2	-1
41	41	1/2	1/2	4/4	1	1	I+	-1.4922	-4.35671	dcml	f	VI		I+		I	+					+	1	0	0, 4, 8		0	0
41	41	3/4	3/4	4/4	1	1	V7			dcml	f	VI		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
42	42	0	0	4/4	1	1	vi	0	-3.67267	dcml	f	VI		vi		vi						m	1	0	3, 0, 4		3	3
42	42	1/2	1/2	4/4	1	1	I+	-1.75862	-5.41361	dcml	f	VI		I+		I	+					+	1	0	0, 4, 8		0	0
42	42	3/4	3/4	4/4	1	1	V7	0	-3.49226	dcml	f	VI		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
43	43	0	0	4/4	1	1	I[I6			dcml	f	VI	I	I6		I		6				M	1	0	4, 1, 0		0	4
44	44	0	0	4/4	1	1	V43	0	-3.22545	dcml	f	VI	I	V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
45	45	0	0	4/4	1	1	I6			dcml	f	VI	I	I6		I		6				M	1	0	4, 1, 0		0	4
46	46	0	0	4/4	1	1	V43	-0.0362778	-2.95526	dcml	f	VI	I	V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
47	47	0	0	4/4	1	1	I6	0	-3.67074	dcml	f	VI	I	I6		I		6				M	1	0	4, 1, 0		0	4
48	48	11/12	11/12	4/4	1	1	I]			dcml	f	VI	I	I		I						M	1	0	0, 4, 1		0	0
49	49	0	0	4/4	1	1	#viio/ii			dcml	f	VI		#viio/ii		#vii	o			ii		o	1	0	7, 4, 1		7	7
50	50	0	0	4/4	1	1	#viio/ii\\	-0.390245	-4.2561	dcml	f	VI		#viio/ii		#vii	o			ii	\\	o	1	0	7, 4, 1		7	7
51	51	1/4	1/4	4/4	1	1	ii6	0.0575355	-4.83145	dcml	f	VI		ii6		ii		6				m	1	0	-1, 3, 2		2	-1
52	52	1/2	1/2	4/4	1	1	I+	-0.0712966	-4.37794	dcml	f	VI		I+		I	+					+	1	0	0, 4, 8		0	0
52	52	3/4	3/4	4/4	1	1	V7	-0.55287	-3.36678	dcml	f	VI		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
53	53	0	0	4/4	1	1	vi	0.195123	-3.47561	dcml	f	VI		vi		vi						m	1	0	3, 0, 4		3	3
53	53	1/2	1/2	4/4	1	1	I+	-0.0712966	-4.44505	dcml	f	VI		I+		I	+					+	1	0	0, 4, 8		0	0
53	53	3/4	3/4	4/4	1	1	V7	-0.569117	-3.49186	dcml	f	VI		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
54	54	0	0	4/4	1	1	I[I6			dcml	f	VI	I	I6		I		6				M	1	0	4, 1, 0		0	4
55	55	0	0	4/4	1	1	V43	0.0350188	-2.97527	dcml	f	VI	I	V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
56	56	0	0	4/4	1	1	I6			dcml	f	VI	I	I6		I		6				M	1	0	4, 1, 0		0	4
57	57	0	0	4/4	1	1	V43			dcml	f	VI	I	V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
58	58	0	0	4/4	1	1	I6]			dcml	f	VI	I	I6		I		6				M	1	0	4, 1, 0		0	4
58	58	1/2	1/2	4/4	1	1	V			dcml	f	VI		V		V						M	1	0	1, 5, 2		1	1
59	59	0	0	4/4	1	1	I			dcml	f	VI		I		I						M	1	0	0, 4, 1		0	0
59	59	1/2	1/2	4/4	1	1	V			dcml	f	VI		V		V						M	1	0	1, 5, 2		1	1
60	60	0	0	4/4	1	1	i.V/iv			dcml	f	i		V/iv		V				iv		M	1	1	0, 4, 1		0	0
62	62	0	0	4/4	1	1	#viio43/vi	0	-6.89026	dcml	f	i		#viio43/vi		#vii	o	43		vi		o7	1	1	-5, -8, 1, -2		1	-5
64	64	0	0	4/4	1	1	#viio43	-0.146342	-5.42684	dcml	f	i		#viio43		#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
66	66	0	0	4/4	1	1	#viio	0.146342	-7.18294	dcml	f	i		#viio		#vii	o					o	1	1	5, 2, -1		5	5
67	67	0	0	4/4	1	1	i			dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
67	67	1/2	1/2	4/4	1	1	.Ger6/iv			dcml	f	i		Ger6/iv	Ger	vii	o	65	b3	V/iv		M	1	1	-5, -1, -4, 5		5	-5
68	68	0	0	4/4	1	1	iio			dcml	f	i		iio		ii	o					o	1	1	2, -1, -4		2	2
69	69	0	0	4/4	1	1	III			dcml	f	i		III		III						M	1	1	-3, 1, -2		-3	-3
69	69	1/2	1/2	4/4	1	1	iv			dcml	f	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
70	70	0	0	4/4	1	1	#viio7/V			dcml	f	i		#viio7/V		#vii	o	7		V		o7	1	1	13, 10, 7, 4		13	13
73	73	0	0	4/4	1	1	V43/V			dcml	f	i		V43/V		V		43		V		Mm7	1	1	3, 0, 2, 6		2	3
74	74	0	0	4/4	1	1	V7(+9)	0	-3.86586	dcml	f	i		V7(+9)		V		7	+9			Mm7	1	1	1, 5, 2, -1	-4	1	1
75	75	0	0	4/4	1	1	iv			dcml	f	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
75	75	1/2	1/2	4/4	1	1	#viio43			dcml	f	i		#viio43		#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
76	76	0	0	4/4	1	1	i6			dcml	f	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
76	76	1/2	1/2	4/4	1	1	i			dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
77	77	0	0	4/4	1	1	V			dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
78	78	0	0	4/4	1	1	i(6)	0	-3.46915	dcml	f	i		i(6)		i			6			m	1	1	0, -3, -4		0	0
78	78	1/2	1/2	4/4	1	1	i(#6#4)	0	-3.3946	dcml	f	i		i(#6#4)		i			#6#4			m	1	1	0, -3, 6	3	0	0
78	78	3/4	3/4	4/4	1	1	V	0	-3.61824	dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
80	80	0	0	4/4	1	1	i(6)	0	-3.04574	dcml	f	i		i(6)		i			6			m	1	1	0, -3, -4		0	0
80	80	1/2	1/2	4/4	1	1	i(#6#4)	0	-2.87275	dcml	f	i		i(#6#4)		i			#6#4			m	1	1	0, -3, 6	3	0	0
80	80	3/4	3/4	4/4	1	1	V			dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
81	81	0	0	4/4	1	1	VI7			dcml	f	i		VI7		VI		7				Mm7	1	1	-4, 0, -3, -6		-4	-4
81	81	1/2	1/2	4/4	1	1	V65			dcml	f	i		V65		V		65				Mm7	1	1	5, 2, -1, 1		1	5
82	82	0	0	4/4	1	1	i			dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
82	82	5/8	5/8	4/4	1	1	V			dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
83	83	0	0	4/4	1	1	i			dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
84	84	1/2	1/2	4/4	1	1	.bII			dcml	f	i		bII		bII						M	1	1	-5, -1, -4		-5	-5
85	85	0	0	4/4	1	1	@none			dcml	f	i		@none		@none						m	1	1				
86	86	0	0	4/4	1	1	V			dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
86	86	1/8	1/8	4/4	1	1	V6/VI	0.115071	-3.06109	dcml	f	i		V6/VI		V		6		VI		M	1	1	1, -2, -3		-3	1
86	86	1/2	1/2	4/4	1	1	VI.V	-0.177613	-3.23789	dcml	f	VI		V		V						M	1	0	1, 5, 2		1	1
86	86	3/4	3/4	4/4	1	1	viio	0	-3.6438	dcml	f	VI		viio		vii	o					o	1	0	5, 2, -1		5	5
87	87	0	0	4/4	1	1	I	0	-3.15489	dcml	f	VI		I		I						M	1	0	0, 4, 1		0	0
87	87	1/4	1/4	4/4	1	1	ii7			dcml	f	VI		ii7		ii		7				mm7	1	0	2, -1, 3, 0		2	2
87	87	3/8	3/8	4/4	1	1	I6			dcml	f	VI		I6		I		6				M	1	0	4, 1, 0		0	4
87	87	1/2	1/2	4/4	1	1	IV			dcml	f	VI		IV		IV						M	1	0	-1, 3, 0		-1	-1
87	87	3/4	3/4	4/4	1	1	ii65			dcml	f	VI		ii65		ii		65				mm7	1	0	-1, 3, 0, 2		2	-1
88	88	1/4	1/4	4/4	1	1	V(4)			dcml	f	VI		V(4)		V			4			M	1	0	1, 0, 2		1	1
88	88	1/2	1/2	4/4	1	1	.Fr			dcml	f	VI		Fr	Fr	V		7	b5	V		M	1	0	2, 6, -4, 0		2	2
88	88	3/4	3/4	4/4	1	1	V			dcml	f	VI		V		V						M	1	0	1, 5, 2		1	1
89	89	0	0	4/4	1	1	I64			dcml	f	VI		I64		I		64				M	1	0	1, 0, 4		0	1
90	90	0	0	4/4	1	1	V43			dcml	f	VI		V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
90	90	3/4	3/4	4/4	1	1	V65			dcml	f	VI		V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
91	91	0	0	4/4	1	1	I	0.0350188	-2.924	dcml	f	VI		I		I						M	1	0	0, 4, 1		0	0
92	92	0	0	4/4	1	1	iii7	0	-6.07	dcml	f	VI		iii7		iii		7				mm7	1	0	4, 1, 5, 2		4	4
92	92	1/4	1/4	4/4	1	1	V7/vi	0.0575355	-6.06739	dcml	f	VI		V7/vi		V		7		vi		Mm7	1	0	4, 8, 5, 2		4	4
92	92	1/2	1/2	4/4	1	1	vi	0.141335	-6.07	dcml	f	VI		vi		vi						m	1	0	3, 0, 4		3	3
92	92	3/4	3/4	4/4	1	1	I.V65	0.195123	-6.07	dcml	f	I		V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
93	93	0	0	4/4	1	1	I[I	0	-6.07	dcml	f	I	I	I		I						M	1	0	0, 4, 1		0	0
94	94	0	0	4/4	1	1	V65	0.195123	-4.45123	dcml	f	I	I	V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
95	95	0	0	4/4	1	1	I	0	-4.80519	dcml	f	I	I	I		I						M	1	0	0, 4, 1		0	0
96	96	0	0	4/4	1	1	V43	-0.115071	-6.80525	dcml	f	I	I	V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
97	97	0	0	4/4	1	1	I	0.235149	-5.58943	dcml	f	I	I	I		I						M	1	0	0, 4, 1		0	0
98	98	0	0	4/4	1	1	V65]	-0.0525287	-6.60021	dcml	f	I	I	V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
99	99	0	0	4/4	1	1	I	0	-4.2561	dcml	f	I		I		I						M	1	0	0, 4, 1		0	0
100	100	0	0	4/4	1	1	IV(9)	0.292684	-7.11539	dcml	f	I		IV(9)		IV			9			M	1	0	-1, 3, 0	1	-1	-1
100	100	1/3	1/3	4/4	1	1	IV	0.26642	-7.88914	dcml	f	I		IV		IV						M	1	0	-1, 3, 0		-1	-1
101	101	0	0	4/4	1	1	V7	0.146342	-4.84147	dcml	f	I		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
101	101	1/2	1/2	4/4	1	1	#viio2	-0.146342	-4.40245	dcml	f	I		#viio2		#vii	o	2				o7	1	0	3, 12, 9, 6		12	3
102	102	0	0	4/4	1	1	vi(4)	0	-4.06098	dcml	f	I		vi(4)		vi			4			m	1	0	3, 2, 4		3	3
103	103	0	0	4/4	1	1	vii			dcml	f	I		vii		vii						m	1	0	5, 2, 6		5	5
103	103	1/8	1/8	4/4	1	1	viio			dcml	f	I		viio		vii	o					o	1	0	5, 2, -1		5	5
103	103	1/4	1/4	4/4	1	1	V7			dcml	f	I		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
107	107	0	0	4/4	1	1	V/ii			dcml	f	I		V/ii		V				ii		M	1	0	3, 7, 4		3	3
108	108	1/4	1/4	4/4	1	1	ii	0.230142	-6.096	dcml	f	I		ii		ii						m	1	0	2, -1, 3		2	2
109	109	0	0	4/4	1	1	V6/ii	0	-6.22606	dcml	f	I		V6/ii		V		6		ii		M	1	0	7, 4, 3		3	7
109	109	1/4	1/4	4/4	1	1	ii6	-0.120078	-6.29984	dcml	f	I		ii6		ii		6				m	1	0	-1, 3, 2		2	-1
110	110	1/4	1/4	4/4	1	1	V(64b9)	-2.55026	-6.2038	dcml	f	I		V(64b9)		V			64b9			M	1	0	1, 0, 4	-4	1	1
110	110	1/2	1/2	4/4	1	1	V(64)	-0.271426	-5.68279	dcml	f	I		V(64)		V			64			M	1	0	1, 0, 4		1	1
110	110	3/4	3/4	4/4	1	1	V7	-0.276433	-4.27235	dcml	f	I		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
111	111	1/4	1/4	4/4	1	1	V(64b9)	-2.81655	-6.41312	dcml	f	I		V(64b9)		V			64b9			M	1	0	1, 0, 4	-4	1	1
111	111	1/2	1/2	4/4	1	1	V(64)	-0.609143	-5.97112	dcml	f	I		V(64)		V			64			M	1	0	1, 0, 4		1	1
111	111	3/4	3/4	4/4	1	1	V7	-0.898079	-4.53877	dcml	f	I		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
112	112	0	0	4/4	1	1	I[I	0	-3.86586	dcml	f	I	I	I		I						M	1	0	0, 4, 1		0	0
113	113	0	0	4/4	1	1	V43	-0.78049	-5.03659	dcml	f	I	I	V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
114	114	0	0	4/4	1	1	I	0	-3.67074	dcml	f	I	I	I		I						M	1	0	0, 4, 1		0	0
115	115	0	0	4/4	1	1	V43	0	-4.64635	dcml	f	I	I	V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
116	116	0	0	4/4	1	1	I	-0.390245	-4.2561	dcml	f	I	I	I		I						M	1	0	0, 4, 1		0	0
117	117	1/2	1/2	4/4	1	1	I]	0	-3.2455	dcml	f	I	I	I		I						M	1	0	0, 4, 1		0	0
117	117	3/4	3/4	4/4	1	1	.bII	0	-3.2455	dcml	f	I		bII		bII						M	1	0	-5, -1, -4		-5	-5
118	118	0	0	4/4	1	1	II			dcml	f	I		II		II						M	1	0	2, 6, 3		2	2
120	120	0	0	4/4	1	1	V6/ii	0	-5.86587	dcml	f	I		V6/ii		V		6		ii		M	1	0	7, 4, 3		3	7
120	120	1/4	1/4	4/4	1	1	ii6	0.146342	-6.29487	dcml	f	I		ii6		ii		6				m	1	0	-1, 3, 2		2	-1
121	121	1/4	1/4	4/4	1	1	V(64b9)	0.585368	-6.15611	dcml	f	I		V(64b9)		V			64b9			M	1	0	1, 0, 4	-4	1	1
121	121	1/2	1/2	4/4	1	1	V(64)	0.705446	-5.8346	dcml	f	I		V(64)		V			64			M	1	0	1, 0, 4		1	1
121	121	3/4	3/4	4/4	1	1	V7	0.878052	-5.42684	dcml	f	I		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
122	122	1/4	1/4	4/4	1	1	V(64b9)	0.585368	-5.71952	dcml	f	I		V(64b9)		V			64b9			M	1	0	1, 0, 4	-4	1	1
122	122	1/2	1/2	4/4	1	1	V(64)	0.439026	-6.01221	dcml	f	I		V(64)		V			64			M	1	0	1, 0, 4		1	1
122	122	3/4	3/4	4/4	1	1	V7	0.878052	-5.42684	dcml	f	I		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
123	123	0	0	4/4	1	1	I[I	0	-4.06098	dcml	f	I	I	I		I						M	1	0	0, 4, 1		0	0
124	124	0	0	4/4	1	1	V43	-0.390245	-4.84147	dcml	f	I	I	V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
125	125	0	0	4/4	1	1	I	0	-3.67074	dcml	f	I	I	I		I						M	1	0	0, 4, 1		0	0
126	126	0	0	4/4	1	1	V43			dcml	f	I	I	V43		V		43				Mm7	1	0	2, -1, 1, 5		1	2
127	127	0	0	4/4	1	1	I]			dcml	f	I	I	I		I						M	1	0	0, 4, 1		0	0
127	127	1/2	1/2	4/4	1	1	V			dcml	f	I		V		V						M	1	0	1, 5, 2		1	1
128	128	0	0	4/4	1	1	I			dcml	f	I		I		I						M	1	0	0, 4, 1		0	0
128	128	1/2	1/2	4/4	1	1	V			dcml	f	I		V		V						M	1	0	1, 5, 2		1	1
129	129	0	0	4/4	1	1	.i.VI			dcml	f	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
131	131	1/2	1/2	4/4	1	1	VI6			dcml	f	i		VI6		VI		6				M	1	1	0, -3, -4		-4	0
132	132	0	0	4/4	1	1	VI64			dcml	f	i		VI64		VI		64				M	1	1	-3, -4, 0		-4	-3
133	133	0	0	4/4	1	1	#viio7/V			dcml	f	i		#viio7/V		#vii	o	7		V		o7	1	1	13, 10, 7, 4		13	13
134	134	0	0	4/4	1	1	V7/V	-0.0888065	-3.74329	dcml	f	i		V7/V		V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
134	134	3/4	3/4	4/4	1	1	V	0.146342	-4.2561	dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
135	135	1/2	1/2	4/4	1	1	#viio65/iv	0.0888065	-3.49186	dcml	f	i		#viio65/iv		#vii	o	65		iv		o7	1	1	1, -2, -5, 4		4	1
136	136	1/2	1/2	4/4	1	1	iio65			dcml	f	i		iio65		ii	o	65				o7	1	1	-1, -4, -7, 2		2	-1
137	137	1/2	1/2	4/4	1	1	V(64)	0	-3.38807	dcml	f	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
137	137	3/4	3/4	4/4	1	1	V	-0.195123	-3.47561	dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
138	138	0	0	4/4	1	1	i[i	-0.439026	-4.74131	dcml	f	i	i	i		i						m	1	1	0, -3, 1		0	0
