mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
6	5	3/8	3/8	2/4	1	1	V7(9)	0	-4.54534	dcml	f	i		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
7	6	0	0	2/4	1	1	V43	0.0888065	-4.11679	dcml	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
7	6	1/8	1/8	2/4	1	1	V6	0	-3.29926	dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
7	6	1/4	1/4	2/4	1	1	VI6(7)	-0.976872	-3.21045	dcml	f	i		VI6(7)		VI		6	7				M	1	1	0, -3, 1		-4	0
7	6	5/16	5/16	2/4	1	1	VI6	0.444033	-3.47687	dcml	f	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
7	6	3/8	3/8	2/4	1	1	V7(9)	-0.515329	-4.35144	dcml	f	i		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
8	7	0	0	2/4	1	1	V43	-0.639156	-3.9074	dcml	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
10	9	3/8	3/8	6/8	1	1	V43	0	-4.06098	dcml	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
10	9	1/2	1/2	6/8	1	1	i	0	-3.86586	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
10	9	5/8	5/8	6/8	1	1	V6	0.195123	-4.2561	dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
11	10	0	0	6/8	1	1	i	0	-3.67074	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
13	12	0	0	6/8	1	1	iv	0.0350188	-4.32153	dcml	f	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
13	12	3/8	3/8	6/8	1	1	i	0	-3.67074	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
14	13	0	0	6/8	1	1	iv	0.0888065	-4.52127	dcml	f	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
14	13	3/8	3/8	6/8	1	1	i	0	-4.06098	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
15	14	0	0	6/8	1	1	V(64)	-1.3321	-3.9209	dcml	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
15	14	1/8	1/8	6/8	1	1	V	0	-3.86586	dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
15	14	1/4	1/4	6/8	1	1	V(64)	0.195123	-4.2561	dcml	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
15	14	1/2	1/2	6/8	1	1	V	0	-4.2561	dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
15	14	5/8	5/8	6/8	1	1	V(64)	0.390245	-4.06098	dcml	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
16	15	0	0	6/8	1	1	V6	-0.195123	-4.45123	dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
16	15	3/8	3/8	6/8	1	1	i(4)	-0.195123	-4.84147	dcml	f	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
16	15	1/2	1/2	6/8	1	1	i	0.195123	-4.45123	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
17	16	0	0	6/8	1	1	V7(4)	0	-4.64635	dcml	f	i		V7(4)		V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
17	16	1/8	1/8	6/8	1	1	V7(9)	0.195123	-4.45123	dcml	f	i		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
17	16	1/4	1/4	6/8	1	1	V7(4)	0	-4.84147	dcml	f	i		V7(4)		V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
17	16	3/8	3/8	6/8	1	1	i	0.195123	-5.03659	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
17	16	1/2	1/2	6/8	1	1	#viio	0	-4.84147	dcml	f	i		#viio		#vii	o						o	1	1	5, 2, -1		5	5
17	16	5/8	5/8	6/8	1	1	i			dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
18	17	0	0	6/8	1	1	V6	0	-4.45123	dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
18	17	1/4	1/4	6/8	1	1	V7	0	-4.45123	dcml	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
18	17	3/8	3/8	6/8	1	1	i(974)	0	-4.45123	dcml	f	i		i(974)		i			974				m	1	1	0, -1, 1	2, -2	0	0
18	17	1/2	1/2	6/8	1	1	i6	0.195123	-4.45123	dcml	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
18	17	5/8	5/8	6/8	1	1	#viio7/V	-1.89996	-4.04221	dcml	f	i		#viio7/V		#vii	o	7		V			o7	1	1	13, 10, 7, 4		13	13
19	18	0	0	6/8	1	1	V	0	-4.06098	dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
22	21	0	0	6/8	1	1	VI	0.195123	-4.84147	dcml	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
23	22	0	0	6/8	1	1	#viio7	0	-4.06098	dcml	f	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
24	23	0	0	6/8	1	1	i[i6			dcml	f	i	i	i6		i		6					m	1	1	-3, 1, 0		0	-3
25	24	3/8	3/8	6/8	1	1	i			dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
26	25	0	0	6/8	1	1	iv			dcml	f	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
26	25	3/8	3/8	6/8	1	1	i6			dcml	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
26	25	5/8	5/8	6/8	1	1	i			dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
27	26	0	0	6/8	1	1	iv			dcml	f	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
27	26	3/8	3/8	6/8	1	1	i6]			dcml	f	i		i6		i		6			]		m	1	1	-3, 1, 0		0	-3
28	27	0	0	6/8	1	1	V[V(64)			dcml	f	i	V	V(64)		V			64				M	1	1	1, 0, -3		1	1
28	27	1/8	1/8	6/8	1	1	V			dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
28	27	1/4	1/4	6/8	1	1	V(64)			dcml	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
28	27	1/2	1/2	6/8	1	1	V			dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
28	27	5/8	5/8	6/8	1	1	V(64)			dcml	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
29	28	0	0	6/8	1	1	V7			dcml	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
29	28	1/2	1/2	6/8	1	1	V(64)			dcml	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
30	29	1/8	1/8	6/8	1	1	V			dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
30	29	1/4	1/4	6/8	1	1	V(64)			dcml	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
30	29	1/2	1/2	6/8	1	1	V]			dcml	f	i		V		V					]		M	1	1	1, 5, 2		1	1
30	29	5/8	5/8	6/8	1	1	#viio/iv			dcml	f	i		#viio/iv		#vii	o			iv			o	1	1	4, 1, -2		4	4
31	30	0	0	6/8	1	1	VI7(7)			dcml	f	i		VI7(7)		VI		7	7				Mm7	1	1	-4, 0, -3, -6		-4	-4
31	30	1/4	1/4	6/8	1	1	#viio6/v			dcml	f	i		#viio6/v		#vii	o	6		v			o	1	1	3, 0, 6		6	3
31	30	3/8	3/8	6/8	1	1	v6			dcml	f	i		v6		v		6					m	1	1	-2, 2, 1		1	-2
31	30	5/8	5/8	6/8	1	1	V6(+#1)			dcml	f	i		V6(+#1)		V		6	+#1				M	1	1	5, 2, 1		1	5
32	31	0	0	6/8	1	1	i(7)			dcml	f	i		i(7)		i			7				m	1	1	0, -3, 1	-2	0	0
32	31	1/8	1/8	6/8	1	1	i(#6)			dcml	f	i		i(#6)		i			#6				m	1	1	0, -3, 1	3	0	0
32	31	1/4	1/4	6/8	1	1	V64			dcml	f	i		V64		V		64					M	1	1	2, 1, 5		1	2
32	31	3/8	3/8	6/8	1	1	i6(9)			dcml	f	i		i6(9)		i		6	9				m	1	1	-3, 1, 0	2	0	-3
32	31	1/2	1/2	6/8	1	1	i6			dcml	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
32	31	5/8	5/8	6/8	1	1	v.#viio6/V			dcml	f	v		#viio6/V		#vii	o	6		V			o	1	1	10, 7, 13		13	10
33	32	0	0	6/8	1	1	V6(9)	1.77613	-5.2483	dcml	f	v		V6(9)		V		6	9				M	1	1	5, 2, 1	-4	1	5
33	32	1/8	1/8	6/8	1	1	V6	0.444033	-4.56414	dcml	f	v		V6		V		6					M	1	1	5, 2, 1		1	5
33	32	1/4	1/4	6/8	1	1	i(9)	0	-3.56276	dcml	f	v		i(9)		i			9				m	1	1	0, -3, 1	2	0	0
33	32	3/8	3/8	6/8	1	1	#viio43/V	0	-3.39303	dcml	f	v		#viio43/V		#vii	o	43		V			o7	1	1	7, 4, 13, 10		13	7
37	36	0	0	6/8	1	1	#viio7			dcml	f	v		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
41	40	0	0	6/8	1	1	V43	0	-3.08537	dcml	f	v		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
41	40	1/4	1/4	6/8	1	1	i	0	-3.81207	dcml	f	v		i		i							m	1	1	0, -3, 1		0	0
41	40	3/8	3/8	6/8	1	1	V6	0	-4.05809	dcml	f	v		V6		V		6					M	1	1	5, 2, 1		1	5
41	40	1/2	1/2	6/8	1	1	V	0.0888065	-4.95295	dcml	f	v		V		V							M	1	1	1, 5, 2		1	1
41	40	5/8	5/8	6/8	1	1	i	0	-5.53744	dcml	f	v		i		i							m	1	1	0, -3, 1		0	0
42	41	0	0	6/8	1	1	V43	0	-3.23804	dcml	f	v		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
42	41	1/4	1/4	6/8	1	1	i	0	-4.14009	dcml	f	v		i		i							m	1	1	0, -3, 1		0	0
42	41	3/8	3/8	6/8	1	1	V6	0	-3.56606	dcml	f	v		V6		V		6					M	1	1	5, 2, 1		1	5
42	41	1/2	1/2	6/8	1	1	V	0.26642	-5.11017	dcml	f	v		V		V							M	1	1	1, 5, 2		1	1
42	41	5/8	5/8	6/8	1	1	i	-0.106316	-5.15854	dcml	f	v		i		i							m	1	1	0, -3, 1		0	0
43	42	0	0	6/8	1	1	ii%65	-0.78049	-4.45123	dcml	f	v		ii%65		ii	%	65					%7	1	1	1, 8, 0, 2		2	1
44	43	0	0	6/8	1	1	V[V(64)	-0.390245	-4.46617	dcml	f	v	V	V(64)		V			64				M	1	1	1, 0, -3		1	1
46	45	0	0	6/8	1	1	V7]	0.73171	-5.71952	dcml	f	v		V7		V		7			]		Mm7	1	1	1, 5, 2, -1		1	1
47	46	0	0	6/8	1	1	i	0.73171	-6.15855	dcml	f	v		i		i							m	1	1	0, -3, 1		0	0
48	47	0	0	6/8	1	1	V7	0	-5.57318	dcml	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
49	48	0	0	6/8	1	1	i	0.439026	-6.15855	dcml	f	v		i		i							m	1	1	0, -3, 1		0	0
50	49	3/8	3/8	6/8	1	1	i.V			dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
51	50	3/8	3/8	6/8	1	1	V7	0	-4.06098	dcml	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
52	51	0	0	6/8	1	1	i[i	0.390245	-4.04349	dcml	f	i	i	i		i							m	1	1	0, -3, 1		0	0
54	53	0	0	6/8	1	1	iv	0	-4.80519	dcml	f	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
54	53	3/8	3/8	6/8	1	1	i	0	-4.2561	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
55	54	0	0	6/8	1	1	iv	0.195123	-4.64635	dcml	f	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
55	54	3/8	3/8	6/8	1	1	i]	0.195123	-4.06098	dcml	f	i		i		i					]		m	1	1	0, -3, 1		0	0
56	55	0	0	6/8	1	1	V7/VI			dcml	f	i		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
56	55	3/8	3/8	6/8	1	1	VI			dcml	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
57	56	0	0	6/8	1	1	V7/VI			dcml	f	i		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
57	56	3/8	3/8	6/8	1	1	VI			dcml	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
58	57	0	0	6/8	1	1	V7/III			dcml	f	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
58	57	3/8	3/8	6/8	1	1	III			dcml	f	i		III		III							M	1	1	-3, 1, -2		-3	-3
59	58	0	0	6/8	1	1	VI	0.28393	-3.64874	dcml	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
59	58	3/8	3/8	6/8	1	1	VII			dcml	f	i		VII		VII							M	1	1	-2, 2, -1		-2	-2
59	58	5/8	5/8	6/8	1	1	#viio7/iv	-0.372736	-3.6639	dcml	f	i		#viio7/iv		#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
61	60	5/8	5/8	6/8	1	1	#viio2/V			dcml	f	i		#viio2/V		#vii	o	2		V			o7	1	1	4, 13, 10, 7		13	4
63	62	5/8	5/8	6/8	1	1	#vii43/V	-1.95123	-3.28049	dcml	f	i		#vii43/V		#vii		43		V			mm7	1	1	14, 11, 13, 10		13	14
65	64	5/8	5/8	6/8	1	1	VI.V65/IV	0	-4.97774	dcml	f	VI		V65/IV		V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
66	65	3/8	3/8	6/8	1	1	IV	-0.301438	-4.43246	dcml	f	VI		IV		IV							M	1	0	-1, 3, 0		-1	-1
67	66	0	0	6/8	1	1	ii6	0	-3.67074	dcml	f	VI		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
68	67	0	0	6/8	1	1	V(64)	0	-3.67074	dcml	f	VI		V(64)		V			64				M	1	0	1, 0, 4		1	1
69	68	0	0	6/8	1	1	V7			dcml	f	VI		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
70	69	0	0	6/8	1	1	I	0	-4.45123	dcml	f	VI		I		I							M	1	0	0, 4, 1		0	0
70	69	3/8	3/8	6/8	1	1	V7/ii	0	-5.03659	dcml	f	VI		V7/ii		V		7		ii			Mm7	1	0	3, 7, 4, 1		3	3
71	70	0	0	6/8	1	1	ii	0.146342	-5.42684	dcml	f	VI		ii		ii							m	1	0	2, -1, 3		2	2
71	70	3/8	3/8	6/8	1	1	V/iv	0.73171	-6.01221	dcml	f	VI		V/iv		V				iv			M	1	0	0, 4, 1		0	0
72	71	0	0	6/8	1	1	.vi.iv[iv	0	-6.89026	dcml	f	vi	iv	iv		iv							m	1	1	-1, -4, 0		-1	-1
72	71	1/8	1/8	6/8	1	1	V6/vi	0	-4.2561	dcml	f	vi		V6/vi		V		6		vi			M	1	1	1, -2, -3		-3	1
72	71	1/4	1/4	6/8	1	1	V7/vi	0	-5.03659	dcml	f	vi		V7/vi		V		7		vi			Mm7	1	1	-3, 1, -2, -5		-3	-3
72	71	3/8	3/8	6/8	1	1	vi	0	-5.57318	dcml	f	vi		vi		vi							m	1	1	-4, -7, -3		-4	-4
72	71	1/2	1/2	6/8	1	1	V6	-0.292684	-5.57318	dcml	f	vi		V6		V		6					M	1	1	5, 2, 1		1	5
72	71	5/8	5/8	6/8	1	1	#viio7	0.146342	-6.01221	dcml	f	vi		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
73	72	0	0	6/8	1	1	i	0.146342	-5.2805	dcml	f	vi		i		i							m	1	1	0, -3, 1		0	0
73	72	1/4	1/4	6/8	1	1	V7/vi	0	-6.15855	dcml	f	vi		V7/vi		V		7		vi			Mm7	1	1	-3, 1, -2, -5		-3	-3
73	72	3/8	3/8	6/8	1	1	iv	0	-5.57318	dcml	f	vi		iv		iv							m	1	1	-1, -4, 0		-1	-1
73	72	1/2	1/2	6/8	1	1	V6	-0.292684	-5.57318	dcml	f	vi		V6		V		6					M	1	1	5, 2, 1		1	5
73	72	5/8	5/8	6/8	1	1	#viio7	0.146342	-6.01221	dcml	f	vi		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
74	73	0	0	6/8	1	1	i	0.146342	-5.2805	dcml	f	vi		i		i							m	1	1	0, -3, 1		0	0
74	73	3/8	3/8	6/8	1	1	i[i	0.634149	-5.38734	dcml	f	vi	i	i		i							m	1	1	0, -3, 1		0	0
74	73	1/2	1/2	6/8	1	1	v(7)	-0.439026	-5.40157	dcml	f	vi		v(7)		v			7				m	1	1	1, -2, 2	-1	1	1
74	73	5/8	5/8	6/8	1	1	i	0	-4.99462	dcml	f	vi		i		i							m	1	1	0, -3, 1		0	0
75	74	1/8	1/8	6/8	1	1	#viio7	-1.06067	-5.24422	dcml	f	vi		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
75	74	1/4	1/4	6/8	1	1	i	0.146342	-5.13416	dcml	f	vi		i		i							m	1	1	0, -3, 1		0	0
75	74	3/8	3/8	6/8	1	1	V65	0.292684	-5.71952	dcml	f	vi		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
76	75	0	0	6/8	1	1	i.iv(4)	0	-5.71952	dcml	f	i		iv(4)		iv			4				m	1	1	-1, -2, 0		-1	-1
76	75	1/8	1/8	6/8	1	1	iio	0.195123	-6.01221	dcml	f	i		iio		ii	o						o	1	1	2, -1, -4		2	2
76	75	1/4	1/4	6/8	1	1	V6	0	-5.42684	dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
76	75	1/2	1/2	6/8	1	1	V[V	-0.195123	-4.74813	dcml	f	i	V	V		V							M	1	1	1, 5, 2		1	1
76	75	5/8	5/8	6/8	1	1	i	0.390245	-4.2561	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
77	76	1/8	1/8	6/8	1	1	V6	0	-3.67074	dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
77	76	1/4	1/4	6/8	1	1	i	0.585368	-3.67074	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
77	76	3/8	3/8	6/8	1	1	i6	0	-3.47561	dcml	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
77	76	1/2	1/2	6/8	1	1	V64(9)	-0.975613	-3.28049	dcml	f	i		V64(9)		V		64	9				M	1	1	2, 1, 5	-4	1	2
77	76	5/8	5/8	6/8	1	1	i6	0.390245	-3.08537	dcml	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
78	77	0	0	6/8	1	1	i6	0	-3.47561	dcml	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
78	77	1/8	1/8	6/8	1	1	V	0.195123	-5.23172	dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
78	77	1/4	1/4	6/8	1	1	V2	0.585368	-6.01221	dcml	f	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
78	77	3/8	3/8	6/8	1	1	i6(4)	0	-5.2805	dcml	f	i		i6(4)		i		6	4				m	1	1	-1, 1, 0		0	-1
79	78	0	0	6/8	1	1	i			dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
80	79	0	0	6/8	1	1	V			dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
80	79	1/4	1/4	6/8	1	1	V7	0	-3.15604	dcml	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
80	79	1/2	1/2	6/8	1	1	i6	0.0175099	-4.0247	dcml	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
80	79	5/8	5/8	6/8	1	1	V	0.26642	-4.52743	dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
81	80	0	0	6/8	1	1	i64	0.26642	-4.74007	dcml	f	i		i64		i		64					m	1	1	1, 0, -3		0	1
81	80	1/4	1/4	6/8	1	1	V/iv]	-0.818028	-5.2156	dcml	f	i		V/iv		V				iv	]		M	1	1	0, 4, 1		0	0
81	80	3/8	3/8	6/8	1	1	iv6(4)	-0.0888065	-4.68465	dcml	f	i		iv6(4)		iv		6	4				m	1	1	-2, 0, -1		-1	-2
81	80	1/2	1/2	6/8	1	1	iv6	0	-3.86586	dcml	f	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
81	80	5/8	5/8	6/8	1	1	V43	0	-4.2561	dcml	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
82	81	0	0	6/8	1	1	V[V6(9)	0	-6.20733	dcml	f	i	V	V6(9)		V		6	9				M	1	1	5, 2, 1	-4	1	5
82	81	1/8	1/8	6/8	1	1	V6	-0.195123	-6.40245	dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
82	81	1/4	1/4	6/8	1	1	iio/V	-1.60976	-6.59758	dcml	f	i		iio/V		ii	o			V			o	1	1	3, 0, -3		3	3
82	81	3/8	3/8	6/8	1	1	V(6)/V	0.878052	-5.86587	dcml	f	i		V(6)/V		V			6	V			M	1	1	2, 6, 5		2	2
82	81	1/2	1/2	6/8	1	1	V/V	-0.146342	-6.01221	dcml	f	i		V/V		V				V			M	1	1	2, 6, 3		2	2
82	81	5/8	5/8	6/8	1	1	V	0	-6.01221	dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
83	82	0	0	6/8	1	1	i6	-0.0625422	-6.61424	dcml	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
83	82	1/8	1/8	6/8	1	1	i6(+#7)	-0.177613	-7.03329	dcml	f	i		i6(+#7)		i		6	+#7				m	1	1	-3, 1, 0	5	0	-3
83	82	1/4	1/4	6/8	1	1	i6]	0.585368	-6.45123	dcml	f	i		i6		i		6			]		m	1	1	-3, 1, 0		0	-3
83	82	3/8	3/8	6/8	1	1	#viio7/V	1.31708	-6.15855	dcml	f	i		#viio7/V		#vii	o	7		V			o7	1	1	13, 10, 7, 4		13	13
87	86	0	0	6/8	1	1	#viio65			dcml	f	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
91	90	0	0	6/8	1	1	V7			dcml	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
91	90	1/4	1/4	6/8	1	1	i			dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
91	90	3/8	3/8	6/8	1	1	V6			dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
91	90	1/2	1/2	6/8	1	1	V	0	-2.7982	dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
91	90	5/8	5/8	6/8	1	1	i	0.0888065	-3.14442	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
92	91	0	0	6/8	1	1	V6			dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
92	91	1/4	1/4	6/8	1	1	i			dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
92	91	3/8	3/8	6/8	1	1	V6			dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
92	91	1/2	1/2	6/8	1	1	V	0	-3.39303	dcml	f	i		V		V							M	1	1	1, 5, 2		1	1
92	91	5/8	5/8	6/8	1	1	i	0	-3.95794	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
93	92	0	0	6/8	1	1	ii65			dcml	f	i		ii65		ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
94	93	0	0	6/8	1	1	V(64)			dcml	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
95	94	0	0	6/8	1	1	i6	0	-4.06098	dcml	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
95	94	5/8	5/8	6/8	1	1	i	0.444033	-4.18732	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
96	95	0	0	6/8	1	1	V2	0.195123	-4.06098	dcml	f	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
96	95	1/4	1/4	6/8	1	1	V43	0	-3.65449	dcml	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
96	95	3/8	3/8	6/8	1	1	V7	0.177613	-4.00971	dcml	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
97	96	0	0	6/8	1	1	i	0.195123	-3.86586	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
97	96	1/8	1/8	6/8	1	1	i6	0.0888065	-3.65449	dcml	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
98	97	0	0	6/8	1	1	V2	0	-4.06098	dcml	f	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
98	97	1/4	1/4	6/8	1	1	V43	0	-3.74329	dcml	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
98	97	3/8	3/8	6/8	1	1	V7	0	-3.74329	dcml	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
