mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
23	21	129/2	1.5	0	0	6/8	4	1	#iv7	D	I		#iv7		#iv		7						mm7	0	0	6, 3, 7, 4		6	6
23	21	66	1.5	3/8	3/8	6/8	4	1	ii6	D	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
24	22	135/2	1.0	0	0	6/8	4	1	V7(2)	D	I		V7(2)		V		7	2					Mm7	0	0	3, 5, 2, -1		1	3
24	22	137/2	0.5	1/4	1/4	6/8	4	1	V(64)	D	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
24	22	69	1.5	3/8	3/8	6/8	4	1	V7	D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
25	23	141/2	1.5	0	0	6/8	4	1	I\\	D	I		I		I							\\	M	0	0	0, 4, 1		0	0
25	23	72	1.5	3/8	3/8	6/8	4	1	V7	D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
26	24	147/2	1.0	0	0	6/8	4	1	I6(4)	D	I		I6(4)		I		6	4					M	0	0	-1, 1, 0		0	-1
26	24	149/2	0.5	1/4	1/4	6/8	4	1	I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
26	24	75	1.0	3/8	3/8	6/8	4	1	I(2)	D	I		I(2)		I			2					M	0	0	2, 4, 1		0	2
26	24	76	0.5	5/8	5/8	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
27	25	153/2	1.0	0	0	6/8	4	1	V6(4)	D	I		V6(4)		V		6	4					M	0	0	0, 2, 1		1	0
27	25	155/2	0.5	1/4	1/4	6/8	4	1	V6	D	I		V6		V		6						M	0	0	5, 2, 1		1	5
27	25	78	1.5	3/8	3/8	6/8	4	1	V65	D	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
28	26	159/2	1.5	0	0	6/8	4	1	V43(2)	D	I		V43(2)		V		43	2					Mm7	0	0	2, -1, 3, 5		1	2
28	26	81	1.5	3/8	3/8	6/8	4	1	V2	D	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
29	27	165/2	1.5	0	0	6/8	4	1	I6(7)	D	I		I6(7)		I		6	7					M	0	0	4, 1, 5		0	4
29	27	84	1.0	3/8	3/8	6/8	4	1	I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
29	27	85	0.5	5/8	5/8	6/8	4	1	I+6	D	I		I+6		I	+	6						+	0	0	4, 8, 0		0	4
30	28	171/2	1.0	0	0	6/8	4	1	ii65(4)	D	I		ii65(4)		ii		65	4					mm7	0	0	1, 3, 0, 2		2	1
30	28	173/2	0.5	1/4	1/4	6/8	4	1	ii65	D	I		ii65		ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
30	28	87	1.5	3/8	3/8	6/8	4	1	V	D	I		V		V								M	0	0	1, 5, 2		1	1
31	29	177/2	1.5	0	0	6/8	4	1	I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
31	29	90	1.5	3/8	3/8	6/8	4	1	I(4)	D	I		I(4)		I			4					M	0	0	0, -1, 1		0	0
32	30	183/2	1.5	0	0	6/8	4	1	I6(4)	D	I		I6(4)		I		6	4					M	0	0	-1, 1, 0		0	-1
32	30	93	1.5	3/8	3/8	6/8	4	1	I(2)	D	I		I(2)		I			2					M	0	0	2, 4, 1		0	2
33	31	189/2	1.5	0	0	6/8	4	1	V6/V	D	I		V6/V		V		6		V				M	0	0	6, 3, 2		2	6
33	31	96	1.5	3/8	3/8	6/8	4	1	V6(7)/V	D	I		V6(7)/V		V		6	7	V				M	0	0	6, 3, 0		2	6
34	32	195/2	1.5	0	0	6/8	4	1	V6(4)/V	D	I		V6(4)/V		V		6	4	V				M	0	0	1, 3, 2		2	1
34	32	99	1.5	3/8	3/8	6/8	4	1	V65/V	D	I		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
35	33	201/2	3.0	0	0	6/8	4	1	V.I\\	D	V		I		I							\\	M	0	0	0, 4, 1		0	0
36	34	207/2	1.5	0	0	6/8	4	1	I(2)	D	V		I(2)		I			2					M	0	0	2, 4, 1		0	2
36	34	105	1.5	3/8	3/8	6/8	4	1	I(4)	D	V		I(4)		I			4					M	0	0	0, -1, 1		0	0
37	35	213/2	1.5	0	0	6/8	4	1	V43	D	V		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
37	35	108	1.5	3/8	3/8	6/8	4	1	V43(7)	D	V		V43(7)		V		43	7					Mm7	0	0	2, -1, 1, 5		1	2
38	36	219/2	1.5	0	0	6/8	4	1	V43(2)	D	V		V43(2)		V		43	2					Mm7	0	0	2, -1, 3, 5		1	2
38	36	111	1.5	3/8	3/8	6/8	4	1	V43	D	V		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
39	37	225/2	1.5	0	0	6/8	4	1	I6(4)	D	V		I6(4)		I		6	4					M	0	0	-1, 1, 0		0	-1
39	37	114	1.5	3/8	3/8	6/8	4	1	V7/vi	D	V		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
40	38	231/2	1.5	0	0	6/8	4	1	ii6	D	V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
40	38	117	1.5	3/8	3/8	6/8	4	1	#viio43/ii	D	V		#viio43/ii		#vii	o	43		ii				o7	0	0	1, -2, 7, 4		7	1
41	39	237/2	1.5	0	0	6/8	4	1	V6/V	D	V		V6/V		V		6		V				M	0	0	6, 3, 2		2	6
41	39	120	1.5	3/8	3/8	6/8	4	1	Ger6	D	V		Ger6	Ger	vii	o	65	b3	V				Ger	0	0	-4, 0, -3, 6		6	-4
42	40	243/2	1.5	0	0	6/8	4	1	III	D	V		III		III								M	0	0	4, 8, 5		4	4
42	40	123	1.5	3/8	3/8	6/8	4	1	V65	D	V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
43	41	249/2	1.5	0	0	6/8	4	1	vi	D	V		vi		vi								m	0	0	3, 0, 4		3	3
43	41	126	1.5	3/8	3/8	6/8	4	1	V/vi	D	V		V/vi		V				vi				M	0	0	4, 8, 5		4	4
44	42	255/2	1.5	0	0	6/8	4	1	V7/vi	D	V		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
44	42	129	1.5	3/8	3/8	6/8	4	1	V(64)/vi	D	V		V(64)/vi		V			64	vi				M	0	0	4, 3, 0		4	4
45	43	261/2	13.5	0	0	6/8	4	1	V/vi	D	V		V/vi		V				vi				M	0	0	4, 8, 5		4	4
49	47	144	1.5	3/8	3/8	6/8	4	1	II.I	D	II		I		I								M	0	0	0, 4, 1		0	0
50	48	291/2	3.0	0	0	6/8	4	1	I[I	D	II	I	I		I								M	0	0	0, 4, 1		0	0
51	49	297/2	1.5	0	0	6/8	4	1	IV(#4#2)	D	II		IV(#4#2)		IV			#4#2					M	0	0	-1, 8, 12		-1	-1
51	49	150	3.0	3/8	3/8	6/8	4	1	IV	D	II		IV		IV								M	0	0	-1, 3, 0		-1	-1
52	50	153	1.5	3/8	3/8	6/8	4	1	IV64]	D	II		IV64		IV		64			]			M	0	0	0, -1, 3		-1	0
53	51	309/2	1.0	0	0	6/8	4	1	I(6)	D	II		I(6)		I			6					M	0	0	0, 4, 3		0	0
53	51	311/2	0.5	1/4	1/4	6/8	4	1	I	D	II		I		I								M	0	0	0, 4, 1		0	0
53	51	156	1.5	3/8	3/8	6/8	4	1	I6	D	II		I6		I		6						M	0	0	4, 1, 0		0	4
54	52	315/2	1.5	0	0	6/8	4	1	I	D	II		I		I								M	0	0	0, 4, 1		0	0
54	52	159	1.0	3/8	3/8	6/8	4	1	ii7	D	II		ii7		ii		7						mm7	0	0	2, -1, 3, 0		2	2
54	52	160	0.5	5/8	5/8	6/8	4	1	iii	D	II		iii		iii								m	0	0	4, 1, 5		4	4
55	53	321/2	1.5	0	0	6/8	4	1	IV(#4#2)	D	II		IV(#4#2)		IV			#4#2					M	0	0	-1, 8, 12		-1	-1
55	53	162	1.5	3/8	3/8	6/8	4	1	IV	D	II		IV		IV								M	0	0	-1, 3, 0		-1	-1
56	54	327/2	3.0	0	0	6/8	4	1	IV6	D	II		IV6		IV		6						M	0	0	3, 0, -1		-1	3
57	55	333/2	1.5	0	0	6/8	4	1	I	D	II		I		I								M	0	0	0, 4, 1		0	0
57	55	168	1.0	3/8	3/8	6/8	4	1	I64	D	II		I64		I		64						M	0	0	1, 0, 4		0	1
57	55	169	3.0	5/8	5/8	6/8	4	1	V2/IV	D	II		V2/IV		V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
58	56	172	0.5	5/8	5/8	6/8	4	1	IV	D	II		IV		IV								M	0	0	-1, 3, 0		-1	-1
59	57	345/2	1.5	0	0	6/8	4	1	IV(2)	D	II		IV(2)		IV			2					M	0	0	1, 3, 0		-1	1
59	57	174	1.0	3/8	3/8	6/8	4	1	ii(4)	D	II		ii(4)		ii			4					m	0	0	2, 1, 3		2	2
59	57	175	0.5	5/8	5/8	6/8	4	1	V.iii6	D	V		iii6		iii		6						m	0	0	1, 5, 4		4	1
60	58	351/2	3.0	0	0	6/8	4	1	V7	D	V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
61	59	357/2	1.5	0	0	6/8	4	1	I	D	V		I		I								M	0	0	0, 4, 1		0	0
61	59	180	1.5	3/8	3/8	6/8	4	1	V6(7)	D	V		V6(7)		V		6	7					M	0	0	5, 2, -1		1	5
62	60	363/2	1.5	0	0	6/8	4	1	V6	D	V		V6		V		6						M	0	0	5, 2, 1		1	5
62	60	183	1.0	3/8	3/8	6/8	4	1	V6(7)	D	V		V6(7)		V		6	7					M	0	0	5, 2, -1		1	5
62	60	184	0.5	5/8	5/8	6/8	4	1	V65	D	V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
63	61	369/2	1.0	0	0	6/8	4	1	I	D	V		I		I								M	0	0	0, 4, 1		0	0
63	61	371/2	0.5	1/4	1/4	6/8	4	1	ii	D	V		ii		ii								m	0	0	2, -1, 3		2	2
63	61	186	1.0	3/8	3/8	6/8	4	1	viio7/ii	D	V		viio7/ii		vii	o	7		ii				o7	0	0	0, -3, -6, -9		0	0
63	61	187	0.5	5/8	5/8	6/8	4	1	ii	D	V		ii		ii								m	0	0	2, -1, 3		2	2
64	62	375/2	1.5	0	0	6/8	4	1	V43/ii	D	V		V43/ii		V		43		ii				Mm7	0	0	4, 1, 3, 7		3	4
64	62	189	1.5	3/8	3/8	6/8	4	1	viio7/ii	D	V		viio7/ii		vii	o	7		ii				o7	0	0	0, -3, -6, -9		0	0
65	63	381/2	1.0	0	0	6/8	4	1	ii	D	V		ii		ii								m	0	0	2, -1, 3		2	2
65	63	383/2	0.5	1/4	1/4	6/8	4	1	I.I	D	I		I		I								M	0	0	0, 4, 1		0	0
65	63	192	1.0	3/8	3/8	6/8	4	1	vii%7	D	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
65	63	193	0.5	5/8	5/8	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
66	64	387/2	1.5	0	0	6/8	4	1	V65	D	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
66	64	195	1.0	3/8	3/8	6/8	4	1	V6(7)	D	I		V6(7)		V		6	7					M	0	0	5, 2, -1		1	5
66	64	196	0.5	5/8	5/8	6/8	4	1	V7	D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
67	65	393/2	1.5	0	0	6/8	4	1	I(4)	D	I		I(4)		I			4					M	0	0	0, -1, 1		0	0
67	65	198	3.0	3/8	3/8	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
68	66	201	3.0	3/8	3/8	6/8	4	1	V6	D	I		V6		V		6						M	0	0	5, 2, 1		1	5
69	67	204	3.0	3/8	3/8	6/8	4	1	vi7	D	I		vi7		vi		7						mm7	0	0	3, 0, 4, 1		3	3
70	68	207	1.5	3/8	3/8	6/8	4	1	V	D	I		V		V								M	0	0	1, 5, 2		1	1
71	69	417/2	3.0	0	0	6/8	4	1	V2	D	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
72	70	423/2	3.0	0	0	6/8	4	1	I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
73	71	429/2	3.0	0	0	6/8	4	1	V43	D	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
74	72	435/2	1.0	0	0	6/8	4	1	V65	D	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
74	72	437/2	0.5	1/4	1/4	6/8	4	1	V43	D	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
74	72	219	1.5	3/8	3/8	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
75	73	441/2	3.0	0	0	6/8	4	1	V6	D	I		V6		V		6						M	0	0	5, 2, 1		1	5
76	74	447/2	1.0	0	0	6/8	4	1	I(4)	D	I		I(4)		I			4					M	0	0	0, -1, 1		0	0
76	74	449/2	2.0	1/4	1/4	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
77	75	453/2	1.0	0	0	6/8	4	1	V.V65(7)	D	V		V65(7)		V		65	7					Mm7	0	0	5, 2, -1, 1		1	5
77	75	455/2	0.5	1/4	1/4	6/8	4	1	V43	D	V		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
77	75	228	1.0	3/8	3/8	6/8	4	1	I	D	V		I		I								M	0	0	0, 4, 1		0	0
77	75	229	0.5	5/8	5/8	6/8	4	1	V6	D	V		V6		V		6						M	0	0	5, 2, 1		1	5
78	76	459/2	1.0	0	0	6/8	4	1	I	D	V		I		I								M	0	0	0, 4, 1		0	0
78	76	461/2	0.5	1/4	1/4	6/8	4	1	IV	D	V		IV		IV								M	0	0	-1, 3, 0		-1	-1
78	76	231	1.0	3/8	3/8	6/8	4	1	V(64)	D	V		V(64)		V			64					M	0	0	1, 0, 4		1	1
78	76	232	0.5	5/8	5/8	6/8	4	1	V2	D	V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
79	77	465/2	3.0	0	0	6/8	4	1	I6	D	V		I6		I		6						M	0	0	4, 1, 0		0	4
80	78	471/2	1.0	0	0	6/8	4	1	I.I[I(4)	D	I	I	I(4)		I			4					M	0	0	0, -1, 1		0	0
80	78	473/2	2.0	1/4	1/4	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
81	79	477/2	3.0	0	0	6/8	4	1	V7/iv	D	I		V7/iv		V		7		iv				Mm7	0	0	0, 4, 1, -2		0	0
82	80	483/2	1.5	0	0	6/8	4	1	V7/iv	D	I		V7/iv		V		7		iv				Mm7	0	0	0, 4, 1, -2		0	0
82	80	243	2.5	3/8	3/8	6/8	4	1	iv64	D	I		iv64		iv		64						m	0	0	0, -1, -4		-1	0
83	81	491/2	0.5	1/4	1/4	6/8	4	1	IV64	D	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
83	81	246	3.0	3/8	3/8	6/8	4	1	#viio2/iii	D	I		#viio2/iii		#vii	o	2		iii				o7	0	0	0, 9, 6, 3		9	0
84	82	249	1.0	3/8	3/8	6/8	4	1	I(6)	D	I		I(6)		I			6					M	0	0	0, 4, 3		0	0
84	82	250	0.5	5/8	5/8	6/8	4	1	I]	D	I		I		I					]			M	0	0	0, 4, 1		0	0
85	83	501/2	4.5	0	0	6/8	4	1	V[I	D	I	V	I		I								M	0	0	0, 4, 1		0	0
86	84	255	1.5	3/8	3/8	6/8	4	1	I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
87	85	513/2	1.5	0	0	6/8	4	1	IV(4#2)	D	I		IV(4#2)		IV			4#2					M	0	0	-1, 8, 5, 0		-1	-1
87	85	258	4.5	3/8	3/8	6/8	4	1	IV	D	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
89	87	525/2	1.5	0	0	6/8	4	1	I]	D	I		I		I					]			M	0	0	0, 4, 1		0	0
89	87	264	4.5	3/8	3/8	6/8	4	1	I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
91	89	537/2	6.0	0	0	6/8	4	1	IV(4#2)	D	I		IV(4#2)		IV			4#2					M	0	0	-1, 8, 5, 0		-1	-1
93	91	549/2	3.0	0	0	6/8	4	1	I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
94	92	555/2	1.5	0	0	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
94	92	279	1.5	3/8	3/8	6/8	4	1	I6(#7)	D	I		I6(#7)		I		6	#7					M	0	0	4, 1, 12		0	4
95	93	561/2	1.5	0	0	6/8	4	1	IV(4#2)	D	I		IV(4#2)		IV			4#2					M	0	0	-1, 8, 5, 0		-1	-1
95	93	282	4.5	3/8	3/8	6/8	4	1	IV	D	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
97	95	573/2	1.5	0	0	6/8	4	1	I(6)	D	I		I(6)		I			6					M	0	0	0, 4, 3		0	0
97	95	288	1.5	3/8	3/8	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
98	96	579/2	1.5	0	0	6/8	4	1	vi	D	I		vi		vi								m	0	0	3, 0, 4		3	3
98	96	291	1.5	3/8	3/8	6/8	4	1	#viio2/ii	D	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-2, 7, 4, 1		7	-2
99	97	585/2	1.5	0	0	6/8	4	1	V7/ii	D	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
99	97	294	1.5	3/8	3/8	6/8	4	1	iio6	D	I		iio6		ii	o	6						o	0	0	-1, -4, 2		2	-1
100	98	591/2	1.5	0	0	6/8	4	1	V2	D	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
100	98	297	1.5	3/8	3/8	6/8	4	1	V(64)	D	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
101	99	597/2	1.5	0	0	6/8	4	1	IV6	D	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
101	99	300	1.5	3/8	3/8	6/8	4	1	IV.I	D	IV		I		I								M	0	0	0, 4, 1		0	0
102	100	603/2	1.5	0	0	6/8	4	1	I(#7)	D	IV		I(#7)		I			#7					M	0	0	0, 4, 1	12	0	0
102	100	303	1.5	3/8	3/8	6/8	4	1	V7/IV	D	IV		V7/IV		V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
103	101	609/2	1.5	0	0	6/8	4	1	vi	D	IV		vi		vi								m	0	0	3, 0, 4		3	3
103	101	306	1.5	3/8	3/8	6/8	4	1	iio6	D	IV		iio6		ii	o	6						o	0	0	-1, -4, 2		2	-1
104	102	615/2	1.0	0	0	6/8	4	1	V(64+2)	D	IV		V(64+2)		V			64+2					M	0	0	1, 0, 4	3	1	1
104	102	617/2	0.5	1/4	1/4	6/8	4	1	V(64)	D	IV		V(64)		V			64					M	0	0	1, 0, 4		1	1
104	102	309	1.0	3/8	3/8	6/8	4	1	V7(4)	D	IV		V7(4)		V		7	4					Mm7	0	0	1, 0, 2, -1		1	1
104	102	310	0.5	5/8	5/8	6/8	4	1	V7	D	IV		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
105	103	621/2	3.0	0	0	6/8	4	1	I	D	IV		I		I								M	0	0	0, 4, 1		0	0
106	104	627/2	3.0	0	0	6/8	4	1	ii.i	D	ii		i		i								m	0	1	0, -3, 1		0	0
107	105	633/2	1.5	0	0	6/8	4	1	V(4)	D	ii		V(4)		V			4					M	0	1	1, 0, 2		1	1
107	105	318	1.5	3/8	3/8	6/8	4	1	V2	D	ii		V2		V		2						Mm7	0	1	-1, 1, 5, 2		1	-1
108	106	639/2	1.0	0	0	6/8	4	1	V	D	ii		V		V								M	0	1	1, 5, 2		1	1
108	106	641/2	0.5	1/4	1/4	6/8	4	1	i6	D	ii		i6		i		6						m	0	1	-3, 1, 0		0	-3
108	106	321	1.0	3/8	3/8	6/8	4	1	V2(4)	D	ii		V2(4)		V		2	4					Mm7	0	1	-1, 1, 0, 2		1	-1
108	106	322	0.5	5/8	5/8	6/8	4	1	V6	D	ii		V6		V		6						M	0	1	5, 2, 1		1	5
109	107	645/2	1.0	0	0	6/8	4	1	i64	D	ii		i64		i		64						m	0	1	1, 0, -3		0	1
109	107	647/2	0.5	1/4	1/4	6/8	4	1	vi.i	D	vi		i		i								m	0	1	0, -3, 1		0	0
109	107	324	1.0	3/8	3/8	6/8	4	1	i(6)	D	vi		i(6)		i			6					m	0	1	0, -3, -4		0	0
109	107	325	0.5	5/8	5/8	6/8	4	1	i(42)	D	vi		i(42)		i			42					m	0	1	2, -1, 1		0	2
110	108	651/2	1.0	0	0	6/8	4	1	i	D	vi		i		i								m	0	1	0, -3, 1		0	0
110	108	653/2	0.5	1/4	1/4	6/8	4	1	viio6	D	vi		viio6		vii	o	6						o	0	1	-5, -8, -2		-2	-5
110	108	327	1.0	3/8	3/8	6/8	4	1	V43	D	vi		V43		V		43						Mm7	0	1	2, -1, 1, 5		1	2
110	108	328	0.5	5/8	5/8	6/8	4	1	vi	D	vi		vi		vi								m	0	1	-4, -7, -3		-4	-4
111	109	657/2	1.0	0	0	6/8	4	1	viio6	D	vi		viio6		vii	o	6						o	0	1	-5, -8, -2		-2	-5
111	109	659/2	0.5	1/4	1/4	6/8	4	1	i	D	vi		i		i								m	0	1	0, -3, 1		0	0
111	109	330	1.0	3/8	3/8	6/8	4	1	i(4)	D	vi		i(4)		i			4					m	0	1	0, -1, 1		0	0
111	109	331	1.5	5/8	5/8	6/8	4	1	viio	D	vi		viio		vii	o							o	0	1	-2, -5, -8		-2	-2
112	110	665/2	1.5	1/4	1/4	6/8	4	1	i	D	vi		i		i								m	0	1	0, -3, 1		0	0
112	110	334	2.0	5/8	5/8	6/8	4	1	V2/iv	D	vi		V2/iv		V		2		iv				Mm7	0	1	-2, 0, 4, 1		0	-2
113	111	336	3.0	3/8	3/8	6/8	4	1	iv6	D	vi		iv6		iv		6						m	0	1	-4, 0, -1		-1	-4
114	112	339	1.5	3/8	3/8	6/8	4	1	Ger6	D	vi		Ger6	Ger	vii	o	65	b3	V				Ger	0	1	-4, 0, -3, 6		6	-4
115	113	681/2	1.5	0	0	6/8	4	1	V[V	D	vi	V	V		V								M	0	1	1, 5, 2		1	1
115	113	342	1.5	3/8	3/8	6/8	4	1	iio64	D	vi		iio64		ii	o	64						o	0	1	-4, 2, -1		2	-4
116	114	687/2	1.5	0	0	6/8	4	1	i6	D	vi		i6		i		6						m	0	1	-3, 1, 0		0	-3
116	114	345	1.5	3/8	3/8	6/8	4	1	iio6	D	vi		iio6		ii	o	6						o	0	1	-1, -4, 2		2	-1
117	115	693/2	1.5	0	0	6/8	4	1	i6	D	vi		i6		i		6						m	0	1	-3, 1, 0		0	-3
117	115	348	1.5	3/8	3/8	6/8	4	1	iio6	D	vi		iio6		ii	o	6						o	0	1	-1, -4, 2		2	-1
118	116	699/2	1.5	0	0	6/8	4	1	viio2	D	vi		viio2		vii	o	2						o7	0	1	-11, -2, -5, -8		-2	-11
118	116	351	1.5	3/8	3/8	6/8	4	1	i6	D	vi		i6		i		6						m	0	1	-3, 1, 0		0	-3
119	117	705/2	1.5	0	0	6/8	4	1	V64]	D	vi		V64		V		64			]			M	0	1	2, 1, 5		1	2
