quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
51	1.0	14	13	1/4	1/4	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
52	1.0	14	13	1/2	1/2	4/4	4	1		1	V43	dcml	C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
53	1.0	14	13	3/4	3/4	4/4	4	1		1	I6	dcml	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
54	1.0	15	14	0	0	4/4	4	1		1	viio6	dcml	C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
55	1.0	15	14	1/4	1/4	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
56	4.0	15	14	1/2	1/2	4/4	4	1		1	vi	dcml	C	I		vi	vi							m	0	0	3, 0, 4		3	3
60	2.0	16	15	1/2	1/2	4/4	4	1		1	iii	dcml	C	I		iii	iii							m	0	0	4, 1, 5		4	4
62	2.0	17	16	0	0	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
64	2.0	17	16	1/2	1/2	4/4	4	1		1	IV	dcml	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
66	2.0	18	17	0	0	4/4	4	1		1	viio6	dcml	C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
68	2.0	18	17	1/2	1/2	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
70	2.0	19	18	0	0	4/4	4	1		1	V	dcml	C	I		V	V							M	0	0	1, 5, 2		1	1
72	2.0	19	18	1/2	1/2	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
74	1.0	20	19	0	0	4/4	4	1		1	V	dcml	C	I		V	V							M	0	0	1, 5, 2		1	1
75	1.0	20	19	1/4	1/4	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
76	1.0	20	19	1/2	1/2	4/4	4	1		1	V7	dcml	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
77	1.0	20	19	3/4	3/4	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
78	1.0	21	20	0	0	4/4	4	1		1	viio6	dcml	C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
79	1.0	21	20	1/4	1/4	4/4	4	1		1	I6	dcml	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
80	4.0	21	20	1/2	1/2	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
84	2.0	22	21	1/2	1/2	4/4	4	1		1	V7	dcml	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
86	2.0	23	22	0	0	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
88	2.0	23	22	1/2	1/2	4/4	4	1		1	IV	dcml	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
90	2.0	24	23	0	0	4/4	4	1		1	V7	dcml	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
92	2.0	24	23	1/2	1/2	4/4	4	1		1	I\\	dcml	C	I		I	I						\\	M	0	0	0, 4, 1		0	0
94	4.0	25	24	0	0	4/4	4	1		1	IV	dcml	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
98	1.0	26	25	0	0	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
99	1.0	26	25	1/4	1/4	4/4	4	1		1	IV64	dcml	C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
100	1.0	26	25	1/2	1/2	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
101	1.0	26	25	3/4	3/4	4/4	4	1		1	ii6	dcml	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
102	1.0	27	26	0	0	4/4	4	1		1	V(64)	dcml	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
103	1.0	27	26	1/4	1/4	4/4	4	1		1	V7	dcml	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
104	4.0	27	26	1/2	1/2	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
108	2.0	28	27	1/2	1/2	4/4	4	1		1	V7	dcml	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
110	2.0	29	28	0	0	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
112	2.0	29	28	1/2	1/2	4/4	4	1		1	IV	dcml	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
114	2.0	30	29	0	0	4/4	4	1		1	ii	dcml	C	I		ii	ii							m	0	0	2, -1, 3		2	2
116	2.0	30	29	1/2	1/2	4/4	4	1		1	V	dcml	C	I		V	V							M	0	0	1, 5, 2		1	1
118	2.0	31	30	0	0	4/4	4	1		1	V/ii	dcml	C	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
120	2.0	31	30	1/2	1/2	4/4	4	1		1	II.V	dcml	C	II		V	V							M	0	0	1, 5, 2		1	1
122	1.5	32	31	0	0	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
247/2	1.5	33	32	0	0	3/8	4	1		1	V6	dcml	C	II		V6	V		6					M	0	0	5, 2, 1		1	5
125	1.5	34	33	0	0	3/8	4	1		1	vi7	dcml	C	II		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
253/2	1.5	35	34	0	0	3/8	4	1		1	iii6	dcml	C	II		iii6	iii		6					m	0	0	1, 5, 4		4	1
128	1.5	36	35	0	0	3/8	4	1		1	IV	dcml	C	II		IV	IV							M	0	0	-1, 3, 0		-1	-1
259/2	1.0	37	36	0	0	3/8	4	1		1	I6	dcml	C	II		I6	I		6					M	0	0	4, 1, 0		0	4
261/2	0.5	37	36	1/4	1/4	3/8	4	1		1	vi	dcml	C	II		vi	vi							m	0	0	3, 0, 4		3	3
131	0.5	38	37	0	0	3/8	4	1		1	vi7	dcml	C	II		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
263/2	0.5	38	37	1/8	1/8	3/8	4	1		1	V65	dcml	C	II		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
132	0.5	38	37	1/4	1/4	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
265/2	0.5	39	38	0	0	3/8	4	1		1	V64	dcml	C	II		V64	V		64					M	0	0	2, 1, 5		1	2
133	0.5	39	38	1/8	1/8	3/8	4	1		1	V65/V	dcml	C	II		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
267/2	0.5	39	38	1/4	1/4	3/8	4	1		1	V7	dcml	C	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
134	0.5	40	39	0	0	3/8	4	1		1	I\\	dcml	C	II		I	I						\\	M	0	0	0, 4, 1		0	0
269/2	1.0	40	39	1/8	1/8	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
271/2	1.5	41	40	0	0	3/8	4	1		1	V6	dcml	C	II		V6	V		6					M	0	0	5, 2, 1		1	5
137	1.5	42	41	0	0	3/8	4	1		1	vi7	dcml	C	II		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
277/2	1.25	43	42	0	0	3/8	4	1		1	iii6	dcml	C	II		iii6	iii		6					m	0	0	1, 5, 4		4	1
559/4	0.25	43	42	5/16	5/16	3/8	4	1		1	V43/IV	dcml	C	II		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
140	1.5	44	43	0	0	3/8	4	1		1	IV	dcml	C	II		IV	IV							M	0	0	-1, 3, 0		-1	-1
283/2	1.0	45	44	0	0	3/8	4	1		1	I6	dcml	C	II		I6	I		6					M	0	0	4, 1, 0		0	4
285/2	0.5	45	44	1/4	1/4	3/8	4	1		1	vi	dcml	C	II		vi	vi							m	0	0	3, 0, 4		3	3
143	0.5	46	45	0	0	3/8	4	1		1	vi7	dcml	C	II		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
287/2	0.5	46	45	1/8	1/8	3/8	4	1		1	V65	dcml	C	II		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
144	0.5	46	45	1/4	1/4	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
289/2	0.5	47	46	0	0	3/8	4	1		1	V64	dcml	C	II		V64	V		64					M	0	0	2, 1, 5		1	2
145	0.5	47	46	1/8	1/8	3/8	4	1		1	V65/V	dcml	C	II		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
291/2	0.25	47	46	1/4	1/4	3/8	4	1		1	V	dcml	C	II		V	V							M	0	0	1, 5, 2		1	1
583/4	0.25	47	46	5/16	5/16	3/8	4	1		1	V43/V	dcml	C	II		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
146	0.5	48	47	0	0	3/8	4	1		1	V65	dcml	C	II		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
293/2	0.5	48	47	1/8	1/8	3/8	4	1		1	IV6(2)	dcml	C	II		IV6(2)	IV		6	2				M	0	0	3, 0, 1		-1	3
147	0.5	48	47	1/4	1/4	3/8	4	1		1	viio	dcml	C	II		viio	vii	o						o	0	0	5, 2, -1		5	5
295/2	0.5	49	48	0	0	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
148	0.5	49	48	1/8	1/8	3/8	4	1		1	viio6(+4)	dcml	C	II		viio6(+4)	vii	o	6	+4				o	0	0	2, -1, 5	4	5	2
297/2	0.5	49	48	1/4	1/4	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
149	0.5	50	49	0	0	3/8	4	1		1	V	dcml	C	II		V	V							M	0	0	1, 5, 2		1	1
299/2	0.5	50	49	1/8	1/8	3/8	4	1		1	vi7	dcml	C	II		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
150	0.5	50	49	1/4	1/4	3/8	4	1		1	viio	dcml	C	II		viio	vii	o						o	0	0	5, 2, -1		5	5
301/2	0.5	51	50	0	0	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
151	0.5	51	50	1/8	1/8	3/8	4	1		1	V43	dcml	C	II		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
303/2	0.5	51	50	1/4	1/4	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
152	1.25	52	51	0	0	3/8	4	1		1	IV	dcml	C	II		IV	IV							M	0	0	-1, 3, 0		-1	-1
613/4	0.25	52	51	5/16	5/16	3/8	4	1		1	ii6	dcml	C	II		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
307/2	1.5	53	52	0	0	3/8	4	1		1	V7	dcml	C	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
155	2.75	54	53	0	0	3/8	4	1		1	V65	dcml	C	II		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
631/4	0.75	55	54	5/16	5/16	3/8	4	1		1	vii%43	dcml	C	II		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
317/2	0.5	56	55	1/8	1/8	3/8	4	1		1	vii%7/V	dcml	C	II		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
159	1.0	56	55	1/4	1/4	3/8	4	1		1	V(64)	dcml	C	II		V(64)	V			64				M	0	0	1, 0, 4		1	1
160	0.5	57	56	1/8	1/8	3/8	4	1		1	V43	dcml	C	II		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
321/2	0.125	57	56	1/4	1/4	3/8	4	1		1	I(94)	dcml	C	II		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
1285/8	0.125	57	56	9/32	9/32	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
643/4	0.125	57	56	5/16	5/16	3/8	4	1		1	V	dcml	C	II		V	V							M	0	0	1, 5, 2		1	1
1287/8	0.125	57	56	11/32	11/32	3/8	4	1		1	V(64)	dcml	C	II		V(64)	V			64				M	0	0	1, 0, 4		1	1
161	0.5	58	57	0	0	3/8	4	1		1	V7	dcml	C	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
323/2	0.5	58	57	1/8	1/8	3/8	4	1		1	vi7	dcml	C	II		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
162	0.5	58	57	1/4	1/4	3/8	4	1		1	viio	dcml	C	II		viio	vii	o						o	0	0	5, 2, -1		5	5
325/2	0.5	59	58	0	0	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
163	0.5	59	58	1/8	1/8	3/8	4	1		1	viio6	dcml	C	II		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
327/2	0.5	59	58	1/4	1/4	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
164	0.5	60	59	0	0	3/8	4	1		1	V	dcml	C	II		V	V							M	0	0	1, 5, 2		1	1
329/2	0.5	60	59	1/8	1/8	3/8	4	1		1	V(94)	dcml	C	II		V(94)	V			94				M	0	0	1, 0, 2	3	1	1
165	0.5	60	59	1/4	1/4	3/8	4	1		1	V7	dcml	C	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
331/2	0.5	61	60	0	0	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
166	0.25	61	60	1/8	1/8	3/8	4	1		1	viio6	dcml	C	II		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
665/4	0.25	61	60	3/16	3/16	3/8	4	1		1	V43	dcml	C	II		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
333/2	0.5	61	60	1/4	1/4	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
167	1.0	62	61	0	0	3/8	4	1		1	IV	dcml	C	II		IV	IV							M	0	0	-1, 3, 0		-1	-1
168	0.5	62	61	1/4	1/4	3/8	4	1		1	ii6	dcml	C	II		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
337/2	1.5	63	62	0	0	3/8	4	1		1	V7	dcml	C	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
170	2.75	64	63	0	0	3/8	4	1		1	V65	dcml	C	II		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
691/4	0.75	65	64	5/16	5/16	3/8	4	1		1	vii%43	dcml	C	II		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
347/2	0.5	66	65	1/8	1/8	3/8	4	1		1	vii%7/V	dcml	C	II		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
174	1.0	66	65	1/4	1/4	3/8	4	1		1	V(64)	dcml	C	II		V(64)	V			64				M	0	0	1, 0, 4		1	1
175	0.5	67	66	1/8	1/8	3/8	4	1		1	V65	dcml	C	II		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
351/2	0.125	67	66	1/4	1/4	3/8	4	1		1	I(94)	dcml	C	II		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
1405/8	0.125	67	66	9/32	9/32	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
703/4	0.125	67	66	5/16	5/16	3/8	4	1		1	I(9+74)	dcml	C	II		I(9+74)	I			9+74				M	0	0	0, -1, 1	2, 5	0	0
1407/8	0.125	67	66	11/32	11/32	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
176	0.5	68	67	0	0	3/8	4	1		1	V2/IV	dcml	C	II		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
353/2	0.5	68	67	1/8	1/8	3/8	4	1		1	IV6	dcml	C	II		IV6	IV		6					M	0	0	3, 0, -1		-1	3
177	0.5	68	67	1/4	1/4	3/8	4	1		1	V2/IV	dcml	C	II		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
355/2	1.5	69	68	0	0	3/8	4	1		1	IV6	dcml	C	II		IV6	IV		6					M	0	0	3, 0, -1		-1	3
179	0.5	70	69	0	0	3/8	4	1		1	vi	dcml	C	II		vi	vi							m	0	0	3, 0, 4		3	3
359/2	1.0	70	69	1/8	1/8	3/8	4	1		1	I64	dcml	C	II		I64	I		64					M	0	0	1, 0, 4		0	1
361/2	2.0	71	70	0	0	3/8	4	1		1	IV	dcml	C	II		IV	IV							M	0	0	-1, 3, 0		-1	-1
365/2	0.5	72	71	1/8	1/8	3/8	4	1		1	I6	dcml	C	II		I6	I		6					M	0	0	4, 1, 0		0	4
183	0.5	72	71	1/4	1/4	3/8	4	1		1	I[viio6/IV	dcml	C	II	I	viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
367/2	0.5	73	72	0	0	3/8	4	1		1	IV6(4)	dcml	C	II	I	IV6(4)	IV		6	4				M	0	0	5, 0, -1		-1	5
184	1.5	73	72	1/8	1/8	3/8	4	1		1	IV6	dcml	C	II	I	IV6	IV		6					M	0	0	3, 0, -1		-1	3
371/2	0.25	74	73	1/8	1/8	3/8	4	1		1	viio6/IV	dcml	C	II	I	viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
743/4	0.25	74	73	3/16	3/16	3/8	4	1		1	V64/vi	dcml	C	II	I	V64/vi	V		64		vi			M	0	0	5, 4, 8		4	5
186	0.5	74	73	1/4	1/4	3/8	4	1		1	vi6	dcml	C	II	I	vi6	vi		6					m	0	0	0, 4, 3		3	0
373/2	0.5	75	74	0	0	3/8	4	1		1	vi64	dcml	C	II	I	vi64	vi		64					m	0	0	4, 3, 0		3	4
187	0.5	75	74	1/8	1/8	3/8	4	1		1	IV	dcml	C	II	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
375/2	0.25	75	74	1/4	1/4	3/8	4	1		1	vi6	dcml	C	II	I	vi6	vi		6					m	0	0	0, 4, 3		3	0
751/4	0.5	75	74	5/16	5/16	3/8	4	1		1	IV	dcml	C	II	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
753/4	0.25	76	75	1/16	1/16	3/8	4	1		1	I6]	dcml	C	II	I	I6	I		6					M	0	0	4, 1, 0		0	4
377/2	0.25	76	75	1/8	1/8	3/8	4	1		1	I6	dcml	C	II		I6	I		6					M	0	0	4, 1, 0		0	4
755/4	0.25	76	75	3/16	3/16	3/8	4	1		1	I+	dcml	C	II		I+	I	+						+	0	0	0, 4, 8		0	0
189	0.25	76	75	1/4	1/4	3/8	4	1		1	vii%7(4)/V	dcml	C	II		vii%7(4)/V	vii	%	7	4	V			%7	0	0	6, 5, 0, 4		6	6
757/4	0.25	76	75	5/16	5/16	3/8	4	1		1	vii%7/V	dcml	C	II		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
379/2	0.5	77	76	0	0	3/8	4	1		1	V(64+2)	dcml	C	II		V(64+2)	V			64+2				M	0	0	1, 0, 4	3	1	1
190	0.5	77	76	1/8	1/8	3/8	4	1		1	V(64)	dcml	C	II		V(64)	V			64				M	0	0	1, 0, 4		1	1
381/2	0.5	77	76	1/4	1/4	3/8	4	1		1	V7	dcml	C	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
191	0.5	78	77	0	0	3/8	4	1		1	V(964)	dcml	C	II		V(964)	V			964				M	0	0	1, 0, 4	3	1	1
383/2	0.5	78	77	1/8	1/8	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
192	0.5	78	77	1/4	1/4	3/8	4	1		1	viio6	dcml	C	II		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
385/2	0.5	79	78	0	0	3/8	4	1		1	I6	dcml	C	II		I6	I		6					M	0	0	4, 1, 0		0	4
193	0.5	79	78	1/8	1/8	3/8	4	1		1	viio7/V	dcml	C	II		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
387/2	0.5	79	78	1/4	1/4	3/8	4	1		1	V7	dcml	C	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
194	0.5	80	79	0	0	3/8	4	1		1	I\\	dcml	C	II		I	I						\\	M	0	0	0, 4, 1		0	0
389/2	0.25	80	79	1/8	1/8	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
779/4	0.25	80	79	3/16	3/16	3/8	4	1		1	V2/IV	dcml	C	II		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
195	0.5	80	79	1/4	1/4	3/8	4	1		1	IV6	dcml	C	II		IV6	IV		6					M	0	0	3, 0, -1		-1	3
391/2	0.5	81	80	0	0	3/8	4	1		1	V(64)	dcml	C	II		V(64)	V			64				M	0	0	1, 0, 4		1	1
196	0.5	81	80	1/8	1/8	3/8	4	1		1	viio7/V	dcml	C	II		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
393/2	0.5	81	80	1/4	1/4	3/8	4	1		1	viio6	dcml	C	II		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
197	0.25	82	81	0	0	3/8	4	1		1	I(9+7)	dcml	C	II		I(9+7)	I			9+7				M	0	0	0, 4, 1	2, 5	0	0
789/4	2.25	82	81	1/16	1/16	3/8	4	1		1	I	dcml	C	II		I	I							M	0	0	0, 4, 1		0	0
399/2	1.5	83	82	1/4	1/4	3/8	4	1		1	I.I6	dcml	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
201	4.5	84	83	1/4	1/4	3/8	4	1		1	IV	dcml	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
411/2	1.0	86	85	0	0	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
413/2	1.0	86	85	1/4	1/4	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
415/2	1.0	86	85	1/2	1/2	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
417/2	1.0	86	85	3/4	3/4	4/4	4	1		1	I6	dcml	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
419/2	1.0	87	86	0	0	4/4	4	1		1	I64	dcml	C	I		I64	I		64					M	0	0	1, 0, 4		0	1
421/2	1.0	87	86	1/4	1/4	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
423/2	2.0	87	86	1/2	1/2	4/4	4	1		1	IV	dcml	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
427/2	2.0	88	87	0	0	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
431/2	2.0	88	87	1/2	1/2	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
435/2	1.0	89	88	0	0	4/4	4	1		1	ii(4)	dcml	C	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
437/2	1.0	89	88	1/4	1/4	4/4	4	1		1	ii	dcml	C	I		ii	ii							m	0	0	2, -1, 3		2	2
439/2	2.0	89	88	1/2	1/2	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
443/2	2.0	90	89	0	0	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
